,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Cheryl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,325","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Not my cup of tea.,Notes are private!,0,1,1,"Feb 26, 2024","Mar 07, 2024","Feb 26, 2024",,Hardcover,view (with text),/book/show/65678550-the-heaven-earth-grocery-store
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Geocaching For Dummies,"McNamara, Joel",0764575716,9780764575716,0764575716,244        pp,3.43,65,"Sep 03, 2004","Sep 03, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Even though it’s outdated by a decade or two, it had information in it that was useful for a newbie in this adventure.",Notes are private!,0,1,1,"Feb 20, 2024","Feb 22, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/725514.Geocaching_For_Dummies
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Idiot's Guide to Geocaching,Geocaching.com,1592578772,9781592578771,1592578772,320        pp,3.65,259,"Jun 01, 2004","May 05, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Even though it’s outdated by a decade or two, it had information in it that was useful for a newbie in this adventure.",Notes are private!,0,1,1,"Feb 20, 2024","Feb 22, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/6504413-the-complete-idiot-s-guide-to-geocaching
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wildscape: Trilling Chipmunks, Beckoning Blooms, Salty Butterflies, and other Sensory Wonders of Nature","Lawson, Nancy*",1797222473,9781797222479,1797222473,304        pp,4.38,120,unknown,"Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 17, 2024",not set,"Feb 17, 2024",,Hardcover,view,/book/show/62874399-wildscape
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,386","Sep 06, 2016","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A leisurely read about a man of (somewhat) leisure. Count Alexander Rostov is put under “house arrest”… house being a hotel he has resided at for yearA leisurely read about a man of (somewhat) leisure. Count Alexander Rostov is put under “house arrest”… house being a hotel he has resided at for years. It is Russia. (Nuf said) A polished man of extreme intelligence, grace and charm, he has befriended all that work there, visit there, and live there. (All but one, that is.) This is stories of his decades in residence, his never-ending calm, and his enduring friendships and loves. ...more",Notes are private!,0,3,1,"Feb 10, 2024","Feb 16, 2024","Feb 16, 2024",,Paperback,view (with text),/book/show/34066798-a-gentleman-in-moscow
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Marple: The Complete Short Stories,"Christie, Agatha",0006499627,9780006499626,0006499627,368        pp,4.21,"12,675",1985,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"She’s adorable, though the crime methods are improbable. Not so much her solution, as just actually how the crime was committed.",Notes are private!,0,3,1,"Jan 26, 2024","Jan 28, 2024","Jan 29, 2024",,Paperback,view (with text),/book/show/16306.Miss_Marple
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bullet That Missed        (Thursday Murder Club, #3)","Osman, Richard",0241512425,9780241512425,0241512425,413        pp,4.39,"165,304","Sep 15, 2022","Sep 15, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another rip-roaring time with the septuagenarian quad (plus extras) as they fall into another cold case that heats up extremely quickly. The scene witAnother rip-roaring time with the septuagenarian quad (plus extras) as they fall into another cold case that heats up extremely quickly. The scene with Joyce and the Viking was classic. As was the brilliant confession in the end. What a delightful read! ...more,Notes are private!,0,3,1,"Jan 25, 2024","Jan 25, 2024","Jan 25, 2024",,Hardcover,view (with text),/book/show/58957615-the-bullet-that-missed
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Man Who Died Twice        (Thursday Murder Club, #2)","Osman, Richard",,,B08GS1BT6T,422        pp,4.38,"222,351","Sep 16, 2021","Sep 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A group of four septuagenarians who live in a swanky senior housing enclave get together on a weekly basis to try to solve old murder case files. EachA group of four septuagenarians who live in a swanky senior housing enclave get together on a weekly basis to try to solve old murder case files. Each brings their own somewhat retired, expertise into the. Unfortunately, they usually wind up getting involved in the reason that the old murders were never solved. As in, they weren’t meant to be.There is the retired spy, nurse, psychiatrist, and rebel rouser. Using their age to a comical advantage, they worm their way into situations the authorities could not, or would not, as some cases may be, gaining respect, and new friends along the way. Unfortunately, new enemies are also added in to that equation....more",Notes are private!,0,3,1,"Jan 23, 2024","Jan 24, 2024","Jan 25, 2024",,Kindle Edition,view (with text),/book/show/55457493-the-man-who-died-twice
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wisdom from a Shaker Garden,"Mahoney, Kathleen",0670873659,9780670873654,0670873659,96        pp,4.00,3,"May 01, 1998","May 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Poetry, tips, herbal uses, recipes, and photography in a little giftable booklet.",Notes are private!,0,1,1,"Jan 21, 2024","Jan 21, 2024","Jan 21, 2024",,Hardcover,view (with text),/book/show/2901264-wisdom-from-a-shaker-garden
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gardener's Guide to Life: Timeless Lessons Based on the Principles of Gardening,"Freeman, Criswell",1887655409,9781887655408,1887655409,160        pp,4.00,5,Jul 1997,"Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"12 chapters of quotes related to gardening. Gratitude, Planning, Diligence, Attention, Silence, Optimism, Patience, Perseverance, Lifetime Learning, T12 chapters of quotes related to gardening. Gratitude, Planning, Diligence, Attention, Silence, Optimism, Patience, Perseverance, Lifetime Learning, Time, Reverence, and Enjoying the Bounty. The two quotes that stood out for me were not exactly gardening, but could be.He who fears he shall sufferalready suffers what he fears. - Michel de Montaigne Failure is the path of least persistence.- Anonymous ...more",Notes are private!,0,1,1,"Jan 21, 2024","Jan 21, 2024","Jan 21, 2024",,Paperback,view (with text),/book/show/2893578-the-gardener-s-guide-to-life
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light Eaters: How the Unseen World of Plant Intelligence Offers a New Understanding of Life on Earth,"Schlanger, Zoë",0063073854,9780063073852,0063073854,304        pp,4.44,16,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Hardcover,view,/book/show/196774338-the-light-eaters
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once Upon a Tome: The Misadventures of a Rare Bookseller,"Darkshire, Oliver",1324074787,9781324074786,1324074787,256        pp,3.99,"3,818","Oct 06, 2022","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/150778830-once-upon-a-tome
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Force of Nature: A Novel of Rachel Carson,"Burg, Ann E.*",1338883380,9781338883381,1338883380,304        pp,4.44,57,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Hardcover,view,/book/show/124932776-force-of-nature
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Grave Robbery        (Veronica Speedwell, #9)","Raybourn, Deanna*",,,B0C7THND3S,336        pp,4.27,"2,736","Mar 12, 2024","Mar 12, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Mar 19, 2024","Mar 20, 2024","Jan 18, 2024",,Kindle Edition,view,/book/show/177178087-a-grave-robbery
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Almost Impossible Thing,"Davison, Fiona",1915068215,9781915068217,1915068215,293        pp,4.15,13,unknown,"Sep 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/181521859-an-almost-impossible-thing
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why Women Grow: Stories of Soil, Sisterhood and Survival","Vincent, Alice",1838855440,9781838855444,B0BCQWPJR6,305        pp,3.91,630,unknown,"Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Kindle Edition,view,/book/show/75303502-why-women-grow
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cottage Garden,"Dalby, Claus",0760379718,9780760379721,B0BXMCKCMQ,863        pp,4.58,57,unknown,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Kindle Edition,view,/book/show/115545428-the-cottage-garden
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Roots: Lessons and Inspiration from the Designers Reimagining Our Home Gardens,"McCullough, Nick",1643261169,9781643261164,1643261169,320        pp,4.18,65,unknown,"Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/59892253-american-roots
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Modern Vegetarian Kitchen,"Berley, Peter",0060989114,9780060989118,0060989114,464        pp,3.90,436,"Sep 19, 2000","Sep 28, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very descriptive, with illustrations and good tips on making soups, stews, seasonal salads, assorted vegetable sides, and dishes for polenta, grains, Very descriptive, with illustrations and good tips on making soups, stews, seasonal salads, assorted vegetable sides, and dishes for polenta, grains, pastas, beans, tofu (and such), then breads, condiments, and desserts. There is even suggested menus for lunch and dinner. I love all the how to included prior to chapters on various dishes....more",Notes are private!,0,0,1,Jan 2024,"Jan 04, 2024","Jan 04, 2024",,Paperback,view (with text),/book/show/251829.The_Modern_Vegetarian_Kitchen
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heloise Hints for a Healthy Planet,Heloise,0399516255,9780399516252,0399516255,unknown,3.78,9,"Jan 01, 1990","Apr 23, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Someone dropped this off in my little free library and I thought I’d give it a go. Some good information in there. Did you know you could reuse the waSomeone dropped this off in my little free library and I thought I’d give it a go. Some good information in there. Did you know you could reuse the wax bag inside your cereal box to bake your potato in the microwave? Because it is sturdier than other wax paper, it holds up better. Also, use vegetable oil to get pine sap off before washing your hands. Cucumber peels on an ant trail will keep them from coming in. And last thing I thought was interesting was to fill gallon jugs with water and black ink to absorb heat for your plants in the greenhouse. But that’s not all. This was full of information and good tips. Look for it in a used bookstore....more",Notes are private!,0,1,1,Jan 2024,"Jan 04, 2024","Jan 04, 2024",,Paperback,view (with text),/book/show/1812141.Heloise_Hints_for_a_Healthy_Planet
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shakespeare's Gardens,"Trust, Shakespeare Birthplace",0711237263,9780711237261,0711237263,192        pp,4.24,54,"Mar 03, 2016","Mar 03, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loaded with gorgeous, inspiring photos and plant listings, history of the garden and its notorious owner, as well as those affiliated, it’s a treasureLoaded with gorgeous, inspiring photos and plant listings, history of the garden and its notorious owner, as well as those affiliated, it’s a treasure!...more",Notes are private!,0,1,1,Jan 2024,"Jan 03, 2024","Jan 03, 2024",,Hardcover,view (with text),/book/show/26200176-shakespeare-s-gardens
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Air Raid Book Club,"Lyons, Annie*",,,B0BHWPPB7J,384        pp,4.06,"6,437","Jul 11, 2023","Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Kindle Edition,view,/book/show/64695458-the-air-raid-book-club
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,203","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a delightful read. I do admit when I first started it. I thought it was going straight to my DNF pile. I am so glad I didn’t follow through on thWhat a delightful read. I do admit when I first started it. I thought it was going straight to my DNF pile. I am so glad I didn’t follow through on that. Many characters evolve around a captive octopus in a public aquarium setting. Not just any octopus, but an extremely intelligent and tenacious one. Marcellus. As unlikely a hero is there could possibly be. Just say more would give too much of the story away, but suffice it to divulge, you will love him in the end....more",Notes are private!,0,2,1,"Jan 27, 2024","Feb 22, 2024","Dec 27, 2023",,Hardcover,view (with text),/book/show/58733693-remarkably-bright-creatures
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,534","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Hardcover,view,/book/show/61714633-the-wager
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Straw Bale Gardens: The Breakthrough Method for Growing Vegetables Anywhere, Earlier and with No Weeding","Karsten, Joel*",1591865506,9781591865506,1591865506,144        pp,4.14,465,"Jan 01, 2013","Mar 15, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Everything you need to know about using straw bales for growing a plethora of vegetables, mushrooms & even flowers. Instructions & great photos, as weEverything you need to know about using straw bales for growing a plethora of vegetables, mushrooms & even flowers. Instructions & great photos, as well as plant characteristics. ...more",Notes are private!,0,0,1,"Dec 16, 2023","Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/15842902-straw-bale-gardens
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uncle Shelby's ABZ Book: A Primer for Adults Only,"Silverstein, Shel",067121148X,9780671211486,067121148X,80        pp,4.36,"2,819",1961,"Sep 09, 1985",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s just fun to read, tho I don’t recommend doing so to children. (Kidnappers, fingers in noses, voodoo doll instructions) .. Then again, why not?",Notes are private!,0,1,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/41887.Uncle_Shelby_s_ABZ_Book
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Humble Pie and Cold Turkey: English Expressions and Their Origins,"Taggart, Caroline*",1789293480,9781789293487,1789293480,192        pp,3.25,51,unknown,"Jan 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ever wonder where a phrase or a certain word came from? This book gives you a rather good collection of such. Rather interesting to see how phrases evEver wonder where a phrase or a certain word came from? This book gives you a rather good collection of such. Rather interesting to see how phrases evolve overtime to mean something, quite possibly, totally different than first intended. Examples through the age just are given. It was a fun read...more",Notes are private!,0,1,1,"Dec 26, 2023","Dec 26, 2023","Dec 26, 2023",,Hardcover,view (with text),/book/show/57035625-humble-pie-and-cold-turkey
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Thursday Murder Club        (Thursday Murder Club, #1)","Osman, Richard",,,B07S5D5TH7,382        pp,3.89,"476,048","Sep 03, 2020","Sep 03, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have not been spun around like that since the tilt-a-whirl at Geauga Lake Amusement Park! And this time, I didn’t even get sick! A clutch of ultra-sI have not been spun around like that since the tilt-a-whirl at Geauga Lake Amusement Park! And this time, I didn’t even get sick! A clutch of ultra-savvy senior citizens at an upscale, retirement village gathered together to solve murders. Previously, the cases were all cold, but they are delighted when a fresh one falls in their very own orbit. Reminds me a bit of Carl Hiaasen, with humor and a cornucopia of characters and suspects. You can bet I’m on to the next case! ...more",Notes are private!,0,6,1,"Dec 19, 2023","Dec 21, 2023","Dec 19, 2023",,Kindle Edition,view (with text),/book/show/46000520-the-thursday-murder-club
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkable Creatures,"Chevalier, Tracy*",0007178379,9780007178377,0007178379,352        pp,3.88,"51,265",2009,"Aug 24, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I’m so sick of GR cutting out 1/2way through my s. I’m going to quit writing them. It was a good read,Notes are private!,0,1,1,"Dec 17, 2023","Dec 24, 2023","Dec 17, 2023",,Hardcover,view (with text),/book/show/6457081-remarkable-creatures
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Scarlet Sisters: Sex, Suffrage, and Scandal in the Gilded Age","MacPherson, Myra*",0446570230,9780446570237,0446570230,323        pp,3.47,696,"Mar 04, 2014","Mar 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A lot has been said/written before, tho this focuses more on Tennie Claflin. Interesting & education. So ahead of their time.",Notes are private!,0,1,1,"Dec 16, 2023","Dec 25, 2023","Dec 16, 2023",,Hardcover,view (with text),/book/show/18170162-the-scarlet-sisters
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zoo 2 (BookShots) by James Patterson        (BookShots) by James Patterson (2016-06-07),"Patterson, James*",,,B01K3IDFHS,unknown,3.65,"6,247","Jun 07, 2016","Jan 01, 1614",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Animals have all gone feral, extremely feral, attacking humans with a vengeance. Worldwide. Scientists are fighting time to find out why and reverse iAnimals have all gone feral, extremely feral, attacking humans with a vengeance. Worldwide. Scientists are fighting time to find out why and reverse it. Then humans begin to follow suit. Packs of them, killing. There has to be a cause. There has to be a cure. Can Dr Oz (right?) and his crew find it?...more",Notes are private!,0,0,1,"Dec 14, 2023","Dec 14, 2023","Dec 14, 2023",,Audio CD,view (with text),/book/show/143985587-zoo-2-bookshots-by-james-patterson
