,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Diana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lick of Love: How dogs changed my life,"Clary, Julian",1529412501,9781529412505,1529412501,304        pp,4.41,167,unknown,"Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/57653406-the-lick-of-love
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,48 Clues into the Disappearance of My Sister,"Oates, Joyce Carol",1613163819,9781613163818,1613163819,288        pp,2.98,"2,588","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/61432860-48-clues-into-the-disappearance-of-my-sister
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cancer Factory: Industrial Chemicals, Corporate Deception, and the Hidden Deaths of American Workers","Morris, Jim",0807059145,9780807059142,0807059145,264        pp,4.10,163,unknown,"Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/138378691-the-cancer-factory
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,That's So New York: Short (and Very Short) Stories about the Greatest City on Earth,"Saltzstein, Dan",1797225863,9781797225869,B0CHLKHLQZ,160        pp,4.09,43,unknown,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Kindle Edition,view,/book/show/201743285-that-s-so-new-york
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Precious Days,"Patchett, Ann",1526640953,9781526640956,1526640953,330        pp,4.44,"36,761","Nov 23, 2021","Nov 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 15, 2024",not set,"Mar 15, 2024",,Paperback,view,/book/show/59732031-these-precious-days
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chance Library,"Sampson, Freya*",0593201388,9780593201381,0593201388,336        pp,3.75,"26,722","Aug 31, 2021","Aug 31, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was given this book for my birthday and a couple of months later I picked it up. Wow! I loved everything about this book - the tone, the pacing, theI was given this book for my birthday and a couple of months later I picked it up. Wow! I loved everything about this book - the tone, the pacing, the characters, the setting, the references to real life events. All great. There were laugh out loud moments, some poignant moments, and some joyful moments. It was a very easy, cliché free read all centred around a village library and the people who inhabit it. Nothing predictable or pat throughout. A light read but very memorable and for a debut novel top notch. Thank you Bonnie for this very pleasurable gift. ...more",Notes are private!,0,4,1,"Mar 05, 2024","Mar 15, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/56377192-the-last-chance-library
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women of Good Fortune,"Wan, Sophie*",1761153005,9781761153006,1761153005,352        pp,3.68,"1,256","Mar 05, 2024","Mar 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/208835591-women-of-good-fortune
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Outback        (DS Walker, #1)","Wolf, Patricia",,,B0B938CHB6,292        pp,4.19,"17,380","Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/61930362-outback
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Book Love,"Tung, Debbie*",1449494285,9781449494285,1449494285,137        pp,4.29,"20,334","Jan 01, 2019","Jan 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/39296114-book-love
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Servo,"Goodwin, David*",0733651194,9780733651199,0733651194,352        pp,3.92,73,unknown,"Feb 28, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/204593486-servo
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Expatriates,"Lee, Janice Y.K.",0525429476,9780525429470,0525429476,336        pp,3.67,"14,500","Jan 12, 2016","Jan 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Hardcover,view,/book/show/25387896-the-expatriates
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder Before Evensong        (Canon Clement #1),"Coles, Richard",1474612636,9781474612630,1474612636,358        pp,3.33,"11,996","Jun 09, 2022","Jun 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Very enjoyable murder mystery set around a church parish in rural England. Growing up around the church so much of this brought back memories. The floVery enjoyable murder mystery set around a church parish in rural England. Growing up around the church so much of this brought back memories. The flower arrangers, parish council, the cycle of the church calendar, the rectory, the nosy parishioners - I could go on. However it wasn’t just nostalgia for me with this book, it was smart and funny. I will definitely continue on with this series. ...more",Notes are private!,0,2,1,"Feb 23, 2024",Mar 2024,"Feb 23, 2024",,Hardcover,view (with text),/book/show/60175445-murder-before-evensong
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death at the Dog Show        (The Charity Shop Detective Agency #3),"Boland, Peter*",1835262929,9781835262924,B0CN9PQ2T3,354        pp,4.15,631,"Dec 01, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Kindle Edition,view,/book/show/202125048-death-at-the-dog-show
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Proof in the Pudding,"Shrager, Rosemary",1472135377,9781472135377,1472135377,0        pp,3.83,6,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/123638891-the-proof-in-the-pudding
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Death in the Parish        (Canon Clement, #2)","Coles, Richard",1474612695,9781474612692,B0B3VJ1YW5,415        pp,3.99,"2,669","Jun 08, 2023","Jun 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Kindle Edition,view,/book/show/61413681-a-death-in-the-parish
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Supper        (Prudence Bulstrode, #1)","Shrager, Rosemary",,,B08VW7FB2S,238        pp,3.64,773,unknown,"Feb 24, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Kindle Edition,view,/book/show/60097029-the-last-supper
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Satsuma Complex,"Mortimer, Bob",,,B0B5S2MKDS,301        pp,3.69,"30,911","Oct 27, 2022","Oct 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Kindle Edition,view,/book/show/61401116-the-satsuma-complex
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kill 'Em and Leave: Searching for James Brown and the American Soul,"McBride, James*",0812983734,9780812983739,0812983734,256        pp,3.89,"2,552","Apr 05, 2016","Nov 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/30259249-kill-em-and-leave
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rush Oh!,"Barrett, Shirley",0316261548,9780316261548,0316261548,368        pp,3.62,"1,698","Sep 01, 2015","Mar 22, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/25861094-rush-oh
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Complètement cramé!,"Legardinier, Gilles",2265097020,9782265097025,2265097020,390        pp,3.97,"2,977","Oct 18, 2012","Oct 18, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/16085882-compl-tement-cram
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Weather Diviner: The Untold Origin of Punxsutawney Phil,"Long, Rob*",1636981623,9781636981628,1636981623,270        pp,4.15,53,2023,"Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/125372912-the-great-weather-diviner
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Road Home,"Ogle, Rex*",1324019921,9781324019923,1324019921,272        pp,4.60,30,unknown,"May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/199508109-road-home
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Death in Denmark        (Gabriel Præst, #1)","Malladi, Amulya*",006323551X,9780063235519,006323551X,336        pp,3.81,711,"Mar 28, 2023","Mar 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/60916182-a-death-in-denmark
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hapless Milliner        (Miss Austen Investigates, #1)","Bull, Jessica*",145495180X,9781454951803,145495180X,336        pp,3.82,367,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/157658150-the-hapless-milliner
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dark Arena: The Frenchman Returns        (The Frenchman, #2)","Beaumont, Jack",,9798212631044,B0CJTD5FBH,429        pp,4.12,260,"Jan 03, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/199973963-dark-arena
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Second Chance,"Thurgood, Diana",1761068881,9781761068881,1761068881,304        pp,4.59,51,unknown,"Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/201026169-second-chance
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murdle: Volume 1, 100 Elementary to Impossible Mysteries to Solve Using Logic, Skill, and the Power of Deduction","Karber, G.T.",1250892317,9781250892317,1250892317,380        pp,4.42,844,unknown,"Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/61885102-murdle
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Minor Disturbances at Grand Life Apartments,"Sukumar, Hema",1399708473,9781399708470,1399708473,297        pp,3.81,301,unknown,"Jul 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Paperback,view,/book/show/206087474-minor-disturbances-at-grand-life-apartments
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Penguin Year: Living with the Emperors,"McCrae, Lindsay",1529325463,9781529325461,1529325463,256        pp,4.05,797,"Oct 21, 2019","Nov 12, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It took me a long time to get through this. The book was great describing Lindsay’s nearly full year at Antarctica as a wildlife cinematographer documIt took me a long time to get through this. The book was great describing Lindsay’s nearly full year at Antarctica as a wildlife cinematographer documenting the lifecycle of Emperor Penguins for the BBC. Loving natural science, I was totally immersed but I also found parts of the book involving the penguins were very distressing. At the end of the book Lindsay includes a quote from an earlier Antarctic explorer. ‘I do not believe anyone else on Earth has a worst time than the emperor Penguin.’The perils of mating, breeding and surviving were extreme. Still, I am very grateful for this insight and would recommend the book. I’ll be trying to seek out the BBC series now even though it is a few years old. ...more",Notes are private!,0,1,1,"Jan 27, 2024","Feb 22, 2024","Jan 27, 2024",,Paperback,view (with text),/book/show/50278345-my-penguin-year
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Bad Faith,"Erlich, Dassi",0733646492,9780733646492,0733646492,320        pp,4.40,127,unknown,"Jan 31, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/198278847-in-bad-faith
