,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Shauna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Punk Rock Jesus,"Murphy, Sean Gordon",1401237681,9781401237684,1401237681,224        pp,3.92,"3,497","Jan 01, 2013","Apr 09, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Paperback,view,/book/show/15798792-punk-rock-jesus
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Firelight        (Firelight, #1)","Jordan, Sophie*",0061935085,9780061935084,0061935085,323        pp,3.85,"68,097","Sep 07, 2010","Sep 07, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Hardcover,view,/book/show/6448470-firelight
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seducing the Jackal        (Sons of Anubis #1),"Glass, Seressia*",1460310977,9781460310977,,unknown,3.86,109,"Jan 01, 2013","Apr 01, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/17403099-seducing-the-jackal
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Heart's Journey        (Stitches in Time, #2)","Cameron, Barbara",1426714335,9781426714337,1426714335,288        pp,4.21,494,Oct 2012,"Oct 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Paperback,view,/book/show/14322692-the-heart-s-journey
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Kiss for Midwinter        (Brothers Sinister, #1.5)","Milan, Courtney*",1937248100,9781937248109,,121        pp,3.88,"10,221","Dec 16, 2012","Dec 18, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/16116470-a-kiss-for-midwinter
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unraveled        (Turner, #3)","Milan, Courtney*",193724802X,9781937248024,,258        pp,4.05,"7,029","Dec 08, 2011","Dec 09, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/11100750-unraveled
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Duchess War        (Brothers Sinister, #1)","Milan, Courtney*",1937248097,9781937248093,,270        pp,3.82,"27,568","Dec 06, 2012","Dec 08, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/13489919-the-duchess-war
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unclaimed        (Turner, #2)","Milan, Courtney*",0373776039,9780373776030,0373776039,425        pp,3.92,"7,086","Sep 20, 2011","Sep 20, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Mass Market Paperback,view,/book/show/10301090-unclaimed
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Governess Affair        (Brothers Sinister, #0.5)","Milan, Courtney*",,,,101        pp,3.85,"18,161","Apr 21, 2012","Apr 21, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/13190596-the-governess-affair
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unveiled        (Turner, #1)","Milan, Courtney*",0373775431,9780373775439,0373775431,378        pp,3.86,"9,455","Jan 25, 2011","Jan 25, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Mass Market Paperback,view,/book/show/8663392-unveiled
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unlocked        (Turner, #1.5)","Milan, Courtney*",,9781937248000,,111        pp,3.73,"8,518","May 26, 2011","May 31, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,ebook,view,/book/show/11430898-unlocked
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cloud Roads        (Books of the Raksura, #1)","Wells, Martha*",1597802166,9781597802161,1597802166,278        pp,3.98,"13,692","Mar 01, 2011","Mar 15, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Paperback,view,/book/show/9461562-the-cloud-roads
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Big Sky Country        (Parable, Montana, #1)","Miller, Linda Lael*",0373776438,9780373776436,0373776438,384        pp,4.07,"5,286","May 10, 2012","May 29, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 25, 2013",,Mass Market Paperback,view,/book/show/13261295-big-sky-country
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tooth and Claw,"Walton, Jo*",0765319519,9780765319517,0765319519,332        pp,3.87,"6,558","Nov 01, 2003","Jan 06, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 25, 2013",,Paperback,view,/book/show/6184378-tooth-and-claw
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Monsters of Templeton,"Groff, Lauren*",0434017841,9780434017843,0434017841,384        pp,3.63,"21,310","Feb 05, 2008","Feb 05, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 30, 2013",,Hardcover,view,/book/show/1474628.The_Monsters_of_Templeton
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Wind        (The Cemetery of Forgotten Books, #1)","Ruiz Zafón, Carlos",,,,487        pp,4.30,"635,455",May 2001,2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2013",,Paperback,view,/book/show/1232.The_Shadow_of_the_Wind
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Duke Is Mine        (Fairy Tales, #3)","James, Eloisa*",0062021281,9780062021281,0062021281,400        pp,3.72,"10,795","Dec 27, 2011","Dec 27, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 30, 2013",,Mass Market Paperback,view,/book/show/9521508-the-duke-is-mine
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Devil's Delilah        (Regency Noblemen, #2)","Chase, Loretta",0449218945,9780449218945,0449218945,282        pp,3.63,"1,316","Jan 01, 1989","May 28, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 24, 2013",,Paperback,view,/book/show/1386109.The_Devil_s_Delilah
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Road: The Original Scroll,"Kerouac, Jack",067006355X,,067006355X,416        pp,4.12,"12,602",1957,"Aug 16, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed the book a lot, and loved Kerouac's writing, but don't quite get the overwhelming adoration of Neil and Jack as people. Both were just misogI enjoyed the book a lot, and loved Kerouac's writing, but don't quite get the overwhelming adoration of Neil and Jack as people. Both were just misogynist jerks---or does being a free spirit excuse that? *shrug*...more",Notes are private!,0,0,1,"Jan 08, 2013","Jan 22, 2013","Jan 08, 2013",,Paperback,view (with text),/book/show/417065.On_the_Road
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moby-Dick or, The Whale","Melville, Herman",0142437247,9780142437247,0142437247,720        pp,3.54,"560,717","Oct 18, 1851","Feb 21, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm still digesting, but my immediate reaction: some of the most beautiful, moving language interspersed with long passages meant to test your dedicatI'm still digesting, but my immediate reaction: some of the most beautiful, moving language interspersed with long passages meant to test your dedication as a reader. ...more",Notes are private!,0,0,1,"Jan 08, 2013","Jan 22, 2013","Jan 08, 2013",,Paperback,view (with text),/book/show/153747.Moby_Dick_or_The_Whale
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When You Are Engulfed in Flames,"Sedaris, David",0316143472,9780316143479,0316143472,323        pp,4.07,"209,091","Jun 03, 2008","Jun 03, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2013",,Hardcover,view,/book/show/1044355.When_You_Are_Engulfed_in_Flames
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Caressed by Ice        (Psy-Changeling, #3)","Singh, Nalini*",0425218422,9780425218426,0425218422,352        pp,4.29,"40,055","Sep 04, 2007","Sep 04, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2013",,Mass Market Paperback,view,/book/show/458034.Caressed_by_Ice
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Outlander        (Outlander, #1)","Gabaldon, Diana*",0440242940,9780440242949,,850        pp,4.26,"1,052,929","Jun 01, 1991","Jul 26, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 08, 2013",,Mass Market Paperback,view,/book/show/10964.Outlander
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Saga, Volume 1","Vaughan, Brian K.*",1607066017,9781607066019,1607066017,160        pp,4.17,"332,575","Oct 10, 2012","Oct 23, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 26, 2012",,Paperback,view,/book/show/15704307-saga-volume-1
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Winning the Wallflower        (Fairy Tales, #2.5)","James, Eloisa*",,,B00655KHQG,171        pp,3.84,"5,089","Dec 06, 2011","Dec 06, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 23, 2012",,Kindle Edition,view,/book/show/13053244-winning-the-wallflower
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Seduced by a Pirate        (Fairy Tales, #4.5)","James, Eloisa*",0062259911,9780062259912,0062259911,125        pp,3.73,"4,476","Oct 30, 2012","Oct 30, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 23, 2012",,Kindle Edition,view,/book/show/15851980-seduced-by-a-pirate
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Riveted        (Iron Seas, #3)","Brook, Meljean",0425256049,9780425256046,0425256049,413        pp,3.96,"4,482","Sep 04, 2012","Sep 04, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 23, 2012",,Paperback,view,/book/show/13409405-riveted
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Journey to the End of the Night,"Céline, Louis-Ferdinand",0811216543,9780811216548,0811216543,453        pp,4.19,"42,092",1932,"May 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2012",,Paperback,view,/book/show/12395.Journey_to_the_End_of_the_Night
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heart of Steel        (Iron Seas, #2)","Brook, Meljean",0425243303,9780425243305,B0085S9N5C,311        pp,3.94,"6,005","Nov 01, 2011","Nov 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Paperback,view,/book/show/10558533-heart-of-steel
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Iron Duke        (Iron Seas, #1)","Brook, Meljean",0425236676,9780425236673,0425236676,384        pp,3.84,"16,886","Oct 05, 2010","Oct 05, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Paperback,view,/book/show/7864587-the-iron-duke
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Eternal Rider        (Lords of Deliverance, #1; Demonica, #6)","Ione, Larissa*",044657449X,9780446574495,044657449X,402        pp,4.18,"24,248","Apr 01, 2011","Apr 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Mass Market Paperback,view,/book/show/8843801-eternal-rider
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nevermore        (Nevermore, #1)","Creagh, Kelly*",1442402008,9781442402003,1442402008,543        pp,3.86,"29,837","Aug 31, 2010","Aug 31, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Hardcover,view,/book/show/7129598-nevermore
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Immortal Rider        (Lords of Deliverance, #2; Demonica, #7)","Ione, Larissa*",0749955473,9780749955472,0749955473,414        pp,4.30,"17,877","Apr 01, 2011","Dec 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Paperback,view,/book/show/9868970-immortal-rider
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Visions of Heat        (Psy-Changeling, #2)","Singh, Nalini*",042521575X,9780425215753,042521575X,332        pp,4.08,"40,382","Mar 06, 2007","Mar 06, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Mass Market Paperback,view,/book/show/215643.Visions_of_Heat
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lady Isabella's Scandalous Marriage        (MacKenzies & McBrides, #2)","Ashley, Jennifer*",0425235459,9780425235454,0425235459,316        pp,3.92,"18,014","Jul 06, 2010","Jul 06, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 17, 2012",,Mass Market Paperback,view,/book/show/7070067-lady-isabella-s-scandalous-marriage
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Steppenwolf,"Hesse, Hermann",0140282580,9780140282580,0140282580,256        pp,4.13,"185,502",1927,1999,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 15, 2012",,Paperback,view,/book/show/16631.Steppenwolf
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batman: Year One,"Miller, Frank",1401207529,9781401207526,1401207529,144        pp,4.24,"251,493",1988,"Jan 10, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 15, 2012",,Paperback,view,/book/show/59980.Batman
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immoralist,"Gide, André",0142180025,9780142180020,0142180025,123        pp,3.56,"12,132",1902,"Sep 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 01, 2012",,Paperback,view,/book/show/70101.The_Immoralist
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"White Cat        (Curse Workers, #1)","Black, Holly*",,,,310        pp,3.79,"48,291","May 04, 2010","May 04, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 20, 2012",,Hardcover,view,/book/show/6087756-white-cat
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unwritten, Vol. 3: Dead Man's Knock","Carey, Mike*",1401230466,9781401230463,1401230466,160        pp,4.01,"7,075","Mar 29, 2011","Mar 29, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 15, 2012",,Paperback,view,/book/show/8560639-the-unwritten-vol-3
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unwritten, Vol. 2: Inside Man","Carey, Mike*",1401228739,9781401228736,1401228739,168        pp,3.88,"11,217","Aug 17, 2010","Aug 17, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 15, 2012",,Paperback,view,/book/show/7776019-the-unwritten-vol-2
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Batman: Whatever Happened to the Caped Crusader?,"Gaiman, Neil*",1401223036,9781401223038,1401223036,128        pp,3.98,"19,343","Jul 21, 2009","Jul 21, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 15, 2012",,Hardcover,view,/book/show/5599692-batman
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl Who Circumnavigated Fairyland in a Ship of Her Own Making        (Fairyland, #1)","Valente, Catherynne M.*",0312649614,9780312649616,0312649614,247        pp,3.95,"40,186","May 10, 2011","May 10, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 15, 2012",,Hardcover,view,/book/show/9591398-the-girl-who-circumnavigated-fairyland-in-a-ship-of-her-own-making
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Top 10, Vol. 2","Moore, Alan*",1563899663,9781563899669,1563899663,144        pp,4.26,"5,666",Oct 2001,"Jun 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 19, 2012",,Paperback,view,/book/show/154929.Top_10_Vol_2
