,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Carol's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cruel Beautiful World,"Leavitt, Caroline*",1616203633,9781616203634,1616203633,357        pp,3.82,"3,817","Sep 19, 2016","Oct 04, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,My  will go live on pub date Oct. 4th at New York Journal of Books http://www.nyjournalofbooks.com/revie...My  will go live on pub date Oct. 4th at New York Journal of Books http://www.nyjournalofbooks.com/revie......more,Notes are private!,0,3,1,not set,not set,"Sep 18, 2016",,Hardcover,view (with text),/book/show/28110866-cruel-beautiful-world
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sympathizer        (The Sympathizer, #1)","Nguyen, Viet Thanh*",0802123457,9780802123459,0802123457,371        pp,4.01,"113,596","Apr 02, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Powerful writing and a complex, at times dark, bitingly witty story of a half-French, half-Vietnamese bastard, secret agent. The narrator's compellingPowerful writing and a complex, at times dark, bitingly witty story of a half-French, half-Vietnamese bastard, secret agent. The narrator's compelling voice and divided sympathies engaged me, but I have to confess I often felt lost and disconnected from the story. This was at times a painfully slow read for me, and more than once I asked myself, am I in the wrong book club?...more",Notes are private!,0,7,1,not set,not set,"Sep 01, 2016",,Hardcover,view (with text),/book/show/23168277-the-sympathizer
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Girls,"Slaughter, Karin*",0062430874,9780062430878,0062430874,432        pp,4.05,"410,093","Jul 02, 2015","Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This may be the darkest, most twisted and violent book I've ever read. Finished because it's a book club pick. Definitely not my taste and don't feel This may be the darkest, most twisted and violent book I've ever read. Finished because it's a book club pick. Definitely not my taste and don't feel I can fairly give it a number rating. Fast paced and plenty of suspense, just too much sick violence for me. Claire and Lydia have been estranged for years, torn apart by the disappearance of their older sister. A tragedy brings them together and quickly horrific events start happening. Tension builds as a brutally sicko serial rapist /murderer threatens the sisters and it's not clear who can be trusted, even the police and FBI are suspect. ...more",Notes are private!,0,5,1,not set,not set,"Aug 23, 2016",,Paperback,view (with text),/book/show/25574782-pretty-girls
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Great Things,"Picoult, Jodi*",0345544951,9780345544957,0345544951,480        pp,4.36,"373,250",2016,"Oct 11, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"You can always count on Jodi Picoult to tackle difficult issues and create memorable characters. The picture she paints of White Supremacy, hate, and You can always count on Jodi Picoult to tackle difficult issues and create memorable characters. The picture she paints of White Supremacy, hate, and the racial divide in Small Great Things may be her riskiest plot yet as she unflinchingly takes on the topic of racism. As one of the characters says, ""it's hard to talk about this stuff without offending people or feeling offended. "" I'm grateful Ms. Picoult takes the risk and hopefully furthers this necessary discussion.So many aspects of this book are relevant, disturbing, and heartbreaking. The characters are well-rounded and Jodi Picoult manages to make even violent characters sympathetic by balancing their hateful actions with their love for their own family. That is no small feat. There were times the tension was so thick, I held my breath and sped through pages. At least one surprise about a character's family history caught me off- guard and the coincidence at the end when two characters have a chance meeting felt strained. Overall this book is a must read and should generate deep thought and discussion for book clubs. ...more",Notes are private!,0,31,1,not set,Aug 2016,"Aug 10, 2016",,Hardcover,view (with text),/book/show/28587957-small-great-things
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Around the House and in the Garden: A Memoir of Heartbreak, Healing, and Home Improvement","Browning, Dominique*",0743226933,9780743226936,0743226933,208        pp,3.82,340,"May 18, 2002","Apr 02, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Voice and writing that knows how to use exactly the right detail to evoke memory and emotion set this book apart for me. The structure is more linked Voice and writing that knows how to use exactly the right detail to evoke memory and emotion set this book apart for me. The structure is more linked essays than chapters, so there isn't a strong plot line, and yet, there's enough story. This is not a book I would have picked up on my own, but read for a book club and glad I did.In the early days and aftermath of divorce, Dominique Browning writes about how her home and garden reflect her inner-most feelings and progress, or lack of it in moving on.So much resonated with me; A Lifetime of Closets-what we're looking for in the things we store and keep; Home Alone-how we build and dismantle a life and home; Letting Go-what we need and want from the rooms of our life.A favorite take-away from the essay on Letting Go - You're living like a clenched fist. ...more",Notes are private!,0,4,1,not set,"Aug 05, 2016","Aug 05, 2016",,Paperback,view (with text),/book/show/798912.Around_the_House_and_in_the_Garden
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Love You, Charlie Freeman","Greenidge, Kaitlyn",1616204672,9781616204679,1616204672,336        pp,3.46,"3,982","Apr 05, 2016","Mar 08, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"African-American teenager Charlotte is not thrilled when her family moves from Boston to rural Massachusetts because “they” are hired to teach sign laAfrican-American teenager Charlotte is not thrilled when her family moves from Boston to rural Massachusetts because “they” are hired to teach sign language to a chimpanzee at the Toneybee Institute. The job is primarily her mother’s but the whole family is engaged to make Charlie part of their family. Slowly, the Institutes disturbing history emerges as the point of view narration and points in time shift between Nymphadora, a black women with disconcerting ties to the institute in the 1920’s, and the present voice of Charlotte, and occasionally her father and younger sister, Callie. The voices are haunting, full of aching loneliness and longing for love and acceptance. The story is very well-crafted to reveal the institute’s history and the current behavior of Charlotte’s family skillfully to build disturbing tension and heartbreak. Even on the surface, there’s a lot of story about coming-of-age and family discord, and then there are layers of metaphor about boundaries in relationships, failed communication and racial disconnect. ...more",Notes are private!,0,8,1,not set,"Aug 04, 2016","Aug 05, 2016",,Hardcover,view (with text),/book/show/25810630-we-love-you-charlie-freeman
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girl You Left Behind,"Moyes, Jojo*",0670026611,9780670026616,0670026611,480        pp,4.02,"166,650","Sep 27, 2012","Jun 24, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5A good easy-read, combining suspense and romance. The Girl You Left Behind is told from two different women's point of view from different points i3.5A good easy-read, combining suspense and romance. The Girl You Left Behind is told from two different women's point of view from different points in time. The two women and their stories are linked by a portrait of a women with a mysterious provenance.  In 1916, Sophie LeFevre is a young French woman, madly in love with herhusband, who is off at war. She lives in a small French village that isoccupied by the Germans. The new Kommandant in charge of the town decideshis troops will be fed each night at Le Coq Rouge, the family inn inheritedand run by Sophie and her sister, Helene. By day, locals congregate at theinn to commiserate about the German occupation. Every evening, in spite ofSophie's attempts to protest, Sophie and Helene have no choice but to cookand serve the German troops. One evening, the Kommandant admires the portrait of Sophie painted by herhusband, a little known but gifted artist. The Kommandant is something of anart aficionado and lingers during dinners to talk art with Sophie. He isinfatuated with the painting and apparently with Sophie. Desperate to saveher husband, Sophie makes a decision that could have irreversibleconsequences for herself and her family.The story jumps to the present. Liv Halston, is a young widow who now ownsthe painting. A series of circumstances, raise a question about whether sheis the rightful owner. The struggle to answer that question is the book'scentral plot.A few quibbles about some of the plot twists that are a bit contrived andtoo convenient, like how Liv meets Paul, gains Mo as a roommate and how Paulcoincidently represents the heirs looking for the painting. Some of thetransitions and devices like old letters used to reveal plot could besmoother. Overall, this is a good story with enough suspense and romance to overcomethe quibbles. ...more",Notes are private!,0,13,1,not set,"Aug 03, 2016","Aug 03, 2016",,Hardcover,view (with text),/book/show/17572903-the-girl-you-left-behind
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art of Fielding,"Harbach, Chad*",0316126691,9780316126694,0316126691,512        pp,3.99,"112,996","Sep 07, 2011","Sep 07, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"That this is a debut is impressive. The characters and plot are well developed and nuanced, even minor characters are distinguishable and memorable. IThat this is a debut is impressive. The characters and plot are well developed and nuanced, even minor characters are distinguishable and memorable. It's a sprawling story with subplots that hooked me on many levels.Henry Skrimshander is something of a baseball phenom with little chance of getting to college or being drafted by a baseball team until he is discovered by the team captain of Westish College's baseball team. Mike Schwartz has a gift for identifying and developing talent in his teammates. He sees Henry's potential to be a stellar shortstop, helps him get into Westish and make the team. Together they work hard to make Henry's big league dream a reality.So much of this book is about relationships, Mike and Henry, Guert Affenlight and his daughter Pella, their love interests, Henry's roommate Owen and the rest of the baseball team. It's a story about dreams and limits, confidence and doubt, love and friendship . . .oh, and baseball. As a baseball fan, I really enjoyed the details about the game....more",Notes are private!,0,7,1,not set,"Jul 24, 2016","Jul 25, 2016",,Hardcover,view (with text),/book/show/10996342-the-art-of-fielding
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,John Irving box set: The Cider House Rules / A Widow for One Year / A Prayer for Owen Meany,"Irving, John*",0345458907,9780345458902,0345458907,unknown,4.36,140,unknown,"Oct 29, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 20, 2016",,Paperback,view,/book/show/7077.John_Irving_box_set
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Light of Paris,"Brown, Eleanor*",039915891X,9780399158919,039915891X,308        pp,3.63,"8,774","Jul 12, 2016","Jul 12, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Here's my  of The Light of Paris for New York Journal of Books http://www.nyjournalofbooks.com/book-...Here's my  of The Light of Paris for New York Journal of Books http://www.nyjournalofbooks.com/book-......more,Notes are private!,0,6,1,not set,Jan 2016,"Jul 19, 2016",,Hardcover,view (with text),/book/show/27833796-the-light-of-paris
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Looking for Me,"Hoffman, Beth*",0670025836,9780670025831,0670025836,354        pp,3.93,"14,288","May 28, 2013","May 28, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 Beth Hoffman's writing is lyrical at times, painting a strong sense of place and the strength of this book for me, even more than the story.Teddi 3.5 Beth Hoffman's writing is lyrical at times, painting a strong sense of place and the strength of this book for me, even more than the story.Teddi Overman is an artist with a special talent for finding antique treasures and restoring and transforming old furniture into works of art. She lives on the family farm with her hardworking father who she adores, her mother, whose disappointment in life and negativity baffle her, and her younger brother Josh. She and Josh have a unique bond and Teddi worships him. Josh too, has a passion. From an early age, he loves and wants to protect the animals in the forest and gorge that border the farm. He is a loner who seems to know the language of animals and birds, often seeing messages in the bird feathers he finds in the woods. Teddi's mother never had a chance to go to college and she desperately wants Teddi to go to school after high school Teddi's dream is to open her own furniture refinishing and antique shop and she can't find a college course to teach her that. To overcome her mother's objections, she literally sneaks away from home in the middle of the night to start a new life in Charleston. Through a series of almost too good to believe encounters with good people. she manages to start her own business. Life seems to be turning out okay until Josh mysteriously disappears.The story is told from Teddi's point of view and alternates between the past when she was a teenager and the present when she is thirty-something. Sometimes the transitions between time periods were confusing. The middle of the book dragged at times, but there was always enough underlying tension about Josh's disappearance to keep turning pages and find out what really happened to him. Is he dead, or as Teddi suspects, he is living among the birds and animals he loves in the deepest part of the forest where even the rangers who taught him as a child don't know how to find him? ...more",Notes are private!,0,12,1,not set,"Jul 17, 2016","Jul 17, 2016",,Hardcover,view (with text),/book/show/16158528-looking-for-me
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Secret Kept,"Rosnay, Tatiana de*",0312593317,9780312593315,0312593317,303        pp,3.36,"27,712","Apr 02, 2009","Sep 14, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 Mixed feelings about this book in spite of very good writing. Forty-something, recently divorced Antoine Rey surprises his sister Melanie for her 3.5 Mixed feelings about this book in spite of very good writing. Forty-something, recently divorced Antoine Rey surprises his sister Melanie for her 40th birthday and takes her to the seaside resort they visited as children. During their stay, memories of those childhood vacations and their mother, who died when they were young children, surface. Melanie remembers something that really shakes her. Before she has a chance to share the memory with Antoine there's a circumstance that erases the memory. Antoine is floundering, still in love with his ex-wife, missing his children and daily family life, feeling lonely and unmoored. He is a man who has difficulty getting close and sharing feelings until he meets a very interesting woman, a mortician named Angele. The development of their relationship is one of the strengths of the story. Their are a lot of family secrets and tragedy's along the way. Because we meet the character's through Antoine's point of view, his detachment keeps them at a distance that made it hard to know and care about them. That dimmed the suspense of some of the family secrets for me. ...more",Notes are private!,0,9,1,not set,"Jul 08, 2016","Jul 09, 2016",,Hardcover,view (with text),/book/show/7963208-a-secret-kept
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love Wins: The Lovers and Lawyers Who Fought the Landmark Case for Marriage Equality,"Cenziper, Debbie",0062456083,9780062456083,0062456083,304        pp,4.42,"1,139","Jun 14, 2016","Jun 14, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 05, 2016",,Hardcover,view,/book/show/26244599-love-wins
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Architect,"Belfoure, Charles",1402284314,9781402284311,1402284314,371        pp,4.04,"59,439","Oct 01, 2013","Oct 08, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A beautiful story balancing inhumanity and humanity set in Nazi-occupied France. Lucien Bernard is an ordinary man, driven to work for the Reich by hiA beautiful story balancing inhumanity and humanity set in Nazi-occupied France. Lucien Bernard is an ordinary man, driven to work for the Reich by his need to make a living and pride in his ability as an architect. His assignments present unexpected and dangerous opportunities to challenge his design imagination.There are so many strengths in this novel, Lucien's character development as he takes risks he never suspected he is capable of, his surprising friendships with a German officer, Manet, and Bette. His affections for an orphan, Pierre.Like so many books about the atrocities against Jews during the war, there were parts that were brutally hard to read. Charles Belfoure does a wonderful job balancing that horror with brave and caring characters who show humanity at its best.  ...more",Notes are private!,0,17,1,not set,not set,"Jun 23, 2016",,Hardcover,view (with text),/book/show/17456328-the-paris-architect
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sula,"Morrison, Toni",0452283868,9780452283862,0452283868,174        pp,4.03,"98,796",1973,"Apr 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Typical of Toni Morrison's gifted and original writing, Sula is a complex character and the language is poetic and evocative . And yet. I have strugglTypical of Toni Morrison's gifted and original writing, Sula is a complex character and the language is poetic and evocative . And yet. I have struggled with every T.M. book I've read. I get lost in depths of her language ...more",Notes are private!,0,2,1,"Jun 08, 2016","Jun 12, 2016","Jun 12, 2016",,Paperback,view (with text),/book/show/11346.Sula
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Glittering World,"Greenwood, T.*",0758250916,9780758250919,0758250916,304        pp,3.48,"1,017","Jan 01, 2011","Jan 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's been a while since I've read a book with the kind of suspense in the last 30+ pages that both made me want to read feverishly and stop reading foIt's been a while since I've read a book with the kind of suspense in the last 30+ pages that both made me want to read feverishly and stop reading for fear of what would happen. Skillfully drawn characters who are borderline pathetic yet incredibly sympathetic. That takes special talent. Ben goes out to get his morning paper and finds a bloody, dead body of an Indian teen. When the local police show little interest in solving the crime, he investigates himself, starting a chain of events that threatens his job, his pregnant fiancée, Shadi the victims sister and witnesses who know what really happened the night Ricky Begay died....more",Notes are private!,0,9,1,"Jun 07, 2016","Jun 10, 2016","Jun 10, 2016",,Paperback,view (with text),/book/show/7920073-this-glittering-world
