,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Габриела's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Телесно,"Димова, Биляна",,9786197467574,,64        pp,5.00,4,unknown,Oct 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Страхотна книга, с живи, плътни образи. Розовата корица може и да ви подлъже, но тук всъщност е пълно с куп важни и сериозни теми: загубата, майчинствСтрахотна книга, с живи, плътни образи. Розовата корица може и да ви подлъже, но тук всъщност е пълно с куп важни и сериозни теми: загубата, майчинството, прозата на дните, иронията към себе си и към живота... И всичко това, написано по един тотално лишен от самосъжаление и мелодраматизъм начин. Напомни ми малко на любимата ми Ина Григорова.Абе, четете. Това е книга, на която не ѝ пука, но в същото време много ѝ пука, и това е чудесно....more",Notes are private!,0,0,1,"Mar 28, 2024","Mar 28, 2024","Mar 28, 2024",,,view (with text),/book/show/199145528
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Конникът без глава,"Reid, Mayne Thomas",,,,624        pp,4.15,"9,523",1865,1978,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Hardcover,view,/book/show/13450960
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Мястото е свободно,"Валериев, Валери",6197390175,9786197390179,6197390175,72        pp,0.00,0,unknown,"Feb 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Чудесна книга.,Notes are private!,0,0,1,not set,"Mar 30, 2024","Mar 25, 2024",,Paperback,view (with text),/book/show/210322775
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Жените на Варшава,"Markov, Georgi",,9789542824848,,344        pp,4.20,381,unknown,"Dec 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/37671950
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Have Always Lived in the Castle,"Jackson, Shirley",0143039970,9780143039976,0143039970,160        pp,3.94,"227,044","Sep 21, 1962","Oct 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/89724.We_Have_Always_Lived_in_the_Castle
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,621","Dec 06, 2015","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Трите тела        (Земното минало, #1)","Liu, Cixin*",,9786190206088,,432        pp,4.09,"332,423",May 2006,"May 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/52456957
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Mistook His Wife for a Hat and Other Clinical Tales,"Sacks, Oliver",,,,243        pp,4.06,"221,596",1985,"Apr 02, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/63697.The_Man_Who_Mistook_His_Wife_for_a_Hat_and_Other_Clinical_Tales
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Новаци,"Carver, Raymond",,9786191862399,,270        pp,4.24,"2,536",2009,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/22919901
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between a Bird Cage and a Bird House: Poems,"Stoykova, Katerina",0813198704,9780813198705,B0BTV2KBJ1,102        pp,5.00,5,unknown,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 09, 2024","Mar 17, 2024","Mar 09, 2024",,Kindle Edition,view,/book/show/123811762-between-a-bird-cage-and-a-bird-house
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Laughter in Ancient Rome: On Joking, Tickling, and Cracking Up (Sather Classical Lectures) by Beard, Mary (2014) Hardcover        (Sather Classical Lectures) by Beard, Mary (2014) Hardcover (Volume 71)","Beard, Mary",0520277163,9780520277168,0520277163,336        pp,3.59,311,"Jan 01, 2014","Jun 25, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/18668319-laughter-in-ancient-rome
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Светове и създания. Български митове, легенди и приказки","Старева, Лилия",,9786191868001,,392        pp,3.56,9,unknown,"Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/78607880
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,И винаги любовта,"Иванова, Ина",6191868529,9786191868520,6191868529,144        pp,4.62,29,unknown,Nov 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/202189877
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ще произнасям само гласните,"Бояджиев, Цочо",,9786197082807,,52        pp,4.67,3,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2023,"Feb 24, 2024",,Paperback,view,/book/show/204515883
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Черноморски упанишад,"Grozni, Nikolai",,9786199133378,,244        pp,4.50,2,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,,view,/book/show/174268387
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Извън обхват,"Черепов, Евгени",,9786191868711,,348        pp,4.38,24,unknown,Feb 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/207631210
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Моята София и други образи,"Бояджиева, Вяра",,9786197172430,,60        pp,4.57,14,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Много харесвам Вяра Бояджиева. Духът на София е страхотно уловен, и то без непременно да я представя в някаква лъскава и понапудрена светлина, напротиМного харесвам Вяра Бояджиева. Духът на София е страхотно уловен, и то без непременно да я представя в някаква лъскава и понапудрена светлина, напротив. Щеше да ми хареса също толкова, ако беше без никакъв текст. ...more",Notes are private!,0,3,1,not set,"Feb 11, 2024","Feb 19, 2024",,Hardcover,view (with text),/book/show/208875993
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Не за всичко са виновни родителите ни,"Прангаджийска, Дора",,9786199094211,,367        pp,4.65,129,unknown,2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/59060694
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Докъде се издигаме в мрака,"Nagamatsu, Sequoia*",,9786190213178,,344        pp,3.84,"54,443","Jan 18, 2022","Oct 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/199216030
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Часът на чудовището,"Ness, Patrick",9542908466,9789542908463,,216        pp,4.35,"265,615","May 05, 2011",Nov 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/13514245
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Поезията на 1990-те: Българско и постмодерно том 3,"Антов, Пламен",,9789544916282,9544916288,300        pp,0.00,0,"Jan 01, 2010",2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/17829781-1990-
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Цената на златото - Завръщане - Досиетата,"Стоев, Генчо",,9789543206452,,464        pp,3.58,12,unknown,2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/45878328----
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Чакалнята,"Илчева, Деница",,9786191868605,,132        pp,4.91,11,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2024","Feb 04, 2024","Feb 04, 2024",,Paperback,view,/book/show/207022506
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Към езерото,"Kassabova, Kapka*",,9786191866205,,448        pp,4.11,623,"Feb 06, 2020",2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Paperback,view,/book/show/56158564
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Рентгенова снимка на свободата,"Илиева, Михаела*",,9786191868179,,112        pp,4.42,33,unknown,"Apr 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/128573746
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Корените на любовта: ръководство по семейни констелации,"Liebermeister, Svagito R.",,,,unknown,4.13,146,"Nov 11, 2006",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Paperback,view,/book/show/22351985
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Оскар и розовата дама        (Кръговратът на незримото, #3)","Schmitt, Éric-Emmanuel",9549933474,9783100735829,310073582X,92        pp,4.24,"51,448",2002,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,"малък формат, меки корици",view,/book/show/6787663
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Госпожа Г.,"Дворянова, Емилия",,9789543261581,,348        pp,3.71,7,"Jan 01, 2001",2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/18669681
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dopamine Nation: Finding Balance in the Age of Indulgence,"Lembke, Anna",1524746738,9781524746735,1524746738,304        pp,3.92,"41,081","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,ebook,view,/book/show/55723020-dopamine-nation
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Не пуша вече! Съветите на един бивш заклет пушач,"Carr, Allen",9544741348,,,256        pp,4.27,"15,282",1985,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"ОК е, доколкото нещата, които пише вътре, са common sense, и доколкото не те оставя да се самозаблуждаваш. Обаче за мен сериозно пренебрегва елемента ОК е, доколкото нещата, които пише вътре, са common sense, и доколкото не те оставя да се самозаблуждаваш. Обаче за мен сериозно пренебрегва елемента на зависимост, с всичките му физиологични и психологически последици, и някак надменно отхвърля ролята на волята в отказването на нещо вредно....more",Notes are private!,0,0,1,"Jan 21, 2024","Jan 21, 2024","Jan 21, 2024",,Paperback,view (with text),/book/show/32472687
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nicotine Explained: Understand why you smoke, vape or chew, and learn how to stop.","Porter, William",,,B07RN66XXC,118        pp,4.39,122,unknown,"May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was recommended to me as an improved version of Allen Carr's bestseller, which, in my opinion, lacked depth. Initially, Nicotine Explained seemedThis was recommended to me as an improved version of Allen Carr's bestseller, which, in my opinion, lacked depth. Initially, Nicotine Explained seemed promising as it delved into the science of nicotine addiction. However, as the book progressed, it maintained the simplistic notion that smokers, once acquainted with the dangers of tobacco, should effortlessly lose all desire to smoke.While I acknowledge the role of willpower and common sense in quitting smoking, I believe both books lack empathy for those navigating the challenging journey of cessation. A more nuanced understanding of the ongoing struggles of recent quitters could add a layer of compassion to both books....more",Notes are private!,0,1,1,"Jan 23, 2024","Feb 07, 2024","Jan 21, 2024",,Kindle Edition,view (with text),/book/show/45784522-nicotine-explained
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Слабите места на поезията. Обратната страна на фотографията,"Томова, Малина",9543209057,9789543209057,9543209057,60        pp,0.00,0,unknown,"Nov 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"СТЪПАЛОЛюбим и брат,стъпи на раменете ми,за да ме видиш отвисоко -не е примамка! - втвърдявам топлината си,изстивам от копнежда ти помогна.",Notes are private!,0,0,1,not set,"Jan 21, 2024","Jan 21, 2024",,Paperback,view (with text),/book/show/205745568
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Архетипови мотиви във вълшебните приказки,"Franz, Marie-Louise von",9549933342,,,248        pp,4.31,152,Oct 1997,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Paperback,view,/book/show/23006952
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Adult Children of Emotionally Immature Parents: How to Heal from Distant, Rejecting, or Self-Involved Parents","Gibson, Lindsay C.",1626251703,9781626251700,1626251703,201        pp,4.40,"51,541","Jun 01, 2015","Jun 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/23129659-adult-children-of-emotionally-immature-parents
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Всички сме страници,"Русева, Петя",,9786191868353,,148        pp,4.53,17,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"От златните години на поредицата „Кратки разкази завинаги“ на „Жанет 45“ насам съм поразредила четенето на разкази. Много обичам сериали например, затОт златните години на поредицата „Кратки разкази завинаги“ на „Жанет 45“ насам съм поразредила четенето на разкази. Много обичам сериали например, затова и мислех, че доживот ще съм влюбена и в жанра разказ, но не би. Може би просто не съм попадала на достатъчно добри истории.„Всички сме страници“ обаче ме изтръгна от този застой: 145 страници микроразкази, в които уж ежедневни неща те хвърлят в дълбокото, понеже във всяка наглед обикновена ситуация се крие някоя подробност, която я прави необикновена. Имаше и смешки, разбира се, най-важният (ми) тест за добра литература, нямаше празнословие и опияняване от собствените думи; не, Петя Русева знае точно къде да сложи край на разказа, привидно внезапно, но всъщност точно навреме, но и както в живота, това, че краят си е бил съвсем на място, се вижда малко по-късно.Имената на героите в историите ѝ се повтаряха, сякаш самите те прескачаха от разказ в разказ, но дали бяха едни и същи, кой може да каже... А и може би е още по-хубаво, че няма как да разберем със сигурност. По някаква причина все пак за мен персонажите бяха свързани в едно цяло, както са свързани героите в New York, I Love You или в Paris, je t'aime, или в „Наистина любов“, или най-добре - както сме свързани всички в живота по принцип.Кратки разкази, издържани в най-добрата традиция на стегнатото, изненадващо, милостиво и забавно писателско умение. Напомниха ми и на Етгар Керет, и на Давид Албахари, и на Джорджо Манганели... пир....more",Notes are private!,0,2,1,"Feb 11, 2024","Feb 17, 2024","Jan 17, 2024",,Paperback,view (with text),/book/show/196577102
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Вавилон: Тайна история,"Kuang, R.F.*",,9786191711543,,640        pp,4.20,"218,475","Aug 23, 2022","Jun 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/178801455
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breasts and Eggs,"Kawakami, Mieko",152907441X,9781529074413,152907441X,430        pp,3.86,"54,415","Jul 11, 2019","Jun 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/57034991-breasts-and-eggs
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Мадикен,"Lindgren, Astrid",9546574872,9789546574879,9546574872,160        pp,4.18,"4,846",1960,2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 02, 2024","Jan 07, 2024",,Paperback,view,/book/show/22550411
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,145","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/65650229-wellness
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Диктатори, трактори и други приключения","Kenarov, Dimiter",6191868308,9786191868308,6191868308,344        pp,4.40,48,unknown,May 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Paperback,view,/book/show/157568815
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Тук живее Йожи,"Радулова, Надежда",6191868642,9786191868643,6191868642,184        pp,4.54,13,unknown,"Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Paperback,view,/book/show/203261604
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Българско стихознание,"Янакиев, Мирослав",,,,232        pp,4.00,6,1960,1960,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Hardcover,view,/book/show/17448947
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ще ида с Ванеса: Разказ за една малка добрина,Kerascoët,6199175123,9786199175125,6199175123,48        pp,4.38,"2,254","Apr 24, 2018",2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Hardcover,view,/book/show/59741571
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watermark: Poems of the Great Johnstown Flood of 1889,"Sabol, Barbara",1946580414,9781946580412,1946580414,132        pp,5.00,4,"Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Paperback,view,/book/show/199398962-watermark
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Уханието на цветя в нощта,"Slimani, Leïla",,9786197516494,,108        pp,3.93,"2,417","Jan 20, 2021","Dec 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Paperback,view,/book/show/202287511
