,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Thomas's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Judgment: Essays,"Oyler, Lauren",0063235358,9780063235359,B0BRJH5R6S,288        pp,3.68,145,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2024",,Kindle Edition,view,/book/show/75663718-no-judgment
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Viral Underclass: The Human Toll When Inequality and Disease Collide,"Thrasher, Steven W.*",1250796636,9781250796639,1250796636,352        pp,4.19,"1,055","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/57693593-the-viral-underclass
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Colored Television,"Senna, Danzy",0593544374,9780593544372,0593544374,288        pp,4.48,29,"Jul 30, 2024","Sep 03, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 28, 2024",,Hardcover,view,/book/show/201102398-colored-television
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kimiko Does Cancer: A Graphic Memoir,"Tobimatsu, Kimiko*",1551528193,9781551528199,1551528193,96        pp,4.03,589,"Oct 06, 2020","Oct 06, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Paperback,view,/book/show/52022909-kimiko-does-cancer
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Atlas Six        (The Atlas #1),"Blake, Olivie*",,,B0831PC532,556        pp,3.61,"202,793","Jan 31, 2020","Jan 31, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 27, 2024",,Kindle Edition,view,/book/show/50520939-the-atlas-six
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Skin,"Reapy, E.M.",1789540941,9781789540949,1789540941,338        pp,3.53,893,"Aug 08, 2019","Aug 01, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/41448931-skin
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Victim,"Boryga, Andrew",0385549970,9780385549974,0385549970,288        pp,4.05,359,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/177185976-victim
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thunder Song: Essays,"LaPointe, Sasha taqwšəblu",1640096353,9781640096356,1640096353,256        pp,4.53,169,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/185767242-thunder-song
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Salt Grows Heavy,"Khaw, Cassandra*",1250830915,9781250830913,1250830915,106        pp,3.60,"14,035","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Hardcover,view,/book/show/61884779-the-salt-grows-heavy
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monsters: A Fan's Dilemma,"Dederer, Claire",0525564187,9780525564188,0525564187,288        pp,3.82,"9,410","Apr 25, 2023","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/204736837-monsters
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All That’s Left in the World,"Brown, Erik J.*",0063054981,9780063054981,0063054981,368        pp,4.24,"27,425","Mar 08, 2022","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2024",,Paperback,view,/book/show/61419650-all-that-s-left-in-the-world
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thin Skin: Essays,"Shapland, Jenn*",0593317459,9780593317457,B0BML4X8S7,289        pp,4.05,461,"Aug 15, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 24, 2024",,Kindle Edition,view,/book/show/63428313-thin-skin
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send Me Into the Woods Alone: Essays on Motherhood,"Pepler, Erin*",,9781988784892,B09BB1J8ZV,181        pp,4.27,186,unknown,"Apr 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Kindle Edition,view,/book/show/61046064-send-me-into-the-woods-alone
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bone Season        (The Bone Season, #1)","Shannon, Samantha*",163973418X,9781639734184,163973418X,624        pp,3.81,"81,778","Aug 20, 2013","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 23, 2024",,Paperback,view,/book/show/195391688-the-bone-season
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unsettled Belonging: Educating Palestinian American Youth after 9/11,"El-Haj, Thea Renda Abu",022628946X,9780226289465,022628946X,264        pp,4.24,33,"Nov 16, 2015","Nov 27, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really great academic book about Palestinian American youth living in the United States after 9/11. Thea Renda Abu El-Haj does a wonderful and thorougReally great academic book about Palestinian American youth living in the United States after 9/11. Thea Renda Abu El-Haj does a wonderful and thorough job of writing about several important topics, such as how Palestinian American kids and teens navigate their identities both as Palestinians and as Americans. She highlights the racism they face from their teachers as well as how everyday nationalism contributes to stereotypical and violent assumptions about Arab individuals and Arab Americans. What I most loved about this book is how Thea Renda Abu El-Haj interviews Palestinian American kids and teens and highlights how they practice resistance of racism in the United States and how they cultivate pride in their identities as Palestinians. Amidst the horrific ongoing genocide in Palestine now it was heartwarming to read these narratives that portrayed Palestinian American youth in a more three-dimensional light. Given that it’s an academic text sometimes the writing is a little dry though I found the content important and meaningful regardless....more",Notes are private!,0,53,1,"Mar 22, 2024","Mar 24, 2024","Mar 22, 2024",,Paperback,view (with text),/book/show/24998596-unsettled-belonging
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Innocents,"Crummey, Michael*",,,B07NV2MMXW,293        pp,3.78,"8,711","Aug 27, 2019","Nov 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Kindle Edition,view,/book/show/44540158-the-innocents
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm the Girl,"Summers, Courtney*",1250323541,9781250323545,1250323541,384        pp,3.40,"4,437","Sep 13, 2022","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Paperback,view,/book/show/127280371-i-m-the-girl
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Empire Wars,"Phenix, Akana",,9798212913577,B0CMVW3QX8,350        pp,4.74,39,"Jul 30, 2024","Aug 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/201794207-the-empire-wars
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brighter Than the Sun,"Aleman, Daniel*",0316704474,9780316704472,0316704474,352        pp,4.12,333,"Mar 21, 2023","Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/61387625-brighter-than-the-sun
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hope Ablaze,"Rana, Sarah Mughal*",1250899311,9781250899316,1250899311,384        pp,4.02,316,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/127305997-hope-ablaze
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Help Wanted,"Waldman, Adelle*",132402044X,9781324020448,132402044X,288        pp,3.72,904,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/150778765-help-wanted
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anita de Monte Laughs Last,"Gonzalez, Xochitl*",1250786215,9781250786210,1250786215,342        pp,3.91,"7,448","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/127306192-anita-de-monte-laughs-last
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lahore        (The Partition Trilogy #1),"Someshwar, Manreet Sodhi*",9354890695,9789354890697,B09FBS5P8G,352        pp,4.00,155,"Sep 30, 2021","Sep 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/59617445-lahore
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Standing Heavy,Gauz,1529414431,9781529414431,1529414431,168        pp,3.59,"1,055","Aug 28, 2014","May 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/61411075-standing-heavy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flip the Script,"Lee, Lyla*",006293693X,9780062936936,006293693X,296        pp,3.58,"3,518","May 31, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/43785625-flip-the-script
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most Fun We Ever Had,"Lombardo, Claire*",,,,640        pp,3.95,"79,086","Jun 25, 2019","Apr 06, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2024",,Paperback,view,/book/show/51540478-the-most-fun-we-ever-had
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Teachers: A Year Inside America's Most Vulnerable, Important Profession","Robbins, Alexandra*",1101986751,9781101986752,1101986751,372        pp,4.20,"3,178","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/61356231-the-teachers
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Police,"Ogawa, Yōko",1101911816,9781101911815,1101911816,274        pp,3.73,"88,714","Jan 26, 1994","Jul 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/50349968-the-memory-police
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The All-American,"Jr., Joe Milan*",1324075228,9781324075226,1324075228,336        pp,3.70,317,"Apr 04, 2023","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/174070074-the-all-american
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Owner of a Lonely Heart: A Memoir of Motherhood and Absence,"Nguyen, Beth",1982196351,9781982196356,1982196351,256        pp,3.62,"1,369","Jul 04, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/199797908-owner-of-a-lonely-heart
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Noodles: A Cambodian Memoir of Love, Loss, and Family Recipes","Nguon, Chantha",1643753495,9781643753492,1643753495,304        pp,4.35,297,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/173404032-slow-noodles
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The East Indian,"Charry, Brinda*",1668004534,9781668004531,1668004534,272        pp,3.83,"1,481","May 02, 2023","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/176443937-the-east-indian
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sweetness at the Bottom of the Pie        (Flavia de Luce, #1)","Bradley, Alan*",0385343493,9780385343497,0385343493,373        pp,3.82,"168,881","Apr 28, 2009","Jan 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/6481065-the-sweetness-at-the-bottom-of-the-pie
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stone Home,"Kim, Crystal Hana*",006331097X,9780063310971,006331097X,352        pp,4.09,106,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/181109975-the-stone-home
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Celebrants,"Rowley, Steven*",0593540433,9780593540435,0593540433,352        pp,3.65,"37,531","May 30, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/203663776-the-celebrants
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red Rising        (Red Rising, #1)","Brown, Pierce*",034553980X,9780345539809,034553980X,400        pp,4.27,"433,341","Jan 28, 2014",2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/52880778-red-rising
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Upstream: Selected Essays,"Oliver, Mary",1594206708,9781594206702,1594206708,178        pp,4.17,"19,038","Oct 11, 2016","Oct 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/29358559-upstream
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aftershock,"Ling, Zhang",1662509030,9781662509032,B0C1QB8B56,220        pp,4.28,198,2010,"Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Kindle Edition,view,/book/show/125706024-aftershock
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brace for Impact,"Montesanti, Gabe",0593241371,9780593241370,0593241371,416        pp,4.33,557,"May 24, 2022","May 24, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lots of great writing in this one. Brace for Impact reminded me a lot of I’m Glad My Mom Died by Jennette McCurdy, though in a quieter and queererLots of great writing in this one. Brace for Impact reminded me a lot of I’m Glad My Mom Died by Jennette McCurdy, though in a quieter and queerer way. In this memoir, Gabe Montesanti shares her journey of finding an empowering queer community in her roller derby team in St. Louis. Concurrently, she writes about her relationship with her family of origin, especially her mother, who’s critical of Gabe in so many ways – of her body, of her queerness, and of her vulnerability. I liked the honesty in which Montesanti wrote about her tumultuous relationship with her mother. I think there’s still stigma related to sharing about abusive parents; Montesanti plows right through that stigma and is real about the messy parts of her emotional arc, such as when she still wanted her mother’s approval or care. I also deeply appreciated Montesanti’s writing about finding queer community and in a way, chosen family. Though she writes about her wife Kelly a fair amount, it’s clear after reading this that Montesanti values connections outside of heteronormative romance and the nuclear family, which I resonate with. Overall, props to Montesanti for a moving memoir. The prose isn’t flashy, and its earnestness made her story feel down-to-earth and solid. Toward the end there were moments where I wanted even more internal exploration and reflection on how her relationship with her mother – and where it stood at toward the end of the memoir – affected her, though perhaps that will be for a future memoir. For the sake of transparency, I actually know Montesanti loosely. We actually met when she I think was in between her first and second year of her MFA program; I was an undergraduate who was doing a brief summer program at her grad program’s campus. We’ve been friends on social media since then and she’s been nothing but lovely, warm, and supportive of my various updates. I’m glad I got around to reading this and I wish her the best....more",Notes are private!,0,38,1,"Mar 02, 2024","Mar 05, 2024","Mar 02, 2024",,Hardcover,view (with text),/book/show/58210923-brace-for-impact
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Generation Ship,"Mammay, Michael*",0063252988,9780063252981,0063252988,608        pp,3.82,"1,023","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/63876699-generation-ship
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",0143110438,9780143110439,,462        pp,4.33,"543,439","Sep 06, 2016",Sep 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/62329671-a-gentleman-in-moscow
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Romantic Comedy,"Sittenfeld, Curtis*",039959096X,9780399590962,039959096X,352        pp,3.66,"176,416","Apr 04, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/203227876-romantic-comedy
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Spell of Good Things,"Adebayo, Ayobami*",1984898884,9781984898883,1984898884,352        pp,3.79,"4,157","Feb 07, 2023","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/193388124-a-spell-of-good-things
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Last Innocent Year,"Florin, Daisy Alpert*",1250857031,9781250857033,1250857031,304        pp,3.76,"10,922","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/60741808-my-last-innocent-year
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pineapple Street,"Jackson, Jenny*",0593490711,9780593490716,0593490711,320        pp,3.58,"153,298","Mar 07, 2023","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/203767708-pineapple-street
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Souls,"Pin, Cecile",1250863481,9781250863485,1250863481,240        pp,4.16,"9,450","Mar 21, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/127282384-wandering-souls
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sisterhood,"Kelly, Cathy",0008544972,9780008544973,B0C2TXWCFH,384        pp,4.20,977,unknown,"Feb 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Kindle Edition,view,/book/show/134966409-sisterhood
