,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Fabia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
436,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fuga da Bisanzio,"Brodsky, Joseph",8845930769,9788845930768,8845930769,243        pp,4.37,"1,231",1986,"Apr 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2018",,Paperback,view,/book/show/30067375-fuga-da-bisanzio
437,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tutto scorre...,"Grossman, Vasily",,,,229        pp,4.20,"3,812",1972,2010,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2018",,Paperback,view,/book/show/9806531-tutto-scorre
438,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Giorno dei morti,"Christie, Agatha",8804519266,9788804519263,8804519266,224        pp,3.92,"35,007",Feb 1945,"Mar 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2018",,Paperback,view,/book/show/25916911-giorno-dei-morti
439,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gli elefanti hanno buona memoria        (Hercule Poirot, #42)","Christie, Agatha",,,,189        pp,3.65,"41,572",Nov 1972,Jan 2014,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 13, 2018","Aug 17, 2018","Feb 08, 2018",,Paperback,view,/book/show/34259506-gli-elefanti-hanno-buona-memoria
440,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Se questo è un uomo,"Levi, Primo",8806176552,9788806176556,8806176552,209        pp,4.33,"75,103",1947,"Jun 13, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2018",,Paperback,view,/book/show/1541765.Se_questo_un_uomo
441,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lucrezia Borgia Giulia Farnese: Le donne più desiderate del Rinascimento,"Midleton, Bruna K.",8862721668,9788862721660,B0757CM8MK,148        pp,2.89,9,unknown,"Aug 30, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 08, 2017","Jul 11, 2017","Feb 02, 2018",,Kindle Edition,view,/book/show/36418640-lucrezia-borgia-giulia-farnese
442,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tende Rosse,"Agnello, Angelo",8862721536,9788862721530,8862721536,160        pp,0.00,0,unknown,2017,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 11, 2017","Sep 15, 2017","Feb 02, 2018",,Paperback,view,/book/show/38330920-tende-rosse
443,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Guido e il bandolo della matassa,"Giacani, Romolo",8862721749,9788862721745,8862721749,175        pp,3.40,5,unknown,Nov 2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 02, 2018","Feb 03, 2018","Feb 02, 2018",,Paperback,view,/book/show/38330885-guido-e-il-bandolo-della-matassa
444,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breve storia della vita privata,"Bryson, Bill",8850230133,9788850230136,8850230133,540        pp,3.98,"93,792","May 27, 2010",2012,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Oct 24, 2020","Nov 03, 2020","Jan 26, 2018",,Paperback,view,/book/show/20573166-breve-storia-della-vita-privata
445,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Storia della bellezza,"Eco, Umberto",8845272133,9788845272134,8845272133,438        pp,3.83,"61,606","Oct 06, 2004","Jan 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2018",,Hardcover,view,/book/show/17311387-storia-della-bellezza
446,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Siamo fatti di stelle: Dialogo sui minimi sistemi,"Hack, Margherita",8806215159,9788806215156,8806215159,184        pp,3.71,55,Jul 2013,Jul 2013,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/18206462-siamo-fatti-di-stelle
447,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Espiazione,"McEwan, Ian*",8806227343,9788806227340,8806227343,381        pp,3.94,"519,690","Sep 20, 2001","Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/26836416-espiazione
448,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il giovane Holden,"Salinger, J.D.",8806218182,9788806218188,8806218182,251        pp,3.80,"3,523,676","Jul 16, 1951","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 05, 2019","Jun 20, 2019","Jan 26, 2018",,Paperback,view,/book/show/22047252-il-giovane-holden
449,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Avventure della ragazza cattiva,"Vargas Llosa, Mario",8806219391,9788806219390,8806219391,368        pp,4.12,"41,780",May 2006,"Jan 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/35511993-avventure-della-ragazza-cattiva
450,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Armi, acciaio e malattie","Diamond, Jared",8806219227,9788806219222,8806219227,400        pp,4.04,"410,517","May 09, 1997",2014,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,13,1,"Dec 10, 2018","Dec 20, 2018","Jan 26, 2018",,Paperback,view,/book/show/21422084-armi-acciaio-e-malattie
451,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorgo rosso,Mo Yan,8806222155,9788806222154,8806222155,480        pp,3.79,"7,743",May 1987,"May 19, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jun 02, 2019","Jun 25, 2019","Jan 26, 2018",,Paperback,view,/book/show/25720040-sorgo-rosso
452,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La zia Julia e lo scribacchino,"Vargas Llosa, Mario",886621325X,9788866213253,886621325X,472        pp,3.95,"20,739",Mar 1977,Oct 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2018",,Hardcover,view,/book/show/31312030-la-zia-julia-e-lo-scribacchino
453,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sette minuti dopo la mezzanotte,"Ness, Patrick",8804637188,9788804637189,8804637188,232        pp,4.35,"265,614","May 05, 2011","Apr 22, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Erano mesi che non leggevo un libro così velocemente e di gusto. Questa piccola favola cupa è davvero un gioiellino, tocca temi profondi ma lo fa sempErano mesi che non leggevo un libro così velocemente e di gusto. Questa piccola favola cupa è davvero un gioiellino, tocca temi profondi ma lo fa sempre con delicatezza, senza fare la morale a nessuno. Non nego che mi ha fatto commuovere....more",Notes are private!,0,5,1,"Aug 27, 2020","Aug 28, 2020","Jan 26, 2018",,Paperback,view (with text),/book/show/29440188-sette-minuti-dopo-la-mezzanotte
454,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moll Flanders,"Defoe, Daniel",,,,330        pp,3.52,"46,337",1722,"Aug 17, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/9649457-moll-flanders
455,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vegetariana,Han Kang,8845931218,9788845931215,8845931218,177        pp,3.58,"165,691","Oct 30, 2007","Oct 13, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/32180061-la-vegetariana
456,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'avversario,"Carrère, Emmanuel",,,8845927865,169        pp,3.99,"29,596","Jan 31, 2000","May 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/17992458-l-avversario
457,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il giorno della civetta,"Sciascia, Leonardo",,,,120        pp,3.73,"14,570",1961,"Feb 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2018",,Paperback,view,/book/show/6057901-il-giorno-della-civetta
458,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amanti e regine: Il potere delle donne,"Craveri, Benedetta",,,8845923029,432        pp,4.09,"1,090",2005,"Aug 27, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,"Jan 27, 2019","Feb 04, 2019","Jan 26, 2018",,Paperback,view,/book/show/9714870-amanti-e-regine
459,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le cose che non ho detto,"Nafisi, Azar*",8845930165,9788845930164,8845930165,342        pp,3.72,"4,669","Dec 30, 2008","Aug 28, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Sep 10, 2018","Sep 13, 2018","Jan 26, 2018",,Paperback,view,/book/show/26183765-le-cose-che-non-ho-detto
