,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,For Your Own Good,"Downing, Samantha*",,,B08M16L6XD,379        pp,3.80,"34,895","Jul 20, 2021","Jul 20, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 20, 2022","Jun 25, 2022","Jun 20, 2022",,Kindle Edition,view,/book/show/56023371-for-your-own-good
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cackle,"Harrison, Rachel",0593332725,,B08S7B2QSD,299        pp,3.71,"26,849","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 28, 2022",not set,"Apr 28, 2022",,Kindle Edition,view,/book/show/57435907-cackle
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chemistry,"Wang, Weike",1524731757,,B01M0KOP1P,224        pp,3.74,"22,899","May 23, 2017","May 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 18, 2022",not set,"Apr 18, 2022",,Kindle Edition,view,/book/show/31684925-chemistry
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Are Not Like Them,"Pride, Christine",,,B08VJM1568,336        pp,4.07,"43,007","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2022",,Kindle Edition,view,/book/show/57328746-we-are-not-like-them
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tuesday Mooney Talks to Ghosts,"Racculia, Kate*",0358023939,9780358023937,0358023939,359        pp,3.87,"15,915","Oct 01, 2019","Oct 08, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 24, 2022","Mar 25, 2022","Mar 24, 2022",,Hardcover,view,/book/show/42478640-tuesday-mooney-talks-to-ghosts
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beautiful Mystery        (Chief Inspector Armand Gamache, #8)","Penny, Louise*",1250031125,9781250031129,1250031125,373        pp,4.20,"79,102","Aug 28, 2012","Jul 02, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 19, 2022","Mar 24, 2022","Mar 19, 2022",,Paperback,view,/book/show/16045144-the-beautiful-mystery
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Invisible Child: Poverty, Survival & Hope in an American City","Elliott, Andrea",0812986946,9780812986945,0812986946,602        pp,4.72,"15,199","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2022",,Hardcover,view,/book/show/57359691-invisible-child
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Trick of the Light        (Chief Inspector Armand Gamache, #7)","Penny, Louise*",0312655452,9780312655457,0312655452,339        pp,4.31,"77,390","Aug 30, 2011","Aug 30, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 11, 2022","Feb 12, 2022","Feb 11, 2022",,Hardcover,view,/book/show/10680329-a-trick-of-the-light
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Guncle        (The Guncle, #1)","Rowley, Steven*",0525542280,9780525542285,0525542280,326        pp,4.14,"135,294","May 25, 2021","May 25, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2022","Feb 02, 2022","Jan 29, 2022",,Hardcover,view,/book/show/54508798-the-guncle
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Last Girl Ghosted,"Unger, Lisa*",077831104X,9780778311041,077831104X,394        pp,3.64,"30,125","Oct 05, 2021","Oct 05, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jan 25, 2022not set","Jan 27, 2022not set","Jan 27, 2022",,Hardcover,view,/book/show/55871026-last-girl-ghosted
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight Riot        (Rivers of London #1),"Aaronovitch, Ben*",,,B004C43F70,401        pp,3.86,"130,011","Jan 10, 2011","Feb 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2022","Jan 19, 2022","Jan 10, 2022",,Kindle Edition,view,/book/show/57767007-midnight-riot
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Weeds: Around the World and Behind the Scenes with Anthony Bourdain,"Vitale, Tom",0306924072,9780306924071,B08PV5HYLG,407        pp,4.26,"7,161","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2022",,Kindle Edition,view,/book/show/57880181-in-the-weeds
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taste: My Life Through Food,"Tucci, Stanley",1982168013,9781982168018,1982168013,291        pp,4.21,"75,260","Oct 05, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 07, 2022","Jan 27, 2022","Jan 07, 2022",,Hardcover,view,/book/show/55360284-taste
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bury Your Dead        (Chief Inspector Armand Gamache, #6)","Penny, Louise*",0312377045,9780312377045,0312377045,371        pp,4.36,"85,702","Sep 28, 2010","Sep 28, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 03, 2022","Jan 07, 2022","Jan 03, 2022",,Hardcover,view,/book/show/7945049-bury-your-dead
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Husbands of Evelyn Hugo,"Reid, Taylor Jenkins*",1501139231,9781501139239,1501139231,389        pp,4.42,"3,003,072","Jun 13, 2017","Jun 13, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Jan 02, 2022not set","Jan 03, 2022not set","Jan 03, 2022",,Hardcover,view,/book/show/32620332-the-seven-husbands-of-evelyn-hugo
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Survivors,"Harper, Jane*",1760981052,9781760981051,1760981052,384        pp,3.76,"96,034","Sep 22, 2020","Sep 22, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 26, 2021",,Hardcover,view,/book/show/53305127-the-survivors
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fuzz: When Nature Breaks the Law,"Mary, Roach",,,B08XP24KR8,317        pp,3.84,"24,174","Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2021",,Kindle Edition,view,/book/show/57840335-fuzz
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The One Hundred Years of Lenni and Margot,"Cronin, Marianne*",,,B08F7SS35N,352        pp,4.30,"96,066","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2021",,Kindle Edition,view,/book/show/55683973-the-one-hundred-years-of-lenni-and-margot
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Brutal Telling        (Chief Inspector Armand Gamache, #5)","Penny, Louise*",,,,372        pp,4.23,"83,557","Sep 22, 2009","Sep 22, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 08, 2021",,Hardcover,view,/book/show/6449551-the-brutal-telling
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guide,"Heller, Peter",0525657762,9780525657767,0525657762,257        pp,3.63,"17,249","Aug 24, 2021","Aug 24, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 26, 2021","Nov 28, 2021","Nov 26, 2021",,Hardcover,view,/book/show/56098122-the-guide
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finlay Donovan Is Killing It        (Finlay Donovan, #1)","Cosimano, Elle*",1250241707,9781250241702,1250241707,355        pp,4.02,"163,419","Feb 02, 2021","Feb 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 17, 2021","Nov 20, 2021","Nov 17, 2021",,Hardcover,view,/book/show/53138099-finlay-donovan-is-killing-it
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not All Diamonds and Rosé: The Inside Story of The Real Housewives from the People Who Lived It,"Quinn, Dave",,,B08ZLMSXKZ,480        pp,3.92,"12,071","Oct 19, 2021","Oct 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 06, 2021","Nov 11, 2021","Nov 06, 2021",,Kindle Edition,view,/book/show/58647223-not-all-diamonds-and-ros
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Rule Against Murder        (Chief Inspector Armand Gamache, #4)","Penny, Louise*",0312377029,9780312377021,0312377029,322        pp,4.21,"94,956",2008,"Jan 20, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 04, 2021",,Hardcover,view,/book/show/4201106-a-rule-against-murder
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dial A for Aunties        (Aunties, #1)","Sutanto, Jesse Q*",0593336739,9780593336731,0593336739,299        pp,3.72,"92,668","Apr 27, 2021","Apr 27, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 04, 2021","Nov 06, 2021","Nov 04, 2021",,Hardcover,view,/book/show/53310061-dial-a-for-aunties
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Hilton,"Oppenheimer, Jerry",,,B000MAH7TU,304        pp,3.11,712,2006,unknown,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 28, 2021","Jan 27, 2022","Oct 28, 2021",,Kindle Edition,view,/book/show/10306661-house-of-hilton
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Cruelest Month        (Chief Inspector Armand Gamache, #3)","Penny, Louise*",0755328949,9780755328949,0755328949,310        pp,4.16,"102,618",2007,"Mar 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 15, 2021","Oct 16, 2021","Oct 15, 2021",,Hardcover,view,/book/show/2277378.The_Cruelest_Month
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idea of You,"Lee, Robinne*",,,B01MQLZ12X,386        pp,3.89,"85,448","Jun 13, 2017","Jun 13, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 15, 2021","Oct 28, 2021","Oct 15, 2021",,Kindle Edition,view,/book/show/39963855-the-idea-of-you
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Longings,"Kidd, Sue Monk*",052542976X,9780525429760,052542976X,416        pp,4.24,"123,678","Apr 21, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2021",,Hardcover,view,/book/show/52698452-the-book-of-longings
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sun Is a Compass: A 4,000-Mile Journey into the Alaskan Wilds","Van Hemert, Caroline*",,,,320        pp,4.28,"5,728","Mar 19, 2019","Mar 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 11, 2021",,Hardcover,view,/book/show/40696959-the-sun-is-a-compass
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Firekeeper’s Daughter,"Boulley, Angeline*",,,,496        pp,4.34,"154,729","Mar 16, 2021","Mar 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 05, 2021",,Hardcover,view,/book/show/52346471-firekeeper-s-daughter
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,False Witness,"Slaughter, Karin*",,,B08LVSC93V,512        pp,4.09,"92,606","Jul 20, 2021","Jul 20, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 23, 2021","Nov 28, 2021","Sep 23, 2021",,Kindle Edition,view,/book/show/55946895-false-witness
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Falling,"Newman, T.J.*",,,B08SNVSF47,304        pp,3.87,"76,609","Jul 06, 2021","Jul 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 19, 2021","Sep 21, 2021","Sep 19, 2021",,Kindle Edition,view,/book/show/56957424-falling
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,139","Jul 13, 2021","Jul 13, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not your typical sci-fi. This was so soothing, comforting and meditative. Highly recommended!!!",Notes are private!,0,0,1,not set,not set,"Sep 04, 2021",,Kindle Edition,view (with text),/book/show/40864002-a-psalm-for-the-wild-built
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Spoiler Alert        (Spoiler Alert, #1)","Dade, Olivia*",,,B083SN82NQ,393        pp,3.65,"45,308","Oct 06, 2020","Oct 06, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 27, 2021","Sep 04, 2021","Aug 27, 2021",,Kindle Edition,view,/book/show/53410266-spoiler-alert
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Boy from the Woods        (Wilde, #1)","Coben, Harlan*",1538748142,9781538748145,1538748142,371        pp,3.95,"99,676","Mar 17, 2020","Mar 17, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 24, 2021","Nov 28, 2021","Aug 24, 2021",,Hardcover,view,/book/show/51204046-the-boy-from-the-woods
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Should See Me in a Crown,"Johnson, Leah*",,,B07YBTCB9F,276        pp,4.09,"40,938","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 22, 2021",,Kindle Edition,view,/book/show/55053009-you-should-see-me-in-a-crown
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Five Wounds,"Quade, Kirstin Valdez",0393242838,9780393242836,0393242838,419        pp,4.14,"17,886","Apr 06, 2021","Mar 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2021",,Hardcover,view,/book/show/53597769-the-five-wounds
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Baker, Chandler*",125031951X,9781250319517,125031951X,346        pp,3.49,"33,432","Aug 03, 2021","Aug 03, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2021","Aug 15, 2021","Aug 15, 2021",,Hardcover,view,/book/show/54860592-the-husbands
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorrow and Bliss,"Mason, Meg*",,,B088FS3N1S,347        pp,4.10,"99,762","Sep 02, 2020","Feb 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 08, 2021","Aug 13, 2021","Aug 08, 2021",,Kindle Edition,view,/book/show/56050608-sorrow-and-bliss
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Project Hail Mary,"Weir, Andy*",,,B08FHBV4ZX,481        pp,4.51,"565,774","May 04, 2021","May 04, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I didn’t really connect with this one but I’ll still see the movie,Notes are private!,0,0,1,"Aug 02, 2021","Aug 06, 2021","Aug 02, 2021",,Kindle Edition,view (with text),/book/show/54906250-project-hail-mary
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is How They Tell Me the World Ends: The Cyberweapons Arms Race,"Perlroth, Nicole",1635576059,9781635576054,1635576059,528        pp,4.34,"8,750","Feb 09, 2021","Feb 09, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 02, 2021","Nov 28, 2021","Aug 02, 2021",,Hardcover,view,/book/show/49247043-this-is-how-they-tell-me-the-world-ends
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Freedom: A Cook's Story; Remaking a Life from Scratch,"French, Erin*",1250312345,9781250312341,1250312345,304        pp,4.25,"12,255","Apr 06, 2021","Apr 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 29, 2021",Aug 2021,"Jul 29, 2021",,Hardcover,view,/book/show/53317418-finding-freedom
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Great Circle,"Shipstead, Maggie*",,,,608        pp,4.11,"67,602","May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 17, 2021","Jul 29, 2021","Jul 17, 2021",,Hardcover,view,/book/show/54976986-great-circle
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Other Black Girl,"Harris, Zakiya Dalila*",1982160136,9781982160135,1982160136,357        pp,3.37,"76,906","Jun 01, 2021","Jun 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 10, 2021","Jul 17, 2021","Jul 10, 2021",,Hardcover,view,/book/show/55711688-the-other-black-girl
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Exiles,"Kline, Christina Baker*",,,,380        pp,4.15,"55,107","Aug 25, 2020","Aug 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 03, 2021","Jul 05, 2021","Jul 03, 2021",,Kindle Edition,view,/book/show/53533806-the-exiles
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outlaw Ocean: Journeys Across the Last Untamed Frontier,"Urbina, Ian*",,,B07LDT75YD,513        pp,4.35,"5,328","Aug 20, 2019","Aug 20, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 30, 2021",Aug 2021,"Jun 30, 2021",,Kindle Edition,view,/book/show/45551985-the-outlaw-ocean
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gold Diggers,"Sathian, Sanjena*",198488204X,9781984882042,B08CTFTL8J,351        pp,3.59,"10,765","Apr 06, 2021","Apr 06, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 25, 2021","Jun 30, 2021","Jun 25, 2021",,Kindle Edition,view,/book/show/56351129-gold-diggers
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chasing the Thrill: Obsession, Death, and Glory in America's Most Extraordinary Treasure Hunt","Barbarisi, Daniel*",0525656170,9780525656173,0525656170,368        pp,3.75,"2,173","May 18, 2021","May 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2021",,Hardcover,view,/book/show/55421265-chasing-the-thrill
