,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kat's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Spy in the House of Love        (Cities of the Interior, #4)","Nin, Anaïs",0671871390,9780671871390,0671871390,166        pp,3.71,"8,036",1954,"May 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2024",,Mass Market Paperback,view,/book/show/248665.A_Spy_in_the_House_of_Love
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Patron Saints of Nothing,"Ribay, Randy*",0525554912,9780525554912,0525554912,323        pp,4.24,"16,726","Jun 18, 2019","Jun 18, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/41941681-patron-saints-of-nothing
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Orange and Other Poems,"Cope, Wendy",057138952X,9780571389520,B0CLLG7G3N,53        pp,4.25,"2,941","Nov 09, 2023","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Kindle Edition,view,/book/show/200539015-the-orange-and-other-poems
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Post-Office Girl,"Zweig, Stefan",1590172620,9781590172629,1590172620,257        pp,4.09,"7,138",1982,"Apr 15, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/2376087.The_Post_Office_Girl
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Lesbian Experience With Loneliness,"Nagata, Kabi",1626926034,9781626926035,1626926034,143        pp,4.11,"25,427",2016,"Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/33113683-my-lesbian-experience-with-loneliness
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of Small Things,"Roy, Arundhati*",0679457313,9780679457312,B006E58GFG,321        pp,3.95,"298,006",Apr 1997,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/9777.The_God_of_Small_Things
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crush,"Siken, Richard",0300107897,9780300107890,0300107897,62        pp,4.34,"36,245","Apr 11, 2005","Apr 11, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Paperback,view,/book/show/96259.Crush
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Jail is Everywhere: Fighting the New Geography of Mass Incarceration,"Norton, Jack",1804291331,9781804291337,B0BMWTFYRS,217        pp,4.33,3,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 11, 2024",,Kindle Edition,view,/book/show/63389662-the-jail-is-everywhere
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eros the Bittersweet,"Carson, Anne",1564781887,9781564781888,1564781887,190        pp,4.46,"4,513",1986,"Mar 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/150255.Eros_the_Bittersweet
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me in the Bathroom: Rebirth and Rock and Roll in New York City 2001-2011,"Goodman, Lizzy",0062233092,9780062233097,0062233092,622        pp,4.16,"10,511","May 23, 2017","May 23, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/25816741-meet-me-in-the-bathroom
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hani and Ishu’s Guide to Fake Dating,Adiba Jaigirdar*,,,B08FGVSRY8,352        pp,4.10,"31,634","May 25, 2021","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Kindle Edition,view,/book/show/50266871-hani-and-ishu-s-guide-to-fake-dating
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heaven,"Kawakami, Mieko",1609456211,9781609456214,1609456211,192        pp,3.81,"53,412","Sep 02, 2009","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/53223710-heaven
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Amazing Adventures of Kavalier & Clay,"Chabon, Michael",0312282990,9780312282998,B007C4D1G2,639        pp,4.18,"202,692","Sep 19, 2000","Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Paperback,view,/book/show/3985.The_Amazing_Adventures_of_Kavalier_Clay
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sympathizer        (The Sympathizer, #1)","Nguyen, Viet Thanh*",0802123457,9780802123459,0802123457,371        pp,4.01,"113,609","Apr 02, 2015","Apr 07, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/23168277-the-sympathizer
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Do You Live?,"Yoshino, Genzaburo",1616209771,9781616209773,1616209771,288        pp,4.02,"11,799",1937,"Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 11, 2024",,Hardcover,view,/book/show/54110592-how-do-you-live
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen Confidential: Adventures in the Culinary Underbelly,"Bourdain, Anthony",0060899220,9780060899226,0060899220,312        pp,4.16,"315,288",2000,"Jan 09, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/33313.Kitchen_Confidential
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Connecticut Yankee in King Arthur's Court,"Twain, Mark",,,,480        pp,3.77,"103,490",1889,"May 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/162898.A_Connecticut_Yankee_in_King_Arthur_s_Court
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Courage to Be Disliked: How to Free Yourself, Change your Life and Achieve Real Happiness","Kishimi, Ichiro",,,,288        pp,4.00,"75,195","Dec 12, 2013","Jan 03, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/43306206-the-courage-to-be-disliked
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untamed,"Doyle, Glennon*",1984801252,9781984801258,1984801252,333        pp,3.99,"439,867","Mar 10, 2020","Mar 10, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/52129515-untamed
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,King and the Dragonflies,"Callender, Kacen",1338129333,9781338129335,1338129333,272        pp,4.33,"9,295","Feb 04, 2020","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view,/book/show/44575111-king-and-the-dragonflies
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Time Machine,"Wells, H.G.",,,,118        pp,3.90,"519,073",1895,"Oct 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 18, 2023",,Paperback,view,/book/show/2493.The_Time_Machine
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emergency Contact,"Layne, Lauren",,9798200899326,B0BRRSX758,250        pp,4.00,"5,002","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 17, 2023",,Hardcover,view,/book/show/123182776-emergency-contact
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everything I Never Told You,"Ng, Celeste*",159420571X,9781594205712,159420571X,297        pp,3.85,"549,987","Jun 26, 2014","Jun 26, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Hardcover,view,/book/show/18693763-everything-i-never-told-you
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Some People Need Killing: A Memoir of Murder in My Country,"Evangelista, Patricia",0593133137,9780593133132,0593133137,428        pp,4.21,"3,002","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2023",,Hardcover,view,/book/show/124961437-some-people-need-killing
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Franny and Zooey,"Salinger, J.D.",0316769029,9780316769020,0316769029,201        pp,3.96,"222,185",1957,"Jan 30, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Paperback,view,/book/show/5113.Franny_and_Zooey
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Custom of the Country,"Wharton, Edith",0143039709,9780143039709,0143039709,370        pp,4.06,"13,971",1913,"May 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 04, 2023",,Paperback,view,/book/show/26950.The_Custom_of_the_Country
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood in My Eye,"Jackson, George L.",,,,195        pp,4.52,"1,971",1972,"Dec 19, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/489637.Blood_in_My_Eye
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things You May Find Hidden in My Ear: Poems from Gaza,"Toha, Mosab Abu*",0872868605,9780872868601,0872868605,144        pp,4.75,"1,653","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Paperback,view,/book/show/59418414-things-you-may-find-hidden-in-my-ear
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zipper Mouth,"Weeks, Laurie*",1558617485,9781558617483,1558617485,166        pp,3.65,565,"Jan 01, 2010","Oct 04, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Paperback,view,/book/show/10996592-zipper-mouth
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Go Tell It on the Mountain,"Baldwin, James",0141185910,9780141185910,0141185910,256        pp,4.04,"68,527","May 18, 1953",2001,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"so so beautiful, what vivid storytelling!! how sweet and human.",Notes are private!,0,0,1,"Oct 27, 2023","Dec 14, 2023","Oct 27, 2023",,Paperback,view (with text),/book/show/17143.Go_Tell_It_on_the_Mountain
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dancing With Life: Buddhist Insights for Finding Meaning and Joy in the Face of Suffering,"Moffitt, Phillip*",1594863539,9781594863530,1594863539,352        pp,4.25,726,"Apr 15, 2008","Apr 15, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,a very grounding book,Notes are private!,0,0,1,not set,"Oct 19, 2023","Oct 19, 2023",,Hardcover,view (with text),/book/show/2363429.Dancing_With_Life
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Raisin in the Sun,"Hansberry, Lorraine",0375508333,9780375508332,0375508333,162        pp,3.85,"96,450",1959,"May 07, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 09, 2023",,Hardcover,view,/book/show/5517.A_Raisin_in_the_Sun
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Love: A Memoir of Love and Loss,"Bloom, Amy",0593243943,9780593243947,0593243943,240        pp,4.27,"21,200","Mar 08, 2022","Mar 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 05, 2023",,Hardcover,view,/book/show/58065372-in-love
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Gideon the Ninth        (The Locked Tomb, #1)","Muir, Tamsyn*",1250313198,9781250313195,1250313198,448        pp,4.22,"134,004","Sep 10, 2019","Sep 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2023",,Hardcover,view,/book/show/42036538-gideon-the-ninth
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Geographies of Digital Exclusion: Data and Inequality,"Graham, Mark*",0745340180,9780745340180,0745340180,208        pp,3.86,21,unknown,"Jan 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 03, 2023",,Paperback,view,/book/show/53425776-geographies-of-digital-exclusion
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",,,,304        pp,4.21,"280,529","Jan 19, 2010","Jan 19, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Hardcover,view,/book/show/341879.Just_Kids
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Laughter and Forgetting,"Kundera, Milan",0060932147,9780060932145,0060932147,313        pp,3.96,"49,433",1979,"May 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Paperback,view,/book/show/240976.The_Book_of_Laughter_and_Forgetting
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Breasts and Eggs,"Kawakami, Mieko",1609455878,9781609455873,1609455878,430        pp,3.86,"54,430","Jul 11, 2019","Apr 07, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 24, 2023",,Hardcover,view,/book/show/50736031-breasts-and-eggs
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Creative Act: A Way of Being,"Rubin, Rick",0593652886,9780593652886,0593652886,406        pp,4.08,"32,184","Jan 17, 2023","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 22, 2023",,Hardcover,view,/book/show/60965426-the-creative-act
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Friend,"Tartt, Donna",1400031699,9781400031696,1400031699,624        pp,3.47,"69,752","Oct 22, 2002","Oct 28, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2023",,Paperback,view,/book/show/775346.The_Little_Friend
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History,"Tartt, Donna",1400031702,9781400031702,1400031702,559        pp,4.17,"742,030","Sep 16, 1992","Sep 11, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 20, 2023",,Paperback,view,/book/show/29044.The_Secret_History
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everything Arises, Everything Falls Away: Teachings on Impermanence and the End of Suffering","Chah, Ajahn",1590302176,9781590302170,1590302176,144        pp,4.27,332,2005,"Mar 08, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 07, 2023",,Paperback,view,/book/show/195652.Everything_Arises_Everything_Falls_Away
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ethical Slut: A Guide to Infinite Sexual Possibilities,"Easton, Dossie",1890159018,9781890159016,1890159018,280        pp,3.93,"22,648",1997,"Dec 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 31, 2023",,Paperback,view,/book/show/54944.The_Ethical_Slut
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Jazz        (Beloved Trilogy, #2)","Morrison, Toni",0452269652,9780452269651,0452269652,229        pp,3.88,"32,177",Apr 1992,"Apr 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2023",,Paperback,view,/book/show/37398.Jazz
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy Parts,"Clark, Eliza",,9781910312643,,304        pp,3.78,"47,707","Jul 23, 2020",Jul 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2023",,ebook,view,/book/show/49083140-boy-parts
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Territory of Light,"Tsushima, Yūko",0241312191,9780241312193,0241312191,122        pp,3.59,"7,467",1978,"Apr 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 21, 2023",,Paperback,view,/book/show/33871745-territory-of-light
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mga Ibong Mandaragit,"Hernandez, Amado V.",,,,419        pp,4.06,865,May 1969,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2023",,Paperback,view,/book/show/1848266.Mga_Ibong_Mandaragit
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unbearable Lightness of Being,"Kundera, Milan",0571224385,9780571224388,0571224385,314        pp,4.11,"469,595",1984,"Oct 27, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Many things from this book stuck with me,Notes are private!,0,0,1,"Feb 03, 2024","Apr 10, 2024","Aug 09, 2023",,Paperback,view (with text),/book/show/9717.The_Unbearable_Lightness_of_Being
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Terminal Boredom: Stories,"Suzuki, Izumi",1788739884,9781788739887,1788739884,218        pp,3.60,"4,479","Apr 20, 2021","Apr 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2023",,Paperback,view,/book/show/55251789-terminal-boredom
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Confessions of a Mask,"Mishima, Yukio",0720610311,9780720610314,0720610311,224        pp,3.95,"30,461",1949,"Oct 27, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 13, 2023",,Paperback,view,/book/show/62794.Confessions_of_a_Mask
