,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bookworm Adventure Girl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490169,9780593490167,0593490169,464        pp,3.62,"101,887","Feb 21, 2023","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/202514144-i-have-some-questions-for-you
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Were Watching from the Sand,"Lamy, Juliana",1636281052,9781636281056,1636281052,176        pp,4.10,31,unknown,"Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/125372151-you-were-watching-from-the-sand
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dances,"Cuffy, Nicole",0593498151,9780593498156,0593498151,288        pp,3.74,922,"May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/62033389-dances
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cocktail,"Alward, Lisa",1771965622,9781771965620,1771965622,224        pp,4.07,87,unknown,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/125394560-cocktail
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Us: A Novel,"Hernandez, Catherine*",1443459755,9781443459754,1443459755,304        pp,4.21,"1,343","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/64542897-the-story-of-us
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Collected Regrets of Clover,"Brammer, Mikki*",1250284392,9781250284396,,320        pp,4.18,"56,254","May 09, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/61214136-the-collected-regrets-of-clover
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Eighth Life,"Haratischwili, Nino",191161746X,9781911617464,191161746X,944        pp,4.52,"22,535","Aug 18, 2014","Nov 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2024",not set,"Mar 07, 2024",,Hardcover,view,/book/show/41071389-the-eighth-life
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571375588,9780571375585,,unknown,4.18,"2,287","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,ebook,view,/book/show/61842212-soldier-sailor
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wren, the Wren","Enright, Anne",1324005688,9781324005681,B0BWGJ8WQB,283        pp,3.58,"5,395","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/77265006-the-wren-the-wren
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Defence of the Act,"Black, Effie*",1739188144,9781739188146,1739188144,182        pp,4.23,315,unknown,"Jul 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Paperback,view,/book/show/156681860-in-defence-of-the-act
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ours,"Williams, Phillip B.*",059365482X,9780593654828,,592        pp,3.91,245,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/195095780-ours
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Thank You, Mr. Nixon","Jen, Gish*",0593319893,9780593319895,0593319893,272        pp,4.01,"1,038","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/57933324-thank-you-mr-nixon
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Should Not Be Afraid of the Sky,"Hooper, Emma*",0735232741,9780735232747,0735232741,320        pp,3.68,401,unknown,"Aug 09, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/59606357-we-should-not-be-afraid-of-the-sky
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let There Be Light,"Finck, Liana*",1984801538,9781984801531,1984801538,352        pp,4.04,723,"Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/59633863-let-there-be-light
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Woman of Light,"Fajardo-Anstine, Kali*",0525511326,9780525511328,0525511326,336        pp,3.66,"11,683","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/58587145-woman-of-light
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Isn't Here Today,"Cunningham, Francine*",1988784905,,,272        pp,4.01,74,unknown,"May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/60438476-god-isn-t-here-today
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Activities of Daily Living,"Chen, Lisa Hsiao",0393881121,9780393881127,0393881121,352        pp,3.85,792,"Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/58085233-activities-of-daily-living
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Natural History,"Barrett, Andrea",1324035196,9781324035190,1324035196,208        pp,3.75,614,"Sep 13, 2022","Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/60165427-natural-history
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scandal at the Savoy        (Priscilla Tempest Mysteries #2),"Base, Ron*",1771623454,9781771623452,1771623454,320        pp,3.82,80,"Mar 18, 2023","Oct 03, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024","Mar 16, 2024","Mar 01, 2024",,Paperback,view,/book/show/86122360-scandal-at-the-savoy
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death at the Savoy        (Priscilla Tempest Mysteries #1),"Base, Ron*",1771623217,9781771623216,1771623217,288        pp,3.40,300,2022,"Oct 18, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.5 - Fun, light hearted, cozy mystery.Pavarotti, Bob Hope, Richard Burton and Elizabeth Taylor make cameo appearances.",Notes are private!,0,2,1,Mar 2024,"Mar 02, 2024","Mar 01, 2024",,Paperback,view (with text),/book/show/60277572-death-at-the-savoy
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Meaning of Leaving,"Rogers, Kate",1990496172,9781990496172,1990496172,96        pp,4.20,5,unknown,"Feb 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/185568002-the-meaning-of-leaving
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nymph and the Lamp,"Randall, Thomas H.",,,B000B5S1UK,382        pp,4.04,192,"Jan 01, 1950","Jan 01, 1950",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2024",not set,"Feb 27, 2024",,Mass Market Paperback,view,/book/show/167476233-the-nymph-and-the-lamp
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Year of Last Things: Poems,"Ondaatje, Michael",0771012314,9780771012310,0771012314,128        pp,3.71,85,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/208456780-a-year-of-last-things
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Book, Und","Avagyan, Shushan",1911284886,9781911284888,1911284886,192        pp,4.21,14,2006,"Dec 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/203791698-a-book-untitled
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blue Notes,"Bomann, Anne Cathrine*",1771668679,9781771668675,1771668679,242        pp,3.90,472,"Sep 23, 2021","Feb 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/157051068-blue-notes
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Not a River,"Almada, Selva",1913867455,9781913867454,1913867455,99        pp,4.02,"2,646",2020,Jan 2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/203176874-not-a-river
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Furrows,"Serpell, Namwali*",059344891X,9780593448915,059344891X,288        pp,3.22,"4,656","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/59900679-the-furrows
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Sisters,"Asghar, Fatimah",0593133463,9780593133460,0593133463,352        pp,3.94,"5,163","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/60279775-when-we-were-sisters
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We Fed to the Manticore,"Kolluri, Talia Lakshmi",1953534414,9781953534415,1953534414,200        pp,4.14,"1,652","Sep 06, 2022","Sep 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/60528666-what-we-fed-to-the-manticore
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brown Girls,"Andreades, Daphne Palasi*",0593243420,9780593243428,0593243420,209        pp,3.92,"7,616","Jan 04, 2022","Jan 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Hardcover,view,/book/show/57717412-brown-girls
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Isaac and the Egg,"Palmer, Bobby*",1472285514,9781472285515,1472285514,288        pp,4.07,"6,747","Aug 09, 2022","Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/61267070-isaac-and-the-egg
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Guncle        (The Guncle, #1)","Rowley, Steven*",0525542280,9780525542285,0525542280,326        pp,4.14,"135,263","May 25, 2021","May 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/54508798-the-guncle
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lily and the Octopus,"Rowley, Steven*",1501146238,9781501146237,1501146238,305        pp,3.73,"46,307","Jun 07, 2016","Jun 07, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Feb 16, 2024","Feb 18, 2024","Feb 14, 2024",,Paperback,view,/book/show/29417481-lily-and-the-octopus
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Great Country,"Gowda, Shilpi Somaya*",0385688962,9780385688963,0385688962,336        pp,4.06,535,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/200541252-a-great-country
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Last Song: you're never too old to change your tune,"Evans, Nathan",1912620294,9781912620296,B0CKGDVB9Z,162        pp,4.00,24,unknown,"Feb 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Kindle Edition,view,/book/show/199503445-one-last-song
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Soulmate,"Hepworth, Sally*",1250229707,9781250229700,1250229707,327        pp,3.81,"119,917","Oct 25, 2022","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 05, 2024","Feb 05, 2024","Feb 05, 2024",,Hardcover,view,/book/show/60784540-the-soulmate
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0771050364,9780771050367,0771050364,336        pp,4.01,"4,897","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/205829177-wandering-stars
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",1945492600,9781945492600,1945492600,208        pp,4.24,"50,758",1995,"May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/60811826-i-who-have-never-known-men
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glassmaker,"Chevalier, Tracy*",0525558284,9780525558286,B0CJBRHGSG,416        pp,4.16,32,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Kindle Edition,view,/book/show/200468547-the-glassmaker
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Rot,"Emezi, Akwaeke*",0525541632,9780525541639,0525541632,288        pp,4.10,29,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/202165946-little-rot
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coexistence: Stories,"Belcourt, Billy-Ray*",0735242046,9780735242043,B0CG89P9VJ,0        pp,4.67,30,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Kindle Edition,view,/book/show/197510738-coexistence
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,752,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/195474144-table-for-two
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crow Talk,"Garvin, Eileen*",0593473884,9780593473887,0593473884,368        pp,4.27,41,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/195430705-crow-talk
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Angel of Indian Lake        (The Indian Lake Trilogy, #3)","Jones, Stephen Graham*",1668011689,9781668011683,,416        pp,4.42,"1,020","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,ebook,view,/book/show/178072409-the-angel-of-indian-lake
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Great Country,"Gowda, Shilpi Somaya*",0063324342,9780063324343,0063324342,256        pp,4.06,535,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/181109976-a-great-country
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Princess of Las Vegas,"Bohjalian, Chris*",0385547587,9780385547581,0385547587,400        pp,3.63,"2,147","Mar 26, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/90587135-the-princess-of-las-vegas
61,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Expiration Dates,"Serle, Rebecca*",1982166827,9781982166823,1982166827,272        pp,3.79,"12,947","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Hardcover,view,/book/show/176443178-expiration-dates
62,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Christmas Carol,"Dickens, Charles",,9781774021989,,105        pp,4.08,"841,498","Dec 17, 1843",2021,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 24, 2023","Dec 26, 2023","Jan 22, 2024",,Leather Bound,view,/book/show/61609788-a-christmas-carol
