,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Reshmita's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Spectacular        (Caraval, #3.5)","Garber, Stephanie*",1250893402,9781250893406,1250893402,224        pp,4.81,134,"Oct 22, 2024","Oct 22, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/203578793-spectacular
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Bloodcarver,"Le, Vanessa*",1250881528,9781250881526,,384        pp,4.18,651,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/122765708-the-last-bloodcarver
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le racisme expliqué à ma fille,"Ben Jelloun, Tahar",2020680238,9782020680233,2020680238,208        pp,3.66,"2,462",1998,"Sep 17, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,the amount of time we spent on this. reshmita the caterpillar.,Notes are private!,0,2,1,"Feb 27, 2024","Mar 17, 2024","Feb 27, 2024",,Paperback,view (with text),/book/show/387147.Le_racisme_expliqu_ma_fille
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Rose of Shanghai,"Randel, Weina Dai*",1542032881,9781542032889,B08YYY8ZNX,429        pp,4.13,"39,907","Dec 01, 2021","Dec 01, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,pretty good! reshmita the caterpillar.,Notes are private!,0,1,1,"Feb 27, 2024","Feb 27, 2024","Feb 27, 2024",,Kindle Edition,view (with text),/book/show/59232498-the-last-rose-of-shanghai
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Corduroy,"Freeman, Don",0670241334,9780670241330,B006VAMDL2,32        pp,4.32,"221,282",1968,"Mar 11, 1968",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/231850.Corduroy
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spellbound in the Stacks,"Iwancio, K.*",,,B0CJMJ1FRL,212        pp,3.81,354,unknown,"Sep 29, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"why do I do this to myself. ejknemsa,ekd. reshmita the caterpillar.",Notes are private!,1,2,1,"Feb 26, 2024","Feb 26, 2024","Feb 26, 2024",,Kindle Edition,view (with text),/book/show/199269575-spellbound-in-the-stacks
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fox Wife,"Choo, Yangsze*",1250266017,9781250266019,1250266017,390        pp,4.05,"4,873","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/127278666-the-fox-wife
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Feasts at Night        (Sworn Soldier, #2)","Kingfisher, T.",1250830850,9781250830852,1250830850,151        pp,3.97,"8,202","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/127306440-what-feasts-at-night
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Master of Djinn        (Dead Djinn Universe, #1)","Clark, P. Djèlí*",,,B08HKXS84X,438        pp,4.04,"27,409","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/52504334-a-master-of-djinn
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Eaters,"Dean, Sunyi*",1250810183,9781250810182,1250810183,298        pp,3.65,"39,251","Aug 02, 2022","Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/58724745-the-book-eaters
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"For the Wolf        (Wilderwood, #1)","Whitten, Hannah*",0316592781,9780316592789,0316592781,437        pp,3.62,"47,506","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/53418394-for-the-wolf
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Strike the Zither        (Kingdom of Three, #1)","He, Joan*",1250895529,9781250895523,1250895529,384        pp,3.75,"3,113","Oct 25, 2022","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/63233661-strike-the-zither
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Henna Artist        (The Jaipur Trilogy, #1)","Joshi, Alka*",0778310205,9780778310204,0778310205,384        pp,4.19,"177,382","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/50607466-the-henna-artist
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rebels of Gold        (Loom Saga #3),"Kova, Elise*",,9781619846548,,429        pp,4.10,"2,241","Aug 01, 2017","Dec 05, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,THIS IS SOOOO GOOD. Reshmita the caterpillar.,Notes are private!,0,0,1,"Feb 23, 2024","Feb 23, 2024","Feb 23, 2024",,ebook,view (with text),/book/show/35385966-the-rebels-of-gold
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"An Heir of Frost        (A Trial of Sorcerers, #4)","Kova, Elise*",1949694569,9781949694567,B0BWFVDZKQ,411        pp,4.30,595,"Feb 16, 2024","Feb 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. YAY! now I must wait again.,Notes are private!,0,0,1,Feb 2024,Feb 2024,"Feb 23, 2024",,Kindle Edition,view (with text),/book/show/122808073-an-heir-of-frost
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dragons of Nova        (Loom Saga, #2)","Kova, Elise*",1619845539,9781619845534,1619845539,487        pp,4.04,"3,125","Jul 11, 2017","Jul 11, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. I LOOOOVE ELISE KOVA.,Notes are private!,0,0,1,Feb 2024,Feb 2024,"Feb 23, 2024",,Hardcover,view (with text),/book/show/31686500-the-dragons-of-nova
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Deal with the Elf King        (Married to Magic, #1)","Kova, Elise*",1949694283,9781949694284,1949694283,317        pp,3.73,"94,778","Nov 06, 2020","Nov 06, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar!,Notes are private!,0,2,1,"Feb 13, 2024","Feb 13, 2024","Feb 13, 2024",,Paperback,view (with text),/book/show/55285911-a-deal-with-the-elf-king
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Tournament of Crowns        (A Trial of Sorcerers, #3)","Kova, Elise*",1949694550,9781949694550,1949694550,394        pp,4.28,"1,459","Feb 27, 2023","Feb 23, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar! i really need to catch up on s. anyways the next book comes out like this week so hehehe.,Notes are private!,3,2,1,"Feb 09, 2024","Feb 10, 2024","Feb 09, 2024",,Hardcover,view (with text),/book/show/77264228-a-tournament-of-crowns
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Hunt of Shadows        (A Trial of Sorcerers, #2)","Kova, Elise*",1949694372,9781949694376,1949694372,382        pp,4.04,"3,019","Mar 01, 2022","Mar 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,yay! reshmita the caterpillar!,Notes are private!,0,1,1,"Feb 08, 2024","Feb 09, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/60103749-a-hunt-of-shadows
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Trial of Sorcerers        (A Trial of Sorcerers, #1)","Kova, Elise*",,,B085GLPGGR,355        pp,4.11,"7,144","Mar 04, 2021","Mar 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I like this better than vortex chronicles or whatever it's called! yippee. reshmita the caterpillar. I like this better than vortex chronicles or whatever it's called! yippee. reshmita the caterpillar. ...more,Notes are private!,0,1,1,"Feb 07, 2024","Feb 07, 2024","Feb 07, 2024",,Kindle Edition,view (with text),/book/show/53697329-a-trial-of-sorcerers
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Faebound        (Faebound, #1)","El-Arifi, Saara*",0593723007,9780593723005,0593723007,386        pp,3.69,"7,598","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Hardcover,view,/book/show/157981739-faebound
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tales from the Front        (Air Awakens, #2.5)","Kova, Elise*",,,,42        pp,3.64,"2,877","Feb 10, 2016","Feb 10, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,pretty decent! reshmita the caterpillar!,Notes are private!,0,0,1,"Feb 04, 2024","Feb 04, 2024","Feb 04, 2024",,ebook,view (with text),/book/show/29071069-tales-from-the-front
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Alchemists of Loom        (Loom Saga, #1)","Kova, Elise*",1619844419,9781619844414,1619844419,395        pp,3.96,"7,303","Jan 10, 2017","Jan 10, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. this was tbh her best written series.,Notes are private!,0,0,1,Feb 2024,Feb 2024,"Feb 04, 2024",,Hardcover,view (with text),/book/show/31549513-the-alchemists-of-loom
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Crystal Caged        (Air Awakens: Vortex Chronicles, #5)","Kova, Elise*",194969416X,9781949694161,B07YLYZPSC,459        pp,4.34,"2,667","Mar 14, 2020","Mar 14, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,YIPPEEE RESHMITA THE CATERPILLAR. also my kindle wont turn off now idk what I did,Notes are private!,0,1,1,"Feb 04, 2024","Feb 04, 2024","Feb 04, 2024",,Kindle Edition,view (with text),/book/show/52616975-crystal-caged
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sovereign Sacrifice        (Air Awakens: Vortex Chronicles, #4)","Kova, Elise*",1949694135,,B07VCGNP7V,326        pp,4.18,"2,833","Oct 15, 2019","Oct 15, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar! this book was better than the past 3 books!,Notes are private!,0,1,1,"Feb 04, 2024","Feb 04, 2024","Feb 04, 2024",,Kindle Edition,view (with text),/book/show/52006973-sovereign-sacrifice
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Failed Future        (Air Awakens: Vortex Chronicles, #3)","Kova, Elise*",1949694100,,B07R1ZCPPY,365        pp,4.17,"3,268","Jul 21, 2019","Jul 21, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. WHAT A TWIST may I say. i had a niggling thought in the back of my head that this might be what happened (like not exactly breshmita the caterpillar. WHAT A TWIST may I say. i had a niggling thought in the back of my head that this might be what happened (like not exactly but sort of?) but i didn't actually know. anyways. onwards! I miss aldrik and vhalla dearly ...more,Notes are private!,0,0,1,"Feb 03, 2024","Feb 03, 2024","Feb 03, 2024",,Kindle Edition,view (with text),/book/show/45361401-failed-future
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chosen Champion        (Air Awakens: Vortex Chronicles, #2)","Kova, Elise*",1949694062,9781949694062,B07N98K9XT,322        pp,4.12,"3,691","May 01, 2019","May 01, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,reshmita the caterpillar. I think the writing got better! and im lowkey loving the new lore we get about vhalla's time!reshmita the caterpillar. I think the writing got better! and im lowkey loving the new lore we get about vhalla's time!...more,Notes are private!,0,0,1,"Feb 03, 2024","Feb 03, 2024","Feb 03, 2024",,Kindle Edition,view (with text),/book/show/43831563-chosen-champion
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Vortex Visions        (Air Awakens: Vortex Chronicles, #1)","Kova, Elise*",1949694046,9781949694048,1949694046,374        pp,4.04,"5,360","Feb 04, 2019","Feb 04, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"reshmita the caterpillar! i will say something; this series is not as good as air awakens. i feel like the author's writing has grown worse since the reshmita the caterpillar! i will say something; this series is not as good as air awakens. i feel like the author's writing has grown worse since the first series, but I suppose I will have to see what happens! I do not really like vhalla's daughter. vi is annoying....more",Notes are private!,0,0,1,"Feb 02, 2024","Feb 03, 2024","Feb 02, 2024",,Paperback,view (with text),/book/show/41834793-vortex-visions
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman Warrior,"Kingston, Maxine Hong",0679721886,9780679721888,0679721886,204        pp,3.73,"31,821","Aug 12, 1976","Apr 23, 1989",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,im very sad. this book did not live up to expectations. reshmita the caterpillar.,Notes are private!,3,6,1,"Jan 31, 2024","Feb 11, 2024","Jan 31, 2024",,Paperback,view (with text),/book/show/30852.The_Woman_Warrior
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Agamemnon        (Oresteia, #1)",Aeschylus,0521010756,9780521010757,0521010756,144        pp,3.78,"25,159",-472,"Mar 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I hate plays,Notes are private!,0,0,1,"Jan 30, 2024","Mar 12, 2024","Jan 30, 2024",,Paperback,view (with text),/book/show/1524.Agamemnon
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murtagh        (The Inheritance Cycle, #5)","Paolini, Christopher*",1774882965,9781774882993,B0BWQPP1GV,688        pp,4.21,"19,483","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/123206298-murtagh
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glass Palace,"Trattner, Kathryn*",,9798987211281,B0C97JL1F6,384        pp,3.52,705,unknown,"Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,oh! i finished this! i liked the bird. reshmita the cardinal.,Notes are private!,2,3,1,"Jan 26, 2024","Jan 30, 2024","Jan 26, 2024",,Kindle Edition,view (with text),/book/show/180525417-the-glass-palace
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Oedipus Rex        (The Theban Plays, #1)",Sophocles,1580495931,9781580495936,1580495931,75        pp,3.72,"216,690",-429,"Jun 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2024","Mar 17, 2024","Jan 24, 2024",,Paperback,view,/book/show/1554.Oedipus_Rex
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Dark,"Murakami, Haruki",0307265838,9780307265838,0307265838,191        pp,3.74,"162,929",2004,"May 08, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 22, 2024",not set,"Jan 22, 2024",,Hardcover,view,/book/show/17803.After_Dark
