,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Adam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hollywood gothic: The tangled web of Dracula from novel to stage to screen,"Skal, David J.",0393029042,9780393029048,0393029042,242        pp,4.23,434,1990,"Jan 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 10, 2015",not set,"Mar 10, 2015",,Hardcover,view,/book/show/395823.Hollywood_gothic
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tales of the South Pacific,"Michener, James A.",0449206521,9780449206522,0449206521,384        pp,4.05,"15,999",1947,"Sep 12, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 29, 2015",not set,"Jan 29, 2015",,Mass Market Paperback,view,/book/show/133488.Tales_of_the_South_Pacific
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In a Lonely Place,"Hughes, Dorothy B.",1558614559,9781558614550,1558614559,250        pp,4.12,"6,939",1947,"Nov 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 29, 2015",,Paperback,view,/book/show/591354.In_a_Lonely_Place
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crampton,"Ligotti, Thomas",0952349760,9780952349761,0952349760,118        pp,4.35,117,2002,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this on the Web back when it was an unsolicited X-Files episode written by Thomas Ligotti. It's the best X-Files episode never filmed. Ligotti I read this on the Web back when it was an unsolicited X-Files episode written by Thomas Ligotti. It's the best X-Files episode never filmed. Ligotti threw a lot of his own personal visions into the script, but he also managed to capture Scully and Mulder's unique voices in a lot of very funny dialogue. I was extremely impressed, and still picture it in my mind almost like an episode that I've really seen. Brilliant....more",Notes are private!,0,7,1,not set,"Jul 13, 1999","Aug 19, 2014",,Limited edition paperback with CD,view (with text),/book/show/1515334.Crampton
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hold Tight,"Coben, Harlan*",1455807338,9781455807338,1455807338,6        pp,3.95,"51,649","Apr 15, 2008","Apr 13, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My wife and daughter and I recently went on a long road trip, and we needed some audiobooks to keep us entertained. The second one we listened to was My wife and daughter and I recently went on a long road trip, and we needed some audiobooks to keep us entertained. The second one we listened to was ""Hold Tight,"" by Harlan Coben, read by Scott Brick.""Hold Tight"" started out strong, with a number of intriguing plot elements and a few central mysteries that kept us involved. However, Coben's writing and plotting seemed to get lazier as the book went on, and the last several chapters felt like poorly constructed first drafts. Or an attempt to meet a deadline.The pontifications on suburban life and the emotional tribulations of being a parent were all relatable, but not particularly interesting. However, my wife and I did get a big laugh out of the line, ""Did you sic those Goths on me?""My biggest problem was with Scott Brick, who read the audiobook. His narration was very good for the most part, but several supporting characters in ""Hold Tight"" are African-American, and Scott Brick's ""blackcent"" was so bad it was distracting....more",Notes are private!,0,3,1,not set,"Jul 30, 2014","Aug 11, 2014",,Audio CD,view (with text),/book/show/10339844-hold-tight
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Clash of Kings        (A Song of Ice and Fire, #2)","Martin, George R.R.",0553579908,9780553579901,0553579908,"1,009        pp",4.42,"935,030","Nov 16, 1998",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 11, 2014",not set,"Aug 11, 2014",,Mass Market Paperback,view,/book/show/374855.A_Clash_of_Kings
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Raymond Chandler Papers: Selected Letters and Nonfiction, 1909-1959","Chandler, Raymond",0871137860,9780871137869,B001KXKYHA,288        pp,4.02,180,"Apr 09, 2000","Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 28, 2014",not set,"Jul 28, 2014",,Hardcover,view,/book/show/358919.The_Raymond_Chandler_Papers
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mao: The Unknown Story,"Chang, Jung",0679422714,9780679422716,0679422714,814        pp,3.81,"12,886","Sep 01, 2002","Oct 18, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 26, 2014",not set,"Jul 26, 2014",,Hardcover,view,/book/show/381345.Mao
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tatiana        (Arkady Renko, #8)","Smith, Martin Cruz",144236436X,9781442364363,144236436X,7        pp,3.76,"5,301","Nov 12, 2013","Nov 12, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 19, 2014",,Audio CD,view,/book/show/17571708-tatiana
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Game of Thrones        (A Song of Ice and Fire, #1)","Martin, George R.R.",,,,835        pp,4.44,"2,489,643","Aug 06, 1996",Sep 1997,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 26, 2014","Jul 19, 2014","Jun 26, 2014",,Mass Market Paperback,view,/book/show/409207.A_Game_of_Thrones
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The EC Archives: Weird Fantasy Volume 1,"Feldstein, Al",161655293X,9781616552930,161655293X,216        pp,4.24,116,"May 13, 2014","May 06, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 26, 2014",not set,"Jun 26, 2014",,Hardcover,view,/book/show/19519662-the-ec-archives
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,House of Psychotic Women: An Autobiographical Topography of Female Neurosis in Horror and Exploitation Films,"Janisse, Kier-la",1903254698,9781903254691,1903254698,360        pp,4.44,"1,032","Jan 01, 2012","Oct 15, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 14, 2014",not set,"May 14, 2014",,Paperback,view,/book/show/15903079-house-of-psychotic-women
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daredevil by Frank Miller & Klaus Janson, Vol. 3","Miller, Frank",0785134751,9780785134756,0785134751,283        pp,4.22,792,"Jan 01, 2007","Jan 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 10, 2014",not set,"May 10, 2014",,Paperback,view,/book/show/5221664-daredevil-by-frank-miller-klaus-janson-vol-3
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daredevil by Frank Miller & Klaus Janson, Vol. 2","Miller, Frank",0785134743,9780785134749,0785134743,313        pp,4.44,"1,083","Jan 01, 2004","Jan 01, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 28, 2014","May 10, 2014","Apr 28, 2014",,Paperback,view,/book/show/5866529-daredevil-by-frank-miller-klaus-janson-vol-2
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Dick Tracy Volume 13: 1950-1951,"Gould, Chester",1613771983,9781613771983,1613771983,256        pp,4.40,40,unknown,"May 29, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 15, 2014",not set,"Apr 15, 2014",,Hardcover,view,/book/show/14539922-the-complete-dick-tracy-volume-13
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,’Salem’s Lot,"King, Stephen*",0450031063,9780450031069,0450031063,483        pp,4.06,"455,794","Oct 17, 1975",1991,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 07, 2014",,Paperback,view,/book/show/11590._Salem_s_Lot
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daredevil by Frank Miller & Klaus Janson, Vol. 1","Miller, Frank",0785134735,9780785134732,0785134735,336        pp,4.06,"2,309","Nov 19, 2008","Jun 22, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If you know anything about Daredevil, you know that he really came into his own as a character when Frank Miller took over writing the series.I've reaIf you know anything about Daredevil, you know that he really came into his own as a character when Frank Miller took over writing the series.I've read every issue of Daredevil leading up to this volume, and everything that makes him work as a character was already in place before Miller started penciling the series. There were good issues and bad issues before Miller got involved, but the formula was getting stale. Basically, there would always be a soap-opera subplot going on with blind lawyer Matt Murdock (Daredevil's alter ego), or with one of his romantic partners, or with his best friend and law partner Franklin ""Foggy"" Nelson. This subplot would string along for several issues, but each individual issue would be dominated by a colorful super-villain. Daredevil would do battle with this villain and crack wise like Spider-Man. That was about it.The first half of this volume only showcases Miller's work as an artist. Roger McKenzie was still writing the series. Miller's first issue as both artist and writer is #168, and with that issue he ret-conned Elektra (the deadly Greek female assassin who is out to avenge her father's death) into Matt Murdock's life. Over the course of the next several issues, Miller created a dense criminal underworld with the Kingpin at its head and the vicious, psychopathic Bullseye as his most dangerous lieutenant. These issues are a joy to read. Plots and subplots are woven together seamlessly, and they have a great sense of griminess and nastiness, which suits the early 1980s NYC setting perfectly. ...more",Notes are private!,0,6,1,"Mar 27, 2014","Apr 28, 2014","Mar 27, 2014",,Paperback,view (with text),/book/show/4283754-daredevil-by-frank-miller-klaus-janson-vol-1
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Lists: Horror,"Wallace, Amy",0061537268,9780061537264,0061537268,410        pp,3.79,362,2008,"Sep 16, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 13, 2014",not set,"Feb 13, 2014",,Paperback,view,/book/show/3049159-the-book-of-lists
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The EC Archives: Weird Science Volume 1,"Feldstein, Al",1888472588,9781888472585,1888472588,212        pp,4.42,269,"Nov 07, 2006","Nov 07, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 07, 2014",not set,"Feb 07, 2014",,Hardcover,view,/book/show/139321.The_EC_Archives
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The EC Archives: The Haunt of Fear, Vol. 1","Feldstein, Al",,9780983948704,0983948704,211        pp,4.22,169,"Aug 11, 2015",Dec 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2014",not set,"Jan 09, 2014",,Hardcover,view,/book/show/2197522.The_EC_Archives
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The EC Archives: The Vault of Horror,  Vol. 1","Feldstein, Al",1888472731,9781888472738,1888472731,212        pp,4.19,480,1950,"Oct 20, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2014",not set,"Jan 09, 2014",,Hardcover,view,/book/show/293104.The_EC_Archives
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The EC Archives: Tales from the Crypt Volume 1,"Feldstein, Al",1888472553,9781888472554,1888472553,212        pp,4.14,790,"Jun 23, 2015","Feb 20, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2013",not set,"Dec 20, 2013",,Hardcover,view,/book/show/335959.The_EC_Archives
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Gormenghast Novels        (Gormenghast, #1-3)","Peake, Mervyn",0879516283,9780879516284,0879516283,"1,173        pp",4.02,"9,426",1959,Dec 1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 08, 2013",not set,"Dec 08, 2013",,Paperback,view,/book/show/39058.The_Gormenghast_Novels
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Serpents of Siva / The Magigals Mystery        (The Shadow, #12)","Gibson, Walter B.",1932806792,9781932806793,1932806792,143        pp,3.84,25,1938,"Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 08, 2013",not set,"Dec 08, 2013",,Paperback,view,/book/show/1688687.Serpents_of_Siva_The_Magigals_Mystery
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Scalped, Vol. 3: Dead Mothers        (Scalped, #3)","Aaron, Jason",1401219195,9781401219192,1401219195,167        pp,4.26,"3,925","Oct 21, 2008","Oct 21, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 08, 2013","Jul 27, 2014","Dec 08, 2013",,Paperback,view,/book/show/4471285-scalped-vol-3
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Scalped, Vol. 2: Casino Boogie        (Scalped, #2)","Aaron, Jason",1401216544,9781401216542,1401216544,144        pp,4.22,"4,066","Feb 06, 2008","Feb 06, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 08, 2013",,Paperback,view,/book/show/2270848.Scalped_Vol_2
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mark Hellinger Story: A Biography of Broadway and Hollywood,"Bishop, Jim",,,,368        pp,3.75,8,1952,1952,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A good biography makes you feel as if you personally know its subject when you're finished, and that's exactly what this book did. It was written by JA good biography makes you feel as if you personally know its subject when you're finished, and that's exactly what this book did. It was written by Jim Bishop, who was Mark Hellinger's copy boy and later his secretary.Hellinger was born in New York in 1903. Much to his father's dismay, who wanted him to follow in his footsteps by practicing law and marrying a nice Jewish girl, Mark's sole ambition in life was to become a writer. He eventually became one of the most widely read newspaper columnists in America, along with his close friend Walter Winchell. Prohibition was Hellinger's time and Broadway was his milieu. He knew everybody, and loved everybody. He wanted everybody to love him, too, but hid it under layers of gruffness and humor. He spent money as fast as he earned it. He was a drinker and a gambler who counted many gangsters among his friends. He dressed like an underworld character and married Gladys Glad, a Ziegfeld Girl and one of the most beautiful blondes in a country full of beautiful blondes.After Prohibition, Hellinger slowly gravitated to Hollywood. When he moved to Los Angeles permanently, he dropped his daily column but kept his full-page Sunday column, and enjoyed a wide readership until his death of coronary thrombosis in 1947 at the age of 44.His work in Hollywood is what he's best remembered for today. At Warner Bros. he worked frequently with director Raoul Walsh, on pictures like The Roaring Twenties (1939), They Drive by Night (1940), and High Sierra (1941). Hellinger really made his mark when he was sole producer. He bought the rights to Ernest Hemingway's short story ""The Killers,"" and turned it into a film. The Killers (1946) was Burt Lancaster's first film. Hellinger ""discovered"" Lancaster, and made another film with him, the prison drama Brute Force (1947), before producing one of the first and most important police procedural films, The Naked City, which was released in 1948. He consider The Naked City his best film, and it's certainly his most personal. In addition to being a mystery, it's a love letter to New York that Hellinger narrated himself. It was the first film to be shot entirely on location (with hidden cameras for the street scenes).This book is mostly episodic anecdotes, and it's a great read....more",Notes are private!,0,1,1,"Dec 08, 2013","Dec 15, 2013","Dec 08, 2013",,Hardcover,view (with text),/book/show/19296281-the-mark-hellinger-story
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Saga, Volume 1","Vaughan, Brian K.*",1607066017,9781607066019,1607066017,160        pp,4.17,"332,536","Oct 10, 2012","Oct 23, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Aug 28, 2013",,Paperback,view,/book/show/15704307-saga-volume-1
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perelandra        (Space Trilogy, #2)","Lewis, C.S.",074323491X,9780743234917,074323491X,190        pp,4.00,"53,366",1943,"Apr 08, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 19, 2013",not set,"Aug 19, 2013",,Paperback,view,/book/show/102550.Perelandra
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Revelation Space        (Revelation Space, #1)","Reynolds, Alastair",0441009425,9780441009428,0441009425,585        pp,3.99,"55,606",2000,"May 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 11, 2013",not set,"Jun 11, 2013",,Mass Market Paperback,view,/book/show/89187.Revelation_Space
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder City: The Bloody History of Chicago in the Twenties,"Lesy, Michael",0393330591,9780393330595,0393330591,344        pp,3.47,240,"Feb 01, 2007","Feb 17, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 26, 2013",not set,"May 26, 2013",,Paperback,view,/book/show/819900.Murder_City
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hardboiled Hollywood,"Décharné, Max",1605980765,9781605980768,1605980765,240        pp,3.33,84,"Mar 01, 2003","Jan 15, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2013",not set,"Apr 08, 2013",,Hardcover,view,/book/show/7260573-hardboiled-hollywood
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Continental Op,"Hammett, Dashiell",0679722580,9780679722588,0679722580,343        pp,4.16,"6,620",1930,Aug 1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2013",not set,"Apr 08, 2013",,Paperback,view,/book/show/761530.The_Continental_Op
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightmare Town: Stories,"Hammett, Dashiell",0375701028,9780375701023,0375701028,396        pp,4.04,"2,289",1999,"Sep 12, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2013",not set,"Apr 08, 2013",,Paperback,view,/book/show/842004.Nightmare_Town
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her,"Parravani, Christa*",0805096531,9780805096538,0805096531,320        pp,3.68,"6,167","Mar 05, 2013","Mar 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2013",not set,"Mar 12, 2013",,Hardcover,view,/book/show/15794110-her
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hellboy, Vol. 1: Seed of Destruction","Mignola, Mike",1593070942,9781593070946,1593070942,128        pp,4.15,"75,190","Jun 01, 1994","Mar 30, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 02, 2013","Jan 03, 2013",,Paperback,view,/book/show/102458.Hellboy_Vol_1
