,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Allison ༻hikes the bookwoods༺'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You're Not Done Yet: Parenting Young Adults in an Age of Uncertainty,"Hibbs, B. Janet",125028323X,9781250283238,125028323X,304        pp,4.29,17,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/127305729-you-re-not-done-yet
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Curiosities,"Fleming, Anne",1039004970,9781039004979,1039004970,320        pp,4.25,4,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 19, 2024",,Hardcover,view,/book/show/186872487-curiosities
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Novel,"Reichl, Ruth",,9780525613008,,unknown,3.90,298,2024,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Hardcover,view,/book/show/198209495-the-paris-novel
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",0670785938,9780670785933,0670785938,464        pp,4.40,"182,911","Jun 12, 2014","Sep 25, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book demonstrates methods for treating trauma through case studies, and while this may sound dry, it is actually quite fascinating. What is also This book demonstrates methods for treating trauma through case studies, and while this may sound dry, it is actually quite fascinating. What is also interesting is how this book remains popular ten years past publication, and sales have increased even more since the pandemic. Society is clearly dealing with a collective trauma, not just from Covid-19 but also climate change, racial issues, and geopolitics. ...more",Notes are private!,0,1,1,"Mar 17, 2024","Mar 24, 2024","Mar 17, 2024",,Hardcover,view (with text),/book/show/18693771-the-body-keeps-the-score
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Shield Maiden,"Smith, Willow",,9780593356739,059335673X,480        pp,2.46,103,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Hardcover,view,/book/show/60097419-black-shield-maiden
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautifully Damned and Unfinished,"Bobenic, Lexa*",,9781778031700,,228        pp,5.00,8,unknown,"Feb 22, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 17, 2024",,Paperback,view,/book/show/60470263-beautifully-damned-and-unfinished
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vermin,"Patterson, Ardin*",1928094740,9781928094746,1928094740,296        pp,4.22,9,unknown,"Aug 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/58501269-vermin
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The City and Its Uncertain Walls,"Murakami, Haruki",1787304477,9781787304475,1787304477,448        pp,3.83,713,"Apr 13, 2023","Nov 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/205358060-the-city-and-its-uncertain-walls
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Were Sisters,"Asghar, Fatimah",0593133463,9780593133460,0593133463,352        pp,3.94,"5,163","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Hardcover,view,/book/show/60279775-when-we-were-sisters
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Day with the Cup: NHL Players Tell Their Stories about Hometown Celebrations with Hockey's Greatest Trophy,"Lang, Jim",1982194448,9781982194444,1982194448,272        pp,3.00,2,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/199798781-my-day-with-the-cup
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unrest,"Tuinman, Gwen*",1039008607,9781039008601,,440        pp,4.81,16,unknown,"Jul 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/201770491-unrest
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Psychology of Money,"Housel, Morgan",,,,252        pp,4.33,"177,052",2020,"Sep 08, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was published in early 2020 and although it is just four years old, so much in the world has changed. The author uses historical examples toThis book was published in early 2020 and although it is just four years old, so much in the world has changed. The author uses historical examples to make his point, and the missing impacts of Covid-19 and deteriorating geopolitics on both inflation and financial markets feels like a gaping hole in this otherwise modern book. I know he has a follow-up book that came out recently, but if I were the author, I would do a revised edition of this one....more",Notes are private!,0,2,1,"Mar 24, 2024","Mar 28, 2024","Mar 07, 2024",,Paperback,view (with text),/book/show/41881472-the-psychology-of-money
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writing an Identity Not Your Own: A Guide for Creative Writers,"Temblador, Alex*",125090711X,9781250907110,125090711X,384        pp,4.50,18,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/195790703-writing-an-identity-not-your-own
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night in Question,"Fletcher, Susan",,9780385698122,,440        pp,4.33,111,"Apr 16, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Paperback,view,/book/show/205420927-the-night-in-question
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piglet,"Hazell, Lottie",125028984X,9781250289841,125028984X,320        pp,3.60,"5,835","Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Less than two weeks before their meticulously planned, elaborate wedding, Piglet’s fiancé confesses a betrayal and, having put so much effort into theLess than two weeks before their meticulously planned, elaborate wedding, Piglet’s fiancé confesses a betrayal and, having put so much effort into the wedding, a new home, her whole carefully constructed life, she doesn’t know how to respond. Instead of reacting as one might expect, she continues on autopilot, becoming increasingly undone as the wedding day nears. What I found compelling about her unravelling is that she finds comfort in food. Lots of food. The complicated relationship many women have with food is a topic not often explored. There’s a line towards the end of the book when Piglet compares her fiancé’s indulgence in pleasures of the flesh to her indulgence in culinary pleasures, and I loved it. I’m a stress eater, so I related to Piglet’s stress response (although hers was pretty extreme!). Ultimately, this is a book about family and finding oneself. I look forward to more books from this debut novelist. ...more",Notes are private!,0,3,1,"Mar 06, 2024","Mar 11, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/127282554-piglet
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Fate Inked in Blood        (Saga of the Unfated, #1)","Jensen, Danielle L.*",0593599837,9780593599839,0593599837,432        pp,4.10,"29,468","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/165940202-a-fate-inked-in-blood
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dayspring,"Oliveira, Anthony*",077100382X,9780771003820,077100382X,432        pp,4.54,57,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Paperback,view,/book/show/196044892-dayspring
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Medicine Wheel for the Planet: A Journey Toward Personal and Ecological Healing,"Grenz, Jennifer",,9781039006010,,280        pp,4.43,14,unknown,"Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/208545123-medicine-wheel-for-the-planet
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Diavola,"Thorne, Jennifer Marie*",,,B0C1X7ZSN4,296        pp,4.14,"1,193","Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Kindle Edition,view,/book/show/126918202-diavola
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Common Sense Economics: What Everyone Should Know About Wealth and Prosperity,"Gwartney, James D.",125029262X,9781250292629,125029262X,272        pp,4.00,3,unknown,"Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/195790588-common-sense-economics
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Country Bird: Explore the Charming Language of Backcountry Birdsong,"Vinet, Angela Harrison",0760387699,9780760387696,0760387699,128        pp,3.53,32,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/176716942-country-bird
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Summer Will Be Different,"Fortune, Carley*",0735247269,9780735247260,0735247269,0        pp,4.28,426,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/197797193-this-summer-will-be-different
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lies and Weddings,"Kwan, Kevin*",0385695411,9780385695411,0385695411,448        pp,4.02,283,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Hardcover,view,/book/show/208506913-lies-and-weddings
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Till Death Do Us Part,"Flynn, Laurie Elizabeth*",1982145056,9781982145057,1982145056,320        pp,3.93,130,"Aug 13, 2024","Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/199798122-till-death-do-us-part
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Tourists,"Carver, Caro*",1668064804,9781668064801,1668064804,336        pp,4.14,230,"Jul 04, 2024","Jul 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/202398999-bad-tourists
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Widow's Guide to Dead Bastards,"Waite, Jessica",1668045532,9781668045534,1668045532,320        pp,4.40,40,"Jul 30, 2024","Jul 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/199797997-the-widow-s-guide-to-dead-bastards
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History of Audrey James,"Marshall, Heather*",1982170255,9781982170257,1982170255,432        pp,4.64,11,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/199798746-the-secret-history-of-audrey-james
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Another Meat-Eating Dirtbag: A Memoir,"Anthony, Michael*",195149119X,9781951491192,195149119X,176        pp,3.75,115,unknown,"Nov 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/60812668-just-another-meat-eating-dirtbag
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Journey to the Dark Galaxy,"State, Hannah D.*",1777254248,9781777254247,1777254248,500        pp,5.00,3,unknown,"Dec 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/203165509-journey-to-the-dark-galaxy
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Full of Myself: A Graphic Memoir About Body Image,"Gallagher, Siobhan",1524867683,9781524867683,1524867683,336        pp,4.43,181,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/60320132-full-of-myself
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reading Genesis,"Robinson, Marilynne",,9780771014963,,352        pp,4.15,160,unknown,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/205966283-reading-genesis
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gathering,"Tudor, C.J.*",0385691955,9780385691956,0385691955,352        pp,4.14,732,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/208452680-the-gathering
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Year of Last Things: Poems,"Ondaatje, Michael",0771012314,9780771012310,0771012314,128        pp,3.71,85,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/208456780-a-year-of-last-things
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slow Productivity: The Lost Art of Accomplishment Without Burnout,"Newport, Cal",0593544854,9780593544853,,256        pp,3.84,"2,435","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/197773418-slow-productivity
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Power and Glory: Elizabeth II and the Rebirth of Royalty,"Larman, Alexander*",1250289599,9781250289599,1250289599,352        pp,4.46,24,unknown,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/127280093-power-and-glory
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trippy: The Peril and Promise of Medicinal Psychedelics,"Londoño, Ernesto*",1250878543,9781250878540,1250878543,320        pp,4.50,32,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/195391606-trippy
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Things That Cause Inappropriate Happiness,"Botha, Danila*",1771838701,9781771838702,1771838701,200        pp,3.95,20,unknown,"Apr 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/178811842-things-that-cause-inappropriate-happiness
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",0143110438,9780143110439,,462        pp,4.33,"543,331","Sep 06, 2016",Sep 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/62329671-a-gentleman-in-moscow
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cattitude Is Everything: A Feline-Inspired Approach to Living Your Best Life,"Basterfield, Brian*",1738866424,9781738866427,1738866424,150        pp,4.50,2,unknown,"Jun 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/179429484-cattitude-is-everything
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Effective Communication Method: 9 Keys to Master Communication Skills, The Comprehensive Training Guide to Step by Step Improve Your Communication Skills and Build Successful Relationships","Basterfield, Brian*",1738866408,9781738866403,1738866408,208        pp,4.00,2,unknown,"Mar 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/123221426-the-effective-communication-method
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husbands,"Gramazio, Holly*",0385699034,9780385699037,0385699034,352        pp,3.79,"2,206","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/208457442-the-husbands
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,790,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Special Delivery,"Lamorea, Damon*",,,,258        pp,4.67,3,unknown,"Feb 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/208537872-special-delivery
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dispersals: On Plants, Borders, and Belonging","Lee, Jessica J.*",0735245541,9780735245549,0735245541,unknown,4.30,37,unknown,"Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/208922611-dispersals
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who's Afraid of Gender?,"Butler, Judith",1039007333,9781039007338,1039007333,320        pp,3.99,172,unknown,"Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/208095732-who-s-afraid-of-gender
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Return of Ellie Black,"Jean, Emiko*",1668065355,9781668065358,1668065355,320        pp,4.19,360,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/202545448-the-return-of-ellie-black
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Love,"Link, Kelly",0812996585,9780812996586,0812996585,628        pp,3.54,"1,889","Feb 08, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/157981682-the-book-of-love
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Mothers: How Literature Can Help Us Reinvent Modern Motherhood,"Mullins, Carrie*",1250285062,9781250285065,1250285062,304        pp,4.00,33,unknown,"May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/195790659-the-book-of-mothers
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parasol Against the Axe,"Oyeyemi, Helen*",,9780735241398,,unknown,3.49,244,Feb 2024,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/208079918-parasol-against-the-axe
