,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Claudia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il lato sbagliato del telescopio,"Alameddine, Rabih",8834609905,9788834609903,B0B1P7PRDV,347        pp,4.03,"2,140","Sep 21, 2021","Jun 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/116912283-il-lato-sbagliato-del-telescopio
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un fantasma in gola,"Ghriofa, Doireann Ni",,9791259810434,B0B3S9SZNQ,252        pp,4.04,"8,679","Apr 16, 2020","Jun 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/62990164-un-fantasma-in-gola
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I discorsi. Barack Obama,", unknown",8868540045,9788868540043,8868540045,0        pp,0.00,0,unknown,"Dec 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/103989501-i-discorsi-barack-obama
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lettera a una giovane ginnasta,"Comaneci, Nadia",8842829226,9788842829225,8842829226,222        pp,4.08,873,2003,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/102758502-lettera-a-una-giovane-ginnasta
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sad girl: La ragazza come teoria,"Marzullo, Sara",8832973499,9788832973495,B0CT5Z1BVM,176        pp,3.63,98,unknown,"Jan 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/205878882-sad-girl
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I falsari,"Gide, André",8845283283,9788845283284,8845283283,451        pp,3.84,"9,408",1925,"Dec 01, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Paperback,view,/book/show/35894171-i-falsari
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ogni prigione è un'isola,"Bignardi, Daria*",8835732700,9788835732709,B0CWGD14BH,149        pp,3.77,57,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/209495408-ogni-prigione-un-isola
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grammamanti: Immaginare futuri con le parole,"Gheno, Vera",8858445171,9788858445174,B0CW5PMK4M,131        pp,4.50,8,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 06, 2024",,Kindle Edition,view,/book/show/209776733-grammamanti
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verso Betlemme,"Didion, Joan",8842814814,9788842814818,8842814814,205        pp,4.19,"67,267",1968,"Feb 28, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2024",,Paperback,view,/book/show/20871622-verso-betlemme
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il pane perduto,"Bruck, Edith",,,B08SHTDM5V,109        pp,3.69,"1,611","Jan 20, 2021","Jan 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/56800541-il-pane-perduto
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sogni e favole. Un apprendistato,"Trevi, Emanuele",,,B07MDXL12Z,213        pp,4.13,177,"Jan 10, 2019","Jan 10, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/43527783-sogni-e-favole-un-apprendistato
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Due vite,"Trevi, Emanuele",,,B0842S1KT7,87        pp,3.56,"4,890","May 28, 2020","May 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 31, 2024",,Kindle Edition,view,/book/show/53768596-due-vite
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La vergine nel giardino,"Byatt, A.S.",8806171135,9788806171131,8806171135,512        pp,3.72,"3,443",1978,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Paperback,view,/book/show/9688523-la-vergine-nel-giardino
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oh William!,"Strout, Elizabeth*",8806250035,9788806250034,8806250035,184        pp,3.86,"80,118","Oct 19, 2021","May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/61056452-oh-william
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Via Gemito,"Starnone, Domenico",8807888580,9788807888588,8807888580,400        pp,3.71,581,Apr 2000,Sep 2016,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/36186375-via-gemito
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dammi mille baci: Veri uomini e vere donne nell'antica Roma,"Cantarella, Eva",8807490811,9788807490811,8807490811,188        pp,3.80,543,Apr 2009,Apr 2009,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Mar 18, 2024",,Paperback,view,/book/show/9696101-dammi-mille-baci
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Day,"Cunningham, Michael*",8834616472,9788834616475,8834616472,319        pp,3.62,"7,836","Nov 14, 2023","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2024",,Paperback,view,/book/show/205985800-day
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'ordine delle cose,"Tugnoli, Linda",8842932507,9788842932505,8842932507,400        pp,3.71,31,Oct 2021,Oct 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Paperback,view,/book/show/59237458-l-ordine-delle-cose
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le colpe degli altri,"Tugnoli, Linda",8842933066,9788842933069,B082L6GFYK,272        pp,3.32,80,unknown,"Feb 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/51602501-le-colpe-degli-altri
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Quando tutte le donne del mondo...,"Beauvoir, Simone de",8806242164,9788806242169,8806242164,188        pp,4.25,499,1982,"Apr 29, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Paperback,view,/book/show/51552365-quando-tutte-le-donne-del-mondo
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Io sono Rita: Rita Atria: la settima vittima di via d'amelio,"Cucè, Giovanna",8831379771,9788831379779,B0B76WG3BR,197        pp,4.50,4,unknown,"Jul 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Kindle Edition,view,/book/show/61916933-io-sono-rita
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rita Atria,"Reski, Petra",,,,unknown,3.65,46,1994,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,ebook,view,/book/show/25767004-rita-atria
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il Club del libro e della torta di bucce di patata di Guernsey,"Shaffer, Mary Ann",8898713762,9788898713769,8898713762,304        pp,4.19,"752,845","Jul 29, 2008","Nov 02, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/36521596-il-club-del-libro-e-della-torta-di-bucce-di-patata-di-guernsey
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La forma del ghiaccio,"Tugnoli, Linda",8842935549,9788842935544,B0BWJSGC7D,347        pp,3.29,28,unknown,"Apr 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Fa bene a cercare di capire cosa è successo. Non c’entra il tempo. La verità è sempre la verità.”Guido Boggio-Martinet è un giardiniere quarantenne, “Fa bene a cercare di capire cosa è successo. Non c’entra il tempo. La verità è sempre la verità.”Guido Boggio-Martinet è un giardiniere quarantenne, che è scappato da Parigi, dopo che la sua fidanzata si è suicidata e da qualche anno vive in Valle Cervo, dove è nato e cresciuto. Durante un’escursione in montagna, trova nel prato un prezioso orologio d’oro da taschino e lo collega subito ad Aldo Lorenzo Ferrero, un imprenditore torinese morto cinquant’anni fa e ritrovato qualche anno prima congelato e mummificato, nonostante tutti pensassero fosse disperso in Africa. Guido è cresciuto con le leggende del sarcofago egizio e del leone impagliato, custoditi nella casa di Ferrero a Valle Cervo, quindi la ricerca della verità si trasforma presto in un pensiero fisso, soprattutto quando va a Torino per restituire l’orologio alle figlie dell’uomo, che lo rifiutano categoricamente. In modo particolare Lelia, così gentile e custode dei vari oggetti collezionati dai genitori durante gli anni lo congeda frettolosamente. Guido inizia ad indagare per conto suo, ormai totalmente assorbito dal caso, lasciando addirittura per qualche giorno la sua amata valle, scoprendo quello che forse la famiglia Ferrero ha sempre voluto tenere nascosto.Un bel giallo appassionante e scorrevole. Sicuramente leggerò anche i due libri precedenti, autoconclusivi come questo e non legati tra loro, se non per Guido e le sue manie investigative....more",Notes are private!,0,0,1,"Mar 08, 2024","Mar 17, 2024","Feb 29, 2024",,Kindle Edition,view (with text),/book/show/123026921-la-forma-del-ghiaccio
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I ragazzi di Villa Emma,"Pederiali, Giuseppe",884240120X,9788842401209,884240120X,192        pp,3.29,52,1995,1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Paperback,view,/book/show/9766702-i-ragazzi-di-villa-emma
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'università di Rebibbia,"Sapienza, Goliarda",8806231170,9788806231170,8806231170,140        pp,4.10,491,2006,"Apr 15, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Paperback,view,/book/show/48643793-l-universit-di-rebibbia
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Avete presente l'amore?,"Alderton, Dolly",8831813625,9788831813624,B0CQ2P33NK,382        pp,4.02,"62,211","Nov 07, 2023","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/203674456-avete-presente-l-amore
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Un'estate,"Keegan, Claire",8858444116,9788858444115,,80        pp,4.33,"80,848",Feb 2010,"Nov 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,ebook,view,/book/show/202096528-un-estate
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le regole dello Shangai,"De Luca, Erri",8807035499,9788807035494,B0C249LG93,112        pp,3.72,301,"May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Paperback,view,/book/show/128273112-le-regole-dello-shangai
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I folgorati,"Bissoli, Susanna",8806255827,9788806255824,8806255827,192        pp,3.68,69,unknown,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Hardcover,view,/book/show/205402656-i-folgorati
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La casa sulla Marteniga,"Merlin, Tina",8883141091,9788883141096,8883141091,196        pp,4.36,11,2001,2001,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Paperback,view,/book/show/16028356-la-casa-sulla-marteniga
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stranieri a noi stessi,"Aviv, Rachel",8870918424,9788870918427,,unknown,4.13,"10,109","Sep 13, 2022","Oct 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/198121133-stranieri-a-noi-stessi
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Libere: di scegliere se e come avere figli,"Dondi, Ilaria Maria",8858444442,9788858444443,B0CRRQBB9T,183        pp,4.18,55,unknown,"Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Kindle Edition,view,/book/show/205031981-libere
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vita,"Mazzucco, Melania G.",8806218816,9788806218812,8806218816,472        pp,3.79,"1,598",2003,"Mar 18, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Paperback,view,/book/show/21522753-vita
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Maledetta Mafia. Io, donna, testimone di giustizia con Paolo Borsellino","Aiello, Piera",8821580504,9788821580505,B00ANTX81G,212        pp,4.03,30,"Dec 13, 2012","Dec 13, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“- Che futuro posso avere io, zio Paolo?Lui mi guarda fissando i miei occhi che si riflettono sullo specchio e dice:- Io vedo una ragazza che ha avuto“- Che futuro posso avere io, zio Paolo?Lui mi guarda fissando i miei occhi che si riflettono sullo specchio e dice:- Io vedo una ragazza che ha avuto un passato turbolento, che però si è ribellata a questo passato che non ha mai accettato. Vedo una ragazza che ha un presente e avrà un futuro pieno di felicità. Non per altro: hai diritto ad avere felicità per tutto quello che stai facendo.” Piera Aiello nasce a Partanna da una famiglia modesta che la cresce con sani principi. Da ragazzina frequenta ed inizia una storia con Nicola, figlio del boss don Vito Atria, capisce subito che il padre è temuto e venerato, ne ha la prova, quando dopo l’ennesimo tradimento, vuole troncare la relazione, ma le si fa terra bruciata intorno. Accetta il matrimonio, perchè il futuro suocero minaccia apertamente davanti a lei i suoi genitori. Durante il viaggio di nozze, don Vito viene ucciso ed il figlio cercherà in tutti modi di trovare il colpevole e vendicare il padre. Iniziano anni duri per Piera: il marito la picchia, anche durante la gravidanza e in seguito dopo la nascita di Vita Maria. Una sera Nicola viene ucciso da un uomo incappucciato davanti a Piera e lì decide di dire basta e dare un nuovo futuro a sua figlia. Confessa tutto quello che sa e diventa testimone di giustizia, conosce Paolo Borsellino, da lei chiamato zio Paolo e poco dopo anche la cognata Rita, sorella di Nicola, la raggiunge ed inizia anche lei il percorso di collaboratore di giustizia. Purtroppo, la morte di Borsellino getta Rita nella disperazione più totale: per lei è il terzo riferimento che perde in pochi anni e si suicida. Piera si ritrova sola, lontana dalla sua famiglia, con una bambina da crescere, in continuo spostamento, è davvero difficile ricostruirsi una vita, ma non molla: studia, prende la licenza da maestra, viene a sapere delle varie associazioni nate per combattere la mafia, inizia a testimoniare nelle scuole e nel 1997 decide di lasciare il programma di protezione e vivere da persona normale, rischiando la sua incolumità, ma vivendo per davvero.Ho avuto il piacere di sentire dal vivo Piera Aiello, ospite della scuola secondaria del mio paese, interrogata dagli studenti. Il suo coraggio e la sua forza traspaiono dalle sue parole, è un esempio per tutti. I rapporti con Rita e Borsellino mi hanno davvero commossa e sono legami che vanno oltre la morte. “La mafia, la ‘ndrangheta, la camorra possono finire solo se lo si vuole veramente tutti insieme. Ecco perché ognuno di noi deve dare un contributo in modo che ogni singola macchina dello Stato, di cui tutti noi siamo un piccolo ingranaggio, possa fare al meglio la propria parte nella lotta contro le organizzazioni criminali.”...more",Notes are private!,0,0,1,"Feb 28, 2024","Mar 06, 2024","Jan 25, 2024",,Kindle Edition,view (with text),/book/show/19170318-maledetta-mafia-io-donna-testimone-di-giustizia-con-paolo-borsellino
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,W o il ricordo d'infanzia,"Perec, Georges",8806234595,9788806234591,8806234595,182        pp,3.82,"3,647",1975,"Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/41565575-w-o-il-ricordo-d-infanzia
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gli anni,"Ernaux, Annie*",889803816X,9788898038169,889803816X,266        pp,4.18,"29,449","Feb 07, 2008","May 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/25719582-gli-anni
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'evento,"Ernaux, Annie*",,,,120        pp,4.32,"44,444","Mar 14, 2000","Nov 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Paperback,view,/book/show/48759583-l-evento
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Storia,"Morante, Elsa",8806219642,9788806219642,8806219642,658        pp,4.28,"6,895",1974,"Feb 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/21965566-la-storia
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il mondo e tutto ciò che contiene,"Hemon, Aleksandar",8858859634,9788858859636,B0CLL31TZV,341        pp,3.84,"1,500","Jan 24, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Kindle Edition,view,/book/show/201904998-il-mondo-e-tutto-ci-che-contiene
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come parlare perché i bambini ti ascoltino & come ascoltare perché ti parlino,"Faber, Adele",8852057307,9788852057304,B00PJDWRL8,371        pp,4.28,"33,310",1980,"Nov 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Kindle Edition,view,/book/show/24370796-come-parlare-perch-i-bambini-ti-ascoltino-come-ascoltare-perch-ti-pa
