,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tom's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clear,"Davies, Carys*",1668030667,9781668030660,1668030667,208        pp,4.10,769,"Apr 02, 2024","Apr 02, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful sentences, as always, but a plodding story that becomes a bit unlikely later on.",Notes are private!,1,18,1,"Mar 20, 2024","Mar 22, 2024","Mar 20, 2024",,Hardcover,view (with text),/book/show/176443690-clear
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What,"Clarke, John Cooper",1761561715,9781761561719,B0CTJKTVL6,64        pp,4.06,69,unknown,"May 14, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At 75, he's still got it. The audiobook is free on Spotify Premium and absolutely the way to experience this.At 75, he's still got it. The audiobook is free on Spotify Premium and absolutely the way to experience this....more",Notes are private!,0,5,1,"Mar 19, 2024","Mar 21, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/206180012-what
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Soldier Sailor,"Kilroy, Claire",0571375588,9780571375585,,unknown,4.18,"2,291","May 02, 2023","May 02, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Well, what a beautiful book. But not only that. It's also a book that put my hackles up early on. A narrator I never quite trusted. I felt shocked, moWell, what a beautiful book. But not only that. It's also a book that put my hackles up early on. A narrator I never quite trusted. I felt shocked, moved, offended, warmed. I felt empathy, so much empathy. I wanted to cry, 'But not me! She's not talking about me!' This is not an easy read for a man, a husband, a father. But just listen, really listen, because we need to hear it all....more",Notes are private!,0,8,1,"Mar 17, 2024","Mar 20, 2024","Mar 17, 2024",,ebook,view (with text),/book/show/61842212-soldier-sailor
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Desert Star,"Connelly, Michael*",1409186229,9781409186229,,400        pp,4.49,"66,932","Nov 04, 2022","Nov 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. Wtf happens with Bosch and Ballard after this, I have no idea. Another great novel (though, with them both now working on cold cases it does loseWow. Wtf happens with Bosch and Ballard after this, I have no idea. Another great novel (though, with them both now working on cold cases it does lose a little of its immediacy) with a blockbuster ending that left me wondering if the end is nigh....more",Notes are private!,0,6,1,"Mar 12, 2024","Mar 17, 2024","Mar 12, 2024",,Hardcover,view (with text),/book/show/63277417-desert-star
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The All of It,"Haien, Jeannette",0062090097,9780062090096,0062090097,145        pp,3.78,"5,076","Jul 01, 1986","Jun 07, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can absolutely see why people have turned to this near-40-year-old novella after luxuriating in the brilliance of Claire Keegan over the past coupleI can absolutely see why people have turned to this near-40-year-old novella after luxuriating in the brilliance of Claire Keegan over the past couple of years. It's short, beautifully written, and has heaps of Irish social history embedded between the lines of its prose. It's a good book, filled with undoubtedly gorgeous writing, but it plods along extremely slowly, which stops it's reaching the heights of Keegan's work....more",Notes are private!,0,4,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Paperback,view (with text),/book/show/11631122-the-all-of-it
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miss Cat: The Case of the Curious Canary,"Jolivet, Joëlle",0500660263,9780500660263,0500660263,64        pp,4.50,14,unknown,"Apr 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Simenon for seven-year-olds!This is a brilliant graphic novel, a proper noir mystery that has just a little bit of menace and some complex morals. It'Simenon for seven-year-olds!This is a brilliant graphic novel, a proper noir mystery that has just a little bit of menace and some complex morals. It's just great, and a perfect introduction to crime fiction for 7-10 year olds....more",Notes are private!,0,5,1,"Mar 07, 2024","Mar 11, 2024","Mar 07, 2024",,Paperback,view (with text),/book/show/189147367-miss-cat
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trading Game: A Confession,"Stevenson, Gary",0593727215,9780593727218,0593727215,352        pp,4.37,"1,038",unknown,"Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 07, 2024","Mar 19, 2024","Mar 07, 2024",,Hardcover,view,/book/show/188543465-the-trading-game
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Dark Hours        (Renée Ballard, #4; Harry Bosch, #23; Harry Bosch Universe, #36)","Connelly, Michael*",1409186180,9781409186182,1409186180,461        pp,4.40,"68,189","Nov 09, 2021","May 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,One of the best by one of the best,Notes are private!,0,5,1,"Mar 05, 2024","Mar 11, 2024","Mar 05, 2024",,Paperback,view (with text),/book/show/61110738-the-dark-hours
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Smoke Kings,"Mayfield, Jahmal*",168589111X,9781685891114,168589111X,400        pp,4.09,195,"Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,2,"Mar 02, 2024Mar 02, 2024","Mar 04, 2024Mar 04, 2024","Mar 02, 2024",,Paperback,view,/book/show/150065107-smoke-kings
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ministry of Time,"Bradley, Kaliane",1668045141,9781668045145,1668045141,352        pp,4.00,790,"May 07, 2024","May 07, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Feb 28, 2024","Mar 02, 2024","Feb 28, 2024",,Hardcover,view,/book/show/199798179-the-ministry-of-time
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Killing Floor        (Jack Reacher, #1)","Child, Lee*",,,B0031RS2HC,532        pp,4.08,"318,592",1997,Apr 2019,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked this well enough, but it gets a bit eye-rolly once he starts calling everyone babe and spends his whole time protecting all the women, one of I liked this well enough, but it gets a bit eye-rolly once he starts calling everyone babe and spends his whole time protecting all the women, one of which is an experienced police officer....more",Notes are private!,0,8,1,"Feb 23, 2024","Feb 28, 2024","Feb 23, 2024",,Kindle Edition,view (with text),/book/show/45421269-killing-floor
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Owning Up: New Fiction,"Pelecanos, George",0316570478,9780316570473,0316570478,240        pp,3.68,186,unknown,"Feb 06, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,not set,"Feb 23, 2024",,Hardcover,view,/book/show/194805565-owning-up
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gub,"McKendry, Scott",1472158075,9781472158079,B0BTX24G16,96        pp,4.33,21,unknown,"Feb 01, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 21, 2024","Feb 29, 2024","Feb 21, 2024",,Kindle Edition,view,/book/show/177225120-gub
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Ascension,"MacInnes, Martin*",0802163467,9780802163462,0802163467,512        pp,3.82,"5,127","Apr 03, 2023","Feb 27, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Feb 20, 2024","Feb 23, 2024","Feb 20, 2024",,Paperback,view,/book/show/197063361-in-ascension
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shane,"Schaefer, Jack",1409165663,9781409165668,1409165663,160        pp,3.94,"13,183",1949,"Jun 14, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was beautiful. They sure don't write them like this any more.This was beautiful. They sure don't write them like this any more....more,Notes are private!,1,11,1,"Feb 17, 2024","Feb 19, 2024","Feb 17, 2024",,Paperback,view (with text),/book/show/30231142-shane
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Passenger,"Dean, Will",152938284X,9781529382846,B0BNC5H5CY,482        pp,3.66,"16,090","Aug 08, 2023","May 11, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Preposterously bad,Notes are private!,1,3,1,"Feb 15, 2024","Feb 17, 2024","Feb 15, 2024",,Kindle Edition,view (with text),/book/show/67356448-the-last-passenger
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Parasol Against the Axe,"Oyeyemi, Helen*",0593192362,9780593192368,0593192362,272        pp,3.49,244,Feb 2024,"Mar 05, 2024",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,3,1,"Feb 15, 2024","Feb 15, 2024","Feb 15, 2024",,Hardcover,view,/book/show/186872432-parasol-against-the-axe
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,BRAT: A Ghost Story,"Smith, Gabriel",1398525324,9781398525320,B0CHSJLVLZ,240        pp,4.18,77,"Jun 04, 2024","Jun 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was great, it's exactly my kind of novel. An edgy, innovative debut about the madness of grief. Surreal, haunting, funny, dark and weird. There'sThis was great, it's exactly my kind of novel. An edgy, innovative debut about the madness of grief. Surreal, haunting, funny, dark and weird. There's elements of Chuck Palahniuk and Scott McClanahan in the style and verve of Smith's writing. It's actually a very un-English book, owing way more to fringe contemporary American writing than anything from these shores.In his acknowledgements, Smith says BRAT was lined up to be published by Giancarlo DiTrapino's hugely influential Tyrant Books before Gian's untimely death a couple of years ago. Having read - and loved - many writers from that stable in recent years, I would definitely say Smith is cut from the same cloth. He's got the goods....more",Notes are private!,0,13,1,"Feb 12, 2024","Feb 14, 2024","Feb 12, 2024",,Kindle Edition,view (with text),/book/show/198961805-brat
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2034: A Novel of the Next World War,"Ackerman, Elliot*",1984881256,9781984881250,1984881256,320        pp,3.80,"13,177","Mar 09, 2021","Mar 09, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,America! Fuck yeah!Zzzzzzzzzzzzzzzzzzz...,Notes are private!,0,3,1,"Feb 11, 2024","Feb 11, 2024","Feb 11, 2024",,Hardcover,view (with text),/book/show/54211065-2034
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Peanut Jones and the End of the Rainbow,"Biddulph, Rob",1529040620,9781529040623,B0BXLK7KJ1,384        pp,4.58,62,unknown,"Sep 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This series has such a good heart and an original concept. The illustrations are majestic. But there were times in this book when I thought it would tThis series has such a good heart and an original concept. The illustrations are majestic. But there were times in this book when I thought it would truly never end....more,Notes are private!,0,1,1,"Feb 08, 2024","Mar 17, 2024","Feb 08, 2024",,Kindle Edition,view (with text),/book/show/128184646-peanut-jones-and-the-end-of-the-rainbow
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Doors,"Brown, Gareth*",1787637247,9781787637245,B0C5CGYC4Z,416        pp,4.05,"8,151","Feb 13, 2024","Feb 15, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yeah, fair play, this is an absolute banger. A proper mash-up of SF and fantasy that's told at page-ripping pace. Full of magic, evil, quirky characteYeah, fair play, this is an absolute banger. A proper mash-up of SF and fantasy that's told at page-ripping pace. Full of magic, evil, quirky characters and cracking storytelling.It's not a literary masterpiece, but then it isn't trying to be. Even so, there are several points in the story that are very, very moving, and I pretty much bought in to the whole thing. When stories are this good, it's so easy to ignore the imperfections - and, for a debut novel, there aren't many.Highly recommended if you are after some complete escapism....more",Notes are private!,0,12,1,"Feb 05, 2024","Feb 09, 2024","Feb 05, 2024",,Hardcover,view (with text),/book/show/156480764-the-book-of-doors
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Astrid and the Space Cadets: Attack of the Snailiens!,"Smith, Alex T.",1035019752,9781035019755,B0CJRK7LDY,176        pp,4.23,13,unknown,"Mar 07, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was pretty cute SF adventure read for young readers. Definitely aimed at the 5-7 years market. Has some humour and silliness, which my kids sort This was pretty cute SF adventure read for young readers. Definitely aimed at the 5-7 years market. Has some humour and silliness, which my kids sort of enjoyed, though I feel like they were slightly too old for its peak audience.I've been spoiled by Grimwood for these kinds of books though. Nothing comes close to it....more",Notes are private!,0,1,1,"Feb 04, 2024","Feb 06, 2024","Feb 04, 2024",,Kindle Edition,view (with text),/book/show/199863243-astrid-and-the-space-cadets
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Frontier,"Curtis, Grace*",,9781529390537,1529390532,256        pp,3.64,"1,023","Mar 09, 2023","Mar 14, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was fun, fast and action packed, if a little bit silly. It reads like a slapstick Mad Max.The joy of Frontier is in the diverse range of quirky cThis was fun, fast and action packed, if a little bit silly. It reads like a slapstick Mad Max.The joy of Frontier is in the diverse range of quirky characters. It is through these people and their stories, that we learn about our protagonist. A woman has crash landed on a burned and barren Earth, a place where only a few hardy souls have stayed while everyone else fled to other planets. She is searching for someone. As she does so, she will become The Stranger, The Stowaway, The Traveller, and many other things to those whose paths she crosses.With nods to classic westerns, Frontier is an original SF read, that doesn't take itself too seriously....more",Notes are private!,0,5,1,"Feb 03, 2024","Feb 05, 2024","Feb 03, 2024",,Paperback,view (with text),/book/show/62807190-frontier
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caledonian Road,"O'Hagan, Andrew",0571381359,9780571381357,,656        pp,3.93,60,"Apr 02, 2024","Apr 04, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,150 pages was more than enough of this,Notes are private!,1,11,1,Feb 2024,"Feb 03, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/203730620-caledonian-road
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wind-Up Bird Chronicle,"Murakami, Haruki",0099448793,9780099448792,0099448793,609        pp,4.15,"283,468","Apr 12, 1994",2003,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 29, 2024","Feb 23, 2024","Jan 29, 2024",,Paperback,view,/book/show/58270929-the-wind-up-bird-chronicle
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",1035031248,9781035031245,1035031248,303        pp,4.63,"6,263","Mar 19, 2024","Mar 19, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The book of the year. The decade. The century.To take arguably the greatest of the Great American Novels - the book that has haunted all the American The book of the year. The decade. The century.To take arguably the greatest of the Great American Novels - the book that has haunted all the American writers who have followed - and to, in the process of revolutionising it, write the Great American Novel of the 21st century, could only be done by the most extraordinary of authors.Percival Everett reaches back in time to grab Twain's classic adventure story, and hauls it through the century and into the present day. While always retaining the spirit of the original, he not only gives Jim primacy in the story, but invigorates his narrative, to tell us not only about the past, but our own time as well.There are few writers who are able to both tell a vitally important, deeply felt and relevant story, while cloaking it in such a gripping narrative. Everett has shown, time and again, that he is a master of this.Compelling, harrowing, playful, fiercely intelligent, funny, incredibly moving and hopeful. This is a truly special book, the kind of which doesn't come along very often. In fact, I'm not sure a book this brilliant has appeared for a long time....more",Notes are private!,3,35,1,"Jan 24, 2024","Jan 28, 2024","Jan 24, 2024",,Paperback,view (with text),/book/show/199213388-james
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wild Houses,"Barrett, Colin",0802160948,9780802160942,0802160948,272        pp,3.91,579,"Jan 25, 2024","Mar 12, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,7,1,"Jan 23, 2024","Jan 23, 2024","Jan 23, 2024",,Hardcover,view,/book/show/128714412-wild-houses
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wizard of the Kremlin,"da Empoli, Giuliano",1635423961,9781635423969,B0BTL6NSZT,297        pp,4.14,"6,658",2022,"Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jan 19, 2024","Jan 23, 2024","Jan 19, 2024",,Kindle Edition,view,/book/show/125082593-the-wizard-of-the-kremlin
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anna O,"Blake, Matthew",0063314150,9780063314153,0063314150,421        pp,3.48,"9,262","Jan 02, 2024","Jan 02, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 18, 2024","Jan 18, 2024","Jan 18, 2024",,Hardcover,view,/book/show/134221476-anna-o
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pinball, 1973        (The Rat, #2)","Murakami, Haruki",4061860127,9784061860124,4061860127,215        pp,3.51,"18,723",Jun 1980,1980,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Probably the weakest of his novels that I've read so farProbably the weakest of his novels that I've read so far...more,Notes are private!,0,2,1,"Jan 15, 2024","Jan 17, 2024","Jan 15, 2024",,Paperback,view (with text),/book/show/591978.Pinball_1973
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tatami Galaxy        (Tatami Series, #1)","Morimi, Tomihiko",0063158442,9780063158443,0063158442,352        pp,3.60,"2,177",Dec 2004,"Dec 06, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 14, 2024","Jan 15, 2024","Jan 14, 2024",,Hardcover,view,/book/show/60619439-the-tatami-galaxy
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hear the Wind Sing        (The Rat, #1)","Murakami, Haruki",4061860267,9784061860261,B000I1SJBS,130        pp,3.57,"28,384",Jul 1979,Jun 1979,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It's easy to forget, in the modern world, now it's got a bad rep, just how cool smoking looks.It's easy to forget, in the modern world, now it's got a bad rep, just how cool smoking looks....more",Notes are private!,0,4,1,"Jan 13, 2024","Jan 14, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/226973.Hear_the_Wind_Sing
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka: A Graphic Novel Adaptation,"Kyoudai, Nishioka",1782279849,9781782279846,1782279849,176        pp,3.77,222,"Apr 20, 2010","Oct 24, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 11, 2024","Jan 18, 2024","Jan 11, 2024",,Paperback,view,/book/show/123591643-kafka
