,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,britt_brooke's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Hidden Meanings,RuPaul,0063263904,9780063263901,0063263904,256        pp,3.94,"5,120","Mar 06, 2024","Mar 05, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An intimate portrait of RuPaul’s life, but I wanted a higher page count! It’s not his first book, so maybe I’ll check the backlist. Regardless, Ru shaAn intimate portrait of RuPaul’s life, but I wanted a higher page count! It’s not his first book, so maybe I’ll check the backlist. Regardless, Ru shares his story how he pleases, and I respect that. It’s thoughtful, raw, honest, and undeniably entertaining. Perfect cover; fabulous narration. ...more",Notes are private!,0,1,1,"Mar 25, 2024","Mar 26, 2024","Apr 02, 2024",,Hardcover,view (with text),/book/show/181109983-the-house-of-hidden-meanings
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love That Dog        (Jack, #1)","Creech, Sharon",0064409597,9780064409599,B000STYPK4,112        pp,4.04,"45,367",2001,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2024",not set,"Apr 02, 2024",,Paperback,view,/book/show/53498.Love_That_Dog
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reappearance of Rachel Price,"Jackson, Holly*",0593374207,9780593374207,0593374207,448        pp,4.34,"8,317","Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 01, 2024",,Hardcover,view,/book/show/182484360-the-reappearance-of-rachel-price
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Yours,"Wingate, Lisa*",0425284689,9780425284681,0425284689,342        pp,4.40,"606,853","Jun 06, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Apr 2024,not set,"Apr 01, 2024",,Hardcover,view,/book/show/32148570-before-we-were-yours
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,More: A Memoir of Open Marriage,"Winter, Molly Roden*",0385549458,9780385549455,0385549458,304        pp,3.58,"3,690","Jan 16, 2024","Jan 16, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,How could this possibly go wrong? Blaming my trusted book friend Stephanie for this one.,Notes are private!,0,2,2,"Mar 28, 2024not set","Mar 29, 2024not set","Mar 31, 2024",,Hardcover,view (with text),/book/show/70251573-more
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Teacher,"McFadden, Freida*",1728296218,9781728296210,1728296218,400        pp,3.99,"218,093","Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My first Freida McFadden. It’s possible I have a new go-to palate-cleansing author. Skeevy characters enveloped in a disturbing, deceitful, and oddly My first Freida McFadden. It’s possible I have a new go-to palate-cleansing author. Skeevy characters enveloped in a disturbing, deceitful, and oddly funny story. Intentionally vague opening scene keeps you guessing. Pure brain candy....more",Notes are private!,0,6,1,"Mar 17, 2024","Mar 28, 2024","Mar 25, 2024",,Paperback,view (with text),/book/show/195967140-the-teacher
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,164","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/173754979-james
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,535","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/194802722-funny-story
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Guncle Abroad        (The Guncle, #2)","Rowley, Steven*",0593540468,9780593540466,B0CG8PDGG8,unknown,4.28,565,"May 21, 2024","May 21, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Kindle Edition,view,/book/show/197511201-the-guncle-abroad
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Americans,"Khong, Rachel*",0593537254,9780593537251,,416        pp,4.23,467,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 25, 2024",,Hardcover,view,/book/show/62929342-real-americans
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fake,"Whittall, Zoe*",1524799467,9781524799465,1524799467,224        pp,3.45,"3,546","Mar 21, 2023","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2024",,Paperback,view,/book/show/202468405-the-fake
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing the Devil: My Twenty-Year Quest to Capture the Green River Killer,"Reichert, David",0316156329,9780316156325,0316156329,320        pp,3.74,"2,392","Jul 28, 2004","Jul 28, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"LReichert worked for over twenty years to solve the Green River Killer case. This is his firsthand recounting of the grueling hours, days, years he chLReichert worked for over twenty years to solve the Green River Killer case. This is his firsthand recounting of the grueling hours, days, years he chased leads, logged evidence, and ultimately got that asshole Gary Ridgway. ...more",Notes are private!,0,1,1,"Mar 12, 2024","Mar 12, 2024","Mar 14, 2024",,Hardcover,view (with text),/book/show/865810.Chasing_the_Devil
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Everything She Ever Wanted: A True Story of Obsessive Love, Murder, and Betrayal","Rule, Ann",067169071X,9780671690717,067169071X,560        pp,4.07,"8,894","Dec 01, 1992","Dec 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Mass Market Paperback,view,/book/show/225383.Everything_She_Ever_Wanted
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,She Married the Green River Serial Killer: The Story of an Unsuspecting Housewife,"Wood, Pennie",1644702193,9781644702192,B091DBF8LF,328        pp,4.25,112,unknown,"Mar 29, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Kindle Edition,view,/book/show/57623653-she-married-the-green-river-serial-killer
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Came Here to Forget,"Dunlop, Andrea*",1982103426,9781982103422,1982103426,320        pp,3.80,"3,320","Jul 02, 2019","Jul 02, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I borrowed this after hearing Dunlop speak on Sounds Like a Cult Podcast. This novel, with a Munchausen by Proxy side story, follows Katie, a former cI borrowed this after hearing Dunlop speak on Sounds Like a Cult Podcast. This novel, with a Munchausen by Proxy side story, follows Katie, a former competitive skier, who escapes her tumultuous public life for an interlude in Buenos Aires. She bonds with others also seeking escape. Based on the author’s sister who committed medical child abuse, and tried to keep the book from publication. A solid read! ...more",Notes are private!,0,0,1,"Mar 13, 2024","Mar 15, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/42202020-we-came-here-to-forget
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death Valley,"Broder, Melissa*",1668024861,9781668024867,1668024861,256        pp,3.53,"11,522","Oct 03, 2023","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Paperback,view,/book/show/199798092-death-valley
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ground Zero,"Gratz, Alan*",1338245759,9781338245752,1338245759,336        pp,4.33,"19,109","Feb 02, 2021","Feb 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/52664722-ground-zero
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Green River, Running Red","Rule, Ann",0743460502,9780743460507,0743460502,704        pp,3.99,"18,013",2004,"Oct 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Making a point to read more Ann Rule. This, her 23rd book, covers the Green River Killer, one of America’s most prolific murderers. For 20 years, authMaking a point to read more Ann Rule. This, her 23rd book, covers the Green River Killer, one of America’s most prolific murderers. For 20 years, authorities diligently pieced together evidence until technological advances in DNA profiling came into existence. Rule does something I really appreciate here. She tells us about many of the victims; their lives, not just their horrific deaths. This book, of course, led me down a Gary Ridgway rabbit hole. ...more",Notes are private!,0,3,1,"Mar 08, 2024","Mar 11, 2024","Mar 08, 2024",,Mass Market Paperback,view (with text),/book/show/225384.Green_River_Running_Red
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Murder Road,"St. James, Simone*",0593200381,9780593200384,,341        pp,3.82,"12,033","Mar 05, 2024","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"St. James is a creepy ghost story master, but this backstory bothered me: recurring mention of Eddie fighting in Iraq. This takes place in 1995! And iSt. James is a creepy ghost story master, but this backstory bothered me: recurring mention of Eddie fighting in Iraq. This takes place in 1995! And it’s clearly not referencing the Gulf War. And all actual 90s references felt forced. It should’ve just been set more recently. These details were so distracting as Eddie and April worked the mystery of the “Lost Girl.” Overall, pretty mid for one of my most anticipated books of 2024. ...more",Notes are private!,0,1,1,"Mar 05, 2024","Mar 17, 2024","Mar 05, 2024",,Hardcover,view (with text),/book/show/196614815-murder-road
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitter Harvest,"Rule, Ann",075152669X,9780751526691,075152669X,432        pp,4.08,"9,690",1997,1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2024",,Paperback,view,/book/show/349681.Bitter_Harvest
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,090","Sep 26, 2023","Sep 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Nothing makes me happier than a witty rendition of all the dumb shit humans do. This is quite the exploration of modern American depths and shallows. Nothing makes me happier than a witty rendition of all the dumb shit humans do. This is quite the exploration of modern American depths and shallows. College sweethearts Jack and Elizabeth hit multiple bumps at 20 years married, and try to navigate careers, parenthood, and their relationship in a variety of ways. You’re going to find something relatable. A brilliant satire on contemporary life! ...more",Notes are private!,0,11,1,"Feb 29, 2024","Mar 09, 2024","Mar 01, 2024",,Hardcover,view (with text),/book/show/65650229-wellness
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Released: Conversations on the Eve of Freedom,"Blanchard, Gypsy-Rose",1637745877,9781637745878,B0CQ1XFV32,200        pp,3.62,"4,428","Jan 09, 2024","Jan 09, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Phone conversations between Gypsy-Rose and journalist Melissa Moore, whose father, weirdly enough, is a serial killer (I will obvs be going down that Phone conversations between Gypsy-Rose and journalist Melissa Moore, whose father, weirdly enough, is a serial killer (I will obvs be going down that rabbit hole soon). Anyway, this was the worst quality ebook I’ve ever read. I bet, in total, about 20 pages wouldn’t load. I just kept going as it was a page here and a page there. I got the gist. Still annoying. Looking forward to Gypsy’s actual memoir which she mentions here, but I can’t find a pub date yet. ...more",Notes are private!,0,4,1,"Feb 28, 2024","Mar 28, 2024","Feb 28, 2024",,Kindle Edition,view (with text),/book/show/203663496-released
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birds Aren't Real: The True Story of Mass Avian Murder and the Largest Surveillance Campaign in US History,"McIndoe, Peter",1250288894,9781250288899,1250288894,272        pp,3.25,44,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/195790891-birds-aren-t-real
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,525","Jan 16, 2024","Jan 16, 2024",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not at all a fan of this locked-room mystery’s narrative style. The story gives strong Agatha Christie vibes, which is cool, but Michaelides’s writingNot at all a fan of this locked-room mystery’s narrative style. The story gives strong Agatha Christie vibes, which is cool, but Michaelides’s writing is so basic. It’s astoundingly awful. A lot of short, clipped sentences that read nearly like stage directions. I enjoyed The Silent Patient, disliked The Maidens, and detested this. Never reading this dude again....more",Notes are private!,0,11,1,"Feb 25, 2024","Feb 28, 2024","Feb 27, 2024",,Hardcover,view (with text),/book/show/123206645-the-fury
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Out of the Woods,"Offutt, Chris*",0684853760,9780684853765,0684853760,176        pp,3.99,824,"Jan 26, 1999","Feb 22, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Short stories with one commonality: someone who left Kentucky but yearns to return. Tonally, these stories complement each other very well. He createdShort stories with one commonality: someone who left Kentucky but yearns to return. Tonally, these stories complement each other very well. He created down-and-out characters in fascinating, often endearing ways. I’m drawn to Offutt, because I, too was born and raised in the Bluegrass State and love the references. Definitely seeking out his backlist. He attended the illustrious Iowa Writers’ Workshop, so that’s an automatic plus for me! ...more",Notes are private!,0,3,1,"Feb 21, 2024","Feb 29, 2024","Feb 25, 2024",,Paperback,view (with text),/book/show/18335.Out_of_the_Woods
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The I-5 Killer,"Rule, Ann",0451165594,9780451165596,0451165594,296        pp,4.00,"10,021","Mar 01, 1984","Mar 01, 1984",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Randomly snagged this in an Audible sale a few months ago. I’d never heard of the I-5 Killer, but damn, this guy was a total lunatic. How he was ultimRandomly snagged this in an Audible sale a few months ago. I’d never heard of the I-5 Killer, but damn, this guy was a total lunatic. How he was ultimately detained in the time before DNA testing was a thing is pretty incredible. Ann Rule is the true crime queen. I need to read more of her....more",Notes are private!,0,0,1,"Feb 23, 2024","Feb 25, 2024","Feb 23, 2024",,Mass Market Paperback,view (with text),/book/show/239848.The_I_5_Killer
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit Interview: The Life and Death of My Ambitious Career,"Coulter, Kristi",0374600902,9780374600907,0374600902,384        pp,4.23,"2,930",unknown,"Sep 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When Coulter had her introvert epiphany, I totally related. Same thing happened to me at about 30 years old and it was honestly life changing. Here, CWhen Coulter had her introvert epiphany, I totally related. Same thing happened to me at about 30 years old and it was honestly life changing. Here, Coulter exposes her 10+ years at Amazon, starting in the early days, and quickly climbing. I appreciate the insight, and inside info, but this was just okay. ...more",Notes are private!,0,2,1,"Feb 08, 2024","Feb 10, 2024","Feb 21, 2024",,Hardcover,view (with text),/book/show/65215677-exit-interview
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chatter: Dispatches from the Secret World of Global Eavesdropping,"Keefe, Patrick Radden",1400060346,9781400060344,1400060346,300        pp,3.58,634,"Jan 01, 2005","Feb 15, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/344860.Chatter
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Snakehead: An Epic Tale of the Chinatown Underworld and the American Dream,"Keefe, Patrick Radden",0385521308,9780385521307,0385521308,432        pp,4.14,"5,949","Jul 15, 2009","Jul 21, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/6004724-the-snakehead
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dead Zone,"King, Stephen*",0451155750,9780451155757,B000JD7X5S,402        pp,3.96,"223,100","Aug 30, 1979",Aug 1980,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Mass Market Paperback,view,/book/show/11573.The_Dead_Zone
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Smoke and Ashes: A Writer's Journey through Opium's Hidden Histories,"Ghosh, Amitav",9356992665,9789356992665,B0C2F54S1H,523        pp,4.22,385,"Feb 13, 2024","Jul 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Kindle Edition,view,/book/show/131048198-smoke-and-ashes
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beloved,"Morrison, Toni",,9781400033416,1400033411,324        pp,3.95,"435,329","Sep 16, 1987","Jun 08, 2004",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Finally, my first Toni Morrison. I know, I’m ashamed that it took this long, too. Formerly enslaved woman Sethe is haunted by a malevolent ghost belieFinally, my first Toni Morrison. I know, I’m ashamed that it took this long, too. Formerly enslaved woman Sethe is haunted by a malevolent ghost believed to be her eldest daughter. Morrison uses elements of magical realism combined with lyrical prose to tell this story inspired by the true life of Kentucky slave Margaret Garner. So powerful. ...more",Notes are private!,0,7,1,"Feb 12, 2024","Feb 16, 2024","Feb 12, 2024",,Paperback,view (with text),/book/show/6149.Beloved
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"They Came for the Schools: One Town's Fight Over Race and Identity, and the New War for America's Classrooms","Hixenbaugh, Mike*",0063307243,9780063307247,,288        pp,4.12,16,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/196775540-they-came-for-the-schools
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Disney-War,"Stewart, James B.",1455105783,9781455105786,,unknown,4.09,"7,432","Jan 01, 2005","Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,ebook,view,/book/show/16639219-disney-war
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Christa Comes Out of Her Shell,"Waxman, Abbi*",0593198786,9780593198780,0593198786,400        pp,3.93,109,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Paperback,view,/book/show/192723842-christa-comes-out-of-her-shell
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Endurance of Wildflowers        (Wildflower Duet, #2.5)","Smeltzer, Micalea*",,9798987758311,B0C5VXNY12,144        pp,3.81,"8,303",unknown,"Oct 17, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m not sure the Wildflower Duet needed an update, but here we are with Wildflower 2.5, a novella. Set around the holidays, Salem and Thayer are tryinI’m not sure the Wildflower Duet needed an update, but here we are with Wildflower 2.5, a novella. Set around the holidays, Salem and Thayer are trying to add to their family, but it’s a very stressful time. Can’t say I’m in a hurry to read Smeltzer again soon, but these books were a bit of a departure from my norm and entertaining enough. ...more",Notes are private!,0,2,1,"Feb 06, 2024","Feb 11, 2024","Feb 06, 2024",,Paperback,view (with text),/book/show/158102129-endurance-of-wildflowers
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Filterworld: How Algorithms Flattened Culture,"Chayka, Kyle*",,,B0C2PDRHZ9,290        pp,3.80,879,"Jan 16, 2024","Jan 16, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Filterworld *is* our world. This comprehensive analysis of life after analog takes a minute to get going, but is ultimately an interesting read. PersoFilterworld *is* our world. This comprehensive analysis of life after analog takes a minute to get going, but is ultimately an interesting read. Personal passions have been replaced by monetization. It’s consistently harder to be unique. That’s just a small glimpse, but you get the idea. Recommend to people who are reading my book s on social media. ...more",Notes are private!,0,2,2,"Feb 25, 2024not set","Feb 28, 2024not set","Feb 06, 2024",,Kindle Edition,view (with text),/book/show/134119018-filterworld
