,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Monika's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midlife: A Philosophical Guide,"Setiya, Kieran",0691173931,9780691173931,0691173931,189        pp,3.56,"1,951","Oct 20, 2017","Oct 03, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/34427017-midlife
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Free: A Child and a Country at the End of History,"Ypi, Lea",0393867730,9780393867732,0393867730,288        pp,4.28,"12,053","Oct 28, 2021","Jan 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/58085227-free
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Overdressed: The Shockingly High Cost of Cheap Fashion,"Cline, Elizabeth L.",1591844614,9781591844617,1591844614,244        pp,3.82,"6,540","Jun 14, 2012","Jun 14, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/11797414-overdressed
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Detransition, Baby","Peters, Torrey",0593133374,9780593133378,0593133374,337        pp,3.95,"77,274","Jan 12, 2021","Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/48890225-detransition-baby
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What the Most Successful People Do on the Weekend: A Short Guide to Making the Most of Your Days Off,"Vanderkam, Laura*",1101620285,9781101620281,,48        pp,3.72,"1,346","Dec 31, 2012","Dec 01, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 05, 2024","Jan 06, 2024",,ebook,view,/book/show/17081785-what-the-most-successful-people-do-on-the-weekend
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What the Most Successful People Do Before Breakfast: A Short Guide to Making Over Your Mornings--and Life,"Vanderkam, Laura*",,,B007K3E2YK,181        pp,3.41,"11,949","Jun 12, 2012","Jun 12, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 05, 2024","Jan 05, 2024",,Kindle Edition,view,/book/show/18634501-what-the-most-successful-people-do-before-breakfast
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In the Dream House,"Machado, Carmen Maria*",1644450038,9781644450031,1644450038,251        pp,4.43,"124,526","Nov 05, 2019","Nov 05, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/43317482-in-the-dream-house
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book Thief,"Zusak, Markus*",,,0375831002,592        pp,4.39,"2,557,609","Sep 01, 2005","Mar 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Kindle Edition,view,/book/show/19063.The_Book_Thief
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,574","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/57945316-babel
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Wives Under the Sea,"Armfield, Julia",152901722X,9781529017229,152901722X,240        pp,3.79,"65,437","Mar 03, 2022","Mar 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/58659343-our-wives-under-the-sea
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girls Against God,"Hval, Jenny*",,,,240        pp,3.10,"3,619","Oct 02, 2018","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/49130720-girls-against-god
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Circus,"Morgenstern, Erin*",,9780385534635,0385534639,506        pp,4.02,"975,020","Sep 13, 2011","Sep 13, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/9361589-the-night-circus
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Blind Owl,"Hedayat, Sadegh",0802131808,9780802131805,B000NKQDGC,148        pp,3.97,"28,358",1936,1957,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 20, 2024","Feb 12, 2024","Nov 25, 2023",,Paperback,view,/book/show/45967.The_Blind_Owl
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deathless,"Valente, Catherynne M.*",0765326302,9780765326300,0765326302,352        pp,3.95,"20,765","Mar 29, 2011","Mar 29, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2024,"Nov 25, 2023",,Hardcover,view,/book/show/8694389-deathless
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thistlefoot,"Nethercott, GennaRose*",059346883X,9780593468838,059346883X,448        pp,3.96,"18,117","Sep 13, 2022","Sep 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 26, 2023","Dec 28, 2023","Nov 25, 2023",,Hardcover,view,/book/show/60018639-thistlefoot
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Rhodes Lead Here,"Zapata, Mariana*",,,B091K3W8N1,572        pp,4.30,"109,597","Apr 01, 2021","Apr 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Kindle Edition,view,/book/show/57605091-all-rhodes-lead-here
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Near to the Wild Heart,"Lispector, Clarice",0811211401,9780811211406,0811211401,192        pp,4.04,"9,925",Dec 1943,"Sep 17, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/153425.Near_to_the_Wild_Heart
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Police,"Ogawa, Yōko",1101870605,9781101870600,1101870605,274        pp,3.73,"88,703","Jan 26, 1994","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/37004370-the-memory-police
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The White Book,Han Kang,0525573062,9780525573067,0525573062,160        pp,3.82,"17,151","May 25, 2016","Feb 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Hardcover,view,/book/show/40338442-the-white-book
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,840",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History,"Tartt, Donna",1400031702,9781400031702,1400031702,559        pp,4.17,"742,047","Sep 16, 1992","Sep 11, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/29044.The_Secret_History
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559752,9780525559757,0525559752,305        pp,3.52,"191,018","Jun 11, 2019","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/53285047-bunny
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,B09JBCGQB8,418        pp,4.18,"845,604","Jul 05, 2022",Jan 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 05, 2024","Jan 07, 2024","Nov 25, 2023",,Kindle Edition,view,/book/show/77262337-tomorrow-and-tomorrow-and-tomorrow
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Check & Mate,"Hazelwood, Ali*",0593619919,9780593619919,0593619919,352        pp,4.01,"159,740","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Paperback,view,/book/show/60683957-check-mate
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future,"Alderman, Naomi*",166802568X,9781668025680,166802568X,432        pp,3.88,"11,344","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/123163147-the-future
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Girls Don't Die,"Henry, Christina*",0593638190,9780593638194,0593638190,319        pp,3.48,"4,317","Nov 14, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Paperback,view,/book/show/128126007-good-girls-don-t-die
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The New Naturals,"Bump, Gabriel",1616208805,9781616208806,1616208805,304        pp,2.92,584,"Nov 14, 2023","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/123204547-the-new-naturals
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Grandmother Begins the Story,"Porter, Michelle",1643755188,9781643755182,1643755188,336        pp,3.84,"1,533","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/123204565-a-grandmother-begins-the-story
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Teaching My Mother How to Give Birth,"Shire, Warsan*",1905233299,9781905233298,1905233299,37        pp,4.25,"20,354","Dec 29, 2011","Dec 29, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Paperback,view,/book/show/13376363-teaching-my-mother-how-to-give-birth
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fault Lines,"Itami, Emily",0063099802,9780063099807,0063099802,224        pp,3.71,"14,798","Sep 07, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/56304464-fault-lines
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red, White & Royal Blue","McQuiston, Casey*",125023395X,9781250233950,,12        pp,4.09,"988,356","May 14, 2019","May 14, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Audiobook,view,/book/show/45832904-red-white-royal-blue
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lapvona,"Moshfegh, Ottessa",,,B09GW3P1KJ,313        pp,3.54,"60,987","Jun 21, 2022","Jun 21, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 22, 2023","Nov 25, 2023","Nov 22, 2023",,Kindle Edition,view,/book/show/59693959-lapvona
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Employees: A Workplace Novel of the 22nd Century,"Ravn, Olga",1999992881,9781999992880,1999992881,136        pp,3.68,"15,891","May 24, 2018","Oct 01, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 22, 2023","Nov 25, 2023","Nov 22, 2023",,Paperback,view,/book/show/53780642-the-employees
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Have Always Lived in the Castle,"Jackson, Shirley",0143039970,9780143039976,0143039970,160        pp,3.94,"227,063","Sep 21, 1962","Oct 31, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 22, 2023",,Paperback,view,/book/show/89724.We_Have_Always_Lived_in_the_Castle
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rich Dad Poor Dad: What the Rich Teach Their Kids About Money That the Poor and Middle Class Do Not!,"Kiyosaki, Robert T.",,,B07C7M8SX9,336        pp,4.12,"619,621","Apr 08, 1997","Apr 11, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 12, 2022","Nov 22, 2023","May 12, 2022",,Kindle Edition,view,/book/show/39924789-rich-dad-poor-dad
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight in the Garden of Good and Evil,"Berendt, John",,,B003JMFKVK,402        pp,3.92,"270,284","Jan 13, 1994","May 12, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 17, 2022","Nov 22, 2023","Apr 17, 2022",,Kindle Edition,view,/book/show/11539004-midnight-in-the-garden-of-good-and-evil
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Afterparties,"So, Anthony Veasna",0063049910,9780063049918,,272        pp,3.96,"12,942","Aug 03, 2021","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2022",,ebook,view,/book/show/51733706-afterparties
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lore Olympus: Volume One        (Lore Olympus, #1)","Smythe, Rachel*",0593160290,9780593160299,0593160290,384        pp,4.27,"132,703","Nov 02, 2021","Nov 02, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 03, 2022","Feb 04, 2022",,Hardcover,view,/book/show/57282218-lore-olympus
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Arrow: Save Nothing for the Next Life,"McManus, Erwin Raphael",1601429533,9781601429537,1601429533,210        pp,4.25,"2,422",2017,"Sep 05, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 29, 2021","Dec 12, 2021","Dec 12, 2021",,Hardcover,view,/book/show/33508622-the-last-arrow
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,NOS4A2,"Hill, Joe*",,,B009NF6Z2K,995        pp,4.08,"128,939","Apr 30, 2013","Apr 30, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 25, 2021","Aug 31, 2021","Aug 25, 2021",,Kindle Edition,view,/book/show/44581151-nos4a2
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cairo,"Wilson, G. Willow*",1401211402,9781401211400,1401211402,160        pp,3.77,"2,361","Nov 07, 2007","Nov 07, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2021",,Hardcover,view,/book/show/1780680.Cairo
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alif the Unseen,"Wilson, G. Willow*",0802120202,9780802120205,0802120202,433        pp,3.84,"17,570","Jun 19, 2012","Jun 19, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2021",,Hardcover,view,/book/show/13239822-alif-the-unseen
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Resisters,"Jen, Gish*",,,B07RLWKG5R,322        pp,3.60,"3,952","Feb 04, 2020","Feb 04, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 16, 2021",,Kindle Edition,view,/book/show/45835970-the-resisters
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Panther: World of Wakanda,"Gay, Roxane*",130290650X,9781302906504,130290650X,144        pp,3.68,"2,533","Jun 14, 2017","Jun 13, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jul 2021,Jul 2021,"Aug 16, 2021",,Paperback,view,/book/show/32498369-black-panther
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Goldmining the Shadows,"Lighthorse, Pixie*",,,B07ZS37J8Q,160        pp,4.16,318,"Oct 08, 2019","Oct 29, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2021","Nov 22, 2023","Aug 15, 2021",,Kindle Edition,view,/book/show/48706230-goldmining-the-shadows
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Klara and the Sun,"Ishiguro, Kazuo*",059331817X,9780593318171,059331817X,303        pp,3.75,"336,743","Mar 02, 2021","Mar 02, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Hardcover,view,/book/show/54120408-klara-and-the-sun
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Let Me Go,"Ishiguro, Kazuo*",,,1400078776,288        pp,3.85,"694,168","Apr 05, 2005","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/6334.Never_Let_Me_Go
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ruins,"Smith, Scott B.",1400043875,9781400043873,1400043875,319        pp,3.68,"51,779","Jul 18, 2006","Jul 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Hardcover,view,/book/show/21726.The_Ruins
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Between,"Due, Tananarive*",0060819847,9780060819842,0060819847,304        pp,4.06,"3,973","May 01, 1995","Aug 30, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Mass Market Paperback,view,/book/show/41534.The_Between
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gone to See the River Man,"Triana, Kristopher*",,,B085W6B9ZL,182        pp,3.68,"16,547","Mar 12, 2020","Mar 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Kindle Edition,view,/book/show/52373510-gone-to-see-the-river-man
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in Black,"Hill, Susan",1567921892,9781567921892,1567921892,138        pp,3.75,"69,583","Jan 01, 1947","Dec 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2021",,Paperback,view,/book/show/37034.The_Woman_in_Black
