,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Heather's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trail of Lost Hearts,"Garvis-Graves, Tracey*",,,B0C1X7Z4XQ,271        pp,4.11,"1,075","Mar 26, 2024","Mar 26, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I was drawn to this story due to the hiking and geo caching, and the potential romance. The first half finds When on a solo trek after suffering a serI was drawn to this story due to the hiking and geo caching, and the potential romance. The first half finds When on a solo trek after suffering a serious relationship blow. He meets Marshall who is also on the hunt for the elusive trail canisters. I found the first part kind of slow but the descriptions of the surrounding and the geo cache hunt was interesting. The second half picks up with some sexy bits and a plot twist. Overall a good romance with a strong female lead and some seriously sappy moments. Copy provided by the publisher and netgalley...more",Notes are private!,0,0,1,"Mar 29, 2024","Mar 30, 2024","Mar 29, 2024",,Kindle Edition,view (with text),/book/show/126918128-the-trail-of-lost-hearts
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kill for Me, Kill for You","Cavanagh, Steve*",1668049341,9781668049341,1668049341,352        pp,4.28,"13,227","Jul 20, 2023","Mar 19, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A really good read that is narrated by three characters. Ruth, a woman who is victim of a crime, Farrow, a cop who doesn't give up and Amanda who's loA really good read that is narrated by three characters. Ruth, a woman who is victim of a crime, Farrow, a cop who doesn't give up and Amanda who's lost everything to a child predator. It all comes together with great characterization and dialogue that makes for a real page turner. A take on Strangers on a Train but maintains its own freshness. I recommend this one.Copy provided by the publisher and netgalley...more",Notes are private!,0,1,1,"Mar 26, 2024","Mar 29, 2024","Mar 26, 2024",,Hardcover,view (with text),/book/show/176451879-kill-for-me-kill-for-you
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watch It Burn,"Bird, Kristen*",0778369692,9780778369691,0778369692,336        pp,3.81,243,"Mar 12, 2024","Mar 12, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There are many elements I liked about this book which is why I read it to the very end. The title, the three female friends who come together to solveThere are many elements I liked about this book which is why I read it to the very end. The title, the three female friends who come together to solve a mystery, the background of the three women, the voice of the deceased as unreliable narrator. a cult like small Texas town .A lot of potential. But the ending tried too hard and came up short. Predictable, yes but satisfying, no. Added characters and an ethnic angle that could have been explored or completely deleted made the ending more confusing. The characters were well done, they just didn't all fit into this story.Copy provided by the publisher and NetGalley...more",Notes are private!,0,1,1,"Mar 25, 2024","Mar 26, 2024","Mar 25, 2024",,Paperback,view (with text),/book/show/150444505-watch-it-burn
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trisha's Kitchen: Easy Comfort Food for Friends and Family,"Yearwood, Trisha",,,B08NWTPFZK,255        pp,4.11,394,unknown,"Sep 28, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 22, 2024",,Kindle Edition,view,/book/show/57455629-trisha-s-kitchen
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Untamed,"Doyle, Glennon*",,,B07VSZTKJ8,302        pp,3.99,"439,819","Mar 10, 2020","Mar 10, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This had some phrases that were gems, integrity is one self, and memorable. Some essays were too much babble and lost me. My favorite was Elmer's abouThis had some phrases that were gems, integrity is one self, and memorable. Some essays were too much babble and lost me. My favorite was Elmer's about their daughter trying out for an elite soccer team. the charm of Doyle is that she's relatable especially concerning motherhood and marriage . the exchanges with Liz Gilbert are good and remind me why I follow them both....more",Notes are private!,0,0,2,"not setMar 22, 2024","Mar 25, 2024Mar 25, 2024","Mar 22, 2024",,Kindle Edition,view (with text),/book/show/52676534-untamed
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Happened to Nina?,"McTiernan, Dervla*",,,B0C6Y2C7RD,328        pp,4.22,"3,706","Mar 05, 2024","Mar 26, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This story of young love that ends in tragedy was a page turner pulled from the headlines. Relatable and thought-provoking, what would you do to proteThis story of young love that ends in tragedy was a page turner pulled from the headlines. Relatable and thought-provoking, what would you do to protect you child? The suspense builds and emotions are played. This is the first book I've read by this author and I look forward to reading more. The characters are so well drawn the situation so believable. Mystery writing at its best!copy provided by the publisher and netgalley...more",Notes are private!,0,2,1,"Mar 21, 2024","Mar 22, 2024","Mar 21, 2024",,Kindle Edition,view (with text),/book/show/171793386-what-happened-to-nina
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Four,"Keel, Ellie",0063394383,9780063394384,0063394383,448        pp,3.66,303,"Apr 11, 2024","Aug 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Paperback,view,/book/show/202747689-the-four
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What We'll Burn Last,"Chavez, Heather*",0316531650,9780316531658,0316531650,336        pp,4.19,21,"Jul 23, 2024","Jul 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/201626951-what-we-ll-burn-last
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rednecks,"Brown, Taylor*",1250329337,9781250329332,1250329337,320        pp,4.25,122,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/195790759-rednecks
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oye,"Mogollon, Melissa*",0593594908,9780593594902,0593594908,336        pp,3.96,188,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/196845489-oye
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cemetery of Untold Stories,"Alvarez, Julia*",1643753843,9781643753843,1643753843,256        pp,3.86,432,"Apr 02, 2024","Apr 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a book that you could read again and have a different deeper experience discovering literary references, Spanish phrases and nuances that you This is a book that you could read again and have a different deeper experience discovering literary references, Spanish phrases and nuances that you missed the first time through. Alma, the esteemed writer and her cemetery's stories evoke a charmed premise. Tthrough Trujillo's regime and Domenican history, harshness and brutality is experienced by the various story narrators. List love and lost family and grief are common themes. Each untold story grabs attention although the transition between characters can be a bit awkward. Overall, Alvarez combines many elements and comes out on top.Copy provided by the publisher and Netgalley...more",Notes are private!,0,0,1,"Apr 07, 2024","Apr 11, 2024","Mar 20, 2024",,Hardcover,view (with text),/book/show/195820829-the-cemetery-of-untold-stories
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Knife: Meditations After an Attempted Murder,"Rushdie, Salman",0593730240,9780593730249,0593730240,224        pp,4.50,12,"Apr 16, 2024","Apr 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/199344846-knife
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wives: A Memoir,"Gorrindo, Simone*",1982178493,9781982178499,1982178493,416        pp,4.25,247,"Apr 09, 2024","Apr 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/176443920-the-wives
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of the World in Twelve Shipwrecks,"Gibbins, David*",1250325374,9781250325372,,304        pp,3.71,112,unknown,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 20, 2024",,Hardcover,view,/book/show/127305908-a-history-of-the-world-in-twelve-shipwrecks
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hidden Mountains: Survival and Reckoning After a Climb Gone Wrong,"Wejchert, Michael",0063085526,9780063085527,0063085526,256        pp,3.99,853,unknown,"Jan 17, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Two couples go on a climbing trip in Alaska that has never been attempted. Then the unthinkable happens. His is the story of rescue and aftermath. TheTwo couples go on a climbing trip in Alaska that has never been attempted. Then the unthinkable happens. His is the story of rescue and aftermath. The narrative jumps around to cover other climbing mishaps, the training for SAR, axons and brain and spinal injury to name a few. There are a lot of players mentioned throughout that are hard to keep track of. I like the relationship aspect of the aftermath. Other related reading is also referenced throughout and I added a couple to my wish list. Reads like a mash up of several articles but still interesting. Climbing enthusiasts will want to read this....more",Notes are private!,0,0,1,"Mar 19, 2024","Mar 20, 2024","Mar 19, 2024",,Hardcover,view (with text),/book/show/60879770-hidden-mountains
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,It Had to Be You,"Brazier, Eliza Jane",0593438930,9780593438930,B0CM5NKQVY,0        pp,4.10,21,unknown,"Jul 16, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A fast paced sexy thriller with a lot of sex and a little substance. Two assassins meet on a train and the attraction is immediate. They run into eachA fast paced sexy thriller with a lot of sex and a little substance. Two assassins meet on a train and the attraction is immediate. They run into each other again and the sex and thrills continue. A fun distraction. Copy provided by the publisher and Netgalley...more,Notes are private!,0,1,1,"Mar 19, 2024","Mar 21, 2024","Mar 19, 2024",,Kindle Edition,view (with text),/book/show/201101870-it-had-to-be-you
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Been Better,"Simpson, Leanne Toshiko*",0593714784,9780593714782,0593714784,288        pp,3.85,373,"Mar 05, 2024","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A trio of friends who met in a mental health hospital are the center of this moving and witty story of a wedding week in the tropics. I appreciate theA trio of friends who met in a mental health hospital are the center of this moving and witty story of a wedding week in the tropics. I appreciate the advocacy of mental health awareness and the characters were well rounded with highs and lows. The sister of one, Tilley was my favorite do or die sidekick. A little preachy and a lot relatable. The author's story is as interesting.Copy provided by the publisher and netgalley...more",Notes are private!,0,0,1,"Mar 17, 2024","Mar 20, 2024","Mar 17, 2024",,Paperback,view (with text),/book/show/174156447-never-been-better
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Me Everything,"Strout, Elizabeth*",0593446097,9780593446096,0593446097,336        pp,4.60,20,unknown,"Aug 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/204811915-tell-me-everything
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hearts on Thin Ice,"Kennedy, Katie",1639107738,9781639107735,1639107738,320        pp,3.40,161,unknown,"Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/200719705-hearts-on-thin-ice
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I See You!: A Leader's Guide to Energizing Your Team Through Radical Empathy,"Diehl, Erin",,9798886451474,B0CSF7Q578,0        pp,4.75,8,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Kindle Edition,view,/book/show/205490740-i-see-you
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emotional Intelligence Habits,"Bradberry, Travis*",0974719374,9780974719375,0974719374,432        pp,4.35,312,unknown,"Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Hardcover,view,/book/show/151339300-emotional-intelligence-habits
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long After We Are Gone,"Harris, Terah Shelton*",1728265770,9781728265773,1728265770,432        pp,4.26,128,"May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2024",,Paperback,view,/book/show/193544841-long-after-we-are-gone
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Teacher,"McFadden, Freida*",,,B0CGWBB9XG,402        pp,3.99,"218,509","Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This author is consistent with her mystery thrillers. Nothing too far out plot wise but always a couple of unexpected twists and a bit off h rails forThis author is consistent with her mystery thrillers. Nothing too far out plot wise but always a couple of unexpected twists and a bit off h rails for he resolution. A teacher is not what he seems in this mystery that is somewhat predictable but then a curve pops up. A fast, easy read that satisfies....more",Notes are private!,0,2,2,"not setMar 16, 2024","Mar 17, 2024Mar 17, 2024","Mar 16, 2024",,Kindle Edition,view (with text),/book/show/198218463-the-teacher
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Bye, Baby","Lovering, Carola*",125028936X,9781250289360,125028936X,352        pp,3.82,"8,785","Mar 05, 2024","Mar 05, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This story is not a mystery or thriller like I assumed. It is a story of female friendship and how it can evolve and erode Neither of the characters aThis story is not a mystery or thriller like I assumed. It is a story of female friendship and how it can evolve and erode Neither of the characters are without major flaws so they are hard to root for. But the writing is enough to keep reading to see what happens. Soap operaesque drama and too many plot points detract from the novel it could have been. Still a decent read with some thoughtful themes.Copy provided by the publisher and NetGalley...more,Notes are private!,0,2,1,"Mar 11, 2024","Mar 12, 2024","Mar 11, 2024",,Hardcover,view (with text),/book/show/127305890-bye-baby
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Supercommunicators: How to Unlock the Secret Language of Connection,"Duhigg, Charles*",0593243919,9780593243916,0593243919,320        pp,4.08,"3,309","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2024",not set,"Mar 07, 2024",,Hardcover,view,/book/show/157981748-supercommunicators
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Under the Storm        (Hallandssviten, #1)","Carlsson, Christoffer*",059344938X,9780593449387,059344938X,416        pp,3.62,"1,246","Mar 01, 2019","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It took me a while to find the sweet spot in this Nordic mystery, but once I did I thoroughly enjoyed it. The character development starts off a bit sIt took me a while to find the sweet spot in this Nordic mystery, but once I did I thoroughly enjoyed it. The character development starts off a bit shaky but really comes together as hey interact. A fire and a girl bludgeoned to death is the mystery. The who did it comes early On but one cop can't let it go. the side stories are well done including a coming of age of the murderer's nephew over the years. Really well done.Copy provided by the publisher and Netgalley...more",Notes are private!,1,2,1,"Mar 06, 2024","Mar 11, 2024","Mar 06, 2024",,Paperback,view (with text),/book/show/165940203-under-the-storm
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inmate,"McFadden, Freida*",,,B0B1XQTZ1R,388        pp,4.09,"371,538","Jun 13, 2022","Jun 13, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A nurse practitioner goes to work at a prison where her ex boyfriend is incarcerated. This sounds like a bad idea and it is. A buildup of sexual tensiA nurse practitioner goes to work at a prison where her ex boyfriend is incarcerated. This sounds like a bad idea and it is. A buildup of sexual tension and suspense about what happened eleven years earlier vs today is presented in alternating chapters. This was a satisfying page turner until the last third of the story when the plot went a little crazy to tie up loose ends. the ending goes back on track as read in one sitting fast fiction. There were a couple of clever twists that I didn't see coming. Other than an overwrought resolution, this was a good read.Copy provided by the publisher and NetGalley...more",Notes are private!,0,0,1,"Mar 06, 2024","Mar 06, 2024","Mar 06, 2024",,Kindle Edition,view (with text),/book/show/61149872-the-inmate
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anna O,"Blake, Matthew",0063314169,9780063314160,B0C2Q5H3YK,432        pp,3.48,"9,243","Jan 02, 2024","Jan 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,A slow burn of a mystery about sleep disorders and crimes committed. I enjoyed this book and the twists and turns kept me guessing until the very end.A slow burn of a mystery about sleep disorders and crimes committed. I enjoyed this book and the twists and turns kept me guessing until the very end. Very detailed about the psychology and treatments. Interesting and intriguing. ...more,Notes are private!,0,1,2,"not setMar 03, 2024","Mar 06, 2024Mar 06, 2024","Mar 03, 2024",,Kindle Edition,view (with text),/book/show/134245143-anna-o
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Annie,"Quindlen, Anna",0593229800,9780593229804,0593229800,304        pp,4.16,"7,656","Feb 27, 2024","Feb 27, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A short read filled with possibility and grief. The death of a major figure in their lives, the husband, children and best friend find their way. QuinA short read filled with possibility and grief. The death of a major figure in their lives, the husband, children and best friend find their way. Quindlen throws in some aha prose that turns this into more than just a sentimental read. The characters are relatable and the sadness is erratic. A hopeful read.Copy provided by the publisher and NetGalley...more",Notes are private!,0,4,1,"Mar 03, 2024","Mar 03, 2024","Mar 03, 2024",,Hardcover,view (with text),/book/show/177185880-after-annie
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Your Presence Is Mandatory,"Vasilyuk, Sasha*",1639731539,9781639731534,1639731539,336        pp,4.44,41,"Apr 23, 2024","Apr 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A powerful tale of a Red Army Jewish artillery man survives the war. A chronicle of the shame and guilt of German prisoners of war and the lie SchulmaA powerful tale of a Red Army Jewish artillery man survives the war. A chronicle of the shame and guilt of German prisoners of war and the lie Schulman lives with throughout his life. Adventures and harshness is shared through alternating chapters from war days and after war days. A subject I don't know much about from this perspective, especially. The characters were many but distinct. and have a certain humanity that relates to today's war in Ukraine. Historical, yet timely. Overall a good and unique read for me.Copy provided by the publisher and NetGalley...more",Notes are private!,0,2,1,"Feb 25, 2024",Mar 2024,"Feb 25, 2024",,Hardcover,view (with text),/book/show/133938432-your-presence-is-mandatory
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Heroic Measures,"Ciment, Jill*",0375425225,9780375425226,0375425225,193        pp,3.64,"1,630",2009,"Jun 30, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was featured on Ann Patchett's new to you Friday post. I trust Ann and she was right. This is a short compact volume that cites Chekhov and This book was featured on Ann Patchett's new to you Friday post. I trust Ann and she was right. This is a short compact volume that cites Chekhov and features a little dog and her elderly humans. New York after 9/11 with a possible terrorist event while the little dog is ailing and er humans are selling their own apartment and buying another. Evoking hope and humanity, this little story flows with smooth dialogue and human humans. Read it because its new to you!...more",Notes are private!,0,0,1,not set,not set,"Feb 23, 2024",,Hardcover,view (with text),/book/show/6415806-heroic-measures
