,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paul's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Short Stay in Hell,"Peck, Steven L.*",098374842X,9780983748427,098374842X,110        pp,4.22,"11,090","Jan 01, 2011","Mar 23, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A brief, gleefully bleak horror comedy that begins with three pretty funny jokes. Our Mormon protagonist finds himself in a room being administered byA brief, gleefully bleak horror comedy that begins with three pretty funny jokes. Our Mormon protagonist finds himself in a room being administered by an 8 foot demon complete with horns. Demon is trying to figure out which hell he should go to. What? But I shouldn’t be here at all! I’m a good Mormon! I believe in God and Jesus and everything! Demon explains well, kiddo, you picked the wrong religion. The real true religion is Zoroastrianism. Our Mormon is indignant – why was this not made clear? “Bit of bad luck there,” says the demon, in a don’t blame me, I don’t make the rules kind of way. So anyway, he gets zapped off to one particular Hell and he’s reading the rules on a big helpful board :Welcome to Hell. This Hell is based upon a short story by Jorge Luis Borges from your world called “The Library of Babel”. Here you will find all the books that can possibly be written.And after listing nine rules, it concludesWe hope you enjoy your stay here. We have done all we can to make your stay a pleasant and instructive one.Kind of counterfactual, you may think. But really this Hell is pretty pleasant, you get to eat delicious food all the time, you get to have your 25 year old body which never gets sick, and wonder of wonders you get to meet people and have sex, should you so desire. What could be so bad about Hell, then?For the answer, you should read this funny and excruciating little book. Note : In case you were wondering how many books are in this library of hell, there is an answer. The combination of letters and words are confined to those found on a Roman alphabet keyboard, and include all the punctuation too, alas, so the number is quite high, it’s 95 to the power of 1,312,000 which is way way more than the number of electrons in our present universe. [image]...more",Notes are private!,2,25,1,"Mar 17, 2024","Mar 19, 2024","Mar 17, 2024",,Paperback,view (with text),/book/show/13456414-a-short-stay-in-hell
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day,"Keegan, Claire",0571382010,9780571382019,0571382010,47        pp,4.01,"10,962","Aug 31, 2023","Aug 22, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Cathal, the averagely nasty, averagely appalling jerk in this book, moans constantly about how much this thing or that thing cost him – for example whCathal, the averagely nasty, averagely appalling jerk in this book, moans constantly about how much this thing or that thing cost him – for example when the jeweller presents a bill for the adjustment of the engagement ring he bought for his lovely bride-to-be, so that they have a row about it. (“Do you think I’m made of money?”) Alas, the spirit of Cathal was surely somewhere in the room when this tiny book plopped through the letterbox. Huh, 47 very large font pages and that’s it? I muttered. This better be real good!Well, it was pretty good but it was a short story. A nice bitter misogynyskewering short story, right up my street....more",Notes are private!,2,24,1,"Mar 13, 2024","Mar 13, 2024","Mar 13, 2024",,Hardcover,view (with text),/book/show/73936042-so-late-in-the-day
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0571368689,9780571368686,0571368689,116        pp,4.19,"153,381","Nov 05, 2021","Oct 21, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A sharp glinting sliver of horror not confronted, glanced at and shuddered away from, then finally grasped. Sometimes the things that are closest to yA sharp glinting sliver of horror not confronted, glanced at and shuddered away from, then finally grasped. Sometimes the things that are closest to you are hardest to see. Now I have to know more. This tiny novel is not to be missed. It will only take you 90 minutes, or less. ...more",Notes are private!,8,50,1,"Mar 09, 2024","Mar 10, 2024","Mar 09, 2024",,Hardcover,view (with text),/book/show/56943582-small-things-like-these
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,1971: 100 Films from Cinema's Greatest Year,"Sellers, Robert",0750999993,9780750999991,0750999993,320        pp,4.00,6,unknown,"Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/178810856-1971
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Among the Trolls: My Journey Through Conspiracyland,"Spring, Marianna",1838955259,9781838955250,B0CMDRP142,316        pp,4.16,37,unknown,"Mar 07, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"1)	In warfare human beings discover a capability for violence they never knew they had; so long as it’s sanctioned by the state they can bomb and kill1)	In warfare human beings discover a capability for violence they never knew they had; so long as it’s sanctioned by the state they can bomb and kill with ease. Now social media has revealed something else we weren’t aware of - a propensity in many people for wild untethered beliefs and uncouth speech that has come as a shock. We have all found out that for many people (your son, your dear little grandmamma, the hairdresser, the bassist in your third favourite band) there is absolutely no notion of the objective reality we ourselves always assumed; they actually never did believe in any of these concepts of democracy and liberal government and rule of law that the rest of us have been taking for granted, they think it’s all a puppeteered sham and we are the sheeple being herded about. And it’s never not been a sham. 2)	But wait - if the conspiracies unearthed by the theorists are so vast, complex and powerful how are they ever to be defeated? What would success look like to a conspiracy believer? 3)	One conspiracy pusher explains the difference between him and Marianna : ”You believe all people are good. I believe almost everyone is bad.”[image]4)	Marianna asks herself why she doesn’t believe in conspiracies:At the heart of it is a simple answer: trust. I have faith in a system and institutions that have no on the whole let me down, plus a doctor for a dad and a mum who was once a nurse. OMG, this sounds truly naïve, and I can hear even non-truther readers failing to stifle guffaws. And yet, I agree with her. I believe in double blind clinical trials, I believe in peer-ed scientific papers, I believe that the government is real and that I and my fellow citizens can throw the rascals out when we vote, and get some new rascals in. 5)	But! If you oppose conspiracy theories you are quite often in the sorry unpleasant position of having to defend the findings of the FBI and CIA etc about such matters as 9/11 and JFK. It’s invidious. [image]6)	The conspiracy believers will take the official version of a particular event and give it unrelenting scrutiny and dismantle it and mock it. The arguments against the official version, however, are given zero scrutiny, they are instantly accepted. 7)	You might think that the conspiracy believers get involved in their campaigns in order to feel better, to gain what they call “agency” these days. But you’d be wrong (I was). The true believers become even more powerless, because ultimately thy can’t resolve the fabricated plot they think they’ve uncovered. They also find themselves exploited by new powerful people – the leaders of this conspiracy world.That was an interesting insight, on page 46. Unfortunately on page 47 we read :Conspiracy theories and falsehoods help believers feel powerful in a world where lots of people feel powerless.So, er, which is it?8)	Isaac Newton was an alchemist and Conan Doyle believed in spiritualism, and also fairies. Some scientists are full of irrational thought. 9)	The Russian state conspires to promote conspiracy theories about the West, NATO, Ukraine, etc. A real conspiracy encourages fake conspiracies. 10)	The last part of this book is very repetetetive. Marianna sets up a number of fake accounts with the Big Five (Facebook, Snapchat, Instagram, Twitter/X, Tiktok) using various profiles and checks what stuff their algorithms send to her. No surprise, as, for example, a profile for a fake 14 year old boy, after he clicka and likes some videos, is quickly sent by Tiktok lots of videos glorifying gang life and knife carrying. Or a profile of a concerned 40 year old woman is sent antivax stuff. This is the stuff the companies say they don’t allow. When Marianna shows them proof that their vetting procedures are not working, they refuse an interview and fob her off with a bland statement. “Snapchat strictly prohibits bullying, harassment and any illegal activity…[we] provide confidential in-app reporting tools”.Marianna is contemptuous in a polite sort of way :These are the sorts of responses I often receive from social media sites. They are practically interchangeable, and often describe policies that my reporting contradicts or reveals to be inadequately enforced.11)	Conspiracy theories rely on the belief that many many people are almost superhuman, capable of plans that would be incredibly difficult or even impossible to pull off. When backed into a corner, conspiracy theorists afford magical powers to the cabal of powerful, corrupt people they believe are pulling all the strings.12 ) Between 1 January 2023 and the end of June that year the BBC received 14,488 warnings about abusive social media posts relating to their personnel. Of this number, 11,771 relate to me.Because Marianna has been exposing online conspiracy tolllers for a few years. They know who she is and they hate her. FURTHER READINGI have already read : Troll Hunting: Inside the World of Online Hate and its Human Fallout by Ginger GormanThis Is Why We Can't Have Nice Things: Mapping the Relationship Between Online Trolling and Mainstream Culture by Whitney PhillipsThe Other Pandemic: How QAnon Contaminated the World by James BallThese are all well worth it, but of course the conspiracy theories of yesteryear begin to look quaint.[image]...more",Notes are private!,13,33,1,"Mar 09, 2024","Mar 11, 2024","Mar 05, 2024",,Kindle Edition,view (with text),/book/show/201375022-among-the-trolls
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A History of Pictures: From the Cave to the Computer Screen,"Hockney, David",1419722751,9781419722752,1419722751,360        pp,4.39,689,2016,"Oct 18, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/29362760-a-history-of-pictures
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Art and Vision of Flannery O'Connor,"Brinkmeyer, Robert H. Jr.*",0807118532,9780807118535,0807118532,201        pp,3.86,14,"Jan 01, 1990","Jul 01, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/226435.The_Art_and_Vision_of_Flannery_O_Connor
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Short Story Theories,"May, Charles E.",0821402218,9780821402214,0821402218,265        pp,3.60,5,"Jan 01, 1977","Jan 01, 1977",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/634222.Short_Story_Theories
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James Joyce and Modern Literature,"McCormack, W.J.",1138186163,9781138186163,1138186163,222        pp,0.00,0,"Jan 30, 2016","Dec 16, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/26407126-james-joyce-and-modern-literature
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Joyce: A Collection of Critical Essays,"Chace, William M.",0135112958,9780135112953,0135112958,unknown,3.00,2,"Jan 01, 1974","Jan 01, 1974",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/1396705.Joyce
