,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anne's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Olga Dies Dreaming,"Gonzalez, Xochitl*",1250786177,9781250786173,1250786177,369        pp,3.99,"61,726","Jan 04, 2022","Jan 04, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  December 2023 edition of Quick Lit on Modern Mrs Darcy:Olga is a Puerto Rican Brooklynite who works as a wedding planner to the ultraReviewed in the  December 2023 edition of Quick Lit on Modern Mrs Darcy:Olga is a Puerto Rican Brooklynite who works as a wedding planner to the ultra-rich—those who might thinking nothing of spending seven figures on a wedding. The juicy wedding details made for fascinating reading (and are rooted in Gonzales's real-life experience), but the emotional heart of this story lies with Olga's family of origin: their revolutionary father was a heroin addict who died years ago of complications from AIDS; their mother abandoned the pair when they were young so she could fight for Puerto Rican independence. Now 40, Olga finds herself restless with the life she's leading, her brother feels trapped for his own reasons, and the two find themselves torn between the success they've found and the ideals with which they were raised. This is a story about finding love and healing, breaking free from past hurts, and also very much about the past and present of Puerto Rico. I loved this, and found the ending particularly satisfying....more",Notes are private!,0,47,1,not set,not set,"Dec 15, 2023",,Hardcover,view (with text),/book/show/57693171-olga-dies-dreaming
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trust,"Diaz, Hernan*",0593420314,9780593420317,0593420314,402        pp,3.84,"97,308","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  December 2023 edition of Quick Lit on Modern Mrs Darcy:I strongly considered including this novel—and Pulitzer Prize winner—on  my faReviewed in the  December 2023 edition of Quick Lit on Modern Mrs Darcy:I strongly considered including this novel—and Pulitzer Prize winner—on  my favorite audiobooks of 2023 list! This multi-layered story is told in four distinct parts, each one subtly—or, in the case of the final section, not so subtly—changing the meaning of what came before. Part I is a biographical novel based on the life of an infamous Wall Street trader. Part II, an unfinished draft of the autobiography the trader began writing, with the help of a ghostwriter, to ""correct"" the novel's portrayal of his life. Part III is from the point of view of that ghostwriter, and Part IV ... no spoilers, but it blows the lid off the whole thing. Structure nerds like myself will find much to appreciate here....more",Notes are private!,0,46,1,not set,not set,"Dec 15, 2023",,Hardcover,view (with text),/book/show/58210933-trust
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dayswork,"Bachelder, Chris",,,B0BWGJSR35,234        pp,3.84,563,2023,"Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 11, 2023","Dec 15, 2023","Dec 11, 2023",,Kindle Edition,view,/book/show/77265049-dayswork
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lillian Boxfish Takes a Walk,"Rooney, Kathleen*",1250113326,9781250113320,1250113326,287        pp,3.85,"29,805","Jan 17, 2017","Jan 17, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club December 2023 selection.A friend talked me into reading this after she shared that every member of her diverse This is the Modern Mrs Darcy Book Club December 2023 selection.A friend talked me into reading this after she shared that every member of her diverse book club loved this—the twenty-somethings and the sixty-somethings. That got my attention. It's the last day of 1984, and 85-year-old Lillian Boxfish takes a walk in late-night Manhattan, on a very specific mission. As she walks, she reflects on the life she's lived, the people she's known, and where things began to go wrong. This reminded me of J. Courtney Sullivan's The Engagements because of the strong women at the center of each....more",Notes are private!,0,94,1,not set,not set,"Nov 28, 2023",,Hardcover,view (with text),/book/show/29939353-lillian-boxfish-takes-a-walk
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before I Let Go        (Skyland, #1)","Ryan, Kennedy*",,,B09TZZKY5V,384        pp,4.37,"53,379","Nov 15, 2022","Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 21, 2023","Nov 23, 2023","Nov 21, 2023",,Kindle Edition,view,/book/show/60915273-before-i-let-go
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bee Sting,"Murray, Paul",0374600309,9780374600303,0374600309,656        pp,4.01,"31,956","Jun 08, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  November 2023 edition of Quick Lit on Modern Mrs Darcy:I discussed this Booker-shortlisted book in an Industry Insights bonus episodeReviewed in the  November 2023 edition of Quick Lit on Modern Mrs Darcy:I discussed this Booker-shortlisted book in an Industry Insights bonus episode about literary awards for our What Should I Read Next Patreon community. This book also made me realize that I've listened to quite a few Irish novels recently, quite by accident. I found the publisher's descriptions to be quite misleading here, as they made the book sound considerably warmer than I found it to be. (And ""funny,"" what?) Instead expect a multi-generational family saga about the unrelenting and unending troubles and ultimate demise of the ill-fated Barnes family. I listened to the full cast audiobook narration, and while audio isn’t my best reading format for discerning style and structure, it’s still easy to see that character development, structure, and symbolism are brilliantly done. If you can believe it, the book's 700 pages felt like a page-turner closer to half that long, all the way up to the jaw-dropping ending. This is a book that would well reward a re-read, if you can bear it. Please note countless content warnings....more",Notes are private!,0,35,1,not set,not set,"Nov 16, 2023",,Hardcover,view (with text),/book/show/62039166-the-bee-sting
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Personal Librarian,"Benedict, Marie*",,,,341        pp,4.06,"167,890","Jun 29, 2021","Jun 29, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  November 2023 edition of Quick Lit on Modern Mrs Darcy:Confession: I haven't been to New York City's renowned Morgan Library (yet), aReviewed in the  November 2023 edition of Quick Lit on Modern Mrs Darcy:Confession: I haven't been to New York City's renowned Morgan Library (yet), and before this book's publicity campaign I knew nothing of the woman crucial to its existence and current collection. Belle da Costa Greene was born Belle Marion Greener to a prominent African American family; her father was Harvard's first Black graduate and a noted attorney and activist. When her parents separated, Belle's mother Genevieve moved Belle and her siblings to New York City, where the family decided to pass as white and changed their last name to Greene. (Belle added “de Costa” to her professional name, to substantiate the family's claim that they were of Portugese ancestry.) This was the backdrop for Morgan's hiring Belle as his ""personal librarian,"" where she enjoyed great and nearly unprecedented power as curator of his precious personal art collection, which became the public Pierpont Morgan Library in 1924. (Belle served as Director until 1948.) This is gripping, fast-paced biographical fiction, narrated by fan favorite Robin Miles (which definitely influenced my opting for the audiobook). This is the Modern Mrs Darcy Book Club February 2024 selection; its flight pick is Belle Greene by Alexandra Lapierre....more",Notes are private!,0,47,1,not set,not set,"Nov 16, 2023",,Hardcover,view (with text),/book/show/55333938-the-personal-librarian
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remember Us,"Woodson, Jacqueline*",0399545468,9780399545467,0399545468,192        pp,4.29,"1,800","Oct 10, 2023","Oct 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  October 2023 edition of Quick Lit on Modern Mrs Darcy:I haven’t read much middle grade fiction this year, but I picked up this brand Reviewed in the  October 2023 edition of Quick Lit on Modern Mrs Darcy:I haven’t read much middle grade fiction this year, but I picked up this brand new novel (just out October 10) from Jacqueline Woodson the minute I heard about it, because of my love for her 2020 MG release Before the Ever After. The story takes place the summer before Sage enters seventh grade, in Brooklyn's Bushwick neighborhood, called ""The Matchbox"" because buildings keep going up in flames. Her mother wants to move them to a safer neighborhood—especially because Sage's father died fighting one of those fires—but she's reluctant to leave the place that holds so many family memories. Woodson drew heavily on her own experience growing up in Bushwick in the 70s and 80s to pen this novel, and beautifully captures the dreams and pain of the tween years and the particular poignancy of Sage's struggles. This lyrical story of grief, change, and healing is especially good on audio, narrated by the author....more",Notes are private!,0,34,1,not set,not set,"Oct 16, 2023",,Hardcover,view (with text),/book/show/102188892-remember-us
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rachel Incident,"O'Donoghue, Caroline*",0593535707,9780593535707,0593535707,304        pp,4.12,"49,562","Jun 22, 2023","Jun 27, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  October 2023 edition of Quick Lit on Modern Mrs Darcy:This is the book I can't stop recommending this month! I picked this up on a whReviewed in the  October 2023 edition of Quick Lit on Modern Mrs Darcy:This is the book I can't stop recommending this month! I picked this up on a whim and am so glad I did: the novel reads like a warmer, wittier Sally Rooney, perfect for fans of introspective first-person literary fiction. When the novel begins, Rachel is living in London, happily married and pregnant, when she hears the news that one of her old long-ago college professors is in a coma. (This beginning reminds me of that of one of my favorite novels, This Must Be the Place.) This discovery prompts her to recall a pivotal year in her early twenties, when she met her best friend James working at the bookstore and their lives soon became enmeshed with those of the professor and his wife. A provocative novel with an enticing plot that thoughtfully interrogates themes of power, class, art, and the queer experience; I adored the Irish accents in Tara Flynn's excellent narration....more",Notes are private!,0,52,1,not set,not set,"Oct 16, 2023",,Hardcover,view (with text),/book/show/63094957-the-rachel-incident
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Keep House While Drowning: A Gentle Approach to Cleaning and Organizing,"Davis, K.C.",,,B09JPHQZQZ,156        pp,4.26,"49,612","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023","Oct 12, 2023","Oct 09, 2023",,Kindle Edition,view,/book/show/60139504-how-to-keep-house-while-drowning
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When Ghosts Come Home,"Cash, Wiley*",0062312669,9780062312662,0062312669,290        pp,3.70,"7,042","Sep 21, 2021","Sep 21, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club October 2023 selection. The author will join us for a live discussion on October 19!J.D. Jackson's superb narraThis is the Modern Mrs Darcy Book Club October 2023 selection. The author will join us for a live discussion on October 19!J.D. Jackson's superb narration takes Cash's first procedural to the next level. The story unfolds over just four days; the setting is Oak Island NC, 1984. I was hooked from the first scene: when the local sheriff is jolted awake by a loud noise in the middle of the night, he heads to the small airport to investigate, where he discovers a crashed plane, stripped bare, and a dead body. The sheriff's ensuing probe uncovers old grievances and rawer, fresher crises in the small community. All these months later, I'm still thinking about the ending....more",Notes are private!,0,35,1,not set,not set,"Oct 02, 2023",,Hardcover,view (with text),/book/show/56382097-when-ghosts-come-home
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Open Throat,"Hoke, Henry*",037460987X,9780374609870,037460987X,176        pp,4.00,"7,119","Jun 06, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  September 2023 edition of Quick Lit on Modern Mrs Darcy:A slim novel that packs a serious punch in a tiny little package—this one jusReviewed in the  September 2023 edition of Quick Lit on Modern Mrs Darcy:A slim novel that packs a serious punch in a tiny little package—this one just 176 pages. My friend and WSIRN alum Michelle Wilson told me I had to read this, and I take Michelle's recs seriously. She doesn't miss! (Her recommendation also landed with team member Brigid, who then raved about this book on our WSIRN team best books of summer episode.) Many readers have been captured by the publisher's concise description of this novel: ""a lonely, lovable, queer mountain lion narrates this star-making fever dream of a novel."" The mountain lion lives in the wilds near L.A. ( or ""ellay"" to the mountain lion), where they watch the hikers from the shadows and keep close tabs on one human family in particular in the nearby encampment of unhoused people, narrating what they see and understand of human behavior. Strange, sly, and captivating: I read this in an afternoon....more",Notes are private!,0,22,1,not set,not set,"Sep 15, 2023",,Hardcover,view (with text),/book/show/62039259-open-throat
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,015","Aug 29, 2023","Aug 29, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  September 2023 edition of Quick Lit on Modern Mrs Darcy:A spotlight title for our 2023 Fall Book P! This compulsively readable Reviewed in the  September 2023 edition of Quick Lit on Modern Mrs Darcy:A spotlight title for our 2023 Fall Book P! This compulsively readable literary mystery begins when a father vanishes in a D.C. area park—and the only witness to his disappearance is his 14-year-old autistic son, who doesn’t speak and thus lacks the means to verbally communicate with his family about what happened. What begins as a missing persons case quickly develops into an even more ominous investigation. First-person narrator Mia, a college student at home in 2020 due to the pandemic, takes us deep inside the workings of her Korean-American family as she relays all that unfolds during the bewildering three days following her father’s disappearance. Kim incorporates elements of music, numerology, language therapy, and more into this riveting blend of family saga and ticking-clock procedural thriller. You’ll see this on my Best of the Year list....more",Notes are private!,0,61,1,not set,not set,"Sep 15, 2023",,Hardcover,view (with text),/book/show/75495002-happiness-falls
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Biz,"Nović, Sara*",0593241509,9780593241509,0593241509,386        pp,4.09,"64,490","Apr 05, 2022","Apr 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the Modern Mrs Darcy Book Club September 2023 selection. The author will join us for a live discussion on September 21!This story unfolds at OThis is the Modern Mrs Darcy Book Club September 2023 selection. The author will join us for a live discussion on September 21!This story unfolds at Ohio's River Valley School for the Deaf, a boarding school where students come to learn and can count on the cultural richness of the deaf community being celebrated. When Charlie enrolls as a new student she's never met another deaf student; her parents had kept her in traditional school for far too long, hoping her issues with hearing would simply disappear once they got her cochlear implants dialed in. Charlie knew that would never happen, and quickly makes herself at home in her new school setting, not knowing the school's very existence is actively being threatened. I knew little about deafness and the deaf community prior to reading this book, and ate up all the details about various facets of the deaf experience deaf author Nović wove into the story. I especially loved the audiobook narrated by Lisa Flanagan and Kaleo Griffith, with the sound of signing over the speech when ASL was being used. (Though I'm already planning my reread in print, because of the visual ASL component included in that format.) ...more",Notes are private!,0,61,1,not set,not set,"Aug 29, 2023",,Hardcover,view (with text),/book/show/58395049-true-biz
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,243","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Reviewed in the  August 2023 edition of Quick Lit on Modern Mrs Darcy:When I included this new release in the 2023 Summer Reading Guide, I closed my bReviewed in the  August 2023 edition of Quick Lit on Modern Mrs Darcy:When I included this new release in the 2023 Summer Reading Guide, I closed my blurb with the words ""I can't wait to read it again."" I have so much I need to read right now, for a variety of reasons. But the thing I most wanted in my reading life last week was to revisit Tom Lake, this time on audio, as narrated by Meryl Streep, and it was a very good decision. (Dare I say it was even better the second time, on audio?) This is the novel I didn't know I was longing to read, with its tender familial relationships, Michigan cherry orchard setting, and insider look at summer stock theater. When Lara is nearing sixty and the pandemic is just beginning, her three adult daughters return home for the summer. The girls have long romanticized their mother’s once-upon-a-time romance with a megastar actor, and now, all together again, the girls direct Lara to tell them the whole story from the beginning. She unspools her story slowly, over three long weeks harvesting cherries on the family property. I’m still not sure how I feel about the ending, but this story? Gorgeous, wistful, and tender, with every word falling in exactly the right place. Bravo....more",Notes are private!,0,149,1,not set,not set,"Aug 15, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
