,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Betsy's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ours,"Williams, Phillip B.*",059365482X,9780593654828,,592        pp,3.91,244,"Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/195095780-ours
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shred Sisters,"Lerner, Betsy",080216370X,9780802163707,080216370X,304        pp,3.82,33,unknown,"Oct 01, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"There should be a genre of books for stories about sisters where one is responsible and one is completely out-of-whack—due to mental illness, addictioThere should be a genre of books for stories about sisters where one is responsible and one is completely out-of-whack—due to mental illness, addiction, or whatever. The voice of Shred Sisters is one of the best in this genre. Easy to read, goes down smoothly.In a lot of this genre, everybody has enough money and housing, so the problems are first-world family dysfunction. Again, this is one of the best of these books.I was never bored and enjoyed it . . . even though I get bored hanging out with this kind of dysfunction in real life. And that’s saying something. I never wanted to abandon this book, despite my bias. Very, very well done....more",Notes are private!,2,6,1,"Apr 05, 2024","Apr 10, 2024","Mar 06, 2024",,Hardcover,view (with text),/book/show/208107364-shred-sisters
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Hidden Conversations: What Americans Really Think About Race and Identity,"Norris, Michele",198215439X,9781982154394,198215439X,528        pp,4.65,343,"Jan 16, 2024","Jan 16, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Our Hidden Conversations is an almost 3 lb., 9.5x7.75-inch, 471-page world of all of us. I didn’t believe I could finish it in the space of a library Our Hidden Conversations is an almost 3 lb., 9.5x7.75-inch, 471-page world of all of us. I didn’t believe I could finish it in the space of a library loan, so I posted an early , which I’m replacing with this one now that I have indeed slurped it down well before its due date.This is us. This is everybody—all races, genders, the whole mess.The book is packed with remarkable stories, history, analysis, and real-people quotes. (It’s the perfect follow-up to Isabel Wilkerson's The Warmth of Other Suns, which I just ed.)From a section by author Michele Norris:""I find it deeply ironic that there is such a fierce battle to evade and erase historical teachings about slavery because, in the time of enslavement, there was such an assiduous effort to document and catalog every aspect of that institution, much in the way people now itemize, assess, and insure their valuables. The height, weight, skin color, teeth, hair texture, work habits, and scars that might help identify anyone who dared to flee were documented. The menstrual cycles of enslaved women and their windows of fertility—because producing more enslaved people produced more wealth—were entered like debits and credits in enslavers' ledgers."" (178)Michele Norris’s commentary is wise, compassionate, objective, and elucidating, and the effect of all these stories—they came out of Norris’s The Race Card Project which invited people to send postcards with 6-word thoughts on race—is to showcase how much we all have in common. Everybody is pained by being judged and put in boxes they don’t identify with, asked ignorant questions, insulted by others’ lack of understanding that they are even being insulting. Everybody is in this book, and so that includes plenty of White people who tell their stories of difficulty and deprivation. There are first-person accounts of the struggles we have at other people’s assumptions, biases, and projections. Black, White, Native, Arab, Middle Eastern, Asian, mixed-race people and families, adoptees and adopters, gay people, people with disabilities, poor people, White men who are turned down because of being White men. Nobody is left out. And it seems that most of us believe that nobody but similar people with difficulties really understands what we face.But the more I read, the more it came clear that if you are abled and White and from a marginalized place (poor, don’t speak the language without an accent, gay, uneducated, from extreme dysfunction and/or deprivation), you still have an option to change your situation that non-White and disabled people do not have. You can get an education, change your accent, learn a language, get therapy, change your ethnic name, work four jobs, learn what you don’t know. I’m not saying this is easy or fair, but still you do not face what disabled people and people who are not White face just because of their appearance. Many of the people in this book, and many of us, seem to think hardship is a contest. This book puts that in perspective in a way that everybody will receive or not receive according to their openness.It is hard not to quote large sections of this book, but suffice it to say that Norris’s essay about lynching (pp. 382-384) is a work of monstrous art. That this practice was legal for so many years, that the pride and display associated with doing it were common should turn all of our stomachs. (Personally, it hits me the same as the Nazis’ proud mass extermination of Jews, complete with saving relics and records of the acts.) This, too, is us, and to quote the last line of the essay: “If you are unwilling to do this work [acknowledge, face, and discuss this truth]—and it is work—then leave the word [lynching—and I would add: any comparison or debate about equivalent suffering or proclamation of innocence, which is totally moot and has zero to do with what should be a communal disgust at what did happen] alone. (384)” [I apologize for that long interrupted quote, but I’m steaming and am not going to edit it out.]I have certainly heard many of the stories in this book from individuals, but there is something incomparably powerful about having them gathered here together, along with color plates and commentary from every kind of person. And what comes into the sharpest focus is the necessity to know everybody’s story, know true history, and thereby empathize rather than defend or compete to have had a worse or equivalent hardship. I think everybody could benefit from reading this book. I certainly did....more",Notes are private!,6,18,1,Mar 2024,"Mar 09, 2024","Mar 01, 2024",,Hardcover,view (with text),/book/show/191004852-our-hidden-conversations
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Friday Afternoon Club: A Family Memoir,"Dunne, Griffin",0593652827,9780593652824,0593652827,400        pp,4.28,18,unknown,"Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2024",,Hardcover,view,/book/show/203708995-the-friday-afternoon-club
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Elixir of Augusta Stern,"Loigman, Lynda Cohen*",1250278104,9781250278104,1250278104,320        pp,4.56,82,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/203579107-the-love-elixir-of-augusta-stern
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Writer's Garden: How Gardens Inspired our Best-loved Authors,"Bennett, Jackie",0711234949,9780711234949,0711234949,176        pp,4.15,152,"Nov 01, 2014","Nov 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Hardcover,view,/book/show/21416223-the-writer-s-garden
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Holding Things,"Kalman, Maira",0062846671,9780062846679,0062846671,176        pp,4.58,733,unknown,"Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book holds my soul. This book holds me . . . literally. I wrote the following on Facebook after the stunning discovery. And repeating it here seeThis book holds my soul. This book holds me . . . literally. I wrote the following on Facebook after the stunning discovery. And repeating it here seems to be the most efficient way to convey the magic, the love, and the profound beauty of Maira Kalman and her art and words:Thank you, my angel friend Gretchen Bach. I'm doing this publicly (although I've also done it privately) because I believe there is something in this for more people than just me.Gretchen gave me treasure: a copy of Maira Kalman's new book of paintings and text, Women Holding Things. It is so gorgeous that I have been paging through it as slowly as I can to make first seeing last longer. Yesterday I was stopped dead by this page. [image][image]I was looking at myself and Maya during her last 15 months of life. Just after I gave her her morning infusion, I would carry her to the park. I carried her in a hug against my breasts. My feelings of love and grief and agony were all equal. One morning right after I'd entered the park and was making my way up West Drive, two women came toward me. I had just curled around Maya in a quick kiss and I saw one woman react--BIG. ""Can I take your photo?"" she asked as we got nearer. Numb, I assented. I didn't pose or smile. I just stood there feeling what I felt. She snapped a photo, I nodded, wordless, and walked on.You cannot imagine how stunned I was to see this moment in Maira Kalman's book. There was not a doubt in my mind that she was the woman who snapped the photo. But still I emailed and sent a snapshot from better times. Here is her response:dear betsy.it was indeed you.i was struck by your grace and beauty.unconditional love and devotion in the most poignant and pure form.thank you for allowing me to photograph you.these moments are lessons on how to live life. gifts from the gods.all very best to you.mairaGretchen, you are intertwined in this gift in a way that takes my breath away. Thank you....more",Notes are private!,3,9,1,"Feb 15, 2024","Feb 20, 2024","Feb 15, 2024",,Hardcover,view (with text),/book/show/60194116-women-holding-things
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.01,"1,744","Jan 09, 2024","Jan 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m a writer who makes my living as an editor. I usually abandon books that throw me into “editor’s head” where I’m noticing things to edit and nobodyI’m a writer who makes my living as an editor. I usually abandon books that throw me into “editor’s head” where I’m noticing things to edit and nobody is paying me. Likewise, I usually abandon books where the writing is decent, but the voice, topic, or way of storytelling isn’t awful, but it’s just not my thing.Claire Oshetsky’s work hits my favorite head: “admiring, somewhat larcenous, writer’s head.” This is a place where I’m gulping down the story, while also admiring the writing or technique so much that another part of me is whispering, “There is something I want to steal here. What the hell is it? Oh well, it’ll come by osmosis, just keep reading!”Chouette, Oshetsky’s first magnificent novel, floored me and was so different from what I do that my thief voice wasn’t even there. Poor Deer brought out my larceny in spades because it is on my writer’s wavelength and the storytelling is so good, and in some way, so obvious yet subtle and complicated that it seems easy; I imagine anybody who writes would want to nab a little bit of it, but the method of construction is indescribable: it’s either completely organic and effortless or involved so much work and revision even the idea of doing it is exhausting. And because it works—switching voices, times, points of view, locales seemingly willy-nilly—there is no way to tell how Oshetsky worked it out.Simply put, Claire Oshetsky is a brilliant, inspired storyteller. I think it best to go into this book knowing as little as possible about it.The End....more",Notes are private!,12,35,1,"Mar 18, 2024","Mar 23, 2024","Feb 08, 2024",,Hardcover,view (with text),/book/show/127823311-poor-deer
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Familiaris,"Wroblewski, David",,9798212194297,B0CLF6YZYX,980        pp,4.50,2,unknown,"Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/200262412-familiaris
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Held,"Michaels, Anne",059353686X,9780593536865,059353686X,240        pp,3.82,680,unknown,"Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a novel about the nature of human and life’s history, told in fractured poetic sentences in a mosaic of time. I loved the writing and marveledThis is a novel about the nature of human and life’s history, told in fractured poetic sentences in a mosaic of time. I loved the writing and marveled that I could follow it . . . until I couldn’t. I completely lost the thread in chapter IX, lost it even further in chapter X, to the point where I stopped struggling to understand or page back to refresh my memory so I could make connections between people and times. So by the time the very last short chapters came, seeming written to connect the dots and give the point of the book about how history isn’t as we see it, I’d stopped caring.I can’t rate this book. I loved it for the longest time, and then didn’t....more",Notes are private!,1,12,1,"Feb 09, 2024","Feb 15, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/177185875-held
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Legacy: A Black Physician Reckons with Racism in Medicine,"MD, Uché Blackstock,*",0593491289,9780593491294,B0BP6LL8LW,304        pp,4.48,880,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Kindle Edition,view,/book/show/66087028-legacy
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fruit of the Dead,"Lyon, Rachel*",1668020858,9781668020852,1668020858,320        pp,3.68,714,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Hardcover,view,/book/show/176443312-fruit-of-the-dead
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Crimes: and Other Stories,"McCorkle, Jill",1616209739,9781616209735,1616209739,256        pp,3.69,201,"Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 11, 2024",not set,"Jan 12, 2024",,Hardcover,view,/book/show/145624825-old-crimes
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mrs. Dalloway,"Woolf, Virginia",0156628635,9780156628631,B000GWUZFM,296        pp,3.79,"306,428","May 14, 1925",1953,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Jan 12, 2024",,Paperback,view,/book/show/21568931-mrs-dalloway
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2023 on Goodreads,Various,,,,unknown,4.12,"1,420",2023,2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I've been delinquent reading my GR feed this year due to a lot of good activity (some of it will produce 2 new books in 2024), but when I do drop in, I've been delinquent reading my GR feed this year due to a lot of good activity (some of it will produce 2 new books in 2024), but when I do drop in, I'm soooo happy to see my GR friends' s. You have inspired me to check books I never would have thought about. I love being able to ask my fellow/sister Percival Everett fans a question. I love all access to your books, thoughts, and spirits.Without thinking too much, the books this year that have had the most impact on me are:Sun House by David James Duncan, who it turns out is a very generous fellow writer (more about that later this year)and The Society of Shame by Jane Roper, who I've also connected with personally; I love this book so much I gave a copy to one of my best friends for Christmas.Thank you all for your s. I cherish them even if I don't comment a lot....more",Notes are private!,10,25,1,not set,"Jan 04, 2024","Jan 04, 2024",,,view (with text),/book/show/62316199-2023-on-goodreads
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watershed,"Everett, Percival",0807016276,9780807016275,0807016276,208        pp,3.94,306,1996,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/173476092-watershed
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of Small Things,"Roy, Arundhati*",0679457313,9780679457312,B006E58GFG,321        pp,3.95,"297,965",Apr 1997,1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 31, 2023",,Paperback,view,/book/show/9777.The_God_of_Small_Things
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Healing Visions,"Brown, Randall*",,9780999252901,,124        pp,4.93,15,Feb 2023,"Mar 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a beautiful book of photography and 100-word essays, made all the more beautiful because it came as a surprise gift holding payment for my essay What a beautiful book of photography and 100-word essays, made all the more beautiful because it came as a surprise gift holding payment for my essay  To the Hero on the J Train that Crashed on the Williamsburg Bridge 28 Years Ago, sent by editor Randall Brown who also writes the introduction to this gift of healing visions: Imagine, stuffed into the coffin-like MRI tube, the walls pressing, the machine pounding, instead of deep primal fear, you have a vision: a dahlia appears like the bright points of stars. Instead of fear and panic, your mind builds to a finale of peace and healing, a display of light, torches alit, synapses firing over and over, each one a new flower, a gardenia, a poppy, an ethereal nigella. Instead of flight, your mind wants you to stay. Instead of turning on you, your mind envisions what might save you.This sumptuous hardcover book would be a great gift for anybody going through hard times . . . or anybody....more",Notes are private!,9,7,1,not set,"Dec 28, 2023","Dec 27, 2023",,Hardcover,view (with text),/book/show/96057276-healing-visions
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behave: The Biology of Humans at Our Best and Worst,"Sapolsky, Robert M.",1594205078,9781594205071,1594205078,790        pp,4.41,"23,218","May 02, 2017","May 02, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This nearly 800-page grad-school–level neuroscience book (676 pages if you don’t read all the back-of-book sections, although the basic course on neurThis nearly 800-page grad-school–level neuroscience book (676 pages if you don’t read all the back-of-book sections, although the basic course on neuroscience is a must) is for science geeks, grad school students or graduates, or people with a far greater understanding of science than I have. And yet I read every word of it. Screw the fact that I understood very little and retained even less of the specifics. I weirdly enjoyed this explanation of a science that basically is a never-ending quest with no definitive answers.Although the comprehensiveness of every section and topic was exhausting, there were so many times when information suddenly burst into light for me, compelling me to highlight it, stop reading, and try to digest it.The general message seems to be that everything is dependent on everything else—genetics, environment, experiences, etc.—context, context, context! And there is no simple consistent predictive power of genetics. The brain and human beings are incredibly malleable and adaptive. So my take-away is screw my lousy childhood and scrambled genetic mess. I’m so lucky to have such an active brain. And if I decide to change, I can. I have. And I will continue to. So for me this was an incredibly optimistic look at neuroscience and behavior.Second takeaway: Our brains work on automatic, so most people have no idea why they think what they think. They just believe their thoughts and judgments. And since most of the world will never slog through the neuroscience of thinking and behaving, we may be doomed. Our unconscious rules and it is a far more destructive machine with far worse potential than AI. On the other hand, Robert Sapolsky wrote a book that can change people. It can remind us of our potential, of the potential of individual people to change the world with an action. I’m grateful to him for writing this book and I’m grateful for anyone who reads it. It can only make us better to understand how out of rational control we are and how our ignorance of this keeps us arrogant and deluded.Caveat: The captive animal studies and torture we humans obliviously subject other species to in the name of learning made me queasy....more",Notes are private!,2,10,1,"Dec 19, 2023","Jan 30, 2024","Dec 19, 2023",,Hardcover,view (with text),/book/show/31170723-behave
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eastbound,"Kerangal, Maylis de",1953861512,9781953861511,B0B6B4WPSF,135        pp,3.98,"4,455",2012,"Feb 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Gorgeous writing with a simple plot where the drama escalates with the speed of the cross-Siberian train we’re riding on. This is perfect. My heart poGorgeous writing with a simple plot where the drama escalates with the speed of the cross-Siberian train we’re riding on. This is perfect. My heart pounded nearly out of my chest....more,Notes are private!,0,14,1,"Dec 19, 2023","Dec 20, 2023","Dec 18, 2023",,Kindle Edition,view (with text),/book/show/74827320-eastbound
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Horses        (Slough House, #1)","Herron, Mick",1569479011,9781569479018,,320        pp,3.99,"44,561","Jun 01, 2010","Jun 01, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,ebook,view,/book/show/7929891-slow-horses
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If I Loved You, I Would Tell You This","Black, Robin*",1400068576,9781400068579,1400068576,288        pp,3.76,"2,634","Mar 30, 2010","Mar 30, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a collection of elegantly written stories about people in relationships. I read them slowly, savoring them, but for the life of me I could notThis is a collection of elegantly written stories about people in relationships. I read them slowly, savoring them, but for the life of me I could not remember them after I’d finished. I went back through the Table of Contents ing each story’s ending after I finished, and sometimes the stories came back to me, and sometimes not. I’m sure this is my failing, because the writing is exquisite.There is one story with big laughs: “Some Women Eat Tar.” I remember that one because it was a relief from the relationship grief. Maybe I’m just not letting grief stick to me right now....more",Notes are private!,6,19,1,"Jan 31, 2024","Feb 09, 2024","Nov 30, 2023",,Hardcover,view (with text),/book/show/6942071-if-i-loved-you-i-would-tell-you-this
