,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Steven's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ducks: Two Years in the Oil Sands,"Beaton, Kate",1770462899,9781770462892,1770462899,430        pp,4.42,"26,379","Sep 13, 2022","Sep 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I rarely read graphic novels but I turned to this one because it won the Canada Reads contest this year. It’s a brilliant piece of work, capturing theI rarely read graphic novels but I turned to this one because it won the Canada Reads contest this year. It’s a brilliant piece of work, capturing the starkness of the Alberta oil sands and the harsh experience of the author’s work there to pay off her student loans.There’s considerable focus on the sexual abuse that women endure, but there is also a compassion for the men isolated far from their families in work camps, when they would have preferred to be able to find work in their eastern Canadian home areas. There is also a powerful recognition of the way indigenous communities have been damaged by oil extraction.All in all a superb and memorable achievement. It has pathos, beauty, insight and artistry all combined.....more",Notes are private!,0,0,1,not set,"May 20, 2023","May 25, 2023",,Hardcover,view (with text),/book/show/59069071-ducks
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ink Black Heart        (Cormoran Strike, #6)","Galbraith, Robert",0316473537,9780316473538,0316473537,"1,391        pp",4.12,"89,839","Aug 30, 2022","Sep 21, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I have read most of the Cormoran Strike/Robin Ellacott books and enjoyed them. But this book is far too long and full of internet dialogue that is verI have read most of the Cormoran Strike/Robin Ellacott books and enjoyed them. But this book is far too long and full of internet dialogue that is very difficult to understand and follow.Strike and Robin continue to be compelling characters but there are a lot of other characters in this book who are more obscure and difficult to follow. Overall the book is worth reading but quite tedious because of its length and complexity of characters. I think the next book in the series should be edited by a tough person who pares down the non essential detail!...more,Notes are private!,0,1,1,not set,"May 06, 2023","May 13, 2023",,Hardcover,view (with text),/book/show/60144955-the-ink-black-heart
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Burial of Ghosts,"Cleeves, Ann*",,,B005GUYX52,348        pp,3.68,"3,508","Mar 21, 2003","Aug 11, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This author has a strong record. Her books have been the basis for several popular British television series - Shetland and Vera. This is a standaloneThis author has a strong record. Her books have been the basis for several popular British television series - Shetland and Vera. This is a standalone book, unusual as the author says, for being written in the first person.Lizzie Bartholomew is an interesting character and she interacts with a number of other vivid characters. There are also some fine scenes of Morocco. But I found the plot quite confusing and the book lacked a clear sense of direction.A good novel but not as compelling as I expected....more",Notes are private!,0,0,1,not set,"Apr 18, 2023","Apr 18, 2023",,Kindle Edition,view (with text),/book/show/18930993-burial-of-ghosts
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chairlift,"Irving, John*",1501189271,9781501189272,1501189271,889        pp,3.44,"8,135","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a mammoth and powerful novel that covers many of the themes that John Irving has dealt with in his earlier excellent work.Adam is the son of sThis is a mammoth and powerful novel that covers many of the themes that John Irving has dealt with in his earlier excellent work.Adam is the son of ski instructor Liitle Ray, searching for clues about his father. This takes him ultimately to Colorado and a long-established hotel — which it turns out has ghosts. The novel follows Adam through much of his life, portraying vividly the characters with whom he interacts and his relationship with his mother and the snowshoer she eventually marries. Many of these characters are non-heterosexual which adds to the complexity of the book.Don’t be put off by the ghosts! Irving creates yet another excellent novel that will keep you intrigued and engaged....more",Notes are private!,0,0,1,not set,"Mar 15, 2023","Mar 25, 2023",,Hardcover,view (with text),/book/show/60320396-the-last-chairlift
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A World of Curiosities        (Chief Inspector Armand Gamache, #18)","Penny, Louise*",1250145295,9781250145291,1250145295,390        pp,4.47,"62,933","Nov 29, 2022","Nov 29, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is another fine mystery that kept me engaged and on edge. Darker than many of the Gamache novels, this book features a clever and vicious murdereThis is another fine mystery that kept me engaged and on edge. Darker than many of the Gamache novels, this book features a clever and vicious murderer who escapes from prison with revenge in mind against his enemies, especially Gamache.All this is wrapped around another bizarre mystery— why would someone brick off a room that contains a huge reproduction of a famous English painting?The result is one of Penny’s best books.The characters in the book are especially vivid, from the tattooed young police woman, Amelia, to Sam and Fiona who may have murdered their mother after years of abuse, to the villain trying to kill Gamache, John Fleming. Penny makes this story come alive in terrifying ways.She ties the book too to one of the most grisly events in Canadian history, the murder of 14 women engineering students in 1989 in Montreal. This adds to the dark and grim atmosphere of the book and its implications....more",Notes are private!,0,0,1,not set,"Feb 28, 2023","Mar 01, 2023",,Hardcover,view (with text),/book/show/60899502-a-world-of-curiosities
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Measure the Earth with Our Bodies,"Lama, Tsering Yangzom",1635576415,9781635576412,1635576415,368        pp,4.08,"2,729","May 17, 2022","May 17, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A fine book written with complex characters, a compelling plot, a touch of magic realism and the tragic history of Tibet pulling it all togetherThis iA fine book written with complex characters, a compelling plot, a touch of magic realism and the tragic history of Tibet pulling it all togetherThis is another of the excellent works on the short list for the 2022 Giller Prize. It is particularly powerful in describing the harsh realities that refugees face around the world and how families nevertheless can overcome these.The concluding chapters are especially superb. Hard to believe that this is the author’s first novel. I look forward eagerly to her future books....more",Notes are private!,0,1,1,not set,"Feb 21, 2023","Feb 23, 2023",,Hardcover,view (with text),/book/show/58532200-we-measure-the-earth-with-our-bodies
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sleeping Car Porter,"Mayr, Suzette",1552454584,9781552454589,1552454584,216        pp,3.47,"6,911","Sep 27, 2022","Sep 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This emotionally powerful novel won the 2022 Giller Prize for Canadian Literature. Written with a fine combination of intensity, grit and depth of chaThis emotionally powerful novel won the 2022 Giller Prize for Canadian Literature. Written with a fine combination of intensity, grit and depth of character, the book recounts the life and hard work of Baxter as a black sleeping car porter serving on Canadian railroads in 1929. Not only does the novel convey the harsh demands of such work with exhaustion over long days and nights but it also portrays the complex interactions of Baxter with passengers who often treat him badly and train conductors who disdain him. But this story is not just about exploitation. Baxter is gay and finds some sexual satisfaction at times in his job despite the dangers for queer people in those days. He also has ambitions, to study dentistry at McGill, that keep him going. His story will keep you engaged and inspired as his train crosses the country, encountering crises, seances and unexpected joys. A very fine book with many levels of insight....more",Notes are private!,0,1,1,not set,"Feb 09, 2023","Feb 10, 2023",,Paperback,view (with text),/book/show/61354631-the-sleeping-car-porter
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Boys from Biloxi,"Grisham, John*",0385548923,9780385548922,0385548923,464        pp,4.06,"79,440","Oct 18, 2022","Oct 18, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"At his best Grisham combines tense plots with well developed characters to create fine novels. This is definitely one of his good ones, set in the MisAt his best Grisham combines tense plots with well developed characters to create fine novels. This is definitely one of his good ones, set in the Mississippi that he knows so well.Two boys, Keith and Hugh, grow up as best friends, playing baseball together, then pull apart as their father’s roles diverge. One father is involved in crime in a set of unsavory nightclubs he runs, while the other is a politically active lawyer trying his best to clean up his community — eventually becoming a crusading District Attorney. Inevitably the two fathers collide with tragic results. This is a suspenseful legal thriller that will keep you engaged. Another excellent Grisham!...more",Notes are private!,0,0,2,not setnot set,"Feb 02, 2023not set","Feb 02, 2023",,Hardcover,view (with text),/book/show/61065355-the-boys-from-biloxi
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Cold, Cold Bones        (Temperance Brennan, #21)","Reichs, Kathy*",1982190027,9781982190026,1982190027,352        pp,4.04,"12,917","Jul 05, 2022","Jul 05, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have read a lot of the Tempe Brennan books and enjoy their combination of thriller, anthropology and romance. This book will keep you engaged but alI have read a lot of the Tempe Brennan books and enjoy their combination of thriller, anthropology and romance. This book will keep you engaged but also confused because it ranges back over Brennan’s many previous cases and doesn’t really explain why the villain in the book is attacking Brennan.  Nevertheless the suspense is high and there is a lot of action conflict so the novel does work quite powerfully. I missed the usual romance with Ryan who plays a minor role compared to other novels in the series. But overall this is still a winner....more",Notes are private!,0,0,1,not set,"Jan 20, 2023","Jan 24, 2023",,Hardcover,view (with text),/book/show/59366257-cold-cold-bones
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons,"McEwan, Ian*",0593535200,9780593535202,0593535200,448        pp,4.01,"23,377","Sep 13, 2022","Sep 13, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a penetrating and powerful story of Roland, a man who is seduced by his music teacher when he was 14 and never really recovered from the experThis is a penetrating and powerful story of Roland, a man who is seduced by his music teacher when he was 14 and never really recovered from the experience in his future relationships and his difficulties in finding a role in life. Yet this novel is full of thoughtful perspectives and interesting experiences despite this problematic past. Ian McEwan is a superb writer as his many previous books demonstrate and he brings Roland and his many women alive and vibrant - especially the young music teacher and his several wives. What results is a poignant life story of a man in his times, his relationship with Lawrence his son and the impact that a powerful sexual relationship can have on a person’s ongoing future. A fine novel with dramatic emotional elements!...more",Notes are private!,0,2,1,not set,"Dec 04, 2022","Dec 05, 2022",,Hardcover,view (with text),/book/show/60092581-lessons
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If an Egyptian Cannot Speak English,"Naga, Noor*",164445081X,9781644450819,164445081X,186        pp,3.91,"6,440","Apr 12, 2022","Apr 12, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is the first of the 2022 Giller Prize finalists that I have read and it has a powerful impact. Noor Naga captures the difference in perspective tThis is the first of the 2022 Giller Prize finalists that I have read and it has a powerful impact. Noor Naga captures the difference in perspective that two lovers come to have as their relationship develops and then disintegrates, given the contrast in their backgrounds and status. The woman is an American who has come to Egypt because that was where her parents were from while the man comes from a poor village distant from Cairo. The author contrasts their perspectives in a dramatic form with each of them answering a question in alternating segments The result is a thoughtful book on the powerful differences in life experiences with an unexpected and riveting conclusion. I look forward to future novels by this author....more",Notes are private!,0,1,2,not setnot set,"Nov 28, 2022not set","Dec 04, 2022",,Paperback,view (with text),/book/show/57693584-if-an-egyptian-cannot-speak-english
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Portrait of an Unknown Woman        (Gabriel Allon, #22)","Silva, Daniel",,,B09JPBWVMF,496        pp,4.25,"27,773","Jul 19, 2022","Jul 19, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is an unusual book. Israeli spy chief Gabriel Allon has retired to restore paintings in Venice with his family. But he soon is asked to solve theThis is an unusual book. Israeli spy chief Gabriel Allon has retired to restore paintings in Venice with his family. But he soon is asked to solve the problem of the growing spread of forgeries in the art world. So we get another suspense novel but centered around art. I didn’t find this worked as well as Silva spy thrillers but it’s an interesting book if you’re into art which I am. ...more,Notes are private!,0,0,2,"Nov 23, 2022Nov 03, 2022","Nov 23, 2022Nov 14, 2022","Nov 23, 2022",,Kindle Edition,view (with text),/book/show/59609728-portrait-of-an-unknown-woman
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter Garden,"Hannah, Kristin*",0312364121,9780312364120,0312364121,394        pp,4.26,"278,828","Feb 02, 2010","Feb 02, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kristan Hannah has written various fine novels that I have enjoyed. But this is definitely one of her best, full of drama and interesting characters wKristan Hannah has written various fine novels that I have enjoyed. But this is definitely one of her best, full of drama and interesting characters with a powerful and emotional plot. One of the book’s virtues is the way it captures vividly a wide series of settings, from African areas of disease and danger such as Sierra Leone during civil war to the siege of Leningrad to the cities of Alaska. The central figure is Anya, a complex woman with difficult relationships with her two daughters. And the heart of the book is about how those ties deepen and warm in the aftermath of her husband’s death. The three of them end up taking a cruise to Alaska that connects Anya dramatically to her Russian past. This novel will engage you and draw you into the lives of fascinating characters. It will also make you curious about visiting Alaska and seeing signs of its Russian past!...more",Notes are private!,0,0,1,not set,"Sep 04, 2022","Sep 13, 2022",,Hardcover,view (with text),/book/show/6668467-winter-garden
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take Your Breath Away,"Barclay, Linwood*",0063035138,9780063035133,0063035138,354        pp,4.04,"15,580","Feb 03, 2022","May 17, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a thriller that works well. It has excellent characters in an interesting plot that keeps you engaged. Barclay writes well and the mystery of This is a thriller that works well. It has excellent characters in an interesting plot that keeps you engaged. Barclay writes well and the mystery of what happened to Brie is powerful. All in all a good book with some surprises at the end ...more,Notes are private!,0,0,1,not set,"Aug 15, 2022","Aug 16, 2022",,Hardcover,view (with text),/book/show/58735545-take-your-breath-away
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sparring Partners        (Jake Brigance, #4)","Grisham, John*",0385549326,9780385549325,0385549326,320        pp,3.76,"45,141","May 31, 2022","May 31, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another winner from John Grisham, in a new format — three.novellas tied together by legal themes. Each has its appeal. Homecoming explores a fugitive Another winner from John Grisham, in a new format — three.novellas tied together by legal themes. Each has its appeal. Homecoming explores a fugitive trying to return from exile and how he gradually wins the trust of one of his daughters. Strawberry Moon traces the last hours of a prisoner about to be executed and how he finds some consolation. The final story is about two hostile brothers and how a long time female assistant takes advantage of their conflict..As usual Grisham brings his characters alive skillfully and develops taut plots. All in all a fine summer read!...more",Notes are private!,0,0,1,not set,"Aug 03, 2022","Aug 08, 2022",,Hardcover,view (with text),/book/show/60148895-sparring-partners
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Lost Our Heads,"O'Neill, Heather*",0593422902,9780593422908,0593422902,448        pp,3.98,"9,684","Feb 08, 2022","Feb 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a deep and powerful book that will keep you spellbound as you read it.The author creates a feminist saga based in the 1870’s in Montreal whereThis is a deep and powerful book that will keep you spellbound as you read it.The author creates a feminist saga based in the 1870’s in Montreal where two young women come together and transform their male dominated society. Marie is a strong willed daughter of a sugar factory owner who inherits the factory and builds an empire of other factories around it stretching into the U.S. while Sadie becomes a brilliant ribald writer whose books penetrate her society and transform the thinking of young women. This is a book that is about the love affair between the two but also about their impact on Montreal, tracing the huge inequalities between those in the Golden Mile and the many who scrape by in the Squalid Mile. It’s a fable in many ways about the working class rebellion that women lead to challenge such inequalities and the sexual dominance over women that men exercised. This is a vibrant vision of what could be, written with skill and passion. It’s a fascinating story with implications of class conflict and feminist revolution all tied together by an enduring love between two striking women....more",Notes are private!,0,0,4,not setnot setnot setnot set,"Jul 25, 2022Jul 25, 2022not setnot set","Jul 26, 2022",,Hardcover,view (with text),/book/show/58446244-when-we-lost-our-heads
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,French Braid,"Tyler, Anne*",059332109X,9780593321096,059332109X,244        pp,3.65,"48,687","Mar 22, 2022","Mar 22, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Anne Tyler is one of my favorite authors. And this novel is one of her best. It’s a heartfelt family saga stretching over three generations of the GarAnne Tyler is one of my favorite authors. And this novel is one of her best. It’s a heartfelt family saga stretching over three generations of the Garrett’s. Its highlights for me are the brilliantly etched one and only holiday Mercy and Robin take their children on in which daughter Lily gets involved with a neighboring boy and son David and his father have tensions that end up shaping the boy’s life. The other memorable strand is the gradually changing relationship between the two parents as Mercy follows her passion for painting. Some of the author’s previous books are amusing stories but this is a much more powerful and penetrating book that takes us deep into ongoing dynamics of this family with texture and skill. A very fine achievement that will keep you engaged, amused and emotionally touched....more",Notes are private!,0,0,1,not set,"Jul 05, 2022","Jul 22, 2022",,Hardcover,view (with text),/book/show/58065401-french-braid
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea of Tranquility,"Mandel, Emily St. John*",0593321448,9780593321447,0593321448,259        pp,4.08,"231,626","Apr 05, 2022","May 05, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have been deeply moved by this author’s previous books Station Eleven and The Glass Hotel. For me this book is just as fine. Combining time travel aI have been deeply moved by this author’s previous books Station Eleven and The Glass Hotel. For me this book is just as fine. Combining time travel and space colonization with a fascinating human story, Mandel creates an eerie plot that kept me highly engaged and ready for unexpected happenings. The characters and events in this novel are riveting and powerful, from the life of an itinerant musician to conflict on a book tour to a scientist studying time travel in a colony on the moon.What I found especially interesting are the echoes in the book of The Glass Hotel. So I would recommend readers enjoy that book first before this one. Mandel is an excellent writer and that also made this a pleasure to read....more",Notes are private!,0,0,1,not set,"Jun 15, 2022","Jul 03, 2022",,Hardcover,view (with text),/book/show/58446227-sea-of-tranquility
