,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Laura's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,William: An Englishman,"Hamilton, Cicely",0953478009,9780953478002,0953478009,226        pp,3.87,439,1919,"Mar 22, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2012",,Paperback,view,/book/show/1266963.William
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summer in the South,"Holton, Cathy*",0345506014,9780345506016,0345506014,340        pp,3.60,"2,434","Jan 01, 2011","May 24, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This breezy page-turner is tinged with a pleasingly mellow shade of Faulkner Lite – not too much eccentricity, not too much sins-of-the-fathers fataliThis breezy page-turner is tinged with a pleasingly mellow shade of Faulkner Lite – not too much eccentricity, not too much sins-of-the-fathers fatalism, and just enough Southern atmosphere to make you reach for a glass of lemonade and be thankful for modern pharmaceuticals. Here's the premise: a young Chicago woman gets an invitation from her college friend, Will, to spend the summer in his family’s ancestral home in Tennessee. She can relax on the porch, eat chicken salad with his great aunts, and maybe start writing the novel she’s been thinking about. Will’s family turns out to be the kind that has framed letters from Thomas Jefferson on the wall and Secrets Nobody Ever Talks About. For the bohemian-raised Ava, who doesn’t know her mother’s real name let alone her genealogy back to Adam, this is as much of a culture shock as dressing for dinner and hearing people’s life story at the gas station.Fortunately, the book isn’t full of the overly wacky “characters” that often plague Southern fiction. Well, there is a cousin who dresses up like Edgar Allan Poe, but he’s kind of funny. The great aunts are charming, the story moves along nicely, and the occasional flashbacks to 1927 or 1931 make for an intriguing element. This isn’t great literature, but it’s a great summer read. ...more",Notes are private!,0,0,1,not set,Aug 2011,"Aug 26, 2011",,Hardcover,view (with text),/book/show/9852484-summer-in-the-south
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trinity Six,"Cumming, Charles",0312675291,9780312675295,0312675291,354        pp,3.83,"5,425","Mar 15, 2011","Mar 15, 2011",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A university lecturer, hard up for cash, gets a tip that there may have been a SIXTH Cambridge spy whom the British government has kept under wraps foA university lecturer, hard up for cash, gets a tip that there may have been a SIXTH Cambridge spy whom the British government has kept under wraps for years. As he tries to piece together the story, his sources start turning up dead, which he eventually decides must mean that the leftover bigwigs of the KGB also want to keep the sixth spy under wraps. Unfortunately, the hero is not particularly likeable and comes across as naïve – especially considering his specialty is Cold War Russian history – which ruins what otherwise could have been quite a fun thriller. The premise is interesting, though....more",Notes are private!,0,0,1,not set,Jul 2011,"Aug 26, 2011",,Hardcover,view (with text),/book/show/9414851-the-trinity-six
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dracula,"Stoker, Bram",0393970124,9780393970128,0393970124,488        pp,4.01,"1,275,068","May 26, 1897","May 12, 1986",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"While nothing will help me understand the mania for vampires, at least this book was genuinely creepy...creepy enough that I had to make a classmate wWhile nothing will help me understand the mania for vampires, at least this book was genuinely creepy...creepy enough that I had to make a classmate who always parked nearby walk me to my car and check underneath it to make sure some man in a cape wasn’t clinging to the bottom waiting to grab my ankles or WORSE. The beginning is that scary. Portentous weather, foreboding landscape, cryptic warnings from the natives, freaky castle, freakier inhabitants....it all looks very grim for our hero, a hapless solicitor sent to Transylvania to help a client transition some of his affairs to England. The atmosphere of danger and doom make even the most implausible elements (wolves with glowing eyes! men crawling down castle walls!) completely chilling. For the first few chapters I was too creeped out to walk outside alone at night, hence the forced chivalry.Then, in what feels like a bait and switch but of course isn't, the narrative shifts and we’re back in England with the hero’s fiancée, Lucy, and her best friend. This should be where things get interesting, as Dracula – the ancient, foreign menace – is now coming to safe & familiar England to search for new victims, and we get to see his powers of seductive corruption in action. However, the story loses some of its zing, and all the doom and dread and “What could this mean?!” I was sucked into in Transylvania seemed faintly ridiculous in the London sections. Alas. On the plus side, I enjoyed Stoker’s commentary on understanding evil. The company of Englishmen in Dracula is too modern, too complacent with scientific understanding to figure out Lucy’s decline. Only Dr. Van Helsing knows to hearken back to legends, traditions and folklore in order to apprehend the threat. It’s an interesting approach, for Van Helsing does not pit science against faith, or pagan myths against Christianity; rather, he pits modern, rational science against the mythical and supernatural. Van Helsing is not a priest, and although he uses symbols of salvation (a crucifix and communion wafers), the battle he wages is more spiritual than religious, the conflict between good and evil more in the mystical rather than in the orthodox realm.Dracula is well suited to an age of rapid scientific and technological development, for it speaks to the limitations of man’s purely rational achievements. Plus, it packs a double whammy of gothic horror: Dracula does not merely exert physical control by kidnapping women or locking them in a tower – he also produces spiritual enslavement and damnation, which must be combated by similarly spiritual means. However, the corrupting influence of Dracula is neither immediate nor absolute; Dracula can outmaneuver our band of Englishmen but not defeat them; he’s tricky, not invincible. And, most importantly, he’s subject to the strength of goodness and to the ultimate power of death. *SPOILER ALERT* Significantly, Lucy’s soul is returned to a state of purity when she dies, and even Dracula himself seems released from the evil possessing him when he is defeated. For some reason, this facet has been jettisoned in contemporary vampire stories, in which the vampire main characters are attractive victims of circumstance who try to control their blood lust, against whom neither man nor death has any power, only fellow vampires. In this vision, vampirism is contained – though never defeated – not by religious symbols, but by individual will. Does this mean that there is no possibility of redemption from evil, only management of it? And vampires, with their strength of body or strength of will, are the ultimate power in the world? I find this more disturbing and ridiculous than the original vampire legends. There are about a million critical essays on the cultural/psychological/religious/sexual issues Dracula brings up, which are interesting, but for me those issues are secondary to the actual novel, which isn’t spectacularly written. Still, it’s worth reading....more",Notes are private!,0,3,1,not set,Nov 2010,"Aug 01, 2011",,Paperback,view (with text),/book/show/17245.Dracula
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death at the Alma Mater        (St. Just Mystery, #3)","Malliet, G.M.*",0738719676,9780738719672,0738719676,286        pp,3.63,"1,282","Jan 08, 2010","Jan 08, 2010",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another funny mystery, though not nearly as good as the previous two. This time the murder takes place at the fictional St. Michael’s College, CambridAnother funny mystery, though not nearly as good as the previous two. This time the murder takes place at the fictional St. Michael’s College, Cambridge, where the cash-strapped college is hosting a special weekend for rich alumni. Unfortunately, this time the author often goes for easy jokes, the solution is improbable, and — worst of all — there’s an appallingly written American character who occasionally throws cowboy expressions from TV Westerns into snarky, complexly British-sounding sentences. It's as though the author couldn't make the effort to change her voice but every now and then remembered to sound ""Texan,"" which is weird because she's smart and has lived in both England and the US, so why the gross unevenness? I was also a bit irritated because I kept referring to the map of the college at the front of the book to keep track of who was where, and it didn’t matter, so I felt taken in. Or maybe it did matter but I couldn’t figure out how. Not bad, but not great. Certainly not disappointing enough to give up on this series....more",Notes are private!,0,3,1,not set,May 2011,"Jul 26, 2011",,Paperback,view (with text),/book/show/6798553-death-at-the-alma-mater
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Benito Cereno,"Melville, Herman",031245242X,9780312452421,031245242X,160        pp,3.54,"8,903",1855,"Dec 19, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Massachusetts whaling ship is anchored off the island of Santa Maria when another ship, looking listless and forlorn, drifts toward the island. WhenA Massachusetts whaling ship is anchored off the island of Santa Maria when another ship, looking listless and forlorn, drifts toward the island. When the captain and a few men head over to investigate, they find Spanish sailors and black slaves desperate for water and supplies. The captain of this hapless lot, Benito Cereno, seems weak, aloof, and entirely unqualified to command a ship. What’s the deal? Don’t read the back of the book or descriptions of the plot, as knowing anything about the ending will ruin the story. This brief thriller concerns adventure on the high seas, but really it’s Melville’s way of saying that the New World is heading over the same precipice as the Old World. Short, suspenseful, and lots of bang for your buck. I'm not a Melville fan, but this little gem is a masterpiece of narrative manipulation. Haunting....more",Notes are private!,0,5,1,not set,Feb 2011,"Jul 25, 2011",,Paperback,view (with text),/book/show/178629.Benito_Cereno
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Happiness Project,"Rubin, Gretchen*",0061583251,9780061583254,0061583251,301        pp,3.65,"172,426",2009,"Dec 29, 2009",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I don’t know which is stranger – that people like this book, or that it was written in the first place. It came into being because Gretchen Rubin, a wI don’t know which is stranger – that people like this book, or that it was written in the first place. It came into being because Gretchen Rubin, a woman with a bizarrely charmed life, decided to spend a year devoting each month to a “theme” designed to make herself happier and then write a book about it. The whole thing smacks not only of a calculated stunt, but also of the sort of “list” approach she used for her breathtakingly trite book on Churchill. Regardless, any reasonable person would wonder why this woman was worrying about how to be “happier” than she already was with her “soul mate” husband, two healthy children, a family she likes, in-laws* she likes, plenty of free time, and money coming out the wazoo. The obvious question is: “If she wants to be happier, why doesn’t she do more service?” The question you’ll also probably ask, repeatedly, is “What could a smug perfectionist with an easy life possibly teach me?” Honestly, I have no idea, unless it hasn’t already occurred to you to.....are you sitting down?.....stash your crap in file boxes instead of leaving it strewn all over, and stop nagging your husband. Other previously unmined gems of insight: “You can’t change others,” “Exercise makes you feel better,” “Be friendly,” “Do things you like to do,” “Be grateful,” and, my personal favorite, “Money can buy happiness.” Even better, every ten sentences or so she inserts – not to be confused with “works in” – a quotation that sounds like the first entry in its category from The Big Book of Quotations. Based on the self-congratulatory tone she doesn’t quite have the skill to avoid, I’d guess she’s deeply invested in showing she is Educated, and has Done Research. I think you’re also supposed to surmise she’s really smart, based on the number of references to editing the Yale Law Review or clerking for a Supreme Court Justice. What she never mentions, yet you can also surmise, is the fact that money is no object. Neither is time. While being rich and leisured doesn’t disqualify her from having wisdom, it does place her situation in context. She’s not struggling to find happiness amidst real trials – illness, poverty, loneliness, relatives who drive you bonkers – she just wants to be “happier.” What’s amazing is that with all her research, she doesn’t come up with anything profound. At best, her paper-thin “insights” are merely summaries of other people’s research. And yet, inexplicably, a couple of women in my book group actually liked it! These women don’t sit around wondering if they’re happy enough – they probably wonder if they’re faithful enough and doing enough good in the world. So what did they find valuable?? A couple of them said that the organization chapter prompted them to clean out closets, which is always good, but there are at least a hundred books on de-cluttering that were written by people who were already aware of file boxes. (I know this because my sister has bought all those books and occasionally gives them away as presents, unless you’re really lucky and she just throws your stuff out without being asked.) So the organization chapter struck me as a bit silly. But not as silly as turning to Nietzsche for tips on happiness. And I think that indicates the biggest flaw – her approach is entirely secular. Joy and fulfillment (a bit deeper and more lasting than “happiness”) come through doing good and, eventually, becoming good. Every now and then she stumbles as if by accident upon versions of the Golden Rule Lite, but, naturally, in her eyes the point of being nice to others is to make herself happier. *Father-in-law is Robert Rubin, Clinton’s Assistant to the President for Economic Policy. He later served on Citigroup’s board as Senior Counselor. During his eight years at Citigroup, shareholders suffered losses of more than 70%; Rubin earned over $126 million....more",Notes are private!,1,1318,1,not set,Mar 2011,"Jul 05, 2011",,Hardcover,view (with text),/book/show/6398634-the-happiness-project
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Death and the Lit Chick        (St. Just Mystery, #2)","Malliet, G.M.*",0738712477,9780738712475,0738712477,307        pp,3.54,"1,863","Jan 01, 2009",2009,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Huh-larious. From the woman who brought us Death and the Cozy Writer comes a new installment of murder among spectacularly absurd people. This time thHuh-larious. From the woman who brought us Death and the Cozy Writer comes a new installment of murder among spectacularly absurd people. This time they’re an assortment of mystery writers at a conference at some Scottish castle. Most of them have a motive for killing the star of the conference, a hack arriviste whose books are obviously inferior and yet, inexplicably, sell better. (The cow probably didn’t even write them herself!) To add insult to injury, she is also a blond knockout who’s about to make off with someone’s husband, or maybe she already did – I can’t remember many details, including who the murderer was, because the mystery is secondary to the amusement. I think the solution somehow hinges on the castle’s floor plan, so pay attention to the map in the front. I always skip that sort of thing because I have no sense of spacial relations. Perfect for wiling away a couple of hours....more",Notes are private!,0,6,1,not set,Feb 2011,"Jul 01, 2011",,Paperback,view (with text),/book/show/4646655-death-and-the-lit-chick
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Die Alone: A WWII Epic of Escape and Endurance,"Howarth, David",,,B001T4YVNI,232        pp,4.07,"9,826","Nov 18, 1954",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"If this weren’t a true story, no one would buy it as fiction. The book opens in the spring of 1943, as Norway is suffering under Nazi occupation. FourIf this weren’t a true story, no one would buy it as fiction. The book opens in the spring of 1943, as Norway is suffering under Nazi occupation. Four ex-pat Norwegian commandos are heading to the coast with the intent of recruiting and training saboteurs – their ultimate goal is a German airbase, as the Allies desperately need a sea route to Russia. The mission is compromised, and young Jan Baalsrud is left on a tiny, snowy island in the Arctic Circle, drenched, shot, bleeding, unarmed, with only one shoe and a team of Nazis a couple hundred yards behind. How could anyone survive? The cold alone is enough to kill most of us off, not to mention the fright. What follows – frostbite, snow blindness, avalanches, treachery, heroism, starvation, and, always, miles and miles of Arctic snow – kept my mouth hanging open most of time. You couldn’t make this stuff up. Almost as astonishing as Jan’s story is the will of the people who help him, the danger they faced knowing what would happen to their families if they were found out. I have to admit I never think of Norway unless I’m watching the winter Olympics, and certainly I never think of it in the context of World War II, yet the Norwegians’ love of their country in all its frozen, inhospitable glory, and their will to fight the occupation are truly inspiring. Howarth’s prose is a bit bland, but perhaps that was intentional, as the story is breathtaking enough....more",Notes are private!,0,5,1,not set,Mar 2011,"Jun 30, 2011",,Kindle Edition,view (with text),/book/show/6563060-we-die-alone
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Contingency, Irony, and Solidarity","Rorty, Richard",0521367816,9780521367813,0521367816,220        pp,4.13,"2,141","Feb 24, 1989","May 01, 1989",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The arrogant musings of a left-wing social philosopher who essentially divides people into three categories: dumb bunnies, common-sensers, and people The arrogant musings of a left-wing social philosopher who essentially divides people into three categories: dumb bunnies, common-sensers, and people who have the deep insight to agree with him. The only take-home message worth taking home was that philosophy is not as effective a vehicle for ideas as literature, which I knew beforehand. ...more",Notes are private!,0,5,1,not set,May 2010,"Jun 28, 2011",,Paperback,view (with text),/book/show/86098.Contingency_Irony_and_Solidarity
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Comfort Me with Apples: More Adventures at the Table,"Reichl, Ruth",,,B000FC1HFK,320        pp,4.05,"21,341","Jun 12, 2001",unknown,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ruth Reichl, food critic and former editor of Gourmet magazine, is a fluid and engaging writer. Her stories about the early days of California CuisineRuth Reichl, food critic and former editor of Gourmet magazine, is a fluid and engaging writer. Her stories about the early days of California Cuisine were interesting, as were the anecdotes involving people like Wolfgang Puck, Alice Waters, and the Aidells sausage guy before they became household names. But too much of the book is about her personal life, which at this phase involved living in a commune in Berkeley and pursuing several extra-marital affairs. Even if all her descriptions of meals had been for food I actually like, visions of unwashed, unshaven, unmarried people in flagrante would have killed my appetite. For me, the problem with these memoirs, as with some of her recipes, is content, not style....more",Notes are private!,0,14,1,not set,Feb 2011,"Jun 21, 2011",,Kindle Edition,view (with text),/book/show/6564158-comfort-me-with-apples
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ruined,"Nottage, Lynn",155936355X,9781559363556,155936355X,102        pp,4.19,"3,808","Sep 01, 2009",Aug 2009,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This play is far more powerful in production than on the page, yet reading it still gives a searing glimpse into the difficulties Congolese women are This play is far more powerful in production than on the page, yet reading it still gives a searing glimpse into the difficulties Congolese women are facing in their country’s civil war, a convoluted, vicious conflict in which rape is systematically – and pervasively – used as a weapon. Drawing on her extensive interviews with victims/survivors, Lynn Nottage presents a tale of such suffering that it seems like a warped horror story from another time period or, we could wish, another planet. Yet it’s a frighteningly immediate story – variations of the drama are being enacted in real life every day. Also, the mineral at the center of the war, coltan, is fought over partly because it’s an essential component of cell phones. In an oddly disconcerting way, every one of us has a piece of the Democratic Republic of the Congo sitting on our desk or in our purse. I’m not prone to displaced guilt, but you have to admit it gives one pause.The play takes place in a bar/brothel at the edge of a war zone and presents widely disparate characters – insurgents, government soldiers, prostitutes, international traders, and villagers. But at the center is Mama Nadi, the commanding owner and madam. One day she might be serving the insurgents, the next she might be entertaining the government soldiers, but her establishment is a neutral zone and everyone checks his bullets at the door. Mama’s forceful personality and equivocal ethics encapsulate the muddy, moral mess of war as well as the resilience of human nature. You know a world in which a brothel is a retreat, and working in a brothel a girl’s best hope, is not going to be a pretty one. But however horrific and alien the circumstances, the characters in the play grab you with their humanity, and they force you to relate to that shared humanity by witnessing assaults against it and, at times, triumphs of it. I saw Ruined performed in the round, which means you could see through the actors and on-stage drama to rows of other theatre goers. This had the benefit of almost superimposing the action onto the audience; I simultaneously watched the actions of people halfway around the world and the reactions of people like me. The odd unity of actors and audience was suitable for a play full of alien and shared experience. Casual references to witch doctors and spats over nail polish occur in the same scene; the foreign and familiar are not mutually exclusive, and neither are unspeakable abuse and the possibility of healing. At the end of the play half the audience was smiling and breathing an audible “Ahhh” while the other half didn’t even applaud because they were still wiping their eyes…the combination of brutality and humanity is quite unsettling. However, I’d definitely wait to see it performed rather than read it – while it’s powerful, it’s no Streetcar. ...more",Notes are private!,0,10,1,not set,Oct 2010,"Jun 10, 2011",,Paperback,view (with text),/book/show/6411892-ruined
