,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Mollie's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions for You,"Makkai, Rebecca*",0593490142,9780593490143,0593490142,438        pp,3.62,"101,918","Feb 21, 2023","Feb 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Entertaining unsolved mystery story about a high school student’s murder, told through the eyes of her roommate at the time who is now a Serial-like cEntertaining unsolved mystery story about a high school student’s murder, told through the eyes of her roommate at the time who is now a Serial-like crime podcaster. As good as the premise promises! Loved the slow unfolding of clues and unpacking of relationship dynamics. And the focus on women’s safety issues and how various forms of violence against women is portrayed on social platforms and in the media gave it more depth than your typical murder mystery. Really nicely done and worth reading. (Although one tiny qualm— with so much interest in the story from the internet, it was a little unbelievable the way some clues were unrevealing or revealing as the case may be.)...more",Notes are private!,0,1,1,not set,"Feb 16, 2024","Feb 24, 2024",,Hardcover,view (with text),/book/show/61053829-i-have-some-questions-for-you
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Southern Book Club's Guide to Slaying Vampires,"Hendrix, Grady*",,,,410        pp,3.80,"217,323","Apr 07, 2020","Apr 07, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Weirdly entertaining for a lot of it—chick-lit-like, but do not recommend. I read this one for weird reasons so I’m glad I did—a memorable recommendatWeirdly entertaining for a lot of it—chick-lit-like, but do not recommend. I read this one for weird reasons so I’m glad I did—a memorable recommendation from a fun trip I was on. I liked it despite the vampire parts? Don’t tell me I should have known. I mean, the title. I DID know! I agree, much of this rating is my fault for going in hoping for less vampires and more book club dynamics. And the parts that were about the friendships delivered! It just lost me at the REALLY VIOLENT vampire parts, like disturbingly violent. I think it could have stayed lighthearted and still had a vampire. Instead it was gross and rape-y and underage-y and just wrong with no nuance or wondering what was happening. Too much. Take that down like 1 million notches and it’s as fun as the title suggests. ...more",Notes are private!,0,0,1,not set,"Feb 12, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/44074800-the-southern-book-club-s-guide-to-slaying-vampires
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Now Is Not the Time to Panic,"Wilson, Kevin*",0062913506,9780062913500,0062913506,246        pp,3.69,"52,067","Nov 15, 2022","Nov 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excellent coming of age story. I enjoyed the exploration of art and what qualifies as art and what makes it matter, and the reaching impact of it. I fExcellent coming of age story. I enjoyed the exploration of art and what qualifies as art and what makes it matter, and the reaching impact of it. I felt like Zeke was underdeveloped so his reveal at the end felt abrupt. I also got kind of annoyed at all the repeating of the phrase. But overall good read worth taking the short time it will take to go through. ...more",Notes are private!,0,3,1,not set,"Jan 18, 2024","Jan 18, 2024",,Hardcover,view (with text),/book/show/60415700-now-is-not-the-time-to-panic
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The River We Remember,"Krueger, William Kent*",198217921X,9781982179212,198217921X,421        pp,4.32,"46,482","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Sleepy town murder mystery! So well written with more depth than it implies. Interesting dynamic because of racism (that feels a lit**spoiler alert** Sleepy town murder mystery! So well written with more depth than it implies. Interesting dynamic because of racism (that feels a little contrived and basic since the Native American and Asian characters aren’t super well developed, but still adds an interesting effect). Liked the main character and his complicated relationship with his sister in law, although this isn’t resolved by the end. Would love to see the final resolution of this. Also very unnecessary rape at the end—could have had the same story with a threat of violence or physical violence without going there. Also had suspicion about the author changing the lawyer from a male to a female because of an editor’s recommendation at some point. I’m guessing there were a lot of white male heroes and they made a strategic decision in editing to change the character’s gender. But still, a page turner that kept my interest and wondering about the main story til the end. ...more",Notes are private!,0,2,1,not set,"Dec 25, 2023","Dec 31, 2023",,Hardcover,view (with text),/book/show/101160844-the-river-we-remember
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finding Me,"Davis, Viola",0063037327,9780063037328,0063037327,304        pp,4.56,"116,095","Apr 26, 2022","Apr 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So gorgeous!! Viola Davis is so real and vulnerable in this. It’s not just a celebrity memoir but an important story about what it is like to grow up So gorgeous!! Viola Davis is so real and vulnerable in this. It’s not just a celebrity memoir but an important story about what it is like to grow up facing the double whammy of poverty and racism. Hers is a voice we don’t get to hear from often, so this story is eye opening, poignant, and beautifully told. Loved the way she brought her family and especially her mother to life. Was amazed by her visceral descriptions of what her childhood felt like. And then loved how she used her raw talent to drag herself up and out of that life, but didn’t abandon the people in it who she still loved and cared about. Such a great listen. ...more",Notes are private!,0,3,1,not set,"Dec 19, 2023","Dec 19, 2023",,Hardcover,view (with text),/book/show/58687126-finding-me
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,244","Apr 04, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty fascinating story about a Native American family in Maine over the course of the children’s lives—when one daughter disappears. The story is toPretty fascinating story about a Native American family in Maine over the course of the children’s lives—when one daughter disappears. The story is told from the perspective of a brother and the daughter, following them and examining the fallout. Nice contemplative pace, with a lot of thoughts on the confusion of being a child in a grownups’ world. Loved the anticipation of everyone understanding what had happened! Not an exciting read but definitely an interesting one....more",Notes are private!,0,1,1,not set,"Dec 23, 2023","Dec 18, 2023",,Hardcover,view (with text),/book/show/123036004-the-berry-pickers
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Less        (Arthur Less, #1)","Greer, Andrew Sean",,,B01MSICPW3,273        pp,3.64,"203,366","Jul 18, 2017","Jul 18, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Loved following around Less as he is on his world hopping tour and going through an identity crisis. Super fascinating to see him reckon with his pastLoved following around Less as he is on his world hopping tour and going through an identity crisis. Super fascinating to see him reckon with his past and face where he’s landed. Easy read with a lot of depth—funny and real. Very off my radar for a book that won the Pulitzer!...more,Notes are private!,0,2,1,not set,"Oct 11, 2023","Dec 18, 2023",,Kindle Edition,view (with text),/book/show/39927096-less
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trespasses,"Kennedy, Louise",0593540891,9780593540893,0593540891,304        pp,4.02,"33,134","Apr 14, 2022","Nov 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Read this too long ago to remember it, which isn’t a good sign. It was Irish. There were Troubles.",Notes are private!,0,0,1,not set,"Sep 13, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/60417483-trespasses
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Instructions for a Heatwave,"O'Farrell, Maggie*",0755358783,9780755358786,0755358783,352        pp,3.74,"25,926","Feb 28, 2013","Feb 28, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked this but also found it very very slow—kind of like how life feels during a heatwave. I wondered where the dad was but didn’t really care, and I liked this but also found it very very slow—kind of like how life feels during a heatwave. I wondered where the dad was but didn’t really care, and then I found the end anticlimactic. The daughter with dyslexia was fascinating, and loved hearing about her family’s denial and how she coped. The brother’s drama was kind of boring. The older sister forgettable. I think I might have enjoyed it way better with a big chunk of time to read instead of bits here and there. ...more",Notes are private!,0,0,2,not setnot set,"Nov 08, 2023not set","Dec 15, 2023",,Hardcover,view (with text),/book/show/16077150-instructions-for-a-heatwave
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm Glad My Mom Died,"McCurdy, Jennette",,,,320        pp,4.47,"965,859","Aug 09, 2022","Aug 09, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Was scared to read this because my daughter is in professional acting and didn’t want to see myself reflected baldly! Turns out her mom had major mentWas scared to read this because my daughter is in professional acting and didn’t want to see myself reflected baldly! Turns out her mom had major mental health issues and she was fully reluctant to act but did it all to please her mom. So, different situation but I still did relate in some ways and loved hearing from the kid who survived all the antics of the industry! Super insightful into the various feelings that go along with being the kid with the talent. Loved how open she was—such a beautiful young woman who went though some hard things as to the public she seemingly had an adventure. I honestly just hope she’s happy now and can find the life she wants, and I’m grateful she shared to give us dumb moms a roadmap....more",Notes are private!,0,0,1,not set,Nov 2023,"Dec 15, 2023",,ebook,view (with text),/book/show/59364173-i-m-glad-my-mom-died
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,540","Aug 23, 2022","Aug 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really really long haul so hard to recommend, but I stuck with it because it was semi magical and I was up for the challenge. Enjoyed the tower and thReally really long haul so hard to recommend, but I stuck with it because it was semi magical and I was up for the challenge. Enjoyed the tower and the intrigue of the secret society and the abuse of power, with an epic battle at the end. Worthwhile if you like words and elements of magic and don’t mind kind of a slog. ...more",Notes are private!,0,0,1,not set,"Jun 15, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/57945316-babel
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,127","Aug 29, 2023","Aug 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved this book as it was a page turner, a very different story, and a family drama with great characters. It made me consider happiness and levels ofLoved this book as it was a page turner, a very different story, and a family drama with great characters. It made me consider happiness and levels of happiness verses contentment vs joy. The experiment was intriguing and disturbing and loving and wrong. Loved the way it unfolded as the various characters discovered what had happened. Semi unsatisfying at the end since the suspense and drama kind of fizzled, but overall excellent read. ...more",Notes are private!,0,0,1,not set,"Sep 13, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/75495002-happiness-falls
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Devil to Die        (Thursday Murder Club, #4)","Osman, Richard",0241512441,9780241512449,0241512441,422        pp,4.51,"108,269","Sep 14, 2023","Sep 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another great visit with my favorite retirement village club. Loved the storyline here, about a possible drug deal gone wrong. The new characters wereAnother great visit with my favorite retirement village club. Loved the storyline here, about a possible drug deal gone wrong. The new characters were well drawn with the typical right balance of darkness and levity. So glad the past characters are looped back in (of course Bogdan but also the imprisoned drug dealer). And I wept through a great deal of the end because grief is described so well. An excellent book—I’m afraid it’s the end but I never want these to end. Joyce for life. ...more",Notes are private!,0,2,1,not set,"Nov 20, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/62226126-the-last-devil-to-die
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,825","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Meryl Streep, please read me Ann Patchett books for the rest of my life. This book has it all—a nostalgic look at a past relationship with a famous acMeryl Streep, please read me Ann Patchett books for the rest of my life. This book has it all—a nostalgic look at a past relationship with a famous actor, daughters who ask the right questions to get all the juicy details, and a protagonist who gives master class in contentment. It all feels as exciting, adventurous, and warm as you might imagine a long ago summer spent at summer rep theater would feel....more",Notes are private!,0,5,1,not set,"Nov 15, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,449","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Listened to this twice and got more out of it each time. The story takes you to an Irish town in the 70s as seen through the eyes of a coal distributoListened to this twice and got more out of it each time. The story takes you to an Irish town in the 70s as seen through the eyes of a coal distributor and father. It features sweet family moments celebrating Christmas in this warm town, and a darker secret lurking beneath that has him questioning his role sitting back or standing up in the face of condoned injustice. He lives and breathes on the page with all of the complexities of his worries, thoughts and choices. A great read for book clubs who like it take it easy in December with the amount of time spent reading, but who still want some depth. ...more",Notes are private!,0,1,1,not set,"Dec 04, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"80,873",Feb 2010,"Feb 10, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful short story that is a one hour listen. Somehow in this time you fall in love with the girl and root for her as she goes through the emotionaBeautiful short story that is a one hour listen. Somehow in this time you fall in love with the girl and root for her as she goes through the emotional plight of loneliness, abandonment, and finding out what a whole good family and love is. Also bonus Irish accent....more",Notes are private!,0,1,1,not set,"Dec 04, 2023","Dec 15, 2023",,Paperback,view (with text),/book/show/8143909-foster
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stand,"King, Stephen*",,,B008K1Z9S4,unknown,4.35,"760,571",1990,"Oct 07, 2021",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I love this book in high school! Now I grew up and decided to give it the hold up test. The book is the same but I am different. :) Very cheesy, too mI love this book in high school! Now I grew up and decided to give it the hold up test. The book is the same but I am different. :) Very cheesy, too many words, and worst of all and the reason I had to abandon ship halfway through this time—it’s so racist. The skin of every non-white person is mentioned, and the only time a white person’s is mentioned it is described as olive. I thought, there you go, finally balancing out the need for a description. Then the olive skinned person started talking and had the thickest Italian accent. It’s like King lives in a world where white is a given and everyone else needs to be called out for not being normal. He uses and overuses the N word to get a point across about racist treatment. He describes the Asian person’s eyes every time he makes an appearance. It was truly ick and maddening. This was what made me stop. But I would have stopped anyway because it was predictable, good marching toward evil, and meant to be exciting but because of everything being so extreme was just boring. I think we need a redo of all the ratings for this book so far. It is from its time, and we can fault it for that as we reckon with the realities of systemic racism. ...more",Notes are private!,0,0,1,not set,Dec 2023,"Dec 15, 2023",,Audiobook,view (with text),/book/show/87591651-the-stand
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spectacular,"Davis, Fiona*",0593184041,9780593184042,0593184041,368        pp,4.11,"26,841","Jun 13, 2023","Jun 13, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** Would have been WAY better if she just focused on and created drama about the Rockettes. Here, I’ll save you 12 hours. Girl audition**spoiler alert** Would have been WAY better if she just focused on and created drama about the Rockettes. Here, I’ll save you 12 hours. Girl auditions for Rockettes in the 50s, some interesting yet predictable depictions of the audition with no surprise, she makes it Blah blah blah a Pipe bomber targets manhattan and Rockettes story is mostly abandoned blah blah blah the girl does a dancer’s leap off the stage and catches a pipe bomb mid air gag gag gag and without the help of the useless police officers catches the guy. Characters in this book are cardboard cutouts who wander around newspaper articles from the time. Their motivations change rapidly. They say everything they think out loud. (If it’s cold, they say, It is cold.) They say random things that do nothing to develop their character or the story. (It often goes something like: When the main character becomes a director of musicals she says, “Musical theater vocal warmups in the morning are annoying.” And then she goes on with trying to decide how to find the pipe bomber.) I feel like Fiona Davis picks excellent historical moments but doesn’t deliver on the fiction portion. I’m shocked that she interviewed tons of Rockettes and did not get enough dirt and scandal about working as a dancer in the 50s to create an excellent story focused just on them. She should skip fiction and stick with nonfiction history and I’d probably love it....more",Notes are private!,0,3,1,not set,"Nov 02, 2023","Nov 02, 2023",,Hardcover,view (with text),/book/show/62588481-the-spectacular
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,None of This Is True,"Jewell, Lisa*",1982179007,9781982179007,1982179007,380        pp,4.15,"426,348","Jul 20, 2023","Aug 08, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Nov 09, 2023","Oct 29, 2023",,Hardcover,view,/book/show/62334530-none-of-this-is-true
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebecca,"du Maurier, Daphne",0316323705,9780316323703,,449        pp,4.24,"628,930",Aug 1938,"Dec 17, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Had a super fun time reading this and discussing it with my book club. I recently attempted another classic and got bored to tears! This one holds up Had a super fun time reading this and discussing it with my book club. I recently attempted another classic and got bored to tears! This one holds up so well—it’s fun to imagine it written in its time and what a shock it must have been to people. Loved House Manderly and want to go there Halloween week and wander the halls—trying not to run into creepy Mrs Danvers! It is more of a character story/murder thriller than a haunting story. Although even without actual ghosts it was totally haunted in spirit and memory! A great October read. ...more,Notes are private!,0,3,1,not set,"Oct 27, 2023","Oct 29, 2023",,ebook,view (with text),/book/show/17899948-rebecca
