,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kevidently's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Word is Murder        (Hawthorne & Horowitz, #1)","Horowitz, Anthony*",0062676784,9780062676788,0062676784,400        pp,3.93,"74,619","Aug 24, 2017","Jun 05, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 14, 2024","Jan 20, 2024","Jan 20, 2024",,Hardcover,view,/book/show/36204075-the-word-is-murder
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tetris: The Games People Play,"Brown, Brian ""Box""",162672315X,9781626723153,162672315X,253        pp,3.79,"3,255","Oct 11, 2016","Oct 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Paperback,view,/book/show/27414415-tetris
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The He-Man Effect: How American Toymakers Sold You Your Childhood,"Brown, Brian ""Box""",1250261406,9781250261403,1250261406,272        pp,4.06,638,"Jul 11, 2023","Jul 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024","Jan 15, 2024","Jan 15, 2024",,Hardcover,view,/book/show/61484888-the-he-man-effect
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blips on a Screen: How Ralph Baer Invented TV Video Gaming and Launched a Worldwide Obsession,"Hannigan, Kate*",0593306724,9780593306727,0593306724,48        pp,3.99,258,unknown,"May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 15, 2024","Jan 15, 2024","Jan 15, 2024",,Library Binding,view,/book/show/58065381-blips-on-a-screen
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Horror Movie,"Tremblay, Paul*",0063070014,9780063070011,0063070014,288        pp,3.99,306,"Jun 11, 2024","Jun 11, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 12, 2024",,Hardcover,view,/book/show/200101541-horror-movie
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Around the World in Eighty Days,"Verne, Jules",0141035870,9780141035871,0141035870,294        pp,3.94,"247,796","Nov 06, 1872","Jun 10, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 11, 2024","Jan 15, 2024","Jan 11, 2024",,Mass Market Paperback,view,/book/show/3676708-around-the-world-in-eighty-days
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,452","Apr 18, 2023","Apr 18, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 28, 2023","Jan 08, 2024","Jan 08, 2024",,Hardcover,view,/book/show/61714633-the-wager
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Misfit: Growing Up Awkward in the '80s,"Gulman, Gary",1250777062,9781250777065,1250777062,304        pp,4.16,"2,069",unknown,"Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 01, 2024",,Hardcover,view,/book/show/65211790-misfit
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raw Dog: The Naked Truth About Hot Dogs,"Loftus, Jamie",1250847745,9781250847744,1250847745,320        pp,3.96,"4,789","May 23, 2023","May 23, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Jan 2024,Jan 2024,"Jan 01, 2024",,Hardcover,view,/book/show/62039305-raw-dog
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Googie: Fifties Coffee Shop Architecture,"Hess, Alan",0877013349,9780877013341,0877013349,144        pp,4.03,64,"Feb 01, 1986","Jan 01, 1986",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The book was well-written, but a book like this requires big glossy photos, and often the pictures are mere accent pieces. I’d like to see an updated The book was well-written, but a book like this requires big glossy photos, and often the pictures are mere accent pieces. I’d like to see an updated version (without the mid-80s graphic design aesthetic. ...more",Notes are private!,0,1,1,"Dec 05, 2023","Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/578753.Googie
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Poisonwood Bible,"Kingsolver, Barbara",0060786507,9780060786502,0060786507,546        pp,4.10,"743,714","Sep 24, 1998","May 31, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Dec 13, 2023","Dec 23, 2023","Dec 23, 2023",,Hardcover,view,/book/show/7244.The_Poisonwood_Bible
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Old Town Road,"Molanphy, Chris",1478025514,9781478025511,1478025514,152        pp,4.48,21,unknown,"Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 20, 2023","Nov 24, 2023","Nov 24, 2023",,Paperback,view,/book/show/110738228-old-town-road
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wizard and Glass        (The Dark Tower, #4)","King, Stephen*",188041838X,9781880418383,188041838X,787        pp,4.26,"199,255","Nov 04, 1997","Nov 04, 1997",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 29, 2023","Aug 20, 2023","Oct 26, 2023",,Hardcover,view,/book/show/94762.Wizard_and_Glass
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Howling,"Brandner, Gary",0449138240,9780449138243,0449138240,215        pp,3.95,"14,008",1977,"Dec 12, 1981",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Pretty good for a late 70s horror novel. The tropes are all in place: damaged main character, a small town in the middle of nowhere, A TRAGIC LESBIAN.Pretty good for a late 70s horror novel. The tropes are all in place: damaged main character, a small town in the middle of nowhere, A TRAGIC LESBIAN. It all works pretty well. Way better than The Wolfen, which I finished right before this. ...more",Notes are private!,0,1,1,"Oct 22, 2023","Oct 26, 2023","Oct 26, 2023",,Mass Market Paperback,view (with text),/book/show/481462.The_Howling
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wolfen,"Strieber, Whitley*",0380704404,9780380704408,0380704404,288        pp,3.84,"7,373",1978,Mar 1988,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 10, 2023","Oct 20, 2023","Oct 20, 2023",,Paperback,view,/book/show/201548.The_Wolfen
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dracula,"Stoker, Bram",1435129733,9781435129733,1435129733,399        pp,4.01,"1,275,092","May 26, 1897","Mar 01, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 24, 2023",Oct 2023,"Oct 01, 2023",,Leather Bound,view,/book/show/10483223-dracula
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Early Autumn        (Spenser, #7)","Parker, Robert B.",0440122147,9780440122142,0440122147,224        pp,4.16,"9,087","Jan 01, 1981","Apr 05, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 10, 2023","Sep 12, 2023","Sep 12, 2023",,Paperback,view,/book/show/69625.Early_Autumn
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Holly,"King, Stephen*",1668016133,9781668016138,1668016133,449        pp,4.14,"91,055","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Sep 05, 2023","Sep 08, 2023","Sep 08, 2023",,Hardcover,view,/book/show/65916344-holly
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Savage Place        (Spenser, #8)","Parker, Robert B.",,,,184        pp,4.01,"7,909","Nov 01, 1981",Dec 1983,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 31, 2023","Sep 02, 2023","Sep 02, 2023",,Mass Market Paperback,view,/book/show/8309566-a-savage-place
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Looking For Rachel Wallace        (Spenser, #6)","Parker, Robert B.",0440047641,9780440047643,0440047641,219        pp,4.11,"9,310",1980,"Jan 01, 1980",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 29, 2023","Aug 31, 2023","Aug 31, 2023",,Hardcover,view,/book/show/1430623.Looking_For_Rachel_Wallace
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Little Sisters of Eluria,"King, Stephen*",1880418738,9781880418734,1880418738,312        pp,4.19,"20,763",1998,2008,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 20, 2023","Aug 22, 2023","Aug 20, 2023",,Hardcover,view,/book/show/6356190-the-little-sisters-of-eluria
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Ordinary Time: Franklin and Eleanor Roosevelt: The Home Front in World War II,"Goodwin, Doris Kearns",0684804484,9780684804484,0684804484,633        pp,4.19,"45,103","Sep 01, 1994","Oct 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 15, 2023",not set,"Aug 15, 2023",,Paperback,view,/book/show/18728.No_Ordinary_Time
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Judas Goat        (Spenser, #5)","Parker, Robert B.",,,,207        pp,4.08,"10,123",1978,Sep 1983,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 13, 2023","Aug 15, 2023","Aug 13, 2023",,Mass Market Paperback,view,/book/show/8309510-the-judas-goat
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Garden,"Hodgson Burnett, Frances",0517189607,9780517189603,0517189607,331        pp,4.16,"1,170,447",Aug 1911,"Sep 01, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think I should probably read all the books Bruce Springsteen named songs for.,Notes are private!,0,1,1,"Aug 08, 2023","Aug 11, 2023","Aug 08, 2023",,Hardcover,view (with text),/book/show/2998.The_Secret_Garden
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,595","Aug 01, 2023","Aug 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Aug 2023,"Aug 04, 2023","Aug 04, 2023",,Hardcover,view,/book/show/63241104-tom-lake
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Waste Lands        (The Dark Tower, #3)","King, Stephen*",0937986178,9780937986172,0937986178,512        pp,4.25,"222,723",Aug 1991,Dec 1991,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 22, 2023","Jul 30, 2023","Jul 29, 2023",,Hardcover,view,/book/show/1084667.The_Waste_Lands
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Action Heroes: The Triumphs, Flops, and Feuds of Hollywood's Kings of Carnage","Semlyen, Nick de*",059323880X,9780593238806,059323880X,352        pp,4.13,"1,646","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 21, 2023",,Hardcover,view,/book/show/62192505-the-last-action-heroes
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Drawing of the Three        (The Dark Tower, #2)","King, Stephen*",,,,464        pp,4.23,"262,065",May 1987,Jan 1990,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 05, 2023","Jul 12, 2023","Jul 21, 2023",,Paperback,view,/book/show/6411307-the-drawing-of-the-three
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Polynesiacs: Tiki at Home,"Tom-Tom, Tiki",,9798218950040,,387        pp,4.67,3,unknown,"May 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 15, 2023","Jul 03, 2023","Jul 05, 2023",,Hardcover,view,/book/show/184307512-polynesiacs
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Promised Land        (Spenser, #4)","Parker, Robert B.",0395247713,9780395247716,0395247713,182        pp,3.99,"9,817",Sep 1976,Sep 1976,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 04, 2023","Jul 06, 2023","Jul 04, 2023",,Hardcover,view,/book/show/1111961.Promised_Land
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Always Comes,"Vlautin, Willy",0063035081,9780063035089,0063035081,208        pp,3.85,"5,249","Apr 06, 2021","Apr 06, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 15, 2023","Jun 20, 2023","Jun 20, 2023",,Hardcover,view,/book/show/54275850-the-night-always-comes
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pachinko,"Lee, Min Jin",,,,496        pp,4.33,"471,168","Feb 07, 2017","Feb 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jun 15, 2023","Jul 03, 2023","Jun 15, 2023",,Kindle Edition,view,/book/show/34051011-pachinko
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret History of Christmas,"Bryson, Bill",,,B0BJVW1C2L,4        pp,3.84,"3,105","Nov 22, 2022","Nov 22, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 09, 2023","Jun 12, 2023","Jun 12, 2023",,Audible Audio,view,/book/show/63107517-the-secret-history-of-christmas
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bookshop on the Corner        (Kirrinfief, #1)","Colgan, Jenny",0062467263,9780062467263,,384        pp,3.84,"87,954","Feb 11, 2016","Sep 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2023",,ebook,view,/book/show/28372019-the-bookshop-on-the-corner
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hard-Boiled Wonderland and the End of the World,"Murakami, Haruki",,,,400        pp,4.13,"136,466","Jun 15, 1985",2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2023",,Paperback,view,/book/show/10374.Hard_Boiled_Wonderland_and_the_End_of_the_World
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kafka on the Shore,"Murakami, Haruki",1400079276,9781400079278,1400079276,467        pp,4.13,"468,840",Sep 2002,"Jan 03, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2023",,Paperback,view,/book/show/4929.Kafka_on_the_Shore
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,New England Tiki,"Quigley, Kevin",1467153095,9781467153096,1467153095,128        pp,4.50,8,unknown,"Jun 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 25, 2023",,Paperback,view,/book/show/87557184-new-england-tiki
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hearts in Atlantis,"King, Stephen*",0684853515,9780684853512,0684853515,523        pp,3.85,"95,895","Sep 14, 1999","Sep 14, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 20, 2023","May 30, 2023","May 20, 2023",,Hardcover,view,/book/show/542830.Hearts_in_Atlantis
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,East of Eden,"Steinbeck, John",0142000655,9780142000656,0142000655,601        pp,4.41,"538,888",1952,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 18, 2023","Jun 09, 2023","May 18, 2023",,Paperback,view,/book/show/4406.East_of_Eden
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,901","May 03, 2022","May 03, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"May 10, 2023","May 15, 2023","May 10, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deliver Me from Nowhere: The Making of Bruce Springsteen's Nebraska,"Zanes, Warren*",0593237412,9780593237410,0593237412,320        pp,4.43,"1,115",2023,"May 02, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"May 07, 2023","May 10, 2023","May 10, 2023",,Hardcover,view,/book/show/61913599-deliver-me-from-nowhere
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Mercies,"Lehane, Dennis*",0062129481,9780062129482,0062129481,303        pp,4.31,"43,577","Apr 25, 2023","Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"May 02, 2023","May 09, 2023","May 09, 2023",,Hardcover,view,/book/show/61812308-small-mercies
