,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,eb's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At Freddie's,"Fitzgerald, Penelope",0395956188,9780395956182,0395956188,160        pp,3.56,"1,006",1982,"Jan 01, 1999",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"When I read Penelope Fitzgerald, I think, ""How is she doing this???"" From a craft point of view, I cannot understand how she stuffs so much meaning anWhen I read Penelope Fitzgerald, I think, ""How is she doing this???"" From a craft point of view, I cannot understand how she stuffs so much meaning and intelligence into her tiny little novels. This book is particularly irresistible to me because of its setting in the world of a shabby theater school for child actors. I was happy that Hannah, one of the teachers, (view spoiler)[ doesn't wind up marrying sad-sack Pierce merely because he was in love with her. Fitzgerald understands all the shifting dynamics of that upsetting situation, the way you feel pity, frustration, affection, and rage toward the person who adores you so hopelessly. About halfway through the novel, I started feeling nervous about the fate of Jonathan, and sure enough, we learn in the last paragraph that he inadvertently kills himself while practicing for a scene (well, we don't ""learn"" it, exactly; we can surmise it, which is the way a lot of Fitzgerald's writing works). Jonathan an artist and a genius, and I think we're meant to feel that he died a noble death, for his art. And also that while Freddie was busy consolidating power, she was neglecting the children in her charge. (hide spoiler)]...more",Notes are private!,0,1,2,not setnot set,not setnot set,"Jan 31, 2019",,Paperback,view (with text),/book/show/108617.At_Freddie_s
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Capital,"Lanchester, John",0393345092,9780393345094,0393345092,528        pp,3.71,"14,077","Feb 20, 2012","May 28, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Lanchester follows a large cast of diverse characters, all of whom have some connection to one posh street in London. There's an old lady, a soccer plLanchester follows a large cast of diverse characters, all of whom have some connection to one posh street in London. There's an old lady, a soccer player, an anonymous art star, a deli owner, a finance guy, and more; there's a death, a harassment campaign, a romance, and more; a lot happens, and there are a lot of laughs, which I wasn't expecting. Lanchester is a confident writer, and he's empathetic and respectful to all of his characters. When he's setting up the story, you get that ""Ahh, this is going to be good"" feeling. That feeling lasts almost until the end of the book, when some of the plotlines wrap up too neatly, others drop away completely, and there's a sense that maybe none of it added up to much. ...more",Notes are private!,0,0,1,not set,not set,"Jan 06, 2019",,Paperback,view (with text),/book/show/16241160-capital
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcription,"Atkinson, Kate",031617663X,9780316176637,031617663X,343        pp,3.49,"55,722","Sep 06, 2018","Sep 25, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I do appreciate that this is less a spy novel and more a meditation on the roles we all play and the impossibility of ever truly knowing another persoI do appreciate that this is less a spy novel and more a meditation on the roles we all play and the impossibility of ever truly knowing another person. I also appreciate how effectively Atkinson gave me the creeps and made me mistrust every character she introduced. But there are some technical difficulties here I couldn't get over. None of the male characters are clearly drawn, and they all blend together into one deceitful blob. The big twist at the end falls completely flat, I think because it hadn't been set up and didn't particularly make sense to me given what we knew about Juliet's character. And I kept picturing how each scene would look in the adaptation, which is never the effect you want when you're reading. Not her best, IMO. ...more",Notes are private!,0,0,1,not set,not set,"Dec 28, 2018",,Hardcover,view (with text),/book/show/37946414-transcription
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plot Against America,"Roth, Philip",1400079497,9781400079490,1400079497,391        pp,3.80,"61,149","Oct 05, 2004","Sep 27, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An eerily prescient alternative history in which Nazi-sympathizer Charles Lindbergh wins the presidency and nearly takes the country down in a matter An eerily prescient alternative history in which Nazi-sympathizer Charles Lindbergh wins the presidency and nearly takes the country down in a matter of months, encouraging anti-Semitism and feeding his base lies and conspiracy theories. The prose style hasn't aged well—it's hoary—but the insights are evergreen. Roth shows you how easily a charismatic figure can harness latent bigotry and turn a citizenry into a mob. What I really wasn't expecting, and what moved me very much, was Roth's respectful, empathetic depiction of Bess, the narrator's stay-at-home mother. I can't think of another writer who sees heroism in a woman's efforts to give her children a happy life, and make them feel safe. ...more",Notes are private!,0,0,1,not set,not set,"Dec 28, 2018",,Paperback,view (with text),/book/show/703.The_Plot_Against_America
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sag Harbor,"Whitehead, Colson*",0385527659,9780385527651,0385527659,273        pp,3.55,"10,281","Apr 28, 2009","Apr 28, 2009",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The voice is so good, funny, and original, that it almost carries you along—but only almost. There's no plot here. There are no stakes. Like, zero. NoThe voice is so good, funny, and original, that it almost carries you along—but only almost. There's no plot here. There are no stakes. Like, zero. No tiny moments of conflict, no painful misunderstandings. None of the characters are differentiated. By far the best chapter here tackles the narrator's abusive father. But even there, we get a little slice of life—no plot or story—the curtain goes down, and then it's back to scooping ice cream and aimlessly wandering around town. ...more",Notes are private!,0,0,1,not set,not set,"Dec 28, 2018",,Hardcover,view (with text),/book/show/4428988-sag-harbor
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All Grown Up,"Attenberg, Jami*",,,B01I4FPMBO,209        pp,3.39,"16,735","Mar 07, 2017","Mar 07, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The prose is so lean and original. It’s a joy to read and it must have been hell to write (as they say, hard writing makes easy reading). I couldn’t cThe prose is so lean and original. It’s a joy to read and it must have been hell to write (as they say, hard writing makes easy reading). I couldn’t care less about whether a character is likable or not; I only care about whether or not she’s interesting, and Andrea is. Yes, she’s selfish and self-absorbed—that’s the point! Every sentence here is honest: you feel a shiver of recognition on page after page. And I found the novel impossible to put down: I kept sneaking off to read it until I’d gulped down the whole thing. ...more",Notes are private!,0,1,1,not set,not set,"Dec 04, 2018",,Kindle Edition,view (with text),/book/show/40611758-all-grown-up
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Severance,"Ma, Ling*",0374261598,9780374261597,0374261598,291        pp,3.92,"99,018","Aug 14, 2018","Aug 14, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An office novel, a coming-of-age-in-New-York novel, and a zombie apocalypse novel, all smooshed into one. Ma is incredible at creating images that stiAn office novel, a coming-of-age-in-New-York novel, and a zombie apocalypse novel, all smooshed into one. Ma is incredible at creating images that stick with you: small feet sticking out from underneath a floor-length curtain, Times Square overgrown with palm trees, survivors turning mall stores into bedrooms. I’m not sure the mashup of genres works very well, and most of the characterizations are thin at best. Candace is convincing, and so are her parents, but Candace’s fellow survivors aren’t brought to life at all, which is most problematic in the case of the sinister leader. He’s supposed to be scary, but he’s just a cipher. The editing is sloppy, too: there’s lots of word rep, for example. Still, both the office thread and the apocalypse thread are satisfying, interesting, and insightful. ...more",Notes are private!,0,0,1,not set,not set,"Dec 02, 2018",,Hardcover,view (with text),/book/show/36348525-severance
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Occasional Virgin,"Al-Shaykh, Hanan",1524747521,9781524747527,B076GPZHY5,241        pp,2.47,477,"Jan 01, 2002","Jul 10, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Great title, great cover, incredibly clumsy and out-of-date storytelling.",Notes are private!,0,0,1,not set,not set,"Oct 29, 2018",,Kindle Edition,view (with text),/book/show/38332002-the-occasional-virgin
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perfect Mother,"Molloy, Aimee",0062696793,9780062696793,0062696793,317        pp,3.53,"59,269","May 01, 2018","May 01, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Molloy is great with tactile details. All the coffees, muffins, lipsticks, breezes: she draws scenes well. I read fast and couldn’t wait to get to theMolloy is great with tactile details. All the coffees, muffins, lipsticks, breezes: she draws scenes well. I read fast and couldn’t wait to get to the end, which was psychologically satisfying, if a bit hokey (11th-hour confession in which the baddie is offering logical explanations in one breath, and breaking with reality the next). If you want to read about new motherhood but don’t want to plod through whiny nonfiction, this is a perfect pick. The exciting plot alternates with pithy, smart insights about parenting a newborn, and the way women exist in the word after giving birth. ...more",Notes are private!,0,0,1,not set,not set,"Sep 04, 2018",,Hardcover,view (with text),/book/show/35887193-the-perfect-mother
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,From the Corner of the Oval,"Dorey-Stein, Beck",0525509127,9780525509127,0525509127,330        pp,3.82,"15,522","Jul 10, 2018","Jul 10, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A juicy, readable memoir from a lowly stenographer in the Obama White House.I could not BELIEVE how many times she went back to Jason (who IS Jason? HA juicy, readable memoir from a lowly stenographer in the Obama White House.I could not BELIEVE how many times she went back to Jason (who IS Jason? Has anyone Googled successfully?) and am worried she still doesn't understand that he never cared about her, and that drinking less would have been a foolproof way to stop sleeping with him. And what about Noah?? Why didn't she give it a shot with good old Noah? I loved each and every detail about President Obama and what it's like to work at the White House. I could have done without the cheesy commencement-speech style passages that crop up at the end of about five chapters. I could also complain about how repetitive the relationship stuff is (how many times does she have sex with Jason after swearing off him forever—eight? Twelve?), or about how many zillions of times she mentions Cape Codders, but I couldn't wait to pick this book up each night, so evidently I was able to look past its flaws. ...more",Notes are private!,0,1,1,not set,not set,"Aug 16, 2018",,Hardcover,view (with text),/book/show/36758503-from-the-corner-of-the-oval
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An American Marriage,"Jones, Tayari*",1616201347,9781616201340,1616201347,308        pp,3.94,"358,691","Jan 29, 2018","Feb 06, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really liked Jones's decision to essentially skip over the details of the trial and the incarceration, as in some sense they don't matter to the stoI really liked Jones's decision to essentially skip over the details of the trial and the incarceration, as in some sense they don't matter to the story: what's important about them is the havoc they unleash. As Tom Perotta says in his perceptive blurb, none of the characters are wrong here: each of them has good reason to behave exactly as s/he does, and that's what's tragic: everyone's devastated by the other characters' behavior, but none of them are to blame. America itself is the villain. My major quibble with the book is Celestial, who never came alive for me. Whereas I felt I knew Andre and Roy, Celestial remained a cipher, and for that reason I never felt fully invested in her fate. ...more",Notes are private!,0,3,1,not set,not set,"Jun 06, 2018",,Hardcover,view (with text),/book/show/33590210-an-american-marriage
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,That Kind of Mother,"Alam, Rumaan*",0062667602,9780062667601,0062667602,291        pp,3.07,"7,419","May 08, 2018","May 08, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Alam gets motherhood so exactly right—the simultaneous and entirely opposed feelings, the physical sensations, the loneliness, the pleasures. The plotAlam gets motherhood so exactly right—the simultaneous and entirely opposed feelings, the physical sensations, the loneliness, the pleasures. The plot of this novel hums along interestingly, and the issues it tackles (interracial adoption, well-meaning but clueless white liberalism) are interesting, too, but I would have loved the book even if those elements were excised, leaving nothing but the paragraphs about breastfeeding and childbirth. And not that the tones are remotely the same, but in its setting (Washington, DC), its era (1980s), its wit, and its love of food, it reminded me pleasantly of Heartburn, by Nora Ephron. ...more",Notes are private!,0,4,1,not set,not set,"Jun 06, 2018",,Hardcover,view (with text),/book/show/35959190-that-kind-of-mother
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Circe,"Miller, Madeline*",0316556343,9780316556347,0316556343,393        pp,4.24,"1,052,845","Apr 10, 2018","Apr 10, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As a reader who's allergic to overwrought prose, it took me a while to get on board with this one, but I managed it and then got hooked. (And the prosAs a reader who's allergic to overwrought prose, it took me a while to get on board with this one, but I managed it and then got hooked. (And the prose isn't overwrought, exactly; it's elevated and old-timey in a way that's appropriate for the subject matter.) I'm a total dunce about Greek mythology, yet even I was gripped by the retellings here. The novel feels episodic, but each chapter does build on the last. From a craft POV, I was impressed by the way Miller comes up with beats when she has so little to work with—dialogue has to be broken up with references to herbs! It's a writing nightmare to me, but Miller has no trouble. I was also extremely moved and disturbed by the way Circe's immortality puts our teensy-weensy human lifespans into perspective. And the ending is the very definition of ""surprising yet inevitable."" ...more",Notes are private!,0,1,1,not set,not set,"Jun 06, 2018",,Hardcover,view (with text),/book/show/35959740-circe
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only Story,"Barnes, Julian",1473554799,9781473554795,,272        pp,3.61,"23,639","Feb 01, 2018","Feb 01, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bailed after 200 pages. It’s so grim and so boring! Barnes intentionally eschews showing—this novel is mostly telling. Ruminating, really. There’s a lBailed after 200 pages. It’s so grim and so boring! Barnes intentionally eschews showing—this novel is mostly telling. Ruminating, really. There’s a lot of thinking about the nature of memory, and the truth about love. For a while it seems like a postmodern pulling-back of the false smooth surface of plot, and then it just seems unbearable. Also, are we meant to think the narrator is deluded? I don’t think so—I think Barnes want us to read him as smart and perceptive. In the narrator’s view of events, he fell in love with a 48-year-old woman when he was 19, and they went on to have a complicated, troubled affair. In my view, a predator ruined the narrator’s life. This novel would have been far stronger if Barnes had intended my reading to glint through the narrator’s misreading, but I don’t believe he did. ...more",Notes are private!,0,2,1,not set,not set,"May 15, 2018",,ebook,view (with text),/book/show/35570812-the-only-story
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Adulterants,"Dunthorne, Joe",194104087X,9781941040874,194104087X,150        pp,3.40,"1,667","Feb 08, 2018","Mar 06, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An antihero's life spirals out of control: he half-cheats on his wife, is publicly shamed during a riot, loses his job, and so on. This is a very funnAn antihero's life spirals out of control: he half-cheats on his wife, is publicly shamed during a riot, loses his job, and so on. This is a very funny novel, and often moving—Dunthorne is particularly good on the subject of new fatherhood. It's a little too polished and tense for my taste, though. Every sentence, every paragraph, is tight, gleaming, surprising. You never get a break from the leanness. I like a novel with a little meat on its bones. ...more",Notes are private!,0,0,1,not set,not set,"May 14, 2018",,Hardcover,view (with text),/book/show/35276866-the-adulterants
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Chasing Hillary: Ten Years, Two Presidential Campaigns and One Intact Glass Ceiling [Apr 24, 2018] Chozick, Amy","Chozick, Amy",0008296723,9780008296728,0008296723,400        pp,3.73,"1,900","Apr 22, 2018","Apr 24, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Addictive. Full of crunchy details that bring scenes alive. Also full of revelations--or what came as revelations to me, maybe because I'm painfully nAddictive. Full of crunchy details that bring scenes alive. Also full of revelations--or what came as revelations to me, maybe because I'm painfully naive. For example: - NYTimes reporters are real people! They're insecure, they worry about their frizzy hair, and they get upset when people criticize their work.- Some Bernie bros sounded a lot like Trump supporters. Chozick is wry about them, but the emails she got from Bernie supporters were breathtakingly violent and misogynist. - High-level campaign staffers complain loudly and angrily about their coverage to the people doing that coverage. They're allowed to come the NYTimes office for meetings at which they yell at the reporters and editors. And the reporters and editors feel guilty and apologize! (Or some of them, like Chozick, do.)- It almost didn't matter what Trump's message was: his opponent couldn't communicate clearly and authentically, and therefore she had no hope of winning. Reading excerpts of her speeches was painful. They're portmanteaus, they're boring, they don't mimic the cadences of actual human speech. For all its entertainment value, this book mostly struck me as brave. Chozick tells the truth about her insecurities, her colleagues, and her subject matter, and she tells it plainly. That takes a lot of guts. ...more",Notes are private!,0,0,1,not set,not set,"May 14, 2018",,Paperback,view (with text),/book/show/39941767-chasing-hillary
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Catherine Wheel,"Stafford, Jean",0912946873,9780912946870,0912946873,281        pp,3.84,128,1952,"Jan 01, 1981",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A 12-year-old boy, Andrew, pines for his friend, who’s ignoring him to hang out with his older brother. Meanwhile his beautiful and virginal middle-agA 12-year-old boy, Andrew, pines for his friend, who’s ignoring him to hang out with his older brother. Meanwhile his beautiful and virginal middle-aged cousin, Katherine, struggles to resist the advances of the now-married man she used to love. Both Andrew and Katherine are convinced the other person knows their dark secret. This is mostly a novel about untreated harm OCD. These characters decide their fleeting violent thoughts mean they’re evil people, and then fixate on those thoughts, increasing the thoughts’ power by taking them so seriously. It’s also a novel about boredom and the perils of leisure: these rich people have nothing to do, so they’re free to spend their days worrying about their mental health. It’s slow, the sentences are dense, and I didn’t really enjoy it—but I admit it’s masterfully done and as a stylist Stafford is a whiz. ...more",Notes are private!,0,0,1,not set,not set,"May 03, 2018",,Paperback,view (with text),/book/show/2448704.The_Catherine_Wheel
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wife Between Us,"Hendricks, Greer*",1250130921,9781250130921,1250130921,432        pp,3.84,"391,721","Jan 02, 2018","Jan 09, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Props for the one big twist that ends Part 1. Polite applause for the wealth of tactile details that allow you to imagine scenes clearly. Jeers for evProps for the one big twist that ends Part 1. Polite applause for the wealth of tactile details that allow you to imagine scenes clearly. Jeers for everything else, especially the paper-flat characters, who have nothing in common with real people but are instead thinner versions of already-false tropes from TV and movies. An eye roll at all the motifs familiar from every other Girl book: a drunken protagonist, a rich, cold husband who loves classical music, secret identities, changed names, women joining forces, and plots hinging on the withholding of secrets from the past. And a hearty raspberry for the lame sins of the villain! You keep thinking, “So when are we going to find out about all the terrible stuff he’s done?” Don’t hold your breath. Nothing’s coming. ...more",Notes are private!,0,1,1,not set,not set,"Apr 23, 2018",,Hardcover,view (with text),/book/show/34189556-the-wife-between-us
