,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Joe's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Milk Blood Heat,"Moniz, Dantiel W. *",0802158153,9780802158154,0802158153,208        pp,4.04,"9,119","Feb 02, 2021","Feb 02, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2021,"May 06, 2021",,Hardcover,view,/book/show/43893870-milk-blood-heat
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lot,"Washington, Bryan",0525533672,9780525533672,0525533672,240        pp,3.76,"9,577","Mar 19, 2019","Mar 19, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Feb 2021,"May 06, 2021",,Hardcover,view,/book/show/40749395-lot
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Get Filthy Rich in Rising Asia,"Hamid, Mohsin",1594487294,9781594487293,1594487294,230        pp,3.81,"22,492","Mar 01, 2013","Mar 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 28, 2019","Oct 03, 2019","Oct 03, 2019",,Hardcover,view,/book/show/15815364-how-to-get-filthy-rich-in-rising-asia
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Sympathizer        (The Sympathizer, #1)","Nguyen, Viet Thanh*",0802123457,9780802123459,0802123457,371        pp,4.01,"113,602","Apr 02, 2015","Apr 07, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,Sep 2019not set,"Sep 25, 2019not set","Oct 03, 2019",,Hardcover,view,/book/show/23168277-the-sympathizer
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eclipsed - Acting Edition,"Gurira, Danai",0822224461,9780822224464,0822224461,72        pp,4.20,346,"Dec 31, 2010","Nov 01, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 03, 2019","Jun 06, 2019","Jun 06, 2019",,Paperback,view,/book/show/11511830-eclipsed---acting-edition
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Topdog/Underdog,"Parks, Suzan-Lori",1559362014,9781559362016,1559362014,110        pp,3.83,"6,418","Jun 01, 2001",Dec 2001,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 29, 2019","May 31, 2019","May 31, 2019",,Paperback,view,/book/show/764270.Topdog_Underdog
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Believers,"Makkai, Rebecca*",,,,421        pp,4.28,"135,439","Jun 19, 2018","Jun 19, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Really enjoyed this but not quite enough to overlook some strange pacing issues (so it’s really more like 3.5 stars—that said, the ending almost conviReally enjoyed this but not quite enough to overlook some strange pacing issues (so it’s really more like 3.5 stars—that said, the ending almost convinced me to round up to 4). While the characters and the situation are both solid, the books suffers the fate of many novels with duel or parallel plot lines—one of them is just tighter than the other, and in this case it’s kind of the less interesting story line that’s more effectively rendered, probably because it’s more compact and the character has a somewhat clearer, more specific goal. That said, lots of great details throughout....more",Notes are private!,0,0,2,"May 20, 2019May 20, 2019","May 29, 2019May 29, 2019","May 29, 2019",,Hardcover,view (with text),/book/show/36739329-the-great-believers
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bad Stories: What the Hell Just Happened to Our Country,"Almond, Steve*",1597092266,9781597092265,1597092266,272        pp,4.15,544,"Apr 01, 2018","Apr 01, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jul 2018,"Jul 23, 2018",,Paperback,view,/book/show/36694224-bad-stories
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City on Fire,"Hallberg, Garth Risk",0385353774,9780385353779,0385353774,911        pp,3.39,"14,961","Oct 13, 2015","Oct 13, 2015",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jun 2018,"Jul 23, 2018",,Hardcover,view,/book/show/24189224-city-on-fire
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Trouble Boys: The True Story of the Replacements,"Mehr, Bob",,,B00B3M3VMI,488        pp,4.54,"3,852","Mar 01, 2016","Mar 01, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Kindle Edition,view,/book/show/28098152-trouble-boys
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Give Us a Kiss,"Woodrell, Daniel",0671025031,9780671025038,0671025031,224        pp,3.94,"1,445","Feb 02, 1996","Aug 01, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Paperback,view,/book/show/112531.Give_Us_a_Kiss
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Interpreter of Maladies,"Lahiri, Jhumpa",0618101365,9780618101368,0618101365,198        pp,4.17,"193,360","Apr 20, 1999","Jan 01, 2000",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Hardcover,view,/book/show/5439.Interpreter_of_Maladies
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vampires in the Lemon Grove: Stories,"Russell, Karen*",0307957233,9780307957238,0307957233,243        pp,3.68,"22,926","Feb 12, 2013","Feb 12, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Hardcover,view,/book/show/13531832-vampires-in-the-lemon-grove
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Insurrections,"Scott, Rion Amilcar*",081316818X,9780813168180,081316818X,194        pp,4.02,308,"Aug 05, 2016","Aug 16, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Hardcover,view,/book/show/29780954-insurrections
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Year 14,"Konik, Michael*",0988994550,9780988994553,0988994550,265        pp,4.14,29,unknown,2017,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Paperback,view,/book/show/36482354-year-14
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit West,"Hamid, Mohsin",0735212171,9780735212176,0735212171,231        pp,3.75,"138,453","Mar 07, 2017","Mar 07, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 27, 2018",,Hardcover,view,/book/show/30688435-exit-west
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purity,"Franzen, Jonathan",0374239215,9780374239213,0374239215,563        pp,3.64,"48,804","Sep 01, 2015","Sep 01, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 06, 2016","Oct 17, 2016","Aug 06, 2016",,Hardcover,view,/book/show/23754479-purity
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Manners for Your Inner Demons,"Laskowski, Tara*",0983792844,9780983792840,0983792844,88        pp,4.04,91,"Oct 08, 2012","Oct 08, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 27, 2016","Jul 27, 2016","Jul 28, 2016",,Paperback,view,/book/show/16075239-modern-manners-for-your-inner-demons
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghosts of Bergen County,"Cann, Dana*",1941040276,9781941040270,1941040276,399        pp,3.65,196,"Apr 27, 2016","Apr 25, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 26, 2016","Jul 27, 2016",,Paperback,view,/book/show/26889869-ghosts-of-bergen-county
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Juliet,"Scott, Laura Ellen*",0997135115,9780997135114,0997135115,258        pp,4.42,43,unknown,"Mar 11, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jul 13, 2016","Jul 13, 2016",,Paperback,view,/book/show/29511753-the-juliet
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Valletta78,"Fitzgerald, Erin*",1937402835,9781937402839,1937402835,120        pp,4.02,42,"Nov 15, 2015","Nov 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 29, 2016","May 31, 2016","May 29, 2016",,Paperback,view,/book/show/26068473-valletta78
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If I Knew the Way, I Would Take You Home","Housley, Dave*",1936873664,9781936873661,1936873664,208        pp,4.00,39,"Jan 13, 2015","Feb 03, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 24, 2016","May 29, 2016","May 24, 2016",,Paperback,view,/book/show/21535386-if-i-knew-the-way-i-would-take-you-home
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bystanders,"Laskowski, Tara*",,,,238        pp,4.05,74,"May 01, 2016","May 01, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 20, 2016","May 23, 2016","May 22, 2016",,Paperback,view,/book/show/25874120-bystanders
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Road with Del and Louise: A Novel in Stories,"Taylor, Art*",1941962890,9781941962893,1941962890,284        pp,4.28,122,"Sep 15, 2015","Sep 15, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 12, 2016","May 18, 2016","May 22, 2016",,Paperback,view,/book/show/25427131-on-the-road-with-del-and-louise
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In a Free State,"Naipaul, V.S.",1400030552,9781400030552,1400030552,256        pp,3.49,"4,980",1971,"Feb 12, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Naipaul isn't an optimistic dude, which I can appreciate. All the same, a little of his point of view can go a long way. The first two longish storiesNaipaul isn't an optimistic dude, which I can appreciate. All the same, a little of his point of view can go a long way. The first two longish stories in the collection work really, and I think it's largely because of their length; we spend just the right amount of time with the two displaced main characters. I found myself invested in their struggles and their situation. However, the center piece of the work, a novella called ""In a Free State,"" is just too long considering both it's overly nihilistic tone and, maybe more importantly, the situation--two people driving from one part of a somewhat decolonizing African nation to another in the midst of low scale civil war. Actually, that makes it sound far more interesting than it was. It was really just the two story of two Brits driving through an African country and revealing their racism in different ways. Not to mention the awful forced ending. ...more",Notes are private!,0,0,1,not set,"Feb 28, 2016","Mar 15, 2016",,Paperback,view (with text),/book/show/49742.In_a_Free_State
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Born Standing Up: A Comic's Life,"Martin, Steve*",1416553649,9781416553649,1416553649,207        pp,3.88,"100,486","Nov 20, 2007","Nov 20, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2016","Jan 27, 2016","Jan 28, 2016",,Hardcover,view,/book/show/773858.Born_Standing_Up
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Me Be Frank With You,"Ford, Richard",0061692069,9780061692062,0061692069,240        pp,3.64,"5,219","Nov 04, 2014","Nov 04, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 15, 2016","Jan 22, 2016",,Hardcover,view,/book/show/20828358-let-me-be-frank-with-you
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inherent Vice,"Pynchon, Thomas",1594202249,9781594202247,1594202249,369        pp,3.78,"34,559",Aug 2009,"Aug 04, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Some things are too complicated to fully understand or too complex to think about in their entirety at any one time. But it's still worth trying even Some things are too complicated to fully understand or too complex to think about in their entirety at any one time. But it's still worth trying even though it'll just make you angry about how powerless you are. I think that's what this book is about....more,Notes are private!,0,1,1,"Aug 20, 2015","Aug 27, 2015","Aug 19, 2015",,Hardcover,view (with text),/book/show/5933841-inherent-vice
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Everyman,"Roth, Philip",0307277712,9780307277718,0307277712,182        pp,3.62,"19,771","May 09, 2006","Apr 10, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Aug 16, 2015","Aug 16, 2015",,Paperback,view,/book/show/50695.Everyman
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I Talk About When I Talk About Running,"Murakami, Haruki",0307269191,9780307269195,0307269191,188        pp,3.87,"167,214","Oct 15, 2007","Jul 29, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 06, 2015",,Hardcover,view,/book/show/2195464.What_I_Talk_About_When_I_Talk_About_Running
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Empathy Exams,"Jamison, Leslie*",1555976719,9781555976712,1555976719,230        pp,3.67,"15,028","Apr 01, 2014","Apr 01, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Muscular is the word I kept thinking as I read. This author posses a muscular intellect. These are muscular essays. That was a muscular turn of phraseMuscular is the word I kept thinking as I read. This author posses a muscular intellect. These are muscular essays. That was a muscular turn of phrase. And I think it takes some mental muscles to explore empathy and its limits as deeply as Jamison does in this collection. ...more,Notes are private!,0,0,1,"Jul 06, 2015","Jul 15, 2015","Jul 06, 2015",,Paperback,view (with text),/book/show/17934655-the-empathy-exams
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Train Dreams,"Johnson, Denis",1250007658,9781250007650,1250007658,116        pp,3.90,"23,994",2002,"May 22, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Johnson somehow packs more into a 115 pages than some writers pack into 250+ page novels. The line level writing was spectacular, and the individual sJohnson somehow packs more into a 115 pages than some writers pack into 250+ page novels. The line level writing was spectacular, and the individual scenes were memorable....more",Notes are private!,0,0,1,"Apr 30, 2015","May 02, 2015","Apr 30, 2015",,Paperback,view (with text),/book/show/12991188-train-dreams
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fires,"Cheuse, Alan",0977679918,9780977679911,0977679918,128        pp,3.44,52,"Sep 01, 2007","Sep 01, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 24, 2015","Apr 26, 2015","Apr 30, 2015",,Paperback,view,/book/show/1093302.The_Fires
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Oh What a Paradise It Seems,"Cheever, John",0679737855,9780679737858,0679737855,112        pp,3.47,"1,608",1977,"Jan 15, 1992",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bitter, unrealistic, and far too diffuse for the form. Maybe I'm rating this a little harder because I generally like Cheever's stuff, but this book wBitter, unrealistic, and far too diffuse for the form. Maybe I'm rating this a little harder because I generally like Cheever's stuff, but this book was awful....more",Notes are private!,0,0,1,not set,"Apr 20, 2015","Apr 20, 2015",,Paperback,view (with text),/book/show/11885.Oh_What_a_Paradise_It_Seems
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Water,"Oates, Joyce Carol",0452269865,9780452269866,B002A4DW7W,160        pp,3.53,"8,582","May 01, 1992","Jan 01, 1992",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm ambivalent about this book. It definitely achieved its (seeming) goal of humanizing a person who is often treated like a historical footnote; the I'm ambivalent about this book. It definitely achieved its (seeming) goal of humanizing a person who is often treated like a historical footnote; the character of Kelly could easily have been a simple martyr, but Oates turns her into a complicated, flawed individual. That said, given the stream of consciousness style, not to mention its reliance on repetition and recapitulation, the book went on about 25 pages too long--many of the points and ideas were beaten into the ground. Also, I'm not entirely sure how I feel about the appropriation of such a public event, mostly because so many of the details have been altered to suit the author's purposes. It's almost like Oates wants it both ways--to pass judgement on a historical occurence, but without being responsible for historical accuracy. I'm not saying I necessarily disagree with her take, but there is an element of the overly manipulative here....more",Notes are private!,0,0,1,"Apr 15, 2015","Apr 18, 2015","Apr 18, 2015",,Paperback,view (with text),/book/show/15974.Black_Water
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"So Long, See You Tomorrow","Maxwell, William",,9781860464188,1860464181,135        pp,3.91,"12,281",1980,1998,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Loved it. The language alone was aces, but also it also was an excellent use of the novella form. Given the structure, it didn't feel like a long storLoved it. The language alone was aces, but also it also was an excellent use of the novella form. Given the structure, it didn't feel like a long story or a short novel but something else entirely. It was what it needed to be which is something in between. That said, I Could maybe have done without the parts from the POV of the dog, but I found them affecting despite myself....more",Notes are private!,0,0,1,"Apr 04, 2015","Apr 04, 2015","Apr 03, 2015",,Paperback,view (with text),/book/show/14276.So_Long_See_You_Tomorrow
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seize the Day,"Bellow, Saul",0142437611,9780142437612,0142437611,114        pp,3.53,"12,499",1957,"May 27, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 14, 2015",,Paperback,view,/book/show/52782.Seize_the_Day
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Pony,"Steinbeck, John",,9780141962825,0141962828,95        pp,3.48,"55,301",1933,"Mar 03, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 09, 2015",,Paperback,view,/book/show/8732.The_Red_Pony
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,St. Mawr,"Lawrence, D.H.",,,,232        pp,3.63,931,1929,unknown,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 08, 2015","Feb 15, 2015","Feb 26, 2015",,Paperback,view,/book/show/724693.St_Mawr
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Pale Horse, Pale Rider","Porter, Katherine Anne",0151707553,9780151707553,0151707553,208        pp,3.97,"4,480",1939,"Jun 18, 1990",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,All three of these novellas were amazing.,Notes are private!,0,0,1,"Feb 10, 2014","Feb 17, 2015","Feb 26, 2015",,Hardcover,view (with text),/book/show/672222.Pale_Horse_Pale_Rider
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lay of the Land        (Frank Bascombe, #3)","Ford, Richard",0679454683,9780679454687,0679454683,485        pp,3.91,"4,616","Jan 01, 2006","Oct 24, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 04, 2015","Jun 27, 2015","Jan 04, 2015",,Hardcover,view,/book/show/12372.The_Lay_of_the_Land
