,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Erik's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pushcart Prize XLV: Best of the Small Presses 2021 Edition,"Henderson, Bill",0960097708,9780960097708,0960097708,600        pp,4.03,36,unknown,"Dec 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 08, 2022","Oct 08, 2022","Oct 08, 2023",,Hardcover,view,/book/show/51184401-the-pushcart-prize-xlv
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Pushcart Prize XLVI: Best of the Small Presses 2022 Edition,"Henderson, Bill",0960097759,9780960097753,0960097759,576        pp,4.30,40,unknown,"Dec 07, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 20, 2023","Dec 07, 2023","Oct 08, 2023",,Paperback,view,/book/show/57465933-the-pushcart-prize-xlvi
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Topeka School,"Lerner, Ben",0374277788,9780374277789,0374277788,282        pp,3.50,"25,796","Oct 01, 2019","Oct 01, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 11, 2023","Oct 25, 2023","Oct 08, 2023",,Hardcover,view,/book/show/43565369-the-topeka-school
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Feel Free: Essays,"Smith, Zadie",0698178882,,B073NNRSYV,464        pp,3.82,"7,791","Feb 06, 2018","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 05, 2023",,Kindle Edition,view,/book/show/35581653-feel-free
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Days,"Oates, Joyce Carol",0062795805,9780062795809,,352        pp,3.48,802,"Feb 06, 2018","Feb 06, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 05, 2023",,ebook,view,/book/show/35068855-beautiful-days
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Female of the Species: Tales of Mystery and Suspense,"Oates, Joyce Carol",0156030276,9780156030274,0156030276,275        pp,3.62,"1,458",2005,"Jan 15, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 11, 2023","Oct 20, 2023","Oct 05, 2023",,Paperback,view,/book/show/15966.The_Female_of_the_Species
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Expertise: The Campaign Against Established Knowledge and Why It Matters,"Nichols, Thomas M.",0190469412,9780190469412,0190469412,272        pp,3.83,"8,571","Apr 27, 2017","Apr 27, 2017",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,Pocket Book,view,/book/show/26720949-the-death-of-expertise
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Calling for Charlie Barnes,"Ferris, Joshua*",0316333530,9780316333535,0316333530,352        pp,3.76,"3,540","Sep 28, 2021","Sep 28, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was a ""uncorrected advance proof"" that I found in a used bookstore. Was (thus?) a little rough, so I dropped a star. This was a ""uncorrected advance proof"" that I found in a used bookstore. Was (thus?) a little rough, so I dropped a star. ...more",Notes are private!,0,0,1,"Sep 30, 2023","Oct 05, 2023","Sep 26, 2023",,Hardcover,view (with text),/book/show/56620813-a-calling-for-charlie-barnes
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Transcription,"Atkinson, Kate",0316176664,9780316176668,0316176664,342        pp,3.49,"55,723","Sep 06, 2018","Apr 23, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,"Sep 15, 2023","Sep 30, 2023","Sep 18, 2023",,Paperback,view,/book/show/41155055-transcription
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Was Thursday: A Nightmare,"Chesterton, G.K.",0375757910,9780375757914,0375757910,182        pp,3.83,"40,920",1908,"Oct 09, 2001",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Some writing just doesn't hold up. Some writing just doesn't hold up. ...more,Notes are private!,0,0,1,"Sep 14, 2023","Sep 18, 2023","Sep 14, 2023",,Paperback,view (with text),/book/show/184419.The_Man_Who_Was_Thursday
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Signals Of Distress,"Crace, Jim",0880014865,9780880014861,0880014865,276        pp,3.76,387,1994,"Dec 01, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Paperback,view,/book/show/955539.Signals_Of_Distress
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Zanesville,"Beard, Jo Ann",0316084476,9780316084475,0316084476,287        pp,3.62,"4,421","Apr 25, 2011","Apr 25, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 13, 2023","Sep 14, 2023","Aug 27, 2023",,Hardcover,view,/book/show/9429864-in-zanesville
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sisters Brothers,"deWitt, Patrick",0062041282,9780062041289,0062041282,328        pp,3.85,"97,278","Apr 26, 2011","Feb 14, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 25, 2023","Oct 30, 2023","Aug 27, 2023",,Paperback,view,/book/show/12155981-the-sisters-brothers
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Picturing Will,"Beattie, Ann",0679731946,9780679731948,0679731946,240        pp,3.34,470,"Jan 03, 1990","Jan 02, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Paperback,view,/book/show/1042794.Picturing_Will
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loser,"Bernhard, Thomas",1400077540,9781400077540,1400077540,208        pp,4.04,"10,666",1983,"Oct 17, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 03, 2023","Sep 09, 2023","Aug 27, 2023",,Paperback,view,/book/show/92570.The_Loser
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Survive You,"Escoffery, Jonathan",0771001177,9780771001178,0771001177,272        pp,3.71,"10,139","Sep 06, 2022","Sep 06, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 22, 2023","Aug 24, 2023","Aug 02, 2023",,Hardcover,view,/book/show/60524416-if-i-survive-you
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Gentleman in Moscow,"Towles, Amor*",,,0143110438,462        pp,4.33,"543,394","Sep 06, 2016","Mar 26, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***3.5 stars***,Notes are private!,0,0,1,"Jul 30, 2023","Aug 02, 2023","Aug 02, 2023",,Paperback,view (with text),/book/show/34066798-a-gentleman-in-moscow
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Gary Lutz,"Lutz, Garielle",1733535918,9781733535915,1733535918,499        pp,4.51,102,"Dec 10, 2019","Dec 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Paperback,view,/book/show/52847776-the-complete-gary-lutz
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Assisted Living: Stories,"Lutz, Garielle",1892061783,9781892061782,1892061783,32        pp,4.04,95,unknown,"Jan 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Scout Book Pamphlet,view,/book/show/33939901-assisted-living
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Divorcer,"Lutz, Garielle",0983163359,9780983163350,0983163359,117        pp,4.22,164,"Oct 01, 2011","Oct 01, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Paperback,view,/book/show/12268149-divorcer
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Partial List of People to Bleach,"Lutz, Garielle",1892061317,9781892061317,1892061317,56        pp,4.07,511,"Jan 01, 2007",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 17, 2023",,Paperback,view,/book/show/1252271.Partial_List_of_People_to_Bleach
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Looked Alive: Stories,"Lutz, Garielle",0971248575,9780971248571,0971248575,188        pp,4.19,211,2004,"Jan 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,Feb 2024,"Feb 11, 2024","Jul 17, 2023",,Paperback,view,/book/show/384080.I_Looked_Alive
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stories in the Worst Way,"Lutz, Garielle",097094280X,9780970942807,097094280X,152        pp,4.07,903,"Oct 29, 1996","Sep 01, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 17, 2022","Jun 17, 2023","Jul 17, 2023",,Paperback,view,/book/show/384077.Stories_in_the_Worst_Way
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gravity's Rainbow,"Pynchon, Thomas",0140283382,9780140283389,0140283382,784        pp,4.00,"44,114","Feb 28, 1973","Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 25, 2023","Jul 22, 2023","Jun 25, 2023",,Paperback,view,/book/show/412.Gravity_s_Rainbow
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The End of Vandalism,"Drury, Tom",0802142702,9780802142702,0802142702,352        pp,3.88,"1,964",1994,"Jun 02, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 20, 2023","Jun 25, 2023","Jun 25, 2023",,Paperback,view,/book/show/143889.The_End_of_Vandalism
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Sport and a Pastime,"Salter, James",0374530505,9780374530501,0374530505,185        pp,3.66,"10,002",1967,"Aug 22, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 14, 2023","Jun 17, 2023","Jun 07, 2023",,Paperback,view,/book/show/114511.A_Sport_and_a_Pastime
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Penguin Book of the Modern American Short Story,"Freeman, John*",1984877801,9781984877802,1984877801,496        pp,3.99,331,"May 04, 2021","May 04, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 17, 2023",Sep 2023,"Apr 12, 2023",,Hardcover,view,/book/show/56612440-the-penguin-book-of-the-modern-american-short-story
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Bridge on the Drina        (Bosnian Trilogy, #1)","Andrić, Ivo",0226020452,9780226020457,0226020452,314        pp,4.33,"21,642",1945,1977,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An important book, but pretty rough prose (translation?).",Notes are private!,0,0,1,"Apr 12, 2023","Apr 21, 2023","Apr 12, 2023",,Paperback,view (with text),/book/show/3140.The_Bridge_on_the_Drina
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Best Small Fictions 2020 Anthology,"Leslie, Nathan*",0999750194,9780999750193,0999750194,400        pp,4.15,13,"Oct 20, 2020","Oct 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 11, 2023",,Paperback,view,/book/show/55874108-the-best-small-fictions-2020-anthology
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mercenary: A Story of Brotherhood and Terror in the Afghanistan War,"Stern, Jeffrey E",154170245X,9781541702455,154170245X,352        pp,4.41,34,unknown,"Mar 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 31, 2023",,Hardcover,view,/book/show/61399144-the-mercenary
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cloud Cuckoo Land,"Doerr, Anthony*",1982168439,9781982168438,1982168439,626        pp,4.26,"214,134","Sep 28, 2021","Sep 28, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 04, 2023","Feb 09, 2023","Feb 09, 2023",,Hardcover,view,/book/show/56783258-cloud-cuckoo-land
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Royal Family,"Vollmann, William T.",014100200X,9780141002002,014100200X,780        pp,3.96,737,2000,"Aug 01, 2001",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The first 700 pages or so felt uneven (and also poorly edited)—sometimes great, sometimes not great—but the last 160 pages are mesmerizing.",Notes are private!,0,0,1,"Feb 15, 2023","Mar 14, 2023","Feb 04, 2023",,Paperback,view (with text),/book/show/300736.The_Royal_Family
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Castle,"Kafka, Franz",0805211063,9780805211061,0805211063,328        pp,3.94,"62,710",1926,"Dec 15, 1998",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 17, 2023","Jan 28, 2023","Jan 12, 2023",,Paperback,view,/book/show/333538.The_Castle
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Trial,"Kafka, Franz",0805209999,9780805209990,0805209999,276        pp,3.96,"325,653","Apr 26, 1925","May 25, 1999",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2023","Jan 17, 2023","Jan 12, 2023",,Paperback,view,/book/show/17692.The_Trial
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Almost Perfect,"Adams, Alice",0679423982,9780679423980,0679423982,243        pp,3.17,174,1993,"Jun 15, 1993",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,***4.5 stars***,Notes are private!,0,0,1,Feb 2023,"Feb 02, 2023","Jan 01, 2023",,Hardcover,view (with text),/book/show/6147180-almost-perfect
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Endless Flight: The Life of Joseph Roth,"Pim, Keiron*",1783785098,9781783785094,1783785098,544        pp,4.33,100,unknown,"Oct 06, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2022",,Hardcover,view,/book/show/60817231-endless-flight
