,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Serena.. Sery-ously?'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Earth We're Briefly Gorgeous,"Vuong, Ocean",0525562028,9780525562023,0525562028,246        pp,4.04,"299,679","Jun 04, 2019","Jun 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/41880609-on-earth-we-re-briefly-gorgeous
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tricks        (Tricks, #1)","Hopkins, Ellen*",1416950079,9781416950073,1416950079,627        pp,4.28,"38,842","Aug 20, 2009","Aug 25, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/5510384-tricks
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Running Grave        (Cormoran Strike, #7)","Galbraith, Robert",0316572101,9780316572101,0316572101,960        pp,4.62,"65,785","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Hardcover,view,/book/show/139399948-the-running-grave
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dome 6        (Tinkered Starsong, #3)","Carriger, Gail*",1944751467,9781944751463,B0CCT388VV,336        pp,4.51,481,"Oct 01, 2023","Oct 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Kindle Edition,view,/book/show/195030387-dome-6
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Demigod 12        (Tinkered Starsong, #2)","Carriger, Gail*",,,B0C682PS4C,370        pp,4.35,579,"Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 12, 2023",,Kindle Edition,view,/book/show/161260711-demigod-12
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demon Copperhead,"Kingsolver, Barbara",,,,560        pp,4.51,"397,946","Oct 18, 2022","Oct 18, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 10, 2023",,Hardcover,view,/book/show/60194162-demon-copperhead
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Spirit Bares Its Teeth,"White, Andrew Joseph*",,,B0BWQQ7FYR,384        pp,4.55,"6,087","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 23, 2023",,Kindle Edition,view,/book/show/89144437-the-spirit-bares-its-teeth
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Aaron        (Survivor Stories #1),"Barnaby, J.P.*",1623800188,9781623800185,1623800188,238        pp,4.10,"2,595","Oct 07, 2012","Oct 08, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,Paperback,view,/book/show/16005260-aaron
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beatrice Letters,"Snicket, Lemony*",0060586583,9780060586584,0060586583,72        pp,3.77,"10,170","Sep 04, 2006","Sep 05, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Feelings everywhere,Notes are private!,0,2,1,"Sep 12, 2023","Sep 13, 2023","Sep 12, 2023",,Hardcover,view (with text),/book/show/74720.The_Beatrice_Letters
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Betrayal of Storms        (Realm of Fey, #1)","Alderson, Ben*",,,,406        pp,3.60,"1,881","Jan 08, 2022","Jan 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 03, 2023",,Kindle Edition,view,/book/show/58550326-a-betrayal-of-storms
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Hood River Rat        (Hood River Hoodlums, #1)","Webster, K.*",,,B086XKN8T3,295        pp,4.07,"3,898","Apr 30, 2020","Apr 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2023",,Kindle Edition,view,/book/show/53147372-hood-river-rat
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,For the Fans,"K., Nyla *",,,B0BHXFH8PZ,544        pp,4.36,"28,260","Feb 23, 2023","Feb 23, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Eppure me lo meritavo, un libro bello a inizio anno",Notes are private!,0,1,1,Jan 2024,"Jan 09, 2024","Aug 30, 2023",,Kindle Edition,view (with text),/book/show/62990658-for-the-fans
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I miei stupidi intenti,"Zannoni, Bernardo",8838942307,9788838942303,8838942307,252        pp,3.77,"5,980","Aug 26, 2021","Aug 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2023",,Paperback,view,/book/show/58720911-i-miei-stupidi-intenti
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Endless Love,"Spencer, Scott",0880016280,9780880016285,0880016280,436        pp,3.55,"5,650",1979,"Apr 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2023",,Hardcover,view,/book/show/61008.Endless_Love
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,An Ocean Without a Shore,"Spencer, Scott",0062851624,9780062851628,0062851624,352        pp,3.76,462,"Jun 16, 2020","Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 25, 2023",,Hardcover,view,/book/show/51822729-an-ocean-without-a-shore
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"1982, Janine","Gray, Alasdair",0224020943,9780224020947,0224020943,352        pp,4.11,"1,085",1984,"Oct 30, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2023",,Hardcover,view,/book/show/1251167.1982_Janine
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lightning Rods,"DeWitt, Helen",0811219437,9780811219433,0811219437,273        pp,3.44,"2,509","Oct 05, 2011","Oct 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2023",,Hardcover,view,/book/show/10917836-lightning-rods
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Harry Potter and the Deathly Hallows        (Harry Potter, #7)","Rowling, J.K.",,,,759        pp,4.62,"3,708,028","Jul 21, 2007","Jul 21, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Sono ancora più devastata delle altre volte che l'ho letto, ma come è possibile?! Sono orfana, non mi resta che ricominciare e preparami al dolore, maSono ancora più devastata delle altre volte che l'ho letto, ma come è possibile?! Sono orfana, non mi resta che ricominciare e preparami al dolore, magari la prossima volta andrà meglio! Merged :Sono ancora più devastata delle altre volte che l'ho letto, ma come è possibile?! Sono orfana, non mi resta che ricominciare e preparami al dolore, magari la prossima volta andrà meglio!...more",Notes are private!,0,0,2,"Jan 04, 2020not set","Feb 19, 2020not set","Jul 28, 2023",,Hardcover,view (with text),/book/show/136251.Harry_Potter_and_the_Deathly_Hallows
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La storia segreta della Rivoluzione francese,"Mantel, Hilary",,9791259674685,,"1,008        pp",3.99,"10,082",1992,"Jul 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/177496614-la-storia-segreta-della-rivoluzione-francese
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightmare Alley,"Gresham, William Lindsay",8838941998,9788838941993,8838941998,473        pp,3.83,"6,440",1946,"Jun 17, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/58389422-nightmare-alley
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wizards of Once: Never and Forever        (The Wizards of Once, 4)","Cowell, Cressida",0316592765,9780316592765,0316592765,400        pp,4.34,"2,126","Nov 17, 2020","Nov 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/57355867-the-wizards-of-once
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wizards of Once: Knock Three Times        (The Wizards of Once, 3)","Cowell, Cressida",0316508411,9780316508414,0316508411,416        pp,4.30,"2,868","Sep 19, 2019","Oct 20, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 22, 2023",,Paperback,view,/book/show/50998125-the-wizards-of-once
