,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Making Emmie Smile,"Weisberg, Ellen*",1849912785,9781849912785,1849912785,16        pp,5.00,4,"Jan 10, 2012","Jan 10, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Here is another book that came up on my Facebook memory that I thought I had already posted to my Goodreads s. But since I had not, I am doing sHere is another book that came up on my Facebook memory that I thought I had already posted to my Goodreads s. But since I had not, I am doing so now. Sometimes getting someone to smile isn’t as easy as we would like anyone to believe especially a baby. And in this case as we look at baby Emmie we can see that she is different than the faces of her relatives. So, what will it take for her to finally smile, to recognize that all the faces that now surround her, love her and accept her, just as she is. Although the word adoption is never mentioned in the book, you get a sense that Emmie is different – but acceptance is clearly the message conveyed throughout the pages. Keep turning the pages with your child as you read this lovely illustrated tale and get your child to smile with silly faces and the eventual trick used that helps Emmie see how loved she truly is. A beautiful story provided by the authors for our Little Free Library Shed. ...more",Notes are private!,0,4,1,not set,"Apr 10, 2024","Apr 10, 2024",,Paperback,view (with text),/book/show/14502054-making-emmie-smile
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What are Microscopes?,"Weisberg, Ellen*",1647648971,9781647648978,1647648971,38        pp,4.33,3,unknown,"Feb 20, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Catching up...This was read quite a while ago. It came up as a Facebook memory. I thought I had already included it on Goodreads, but since I hadn't, Catching up...This was read quite a while ago. It came up as a Facebook memory. I thought I had already included it on Goodreads, but since I hadn't, I will now. Sometimes even a complicated scientific tool needs an easy explanation for a child, and this book does it in pictures and words, as well as humor. If science seems intimidating to a young one, let them be introduced to microscopes through this fun book first. Watch them find ease in learning quickly through this little book. This was a wonderful donation by the authors to our Little Free Library Shed. ...more",Notes are private!,0,6,1,not set,"Apr 10, 2024","Apr 10, 2024",,Paperback,view (with text),/book/show/58914946-what-are-microscopes
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenth Circle,"Picoult, Jodi*",074349671X,9780743496711,074349671X,387        pp,3.53,"130,888","Mar 07, 2006","Oct 24, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Catching up…I debated whether I wanted to re-visit this book and add my  to Goodreads. Why? Well, this one has a multitude of triggers. And for Catching up…I debated whether I wanted to re-visit this book and add my  to Goodreads. Why? Well, this one has a multitude of triggers. And for many, with these kind of triggers, it may make it difficult to read. Still, as harrowing as the subject matter may be, as readers we may be more inclined to say, “well, this is perfect as a book discussion selection because it has all the elements necessary to address issues not easily talked openly about amongst families.” So, let me just lay the “trigger” issues out upfront. Because even if they may be considered spoilers, (which I don’t like revealing), if I didn’t share them in this , I would feel irresponsible. Triggers: rape, suicide, homicide, promiscuous sexual games by 14-year-olds, infidelity by mothers, assault by fathers, and dead childhood friends.Okay, I said it. Heavy, right?Now the story deals with childhood/adolescent struggles of growing up, broken families, disappointments with father figures. And obviously some horrific other issues, as I mentioned above. But Picoult typically is a sensitive writer. And she did her research with her location writing and attention to detail about the Alaskan Yup’ik tribe. And, there is an interesting element with comic book superheroes in which Picoult uses a comic strip at the end of each of her chapters (fictionally drawn by the father, as a way to tell a story, too). As complicated as everything sounds, the story finds its way to a somewhat satisfactory ending. Not easily. Still, it is clearly, a Jodi Picoult story. But to be honest, it wasn’t an easy one to read the first time, and definitely not an easy one to re-visit in order to write this . Also, in a final note from the author, she shares that the letters embedded in the comic book drawings spell out a quotation that expresses the theme of the book when they are put together. I’ve included the quote below. Maybe that too, can be addressed in a book group discussion, as well. Certainly, the book discussion questions provided by the author/publisher might help with this story?But…when a book is this hard to read, maybe it is better just not to read it. I sincerely am conflicted. Thoughts?2.5 stars rounded up. ...more",Notes are private!,21,45,1,not set,"Apr 09, 2024","Apr 09, 2024",,Paperback,view (with text),/book/show/10909.The_Tenth_Circle
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder Beyond the Pale        (Jesse O'Hara, 2)","Church, Wendy*",1957957395,9781957957395,1957957395,336        pp,4.00,49,unknown,"Feb 13, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What better way to spend time in an Outpatient Center waiting lobby than to read a book. No worries, my husband was just having a routine procedure (aWhat better way to spend time in an Outpatient Center waiting lobby than to read a book. No worries, my husband was just having a routine procedure (and all went well). Apparently, this is the second in the series. But this didn’t even feel like a series, so, in my opinion, it can be read as a stand-alone. As a short book, less than 300 pages, it moved at a quick pace. As readers we are following the main protagonist, Jesse O’Hara who has a photographic memory and a quick wit for trouble that leads her into exactly that in the midst of Ireland’s dangerous criminal underbelly in search of a kidnap victim. Will she be able to find her in time – or will she create more trouble for herself?Jesse O’Hara is an unconventional woman protagonist with a foul mouth, who has a bit of a hangover now and again, which made her less than a likable character for me.So, I will have to be honest, this will not be a series, I will be returning to in the foreseeable future. ...more",Notes are private!,3,24,1,"Apr 06, 2024","Apr 09, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/151889552-murder-beyond-the-pale
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wrong Victim        (Quinn & Costa, #3)","Brennan, Allison*",0778312305,9780778312307,0778312305,453        pp,4.17,"5,180","Apr 26, 2022","Apr 26, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It was Saturday and I only had one book on my shelf, Ghosts, and I was coming to the end of it. I have since posted my  of Ghosts. But if you miIt was Saturday and I only had one book on my shelf, Ghosts, and I was coming to the end of it. I have since posted my  of Ghosts. But if you missed it, here it is: https://www.goodreads.com//show... I was chatting with my husband and said, “the public library will be closed until Tuesday. I need some books before they close, especially since I will be taking you in for your procedure on Tuesday and will be in the waiting room for hours.” Well, it was obvious what we needed to do! So off to the local library we went. I had 45 minutes before closing to find some books. I was thrilled to find two of Allison Brennan’s books. I hadn’t read one of hers since her book, “The Third to Die” Review here: https://www.goodreads.com//show.... I was excited to find this book.And of course, finding this one with such an ominous title, made it even more appealing. Let alone the setting of Friday Harbor, Washington. I knew I was in for a special read. Have you been to Friday Harbor, Washington ever? This was one of our favorite places to travel. Friday Harbor is located midway along the eastern shore of San Juan Island, on the northernmost stretch of Puget Sound and situated between Canada’s Vancouver Island and the Washington State mainland, closest to Seattle. It is a beautiful marina with day hiking and biking and easy walking. The town is about one mile wide and two miles long on an island of about 55 square miles. Why mention this? Because this book is as scenic as its story. And it will be important to feel the location and size as much as it will be to get a sense of the characters and setting. This is actually the 3rd in the series. The first in the series is the one I mentioned above. “Tell No Lies” is the 2nd in the series. To be honest, it had been so long since I read the first book, when I began reading this one, I thought I was reading a stand-alone. I had completely forgotten about the first book, until I was half way through this one. So, there is something to be said about how an author can bring us a long making us believe we know the characters so well, we are feeling comfortable with them.*But, my note at the end will be important to the overall . I’ll just save it for the end. As I mentioned this is the 3rd in the series about LAPD detective Kara Quinn now working with the FBI, alongside, FBI agent Matt Costa, her boss. This will be a complicated relationship. Which may or may not frustrate readers.There are protestors on the dock as several people are seen boarding a charter boat: Rich people. A retired FBI agent who happens to work this charter boat part-time. Employees on this boat. People employed by a company.Some employees are not supposed to be on this cruise, and trade places – thus they may have been expected to work that shift but something came up. Or some persons may have been expected to be on the boat, but opted not to for whatever reason. So, when the boat blows up, and there are nine victims, there are several suspects as to who could have been responsible. Thus, the case is complex with many layers. Could it be tied to the protestors who were just outside the dock prior to the explosion? Or the retired FBI agent that was on board? Or the rich young widow whose husband was killed in the explosion? Or the people who were part of the company? Or could this explosion have been tied to a cold case?And then there are more bombings. Another murder. And a kidnapping. What is going on and why? The local police and the FBI are involved and there are many twists and turns that are taken to get to the truth. But just when you think you know who could have done it something else occurs that leads readers in a new direction. The police procedurals and forensic evidence gathering made this an interesting read. And if you enjoy thrillers, with flawed yet hard-working characters in a twisty plotted story that will make sense by the end, this may be considered a somewhat imperfect mystery. *Still, as I have come to learn with any series, it is probably best to read all series in order. As I said, it took me getting through half the book, to realize I was in the series, and had actually read book 1, but missed book 2. I have now ordered book 2, so I can see what I missed. It may be best not to read this one without reading 1 and 2 first. You will have a better understanding of the main characters history when you do....more",Notes are private!,0,12,1,"Apr 06, 2024","Apr 08, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/58293772-the-wrong-victim
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Notorious        (Max Revere, #1)","Brennan, Allison*",1250035058,9781250035059,1250035058,336        pp,3.86,"5,781","Mar 25, 2014","Mar 25, 2014",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The story starts in the past with a murder. Fast forward to the present – 10 years later. And the one who was accused of her murder, but never convictThe story starts in the past with a murder. Fast forward to the present – 10 years later. And the one who was accused of her murder, but never convicted, is now dead from apparent suicide. What is going on here?Max Revere is a nationally renowned investigative reporter, well-known because she has her own successful crime TV show. Her friend 10 years ago, was the one who was murdered, and it was her best friend who was accused. But she stood by him, and now his sister is asking her to come to his funeral. The sister doesn’t believe he has committed suicide and wants Max to investigate what really happened to him, especially since he was still looking into their friend’s death from 10 years ago.Also, while Max has arrived back home, she is asked by an elderly couple to investigate the death of their grandson who went to the same Atherton Prep School, who was murdered just 5 months earlier, and whose death is heading towards becoming a cold case. Can Max finally find closure for the death of her friend from the past? Did her troubled friend really commit suicide? And, who killed this couple’s grandson? And, are any of these deaths related? So, who did it and why? And as readers, we wonder along with Max as she investigates. We think we know, and we are sure we know. But…the more she unravels, the more uncertain we become, because that is the cleverness of Brennan’s writing…she knows just how to throw a curve and a twist and keep us wondering…could it be…that one? Or is it really this?An excellent twisty mystery with a hint of romance, that will keep readers going right up to the last page....more",Notes are private!,2,28,1,"Apr 06, 2024","Apr 10, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/17934483-notorious
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Shoe Story,"Rosen, Jane L.*",0593102118,9780593102114,0593102118,336        pp,4.06,"4,273","Jun 28, 2022","Jun 28, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Every pair of shoes tells a story.” They were dark charcoal gray knee-high UGG boots. I loved those UGG boots. I remember when they went on sale at N“Every pair of shoes tells a story.” They were dark charcoal gray knee-high UGG boots. I loved those UGG boots. I remember when they went on sale at Nordstroms when I lived in Southern California. I had saved my dollars so I could buy them. They were the thing! They were perfect when I moved to the Central Coast. So warm and cozy to wear on wintry cold days. And one day while I was visiting my horse Buddy that I had at the time, I was wearing those very same UGG boots. And then…Buddy moved left when I wasn’t paying attention (shame on me) and he stepped on my left foot and ended up tearing open my UGG boot. I don’t know what I was more upset about – the torn UGG boot or the torn/strained tendon in my foot. I loved those UGG boots. I was heartbroken when I realized that they were irreplaceable. But those boots have nothing to do with this story. I just thought the first line, brought that memory back for me. “One day at a time.” No, this is Esme’s story. About dreams shattered and changed when a car accident kills her mother and makes her father a paraplegic. So instead of celebration on her college graduation day, she finds herself for the next 7 years taking care of her father and losing herself. After he dies, this becomes Esme’s opportunity for self-discovery. And through her love of shoes, she takes a month, and baby-sits a dog named Elvis and finds a way to reconcile the past, discover her future, and learn about herself, so that she can create the life she truly deserves. “You are my north.” “You are my north, my south, my east, and my west.” But, will she find her happily ever after?With a deeply developed cast of characters, that have their own heart-wrenching stories to tell, this is a true gem of a story that will keep any reader wanting to stay with it from the moment they pick it up. And perhaps have memories about favorite shoes, too!...more",Notes are private!,0,13,1,"Apr 06, 2024","Apr 10, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/59575932-a-shoe-story
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moriarty Returns a Letter        (Baker Street Letters, #4)","Robertson, Michael",1250016460,9781250016461,1250016460,263        pp,3.62,635,"Jan 28, 2014","Jan 28, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Here is the good news. This is a short book. And it is a Baker Street Mystery. Which implies that it has a Sherlock Holmes flair to it and it is a serHere is the good news. This is a short book. And it is a Baker Street Mystery. Which implies that it has a Sherlock Holmes flair to it and it is a series. Brothers Reggie and Nigel Heath rent 221B Baker Street with the understanding that they are expected to answer the fan mail letters to the infamous Sherlock Holmes. And of course, what typically happens, is that sometimes a letter arrives that puts them onto a case. As long as you aren’t looking for Sherlock Holmes brilliance, readers won’t be disappointed. The dialogue is rather quirky, the characters are flat, but easily likable. The plot and ending were predictable and anti-climatic. And the setting was fine.Still, this story is written with charm, in a cozy cute and predictable sort of way that made the story more entertaining than mystery-worthy. So, what is next for this reader? I think this is it for me. How about you?...more",Notes are private!,6,12,1,"Apr 06, 2024","Apr 08, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/17934431-moriarty-returns-a-letter
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"128,754","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 06, 2024",not set,"Apr 06, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anam Cara: A Book of Celtic Wisdom,"O'Donohue, John",006092943X,9780060929435,006092943X,234        pp,4.30,"9,677","May 01, 1996","Oct 21, 1998",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“The heart is the inner face of your life. The human journey strives to make this inner face beautiful. It is here that love gathers within you. Love “The heart is the inner face of your life. The human journey strives to make this inner face beautiful. It is here that love gathers within you. Love is absolutely vital for a human life. For love alone can awaken what is divine within you.” Catching up…This is one of those books that is with you, that you pick up and read as you need it when you need it. And so, even as I  it, I share with you, that this book has been with me for years. It is ageless to me. I started reading it slowly years ago. Then I read it cover to cover years ago. I still read it. It is an old book to me. It is a new book to me. I always see it with fresh eyes every time I open its pages. And so, if you find this book, it may be one that once you get it, you may be like me. You may choose not to let it go. Listen closely to his opening words…“It is strange to be here. The mystery never leaves you alone. Behind your image, below your words, above your thought, the silence of another world exists. A world lives within you. No one else can bring you news of this inner world.” If I were to even begin to attempt to interpret his thoughts, I would consider that he is asking us to go within. To recognize what is in each of us. To see the true artist within each of us. How can we not be mesmerized by what he sees within each of us? Or what he is asking each of us to see that exists within us?This book taps into the richness of Celtic spirituality, poetry and stories. He explores friendship, awareness, and intimacy. Our senses. Our soul. He asks us to recognize the aging process as living in rhythm with our soul and our life. Even looking at life all the way through to his last chapter as we affirm death and see it as an invitation to freedom. There is so much to appreciate about his words. He is truly stirring our soul and stoking the fires of our imagination. He reminds us of the precious gift of present moment living.Most the time my books are read and ed and released to my Little Free Library Shed. But this one evokes a different and deeper meaning for me. And so, it stays with me. Where I can read it again and again. As I need it, when I want it.The words continue to resonate with me and remind me of the preciousness of life. The gift of what we have been given. And what comes back each time for me is a feeling of immense gratitude. I am grateful for this life. “The passionate heart never ages.”...more",Notes are private!,7,32,1,not set,"Apr 06, 2024","Apr 06, 2024",,Paperback,view (with text),/book/show/74445.Anam_Cara
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Awakening: Having the Life You Want by Being Present to the Life You Have,"Nepo, Mark",1573245380,9781573245388,1573245380,456        pp,4.21,"9,880","May 31, 1999","Oct 01, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“I see you! I am here!” Catching up…I read this one years ago, and now I am bringing my  to Goodreads.I confess, before streaming, and when Opra“I see you! I am here!” Catching up…I read this one years ago, and now I am bringing my  to Goodreads.I confess, before streaming, and when Oprah had her television show, I use to DVR it and would love to watch it when I got home from work. And I remember when she featured the author and his book. So, who didn’t run out and buy this book when Oprah mentioned it? It was a birthday gift to her, and now she made him and his book famous. Well, if you were too young when this happened, let’s just say that is what occurred with a whole generation at one time. And it wouldn’t have been a bad decision. Even if it was one of Oprah’s all-time Favorite Things, his collection of reflections were truly gentle wake-up calls for anyone needing positive reminders for the life they wanted to live each day. As a poet and philosopher, and cancer survivor, Nepo devoted his work to wholeness of mind, body and spirit. He shared that this daybook should be seen as a “spiritual sonnet of our age, a sturdy container for small doses of what matters.” This daybook which covers the whole year, is an intimacy to all things. It is filled with an appreciation for tears, the art of letting go, friendship, the broken heart, healing, patience, and all the connections that link people with each other. Also, for each day of the year there is an opportunity to read a daily inspiration, practice a breathing or meditation exercise and/or appreciate a suggestion on what you can do to just contemplate the day. This book helps readers in a way that speaks directly to the heart about the beauty, bounty and blessings of life. And sometimes it is nice to have that daily reminder....more",Notes are private!,11,24,1,not set,"Apr 06, 2024","Apr 06, 2024",,Hardcover,view (with text),/book/show/11135801-the-book-of-awakening
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kingdom of the Blind        (Chief Inspector Armand Gamache, #14)","Penny, Louise*",1250066204,9781250066206,1250066204,389        pp,4.33,"62,170","Nov 27, 2018","Nov 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Catching Up…Having read this when it first came out, I am now re-visiting this book and bringing my  to Goodreads.This story starts with a senseCatching Up…Having read this when it first came out, I am now re-visiting this book and bringing my  to Goodreads.This story starts with a sense of menace. It is a dark, snowy morning when Gamache comes upon an old broken-down farmhouse in an isolated area in the village of Three Pines. The scene is so well-written, it is as if we need to put on a warm jacket, knowing that within moments we are going to feel the approaching blizzard, and we too need to get warm. Apparently, Gamache and 2 others have been purposely summoned to this place because they are the designated executors of the will of the recently deceased person who once lived there. What is going on here? We are also dealing with some loose ends from what occurred in “Glass Houses.” So, if readers did not read Penny’s previous book in the series, don’t even begin this book without having read that book, first. There is much to decompress within this story – to finish what occurred from the last book, as well as solve the mystery of what Gamache has just walked into at this farmhouse. So, is it possible that the darkness surrounding our beloved characters, isn’t just weather?Penny has a deep love for her ongoing characters. In this story, we find our characters navigating their way through a complicated world. She creates situations with emotional depth, and for any reader who has patience, the love can be contagious. Although sometimes finding the patience can be difficult for some. This is a character driven story with a couple of storylines to follow and several twists. And as a mystery reader who loves this series, what more could we ask for? Well, maybe a little more patience. But that would be asking that of me, wouldn’t it?!...more",Notes are private!,7,33,1,not set,"Apr 05, 2024","Apr 05, 2024",,Hardcover,view (with text),/book/show/38232379-kingdom-of-the-blind
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghosts,"Alderton, Dolly",0593319850,9780593319857,0593319850,320        pp,3.89,"105,506","Oct 15, 2020","Aug 03, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Dolly Alderton’s day job is as a Sunday Times columnist. This was her fiction debut. Her chosen topic is her fictional protagonist, Nina Dean, a wittyDolly Alderton’s day job is as a Sunday Times columnist. This was her fiction debut. Her chosen topic is her fictional protagonist, Nina Dean, a witty, British, food columnist cookbook author who owns a charming apartment in Archway who is ready for a meet-cute. The reason for the title, Ghosts, is because this is a story about dating, and being ghosted after signing up on a dating app looking for love. Instead of love she gets 27 conversations with 27 different suitors. And when she thinks she finds the “one” with Max, “poof” he disappears. Thus, the universal “I’ve been ghosted” moves occur. So, what does that mean exactly? Is he alive? ✔Is he posting on social media? ✔Can she come to terms with it and move on? ✔But what happens when Max chooses to return? Alderton does a good job of showing what single life looks like for a woman of 30+ against a married woman with babies comfortably tucked away in the suburbs. The message of ghosting is more than a dating metaphor. It also plays into the story of an aging parent as they are losing their mind and becoming a ghost. What happens with the father character is probably the saddest ‘ghosting’ that occurs in this story. Alderton tells her story with humor and grace. She gives us the highs and lows and pitfalls of online dating. Singles vs marrieds. The difficulties of caregiving. The sadness of loss of mind and the impact on families. And, makes us truly wonder if our person is really find-able on that app....more",Notes are private!,16,49,1,"Apr 04, 2024","Apr 07, 2024","Apr 04, 2024",,Hardcover,view (with text),/book/show/56098206-ghosts
