,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bianca's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Frozen River,"Lawhon, Ariel*",0385546874,9780385546874,0385546874,432        pp,4.48,"57,774","Dec 05, 2023","Dec 05, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had to DNF, despite listening to over 6 hrs of this overly long novel.Many of my GR friends loved this novel so I was sure I'd love it to. UnfortunaI had to DNF, despite listening to over 6 hrs of this overly long novel.Many of my GR friends loved this novel so I was sure I'd love it to. Unfortunately, that wasn't the case. Early on, my antennas were raised, first, it was the very modern language and concepts that felt off to me. I had to double check that it wasn't one of those dual time novels and that I wasn't listening to a modern day section. It's all set in the eighteenth century. The first obvious anachronism - the use of the term vernix to describe the film many newborns are covered in when coming into the world. I'm annoying like that and googled, apparently, ""the term 'Vernix caseosa' first appeared in 1846 in the Dunglison dictionary of Medical Sciences.""I continued on. Our heroine is Martha Ballard, a fifty-four year old midwife, who sounded like a modern-day woman, the way she was challenging the status-quo, the men and the entire society was so outside of anything I could believe, it really irked me. This is yet another so called ""historical fiction"" that doesn't care much about history, fact and takes lots of liberties. I find it more jarring and frankly insulting, when we have google at our fingertips.The husband, whatever his name was, a carpenter, was so unbelievable, even if he had been a contemporary man. Were people French kissing in the 18th century? While we don't know for sure people's proclivities, it's unlikely they would do that when cleanliness was dubious. Speaking of cleanliness, Martha knew about disinfecting wounds back then? I can't be bothered to search, but I'm dubious.Irrespective of all these many anachronisms, the liberties taken with language and people's behaviours and the fact that Martha was better than everyone in so many respects irked me big time. I'm a feminist, I'm passionate about reinstating, reviving the ""forgotten women"", but we don't need to go so over the board, even if it's fiction. ...more",Notes are private!,12,22,1,"Mar 12, 2024","Mar 13, 2024","Mar 12, 2024",,Hardcover,view (with text),/book/show/112975658-the-frozen-river
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Details,"Genberg, Ia",0063309718,9780063309715,,128        pp,3.90,"9,997","Jan 07, 2022","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Hardcover,view,/book/show/63313297-the-details
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Emergency Exit Only,"Upton, Michelle*",1460764315,9781460716342,B0C6VJ71WD,352        pp,3.98,448,unknown,"Dec 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Amelia, a thirty-five-year-old accountant, fears many things, therefore she always plays it safe. A collision with a scooter and a contusion pushes heAmelia, a thirty-five-year-old accountant, fears many things, therefore she always plays it safe. A collision with a scooter and a contusion pushes her to quit her secure but boring job.With no savings (something that didn't make sense for her personality and age - but I digress), Amelia moves in with her scatterbrained mother who lives in a cluttered house, which drives Amerlia crazy, but beggars can't be choosers.How's Amelia supposed to know what she wants to do next when she pretty much had the same job after finishing university? She decides to try different jobs, so she takes on different work-experience gigs - working in a surfboard shack, a florist's shop, as a teacher's assistant, in wedding planning and volunteering at the zoo, while also writing articles about her experiences as an adult trainee for a prestigious magazine (we all know it's easy to get freelance writing gigs with no experience, insert sarcasm ;-)).The realist I grumbled at times at all the opportunities that came Amelia's way, especially when it came to certain work experience areas that are difficult to get into even as a volunteer. Who doesn't love a good heroine growth journey, right? This one had plenty of growth, to the point that Amelia became a completely new person - nobody changes that much, and certain traits and characteristics are ingrained, otherwise, we'd all be perfect if changing was that easy. It's not all fluff, there is also a family secret. The love interest dude was OK.This has the makings of a nice rom-com or a mini-series....more",Notes are private!,4,11,1,"Mar 10, 2024","Mar 10, 2024","Mar 10, 2024",,Kindle Edition,view (with text),/book/show/171090631-emergency-exit-only
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Mother,"McCann, Colum*",,9798985882452,B0BSPDNQXT,256        pp,4.27,234,unknown,"Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 09, 2024",,Hardcover,view,/book/show/129807687-american-mother
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Renaissance,"Fish, Susan*",1640608737,9781640608733,1640608737,224        pp,4.25,20,unknown,"Sep 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It must have been the cover and the fact that it was labeled as literary that drew me to select this audiobook.Renaissance is narrated by a Canadian wIt must have been the cover and the fact that it was labeled as literary that drew me to select this audiobook.Renaissance is narrated by a Canadian woman, on the cusp of turning fifty, who's spending five weeks in a monastery in Florence, Italy. For most of this short novel, there is foreshadowing about the reason the narrator feels lost, out of sorts. We find out she's an empty nester, as her three boys had left their home in pursue of degrees and lives as adults. She loved being a mother, she identified herself as a mother, even though she had been working in different roles that mostly centred around caring for others.For the most part, I really enjoyed the novel, as someone of similar age, albeit still with teenagers at home, I could understand her, empathise, sympathise.Of course, the descriptions of Florence, the art, the foods were enticing as well.Then, the revealed reason for feeling betrayed kind of angered me - let's just say that religious, Christian vibes were amped up big time, I won't say more for fear of spoilersGenerally speaking, this intenseley navel-gazing novel appealed to me, then I found myself cussing annoyed with the reveal, but I'm self aware enough to recognise it's a me problem.I'm pretty sure Rachel McKendree's beautiful voice kept me going as well....more",Notes are private!,17,21,1,"Mar 07, 2024","Mar 08, 2024","Mar 07, 2024",,Paperback,view (with text),/book/show/123009982-renaissance
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invincible Summer of Juniper Jones,"McQueen, Daven*",1989365167,9781989365168,1989365167,312        pp,4.46,"3,073","May 05, 2020","Jun 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 07, 2024",,Paperback,view,/book/show/53805921-the-invincible-summer-of-juniper-jones
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Free Love,"Hadley, Tessa",0063137771,9780063137776,0063137771,304        pp,3.56,"5,052","Jan 06, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Mar 07, 2024",,Hardcover,view,/book/show/57992949-free-love
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautyland,"Bertino, Marie-Helene*",0374109281,9780374109288,0374109281,336        pp,4.26,"2,286","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2024",,Hardcover,view,/book/show/127282939-beautyland
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,724","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/139400713-martyr
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Dreamed of Empires,"Enrigue, Álvaro",059354479X,9780593544792,,240        pp,3.92,"1,877","Oct 13, 2022","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/127938747-you-dreamed-of-empires
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Intermezzo,"Rooney, Sally*",,,,unknown,4.44,9,"Sep 24, 2024","Sep 24, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/209311051-intermezzo
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Absolutely and Forever,"Tremain, Rose",1784745200,9781784745202,B0C13K6GT7,177        pp,3.93,"1,913","Sep 21, 2023","Sep 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Absolutely and Forever is a short novel narrated by Marianne Clifford, who at just fifteen falls crazy(ly) in love with the handsome eighteen-year-oldAbsolutely and Forever is a short novel narrated by Marianne Clifford, who at just fifteen falls crazy(ly) in love with the handsome eighteen-year-old, Simon. Oh, the agony of the first love. The mature me got irked by it, telling her to get a grip, asking myself was I that pathetic and obsessed? Very likely. The two become an item for a little while, but then Simon moves to Paris. We follow Marianne's life, as she attempts to finish a secretarial college in London, as she dates again and just finds herself directionless, letting things and life happen, including when it comes to partnering. Then she finds herself married to a man whom she doesn't love, but she was expecting a child and it was the sixties. Class, parenting, gender roles, and the stiffness of English relationships, are some of the motifs that gently emanate from the novel. The main one for me was about gender roles, women's lack of autonomy, and the lack of expectations for themselves, besides marrying well. This short novel was beautifully written and the conclusion was surprising....more",Notes are private!,10,20,1,"Feb 28, 2024","Mar 02, 2024","Feb 28, 2024",,Kindle Edition,view (with text),/book/show/74951746-absolutely-and-forever
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lonely City: Adventures in the Art of Being Alone,"Laing, Olivia*",1250039576,9781250039576,1250039576,336        pp,3.92,"28,456","Mar 01, 2016","Mar 01, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First, I'd like to thank my GR friends for bringing this book to my attention. Second, I'm grateful to the public library system for having this in itFirst, I'd like to thank my GR friends for bringing this book to my attention. Second, I'm grateful to the public library system for having this in its collections.I've never been to New York, unless the US changes big time, I don't see myself making the effort, which is a shame, as there are so many things I wouldn't mind seeing and experiencing (museums and the food scene, in particular). But never say never ...Back to the book. Laing moved to New York in her mid-thirties and found herself feeling utterly lonely even though she was surrounded by so many people. Does one feel more lonely when one is in proximity to so many people? Laing ponders these questions and then she starts looking at some New York-based artists and their art and lives, with Andy Warhol featured greatly - I'm guessing he's a favourite of hers, not to mention there was plenty of material about him, from him, which made the elusive attempt of ""knowing him"" somewhat easier. She also brings into the mix the famous Edward Hopper - best known for his paintings depicting loneliness and loners in the big city. A few other artists and their art and lives were also interspersed throughout - some I'd heard of, some were introduced to me for the first time - Henry Darger, Valerie Solanas, David Wojnarowicz and a few more. Vivian Maier, one of my favourite street photographers, was briefly mentioned, and so was Billie Holliday (I had no idea about her traumatic and tragic life). To be honest, the only small grumble I had with this book was that there weren't more women featured - even though I get why.There is a commonality between all these artists - they were different, queer, non-caucasian, many had mental health issues, survived childhood traumas, some probably were on the autism spectrum. Laing argues excellently that being different in any way very likely enhances one's detachment from society, in many cases, the members of society ignore and push away the unknown, the uncomfortable, the strangeness, the unconforming. While New York and the artists feature greatly, I would be remiss not to mention the writing which was of the highest level, each sentence was beautifully crafted - I was in awe. Of course, that prompts to seek more works by Laing....more",Notes are private!,30,28,1,"Feb 26, 2024","Feb 29, 2024","Feb 26, 2024",,Hardcover,view (with text),/book/show/25667449-the-lonely-city
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Moonrise Over New Jessup,"Minnicks, Jamila",1643752464,9781643752464,1643752464,336        pp,3.86,"1,861","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/60831915-moonrise-over-new-jessup
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fugitive Pieces,"Michaels, Anne",1408891352,9781408891353,1408891352,304        pp,3.92,"16,351","May 11, 1996","Sep 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/36224723-fugitive-pieces
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Things,"Gray, Alasdair",0747562288,9780747562283,0747562288,318        pp,4.00,"20,371",1992,2002,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I watched and loved the movie Poor Things, which I thought was brilliant. It had been a long time since I loved a movie that much. Reading about it, II watched and loved the movie Poor Things, which I thought was brilliant. It had been a long time since I loved a movie that much. Reading about it, I discovered it was inspired/adapted from a novel by Alasdair Gray, a writer I hadn't heard of.Of course, I had to read the book. I'm glad that I did as the novel had so many more facets than the movie - and I'm not one of those people who expect the screen adaptations to be exact representations of the text that inspired the script. This novel was original and had so many things that appealed to me: a strong, interesting female character, feminist themes, anti-colonialism, anti-patriarchy, and anti-religion. Gray played beautifully with form and the changes in PoVs worked well to unfold the story, I was surprised, to say the least, by how the novel ended. I hope I get the time and disposition to read the book in print, as I wasn't as taken with the narrators, I don't know why, they did a decent job.After having read the book, I'm even more in awe of Yorgos Lanthimos and Tony McNamara for how they adapted the novel. In saying all that, there is room for another adaptation - perhaps a mini-series that will be closer to the novel, as there's so much great material.Anyway, I urge you to read the novel and watch the movie, in whatever order, although, as far as I'm concerned, I'm glad I did the movie first. ...more",Notes are private!,16,26,1,"Feb 22, 2024","Feb 25, 2024","Feb 22, 2024",,Paperback,view (with text),/book/show/72355.Poor_Things
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We All Want Impossible Things,"Newman, Catherine*",0857528998,9780857528995,0857528998,224        pp,4.01,"28,329","Nov 08, 2022","Jan 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a simple novel about the life-long friendship of two girls who then became women. One of them, Edi, is in hospice, dying from ovarian cancer. This is a simple novel about the life-long friendship of two girls who then became women. One of them, Edi, is in hospice, dying from ovarian cancer. The novel is narrated by Ash, her best friend. Her story weaves memories of their childhood, teenage, and younger years, and then to their marriages, jobs, and children with contemporary moments.It's a story as mundane as it comes, well known to most of us. No details are spared about the awfulness and the indignities of dying. The writing was compelling and Jane Oppenheimer's narration was perfect.It's a short novel and thank goodness for that as I became dehydrated from weeping for most of the audiobook. ...more",Notes are private!,17,21,1,not set,"Feb 20, 2024","Feb 19, 2024",,Paperback,view (with text),/book/show/61113283-we-all-want-impossible-things
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Love Dick,"Kraus, Chris",1584350342,9781584350347,1584350342,280        pp,3.49,"17,559",1997,"Jul 14, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/243991.I_Love_Dick
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Erasure,"Everett, Percival",0786888156,9780786888153,0786888156,280        pp,4.20,"11,305",2001,"Oct 02, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/355862.Erasure
