,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sve's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cure for Burnout: How to Find Balance and Reclaim Your Life,"Ballesteros, Emily",0593596315,9780593596319,0593596315,272        pp,4.24,219,unknown,"Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/185034564-the-cure-for-burnout
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brief History of Misogyny: The World's Oldest Prejudice,"Holland, Jack",,,B00OGUWSMS,317        pp,4.11,"2,353",2006,"Jun 07, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A very informative book about how women have been treated through the ages. Sadly, it offers no ideas on how to overcome misogyny, which doesn't seem A very informative book about how women have been treated through the ages. Sadly, it offers no ideas on how to overcome misogyny, which doesn't seem to be decreasing as humanity is 'developing'....more",Notes are private!,0,4,1,"Mar 02, 2024","Mar 09, 2024","Mar 02, 2024",,Kindle Edition,view (with text),/book/show/29618976-a-brief-history-of-misogyny
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Адио, каубой","Savičević Ivančević, Olja",,9789548689663,,234        pp,3.60,798,2010,2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/26124800
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Murmur of Bees,"Segovia, Sofía*",1542090490,9781542090490,B07GNCQXXB,471        pp,4.24,"64,862","Mar 01, 2015","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Kindle Edition,view,/book/show/42306076-the-murmur-of-bees
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Who Run With the Wolves,"Pinkola Estés, Clarissa",0345409876,9780345409874,0345409876,537        pp,4.13,"75,288",1992,Sep 1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/241823.Women_Who_Run_With_the_Wolves
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Извън обхват,"Черепов, Евгени",,9786191868711,,348        pp,4.38,24,unknown,Feb 2024,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Доста време чаках втория роман на Евгени Черепов и той не ме разочарова. Тази книга е наистина 'извън обхват', извън суетата на света и интернет. КатоДоста време чаках втория роман на Евгени Черепов и той не ме разочарова. Тази книга е наистина 'извън обхват', извън суетата на света и интернет. Като някаква почивка, която човек си дава, за да си подреди главата и после се връща в сивото на ежедневието една идея по-вярващ, че каквото и да се случва, все пак нещата се нареждат....more",Notes are private!,0,6,1,"Mar 23, 2024","Mar 31, 2024","Feb 18, 2024",,Paperback,view (with text),/book/show/207631210
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Да разсмееш куче и седем нови разказа,"Savičević Ivančević, Olja",,9786192590802,,204        pp,3.86,242,2006,Nov 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ако не бях срещнала случайно Русанка Ляпова на Панаира на книгата, вероятно никога нямаше да прочета тези разкази. Още едно доказателство, че понякогаАко не бях срещнала случайно Русанка Ляпова на Панаира на книгата, вероятно никога нямаше да прочета тези разкази. Още едно доказателство, че понякога книгите те намират по неведоми пътища.От сборника струи лекотата и бунтарството на младостта, а дори безнадежните и мрачни разкази са като че ли огрени от слънцето на Адриатика, пълни с обещанието за лято и надеждата, че въпреки всичко, нещата ще се наредят....more",Notes are private!,2,8,1,"Feb 15, 2024","Mar 02, 2024","Feb 15, 2024",,Paperback,view (with text),/book/show/202034442
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Възгледите на един клоун,"Böll, Heinrich",,9789545974434,,248        pp,3.94,"28,887",1963,2013,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Макар книгата да разглежда интересен исторически период, темата не успя да ми стане интересна и я зарязах малко след половината.",Notes are private!,2,4,1,"Feb 20, 2024","Mar 23, 2024","Feb 14, 2024",,Paperback,view (with text),/book/show/17455879
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Нова анатомия: Събрани разкази,"Kharms, Daniil",6191868456,9786191868452,6191868456,604        pp,4.00,18,2000,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/204675458
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Зимата през средновековието,"Бояджиев, Цочо",,9786190111658,,unknown,4.56,16,unknown,"Jan 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Paperback,view,/book/show/146223722
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kim Jiyoung, Born 1982","Cho, Nam-Joo",1631496700,9781631496707,1631496700,163        pp,4.17,"142,914","Oct 14, 2016","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/46041199-kim-jiyoung-born-1982
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Харолд и Мод,"Higgins, Colin",6192650462,9786192650469,6192650462,152        pp,4.08,"2,595",1971,"Jan 31, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Приятна и сантиментална coming of age история, всъщност сценарий за филм.",Notes are private!,0,8,1,"Feb 09, 2024","Feb 11, 2024","Feb 05, 2024",,Paperback,view (with text),/book/show/206015732
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Diabetes Code: Prevent and Reverse Type 2 Diabetes Naturally,"Fung, Jason*",,,B0795BLS8D,327        pp,4.50,"5,481","Apr 03, 2018","Apr 03, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked the book, though I found it much harder to listen to than the 'Obesity code'. Definitely fundamental in understanding the causes for diabetes I liked the book, though I found it much harder to listen to than the 'Obesity code'. Definitely fundamental in understanding the causes for diabetes and a possible dietary solution to this global pandemic (didn't realise that 1/3 of Americans are diabetic or pre-diabetic)....more",Notes are private!,1,2,1,"Feb 02, 2024","Feb 27, 2024","Feb 02, 2024",,Kindle Edition,view (with text),/book/show/38227753-the-diabetes-code
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sorrow and Bliss,"Mason, Meg*",,,146075722X,352        pp,4.10,"99,741","Sep 02, 2020","Feb 09, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"As much as I wanted to empathise with her mental health struggle I was so annoyed at the main character for playing the victim all the time, that I alAs much as I wanted to empathise with her mental health struggle I was so annoyed at the main character for playing the victim all the time, that I almost gave up reading. I finished the book out of pure stubbornness and think it could have been 100 pages shorter....more",Notes are private!,3,2,1,"Jan 28, 2024","Feb 18, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/49110165-sorrow-and-bliss
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Money,"Amis, Martin",0099461889,9780099461883,0099461889,394        pp,3.69,"23,575",Jan 1984,"May 02, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/18825.Money
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,London Fields,"Amis, Martin",,,0099748614,526        pp,3.68,"12,515",1989,Feb 2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/18830.London_Fields
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Тук живее Йожи,"Радулова, Надежда",6191868642,9786191868643,6191868642,184        pp,4.54,13,unknown,"Dec 05, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Точно от такава книга имах нужда в януарския мрак - топла, вълшебна, сантиментална и поетична. Искам още!",Notes are private!,0,6,1,"Jan 25, 2024","Jan 28, 2024","Jan 23, 2024",,Paperback,view (with text),/book/show/203261604
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Courage to Be Disliked: The Japanese Phenomenon That Shows You How to Change Your Life and Achieve Real Happiness,"Kishimi, Ichiro",1982107073,9781982107079,B07GNTR4TX,289        pp,4.00,"75,166","Dec 12, 2013","Jan 01, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,5,1,"Jan 08, 2024","Jan 31, 2024","Jan 08, 2024",,Kindle Edition,view,/book/show/41641923-the-courage-to-be-disliked
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Broad Strokes: 15 Women Who Made Art and Made History,"Quinn, Bridget*",,,B072N9F6V4,6        pp,4.27,"1,812","Mar 07, 2017","Jul 04, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,Jan 2024,"Jan 06, 2024",,Audible Audio,view,/book/show/52225331-broad-strokes
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fast Like a Girl,"Pelz, Mindy",1401969925,9781401969929,1401969925,336        pp,4.26,"7,680",unknown,"Dec 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/61369435-fast-like-a-girl
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Всичко това можеше да е твое,"Klougart, Josefine",,9789548692854,,380        pp,3.83,275,"Oct 28, 2021",2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/123251219
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Дом за свиждане,"Amis, Martin",9545972610,,,242        pp,3.41,"2,611","Sep 18, 2006",2006,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Интересен стил , който в началото ми беше приятен, после безумно ми досади. Мисля, че това, че действието се развива в трудов лагер не помогна четенетИнтересен стил , който в началото ми беше приятен, после безумно ми досади. Мисля, че това, че действието се развива в трудов лагер не помогна четенето да върви лесно. Измъчих се с тази книга и я влачих както се влачи януари. През цялото време си задавах въпроса, който и Yellowface поставя - чие е правото на разказване на истории и може ли един британец да разказва за Русия като руснак. Малко арогантна ми беше тази гледна точка 'отвън' към зверствата на сталинизма. ...more",Notes are private!,0,6,1,"Jan 12, 2024","Jan 24, 2024","Dec 17, 2023",,Paperback,view (with text),/book/show/7672235
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Градината на заминалите си котки,"Karasu, Bilge",,9789548692908,,338        pp,4.27,977,1979,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Paperback,view,/book/show/202085950
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Еликсир,"Kassabova, Kapka*",6191868537,9786191868537,6191868537,506        pp,4.15,125,"May 16, 2023",Dec 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2023",,Paperback,view,/book/show/203336674
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Квартал Петте кьошета,"Vargas Llosa, Mario",6190201059,9786190201052,6190201059,256        pp,3.48,"7,549",Mar 2016,Oct 2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Добрият разказвач си е добър разказвач дори в по-слабите си книги.,Notes are private!,0,10,2,Dec 2023not set,"Dec 08, 2023not set","Dec 01, 2023",,Paperback,view (with text),/book/show/36363254
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,525","May 02, 2023",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellness,"Hill, Nathan",0593536118,9780593536117,0593536118,607        pp,4.01,"33,126","Sep 26, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Hardcover,view,/book/show/65650229-wellness
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Psychology of Money,"Housel, Morgan",,,,252        pp,4.33,"177,061",2020,"Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 01, 2023",,Paperback,view,/book/show/41881472-the-psychology-of-money
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,336        pp,3.80,"428,392","May 25, 2023","May 16, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Frankly, I'm impressed.Frankly, I'm impressed....more",Notes are private!,5,11,1,"Dec 29, 2023","Jan 07, 2024","Nov 29, 2023",,Hardcover,view (with text),/book/show/62047984-yellowface
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Пържени зелени домати,"Flagg, Fannie",,9789546554062,,416        pp,4.28,"306,604",1987,"Jun 17, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 11, 2023","Dec 23, 2023","Nov 20, 2023",,Paperback,view,/book/show/18008523
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Bold Move a Day: Meaningful Actions Women Can Take to Fulfill Their Leadership and Career Potential,"Hocking, Shanna A.",1264278071,9781264278077,1264278071,224        pp,4.16,50,unknown,"Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/61666311-one-bold-move-a-day
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,За неизбежната случайност,"Ланджев, Иван",,9786191868315,,268        pp,4.03,264,unknown,May 2023,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Без съмнение много добре написана книга, от която има доста какво да се научи. Има немалко сентенции, които могат да се използват като демонстрация наБез съмнение много добре написана книга, от която има доста какво да се научи. Има немалко сентенции, които могат да се използват като демонстрация на интелект в разговор. Но почти не ме докосна емоционално. ...more",Notes are private!,0,12,1,"Jan 30, 2024","Feb 07, 2024","Nov 15, 2023",,Paperback,view (with text),/book/show/159560682
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ане,"Панайотова, Камелия*",,9786191868544,,200        pp,4.54,54,unknown,Nov 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 09, 2024","Jan 21, 2024","Nov 14, 2023",,,view,/book/show/202007706
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Човек без куче        (Барбароти, #1)","Nesser, Håkan",,9789543572755,,456        pp,3.57,"4,116",2006,2015,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Неочаквано за мен тази книга така ме увлече, че се оказа че съм чела няколко часа без прекъсване, което не ми се беше случвало отдавна. Не е връх на жНеочаквано за мен тази книга така ме увлече, че се оказа че съм чела няколко часа без прекъсване, което не ми се беше случвало отдавна. Не е връх на жанра, но ако ви се чете нещо увличащо и не особено натоварващо (няма кървави сцени) - е идеална....more",Notes are private!,0,6,1,"Nov 03, 2023","Nov 13, 2023","Nov 03, 2023",,Paperback,view (with text),/book/show/24849836
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,386","Nov 05, 2021","Nov 30, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What an exquisite, heartbreaking and heartwarming Christmas tale this is!",Notes are private!,0,7,1,"Nov 28, 2023",Dec 2023,"Nov 01, 2023",,Hardcover,view (with text),/book/show/58662236-small-things-like-these
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hitler Youth: Growing Up in Hitler's Shadow,"Bartoletti, Susan Campbell",0439353793,9780439353793,0439353793,176        pp,4.09,"5,917","Apr 01, 2005","Apr 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Hardcover,view,/book/show/93995.Hitler_Youth
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Завръщане в Брайдсхед,"Waugh, Evelyn",9546496871,,,314        pp,4.00,"113,374",1945,2004,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Paperback,view,/book/show/13498341
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Love: A Memoir of Love and Loss,"Bloom, Amy",0593243943,9780593243947,0593243943,240        pp,4.27,"21,199","Mar 08, 2022","Mar 08, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"What a heart-beaking, yet beautiful book this is.",Notes are private!,0,4,1,"Oct 24, 2023","Nov 17, 2023","Oct 15, 2023",,Hardcover,view (with text),/book/show/58065372-in-love
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Portable Magic: A History of Books and their Readers,"Smith, Emma",0241427266,9780241427262,0241427266,352        pp,3.81,773,"Apr 28, 2022","Apr 28, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2023",,Hardcover,view,/book/show/58837753-portable-magic
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edible Economics: A Hungry Economist Explains the World,"Chang, Ha-Joon",1541700546,9781541700543,1541700546,224        pp,3.84,"1,406","Oct 20, 2022","Jan 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2023",,Hardcover,view,/book/show/61030740-edible-economics
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Портретът на моя двойник,"Markov, Georgi",,,,208        pp,4.14,175,1966,1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 07, 2023",,Paperback,view,/book/show/6955141
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Isabelle in the Afternoon,"Kennedy, Douglas*",,,B01I0RU176,346        pp,4.01,"1,586",unknown,"Jan 09, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am a bit conflicted about this book. Whereas the author definitely knows how to write well, I found it way too dramatic at times, some of the characI am a bit conflicted about this book. Whereas the author definitely knows how to write well, I found it way too dramatic at times, some of the characters were pretty flat, and some of the plot twists really illogical. ...more",Notes are private!,0,2,1,"Oct 07, 2023","Oct 15, 2023","Oct 03, 2023",,Kindle Edition,view (with text),/book/show/36264593-isabelle-in-the-afternoon
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Лавандуловото момче,"Керим, Бюрхан",,9786197614329,,240        pp,4.04,76,unknown,"Dec 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Талантлив дебют, ще чакам следваща книга с интерес.",Notes are private!,0,13,1,"Nov 18, 2023","Nov 24, 2023","Oct 01, 2023",,Paperback,view (with text),/book/show/122999407
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Годините,"Ernaux, Annie*",,,,256        pp,4.18,"29,449","Feb 07, 2008","Nov 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Paperback,view,/book/show/63346562
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Actress,"Enright, Anne",1324005629,9781324005629,1324005629,265        pp,3.44,"6,259","Mar 03, 2020","Mar 03, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2023",,Hardcover,view,/book/show/45993330-actress
