,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,tonia's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outside,"Jónasson, Ragnar*",,9781250854742,,11        pp,3.03,"4,573","Oct 14, 2021","Jun 28, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books receive 5 stars),Notes are private!,0,0,1,not set,"Feb 20, 2024","Feb 20, 2024",,Audiobook,view (with text),/book/show/61158509-outside
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Against Purity: Living Ethically in Compromised Times,"Shotwell, Alexis",0816698643,9780816698646,0816698643,264        pp,4.04,251,"Dec 06, 2016","Dec 06, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Paperback,view,/book/show/30227589-against-purity
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Julia,"Newman, Sandra*",0063265338,9780063265332,0063265338,400        pp,3.80,"3,614","Oct 19, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(all books receive 5 stars) Oof. Same punch as the original, though Newman takes the narrative further and does a really good job at exploring the exp(all books receive 5 stars) Oof. Same punch as the original, though Newman takes the narrative further and does a really good job at exploring the experience of oppression from a woman's view. I won't think of Winston Smith the same again. I listened to the audio with Louise Brealey - marvelous....more",Notes are private!,0,1,1,"Feb 16, 2024","Feb 16, 2024","Feb 16, 2024",,Hardcover,view (with text),/book/show/86508927-julia
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Playing in the Dark: Whiteness and the Literary Imagination,"Morrison, Toni",0674673778,9780674673779,0674673778,104        pp,4.31,"6,837","May 01, 1992","May 01, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2024",,Paperback,view,/book/show/37405.Playing_in_the_Dark
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Cheerfully Refuse,"Enger, Leif",0802162959,9780802162953,B0CH1NHWNW,322        pp,4.20,337,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/198331551-i-cheerfully-refuse
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God Drives a Flying Saucer,"Dione, R.L.",0552094110,9780552094115,0552094110,144        pp,2.74,34,"Jan 01, 1973","Jan 01, 1973",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(All books get 5 stars. Though this one would earn it anyway for sheer audacity.) I read this for a class on conspiracy theories and I really just…wow(All books get 5 stars. Though this one would earn it anyway for sheer audacity.) I read this for a class on conspiracy theories and I really just…wow.God is not supernatural, he’s a supertechnologist. Also an alien. A fascinating blend of blind faith in scripture and the personal accounts of ufo encounters and “scientific” explanation of miraculous events....more",Notes are private!,0,0,1,not set,"Feb 06, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/2090624.God_Drives_a_Flying_Saucer
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Friend,"Nunez, Sigrid",0735219451,9780735219458,0735219451,212        pp,3.77,"42,680","Feb 06, 2018","Feb 05, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(All books get 5 stars). Grief, the misery of writing as a profession, and the best part, a Great Dane who wants to be read to.",Notes are private!,0,0,2,not setnot set,"Feb 06, 2024not set","Feb 07, 2024",,Paperback,view (with text),/book/show/40164365-the-friend
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,899","Feb 27, 2024","Feb 27, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Tommy Orange’s work making Indigenous stories, Indigenous peoples, in all their complexity, seen and heard is really vital. I listened to the audio ofTommy Orange’s work making Indigenous stories, Indigenous peoples, in all their complexity, seen and heard is really vital. I listened to the audio of this and it was a bit uneven in the narration department, but still worth a listen!...more",Notes are private!,0,1,1,not set,"Mar 09, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/174147294-wandering-stars
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dispossessed: An Ambiguous Utopia,"Le Guin, Ursula K.",,,,387        pp,4.25,"125,017",May 1974,"Oct 20, 1994",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(All books get 5 stars.) A scientist from a society organized around anarchy develops a scientific theory multiple planets want access to. Very humane(All books get 5 stars.) A scientist from a society organized around anarchy develops a scientific theory multiple planets want access to. Very humane and interesting exploration of how people work for and against each other....more,Notes are private!,0,0,1,"Jan 29, 2024","Feb 04, 2024","Jan 29, 2024",,Paperback,view (with text),/book/show/13651.The_Dispossessed
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Monsters: A Fan's Dilemma,"Dederer, Claire",0525655115,9780525655114,0525655115,257        pp,3.82,"9,403","Apr 25, 2023","Apr 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(All books get 5 stars). Dederer is not attempting an academic discourse here, nor is she solving the problem of when we should cancel an artist and t(All books get 5 stars). Dederer is not attempting an academic discourse here, nor is she solving the problem of when we should cancel an artist and their work. She is taking a personal approach as a fan who loves the art of complicated people. Her exploration was personally very meaningful for me and helped me get at the core of what I am really struggling with when I try to apply moral judgement to art and artists. Highly recommend....more",Notes are private!,2,1,1,"Jan 29, 2024","Jan 30, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/61685822-monsters
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Small Place,"Kincaid, Jamaica",0374527075,9780374527075,0374527075,81        pp,4.05,"14,873","Jul 01, 1988","Apr 28, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,1,0,1,not set,"Jan 29, 2024","Jan 29, 2024",,Paperback,view,/book/show/69711.A_Small_Place
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Deer,"Oshetsky, Claire*",006332766X,9780063327665,006332766X,240        pp,4.01,"1,749","Jan 09, 2024","Jan 09, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(All books get 5 stars) Loved this one about a young girl wrestling with a tragic event. Oshetsky plays with the narrative voice in really interesting(All books get 5 stars) Loved this one about a young girl wrestling with a tragic event. Oshetsky plays with the narrative voice in really interesting ways and her prose is mesmerizing. Beautiful exploration of a child's psyche and the weight of guilt. ...more,Notes are private!,0,0,1,not set,"Jan 29, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/127823311-poor-deer
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Religion and the Racist Right: The Origins of the Christian Identity Movement,"Barkun, Michael",0807846384,9780807846384,0807846384,330        pp,3.79,75,"Jun 01, 1994","Dec 15, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 24, 2024",,Paperback,view,/book/show/928358.Religion_and_the_Racist_Right
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Foster,"Keegan, Claire",0571255655,9780571255658,0571255655,89        pp,4.33,"80,835",Feb 2010,"Feb 10, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,( All books get 5 stars) Quite astonishing and beautifully done.,Notes are private!,0,1,1,"Jan 13, 2024","Jan 13, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/8143909-foster
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Like,"Smith, Ali",0593687981,9780593687987,0593687981,320        pp,3.79,760,1997,"Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/193388022-like
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slow Productivity: The Lost Art of Accomplishment Without Burnout,"Newport, Cal",0593544854,9780593544853,,256        pp,3.84,"2,433","Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 07, 2024",,Hardcover,view,/book/show/197773418-slow-productivity
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Complicated Kindness,"Toews, Miriam",1582433224,9781582433226,1582433224,253        pp,3.68,"26,217","Sep 30, 2004","Aug 17, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(all books get 5 stars) Toews writes brilliantly about life inside religious communities, especially the psychological weight of expectation and the l(all books get 5 stars) Toews writes brilliantly about life inside religious communities, especially the psychological weight of expectation and the longing for a separate self. This story of a family making the choice between faith and each other is incredibly knowing and somehow gentle in its treatment of the characters. I think it must resonate especially with those who have tried to leave a childhood religion and have experienced the deep fractures that can cause in the psyche....more",Notes are private!,0,0,2,"Feb 19, 2024not set","Mar 2024Jan 02, 2024","Jan 07, 2024",,Paperback,view (with text),/book/show/13374.A_Complicated_Kindness
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scaffolding,"Elkin, Lauren*",1784742945,9781784742942,1784742945,400        pp,4.30,10,unknown,"Jun 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/203726906-scaffolding
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Winds of Change        (Richard Jury, #19)","Grimes, Martha*",0451216962,9780451216960,0451216962,384        pp,3.84,"4,135",2004,"Nov 01, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars),Notes are private!,0,0,1,not set,"Dec 29, 2023","Dec 29, 2023",,Mass Market Paperback,view (with text),/book/show/102467.The_Winds_of_Change
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Crying of Lot 49,"Pynchon, Thomas",006091307X,9780060913076,006091307X,152        pp,3.69,"86,787",1966,"Nov 07, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars) A dizzying descent into the confusion of a world with too much connection and too much information.,Notes are private!,0,0,2,not setnot set,"Feb 16, 2024Dec 26, 2023","Dec 26, 2023",,Paperback,view (with text),/book/show/2794.The_Crying_of_Lot_49
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nobody's Fool        (Sully #1),"Russo, Richard*",0679753338,9780679753339,B00A2OH066,549        pp,4.11,"30,176","May 25, 1993","Apr 12, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Paperback,view,/book/show/659388.Nobody_s_Fool
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire Falls,"Russo, Richard*",0375726403,9780375726408,0375726403,483        pp,3.94,"121,787","May 08, 2001","Apr 12, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 19, 2023",,Paperback,view,/book/show/187020.Empire_Falls
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mumbo Jumbo,"Reed, Ishmael",0684824779,9780684824772,0684824779,224        pp,3.84,"4,411",Aug 1972,"Jun 11, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars),Notes are private!,0,0,1,not set,"Dec 17, 2023","Dec 17, 2023",,Paperback,view (with text),/book/show/761156.Mumbo_Jumbo
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,507","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2023",,Kindle Edition,view,/book/show/158875813-prophet-song
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vampires in the Lemon Grove: Stories,"Russell, Karen*",0307957233,9780307957238,0307957233,243        pp,3.68,"22,926","Feb 12, 2013","Feb 12, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars) Karen Russell has a wild brain. I love it.,Notes are private!,0,0,1,not set,"Nov 28, 2023","Nov 28, 2023",,Hardcover,view (with text),/book/show/13531832-vampires-in-the-lemon-grove
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wager: A Tale of Shipwreck, Mutiny and Murder","Grann, David*",0385534264,9780385534260,0385534264,354        pp,4.21,"96,460","Apr 18, 2023","Apr 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars),Notes are private!,0,0,1,not set,"Nov 25, 2023","Nov 25, 2023",,Hardcover,view (with text),/book/show/61714633-the-wager
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Crooked House,"Christie, Agatha",031298166X,9780312981662,031298166X,276        pp,4.08,"75,643",1949,"Aug 19, 2002",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars),Notes are private!,0,0,1,not set,"Nov 25, 2023","Nov 25, 2023",,Paperback,view (with text),/book/show/16315.Crooked_House
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Loved and Missed,"Boyt, Susie",,,,unknown,4.28,"1,312","Sep 19, 2023",Aug 2021,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,,view,/book/show/58283993-loved-and-missed
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Land of Milk and Honey,"Zhang, C Pam*",0593538242,9780593538241,0593538242,240        pp,3.57,"12,004","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/101673225-land-of-milk-and-honey
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chasing Bright Medusas: A Life of Willa Cather,"Taylor, Benjamin",0593298829,9780593298824,0593298829,192        pp,3.75,308,unknown,"Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 14, 2023",,Hardcover,view,/book/show/153791822-chasing-bright-medusas
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mysteries,"Watterson, Bill",1524884944,9781524884949,1524884944,72        pp,3.78,"4,420","Oct 10, 2023","Oct 10, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"(all books receive 5 stars)An elegant and necessary parable for a chaotic, confusing now.",Notes are private!,0,0,1,not set,"Nov 13, 2023","Nov 13, 2023",,Hardcover,view (with text),/book/show/100698795-the-mysteries
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Memoir of My Former Self: A Life in Writing,"Mantel, Hilary",1443472573,9781443472579,1443472573,432        pp,4.33,350,"Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Hardcover,view,/book/show/173956475-a-memoir-of-my-former-self
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Edith Holler,"Carey, Edward",059318890X,9780593188903,059318890X,400        pp,3.91,376,"Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Hardcover,view,/book/show/142600807-edith-holler
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Menewood        (The Hild Sequence, #2)","Griffith, Nicola*",0374208085,9780374208080,0374208085,720        pp,4.51,676,"Oct 03, 2023","Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Hardcover,view,/book/show/60784675-menewood
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starling House,"Harrow, Alix E.*",,9798885794282,B0C9LBCS23,308        pp,3.86,"67,548","Oct 03, 2023","Nov 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 11, 2023",,Library Binding,view,/book/show/181541152-starling-house
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Secret Thing,"Lippman, Laura*",0060506687,9780060506681,B0072B4B7I,410        pp,3.47,"11,223","Sep 02, 2003","Jan 01, 2004",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars) Sunday read.,Notes are private!,0,0,1,not set,"Nov 08, 2023","Nov 08, 2023",,Paperback,view (with text),/book/show/351652.Every_Secret_Thing
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,561","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greening Death: Reclaiming Burial Practices and Restoring Our Tie to the Earth,"Kelly, Suzanne",144224156X,9781442241565,144224156X,214        pp,3.92,38,"Aug 27, 2015","Sep 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Hardcover,view,/book/show/26450860-greening-death
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tremor,"Cole, Teju",0812997123,9780812997125,B0BSWC8VTG,229        pp,3.72,"1,245","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 29, 2023",,Hardcover,view,/book/show/75670841-tremor
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Expendable Man,"Hughes, Dorothy B.",1903155584,9781903155585,1903155584,339        pp,4.08,"2,680",1963,2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,(all books get 5 stars) I was pretty impressed by this 1963 murder mystery. The less you know going in the better.,Notes are private!,0,0,1,not set,"Oct 22, 2023","Oct 22, 2023",,Paperback,view (with text),/book/show/939794.The_Expendable_Man
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Witch Hunter        (Jessica Niemi, #1)","Seeck, Max*",0593199669,9780593199664,0593199669,400        pp,3.51,"9,133",2019,"Oct 27, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2023,"Oct 19, 2023",,Hardcover,view,/book/show/52322799-the-witch-hunter
