,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Andrea's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Matchmaker's Gift,"Loigman, Lynda Cohen*",1250278090,9781250278098,1250278090,320        pp,4.15,"16,990","Sep 20, 2022","Sep 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/59807961-the-matchmaker-s-gift
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Elixir of Augusta Stern,"Loigman, Lynda Cohen*",1250278104,9781250278104,1250278104,320        pp,4.56,82,unknown,"Oct 08, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/203579107-the-love-elixir-of-augusta-stern
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Birds in Tiny Cages,"Comyns, Barbara",,,,155        pp,3.56,18,1964,1964,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/6668321-birds-in-tiny-cages
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Out of the Red, Into the Blue","Comyns, Barbara",,,,202        pp,4.11,18,1960,1960,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/6434407-out-of-the-red-into-the-blue
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. Fox,"Comyns, Barbara",0413154505,9780413154507,0413154505,175        pp,4.11,125,1987,1988,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/3381938-mr-fox
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Dolls,"Comyns, Barbara",0749301392,9780749301392,0749301392,160        pp,3.67,154,1989,1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/3381936-the-house-of-dolls
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Skin Chairs,"Comyns, Barbara",0860684806,9780860684800,0860684806,200        pp,4.24,217,1962,1986,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/2702636-the-skin-chairs
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Touch of Mistletoe,"Comyns, Barbara",0860682307,9780860682301,0860682307,213        pp,4.19,297,1967,"Jan 01, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/2702637-a-touch-of-mistletoe
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sisters by a River,"Comyns, Barbara",086068475X,9780860684756,086068475X,161        pp,3.81,636,1947,"Jan 01, 1985",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/2702242-sisters-by-a-river
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Juniper Tree,"Comyns, Barbara",0312302193,9780312302191,0312302193,192        pp,3.96,"1,094",1985,"Dec 31, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/504535.The_Juniper_Tree
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vet's Daughter,"Comyns, Barbara",1590170296,9781590170298,1590170296,133        pp,3.90,"2,520",1959,"Apr 28, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/1073750.The_Vet_s_Daughter
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Spoons Came from Woolworths,"Comyns, Barbara",0860683532,9780860683537,0860683532,223        pp,3.90,"3,195",1950,"Apr 21, 1983",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/1818286.Our_Spoons_Came_from_Woolworths
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Was Changed and Who Was Dead,"Comyns, Barbara",0984469311,9780984469314,0984469311,193        pp,3.85,"2,295",1954,"Nov 10, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/1785957.Who_Was_Changed_and_Who_Was_Dead
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Clue in the Old Album        (Nancy Drew Mystery Stories, #24)","Keene, Carolyn",,,,218        pp,3.88,"6,149",1947,1947,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2024","Jan 17, 2024","Jan 10, 2024",,Hardcover,view,/book/show/22929457-the-clue-in-the-old-album
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Leftover Woman,"Kwok, Jean*",0063346982,9780063346987,0063346982,288        pp,3.78,"19,041","Oct 10, 2023","Oct 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 08, 2024","Jan 11, 2024","Jan 08, 2024",,Paperback,view,/book/show/123276105-the-leftover-woman
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598830,9780593598832,0593598830,304        pp,4.13,"103,404","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/62926992-the-wishing-game
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lost Story,"Shaffer, Meg*",0593598873,9780593598870,0593598873,352        pp,4.17,586,"Jul 04, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2024",,Hardcover,view,/book/show/199927030-the-lost-story
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lamplighters,"Stonex, Emma*",1984882171,9781984882172,1984882171,352        pp,3.53,"24,621","Mar 04, 2021","Mar 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/60538347-the-lamplighters
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Beauty in the World: The Metropolitan Museum of Art and Me,"Bringley, Patrick*",1982163321,9781982163327,,240        pp,4.09,"8,281","Feb 14, 2023","Feb 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,ebook,view,/book/show/59364113-all-the-beauty-in-the-world
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dress Diary of Mrs Anne Sykes,"Strasdin, Kate",178474381X,9781784743819,178474381X,320        pp,4.07,420,"Feb 23, 2023","Feb 23, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/61155736-the-dress-diary-of-mrs-anne-sykes
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,God's Little Artist,"Hubbard, Sue",1781727163,9781781727164,1781727163,42        pp,4.75,4,unknown,"Dec 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/185730415-god-s-little-artist
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Depth of Field,"Hubbard, Sue",1899235825,9781899235827,1899235825,192        pp,3.50,6,"Apr 01, 2002","Apr 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/1241605.Depth_of_Field
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rothko's Red,"Hubbard, Sue",1844714446,9781844714445,1844714446,149        pp,3.53,15,"Sep 08, 2008","Sep 08, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/4940684-rothko-s-red
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Girl in White,"Hubbard, Sue",1907090681,9781907090684,1907090681,288        pp,4.03,29,"Oct 01, 2012",Oct 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/15958854-girl-in-white
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rainsongs,"Hubbard, Sue",0715652850,9780715652855,0715652850,242        pp,3.92,213,"Jan 11, 2018","Jan 11, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/37819219-rainsongs
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Flatlands,"Hubbard, Sue",1911590847,9781911590842,1911590847,272        pp,3.87,187,unknown,"Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/122026350-flatlands
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of Art Without Men,"Hessel, Katy",1788167406,9781788167406,1788167406,352        pp,4.32,"1,927",2022,"Mar 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/56301206-the-story-of-art-without-men
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm a Fan,"Patel, Sheena",,,,207        pp,3.40,"16,890","May 01, 2022","May 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,,view,/book/show/60151826-i-m-a-fan
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We All Want Impossible Things,"Newman, Catherine*",0063230895,9780063230897,0063230895,224        pp,4.01,"28,332","Nov 08, 2022","Nov 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/60410002-we-all-want-impossible-things
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hope: A Tragedy,"Auslander, Shalom",159448838X,9781594488382,159448838X,292        pp,3.43,"5,236",Jan 2012,"Jan 12, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/12377445-hope
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rooster House: My Ukrainian Family Story,"Belim, Victoria*",1419767852,9781419767852,1419767852,304        pp,4.02,904,"Oct 06, 2022","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/61783855-the-rooster-house
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenderness of Wolves,"Penney, Stef",1416540741,9781416540748,1416540741,384        pp,3.74,"15,210",2006,"Jul 10, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/315340.The_Tenderness_of_Wolves
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Ones,"Penney, Stef",0399157719,9780399157714,0399157719,399        pp,3.66,"4,542","Jan 01, 2011","Jan 05, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/11890807-the-invisible-ones
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Under a Pole Star,"Penney, Stef",1786481162,9781786481160,1786481162,608        pp,3.72,"2,834","Nov 03, 2016","Nov 03, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Hardcover,view,/book/show/30657146-under-a-pole-star
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Beasts of Paris,"Penney, Stef",1639363777,9781639363773,,352        pp,3.76,279,"Jul 06, 2023","Jul 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,ebook,view,/book/show/61272042-the-beasts-of-paris
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Perfection Salad: Women and Cooking at the Turn of the Century        (California Studies in Food and Culture, 24)","Shapiro, Laura",0375756655,9780375756658,0375756655,304        pp,3.78,450,1986,"Feb 20, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/164459.Perfection_Salad
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Something from the Oven: Reinventing Dinner in 1950s America,"Shapiro, Laura",014303491X,9780143034919,014303491X,334        pp,3.80,844,2004,"Apr 28, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2024",,Paperback,view,/book/show/345923.Something_from_the_Oven
