,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ffiamma's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Agnes Grey,"Brontë, Anne",,,,246        pp,3.70,"70,648",Dec 1847,1999,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 14, 2018","Feb 15, 2018",,Paperback,view,/book/show/9570602-agnes-grey
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Il cacciatore di orfani,"Sigurdardottir, Yrsa",8852084967,,B078TSZQG9,477        pp,3.96,"10,641","Nov 15, 2014","Feb 06, 2018",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"storia debole e intricata, lungaggini inutili, finale inverosimili. l'idea di partenza è buona, ma la realizzazione fa acqua e invece di avvincere, anstoria debole e intricata, lungaggini inutili, finale inverosimili. l'idea di partenza è buona, ma la realizzazione fa acqua e invece di avvincere, annoia. peccato....more",Notes are private!,0,6,2,not setnot set,"Feb 09, 2018not set","Feb 10, 2018",,Kindle Edition,view (with text),/book/show/38424814-il-cacciatore-di-orfani
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'ultima notte,"Salter, James",8823521858,9788823515390,8823515394,175        pp,3.85,"2,722","Apr 19, 2005","Sep 30, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a mio avviso, james salter è migliore nella forma romanzo; i racconti sono discreti, crudeli e affilati al punto giusto- tuttavia manca la magia e la a mio avviso, james salter è migliore nella forma romanzo; i racconti sono discreti, crudeli e affilati al punto giusto- tuttavia manca la magia e la precisione chirurgica nello scandagliare l'animo umano degli altri suoi libri. per appassionati e per avere una panoramica dell'opera di un grande scrittore....more",Notes are private!,0,0,1,not set,"Jan 29, 2018","Feb 08, 2018",,Paperback,view (with text),/book/show/33135559-l-ultima-notte
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I rifugiati,"Nguyen, Viet Thanh*",8854515876,9788854515871,,227        pp,3.87,"20,364","Feb 07, 2017",Sep 2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Feb 05, 2018","Feb 08, 2018",,ebook,view,/book/show/36523962-i-rifugiati
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La signorina Else,"Fior, Manuele",8876181490,9788876181498,8876181490,96        pp,3.73,327,2009,"Nov 26, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"inevitabile semplificazione dell'opera di schnitzler, ma i disegni sono di una bellezza tale che si perdona tutto. da leggere come complemento alla noinevitabile semplificazione dell'opera di schnitzler, ma i disegni sono di una bellezza tale che si perdona tutto. da leggere come complemento alla novella, gustando ogni tavola e la perfezione del tratto e dei colori....more",Notes are private!,0,3,1,not set,"Jan 29, 2018","Jan 29, 2018",,Paperback,view (with text),/book/show/9722356-la-signorina-else
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,L'ombra degli Havilland,"Maynard, Joyce*",8869052745,9788869052743,8869052745,435        pp,3.85,"9,089","Feb 23, 2016","Jan 11, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 26, 2018","Jan 26, 2018",,Paperback,view,/book/show/38094302-l-ombra-degli-havilland
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lealtà,"Pezzali, Letizia",8806232614,9788806232610,8806232614,280        pp,2.94,156,"Jan 23, 2018","Jan 23, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""il desiderio non si impara. ognuno tira fuori quello che ha. non tutto insieme, non con ritmo regolare. il desiderio esce da noi a caso, a tratti, ma""il desiderio non si impara. ognuno tira fuori quello che ha. non tutto insieme, non con ritmo regolare. il desiderio esce da noi a caso, a tratti, magari in occasioni poco spettacolari. basta un niente. da quel momento sappiamo la verità: vogliamo certe cose e non altre""una buona scrittura e una certa maestria nel descrivere certi passaggi fanno da contraltare a una storia fragile e ambiziosa e a personaggi bidimensionali. raccontare il desiderio e i suoi meccanismi, renderlo credibile agli occhi del lettore non sono cose semplici e qui, a tratti, si privilegiano la tecnica e il talento a discapito dell'umanità. ero molto incuriosita da questo esordio, aspetto le prossime prove dell'autrice....more",Notes are private!,0,1,1,not set,"Jan 25, 2018","Jan 26, 2018",,Paperback,view (with text),/book/show/37847405-lealt
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebetiko,"Prudhomme, David",8876181873,9788876181870,8876181873,104        pp,3.70,409,"Oct 08, 2009","Oct 28, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"non è stato sempre agevole seguire la storia dei vari personaggi, ma i disegni sono molto belli e il racconto della bohéme greca osteggiata da un reginon è stato sempre agevole seguire la storia dei vari personaggi, ma i disegni sono molto belli e il racconto della bohéme greca osteggiata da un regime ottuso ha una sua poesia. interessante l'argomento, complessivamente un'opera forte e insolita....more",Notes are private!,0,2,1,not set,"Jan 23, 2018","Jan 26, 2018",,Paperback,view (with text),/book/show/23159691-rebetiko
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orient,"Bollen, Christopher",8833929841,9788833929842,B0779B87Z8,659        pp,3.55,"2,470",2015,"Jan 11, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"thriller letterario con molte ambizioni- in cui si mescolano il torbido di una provincia apparentemente placida, una trama gay e morti misteriose. pecthriller letterario con molte ambizioni- in cui si mescolano il torbido di una provincia apparentemente placida, una trama gay e morti misteriose. pecca per eccesso di lunghezza e, forse, troppa carne al fuoco che rendono la storia poco interessante, farraginosa e poco trascinante. un po' più di semplicità non avrebbe guastato....more",Notes are private!,0,2,1,not set,"Jan 18, 2018","Jan 18, 2018",,Kindle Edition,view (with text),/book/show/37932176-orient
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Follia maggiore,"Robecchi, Alessandro",,,B077QHPZT1,390        pp,3.88,425,"Jan 11, 2018","Jan 11, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Jan 13, 2018","Jan 13, 2018",,Kindle Edition,view,/book/show/37809669-follia-maggiore
