,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lisette's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Life is Beautiful: An Inspirational Calming Coloring Book for Adults, Teens, and Kids","Bell, Shykia*",0985044829,9780985044824,0985044829,87        pp,5.00,1,unknown,"Dec 16, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I'm so glad I purchased this coloring book. Perfect for both adults and children, it is exceptionally beautiful. In the blurb, the author/illustrator I'm so glad I purchased this coloring book. Perfect for both adults and children, it is exceptionally beautiful. In the blurb, the author/illustrator says that she created it to be a calming coloring book, and as soon as it arrived, I understood that even more clearly.The illustrations are lovely, and there's a beautiful assortment of images: people, animals, birds, scenery, kaleidoscopic designs and more. Some pages contain sentiments; these can also be colored. They're simple universal truths that many of us forget in these frantic and difficult times. (I purchased a copy for a friend who especially loved the ""Bloom Where You Are Planted"" page.)I can see that this book was put together with a great deal of thought and love. It makes a wonderful gift for children and adults alike, and the price is very reasonable. The quality is just nice too.A winner all around!...more",Notes are private!,0,1,1,"Jan 06, 2024",not set,"Jan 06, 2024",,Paperback,view (with text),/book/show/204195708-life-is-beautiful
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sisters,"Barrow, Judith",1912905760,9781912905768,1912905760,unknown,4.31,52,unknown,"Jan 26, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Probably my favorite thing to read, no matter the genre, is well-written, character-driven fiction. And this is exactly what Judith Barrow excels at. Probably my favorite thing to read, no matter the genre, is well-written, character-driven fiction. And this is exactly what Judith Barrow excels at. This is the second book of hers that I’ve read. Having loved the first one, choosing Sisters was a no-brainer.This novel’s blurb offers an overview of the story as do many of the s. I don’t see any reason to recap the plotline. For one, it’s too delicious and best savored without knowing all that much. I shall only say this: the book is as the title says, about sisters. It begins in 1970, when a string of actions in a small slice of one day, spell tragedy and change the lives of sisters Mandy and Angela forever.Barrow’s evolution of the story is well plotted in a way that is so natural, she makes it look easy. As I read, gripped by this emotional story, I loved that it wasn’t predictable, yet reminded me so much of my own stories and those of others that have taken a path because of something that happened in moment in time, or because of a good or bad choice that we as humans make. I read this straight through over two days, not wanting to put it down. Not only is it a beautiful and compelling read, it was deeply satisfying. This is an author who truly understands human nature....more",Notes are private!,0,0,1,"Dec 31, 2023",not set,"Dec 31, 2023",,Paperback,view (with text),/book/show/76204743-sisters
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seas of Time: Harbor Pointe Series Book 4,"Peach, D. Wallace*",,9798891455450,B0CCQGRXH9,145        pp,5.00,30,unknown,"Nov 14, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"LOVED this book!Admittedly, I read almost no fantasy, but I heard such good things about this book/author that I decided to give it a try. These five-LOVED this book!Admittedly, I read almost no fantasy, but I heard such good things about this book/author that I decided to give it a try. These five-star s don’t lie. The story, the writing, the insight, the lessons, the history, the thought-provoking power and everything else about this book is superb.The Seas of Time, telling the tale of how a wrecked ship in 1858 influences/melds with events in 1972, is fascinating. In the hands of a lesser author, I don’t believe this would have been the page-turning and brilliant read I found it to be. I was riveted. As the main character, Tali Keldan, makes friends with a gargoyle who is inhabiting her family’s Harbor Pointe Inn on the California coast (while she is there to keep an eye on things), I believed every word: the power of a great writer. And yes, we learn how the gargoyle came to be. It wasn’t difficult to imagine the scene and the action—as phantasmagorical as it all may sound in this .There is SO much more to this story, which goes way beyond the little I’ve divulged in the previous paragraph. This story, its impact, its meaning, the lessons it teaches, and the lessons society has yet to learn, are all packed in this gem of a book....more",Notes are private!,0,2,1,"Dec 28, 2023",not set,"Dec 28, 2023",,Kindle Edition,view (with text),/book/show/194968616-the-seas-of-time
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Caught Between Worlds: A Moment in Time Novel One,"Gadbois, G.P.*",1999534808,9781999534806,B07KN6N2Z1,403        pp,4.48,27,unknown,"Nov 16, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Being a fan of paranormal stories, especially because I believe in many of them, I was intrigued to read this novel. First, it takes place in the 1980Being a fan of paranormal stories, especially because I believe in many of them, I was intrigued to read this novel. First, it takes place in the 1980s, but I must admit, I didn’t figure that out until I was halfway through the novel, when I realized that nobody had cell phones and that the story took place during a time when phones were for talking and cameras for taking photos. I thoroughly enjoyed the four young Canadian women travel who to the US for a vacation, but end up as far from what they imagined as possible—in a town called St. Clair steeped in mystery. For me, there were a lot of characters in this story (all good, but always tougher for me to focus), but everything came together.Front and center was a romance between Gabrielle and Rick, the sighting of a dead boy named Steven, and a mystery surrounding the town. I don’t like to write s that give away too much, but I was intrigued, and the camaraderie among the friends believable. The author did a great job of weaving the paranormal elements with the romantic ones and offering quite a satisfying ending....more",Notes are private!,0,2,2,"not setDec 27, 2023",not setnot set,"Dec 27, 2023",,Kindle Edition,view (with text),/book/show/44056048-caught-between-worlds
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maeve in the Morning,"Gale, Amanda*",,,B0CMXGP54J,328        pp,4.67,6,unknown,"Nov 07, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s been several years since I read a couple of books by this author, but what always stayed with me was that I could remember more from those novelsIt’s been several years since I read a couple of books by this author, but what always stayed with me was that I could remember more from those novels than I do from many I read. So, even though this book wasn’t next from where I left off, the premise of this new release intrigued me.Amanda Gale is a superb writer. But it takes more than well-written words to draw me into a book. Just as I remembered, this author excels at writing nuanced, flawed, believable, and often complex characters who twist themselves into emotional wrecks while simultaneously work to create happier versions of themselves. Human beings are complicated, and Gale knows how to authentically portray them. That much alone, for me, is a huge plus.The blurb for this book quite nicely tells prospective readers what the story is about. I’ll add only that Maeve in the Morning is a story of relationships, family, passions, secrets, love, longing, indecision, and the fine art of holding back. I really loved this story, and highly recommend this women’s fiction novel to sophisticated readers who appreciate the beautiful writing and characters who very well may be like you or those close to your heart. Lastly, despite this being part of a series, it works beautifully as a stand-alone novel....more",Notes are private!,0,2,1,"Dec 26, 2023",not set,"Dec 26, 2023",,Paperback,view (with text),/book/show/201824040-maeve-in-the-morning
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Second Chances: Magnolia Bluff Crime Chronicles, Book 17","Congel, Joe*",,,B0CG93DD7T,262        pp,4.96,24,unknown,"Sep 18, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I’m such a fan of the multi-author crime fiction series, Magnolia Bluff Crime Chronicles, having read many of the books so far. Years ago, I read and I’m such a fan of the multi-author crime fiction series, Magnolia Bluff Crime Chronicles, having read many of the books so far. Years ago, I read and enjoyed a novel by Joe Congel, so I was excited to see his contribution to the series.Reading most of this book in one sitting, I thoroughly enjoyed the story of Brandon Turner, a retired NYC police detective who comes to Magnolia Bluff with his dog, Max, to get far away from his former life and lead a quiet life. While the scenery drastically changes, Turner is immediately pulled back into the profession he just left when he discovers a body and finds out it wasn’t the first one. And the deaths don’t stop there. He’s hardwired to solve crimes and finds it tough to turn away. Simultaneously, he takes an instant liking to his real estate broker, Joyce, who can’t help but get wrapped up in all that’s going on.I loved Congel’s interaction between Turner and Reece Sovern. Although Turner isn’t officially on the case, he agrees to work with Magnolia Bluff’s police chief. They’re men from very different worlds, each with their own way of doing things, but who realize they need one another to solve the case. There are several different stories at play, and nothing is as simple as it seems. The author seamlessly weaves the different plots together into a very engaging story. This story was terrific, and I love seeing characters that I’ve come to know from the other books I’ve read. An excellent addition to a superb series. ...more",Notes are private!,0,1,1,"Dec 25, 2023",not set,"Dec 25, 2023",,Kindle Edition,view (with text),/book/show/197512542-second-chances
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Nightingale's Last Song: A WWII Romance,"Harryman, Kathleen*",,,,605        pp,4.67,12,"Nov 13, 2023","Nov 13, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kathleen Harryman has outdone herself with this beautifully and authentically crafted novel. A Nightingale’s Last Song gives the reader a front-row seKathleen Harryman has outdone herself with this beautifully and authentically crafted novel. A Nightingale’s Last Song gives the reader a front-row seat to the courageous and committed nurses who served tirelessly and selflessly in WWII. It takes a special kind of person to endure the sight of death and dying every day, to process such pain and grief with no time to restore one’s strength, and to encourage those who struggle to recover in both body and spirit from the savagery of war. As Lillian Elizabeth performs her job, she meets two different men, Alick and Joe, each who has a piece of her heart, but in entirely different ways. The author has written a beautiful love story which I think will resonate with readers worldwide. It certainly did with me, as did the themes of friendship and family. I loved the way the story was tenderly and realistically presented, and I couldn’t have been more touched by the gorgeous way that everything was brought to a close. With every word I read, I was impressed by the staggering amount of research I knew the author must’ve done to create such a vivid and emotional story. I felt the same when I read her first historical fiction novel, The Promise, and I did so even more with this book. I highly recommend both. Exceptional work....more",Notes are private!,0,3,1,not set,"Dec 16, 2023","Dec 16, 2023",,Paperback,view (with text),/book/show/200734580-a-nightingale-s-last-song
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cyanide and Sensibility,"Oliver, Katie*",0593337654,9780593337653,0593337654,320        pp,4.07,120,unknown,"Dec 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"First and most importantly: I LOVED this book, the third in Katie Oliver’s Jane Austen Tea Society Mystery series. Being a huge fan of the first two bFirst and most importantly: I LOVED this book, the third in Katie Oliver’s Jane Austen Tea Society Mystery series. Being a huge fan of the first two books, I couldn’t wait to read the third. It exceeded my expectations, which is tough to do.In this book, Phaedra Brighton, a Jane Austen scholar and English professor, is delighted when her younger sister returns home to open up a patisserie (Tout de Sweet) — adding a French bakery to the town of Laurel Springs. I won’t belabor the plot, only to say that it gets going quickly when a local celebrity’s assistant takes a bite from a poisonous cupcake and is rushed to the hospital, leaving no one the wiser as to who the intended victim is. And Phaedra, as she always does, refuses to leave this crime alone, especially as her sister’s reputation and new shop are both in jeopardy.Why did I love this book? So many reasons. It grabbed my attention immediately and was intriguing until the very end. Katie Oliver does a superb job of offering her readers a plethora of suspects and possibilities. The story was so brilliantly and beautifully crafted—with subplots that enhanced every page. Every dubious character has reason to be under scrutiny, but why? The motive is as elusive as the culprit. And the love stories woven through this book, they’re just the icing on … well, maybe not a cupcake … but some kind of cake. You decide.I highly recommend this book. I read it in two sittings. It’s a great story to lose yourself in and just get away from it all. Terrific series!...more",Notes are private!,0,3,1,not set,not set,"Nov 30, 2023",,Mass Market Paperback,view (with text),/book/show/123257837-cyanide-and-sensibility
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mama Christmas Rose        (The Christmas Rose Trilogy Book 3),"Maza, Cathleen*",,,B0CK6GPSZY,49        pp,4.86,7,unknown,"Nov 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Having read the first two Christmas books in this trilogy, I was delighted to see the third book had been published. The characters, especially CarolyHaving read the first two Christmas books in this trilogy, I was delighted to see the third book had been published. The characters, especially Carolyn and her joyful, slightly wacky, always determined, and now-pregnant cousin Rose, have special plans/wishes as Christmas draws very near. There’s a lot of emotion in the family, including a vital misunderstanding, and much that needs to be resolved before Christmas arrives. As this isn’t a long read, I don’t want to say much more and give the story away.This book is perfect for readers looking for a holiday-pick-me up or something to remind them what true Christmas joy is all about. Rose is a character you don’t soon forget; she has a way of making wishes come true.I’ve enjoyed so much of Cathleen Maza’s multigenre short fiction. This charming story is no exception....more",Notes are private!,2,5,1,"Nov 19, 2023",not set,"Nov 19, 2023",,Kindle Edition,view (with text),/book/show/199277452-mama-christmas-rose
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Possessed by Death,"Dolan, John*",1912361183,9781912361182,B0CKPDNX1P,465        pp,4.89,28,unknown,"Oct 30, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I thoroughly enjoyed this novel by John Dolan, his long-standing character, PI David Braddock once again in the spotlight. He’s semi-retired (working I thoroughly enjoyed this novel by John Dolan, his long-standing character, PI David Braddock once again in the spotlight. He’s semi-retired (working as a hypnotherapist) and living in London with his wife, Da, and their two children.Having read several of this author’s books, the first thing I noticed was his signature dry wit, always a staple in everything he writes. Although PIs retire, there’s nothing to say that their naturally inquisitive minds and urge to solve crimes do so as well. Especially when there’s not enough in one’s life to quite fill the empty space. So, when Braddock’s next-door neighbor, a dentist, is found murdered, each half of his body discovered in different locations, Braddock plunges back into the life he knew for a decade in Thailand.Almost immediately, at an alarming rate, Braddock finds way more mysteries than he bargained for, and despite the danger in following every lead, he’s back in the thick of things.Dolan’s skill in weaving together several mysteries is impressive. I really loved the inclusion of the abandoned London Underground in the novel. It was fascinating and complemented the story so very well. Great choice. Another excellent novel from this author. Bravo!...more",Notes are private!,0,4,1,not set,"Nov 12, 2023","Nov 12, 2023",,Kindle Edition,view (with text),/book/show/199336183-possessed-by-death
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Think Like a Detective: A Kid's Guide to Critical Thinking        (Adventures in Thinking, #1)","Pakman, David",,9798395930071,B0C9S89ZK7,42        pp,4.05,37,unknown,"Jul 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 27, 2023",,Paperback,view,/book/show/183367272-think-like-a-detective
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Sister's Secret: The Summer of '66,"Baynham, Jan",1912550385,9781912550388,B08F5H7YQF,461        pp,4.42,112,unknown,"Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Kindle Edition,view,/book/show/54825624-her-sister-s-secret
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dreamland: Banat, Crisana, Maramures, Transylvania, 100-WORD STORIES, Folklore and History","Furstenberg, Patricia*",,,B0B3QXD6GQ,241        pp,5.00,12,unknown,"Jun 09, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It often takes far more expertise and talent to write a very short story than a long one. And that’s the first thing that I noticed in this brilliant It often takes far more expertise and talent to write a very short story than a long one. And that’s the first thing that I noticed in this brilliant and beautiful book by Patricia Furstenberg. Every word of her 100-word stories is perfectly chosen and placed to tell a colorful, magical, and often phantasmagorical story, followed by a brief historical details that bring the legend/story full circle.“Her nose was not crooked and there were no warts on her face. Her voice didn’t crackle and she didn’t own a black cat.”“Building upon past generations’ resourcefulness, they invented complex mechanisms capable of decoding the mysteries of fleeting time.”The author’s words, like the quotes above, mesmerized and kept me reading vociferously as the sights, sounds, and legends of her beloved Romania came to life. As I read, I was entertained while simultaneously impressed by the massive amount of research I knew had to go into this book. Exceptional—as were the stunning photographs she collected.As the author states, this isn’t a history book, but a collection of fleeting impressions and more. Still, for readers who love Romania, for those who wish an introduction (like myself), and for historians / storytellers present and future, Dreamland is a treasure. As I read on, it occurred to me that sharing these stories with children would conjure as child’s imagination as vividly as they did mine.I highly recommend this extraordinary book....more",Notes are private!,1,5,1,"Oct 16, 2023","Oct 16, 2023","Oct 16, 2023",,Kindle Edition,view (with text),/book/show/61265938-dreamland
