,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Faith's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Many Assassinations of Samir, the Seller of Dreams: Newbery Honor Award Winner","Nayeri, Daniel",1646143035,9781646143030,1646143035,224        pp,3.98,"1,509","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/62675031-the-many-assassinations-of-samir-the-seller-of-dreams
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hot and Bothered: What No One Tells You About Menopause and How to Feel Like Yourself Again,"Dunn, Jancee*",0593542568,9780593542569,0593542568,304        pp,4.16,"1,166",unknown,"May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2024",,Hardcover,view,/book/show/61897976-hot-and-bothered
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grief Is for People,"Crosley, Sloane*",0374609845,9780374609849,0374609845,208        pp,4.03,"2,622","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Mar 05, 2024",,Hardcover,view,/book/show/127282631-grief-is-for-people
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Secret Hours,"Herron, Mick",164129521X,9781641295215,164129521X,384        pp,4.31,"9,015","Sep 14, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Hardcover,view,/book/show/123727738-the-secret-hours
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Write to Learn,"Murray, Donald M.",0030062187,9780030062186,0030062187,278        pp,4.22,88,Jan 1984,"Jan 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Paperback,view,/book/show/680183.Write_to_Learn
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Letters to a Young Poet,"Rilke, Rainer Maria",0486422453,9780486422459,0486422453,80        pp,4.30,"92,274",1929,"May 08, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 16, 2024",,Paperback,view,/book/show/46199.Letters_to_a_Young_Poet
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chain-Gang All-Stars,"Adjei-Brenyah, Nana Kwame*",0593317335,9780593317334,0593317335,367        pp,4.14,"37,795","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/61190770-chain-gang-all-stars
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pilgrim at Tinker Creek,"Dillard, Annie",0072434171,9780072434170,0072434171,288        pp,4.09,"27,120",1974,"Jan 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 12, 2024",,Paperback,view,/book/show/12527.Pilgrim_at_Tinker_Creek
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Banyan Moon,"Thai, Thao",0063267101,9780063267107,0063267101,336        pp,3.93,"21,587","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 08, 2024",,Hardcover,view,/book/show/62800971-banyan-moon
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Mr. Mercedes        (Bill Hodges Trilogy, #1)","King, Stephen*",1476754454,9781476754451,1476754454,437        pp,4.02,"321,643","Jun 03, 2014","Jun 03, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/18775247-mr-mercedes
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unmaking of June Farrow,"Young, Adrienne*",0593598679,9780593598672,0593598679,320        pp,4.20,"48,370","Oct 17, 2023","Oct 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Hardcover,view,/book/show/66087062-the-unmaking-of-june-farrow
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Love Song of Miss Queenie Hennessy        (Harold Fry, #2)","Joyce, Rachel",0385682824,9780385682824,0385682824,352        pp,4.08,"30,044","Oct 07, 2014","Oct 21, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/20890479-the-love-song-of-miss-queenie-hennessy
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Future,"Alderman, Naomi*",166802568X,9781668025680,166802568X,432        pp,3.88,"11,326","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/123163147-the-future
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,'Salem's Lot,"King, Stephen*",,,,668        pp,4.06,"455,843","Oct 17, 1975","May 06, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/13480263-salem-s-lot
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Piranesi,"Clarke, Susanna",163557563X,9781635575637,163557563X,272        pp,4.23,"280,811","Sep 15, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/50202953-piranesi
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,087","Jul 13, 2021","Jul 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Kindle Edition,view,/book/show/40864002-a-psalm-for-the-wild-built
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once There Were Wolves,"McConaghy, Charlotte*",1250244145,9781250244147,1250244145,258        pp,4.11,"85,489","Aug 03, 2021","Aug 03, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Hardcover,view,/book/show/54860573-once-there-were-wolves
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Slow Horses        (Slough House, #1)","Herron, Mick",1569479011,9781569479018,,320        pp,3.99,"44,574","Jun 01, 2010","Jun 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My husband and I blitzed through the three seasons of this show, and while we wait for more, I wanted to listen to the audiobooks. There's something eMy husband and I blitzed through the three seasons of this show, and while we wait for more, I wanted to listen to the audiobooks. There's something entertaining about a band of misfits serving under a seemingly incompetent leader, none of whom fully follow the script they've been given.This was well narrated and the adaptation was fairly faithful to the book. I'm looking forward to getting past what I've watched for unfamiliar storylines. ...more",Notes are private!,0,0,1,not set,"Feb 06, 2024","Feb 05, 2024",,ebook,view (with text),/book/show/7929891-slow-horses
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blank,"Owens, Zibby*",1662511191,9781662511196,B0C6B5RKJS,234        pp,3.75,"5,596","Mar 05, 2024","Mar 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 03, 2024",,Kindle Edition,view,/book/show/162505506-blank
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Legacy,"Bedford, Sybille",0141188057,9780141188058,0141188057,368        pp,3.68,821,1956,"Jan 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/397112.A_Legacy
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Thomas Wolfe: Complete Works: Look Homeward, Angel, Of Time and the River, The Web and the Rock, You Can’t Go Home Again... (Bauer Classics)        (Bauer Classics) (All Time Best Writers Book 26)","Wolfe, Thomas",8835870054,9788835870050,B08DS1W3XM,"5,951        pp",3.79,14,unknown,"Oct 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Kindle Edition,view,/book/show/54740536-thomas-wolfe
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Look Homeward, Angel","Wolfe, Thomas",0743297318,9780743297318,0743297318,544        pp,3.92,"14,819",1929,"Oct 10, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Paperback,view,/book/show/12448.Look_Homeward_Angel
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,B07WG8L7WC,319        pp,3.82,"995,795","Feb 20, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Kindle Edition,view,/book/show/52656911-the-guest-list
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Postcards,"Proulx, Annie",1841155012,9781841155012,1841155012,352        pp,3.76,"5,762",unknown,"Jan 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/28000.Postcards
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Barkskins,"Proulx, Annie",0743288785,9780743288781,0743288785,717        pp,3.82,"18,943","Jun 14, 2016","Jun 14, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Hardcover,view,/book/show/25111119-barkskins
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Accordion Crimes,"Proulx, Annie",0684831546,9780684831541,0684831546,432        pp,3.60,"7,490","Jun 19, 1996","Jun 17, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 30, 2024",,Paperback,view,/book/show/28001.Accordion_Crimes
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bewilderment,"Powers, Richard",0393881148,9780393881141,0393881148,278        pp,3.92,"59,181","Sep 21, 2021","Sep 21, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 08, 2024",not set,"Jan 29, 2024",,Hardcover,view,/book/show/56404444-bewilderment
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,216","Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE WOMEN by Kristin Hannah is primarily set in Vietnam, focusing on the experiences of the too-often overlooked medical work of women during the VietTHE WOMEN by Kristin Hannah is primarily set in Vietnam, focusing on the experiences of the too-often overlooked medical work of women during the Vietnam war. If soldiers were generally maligned for their service, women were unknown/unforgotten, although they, too, were surrounded by trauma and attacks and suffered afterwards. Frankie enlists somewhat naively to serve as a nurse and is somewhat surprised when her parents are not proud of her but uphold her brother's military service. This expansive book covers the complexity of love and loss in wartime and the experience of veterans who chose to actively protest the war upon their return. This historical fiction can shine a lens on a poorly remembered time and offer context and nuance.(I received a digital ARC from the publisher via NetGalley in exchange for my honest .)...more",Notes are private!,0,0,1,not set,"Mar 02, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/127305853-the-women
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shadows on the Rock,"Cather, Willa",0679764046,9780679764045,0679764046,229        pp,4.00,"2,734",1931,"Sep 26, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/834424.Shadows_on_the_Rock
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Field Notes for the Wilderness: Practices for an Evolving Faith,"Bessey, Sarah*",0593593677,9780593593677,0593593677,256        pp,4.56,388,unknown,"Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 25, 2024",not set,"Jan 25, 2024",,Hardcover,view,/book/show/174147274-field-notes-for-the-wilderness
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"American Gods        (American Gods, #1)","Gaiman, Neil*",,,B004YW4L5K,565        pp,4.11,"925,164","Jun 19, 2001","Jun 21, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This version of American Gods is the author's preferred text.Shadow is released from prison and finds himself a widower, although his wife is not fullThis version of American Gods is the author's preferred text.Shadow is released from prison and finds himself a widower, although his wife is not fully departed and makes periodic appearances. He is recruited to work for Wednesday and succumbs to mysterious visions and dreams. This sprawling epic has slight of hand, a storm steadily brewing, old gods versus new gods, and it all builds to a showdown. Can we have an impact in events? Can we alter the course of things? What is fixed and what is fluid? The audiobook was engaging to listen to, although I had a slight adjustment to the full cast recording, as I traditionally listen to a single narrator....more",Notes are private!,0,0,1,not set,"Feb 03, 2024","Jan 24, 2024",,Kindle Edition,view (with text),/book/show/57281885-american-gods
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet the Benedettos,"Cotugno, Katie*",0063324148,9780063324145,0063324148,256        pp,3.30,"2,407","Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/123239374-meet-the-benedettos
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alphabetical Diaries,"Heti, Sheila*",0374610789,9780374610784,0374610789,224        pp,4.11,779,"Feb 06, 2024","Feb 06, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The premise of ALPHABETICAL DIARIES is revelatory -- Sheila Heti takes her diary across several years (from her late twenties to early thirties) and bThe premise of ALPHABETICAL DIARIES is revelatory -- Sheila Heti takes her diary across several years (from her late twenties to early thirties) and breaks it up into sentences/fragments. Then she alphabetizes it all to form a new creation.The outcome leads to both more privacy in some situations (Heti doesn't shy away from discussing sexual encounters, so pronouns out of context can remove identifying features). Additionally, we can gain more insight and understanding through this process: when sentences start with the same individual, we find a host of descriptors: perhaps a friend is brilliant, gifted, wonderful, but also ineffective and a poser. She loves a partner, adores them, then judges them and finds fault. We see the evolution of situations play out, but we can also find fragments sprinkled throughout and wonder if they tie together (""Is this related to that other scene?"").I couldn't help but reflect on my initial, obnoxious response when I first went to a modern art gallery. I walked away from multiple exhibits going, ""I could make that. Therefore, it's not art."" One of my artist sisters gently but pointedly put me in my place, informing me that sure, while I could do something like that, this person was the first; they saw the potential and the art in something, so they made it happen and invited us to consider something in a new light, to see it as art.Heti took a gamble on this exercise, and it is a successful, interesting venture. I'd be interested in hearing more from her about this project; did she do any editing of her entries? When did this idea occur to her? Was it while she was still writing in her diary? I can't help but wonder if she found herself trying to alter the words that began her sentences to get more range, and whether there were there any topics too sacred or private that were excluded.The audiobook is narrated by Kate Berlant; she does a notable job adding nuance and energy into the disparate parts. While Berlant is an adept reader and I have no complaints or criticisms on her performance, I might suggest those intrigued with this title to encounter it in its print or digital medium, simply so they can soak it in and more easily return to various sections of the book.(I received a digital ALC from the publisher via NetGalley in exchange for my honest .) ...more",Notes are private!,0,0,1,not set,"Jan 23, 2024","Jan 20, 2024",,Hardcover,view (with text),/book/show/127282792-alphabetical-diaries
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Have a Beautiful, Terrible Day!: Daily Meditations for the Ups, Downs & In-Betweens","Bowler, Kate",0593727673,9780593727676,0593727673,240        pp,4.44,404,unknown,"Jan 23, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The preface sets the stage for HAVE A BEAUTIFUL, TERRIBLE DAY; Kate Bowler wrote this in the ""midst of a dark season of pain,"" where the first hour ofThe preface sets the stage for HAVE A BEAUTIFUL, TERRIBLE DAY; Kate Bowler wrote this in the ""midst of a dark season of pain,"" where the first hour of the day was her most bearable, after which she struggled to focus. This was a project that was manageable in those constraints.Bowler excels in vulnerability, offering strength and companionship to those also struggling, allowing others to be transparent in their realities. Every meditation starts with a verse and an introduction to frame the content and then closes with a reflection prompt. The structure offers bite-size readings that still manage to be impactful.No topic is off limits as she offers meditations for regret, for feeling aimless, for being overwhelmed, disappointed, or a host of other circumstances, and then she turns her attention to a Lent devotional and a section for Advent.This title is a welcome resource in our current publishing season of modern, relevant meditations to match our realities with all their messiness and complexities.(I received a digital ARC from the publisher via NetGalley in exchange for my honest .) ...more",Notes are private!,0,0,1,not set,"Feb 10, 2024","Jan 14, 2024",,Hardcover,view (with text),/book/show/150247411-have-a-beautiful-terrible-day
