,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Jules Buono®'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Next Mrs. Parrish        (Mrs. Parrish, #2)","Constantine, Liv*",0593599926,9780593599921,0593599926,336        pp,4.06,"1,495","Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Hardcover,view,/book/show/198563729-the-next-mrs-parrish
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Novel Summer,"Brenner, Jamie*",0778310841,9780778310846,B0C4B4T3HC,320        pp,3.98,63,"Jul 16, 2024","Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Paperback,view,/book/show/148829930-a-novel-summer
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vineyard Remains,"McKnight, Addison*",1542038146,9781542038140,B0C7YG185H,357        pp,4.03,295,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Kindle Edition,view,/book/show/177614766-the-vineyard-remains
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Philadelphia Heiress,"Abriel, Anita*",1662509839,9781662509834,B0C6V4KVZN,283        pp,3.95,287,"Mar 26, 2024","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 27, 2024",,Kindle Edition,view,/book/show/171186326-the-philadelphia-heiress
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seven Days in June,"Williams, Tia*",1538719096,9781538719091,1538719096,352        pp,4.03,"153,642","Jun 01, 2021","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 26, 2024",,Paperback,view,/book/show/59228198-seven-days-in-june
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paradise Problem,"Lauren, Christina*",1668017725,9781668017722,1668017725,352        pp,4.30,"1,269","May 14, 2024","May 14, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/199797582-the-paradise-problem
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Love Song for Ricki Wilde,"Williams, Tia*",153872670X,9781538726709,153872670X,352        pp,4.10,"10,266","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/173404023-a-love-song-for-ricki-wilde
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ruthless Vows        (Letters of Enchantment, #2)","Ross, Rebecca*",1250857457,9781250857453,1250857457,432        pp,4.15,"149,066","Dec 26, 2023","Dec 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ruthless Vows picks up where the massive cliffhanger in Divine Rivals left off. So as not to spoil any plotlines for you, I’m going to be vague here: Ruthless Vows picks up where the massive cliffhanger in Divine Rivals left off. So as not to spoil any plotlines for you, I’m going to be vague here: as the war rages on, the bonds of family and love are tested.This book focuses more on facing the challenges of love at a time of war, and its themes focus more heavily on the brutal realities of war.The war, and the many plot twists it causes, leave this fantasy world and its characters forever changed.This book is more dense than the first, but the shocking plot twists make it well worth it. While the gods, the war, and magic could have been better fleshed out, the limited fantasy world-building does make this series easy to read.If you plan on reading the Letters of Enchantment series, you absolutely must read Ruthless Vows or you will be left knowing only half of the story of Iris and Roman. It’s more like a “Part Two” than a sequel.Get my full guide to the Letters of Enchantment series here: https://www.julesbuono.com/divine-riv......more",Notes are private!,0,1,1,"Feb 23, 2024","Feb 23, 2024","Feb 13, 2024",,Hardcover,view (with text),/book/show/127280062-ruthless-vows
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unreasonable Hospitality: The Remarkable Power of Giving People More Than They Expect,"Guidara, Will",0593418573,9780593418574,0593418573,288        pp,4.46,"9,358",unknown,"Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2024",,Hardcover,view,/book/show/60018618-unreasonable-hospitality
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 80/20 CEO: Take Command of Your Business in 100 Days,"Canady, Bill*",,9798888242483,B0CQN4WND4,267        pp,4.83,116,unknown,"Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 25, 2024",,Hardcover,view,/book/show/204125516-the-80-20-ceo
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Middle of the Night,"Sager, Riley*",0593472373,9780593472378,0593472373,384        pp,4.09,322,"Jun 18, 2024","Jun 18, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/199026522-middle-of-the-night
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Such a Bad Influence,"Muenter, Olivia",1683694015,9781683694014,1683694015,336        pp,4.18,61,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/198509143-such-a-bad-influence
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Worst Wingman Ever        (The Improbable Meet-Cute, #2)","Jimenez, Abby*",166251963X,9781662519635,B0CL7H4JD9,61        pp,4.01,"55,380","Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 24, 2024","Jan 24, 2024","Jan 23, 2024",,Kindle Edition,view,/book/show/200034606-worst-wingman-ever
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Circle of Friends,"Binchy, Maeve",0099498596,9780099498599,0099498596,722        pp,4.06,"65,577","Jan 01, 1980","Jul 18, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/41977.Circle_of_Friends
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tara Road,"Binchy, Maeve",0440235596,9780440235590,B005E039FE,648        pp,3.93,"79,702",1998,"Jan 01, 1988",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Paperback,view,/book/show/5196.Tara_Road
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One in a Millennial: On Friendship, Feelings, Fangirls, and Fitting In","Kennedy, Kate",1250285127,9781250285126,1250285127,328        pp,3.96,"7,013","Jan 23, 2024","Jan 23, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,2,1,1,"Jan 29, 2024","Jan 29, 2024","Jan 23, 2024",,Hardcover,view,/book/show/123921296-one-in-a-millennial
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,End of Story,"Finn, A.J.",0062678477,9780062678478,0062678477,368        pp,3.15,"6,014","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,ebook,view,/book/show/37868564-end-of-story
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Just Kids,"Smith, Patti*",0060936223,9780060936228,0060936223,306        pp,4.21,"280,510","Jan 19, 2010","Nov 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Paperback,view,/book/show/7741657-just-kids
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of the Woods,"Moore, Liz*",059341893X,9780593418932,B0CL1YQLB5,496        pp,4.54,175,"Jun 04, 2024","Jul 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 21, 2024",,Kindle Edition,view,/book/show/199698485-the-god-of-the-woods
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lottery,"Jackson, Shirley",1563127873,9781563127878,1563127873,30        pp,4.06,"90,149","Jun 26, 1948",1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/6219656-the-lottery
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Midnight in the Garden of Good and Evil,"Berendt, John",0679751521,9780679751526,0679751521,386        pp,3.92,"270,278","Jan 13, 1994","Jun 28, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Paperback,view,/book/show/386187.Midnight_in_the_Garden_of_Good_and_Evil
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ella Minnow Pea: A Novel in Letters,"Dunn, Mark",0385722435,9780385722438,0385722435,208        pp,3.93,"48,959","Oct 01, 2001","Sep 17, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/16200.Ella_Minnow_Pea
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Made to Stick: Why Some Ideas Survive and Others Die,"Heath, Chip",1400064287,9781400064281,1400064287,291        pp,3.98,"92,839","Dec 18, 2006","Jan 02, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Feb 12, 2024","Feb 12, 2024","Jan 16, 2024",,Hardcover,view,/book/show/69242.Made_to_Stick
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Happier Life,"Harvey, Kristy Woodson*",1668012197,9781668012192,,384        pp,4.54,195,unknown,"Jun 25, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/176443295-a-happier-life
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Within Arm's Reach,"Napolitano, Ann*",0593732499,9780593732496,0593732499,352        pp,3.41,692,2004,"Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Paperback,view,/book/show/203019737-within-arm-s-reach
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Summers In Between,"Foster, Brooke Lea",1668034379,9781668034378,1668034379,320        pp,4.00,58,"Jun 04, 2024","Jun 04, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/199797980-all-the-summers-in-between
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fates and Furies,"Groff, Lauren*",1594634475,9781594634475,1594634475,390        pp,3.58,"138,691","Sep 15, 2015","Sep 15, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/24612118-fates-and-furies
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cliffs: A novel,"Sullivan, J. Courtney*",0593319168,9780593319161,B0CJTHCV4C,0        pp,3.96,150,unknown,"Jul 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Kindle Edition,view,/book/show/200634672-the-cliffs
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Lost Names,"Harmel, Kristin*",1982131896,9781982131890,1982131896,388        pp,4.43,"198,248","Jul 21, 2020","Jul 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 16, 2024",,Hardcover,view,/book/show/52762903-the-book-of-lost-names
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summers at the Saint,"Andrews, Mary Kay*",1250278384,9781250278388,1250278384,448        pp,4.25,980,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Hardcover,view,/book/show/195790574-summers-at-the-saint
