,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kristen's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Society, Ethics, and Technology","Winston, Morton",0534520855,9780534520854,0534520855,428        pp,3.60,45,"Jan 01, 2000","Aug 01, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 25, 2012",,Paperback,view,/book/show/260481.Society_Ethics_and_Technology
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Implacable Order of Things,"Peixoto, José Luís*",0385524463,9780385524469,0385524463,224        pp,3.88,"1,617",Oct 2000,"Jul 29, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Bending time and bending characters, this is remarkably contemporary and still very much in the spirit of folk / oral traditions. Everything becomes qBending time and bending characters, this is remarkably contemporary and still very much in the spirit of folk / oral traditions. Everything becomes quite indistinguishable and, maybe because of that, quite honest. ...more",Notes are private!,0,0,1,not set,not set,"Sep 21, 2012",,Hardcover,view (with text),/book/show/2595115-the-implacable-order-of-things
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,First Year : an mlp anthology,"Press, Mud Luscious",,,,298        pp,4.38,40,2010,"Jan 01, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 25, 2012",,Paperback,view,/book/show/7248483-first-year
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sense of an Ending,"Barnes, Julian",0224094157,9780224094153,0224094157,150        pp,3.74,"179,067","Aug 04, 2011","Aug 04, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Surprising and, at times, moving. The dependency on plot is almost totally tossed in favor of creating a full, complicated, and genuine character who Surprising and, at times, moving. The dependency on plot is almost totally tossed in favor of creating a full, complicated, and genuine character who is honestly recounting his life and experiencing the difficulty of looking back. ...more",Notes are private!,0,0,1,not set,not set,"Jan 26, 2012",,Hardcover,view (with text),/book/show/10746542-the-sense-of-an-ending
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blood Almanac,"Longhorn, Sandy*",0938078917,9780938078913,0938078917,80        pp,4.30,30,"Jun 01, 2006","Jun 01, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"sure, we sit around and think about what ""americana"" means, but longhorn goes out and puts it in our faces. this is lyrical work and there's a real sesure, we sit around and think about what ""americana"" means, but longhorn goes out and puts it in our faces. this is lyrical work and there's a real sense of work--labor--pursuit. making a landscape isn't easy and avoiding homage or pastoral fantasy is, likewise, hard. there's a real influence of modernism here: moving the deeply personal, the intimacy with place and place makers into an intellectual search for common ground. ...more",Notes are private!,0,2,1,not set,not set,"Oct 29, 2011",,Paperback,view (with text),/book/show/1888886.Blood_Almanac
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Barefoot and Listening,"Bashaar, Margaret*",,,,unknown,4.70,10,2009,Dec 2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i told a friend about this book and said, ""it's like the ear wrapped around the experience of being a woman and found out that it's a very human condii told a friend about this book and said, ""it's like the ear wrapped around the experience of being a woman and found out that it's a very human condition."" i said it and got embarrassed. now i've typed it and i'm embarrassed, but the writing feels very authentic, very shared, and very committed to creating compassion through textual investigation. bravo bashaar...more more more....more",Notes are private!,0,0,1,not set,not set,"Oct 29, 2011",,poetry chapbook,view (with text),/book/show/7273857-barefoot-and-listening
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hunger Games        (The Hunger Games, #1)","Collins, Suzanne",0439023483,9780439023481,0439023483,374        pp,4.34,"8,667,015","Sep 14, 2008","Oct 14, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 18, 2011",,Hardcover,view,/book/show/2767052-the-hunger-games
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seasons Cemented,"Ackerman, Amanda",,,,unknown,4.86,7,Oct 2010,Oct 2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 23, 2011",,"hand bound, saddle-stitched",view,/book/show/9727558-the-seasons-cemented
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Songs,"Darling, Kristina Marie*",0982630921,9780982630921,0982630921,64        pp,4.59,22,"Oct 01, 2010","Jan 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 23, 2011",,Paperback,view,/book/show/7849327-night-songs
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stands As Mediation,"Hummel, Thomas",,,,unknown,4.50,2,"Mar 12, 2009","Mar 12, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Oh yes, this was perfect. Nice play without relying on ""play"" as the movement. Something parlor-ish. Something I'll read again to think more about. Oh yes, this was perfect. Nice play without relying on ""play"" as the movement. Something parlor-ish. Something I'll read again to think more about. ...more",Notes are private!,0,0,1,not set,not set,"Mar 27, 2011",,Chapbook,view (with text),/book/show/6332570-stands-as-mediation
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hector and the Search for Happiness,"Lelord, François",1615731075,9781615731077,1615731075,134        pp,3.48,"16,515",2002,"Aug 31, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Yes, I like the punchiness of the text. The list even becomes, for all of its plainness, lovely and moving. But there's nothing that was too new. It'sYes, I like the punchiness of the text. The list even becomes, for all of its plainness, lovely and moving. But there's nothing that was too new. It's a good text to see how a basic character and a basic story line can still matter, can still be an experience to read. It's a clever play with these traditional things, but I didn't walk away and want to talk about it.That's not to say that the time spent with the book, the time considering happiness and how ""simple"" it can be, wasn't worth it. It's worth it....more",Notes are private!,0,0,1,not set,not set,"Mar 26, 2011",,Audio CD,view (with text),/book/show/8257435-hector-and-the-search-for-happiness
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light Boxes,"Jones, Shane*",,,B003NX7NQK,184        pp,3.59,"3,767",2009,"May 25, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Winter isn't over and the idea of winter making everything else--well, ridiculous--fits reading this book. I spent a day in bed, after the thaw that wWinter isn't over and the idea of winter making everything else--well, ridiculous--fits reading this book. I spent a day in bed, after the thaw that was a fooling kind of thaw because it caused another freeze, and read this book. I laughed and forgot about my seasonal depression. What more can you ask for from a book sometimes? A good day in bed, a good day to forget the bone chills. The writing, since this is a book  and not a seasonal investigation (though you might notice the title and the relationship to seasonal depression light boxes), is quirky, but covering up some pretty dark themes. Not unlike a dream in its haziness--something ""cloudy"" about the writing, something uncertain that seems to fit the very content of the text. I mean to say, the writing pulls at it's own sparsity, shows the difficulty of creating a fable that seems...well, possible. And it is possible because it's a bit confusing, a bit unnerving, and a bit of a refusal to tell a clear and exact story. It's not exact. It's not clear. It's hazy. It's hazy because it's truths and subtext are important and interesting. How can we say important and interesting things clearly?...more",Notes are private!,0,1,1,not set,not set,"Mar 26, 2011",,Kindle Edition,view (with text),/book/show/10854383-light-boxes
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light Boxes,"Jones, Shane*",0982081316,9780982081310,0982081316,175        pp,3.59,"3,767",2009,"Feb 11, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2010",,Paperback,view,/book/show/6033372-light-boxes
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Coming Through Slaughter,"Ondaatje, Michael",0679767851,9780679767855,0679767851,156        pp,3.88,"6,565",1976,"Mar 19, 1996",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This language is incredible, almost like a new language being created by blending folk and music ""talk."" This language is incredible, almost like a new language being created by blending folk and music ""talk."" ...more",Notes are private!,0,0,1,not set,not set,"Dec 17, 2010",,Paperback,view (with text),/book/show/80064.Coming_Through_Slaughter
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sorrow And The Fast Of It,"Stephens, Nathalie",0976718553,9780976718550,0976718553,100        pp,4.53,47,"Aug 01, 2007","Oct 15, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A bit isolating and seems less strung together, more like a clinging together. I hear the word ""urgent"" a lot and rarely think I read something that fA bit isolating and seems less strung together, more like a clinging together. I hear the word ""urgent"" a lot and rarely think I read something that feels urgent. ...more",Notes are private!,0,1,1,not set,not set,"Dec 13, 2010",,Paperback,view (with text),/book/show/1895641.The_Sorrow_And_The_Fast_Of_It
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vaudeville,"Wolf, Allyssa*",0975592440,9780975592441,0975592440,82        pp,4.46,39,Jan 2006,"Jan 28, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 13, 2010",,Paperback,view,/book/show/1328775.Vaudeville
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How Many of You Are You?,"Jenks, Philip*",,,,unknown,3.94,16,2006,2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 13, 2010",,chapbook/ebook,view,/book/show/1647487.How_Many_of_You_Are_You_
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Indeed I Was Pleased With the World,"Ruefle, Mary",0887484670,9780887484674,0887484670,80        pp,4.34,190,"Feb 02, 2007","Feb 01, 2007",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2010",,Paperback,view,/book/show/606104.Indeed_I_Was_Pleased_With_the_World
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Most of It,"Ruefle, Mary",1933517298,9781933517292,1933517298,96        pp,4.23,615,"Jun 01, 2008","Jun 01, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2010",,Paperback,view,/book/show/2459339.The_Most_of_It
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Idea of Fun,"Self, Will",0802142133,9780802142139,0802142133,320        pp,3.51,"2,354","Sep 19, 1993","Sep 28, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2010",,Paperback,view,/book/show/119116.My_Idea_of_Fun
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Whispering in the Projection Booth,"Wilkinson, Joshua Marie*",193219567X,9781932195675,193219567X,80        pp,4.32,63,"May 01, 2009","Jun 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 10, 2010",,Paperback,view,/book/show/5072971-the-book-of-whispering-in-the-projection-booth
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,periplum maps our star/less shores,"Koshkina, Jennifer",,,,unknown,4.91,11,2007,2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 01, 2010",,chapbook,view,/book/show/1644302.periplum_maps_our_star_less_shores
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orange Reminds You of Listening,"Abraham, Kristin*",1932418202,9781932418200,1932418202,22        pp,4.77,13,"Jan 01, 2006","Jan 01, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 28, 2010",,Paperback,view,/book/show/795369.Orange_Reminds_You_of_Listening
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Marina Tsvetaeva: The Woman, her World, and her Poetry","Karlinsky, Simon",0521275741,9780521275743,0521275741,300        pp,4.25,28,"Feb 06, 1986","Feb 28, 1986",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 26, 2010",,Paperback,view,/book/show/283222.Marina_Tsvetaeva
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ladies' Gallery: A Memoir of Family Secrets,"Vilar, Irene*",0679745467,9780679745464,0679745467,336        pp,3.90,88,"Feb 03, 1998","Feb 03, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 26, 2010","Aug 04, 2010","Jul 26, 2010",,Paperback,view,/book/show/1517177.The_Ladies_Gallery
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Is This Thing Called Love: Poems,"Addonizio, Kim*",0393327094,9780393327090,0393327094,128        pp,4.15,"1,455","Jan 08, 2004","Aug 17, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,Paperback,view,/book/show/411247.What_Is_This_Thing_Called_Love
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exhibition,"Hillard, Donora*",,,,5        pp,4.59,29,2006,2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,,view,/book/show/3980549-exhibition
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rubber Soul,"Fieled, Adam",,,,unknown,3.89,18,"Aug 12, 2008","Aug 12, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,e-chap,view,/book/show/4068562-rubber-soul
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Indiana, Indiana","Hunt, Laird*",1566891442,9781566891448,1566891442,204        pp,3.87,190,2003,"Sep 01, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,Hardcover,view,/book/show/384651.Indiana_Indiana
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Difficult Farm,"Christle, Heather*",0980193834,9780980193831,0980193834,77        pp,4.28,334,2009,"Oct 07, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,Paperback,view,/book/show/6923043-the-difficult-farm
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Black Life,"Lasky, Dorothea*",1933517433,9781933517438,1933517433,77        pp,4.26,363,2010,"Apr 01, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 12, 2010",,Paperback,view,/book/show/7091797-black-life
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Descent of Alette,"Notley, Alice",0140587640,9780140587647,0140587640,160        pp,4.30,"1,323","Mar 01, 1996","Apr 01, 1996",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Paperback,view,/book/show/404522.The_Descent_of_Alette
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dreamscape or-,"Drescher, Julia*",,,,unknown,4.67,6,Sep 2006,2006,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Handmade Chapbook,view,/book/show/2667253-dreamscape-or-
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Women in Dada: Essays on Sex, Gender, and Identity","Sawelson-Gorse, Naomi",0262692600,9780262692601,0262692600,704        pp,4.24,37,1999,"Feb 19, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Paperback,view,/book/show/549657.Women_in_Dada
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Scaffolding:  My Proust Vocabulary,"Tate, Bronwen*",,,,unknown,4.65,17,2009,2009,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,,view,/book/show/7674474-scaffolding
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,LETTERS  PATTERNS  STRUCTURES,"Topel, Andrew*",,,,unknown,4.75,4,unknown,unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,,view,/book/show/7791478-letters-patterns-structures
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Colossus and Other Poems,"Plath, Sylvia",0394704665,9780394704661,0394704665,84        pp,4.17,"12,878",1960,"Sep 12, 1968",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Paperback,view,/book/show/826833.The_Colossus_and_Other_Poems
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At Swan Decapitation,"Bush, Zachary*",0980194415,9780980194418,0980194415,64        pp,4.25,4,unknown,"Jan 19, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Paperback,view,/book/show/7735596-at-swan-decapitation
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Women, Food and God: An Unexpected Path to Almost Everything","Roth, Geneen*",1416543074,9781416543077,1416543074,224        pp,3.68,"16,459","May 11, 2009","Mar 02, 2010",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jun 02, 2010",,Hardcover,view,/book/show/6758423-women-food-and-god
