,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lauren's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ruthless Vows        (Letters of Enchantment, #2)","Ross, Rebecca*",1250857457,9781250857453,1250857457,432        pp,4.15,"149,059","Dec 26, 2023","Dec 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/127280062-ruthless-vows
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Can Know,"Marshall, Kate Alice*",1250859913,9781250859914,1250859913,325        pp,3.72,"30,738","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/127305892-no-one-can-know
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Back of the Turtle,"King, Thomas",1443431621,9781443431620,1443431621,518        pp,4.09,"3,551","Aug 12, 2014","Sep 02, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/22662902-the-back-of-the-turtle
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inconvenient Indian: A Curious Account of Native People in North America,"King, Thomas",0385674058,9780385674058,,266        pp,4.25,"16,172","Nov 13, 2012","Nov 13, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"So powerful to hear these horrendous truths through such a sarcastic point of view while yet having no sarcasm at all, because everything is so accuraSo powerful to hear these horrendous truths through such a sarcastic point of view while yet having no sarcasm at all, because everything is so accurate. If you are on a literary journey to truth and reconciliation from the calls to action, this book is a great step for the truth part of that journey....more",Notes are private!,0,3,1,"Mar 31, 2024","Apr 05, 2024","Feb 29, 2024",,ebook,view (with text),/book/show/15797509-the-inconvenient-indian
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon of the Turning Leaves        (Moon, #2)","Rice, Waubgeshig*",0358673259,9780358673255,0358673259,320        pp,4.32,"3,351","Oct 10, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/167067538-moon-of-the-turning-leaves
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I'm with the Band: Confessions of a Groupie,"Des Barres, Pamela",1556525893,9781556525896,1556525893,320        pp,3.70,"19,674",Jun 1987,"Oct 28, 2005",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Honestly this book just wasn't my cup of tea, but it was interesting to see a life entirely different from my own lol. Honestly this book just wasn't my cup of tea, but it was interesting to see a life entirely different from my own lol. ...more",Notes are private!,0,2,1,"Feb 26, 2024","Mar 18, 2024","Feb 26, 2024",,Paperback,view (with text),/book/show/50039.I_m_with_the_Band
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Grandmother Begins the Story,"Porter, Michelle",1643755188,9781643755182,1643755188,336        pp,3.84,"1,533","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/123204565-a-grandmother-begins-the-story
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Generations and The Seven Grandfather Teachings,"Vukelich, James*",,,B0C6RVS92X,64        pp,4.72,315,unknown,"Jun 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/169739638-the-seven-generations-and-the-seven-grandfather-teachings
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Making Love with the Land: Essays,"Whitehead, Joshua",1517914477,9781517914479,1517914477,232        pp,4.13,"1,035","Aug 23, 2022","Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/60782874-making-love-with-the-land
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Fourth Wing        (The Empyrean, #1)","Yarros, Rebecca*",1649374046,9781649374042,1649374046,498        pp,4.59,"1,500,807","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 21, 2024",,Hardcover,view,/book/show/61431922-fourth-wing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of a National Crime,"Bryce, Peter Henderson",1331922364,9781331922360,1331922364,22        pp,4.36,14,"Jul 21, 2015","Aug 24, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/26321907-the-story-of-a-national-crime
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Place: 150 Years Retold,"Akiwenzie-Damm, Kateri",1553797582,9781553797586,1553797582,287        pp,4.38,"3,694","May 01, 2019","Apr 30, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/39351184-this-place
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Mind Spread Out on the Ground,"Elliott, Alicia*",0385692382,9780385692380,0385692382,240        pp,4.43,"9,219","Mar 26, 2019","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was hard. Very hard, and I loved that about it. Great read, but make sure you are prepared for lots of triggers.",Notes are private!,0,0,1,"Feb 21, 2024","Feb 24, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/40749239-a-mind-spread-out-on-the-ground
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Becoming Kin: An Indigenous Call to Unforgetting the Past and Reimagining Our Future,"Krawec, Patty",1506478255,9781506478258,1506478255,240        pp,4.59,"1,133","Sep 27, 2022","Sep 27, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Absolutely loved how this book provides concrete examples of things that you as a settler can do in order to help the process of truth and reconciliatAbsolutely loved how this book provides concrete examples of things that you as a settler can do in order to help the process of truth and reconciliation. Ambe!! Lets go!!...more,Notes are private!,0,1,1,"Feb 24, 2024","Feb 29, 2024","Feb 01, 2024",,Hardcover,view (with text),/book/show/60143351-becoming-kin
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Attack of the Black Rectangles,"King, Amy Sarig",1338680528,9781338680522,1338680528,258        pp,4.22,"5,007","Sep 06, 2022","Sep 06, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"WOW. I know I would prefer to teach division one but honestly after reading this book I would love a division two class just to do a novel study of thWOW. I know I would prefer to teach division one but honestly after reading this book I would love a division two class just to do a novel study of this book. Amazing, and all accessible for kids....more",Notes are private!,0,1,1,"Feb 19, 2024","Feb 21, 2024","Jan 30, 2024",,Hardcover,view (with text),/book/show/59806035-attack-of-the-black-rectangles
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wanted        (Pretty Little Liars, #8)","Shepard, Sara*",0061566179,9780061566172,0061566179,261        pp,4.09,"45,635","Jun 08, 2010","Jun 08, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Honestly feel as though this series could be left here, so I'm slightly concerned that there is still like 7 or 8 more books, BUT I was wholeheartedlyHonestly feel as though this series could be left here, so I'm slightly concerned that there is still like 7 or 8 more books, BUT I was wholeheartedly invested to finish this in under 24 hours PLUS the twists in this one were some of the best yet....more",Notes are private!,0,1,1,"Jan 21, 2024","Jan 22, 2024","Jan 21, 2024",,Hardcover,view (with text),/book/show/3047851-wanted
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Marrow Thieves,"Dimaline, Cherie",1770864865,9781770864863,1770864865,234        pp,3.99,"35,842","May 22, 2017","Sep 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Shows the absolute resilience and strength that Indigenous peoples have, unfortunately at the hand of systemic violence. This book takes it a step furShows the absolute resilience and strength that Indigenous peoples have, unfortunately at the hand of systemic violence. This book takes it a step further into dystopia, but honestly I found myself thinking time and time again that it is not as far fetched as I hope it would be. Also shows the power of Indigenous ways of knowing and language in a masterful way....more",Notes are private!,0,2,1,"Feb 19, 2024","Feb 26, 2024","Jan 19, 2024",,Paperback,view (with text),/book/show/34649348-the-marrow-thieves
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Divine Rivals        (Letters of Enchantment, #1)","Ross, Rebecca*",1250857430,9781250857439,1250857430,357        pp,4.23,"364,327","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,Hardcover,view,/book/show/60784546-divine-rivals
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hate U Give        (The Hate U Give, #1)","Thomas, Angie*",,,0062498533,454        pp,4.47,"897,593","Feb 28, 2017","Feb 28, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book was incredible, so inspirational and educational while still being a convincing narrative that kept me engaged throughout.",Notes are private!,0,3,1,"Jan 17, 2024","Jan 25, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/32075671-the-hate-u-give
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Barren Grounds        (The Misewa Saga, #1)","Robertson, David A.*",0735266107,9780735266100,0735266107,256        pp,3.90,"4,737","Sep 08, 2020","Sep 08, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Hardcover,view,/book/show/49291521-the-barren-grounds
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Across the Lake,"Sager, Riley*",139970060X,,B09GX9L4TF,369        pp,3.60,"249,571","Jun 21, 2022","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 14, 2024",,Kindle Edition,view,/book/show/58909880-the-house-across-the-lake
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elementary and Middle School Mathematics: Teaching Developmentally,"Walle, John A. Van de",0205483925,9780205483921,0205483925,576        pp,4.01,452,"Jan 01, 1994","Feb 13, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 13, 2024","Jan 30, 2024","Jan 13, 2024",,Paperback,view,/book/show/183760.Elementary_and_Middle_School_Mathematics
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Social Studies for a Better World: An Anti-oppressive Approach for Elementary Educators,"Rodriguez, Noreen Naseem",1324016779,9781324016779,1324016779,233        pp,4.36,44,unknown,"Nov 16, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Actually loved this textbook, really excited to have difficult justice conversations in my future classroom",Notes are private!,0,2,1,"Jan 13, 2024","Feb 08, 2024","Jan 13, 2024",,Paperback,view (with text),/book/show/56769600-social-studies-for-a-better-world
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lightlark        (Lightlark, #1)","Aster, Alex*",1419760866,9781419760860,1419760866,416        pp,3.80,"90,534","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 30, 2023",,Hardcover,view,/book/show/60310757-lightlark
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Psalm for the Wild-Built        (Monk & Robot, #1)","Chambers, Becky*",,,,160        pp,4.28,"106,090","Jul 13, 2021","Jul 13, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book was actually freaking amazing an opened my eyes to the possibility of robots gaining autonomy and that actually being a potentially great thThis book was actually freaking amazing an opened my eyes to the possibility of robots gaining autonomy and that actually being a potentially great thing instead of it being a terrifying thing....more,Notes are private!,0,0,1,"Dec 27, 2023","Dec 30, 2023","Dec 27, 2023",,Kindle Edition,view (with text),/book/show/40864002-a-psalm-for-the-wild-built
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Frost and Starlight        (A Court of Thorns and Roses, #3.5)","Maas, Sarah J.*",1635575621,9781635575620,1635575621,232        pp,3.77,"1,154,863","May 01, 2018","Jun 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Obvi not a ton happened plot wise other than some major foreshadowing, but it was overall enjoyable. Except tbh Amren and Nesta bother me a bit, I hopObvi not a ton happened plot wise other than some major foreshadowing, but it was overall enjoyable. Except tbh Amren and Nesta bother me a bit, I hope they can both heal and get over themselves a bit in the final book LOL...more",Notes are private!,1,3,1,"Dec 22, 2023","Dec 27, 2023","Dec 22, 2023",,Paperback,view (with text),/book/show/50659471-a-court-of-frost-and-starlight
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"They Both Die at the End        (They Both Die at the End Series, 1)","Silvera, Adam*",0062457799,9780062457790,0062457799,389        pp,3.77,"740,634","Sep 05, 2017","Sep 05, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Some parts were cute and it filled my existential expectation of the title, but overall didn't grip meSome parts were cute and it filled my existential expectation of the title, but overall didn't grip me...more",Notes are private!,0,1,1,"Dec 22, 2023","Dec 22, 2023","Dec 22, 2023",,Hardcover,view (with text),/book/show/33385229-they-both-die-at-the-end
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heartless        (Pretty Little Liars, #7)","Shepard, Sara*",0061566152,9780061566158,0061566152,274        pp,4.03,"43,107","Jan 19, 2010","Jan 19, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I am honestly addicted to this series. Eagerly looking forward to the next one,Notes are private!,1,1,1,"Dec 15, 2023","Dec 15, 2023","Dec 15, 2023",,Hardcover,view (with text),/book/show/3047848-heartless
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Finna,"Marshall, Nate",0593132459,9780593132456,0593132459,128        pp,4.49,"2,174","Aug 11, 2020","Aug 11, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow. Hearing this read as spoken poetry by the author was incredible. I will absolutely be revisiting this book, it was such a powerful and direct accWow. Hearing this read as spoken poetry by the author was incredible. I will absolutely be revisiting this book, it was such a powerful and direct account of growing up black in America. If you are looking for books that will help you to educate yourself about the black experience, there is no better book to start with than this one....more",Notes are private!,0,1,1,"Dec 14, 2023","Dec 15, 2023","Dec 14, 2023",,Paperback,view (with text),/book/show/48984964-finna
