,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,dejamo's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Braiding Sweetgrass: Indigenous Wisdom, Scientific Knowledge and the Teachings of Plants","Kimmerer, Robin Wall",1571313354,9781571313355,1571313354,391        pp,4.54,"117,208","Oct 15, 2013","Oct 15, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Hardcover,view,/book/show/17465709-braiding-sweetgrass
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,2666,"Bolaño, Roberto",0312429215,9780312429218,0312429215,912        pp,4.21,"41,675",2004,"Sep 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 16, 2023","Jul 30, 2023","Jun 16, 2023",,Paperback,view,/book/show/6372225-2666
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sleepwalk,"Chaon, Dan*",1250175216,9781250175212,1250175216,320        pp,3.66,"3,625","May 24, 2022","May 24, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 31, 2023","Jun 09, 2023","May 31, 2023",,Hardcover,view,/book/show/57771216-sleepwalk
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paris Stories,"Gallant, Mavis",1590170229,9781590170229,1590170229,378        pp,3.95,"1,568",2002,"Oct 31, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 14, 2023","May 31, 2023","May 14, 2023",,Paperback,view,/book/show/233987.Paris_Stories
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Los de abajo,"Azuela, Mariano",9561319640,9789561319646,9561319640,151        pp,3.64,"9,353",1915,Mar 2008,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 27, 2023",,Paperback,view,/book/show/57376935-los-de-abajo
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Where the Air Is Clear,"Fuentes, Carlos",1564783448,9781564783448,1564783448,373        pp,4.05,"2,429",Apr 1958,"Dec 23, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 27, 2023","May 14, 2023","Apr 27, 2023",,Paperback,view,/book/show/59424.Where_the_Air_Is_Clear
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,They: A Sequence of Unease,"Dick, Kay",,,,94        pp,3.38,"4,012",1977,1977,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 26, 2023",,Hardcover,view,/book/show/1714747.They
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invention of Morel,"Bioy Casares, Adolfo",1590170571,9781590170571,1590170571,103        pp,4.02,"25,347",1940,"Aug 31, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 21, 2023","Apr 26, 2023","Apr 21, 2023",,Paperback,view,/book/show/94486.The_Invention_of_Morel
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Labyrinth of Solitude and Other Writings,"Paz, Octavio",080215042X,9780802150424,080215042X,398        pp,4.12,"11,864",1950,"Jan 12, 1994",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 12, 2023","Apr 21, 2023","Apr 12, 2023",,Paperback,view,/book/show/11702.The_Labyrinth_of_Solitude_and_Other_Writings
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Mother: Demonology,"Acker, Kathy",0517144867,9780517144862,0517144867,268        pp,3.90,498,"Jul 20, 1993","May 03, 1995",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 09, 2023","Apr 12, 2023","Apr 09, 2023",,Hardcover,view,/book/show/16154.My_Mother
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Festival of Insignificance,"Kundera, Milan",0062356895,9780062356895,,115        pp,3.35,"19,461","Oct 30, 2013","Jun 23, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 31, 2023","Apr 09, 2023","Mar 31, 2023",,Hardcover,view,/book/show/23315843-the-festival-of-insignificance
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Behind the Moon,"Bell, Madison Smartt",0872867366,9780872867369,0872867366,280        pp,3.30,60,unknown,"May 16, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 30, 2023",,Paperback,view,/book/show/31944652-behind-the-moon
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Something I've Been Meaning to Tell You,"Munro, Alice",0375707484,9780375707483,0375707484,246        pp,4.07,"3,915",1974,"Oct 12, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2023","Mar 31, 2023","Mar 23, 2023",,Paperback,view,/book/show/14283.Something_I_ve_Been_Meaning_to_Tell_You
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Absalom, Absalom!","Faulkner, William",0679732187,9780679732181,0679732187,316        pp,3.98,"44,541",May 1936,"Nov 30, 1990",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 07, 2023","Mar 12, 2023","Mar 07, 2023",,Paperback,view,/book/show/373755.Absalom_Absalom_
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Literature,"Eco, Umberto",0156032392,9780156032391,0156032392,352        pp,3.95,"2,238",2002,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 09, 2023","Mar 07, 2023","Feb 09, 2023",,Paperback,view,/book/show/10508.On_Literature
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beware of God: Stories,"Auslander, Shalom",0743264576,9780743264570,0743264576,207        pp,3.85,"1,388",2005,"Apr 03, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 09, 2023",,Paperback,view,/book/show/50901.Beware_of_God
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Inquisitors' Manual,"Lobo Antunes, António",0802140521,9780802140524,0802140521,448        pp,4.16,916,Jan 1996,"Apr 08, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2023",,Paperback,view,/book/show/71582.The_Inquisitors_Manual
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Running with Scissors,"Burroughs, Augusten*",031242227X,9780312422271,031242227X,336        pp,3.76,"390,622","Jul 10, 2002","Jun 01, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 13, 2023",,Paperback,view,/book/show/242006.Running_with_Scissors
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Watermelon Sugar,"Brautigan, Richard",0099437597,9780099437598,0099437597,144        pp,3.79,"23,087","Jun 14, 1968","Jan 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 13, 2023",,Paperback,view,/book/show/46182.In_Watermelon_Sugar
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who by Fire: Leonard Cohen in the Sinai,"Friedman, Matti",1954118074,9781954118072,1954118074,224        pp,4.22,"1,050","Aug 30, 2021","Mar 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2023",,Hardcover,view,/book/show/58916252-who-by-fire
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Women Talking,"Toews, Miriam",1635572584,9781635572582,1635572584,216        pp,3.62,"57,610","Aug 21, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 04, 2023",,Hardcover,view,/book/show/40046077-women-talking
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pigeon Post,"tsepeneag, Dumitru",1564785165,9781564785169,1564785165,159        pp,3.43,37,"Jan 01, 2008","Dec 01, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2023",,Paperback,view,/book/show/3347857-pigeon-post
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jewish Pride: Rebuilding a People,"Freeman, Ben M.*",1913532135,9781913532130,1913532135,352        pp,4.39,175,unknown,"Feb 15, 0021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2023",,Paperback,view,/book/show/55927629-jewish-pride
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Original of Laura,"Nabokov, Vladimir",0307271897,9780307271891,0307271897,304        pp,3.32,"1,829",2009,"Nov 17, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 02, 2023",,Hardcover,view,/book/show/6267192-the-original-of-laura
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Notebook, The Proof, The Third Lie: Three Novels","Kristóf, Ágota",0802135064,9780802135063,0802135064,478        pp,4.41,"29,015",1991,"Jun 23, 1997",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 02, 2023","Jan 13, 2023","Jan 02, 2023",,Paperback,view,/book/show/230514.The_Notebook_The_Proof_The_Third_Lie
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Smoke and Mirrors: Short Fiction and Illusions,"Gaiman, Neil*",0380789027,9780380789023,0380789027,365        pp,4.02,"71,882","Nov 01, 1998","Aug 30, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 06, 2022","Dec 10, 2022","Dec 06, 2022",,Mass Market Paperback,view,/book/show/16790.Smoke_and_Mirrors
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Doubter's Almanac,"Canin, Ethan",1400068266,9781400068265,1400068266,558        pp,3.69,"4,603","Feb 16, 2016","Feb 16, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/22318513-a-doubter-s-almanac
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Laughing Monsters,"Johnson, Denis",0374280592,9780374280598,0374280592,228        pp,3.17,"4,030",2014,"Nov 04, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Dec 06, 2022",,Hardcover,view,/book/show/21531497-the-laughing-monsters
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Night in the Lonesome October,"Zelazny, Roger",0380771411,9780380771417,0380771411,280        pp,4.18,"12,223",1993,"Jan 01, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 06, 2022",,Paperback,view,/book/show/62005.A_Night_in_the_Lonesome_October
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Demons,"Dostoevsky, Fyodor",0679734511,9780679734512,0679734511,768        pp,4.30,"52,043",1872,Aug 1995,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 09, 2022","Dec 06, 2022","Aug 09, 2022",,Paperback,view,/book/show/39887803-demons
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slouching Towards Bethlehem,"Didion, Joan",0374531382,9780374531386,0374531382,238        pp,4.19,"67,267",1968,"Oct 28, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 09, 2022","Dec 06, 2022","Aug 09, 2022",,Paperback,view,/book/show/4073199-slouching-towards-bethlehem
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Early Jewish cookbooks: Essays on the History of Hungarian Jewish Gastronomy,"Koerner, Andras",9633864291,9789633864296,9633864291,250        pp,5.00,1,unknown,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2022",,Paperback,view,/book/show/59952367-early-jewish-cookbooks
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The German-Jewish Cookbook: Recipes and History of a Cuisine,"Gropman, Gabrielle Rossmer",1611688736,9781611688733,1611688736,272        pp,4.20,10,unknown,"Sep 05, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 26, 2022",,Hardcover,view,/book/show/34773384-the-german-jewish-cookbook
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Female Persuasion,"Wolitzer, Meg",0399573232,9780399573231,0399573232,480        pp,3.56,"55,546","Apr 03, 2018","May 21, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2022",,Paperback,view,/book/show/44564172-the-female-persuasion
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Somebody with a Little Hammer: Essays,"Gaitskill, Mary",0307378225,9780307378224,0307378225,288        pp,3.76,616,"Apr 04, 2017","Apr 04, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2022",,Hardcover,view,/book/show/31159113-somebody-with-a-little-hammer
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What Are We Doing Here?,"Robinson, Marilynne",0374282218,9780374282219,0374282218,336        pp,3.82,921,"Feb 20, 2018","Feb 20, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jul 16, 2022",,Hardcover,view,/book/show/35259575-what-are-we-doing-here
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"At First Sight        (Global Security Unlimited, #1)","Michalove, Sharon D.*",1736918710,9781736918715,B097CJDZ9Q,327        pp,3.91,112,unknown,"Oct 22, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this. It is well written, well paced, with relatable characters and a plot that held my interest. Lots of interesting detail, but not overwhI enjoyed this. It is well written, well paced, with relatable characters and a plot that held my interest. Lots of interesting detail, but not overwhelming. A great introduction to this series....more",Notes are private!,0,0,1,not set,not set,"Jul 16, 2022",,Kindle Edition,view (with text),/book/show/45732403-at-first-sight
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the End of the Land,"Grossman, David",0307592979,9780307592972,0307592979,581        pp,4.01,"7,701",2008,"Sep 21, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 02, 2022","Jul 16, 2022","Apr 02, 2022",,Hardcover,view,/book/show/7779571-to-the-end-of-the-land
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Without Alibi,"Derrida, Jacques",0804744114,9780804744119,0804744114,352        pp,4.24,37,"Mar 05, 2002","Mar 05, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 02, 2022",,Paperback,view,/book/show/354183.Without_Alibi
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Let Me Tell You: New Stories, Essays, and Other Writings","Jackson, Shirley",0812997662,9780812997668,0812997662,448        pp,4.08,"3,377","Jul 30, 2015","Aug 04, 2015",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 02, 2022",,Hardcover,view,/book/show/23746546-let-me-tell-you
