,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Taryn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Civilisations,"Binet, Laurent",1787302296,9781787302297,1787302296,352        pp,3.67,"5,133","Aug 14, 2019","Apr 15, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,Hardcover,view,/book/show/54345837-civilisations
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Exception: Empire and the Deep State,"Good, Aaron",1510769145,9781510769144,,384        pp,4.18,215,unknown,"Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2024",,ebook,view,/book/show/58339649-american-exception
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The American Daughters,"Ruffin, Maurice Carlos*",0593729390,9780593729397,0593729390,304        pp,3.68,725,"Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/174146851-the-american-daughters
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chevengur,"Platonov, Andrei",1681377683,9781681377681,1681377683,592        pp,4.20,"1,304",1928,"Jan 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Paperback,view,/book/show/125974689-chevengur
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,There There,"Orange, Tommy*",,,,294        pp,3.98,"181,634","Jun 05, 2018","Jun 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/36692478-there-there
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,929","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Court of Thorns and Roses        (A Court of Thorns and Roses, #1)","Maas, Sarah J.*",1635575567,9781635575569,1635575567,419        pp,4.20,"2,491,750","May 05, 2015","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 05, 2024",not set,"Mar 05, 2024",,Paperback,view,/book/show/50659467-a-court-of-thorns-and-roses
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Come Again,"Powell, Nate",1603094288,9781603094283,1603094288,272        pp,3.16,938,"Jul 10, 2018","Aug 07, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 12, 2024","Mar 03, 2024",,Hardcover,view,/book/show/36710841-come-again
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exordia,"Dickinson, Seth*",1250233011,9781250233011,1250233011,544        pp,3.78,590,"Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 28, 2024",,Hardcover,view,/book/show/65213781-exordia
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,White Nights,"Dostoevsky, Fyodor",,,,82        pp,4.05,"149,635",1848,1848,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Paperback,view,/book/show/1772910.White_Nights
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Woman is No Man,"Rum, Etaf*",0063139022,9780063139022,0063139022,368        pp,4.26,"149,555","Mar 05, 2019","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Paperback,view,/book/show/56755580-a-woman-is-no-man
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Faebound        (Faebound, #1)","El-Arifi, Saara*",0593723007,9780593723005,0593723007,386        pp,3.69,"7,602","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/157981739-faebound
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Emily Wilde's Encyclopaedia of Faeries        (Emily Wilde, #1)","Fawcett, Heather*",0593500156,9780593500156,0593500156,321        pp,4.05,"79,664","Jan 10, 2023","Oct 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.4/5 Very cute!,Notes are private!,0,0,1,"Feb 10, 2024","Mar 04, 2024","Feb 10, 2024",,Paperback,view (with text),/book/show/184584595-emily-wilde-s-encyclopaedia-of-faeries
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Candelaria,"Lozada-Oliva, Melissa",1662601816,9781662601811,B0BTLDT9HT,304        pp,3.91,492,"Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Kindle Edition,view,/book/show/123650295-candelaria
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Except for Palestine: The Limits of Progressive Politics,"Hill, Marc Lamont",1620975920,9781620975923,1620975920,227        pp,4.21,"2,732","Feb 16, 2021","Feb 16, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A concise and useful primer- especially perfect for Americans who might be trying to untangle how recent American policy relates to present day conditA concise and useful primer- especially perfect for Americans who might be trying to untangle how recent American policy relates to present day conditions in Palestine/Israel. Holds focus on the big-picture, and rightly points to contradictions in the Western Left that have (in some ways) allowed for the current escalation in the Israel-Gaza conflict....more",Notes are private!,0,2,1,"Jan 31, 2024",Feb 2024,"Jan 31, 2024",,Hardcover,view (with text),/book/show/53496557-except-for-palestine
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tripping on Utopia: Margaret Mead, the Cold War, and the Troubled Birth of Psychedelic Science","Breen, Benjamin*",1538722372,9781538722374,1538722372,384        pp,3.91,194,"Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 20, 2024",,Hardcover,view,/book/show/145624768-tripping-on-utopia
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Palestine Laboratory: How Israel Exports the Technology of Occupation Around the World,"Loewenstein, Antony*",1922310409,9781922310408,1922310409,320        pp,4.46,762,"May 31, 2023","May 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 17, 2024",,Paperback,view,/book/show/62790909-the-palestine-laboratory
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Prophet Song,"Lynch, Paul*",,,B0C5Y3JG4S,259        pp,4.15,"26,550","Aug 24, 2023","Aug 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/158875813-prophet-song
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Friends,"Matar, Hisham",081299485X,9780812994858,B0C1YHGQN1,399        pp,4.35,"1,010","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Hardcover,view,/book/show/127488823-my-friends
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Martyr!,"Akbar, Kaveh",0593537610,9780593537619,0593537610,352        pp,4.25,"6,802","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Hardcover,view,/book/show/139400713-martyr
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mars Room,"Kushner, Rachel*",1476756554,9781476756554,1476756554,338        pp,3.45,"42,912","May 01, 2018","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2024",not set,"Jan 10, 2024",,Hardcover,view,/book/show/36373648-the-mars-room
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Sacred Book of the Werewolf,"Pelevin, Victor",0670019887,9780670019885,0670019887,336        pp,3.82,"5,415",2004,"Sep 04, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 08, 2024",,Hardcover,view,/book/show/3212912-the-sacred-book-of-the-werewolf
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Land of Green Plums,"Müller, Herta",1862072604,9781862072602,1862072604,256        pp,3.67,"5,740",1994,"Jan 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/230861.The_Land_of_Green_Plums
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,LOTE,"Reinhold, Shola von*",1478018720,9781478018728,1478018720,384        pp,4.07,"1,410","Mar 25, 2020","Jun 21, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/59435615-lote
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fish,"Plett, Casey*",1551527200,9781551527208,1551527200,295        pp,3.86,"3,611","Apr 01, 2018","May 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/37514015-little-fish
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Nix,"Hill, Nathan",110194661X,9781101946619,110194661X,640        pp,4.08,"74,438","Aug 30, 2016","Aug 30, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Hardcover,view,/book/show/28251002-the-nix
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Poor Things,"Gray, Alasdair",0747562288,9780747562283,0747562288,318        pp,4.00,"20,490",1992,2002,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 02, 2023",,Paperback,view,/book/show/72355.Poor_Things
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Die Young: The Verdict on Henry Kissinger,"Sunkara, Bhaskar*",1788730305,9781788730303,1788730305,169        pp,4.11,182,unknown,2024,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/39953507-the-good-die-young
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdom of Sweets,"Johansen, Erika*",1524742759,9781524742751,1524742759,368        pp,3.25,"9,762","Nov 28, 2023","Nov 28, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2.3/5 There were some things that I enjoyed about this book- but also some things that I found to be really disappointing. I’ll start with the good; t2.3/5 There were some things that I enjoyed about this book- but also some things that I found to be really disappointing. I’ll start with the good; this book really leans into being “dark” adult fantasy and puts an original spin on a very malleable and open-ended fairy tale. I was pleasantly surprised by some of the darker elements, veering into candy-coated horror at times.Some criticisms that I have would be; that the plot meanders, the character arcs are predictable, and the limited perspective of Natasha the “dark twin” harms the storytelling, because her jealousy toward her sister Clara comes across as annoyingly bitter- and gets old fast. Also, the horrible historical fiction turn towards the end…. and the surface-level commentary on the Russian Revolution… yikes that was so bad....more",Notes are private!,0,2,1,"Dec 09, 2023","Dec 18, 2023","Nov 29, 2023",,Hardcover,view (with text),/book/show/123176586-the-kingdom-of-sweets
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If We Burn: The Mass Protest Decade and the Missing Revolution,"Bevins, Vincent*",1541788974,9781541788978,1541788974,337        pp,4.33,928,unknown,"Oct 03, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Hardcover,view,/book/show/62315875-if-we-burn
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Good Wives: Image and Reality in the Lives of Women in Northern New England, 1650-1750","Thatcher Ulrich, Laurel",0679732578,9780679732570,0679732578,296        pp,3.99,"1,737","Mar 12, 1982","Jun 04, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 28, 2023",,Paperback,view,/book/show/78958.Good_Wives
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pathogenesis: A History of the World in Eight Plagues,"Kennedy, Jonathan*",0593240472,9780593240472,0593240472,304        pp,3.95,"4,680","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Hardcover,view,/book/show/61327450-pathogenesis
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Stranger in Olondria,"Samatar, Sofia",1931520763,9781931520768,1931520763,299        pp,3.66,"2,773","Apr 12, 2013","Apr 24, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Paperback,view,/book/show/12814333-a-stranger-in-olondria
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,More Than Human,"Sturgeon, Theodore",,,B00CADHIVY,192        pp,3.94,"18,305",Oct 1953,"Apr 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/55001775-more-than-human
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Godkiller        (Fallen Gods, #1)","Kaner, Hannah",0008521468,9780008521462,0008521468,304        pp,3.93,"25,008","Jan 19, 2023","Jan 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Hardcover,view,/book/show/61244268-godkiller
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unwomanly Face of War: An Oral History of Women in World War II,"Alexievich, Svetlana",,,,331        pp,4.51,"32,909",1983,"Jul 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Hardcover,view,/book/show/32905382-the-unwomanly-face-of-war
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Wild Magic        (The Immortals, #1)","Pierce, Tamora*",,,B07BD54S4F,258        pp,4.31,"79,903","Dec 01, 1992","Oct 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 27, 2023",,Kindle Edition,view,/book/show/40096284-wild-magic
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Age of Swords        (The Legends of the First Empire, #2)","Sullivan, Michael J.*",1101965363,9781101965368,1101965363,496        pp,4.29,"22,675","Jul 25, 2017","Jul 25, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 22, 2023",,Hardcover,view,/book/show/32337902-age-of-swords
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,475","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/138505710-doppelganger
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cobalt Red: How the Blood of the Congo Powers Our Lives,"Kara, Siddharth",1250284309,9781250284303,1250284309,288        pp,4.38,"6,501","Jan 31, 2023","Jan 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/60784614-cobalt-red
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Share of Night,"Enríquez, Mariana",0451495144,9780451495143,0451495144,588        pp,4.30,"33,912","Nov 27, 2019","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/61111034-our-share-of-night
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ink Blood Sister Scribe,"Törzs, Emma*",0063253461,9780063253469,0063253461,416        pp,4.05,"33,738","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/62854842-ink-blood-sister-scribe
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book That Wouldn’t Burn        (The Library Trilogy, #1)","Lawrence, Mark*",0593437918,9780593437919,0593437918,559        pp,4.09,"14,910","May 01, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/61612864-the-book-that-wouldn-t-burn
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Adventures of Amina al-Sirafi        (Amina al-Sirafi, #1)","Chakraborty, Shannon",,,,483        pp,4.29,"39,607","Feb 28, 2023","Feb 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/61294937-the-adventures-of-amina-al-sirafi
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hanging City,"Holmberg, Charlie N.*",1662508719,9781662508714,B0BKR5CNTW,344        pp,4.00,"11,264","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Kindle Edition,view,/book/show/63127235-the-hanging-city
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shock Doctrine: The Rise of Disaster Capitalism,"Klein, Naomi",0805079831,9780805079838,0805079831,558        pp,4.27,"47,741","Sep 18, 2007","Sep 18, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3.4/5 Okay- so this book is good and worth the read. However, I did find myself wishing that the arguments Klein presents in here were more even-hande3.4/5 Okay- so this book is good and worth the read. However, I did find myself wishing that the arguments Klein presents in here were more even-handed and grounded in reason. So much of her framing of “disaster capitalism” is hinged on anecdotes and emotional appeals- and what is most frustrating for me is that it didn’t need to be this way. Don’t get me wrong, some of the anecdotes and insights provided are spot-on…. but it sucks that these valid critiques of Friedmanism are mixed up with so many lies and half-truths that only serve to weaken the overall argument. Klein’s insights were cutting-edge at the time, but in retrospect feel shoddy and under-researched, and she bombards us with so many global problems while failing to prescribe any workable solutions....more",Notes are private!,0,1,1,"Nov 15, 2023","Apr 07, 2024","Nov 15, 2023",,Hardcover,view (with text),/book/show/1237300.The_Shock_Doctrine
