,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Kelley's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Poverty, by America","Desmond, Matthew*",0593239938,9780593239933,0593239938,320        pp,4.28,"33,988","Mar 21, 2023","Mar 26, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 11, 2024",,Paperback,view,/book/show/204736844-poverty-by-america
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"This is Why We Lied        (Will Trent, #12)","Slaughter, Karin*",0008625840,9780008625849,B0CNC4YZHP,unknown,4.41,46,"Aug 20, 2024","Jun 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 10, 2024",,Kindle Edition,view,/book/show/202165532-this-is-why-we-lied
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal Women: Nine Hundred Years of Making History,"Gregory, Philippa*",0063304325,9780063304321,0063304325,688        pp,4.12,739,"Oct 26, 2023","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 05, 2024",,Hardcover,view,/book/show/70240521-normal-women
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rules of Civility,"Towles, Amor*",,,,335        pp,4.08,"232,150","Jul 26, 2011","Jul 26, 2011",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I first loved this author in Gentlemen of Moscow and continued in The Lincoln Highway. Somehow I missed this gem. Lovely. Absolutely lovely. I would kI first loved this author in Gentlemen of Moscow and continued in The Lincoln Highway. Somehow I missed this gem. Lovely. Absolutely lovely. I would know each one of these characters if I passed them on the street. And set in glamorous side of NY in the late 30s. ❤️❤️...more,Notes are private!,0,3,1,"Mar 10, 2024","Mar 18, 2024","Mar 04, 2024",,Hardcover,view (with text),/book/show/10054335-rules-of-civility
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Table for Two,"Towles, Amor*",0593296370,9780593296370,0593296370,464        pp,4.37,752,"Apr 02, 2024","Apr 02, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2024",,Hardcover,view,/book/show/195474144-table-for-two
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Humans,"Haig, Matt*",1476727910,9781476727912,1476727910,285        pp,4.08,"124,176","May 09, 2013","Jul 02, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Hardcover,view,/book/show/16130537-the-humans
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Swans of Fifth Avenue,"Benjamin, Melanie*",0345528700,9780345528704,0345528700,400        pp,3.63,"34,289","Jan 26, 2016","Oct 25, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Paperback,view,/book/show/30267871-the-swans-of-fifth-avenue
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Must Not Think of Ourselves,"Grodstein, Lauren*",1643752340,9781643752341,1643752340,304        pp,4.14,"6,933",unknown,"Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 01, 2024",,Hardcover,view,/book/show/64005941-we-must-not-think-of-ourselves
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Surprise the World: The Five Habits of Highly Missional People,"Frost, Michael*",1631465163,9781631465161,1631465163,144        pp,4.15,"1,397","Jan 01, 2014","Dec 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 26, 2024","Mar 24, 2024","Feb 26, 2024",,Paperback,view,/book/show/26486465-surprise-the-world
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beyond the Crushing Waves,"Pratley, Bronwen*",1922650013,9781922650016,B099ZYXP59,398        pp,4.26,"5,026",unknown,"Oct 12, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It’s hard to believe our culture allowed this. But also a testament to the resilience of the human spirit. Books like this remind me that as far as weIt’s hard to believe our culture allowed this. But also a testament to the resilience of the human spirit. Books like this remind me that as far as we have to go in the way we treat each other, we’ve also come a long way. ...more",Notes are private!,0,0,1,"Feb 24, 2024",Mar 2024,"Feb 24, 2024",,Kindle Edition,view (with text),/book/show/58675102-beyond-the-crushing-waves
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Plinko Bounce,"Clark, Martin*",1644283778,9781644283776,1644283778,356        pp,3.77,"2,069","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,What would you do?,Notes are private!,0,0,1,"Feb 20, 2024","Feb 22, 2024","Feb 20, 2024",,Hardcover,view (with text),/book/show/126133776-the-plinko-bounce
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Snow Child,"Ivey, Eowyn*",,,B004RD856M,423        pp,4.00,"148,747","Feb 01, 2012","Feb 01, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Kindle Edition,view,/book/show/33597976-the-snow-child
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Stop Time,"Haig, Matt*",0525522891,9780525522898,0525522891,339        pp,3.84,"171,925","Jul 06, 2017","Jun 11, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Very reminiscent of Invisible Life of Addie Larue. Thoroughly enjoyed.,Notes are private!,0,1,1,Mar 2024,"Mar 06, 2024","Feb 19, 2024",,Paperback,view (with text),/book/show/45152372-how-to-stop-time
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bride,"Hazelwood, Ali*",,,B0C9GQV1TT,410        pp,4.11,"180,445","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Kindle Edition,view,/book/show/181344829-bride
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heiress,"Hawkins, Rachel*",1250280036,9781250280039,,294        pp,3.92,"48,502","Jan 09, 2024","Jan 09, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/126919284-the-heiress
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cuba: An American History,"Ferrer, Ada*",1501154559,9781501154553,1501154559,560        pp,4.46,"3,388","Sep 27, 2021","Sep 07, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Hardcover,view,/book/show/55710558-cuba
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Time It Never Rained,"Kelton, Elmer",0812574516,9780812574517,0812574516,416        pp,4.29,"1,934",1973,"May 15, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 09, 2024",,Paperback,view,/book/show/690442.The_Time_It_Never_Rained
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,963","Oct 25, 2022","Oct 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I think I never got the point. Or maybe the problem was that I expected a point. The most interesting part to me was the musings on the JFK assassinatI think I never got the point. Or maybe the problem was that I expected a point. The most interesting part to me was the musings on the JFK assassination. Merged :I think I never got the point. Or maybe the problem was that I expected a point. The most interesting part to me was the musings on the JFK assassination....more,Notes are private!,0,0,2,"Feb 26, 2023not set","Mar 04, 2023not set","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waters,"Campbell, Bonnie Jo",0393248437,9780393248432,,400        pp,3.46,"4,331","Oct 10, 2023","Jan 09, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Can’t quite figure out why I didn’t like this book. Many have compared it to “Where the Crawdads Sing”. Set in the outdoors. Set in the swamp. Focus oCan’t quite figure out why I didn’t like this book. Many have compared it to “Where the Crawdads Sing”. Set in the outdoors. Set in the swamp. Focus on a virtual orphan that raises herself. All yes. But I found it boring. The writing is beautiful and descriptive but the storyline failed to hook me. Listening was a chore. ...more,Notes are private!,0,2,1,"Jan 29, 2024","Feb 06, 2024","Jan 29, 2024",,Hardcover,view (with text),/book/show/123979534-the-waters
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Mystery Guest        (Molly the Maid, #2)","Prose, Nita*",0593356187,9780593356180,0593356187,293        pp,3.87,"63,938","Nov 28, 2023","Nov 28, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 23, 2024",,Hardcover,view,/book/show/157062582-the-mystery-guest
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After You'd Gone,"O'Farrell, Maggie*",0142000329,9780142000328,0142000329,384        pp,4.03,"17,322","Jan 01, 2000","Feb 26, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 22, 2024",,Paperback,view,/book/show/675323.After_You_d_Gone
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Family,"Frankel, Laurie*",1250236800,9781250236807,1250236800,400        pp,4.05,"7,340","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 19, 2024",,Hardcover,view,/book/show/127282881-family-family
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,End of Story,"Finn, A.J.",0062678477,9780062678478,0062678477,368        pp,3.15,"6,012","Feb 20, 2024","Feb 20, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 18, 2024",,ebook,view,/book/show/37868564-end-of-story
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Assignment,"Bowen, Rhys*",166250425X,9781662504259,B0BPYXZRLQ,378        pp,4.33,"11,498","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/68047988-the-paris-assignment
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Curse of Pietro Houdini,"Miller, Derek B.*",1668020882,9781668020883,1668020882,384        pp,4.23,"1,064","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Hardcover,view,/book/show/176442905-the-curse-of-pietro-houdini
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Stranger in the Lifeboat,"Albom, Mitch*",006288834X,9780062888341,006288834X,271        pp,4.12,"80,187","Nov 02, 2021","Nov 02, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 via Everand. Makes you wonder.,Notes are private!,0,1,1,"Jan 14, 2024","Jan 16, 2024","Jan 14, 2024",,Hardcover,view (with text),/book/show/56922594-the-stranger-in-the-lifeboat
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mother-Daughter Murder Night,"Simon, Nina*",0063315041,9780063315044,0063315041,357        pp,3.59,"53,377","Sep 05, 2023","Sep 05, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,So cute. Bet this is a series. Characters are great.,Notes are private!,0,0,1,"Jan 12, 2024","Jan 14, 2024","Jan 12, 2024",,Hardcover,view (with text),/book/show/65646968-mother-daughter-murder-night
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Demon of Unrest: A Saga of Hubris, Heartbreak, and Heroism at the Dawn of the Civil War","Larson, Erik*",0385348746,9780385348744,0385348746,592        pp,4.31,68,"Apr 30, 2024","Apr 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Hardcover,view,/book/show/195608683-the-demon-of-unrest
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,James,"Everett, Percival",0385550367,9780385550369,0385550367,303        pp,4.63,"6,223","Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Hardcover,view,/book/show/173754979-james
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,640","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/123206645-the-fury
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Phoenix Crown,"Quinn, Kate*",0063304732,9780063304734,0063304732,384        pp,3.88,"8,503","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Paperback,view,/book/show/64417401-the-phoenix-crown
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Women,"Hannah, Kristin*",1250178630,9781250178633,,480        pp,4.69,"225,216","Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/127305853-the-women
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mayor of Maxwell Street,"Cunningham, Avery*",1368093000,9781368093002,1368093000,528        pp,3.54,"3,001","Jan 30, 2024","Jan 30, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/133206574-the-mayor-of-maxwell-street
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bullet Swallower,"James, Elizabeth Gonzalez*",1668009323,9781668009321,1668009323,272        pp,3.81,"5,072","Jan 23, 2024","Jan 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2023",,Hardcover,view,/book/show/123847255-the-bullet-swallower
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wintering: The Power of Rest and Retreat in Difficult Times,"May, Katherine",1846045991,9781846045998,1846045991,276        pp,3.86,"48,831","Feb 06, 2020","Nov 12, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,Paperback,view,/book/show/51193619-wintering
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Woman in the Library,"Gentill, Sulari*",,,,292        pp,3.51,"66,735","Jun 07, 2022","Jun 07, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 27, 2023",,ebook,view,/book/show/56803179-the-woman-in-the-library
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Said I Wasn't Gonna Tell Nobody: The Making of a Black Theologian,"Cone, James H.",162698302X,9781626983021,162698302X,192        pp,4.54,337,"Oct 18, 2018","Oct 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023","Dec 27, 2023","Dec 19, 2023",,Hardcover,view,/book/show/39986486-said-i-wasn-t-gonna-tell-nobody
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Museum of Ordinary People,"Gayle, Mike*",1538740842,9781538740842,1538740842,336        pp,3.88,"9,231","Jul 07, 2022","May 30, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Lovely heartwarming book. Love the idea of a museum for Ordinary People.,Notes are private!,0,1,2,"Mar 06, 2024not set","Mar 10, 2024not set","Dec 10, 2023",,Paperback,view (with text),/book/show/63202481-the-museum-of-ordinary-people
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Housemaid's Secret        (The Housemaid, #2)","McFadden, Freida*",1837901317,9781837901319,B0BGXYL3BZ,318        pp,4.26,"502,967","Feb 15, 2023","Feb 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Kindle Edition,view,/book/show/62848145-the-housemaid-s-secret
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Keeper of Hidden Books,"Martin, Madeline*",1335455027,9781335455024,1335455027,416        pp,4.15,"14,143","Aug 01, 2023","Aug 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Paperback,view,/book/show/62054146-the-keeper-of-hidden-books
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Exchange: After The Firm,"Grisham, John*",0385548958,9780385548953,0385548958,352        pp,3.71,"61,378","Oct 17, 2023","Oct 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Fun! Mitch and Abby from the Firm 15 years later.,Notes are private!,0,1,1,"Dec 07, 2023","Dec 10, 2023","Dec 07, 2023",,Hardcover,view (with text),/book/show/123285511-the-exchange
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Before We Were Innocent,"Berman, Ella*",0593099540,9780593099544,0593099540,384        pp,3.48,"32,078","Apr 04, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Hardcover,view,/book/show/61407616-before-we-were-innocent
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Christmas Guest,"Swanson, Peter*",0063297450,9780063297456,0063297450,96        pp,3.64,"19,176","Sep 28, 2023","Oct 17, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Novella by my favorite thriller author, Peter Swanson. 3.5 via Audible. Would’ve been higher but novella didn’t allow time for a lot of plot or characNovella by my favorite thriller author, Peter Swanson. 3.5 via Audible. Would’ve been higher but novella didn’t allow time for a lot of plot or character development....more",Notes are private!,0,1,1,"Nov 27, 2023","Nov 27, 2023","Nov 26, 2023",,Hardcover,view (with text),/book/show/83814905-the-christmas-guest
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Twelve Dogs of Christmas,"Wiggs, Susan*",,9780063253551,,9        pp,4.08,"3,957",unknown,"Oct 17, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Christmas, rescue dogs and romance. What’s not to love? Super cute. Could’ve been a hallmark movie. Just what I needed. 3.5 via Everand.",Notes are private!,0,1,1,"Nov 28, 2023","Nov 29, 2023","Nov 25, 2023",,Audiobook,view (with text),/book/show/200280766-the-twelve-dogs-of-christmas
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Finders Keepers        (Bill Hodges Trilogy, #2)","King, Stephen*",1501100076,9781501100079,1501100076,434        pp,4.06,"155,222","Jun 02, 2015","Jun 02, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 via Everand. Not my favorite but Stephen King is still a master storyteller.,Notes are private!,0,1,1,"Nov 23, 2023","Dec 02, 2023","Nov 23, 2023",,Hardcover,view (with text),/book/show/23492589-finders-keepers
