,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Milly *:･ﾟ✧'s rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Love Hypothesis,"Hazelwood, Ali*",0593336828,9780593336823,0593336828,383        pp,4.15,"1,385,961","Sep 14, 2021","Sep 14, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Paperback,view,/book/show/56732449-the-love-hypothesis
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Love on the Brain,"Hazelwood, Ali*",1408725789,,B09JSDVS8Y,368        pp,3.92,"441,200","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 25, 2023",,Kindle Edition,view,/book/show/59571699-love-on-the-brain
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"541,487","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,231,035","Mar 31, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/58065033-lessons-in-chemistry
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Silver Nitrate,"Moreno-Garcia, Silvia*",0593355369,9780593355367,0593355369,323        pp,3.63,"18,661","Jul 18, 2023","Jul 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2023",,Hardcover,view,/book/show/63249718-silver-nitrate
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spells for Forgetting,"Young, Adrienne*",0593358538,9780593358535,0593358538,368        pp,3.88,"44,366","Sep 27, 2022","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2023",,Paperback,view,/book/show/134938559-spells-for-forgetting
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vampires of El Norte,"Cañas, Isabel*",0593436725,9780593436721,0593436725,371        pp,3.91,"20,598","Aug 15, 2023","Aug 15, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2023",,Hardcover,view,/book/show/63892214-vampires-of-el-norte
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Book That Wouldn’t Burn        (The Library Trilogy, #1)","Lawrence, Mark*",0593437918,9780593437919,0593437918,559        pp,4.09,"14,923","May 01, 2023","May 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 19, 2023",,Hardcover,view,/book/show/61612864-the-book-that-wouldn-t-burn
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Husband's Secret,"Moriarty, Liane*",0399159347,9780399159343,0399159347,396        pp,3.95,"672,343",Mar 2015,"Jul 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2023",,Hardcover,view,/book/show/17802724-the-husband-s-secret
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fragile Threads of Power        (Threads of Power, #1)","Schwab, V.E.*",0765387492,9780765387493,0765387492,648        pp,4.34,"23,704","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 21, 2023",,Hardcover,view,/book/show/111673828-the-fragile-threads-of-power
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"429,003","May 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 19, 2023",,Hardcover,view,/book/show/59357120-yellowface
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Reluctant Immortals,"Kiste, Gwendolyn*",1982172355,9781982172350,1982172355,307        pp,3.56,"2,458","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2023",,Paperback,view,/book/show/59366206-reluctant-immortals
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We Sold Our Souls,"Hendrix, Grady*",,,,337        pp,3.74,"24,002","Sep 18, 2018","Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 17, 2023",,Kindle Edition,view,/book/show/37715859-we-sold-our-souls
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Girls of Summer,"Bishop, Katie*",1250283914,9781250283917,,320        pp,3.54,"3,825","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 14, 2023",,Hardcover,view,/book/show/61214149-the-girls-of-summer
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brutes,"Tate, Dizz",1646221672,9781646221677,1646221672,304        pp,3.21,"7,554","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/61324696-brutes
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Motherthing,"Hogarth, Ainslie*",0593467027,9780593467022,0593467027,288        pp,3.69,"17,820","Sep 27, 2022","Sep 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/60097451-motherthing
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightbitch,"Yoder, Rachel*",0385546815,9780385546812,0385546815,256        pp,3.56,"40,705","Jul 20, 2021","Jul 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/55835474-nightbitch
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Word,"Adams, Taylor*",0063222892,9780063222892,0063222892,340        pp,3.73,"53,778","Apr 25, 2023","Apr 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/61767163-the-last-word
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Done and Dusted        (Rebel Blue Ranch, #1)","Sage, Lyla*",,9798987781302,B0BWHKPRK6,356        pp,3.93,"77,887","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Kindle Edition,view,/book/show/123179008-done-and-dusted
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Indigo Ridge        (The Edens, #1)","Perry, Devney*",,,B08NQ2KPXX,340        pp,4.17,"80,001","Oct 26, 2021","Oct 26, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Kindle Edition,view,/book/show/55926057-indigo-ridge
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Once More with Feeling,"Sussman, Elissa",059335737X,9780593357378,059335737X,416        pp,3.58,"23,712","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/61420112-once-more-with-feeling
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Fine Print        (Dreamland Billionaires, #1)","Asher, Lauren*",1737507714,9781737507710,1737507714,448        pp,3.86,"474,903","Jul 08, 2021",Dec 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/74045390-the-fine-print
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good Bad Girl,"Feeney, Alice*",1250843960,9781250843968,1250843960,306        pp,3.66,"46,828","Aug 29, 2023","Aug 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/83668030-good-bad-girl
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Love, Theoretically","Hazelwood, Ali*",1408725797,9781408725795,1408725797,389        pp,4.13,"360,589","Jun 13, 2023","Jun 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Paperback,view,/book/show/61326735-love-theoretically
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Things We Never Got Over        (Knockemout, #1)","Score, Lucy*",1945631848,9781945631849,B09PNM8FFN,572        pp,4.17,"760,853","Jan 12, 2022","Jan 13, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4 Stars  “There’s a difference between taking care of someone because you love them and taking care of someone because you want them to love you,” I  4 Stars  “There’s a difference between taking care of someone because you love them and taking care of someone because you want them to love you,” I can definitely acknowledge that this book was cringey and a bit problematic. However, I can also admit that I was kicking my feet and giggling a lot while reading it. I think this book is definitely nothing mind-blowing but I think it was so camp that I ended up enjoying it a lot. I loved the small town setting so much! It was so wholesome. I also loved Naomi and Knox and even though they were both immature, especially for their age, I just imagined that they were at most in their late 20s, because there is no way an almost 40 year old acts the way they do. I also loved Waylay and I am so glad that (view spoiler)[she was able to get her happy ending. (hide spoiler)] I will definitely be continuing the series because this is such a comfort read. Sorry not sorry! :)...more",Notes are private!,0,1,1,"Nov 25, 2023","Dec 16, 2023","Aug 13, 2023",,Kindle Edition,view (with text),/book/show/60060431-things-we-never-got-over
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mexican Gothic,"Moreno-Garcia, Silvia*",,,0525620788,320        pp,3.68,"355,007","Jun 30, 2020","Jun 30, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2 Stars“Books, moonlight, melodrama.”I did not intend to take over three months to finish this, but here I am! I wish that I was able to finish this f2 Stars“Books, moonlight, melodrama.”I did not intend to take over three months to finish this, but here I am! I wish that I was able to finish this faster, but I got so caught up with school that I found it hard to find time to read. It did not help that I was not particularly interested in the plot and that the book was so slow.I went into this book with high expectations because it seemed like something that I would like, but it was definitely not my cup of tea, mostly because I found the plot to be soo boring. I liked the characters enough and the beginning of the book set up for an intriguing story, but I began losing interest like halfway through. I did not find this book to be particularly scary or have any kind of crazy plot twist. I thought that when the plot picked up I would enjoy it, but that was not the case. I did enjoy the writing style of the book and I feel like if the plot was more interesting to me, I would have loved this book. I think that even though I did not like this book, I will definitely pick something by this author up again. ...more",Notes are private!,0,1,1,"Aug 20, 2023","Nov 23, 2023","Aug 13, 2023",,Hardcover,view (with text),/book/show/53152636-mexican-gothic
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Body Keeps the Score: Brain, Mind, and Body in the Healing of Trauma","Kolk, Bessel van der",0670785938,9780670785933,0670785938,464        pp,4.40,"183,011","Jun 12, 2014","Sep 25, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/18693771-the-body-keeps-the-score
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Idiot,"Batuman, Elif",1594205612,9781594205613,1594205612,423        pp,3.67,"79,408","Mar 14, 2017","Mar 14, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/30962053-the-idiot
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Little Fires Everywhere,"Ng, Celeste*",0735224293,9780735224292,0735224293,338        pp,4.08,"1,175,445","Sep 12, 2017","Sep 12, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,Hardcover,view,/book/show/34273236-little-fires-everywhere
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Near Witch,"Schwab, V.E.*",1789091144,9781789091144,1789091144,368        pp,3.66,"38,226","Aug 02, 2011","Jan 28, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 10, 2023",,Paperback,view,/book/show/44638436-the-near-witch
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Acts of Service,"Fishman, Lillian*",0593446216,9780593446218,0593446216,228        pp,3.09,"11,075","May 03, 2022","May 03, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"2 StarsHow can a body be safe when it's only a body? How can we expect that no stranger will be tempted to torch an empty house?I was not a big fan of2 StarsHow can a body be safe when it's only a body? How can we expect that no stranger will be tempted to torch an empty house?I was not a big fan of this book. I found it difficult to connect to any of the characters and I found some parts of the book to be just too philosophical for me to really care about. The writing wasn't too bad and there were some interesting parts of the book, (view spoiler)[ the most interesting being when Romi broke up with Eve because I didn't see that coming for some reason.  (hide spoiler)] Overall, I just didn't enjoy it, but I would still recommend it to people who were curious because I can see why someone would really love this....more",Notes are private!,0,2,1,"Aug 04, 2023","Aug 07, 2023","Aug 04, 2023",,Paperback,view (with text),/book/show/61688878-acts-of-service
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meet Me at the Lake,"Fortune, Carley*",0735243786,9780735243781,0735243786,336        pp,3.71,"199,527","May 02, 2023","May 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 03, 2023",,Paperback,view,/book/show/61797464-meet-me-at-the-lake
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fury,"Michaelides, Alex*",125075898X,9781250758989,125075898X,298        pp,3.42,"79,934","Jan 16, 2024","Jan 16, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 31, 2023",,Hardcover,view,/book/show/123206645-the-fury
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chancer,"Graham, Fiona*",1739288408,9781739288402,1739288408,312        pp,4.16,110,"May 01, 2023","May 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2023",,Paperback,view,/book/show/146315658-the-chancer
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We'll Always Have Summer        (Summer #3),"Han, Jenny*",1416995587,9781416995586,1416995587,291        pp,3.80,"451,259","Apr 26, 2011","Apr 26, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"**spoiler alert** 3.5 Stars He didn’t give me flowers or candy. He gave me the moon and the stars. Infinity.This was a fun series to read! Even though**spoiler alert** 3.5 Stars He didn’t give me flowers or candy. He gave me the moon and the stars. Infinity.This was a fun series to read! Even though these were definitely not the best quality books, I sure did have a fun time reading it. I loved following along with the romance even though it was so predictable. This book was probably my favorite one since I felt like it had the most angsty scenes. I definitely recommend finishing this series because it’s easy, fun, and cute! Such a satisfying ending… (view spoiler)[ but I’m just saying that, of course, because I am team Conrad.  (hide spoiler)]...more",Notes are private!,0,3,1,"Jul 17, 2023","Jul 22, 2023","Jul 14, 2023",,Hardcover,view (with text),/book/show/8680278-we-ll-always-have-summer
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"It's Not Summer Without You        (Summer, #2)","Han, Jenny*",1416995552,9781416995555,1416995552,275        pp,3.79,"516,046","Apr 27, 2010","Apr 27, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3 Stars“You never know the last time you’ll see a place. A person.”This was fun! I like it a little more than the first book, but it still wasn't the 3 Stars“You never know the last time you’ll see a place. A person.”This was fun! I like it a little more than the first book, but it still wasn't the best and I prefer the TV show. However, the plot in this book felt a little more developed and I felt like the flashbacks gave the story more depth. The love triangle got more interesting. (view spoiler)[ Although I am die-hard Team Conrad because it just makes more sense... Jeremiah was really getting to me in this book. I loved reading from his POV. (hide spoiler)] Can't wait to see how the third book ends and the rest of the TV show....more",Notes are private!,0,2,1,"Jul 14, 2023","Jul 17, 2023","Jul 14, 2023",,Hardcover,view (with text),/book/show/6584188-it-s-not-summer-without-you
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Conjuring of Light        (Shades of Magic, #3)","Schwab, V.E.*",0765387468,9780765387462,0765387468,624        pp,4.32,"160,561","Feb 21, 2017","Feb 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 11, 2023",,Hardcover,view,/book/show/29939230-a-conjuring-of-light
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Gathering of Shadows        (Shades of Magic, #2)","Schwab, V.E.*",0765376474,9780765376473,0765376474,512        pp,4.22,"196,288","Feb 23, 2016","Feb 23, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3 Stars “Kell would say it was impossible. What a useless word, in a world with magic.”I have really mixed feelings about this book. Honestly, I'm no 3 Stars “Kell would say it was impossible. What a useless word, in a world with magic.”I have really mixed feelings about this book. Honestly, I'm not even sure what rating I will give it. Usually, I like the second book better than the first in a series, but I felt pretty meh about this one. I was excited going into it, and the beggining was promising, but as the story progressed, I just started becoming disappointed.The characters are hard to connect to. Like I read in another , they are all very stereotypical and flat. The plot was promising at the begging, but it started dragging on until the last like 25 pages. The games were boring and I felt as if they were a useless and lazy addition to the plot. At the end of the book, things started to pick up, but it was (view spoiler)[ still really similar to the first book, just a couple of different details. I also don't really understand where the relationship between Kell and Lila came from. I also don't understand where Rhy and Alucard came from (was it in the first book?? I don't even remember.) Also, who is Okja and where did she come from?) (hide spoiler)] It just felt like a lot of random things were thrown into the book, making it seem a little one-dimensional.All in all, this series hasn't really impressed me. The writing is ok. The plot is going in an ok direction. It is all just very ok. I will try to get to the last book eventually. ...more",Notes are private!,0,4,1,"Aug 08, 2023","Aug 16, 2023","Jul 11, 2023",,Hardcover,view (with text),/book/show/20764879-a-gathering-of-shadows
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Summer After,"Fortune, Carley*",0593438531,9780593438534,0593438531,320        pp,4.22,"512,770","May 10, 2022","May 10, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"4.5 Stars“Some people are lucky like that. They meet their best friend, the love of their life, and are wise enough to never let go.”This was the firs4.5 Stars“Some people are lucky like that. They meet their best friend, the love of their life, and are wise enough to never let go.”This was the first book of 2023 that I read in one day and I loved every second of it! This was the first romance book that I've really loved in a while. After reading many s, it seems like people loved or hated the book. A lot of people compared it to Love and Other Words, and I can definitely see the similarity, but this book was so much better.I loved the plot and the way the flashbacks were interwoven. I enjoyed reading both in present time and in the past. I love the way that the romance was built up over the years. It was so cute. I love Sam and (view spoiler)[I think that he deserves better than Percy (sorry). This would have been a 5 star read if it weren't for the plot twist, which I saw coming a mile away, but was still unexpected? I feel like it made no sense to the story and was a bit unoriginal but... it's still interesting drama, I guess.  (hide spoiler)]I wish we got more of Sue and Percy's parents in the book! This book really reminded me of The Summer I Turned Pretty but a much more mature and detailed version. I also loved Delilah's and Percy's friendship. It was super cute and had so much growth and development. To top this  off, I will say one more time, I LOVE SAM! He was such a cute love interest. I definitely recommend this book and will be reading more from this author....more",Notes are private!,0,10,1,"Aug 03, 2023","Aug 03, 2023","Jul 06, 2023",,Paperback,view (with text),/book/show/58014893-every-summer-after
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Briefly, A Delicious Life","Stevens, Nell",1982190949,9781982190941,1982190949,304        pp,3.77,"5,423","Jul 19, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Hardcover,view,/book/show/59366260-briefly-a-delicious-life
