,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elizabeth's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shark Heart,"Habeck, Emily*",1668006499,9781668006498,1668006499,416        pp,4.03,"28,162","Aug 08, 2023","Aug 08, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wasn’t sure about this concept but it was so beautiful and interesting, and felt very real. We don’t get a lot of books like this and I am happy to I wasn’t sure about this concept but it was so beautiful and interesting, and felt very real. We don’t get a lot of books like this and I am happy to have read this debut novel. I highly recommend. ...more",Notes are private!,0,0,1,"Jan 20, 2024","Jan 27, 2024","Dec 28, 2023",,Hardcover,view (with text),/book/show/62919375-shark-heart
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Midnight at the Christmas Bookshop        (The Christmas Bookshop, #2)","Colgan, Jenny",006326045X,9780063260450,006326045X,302        pp,3.61,"8,231","Oct 10, 2023","Oct 10, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was exactly what a Jenny Colgan book is supposed to be. Somewhat silly, somewhat sweet and very fun. I enjoyed reading it over Christmas. It’s a This was exactly what a Jenny Colgan book is supposed to be. Somewhat silly, somewhat sweet and very fun. I enjoyed reading it over Christmas. It’s a cute follow up to her first book in this series. ...more",Notes are private!,0,0,1,"Dec 24, 2023","Dec 27, 2023","Dec 27, 2023",,Paperback,view (with text),/book/show/90588969-midnight-at-the-christmas-bookshop
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Optimist's Daughter,"Welty, Eudora",037550835X,9780375508356,037550835X,180        pp,3.52,"13,958",1972,"May 07, 2002",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I wanted to enjoy this more than I did. It was a short book but the audio may not have been the best choice. While I loved hearing Eudora Welty read tI wanted to enjoy this more than I did. It was a short book but the audio may not have been the best choice. While I loved hearing Eudora Welty read this with her lilting southern accent, it was hard to focus. I may have enjoyed this more in print. Regardless it is very well written and examines the idea of going home as an adult. It definitely left me wanting more. ...more",Notes are private!,0,0,1,"Dec 26, 2023","Jan 27, 2024","Dec 26, 2023",,Hardcover,view (with text),/book/show/12585.The_Optimist_s_Daughter
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lonesome Dove        (Lonesome Dove, #1)","McMurtry, Larry",067168390X,9780671683900,067168390X,960        pp,4.53,"190,842",1985,"Oct 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 06, 2024",not set,"Dec 26, 2023",,Mass Market Paperback,view,/book/show/256008.Lonesome_Dove
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Olive Kitteridge        (Olive Kitteridge, #1)","Strout, Elizabeth*",,,,270        pp,3.85,"236,061","Mar 25, 2008","Mar 25, 2008",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was not what I was expecting but that ended up being a positive result. Olive is very different from Lucy, who is the main character in the otherThis was not what I was expecting but that ended up being a positive result. Olive is very different from Lucy, who is the main character in the other books I have read by Elizabeth Strout. Olive is feisty, a true spitfire. We get to know her through a series of short stories. It’s a very different type of book as it unfolds somewhat chronologically but the stories are not all told from Olive’s perspective. We hear from her husband Henry (who I adored) and several townspeople who knew her from her days in the classroom. Like in many short story collections, I found myself wanting more as each story ended. I will read the next in the series as even curmudgeonly Olive grew on me by the end. ...more",Notes are private!,0,2,1,"Mar 14, 2024","Mar 30, 2024","Dec 26, 2023",,Hardcover,view (with text),/book/show/1736739.Olive_Kitteridge
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Have a Beautiful, Terrible Day!: Daily Meditations for the Ups, Downs & In-Betweens","Bowler, Kate",0593727673,9780593727676,0593727673,240        pp,4.44,404,unknown,"Jan 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I started and ended 2023 with Kate Bowler’s books of blessings. Her newest book, which comes out In January 2024, is a beautiful continuation of blessI started and ended 2023 with Kate Bowler’s books of blessings. Her newest book, which comes out In January 2024, is a beautiful continuation of blessings for life in various situations and emotional experiences. Each blessing has a scripture focus and reflection prompt which are very accessible and written in easy to digest chunks. Her usual wit and humor shines through as well. There are blessings for each day of the Lenten season as well as the Sundays of Advent and Christmas. I highly recommend! Thanks to the publisher and NetGalley for the ARC. ...more",Notes are private!,0,5,1,"Dec 12, 2023","Dec 19, 2023","Dec 19, 2023",,Hardcover,view (with text),/book/show/150247411-have-a-beautiful-terrible-day
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Berry Pickers,"Peters, Amanda*",1646221958,9781646221950,1646221958,307        pp,4.18,"49,114","Apr 04, 2023","Oct 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a sad story in a lot of ways but there was hope and redemption as well and that always makes for a good book. Good writing and strong sceneryThis was a sad story in a lot of ways but there was hope and redemption as well and that always makes for a good book. Good writing and strong scenery too. I recommend! ...more,Notes are private!,0,5,1,"Dec 18, 2023","Dec 23, 2023","Dec 18, 2023",,Hardcover,view (with text),/book/show/123036004-the-berry-pickers
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Part,"Cousens, Sophie",0593539893,9780593539897,0593539893,368        pp,4.08,"19,338","Nov 07, 2023","Nov 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Paperback,view,/book/show/112976344-the-good-part
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fresh Water for Flowers,"Perrin, Valérie",1609455959,9781609455958,1609455959,476        pp,4.28,"72,385","Feb 28, 2018","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/52649136-fresh-water-for-flowers
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl in His Shadow        (Nora Beady, #1)","Blake, Audrey*",1728228727,9781728228723,1728228727,384        pp,4.16,"43,020","May 04, 2021","May 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Paperback,view,/book/show/54717137-the-girl-in-his-shadow
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",0802162177,9780802162175,0802162177,724        pp,4.47,"150,482","May 02, 2023",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/180357146-the-covenant-of-water
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle Creek,"Kim, Angie*",0374156026,9780374156022,0374156026,355        pp,3.87,"67,868","Apr 16, 2019","Apr 16, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Hardcover,view,/book/show/40121959-miracle-creek
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tress of the Emerald Sea        (The Cosmere, #28)","Sanderson, Brandon*",,,,483        pp,4.43,"114,143","Jan 10, 2023","Apr 04, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 09, 2023",,Kindle Edition,view,/book/show/60531406-tress-of-the-emerald-sea
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wishing Game,"Shaffer, Meg*",0593598830,9780593598832,0593598830,304        pp,4.13,"103,554","May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 08, 2023",,Hardcover,view,/book/show/62926992-the-wishing-game
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Road To Dalton        (Dalton, Maine, #1)","Bowring, Shannon*",,9781609459260,,250        pp,4.07,"1,181","Jun 06, 2023","Jun 06, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 05, 2023",,Paperback,view,/book/show/76990876-the-road-to-dalton
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slavery by Another Name: The Re-Enslavement of Black Americans from the Civil War to World War II,"Blackmon, Douglas A.",0385506252,9780385506250,0385506252,480        pp,4.38,"6,773","Mar 25, 2008","Mar 25, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 16, 2023",,Hardcover,view,/book/show/2319745.Slavery_by_Another_Name
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Is on Fire,"Beanland, Rachel*",1982186143,9781982186142,1982186143,376        pp,4.11,"15,501","Apr 04, 2023","Apr 04, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was really good historical fiction about a fire that occurred in 1811 in the Washington DC area. I found the story itself fascinating. The authorThis was really good historical fiction about a fire that occurred in 1811 in the Washington DC area. I found the story itself fascinating. The authors note at the end gives a good background to the factual parts of this book....more,Notes are private!,0,1,1,"Oct 31, 2023","Nov 13, 2023","Oct 31, 2023",,Hardcover,view (with text),/book/show/61273814-the-house-is-on-fire
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,551","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Empire Falls,"Russo, Richard*",0375726403,9780375726408,0375726403,483        pp,3.94,"121,787","May 08, 2001","Apr 12, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Wow this character driven book really delivered! I admit it was a slow read for me but I finished the last third in a day so there is some good suspenWow this character driven book really delivered! I admit it was a slow read for me but I finished the last third in a day so there is some good suspense. I like how the author dropped breadcrumbs along the way and then picked them up later as the story unfolded, although I felt a few storylines were not necessary nor really resolved. I felt like this book kind of embodies the current season-gray and sad, but not necessarily in a bad way. This isn’t a feel good novel, but it is a poignant slice of life style story that has beautiful writing with compelling character development and a startling ending. I highly recommend! ...more",Notes are private!,0,0,1,"Nov 26, 2023","Dec 16, 2023","Oct 26, 2023",,Paperback,view (with text),/book/show/187020.Empire_Falls
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Faking Christmas,"Winfrey, Kerry*",,,B0BRMCF5DG,286        pp,3.67,"4,620","Sep 26, 2023","Sep 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2023",,Kindle Edition,view,/book/show/75665923-faking-christmas
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Normal Rules Don't Apply: Stories,"Atkinson, Kate",0385688237,9780385688239,B0BNWVTP7J,212        pp,3.73,"5,478","Sep 13, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 21, 2023",,Hardcover,view,/book/show/63934847-normal-rules-don-t-apply
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Shout,"Anderson, Laurie Halse*",0670012106,9780670012107,0670012106,296        pp,4.26,"20,614","Mar 12, 2019","Mar 12, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“Too many grown ups tell kids to follow their dreams, like that’s going to get them somewhere. Auntie Laurie says ‘Follow your nightmares instead.’ Be“Too many grown ups tell kids to follow their dreams, like that’s going to get them somewhere. Auntie Laurie says ‘Follow your nightmares instead.’ Because when you find out what is eating you alive, you can slay it.” “I wasn’t “raped;” locking the word in a cage of quotation marks filled with legal definitions, a cage built on quicksand, a shame forged prison of self doubt, those marks jail their truth behind a false narrative: an unholy competition that no one wants to play.These are just a few quotes that capture the beauty of this book. The poetry tells the life story of the author and serves as a lesson for us all. After reading Speak and Shout, I can see what a privilege it is to NOT have even been sexually assaulted, and how sad is that?? I do work with people that have experienced sexual abuse from tender ages into adulthood. I am so glad to have found these resources and new words to use with survivors. ...more",Notes are private!,0,1,1,"Oct 08, 2023","Oct 12, 2023","Oct 12, 2023",,Hardcover,view (with text),/book/show/40519259-shout
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Weight of Ink,"Kadish, Rachel*",,,B076V7Z8FN,704        pp,4.15,"36,714","Jun 06, 2017","Jun 06, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This was a beautifully written story that was very immersive and thought provoking. I feel like I learned a lot about a period of history I did not knThis was a beautifully written story that was very immersive and thought provoking. I feel like I learned a lot about a period of history I did not know much about. And I’m happy to have sunk into a brick of a book and finished it in 3 weeks! ...more,Notes are private!,0,2,1,"Oct 24, 2023","Nov 13, 2023","Oct 12, 2023",,Kindle Edition,view (with text),/book/show/40776163-the-weight-of-ink
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twisted,"Anderson, Laurie Halse*",0670061018,9780670061013,0670061018,250        pp,3.82,"36,403","Mar 20, 2007","Mar 20, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Hardcover,view,/book/show/123106.Twisted
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happiness Falls,"Kim, Angie*",0593448200,9780593448205,0593448200,387        pp,3.76,"47,068","Aug 29, 2023","Aug 29, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Totally fascinating and quite a page turner!!,Notes are private!,0,1,1,"Jan 09, 2024","Jan 16, 2024","Sep 29, 2023",,Hardcover,view (with text),/book/show/75495002-happiness-falls
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Woman They Could Not Silence: One Woman, Her Incredible Fight for Freedom, and the Men Who Tried to Make Her Disappear","Moore, Kate*",1492696722,9781492696728,1492696722,560        pp,4.30,"27,425","Jun 22, 2021","Jun 22, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Hardcover,view,/book/show/56132724-the-woman-they-could-not-silence
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Days at Memorial: Life and Death in a Storm-Ravaged Hospital,"Fink, Sheri",0307718964,9780307718969,0307718964,558        pp,3.93,"34,640","Sep 10, 2013","Sep 10, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I ended up watching the series on Apple TV and decided to not finish the book. I felt like I had enough information on this horrific story. The book wI ended up watching the series on Apple TV and decided to not finish the book. I felt like I had enough information on this horrific story. The book went into great detail and perhaps was a tad too wordy. The series was excellent though! ...more,Notes are private!,0,0,1,not set,not set,"Sep 26, 2023",,Hardcover,view (with text),/book/show/17704902-five-days-at-memorial
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Most Agreeable Murder,"Seales, Julia*",0593449983,9780593449981,,352        pp,3.69,"14,774","Jun 27, 2023","Jun 27, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Hardcover,view,/book/show/62794526-a-most-agreeable-murder
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,015","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 26, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Counting the Cost,"Duggar, Jill",,,B0C6L2JQX9,287        pp,4.16,"83,949","Sep 12, 2023","Sep 12, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really respect Jill for writing this book. She has clearly been working toward healing and it shows in her writing. I admit I once watched their shoI really respect Jill for writing this book. She has clearly been working toward healing and it shows in her writing. I admit I once watched their show and also later got caught up in snark but seeing things from her perspective was interesting. I can’t help but wonder what their lives would be like if they hadn’t gone on TV, and I imagine that is something they all have to sit with every day. ...more",Notes are private!,0,2,1,"Sep 23, 2023","Sep 24, 2023","Sep 24, 2023",,Kindle Edition,view (with text),/book/show/167770288-counting-the-cost
