,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Elisa's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Nulla, solo la notte","Williams, John",8864117024,9788864117027,8864117024,138        pp,3.21,"2,971",1948,"Feb 27, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2014",,Hardcover,view,/book/show/20931466-nulla-solo-la-notte
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memorie d'una ragazza per bene,"Beauvoir, Simone de",8806135163,9788806135164,8806135163,379        pp,4.12,"15,779","Jan 01, 1958",1994,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2014",,Paperback,view,/book/show/11221138-memorie-d-una-ragazza-per-bene
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pian della Tortilla,"Steinbeck, John",,,,219        pp,3.83,"55,840",1935,"May 01, 1966",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 05, 2014",,Paperback,view,/book/show/9938293-pian-della-tortilla
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Troppi paradisi,"Siti, Walter",8806177990,9788806177997,8806177990,428        pp,3.79,258,2006,"Jan 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2014",,Hardcover,view,/book/show/9671374-troppi-paradisi
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Luce d'estate, ed è subito notte","Stefánsson, Jón Kalman",,,,304        pp,3.99,"4,916",2005,"Jun 14, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2014",,Paperback,view,/book/show/18133389-luce-d-estate-ed-subito-notte
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Festa mobile,"Hemingway, Ernest",8804604026,9788804604020,8804604026,194        pp,4.02,"151,130",1964,Jun 2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 13, 2014","Mar 26, 2014","Mar 13, 2014",,Paperback,view,/book/show/16001073-festa-mobile
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Che ne è stato di te, Buzz Aldrin?","Harstad, Johan",8870911640,9788870911640,8870911640,464        pp,4.05,"5,333",2005,"Oct 14, 2008",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 12, 2014","Mar 12, 2014","Mar 12, 2014",,Paperback,view,/book/show/9669032-che-ne-stato-di-te-buzz-aldrin
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loneliness of the Long-Distance Runner,"Sillitoe, Alan",,9780007792146,0007255608,176        pp,3.78,"6,604",1959,"Jul 16, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 04, 2014",,Paperback,view,/book/show/233436.The_Loneliness_of_the_Long_Distance_Runner
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Zeno's Conscience,"Svevo, Italo",0375727760,9780375727764,0375727760,437        pp,3.78,"26,955",1923,"Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2014",,Paperback,view,/book/show/84737.Zeno_s_Conscience
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Noi,"Zamyatin, Yevgeny",8862431422,9788862431422,8862431422,288        pp,3.89,"97,220",1924,"Jun 13, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 02, 2014","Mar 02, 2014","Mar 02, 2014",,Paperback,view,/book/show/20698328-noi
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All the Names,"Saramago, José",0156010593,9780156010597,0156010593,245        pp,3.91,"21,750",1997,"Oct 05, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 14, 2014",,Paperback,view,/book/show/2528.All_the_Names
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Complete Persepolis,"Satrapi, Marjane",0375714839,9780375714832,0375714839,341        pp,4.39,"181,337",2003,"Oct 30, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 14, 2014","Feb 14, 2014","Feb 14, 2014",,Paperback,view,/book/show/991197.The_Complete_Persepolis
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tornatrás,"Pitzorno, Bianca",8804515015,9788804515012,8804515015,367        pp,4.44,643,2000,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 29, 2014",,Paperback,view,/book/show/7667076-tornatr-s
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr.Palomar,"Calvino, Italo",0099430878,9780099430872,0099430878,118        pp,3.91,"8,604",Nov 1983,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 26, 2014",,Paperback,view,/book/show/60106.Mr_Palomar
