,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Beatriz's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Para Tão Curtos Amores, Tão Longa Vida","Sampaio, Daniel",9722132458,9789722132459,B0CKT8GNCG,173        pp,4.16,140,unknown,"Oct 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 24, 2023",,Kindle Edition,view,/book/show/199637652-para-t-o-curtos-amores-t-o-longa-vida
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Uma questão de vida e morte: Amor, perda e o que realmente importa no final","Yalom, Irvin D.",655535531X,9786555355314,B09HXWV7QB,267        pp,4.42,"6,578","Mar 02, 2021","Oct 20, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 18, 2023",,Kindle Edition,view,/book/show/59463042-uma-quest-o-de-vida-e-morte
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Amor Paixão Feminina,"Zalcberg, Malvine",8535227881,9788535227888,8535227881,256        pp,4.75,8,"Jan 01, 2007",2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 15, 2023",,Hardcover,view,/book/show/18602065-amor-paix-o-feminina
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Choose Elena,"Osborne-Crowley, Lucia",1999683390,9781999683399,1999683390,144        pp,4.44,916,"Sep 19, 2019","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Paperback,view,/book/show/51071647-i-choose-elena
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Complex PTSD: From Surviving to Thriving - A Guide and Map for Recovering from Childhood Trauma,"Walker, Pete",1492871842,9781492871842,1492871842,422        pp,4.56,"9,489","Dec 13, 2013","Dec 13, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2023",,Paperback,view,/book/show/19513818-complex-ptsd
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A arte e a psicanálise,"Aldemira, Luís Varela",9898944528,9789898944528,,174        pp,4.67,3,unknown,2022,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 05, 2023","Oct 12, 2023","Oct 05, 2023",,Paperback,view,/book/show/61403896-a-arte-e-a-psican-lise
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deixa-te de Mentiras,"Besson, Philippe",,,,158        pp,4.26,"39,885","Jan 05, 2017",2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2023",,Paperback,view,/book/show/51231330-deixa-te-de-mentiras
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notas Sobre o Cinematógrafo,"Bresson, Robert",9720450525,9789720450524,9720450525,144        pp,4.21,"3,056",1975,2000,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 03, 2023","Oct 04, 2023","Oct 04, 2023",,Paperback,view,/book/show/9502580-notas-sobre-o-cinemat-grafo
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,El amor es una droga dura,"Peri Rossi, Cristina",9507312889,9789507312885,9507312889,256        pp,3.73,198,1988,"Oct 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Uma crónica dos amantes - ou de um só - sobre ter encontrado uma casa, um útero, do qual se é expulso no fim do amor.",Notes are private!,0,0,1,"Sep 20, 2023",Oct 2023,"Oct 01, 2023",,Paperback,view (with text),/book/show/69963.El_amor_es_una_droga_dura
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A verdade das mentiras,"Vargas Llosa, Mario",8575812599,9788575812594,8575812599,368        pp,4.03,599,1990,2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 30, 2023",,,view,/book/show/5154923-a-verdade-das-mentiras
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Not Knowing: How to Love and Other Essays,"Ogden, Emily",022675135X,9780226751351,022675135X,144        pp,3.62,225,2022,"Apr 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 28, 2023",,Paperback,view,/book/show/58975504-on-not-knowing
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,É mesmo importante?,"Matos, Margarida Gaspar de",,,,unknown,3.50,4,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,,view,/book/show/58545044-mesmo-importante
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dear Reader: The Comfort and Joy of Books,"Rentzenbrink, Cathy",1509891528,9781509891528,1509891528,230        pp,4.20,"3,602","Sep 17, 2020","Sep 17, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 23, 2023",,Hardcover,view,/book/show/48562591-dear-reader
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Focusing,"Gendlin, Eugene T.",0553278339,9780553278330,0553278339,224        pp,3.93,"1,378",1978,"Sep 01, 1982",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 18, 2023",not set,"Sep 18, 2023",,Mass Market Paperback,view,/book/show/666175.Focusing
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Stay in Love: A Divorce Lawyer's Guide to Staying Together,"Sexton, James J.*",,,B075QJ7JLB,318        pp,4.19,"1,877","Apr 10, 2018","Apr 10, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 16, 2023",,Kindle Edition,view,/book/show/38124688-how-to-stay-in-love
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Esculpir o Tempo,"Tarkovsky, Andrei",8533608829,9788533608825,8533608829,314        pp,4.51,"5,600",1984,Jun 1998,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 15, 2023",not set,"Sep 15, 2023",,Paperback,view,/book/show/846751.Esculpir_o_Tempo
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,460","Sep 12, 2023","Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Hardcover,view,/book/show/138505710-doppelganger
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madame Bovary,"Flaubert, Gustave",,9789722635929,9722635921,344        pp,3.70,"334,509","Dec 15, 1856",Oct 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 04, 2023",not set,"Sep 10, 2023",,Hardcover,view,/book/show/16180119-madame-bovary
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La revolución positiva,"de Bono, Edward",8449304903,9788449304903,8449304903,215        pp,3.28,97,"Mar 05, 1991","Jan 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 10, 2023","Sep 17, 2023","Sep 10, 2023",,Paperback,view,/book/show/63196.La_revoluci_n_positiva
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why Women Grow: Stories of Soil, Sisterhood and Survival","Vincent, Alice",1838855440,9781838855444,B0BCQWPJR6,305        pp,3.91,630,unknown,"Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 08, 2023",,Kindle Edition,view,/book/show/75303502-why-women-grow
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saving Time: Discovering a Life Beyond the Clock,"Odell, Jenny*",059324270X,9780593242704,059324270X,400        pp,3.62,"3,346","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 05, 2023",,Hardcover,view,/book/show/61358639-saving-time
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Depois do fim: Conversas sobre literatura e antropoceno,"Secches, Fabiane*",,9786587342290,,136        pp,3.88,26,unknown,2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 23, 2023","Sep 03, 2023","Sep 03, 2023",,Paperback,view,/book/show/61290441-depois-do-fim
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os Inquietos,"Ullmann, Linn",9897833579,9789897833571,,352        pp,3.95,"4,307",Nov 2015,Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 24, 2023",,Paperback,view,/book/show/178161734-os-inquietos
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Quem Sou Eu? E, Se Sou, Quantos Sou?: Uma Aventura Na Filosofia","Precht, Richard David",,,,336        pp,3.87,"5,056","Sep 17, 2007",2008,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2023",,"23 x 15,5 cm",view,/book/show/6403167-quem-sou-eu-e-se-sou-quantos-sou
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Funny Story,"Henry, Emily*",0593441222,9780593441282,B0CCNBRNRQ,395        pp,4.52,"3,551","Apr 23, 2024","Apr 23, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/194802722-funny-story
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Homem-objeto e outras coisas sobre ser mulher,"Bernardi, Tati",853593121X,9788535931211,853593121X,256        pp,3.68,159,unknown,"Jun 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Nov 16, 2023May 31, 2023","Nov 18, 2023Aug 12, 2023","Aug 12, 2023",,Paperback,view,/book/show/40746039-homem-objeto-e-outras-coisas-sobre-ser-mulher
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No One Belongs Here More Than You,"July, Miranda*",0743299396,9780743299398,0743299396,205        pp,3.80,"40,247","May 15, 2007","May 15, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2023",,Hardcover,view,/book/show/113429.No_One_Belongs_Here_More_Than_You
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Anatomy of a Breakthrough: How to Get Unstuck When It Matters Most,"Alter, Adam",1982182989,9781982182984,B0B3Y7VTCC,316        pp,3.99,901,unknown,"May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 07, 2023",,Kindle Edition,view,/book/show/61272294-anatomy-of-a-breakthrough
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Perfection Trap: Embracing the Power of Good Enough,"Curran, Thomas*",1982149531,9781982149536,1982149531,288        pp,3.99,"1,245",unknown,"Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 07, 2023",,Hardcover,view,/book/show/62919758-the-perfection-trap
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Are a Message: Meditations for the Creative Entrepreneur,"Wolf, Guillaume",1515258823,9781515258827,1515258823,304        pp,4.13,104,"Jul 27, 2015","Jul 27, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 28, 2023",,Paperback,view,/book/show/26476834-you-are-a-message
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Writing Tools: 55 Essential Strategies for Every Writer,"Clark, Roy Peter",0316014984,,,295        pp,4.19,"5,451","Sep 01, 2006",2018,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 24, 2023",,Kindle Edition,view,/book/show/41812861-writing-tools
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cativar,"Edwards, Vanessa Van*",,9789897246258,,336        pp,4.14,"6,365","Apr 25, 2017",May 2022,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 23, 2023",,Paperback,view,/book/show/61135327-cativar
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House on Mango Street,"Cisneros, Sandra",0679734775,9780679734772,0679734775,110        pp,3.69,"190,533",1984,"Apr 03, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2023",,Paperback,view,/book/show/139253.The_House_on_Mango_Street
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hamlet on the Holodeck: The Future of Narrative in Cyberspace,"Murray, Janet H.",0262631873,9780262631877,0262631873,336        pp,3.94,609,1997,"Aug 27, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 20, 2023",,Paperback,view,/book/show/33178.Hamlet_on_the_Holodeck
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Le vrai lieu. Entretiens avec Michelle Porte,"Ernaux, Annie*",2072779650,9782072779657,2072779650,111        pp,4.16,177,"Jan 01, 2014","Feb 02, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 19, 2023","Jul 28, 2023","Jul 19, 2023",,Paperback,view,/book/show/40501329-le-vrai-lieu-entretiens-avec-michelle-porte
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Five Arguments All Couples (Need To) Have,"Harrison, Joanna",1788167260,9781788167260,1788167260,288        pp,3.45,44,unknown,"Sep 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 18, 2023",,Hardcover,view,/book/show/59452732-five-arguments-all-couples-need-to-have
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Elle & lui,"Levy, Marc*",,9782221157831,2221157834,418        pp,3.71,"33,016","Feb 05, 2015","Feb 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 17, 2023",not set,"Jul 12, 2023",,Paperback,view,/book/show/24671869-elle-lui
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Perder-se,"Ernaux, Annie*",9897111492,9789897111495,9897111492,272        pp,3.45,"4,717","Oct 17, 2001",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 07, 2023","Jul 17, 2023","Jul 09, 2023",,Paperback,view,/book/show/178786357-perder-se
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Une femme,"Ernaux, Annie*",2072452856,9782072452857,B006327Y9E,104        pp,4.22,"11,887","Jan 14, 1988","Oct 05, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 09, 2023","Jul 11, 2023","Jul 09, 2023",,Kindle Edition,view,/book/show/26705697-une-femme
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tempos Emocionantes,"Dolan, Naoise",9897833609,9789897833601,9897833609,264        pp,3.24,"63,828","Apr 01, 2020",Jun 2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Paperback,view,/book/show/179012575-tempos-emocionantes
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Send Nudes,"Sams, Saba",1526648989,9781526648983,1526648989,224        pp,3.54,"6,127","Jan 20, 2022","Jan 20, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Paperback,view,/book/show/58612901-send-nudes
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uma casa que não pode cair: Encontrando calma e coragem diante do sofrimento de quem amamos,"Jalbut, Júlia",8542222652,9788542222654,B0C6R6X86N,318        pp,4.80,15,unknown,"Jun 26, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 01, 2023",,Kindle Edition,view,/book/show/169476017-uma-casa-que-n-o-pode-cair
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Depois de tudo, queime: Breves contos sobre encontros modernos","Borges, Luciana",,,B09SDQZ31X,unknown,3.74,23,unknown,"Feb 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 23, 2023",,Kindle Edition,view,/book/show/60533583-depois-de-tudo-queime
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Vindication of the Rights of Woman,"Wollstonecraft, Mary",0141441259,9780141441252,0141441259,269        pp,3.91,"24,469",1792,"Sep 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 22, 2023",,Paperback,view,/book/show/224387.A_Vindication_of_the_Rights_of_Woman
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Single Man,"Isherwood, Christopher",0816638624,9780816638628,0816638624,186        pp,4.07,"33,322",1964,"Apr 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2023",,Paperback,view,/book/show/16842.A_Single_Man
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Women,"Sontag, Susan",1250876850,9781250876850,1250876850,208        pp,3.65,995,"May 30, 2023","May 30, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 21, 2023",,Paperback,view,/book/show/60827532-on-women
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tell Them I Said No,"Herbert, Martin",3956792009,9783956792007,3956792009,128        pp,3.90,163,"Jan 18, 2017","Sep 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2023",,Paperback,view,/book/show/31749647-tell-them-i-said-no
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sexuality & Space        (Princeton Papers on Architecture, 1)","Colomina, Beatriz",1878271083,9781878271082,1878271083,390        pp,3.91,89,"Jul 01, 1996",1992,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 20, 2023",,Paperback,view,/book/show/133305.Sexuality_Space
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Conhecimento do Inferno,"Lobo Antunes, António",9722027131,9789722027137,9722027131,250        pp,3.90,380,1980,2007,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2023",,Paperback,view,/book/show/12119804-conhecimento-do-inferno
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Notes on Heartbreak,"Lord, Annie",1398705489,9781398705487,1398705489,400        pp,4.17,"5,603","Jun 23, 2022","Jun 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 31, 2023",,Hardcover,view,/book/show/59777955-notes-on-heartbreak
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Getting Things Done: The Art of Stress-Free Productivity,"Allen, David",0142000280,9780142000281,0142000280,267        pp,4.01,"157,903",2001,"Dec 31, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 29, 2023",,Paperback,view,/book/show/1633.Getting_Things_Done
