,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Aviva's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Vindication of the Rights of Woman,"Wollstonecraft, Mary",0141441259,9780141441252,0141441259,269        pp,3.91,"24,469",1792,"Sep 28, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/224387.A_Vindication_of_the_Rights_of_Woman
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Waste Land and Other Poems,"Eliot, T.S.",015694877X,9780156948777,B000H4EXMU,88        pp,4.22,"68,895",1922,"Aug 04, 1958",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/400412.The_Waste_Land_and_Other_Poems
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Adam Bede,"Eliot, George",0375759018,9780375759017,0375759018,624        pp,3.82,"25,358","Feb 01, 1859","Apr 09, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/20563.Adam_Bede
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mill on the Floss,"Eliot, George",0141439629,9780141439624,0141439629,579        pp,3.82,"55,324","Apr 04, 1860","Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/20564.The_Mill_on_the_Floss
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Animal Farm,"Orwell, George",0451526341,9780451526342,,141        pp,3.99,"3,883,815","Aug 17, 1945",Apr 1996,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Mass Market Paperback,view,/book/show/170448.Animal_Farm
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,To the Lighthouse,"Woolf, Virginia",,,140679239X,209        pp,3.80,"183,337","May 05, 1927","Dec 27, 1989",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/59716.To_the_Lighthouse
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Canterbury Tales,"Chaucer, Geoffrey",0140424385,9780140424386,0140424385,504        pp,3.52,"221,793",1400,"Feb 04, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Paperback,view,/book/show/2696.The_Canterbury_Tales
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pnin,"Nabokov, Vladimir",1400041988,9781400041985,1400041988,184        pp,3.89,"24,891",1957,"Apr 06, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/30593.Pnin
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest,"Cline, Emma",0812998626,9780812998627,,304        pp,3.32,"64,891","May 16, 2023","May 16, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 12, 2023",,Hardcover,view,/book/show/61986136-the-guest
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recollections of My Life as a Woman: The New York Years,"di Prima, Diane",0140231587,9780140231588,0140231587,424        pp,4.26,554,"Mar 26, 2001","Mar 26, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/184197.Recollections_of_My_Life_as_a_Woman
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Okay Days,"Mustard, Jenny*",1399713469,9781399713467,1399713469,340        pp,3.79,"2,031","Jun 29, 2023","Jun 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Hardcover,view,/book/show/62831265-okay-days
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On Love,"de Botton, Alain*",0802142400,9780802142405,0802142400,194        pp,3.97,"31,603",Nov 1993,"Jan 06, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 08, 2023",,Paperback,view,/book/show/23426.On_Love
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradais,"Melchor, Fernanda*",0811231321,9780811231329,0811231321,128        pp,3.65,"12,605",2021,"May 10, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 06, 2023",,Hardcover,view,/book/show/58470818-paradais
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Blinding Absence of Light,"Ben Jelloun, Tahar",014303572X,9780143035725,014303572X,208        pp,4.28,"12,565",2001,"Jan 31, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 02, 2023",,Paperback,view,/book/show/175147.This_Blinding_Absence_of_Light
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last of the Wine,"Renault, Mary",0375726810,9780375726811,0375726810,400        pp,4.05,"5,748",1956,"Jun 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2023",,Paperback,view,/book/show/67696.The_Last_of_the_Wine
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Longer Human,"Dazai, Osamu",,,,177        pp,4.00,"158,461",1948,"Jan 17, 1958",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2023",,Paperback,view,/book/show/194746.No_Longer_Human
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Paradise Lost,"Milton, John",0140424393,9780140424393,0140424393,512        pp,3.84,"165,919",1667,"Apr 29, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 14, 2023",,Paperback,view,/book/show/15997.Paradise_Lost
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Yellowface,"Kuang, R.F.*",,,,329        pp,3.80,"428,279","May 25, 2023","May 25, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 02, 2023",,Hardcover,view,/book/show/59357120-yellowface
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Real Estate,"Levy, Deborah",024126801X,9780241268018,024126801X,297        pp,4.30,"6,681","May 13, 2021","May 13, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 29, 2023",,Hardcover,view,/book/show/54546064-real-estate
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,War and Peace,"Tolstoy, Leo",,,,"1,392        pp",4.16,"328,066",1868,"Jun 25, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Don’t know whether to cry because little Nikolay wants to make his dead father proud or because I am on my period. Maybe both…Didn’t actually cry but Don’t know whether to cry because little Nikolay wants to make his dead father proud or because I am on my period. Maybe both…Didn’t actually cry but Tolstoy is deserved of my tears...more,Notes are private!,3,5,1,"Jun 28, 2023","Sep 08, 2023","Jun 28, 2023",,Paperback,view (with text),/book/show/656.War_and_Peace
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kitchen,"Yoshimoto, Banana",0802142443,9780802142443,0802142443,160        pp,3.90,"99,146","Jan 30, 1988","Apr 17, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 10, 2023",,Paperback,view,/book/show/50144.Kitchen
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Search of Lost Time,"Proust, Marcel",0812969642,9780812969641,0812969642,"4,211        pp",4.35,"12,640",1927,"Jun 03, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 04, 2023",,Paperback,view,/book/show/18796.In_Search_of_Lost_Time
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ordinary People,"Evans, Diana*",1784742163,9781784742164,1784742163,329        pp,3.32,"12,722","Apr 05, 2018","Apr 05, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 24, 2023",,Paperback,view,/book/show/35277858-ordinary-people
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alone With You in the Ether,"Blake, Olivie*",1250888166,9781250888167,1250888166,288        pp,3.84,"76,073","Jun 20, 2020","Nov 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 22, 2023",,Hardcover,view,/book/show/61126612-alone-with-you-in-the-ether
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Prime of Miss Jean Brodie,"Spark, Muriel",0060931736,9780060931735,0060931736,150        pp,3.71,"54,735",1961,"Feb 03, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2023",,Paperback,view,/book/show/517188.The_Prime_of_Miss_Jean_Brodie
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Exit West,"Hamid, Mohsin",0735212171,9780735212176,0735212171,231        pp,3.75,"138,453","Mar 07, 2017","Mar 07, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2023",,Hardcover,view,/book/show/30688435-exit-west
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Save Me the Waltz,"Fitzgerald, Zelda",0099286556,9780099286554,0099286556,225        pp,3.53,"4,053",1932,"Aug 02, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 30, 2023",,Paperback,view,/book/show/150104.Save_Me_the_Waltz
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If I Had Your Face,"Cha, Frances*",0593129466,9780593129463,0593129466,288        pp,3.75,"51,367","Apr 21, 2020","Apr 21, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2023",,Hardcover,view,/book/show/52696537-if-i-had-your-face
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Between the World and Me,"Coates, Ta-Nehisi",,,,152        pp,4.40,"333,005","Jul 14, 2015","Jul 14, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 29, 2023",,Hardcover,view,/book/show/25489625-between-the-world-and-me
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Small Things Like These,"Keegan, Claire",0802158749,9780802158741,0802158749,128        pp,4.19,"153,355","Nov 05, 2021","Nov 30, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 22, 2023",,Hardcover,view,/book/show/58662236-small-things-like-these
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gigi and the Cat,Colette,,,B004URRYNU,160        pp,3.65,"2,457",1944,"Apr 28, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2023",,Kindle Edition,view,/book/show/19294048-gigi-and-the-cat
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chéri,Colette,009942276X,9780099422761,009942276X,122        pp,3.67,"5,075",1920,"Jan 01, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2023",,Paperback,view,/book/show/389115.Ch_ri
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughters Beyond Command,"Olmi, Véronique",1609457919,9781609457914,,496        pp,3.71,307,2020,"Sep 13, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 14, 2023",,ebook,view,/book/show/60465832-daughters-beyond-command
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fixer,"Malamud, Bernard",0374529388,9780374529383,0374529388,335        pp,3.98,"11,297",1966,"May 05, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 06, 2023",,Paperback,view,/book/show/3066.The_Fixer
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All About Love: New Visions,"hooks, bell",0060959479,9780060959470,0060959479,238        pp,4.06,"86,207","Dec 22, 1999","Jan 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 02, 2023",,Paperback,view,/book/show/218042.All_About_Love
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inferno,"Alighieri, Dante",0553213393,9780553213393,0553213393,396        pp,4.02,"182,077",1320,"Aug 03, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The world’s first burn book.. Dante was THAT vengeful bitch,Notes are private!,0,3,1,"Feb 27, 2023","Mar 29, 2023","Feb 27, 2023",,Paperback,view (with text),/book/show/19163.Inferno
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Madame Bovary,"Flaubert, Gustave",0140445269,9780140445268,0140445269,320        pp,3.70,"334,509","Dec 15, 1856","Jan 05, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,What happens to a bitch when she has no female friends:,Notes are private!,0,3,1,"Feb 26, 2023","Mar 12, 2023","Feb 26, 2023",,Paperback,view (with text),/book/show/501487.Madame_Bovary
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kim Jiyoung, Born 1982","Cho, Nam-Joo",1631496700,9781631496707,1631496700,163        pp,4.17,"142,901","Oct 14, 2016","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2023",,Hardcover,view,/book/show/46041199-kim-jiyoung-born-1982
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Portrait of a Mirror,"Joukovsky, A. Natasha*",1419752162,9781419752162,1419752162,320        pp,3.62,"2,762","Jun 01, 2021","Jun 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Hardcover,view,/book/show/54776198-the-portrait-of-a-mirror
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Orlando,"Woolf, Virginia",0141184272,9780141184272,0141184272,336        pp,3.87,"93,122","Oct 11, 1928","Oct 03, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 17, 2023",,Paperback,view,/book/show/18839.Orlando
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Strange Case of Dr. Jekyll and Mr. Hyde,"Stevenson, Robert Louis",,,,54        pp,3.83,"580,444","Jan 05, 1886","Jan 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Somehow felt rlly long,Notes are private!,0,5,2,"May 02, 2023Feb 15, 2023","May 03, 2023Feb 20, 2023","Feb 15, 2023",,Paperback,view (with text),/book/show/288830.The_Strange_Case_of_Dr_Jekyll_and_Mr_Hyde
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memoirs of a Dutiful Daughter,"Beauvoir, Simone de",0060825197,9780060825195,0060825197,359        pp,4.12,"15,779","Jan 01, 1958","Aug 02, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2023",,Paperback,view,/book/show/164006.Memoirs_of_a_Dutiful_Daughter
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting for Godot,"Beckett, Samuel",,,,109        pp,3.84,"201,610","Apr 01, 1952",2011,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 07, 2023","Feb 10, 2023","Feb 07, 2023",,Paperback,view,/book/show/17716.Waiting_for_Godot
