,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Anna's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Feasts at Night        (Sworn Soldier, #2)","Kingfisher, T.",1250830850,9781250830852,1250830850,151        pp,3.97,"8,214","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 08, 2024",,Hardcover,view,/book/show/127306440-what-feasts-at-night
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unfortunates,"Baer, William*",0943549477,9780943549477,0943549477,65        pp,3.67,6,May 1997,"Jun 01, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/201667.The_Unfortunates
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Friday Black,"Adjei-Brenyah, Nana Kwame*",1328911241,9781328911247,1328911241,194        pp,4.06,"16,508","Oct 23, 2018","Oct 23, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2024",,Paperback,view,/book/show/37570595-friday-black
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,MY DATE WITH SATAN: Stories,"Richter, Stacey",0684857022,9780684857022,0684857022,224        pp,3.81,380,1999,"Sep 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 22, 2024",,Paperback,view,/book/show/235717.MY_DATE_WITH_SATAN
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Black Unicorn,"Lorde, Audre",0241396867,9780241396865,0241396867,127        pp,4.35,"3,134","Jan 01, 1978","Jul 04, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Paperback,view,/book/show/43611427-the-black-unicorn
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Emperor of Water Clocks,"Komunyakaa, Yusef",0374147833,9780374147839,0374147833,128        pp,3.90,167,"Oct 06, 2015","Oct 06, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 20, 2024",,Hardcover,view,/book/show/23848151-the-emperor-of-water-clocks
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hitting a Straight Lick with a Crooked Stick: Stories from the Harlem Renaissance,"Hurston, Zora Neale",0062915797,9780062915795,0062915797,304        pp,3.98,"4,529","Jan 14, 2020","Jan 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/44890071-hitting-a-straight-lick-with-a-crooked-stick
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Should See Me in a Crown,"Johnson, Leah*",,,,336        pp,4.09,"40,938","Jun 02, 2020","Jun 02, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/50160619-you-should-see-me-in-a-crown
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Underground Railroad,"Whitehead, Colson*",0385542364,9780385542364,0385542364,320        pp,4.06,"401,204","Aug 02, 2016","Aug 02, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/30555488-the-underground-railroad
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wandering Stars,"Orange, Tommy*",0593318250,9780593318256,0593318250,336        pp,4.01,"4,921","Feb 27, 2024","Feb 27, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 19, 2024",,Hardcover,view,/book/show/174147294-wandering-stars
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chain Gang All Stars,"Adjei-Brenyah, Nana Kwame*",0593469313,9780593469316,0593469313,411        pp,4.14,"37,831","May 02, 2023","Jan 23, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 02, 2024","Feb 24, 2024","Feb 03, 2024",,Paperback,view,/book/show/202468406-chain-gang-all-stars
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light in Gaza: Writings Born of Fire,"Abusalim, Jehad",164259699X,9781642596991,164259699X,279        pp,4.72,"1,103","Aug 30, 2022","Aug 30, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 02, 2024",,Paperback,view,/book/show/60746110-light-in-gaza
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Exist Too Much,"Arafat, Zaina*",1948226502,9781948226509,1948226502,272        pp,3.64,"15,180","Jun 09, 2020","Jun 09, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/41720140-you-exist-too-much
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ready When You Are,"Lonesborough, Gary*",1338749544,9781338749540,1338749544,245        pp,4.21,"2,738","Feb 02, 2021","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Hardcover,view,/book/show/57835937-ready-when-you-are
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Alphabetical Diaries,"Heti, Sheila*",0374610789,9780374610784,0374610789,224        pp,4.11,781,"Feb 06, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/127282792-alphabetical-diaries
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hearing Test,"Callahan, Eliza Barry",164622213X,9781646222131,164622213X,163        pp,3.71,183,"Mar 05, 2024","Mar 05, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 31, 2024",,Hardcover,view,/book/show/185767235-the-hearing-test
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Moon of the Crusted Snow        (Moon, #1)","Rice, Waubgeshig*",1770414002,9781770414006,1770414002,213        pp,3.86,"26,697","Oct 02, 2018","Oct 02, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 28, 2024",,Paperback,view,/book/show/39082248-moon-of-the-crusted-snow
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,340","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 13, 2024",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Julia,"Newman, Sandra*",0063265338,9780063265332,0063265338,400        pp,3.80,"3,617","Oct 19, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 26, 2023",,Hardcover,view,/book/show/86508927-julia
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Alice Network,"Quinn, Kate*",,,,503        pp,4.32,"491,894","Jun 06, 2017","Jun 06, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Paperback,view,/book/show/32051912-the-alice-network
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wednesday's Child: Stories,"Li, Yiyun",0374606374,9780374606374,0374606374,256        pp,3.79,"1,066","Aug 30, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/65215744-wednesday-s-child
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When No One Is Watching,"Cole, Alyssa*",1799941507,9781799941507,1799941507,1        pp,3.50,"94,347","Sep 01, 2020","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Audio CD,view,/book/show/55343933-when-no-one-is-watching
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Greenwood,"Christie, Michael*",1984822004,9781984822000,1984822004,528        pp,4.34,"20,949","Sep 24, 2019","Feb 25, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Hardcover,view,/book/show/39328584-greenwood
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Split Tooth,"Tagaq, Tanya",0143198041,,B07CR2Y9QX,202        pp,3.92,"11,227","Sep 25, 2018","Sep 25, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 20, 2023",,Kindle Edition,view,/book/show/40044460-split-tooth
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unwind        (Unwind, #1)","Shusterman, Neal*",1416912045,9781416912040,1416912045,337        pp,4.17,"229,205","Nov 06, 2007","Nov 06, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 13, 2023",,Hardcover,view,/book/show/764347.Unwind
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,We the Animals,"Torres, Justin*",0547844190,9780547844190,0547844190,128        pp,3.71,"21,583","Sep 02, 2011","Sep 11, 2012",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/13318653-we-the-animals
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Severance,"Ma, Ling*",1250214998,9781250214997,1250214998,291        pp,3.92,"99,020","Aug 14, 2018","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2023",,Paperback,view,/book/show/41556003-severance
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Final Girl Support Group,"Hendrix, Grady*",0593201248,9780593201244,0593201248,352        pp,3.52,"135,326","Jul 13, 2021","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 17, 2023",,Paperback,view,/book/show/60542388-the-final-girl-support-group
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,164","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 15, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Border and Rule: Global Migration, Capitalism, and the Rise of Racist Nationalism","Walia, Harsha*",1642592692,9781642592696,1642592692,200        pp,4.61,"1,085","Feb 09, 2021","Mar 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 17, 2023",,Paperback,view,/book/show/54626107-border-and-rule
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of Small Things,"Roy, Arundhati*",0008556172,9780008556174,0008556172,340        pp,3.95,"298,010",Apr 1997,"May 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 09, 2023","Dec 27, 2023","Oct 15, 2023",,Paperback,view,/book/show/61317117-the-god-of-small-things
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Never Whistle at Night,"Hawk, Shane*",0593468465,9780593468463,0593468465,400        pp,4.04,"7,737","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Paperback,view,/book/show/75293507-never-whistle-at-night
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bloodchild and Other Stories,"Butler, Octavia E.",1583226982,9781583226988,1583226982,214        pp,4.35,"22,976",Aug 1995,Oct 2005,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Paperback,view,/book/show/60930.Bloodchild_and_Other_Stories
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0593470834,9780593470831,0593470834,416        pp,4.15,"340,201","Apr 18, 2017","Oct 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2023",,Paperback,view,/book/show/193388249-killers-of-the-flower-moon
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,In Memory of Memory,"Stepanova, Maria",0811228835,9780811228831,0811228835,432        pp,3.85,"1,855",2017,"Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 06, 2023",,Paperback,view,/book/show/53492649-in-memory-of-memory
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Who Have Never Known Men,"Harpman, Jacqueline",0380731819,9780380731817,0380731819,208        pp,4.24,"50,836",1995,"Jul 01, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 02, 2023",,Mass Market Paperback,view,/book/show/11996.I_Who_Have_Never_Known_Men
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Have I Told You This Already?: Stories I Don't Want to Forget to Remember,"Graham, Lauren",059335544X,9780593355442,059335544X,208        pp,3.66,"25,854","Nov 15, 2022","Nov 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 01, 2023",,Paperback,view,/book/show/193556625-have-i-told-you-this-already
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Government Means to Kill Me,"Newson, Rasheed*",1250833523,9781250833525,1250833523,276        pp,4.24,"4,483","Aug 23, 2022","Aug 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Although my initial response to this novel was overwhelmingly positive, the pacing of the story and its conclusion were off. The ending seems to drop Although my initial response to this novel was overwhelmingly positive, the pacing of the story and its conclusion were off. The ending seems to drop off hurriedly, leaving me with a sense of incompleteness. I think this needed 25+ more pages to come full circle and deliver a truly satisfying arc. So many loose threads that I'm curious about.The good thing, though, is that I am curious! I also haven't read a novel this quickly in a very long time. Clearly, I was engrossed. ...more",Notes are private!,0,0,1,"Oct 02, 2023","Oct 05, 2023","Sep 22, 2023",,Hardcover,view (with text),/book/show/58724723-my-government-means-to-kill-me
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girl, Interrupted","Kaysen, Susanna",0679746048,9780679746041,0679746048,169        pp,3.93,"244,139",1993,"Apr 19, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 21, 2023",,Paperback,view,/book/show/68783.Girl_Interrupted
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Killers of the Flower Moon: The Osage Murders and the Birth of the FBI,"Grann, David*",0385534256,9780385534253,,359        pp,4.15,"340,201","Apr 18, 2017","Apr 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,ebook,view,/book/show/29496076-killers-of-the-flower-moon
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Status of All Things,"Fenton, Liz*",1476763410,9781476763415,1476763410,294        pp,3.47,"5,002","Jun 02, 2015","Jun 02, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 18, 2023",,Paperback,view,/book/show/23492736-the-status-of-all-things
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Idol, Burning","Usami, Rin",0063213281,9780063213289,0063213281,144        pp,3.26,"7,466","Sep 11, 2020","Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 14, 2023",,Hardcover,view,/book/show/60470072-idol-burning
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Helping Hand,"Dale, Celia",0140028994,9780140028997,0140028994,176        pp,3.61,"1,047",1969,"Nov 01, 1969",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 09, 2023",,Paperback,view,/book/show/2998179-a-helping-hand
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Velveteen Rabbit,"Williams Bianco, Margery",0380002558,9780380002559,0380002558,40        pp,4.30,"258,206",1922,"Apr 01, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 09, 2023",,Paperback,view,/book/show/144974.The_Velveteen_Rabbit
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invisible Kingdom: Reimagining Chronic Illness,"O'Rourke, Meghan",1594633797,9781594633799,1594633797,324        pp,4.04,"5,702","Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 02, 2023",,Hardcover,view,/book/show/58574423-the-invisible-kingdom
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Vance, J.D.",0062300547,9780062300546,0062300547,264        pp,3.87,"412,291","Jun 28, 2016","Jun 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Hardcover,view,/book/show/27161156-hillbilly-elegy
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Moves the Dead        (Sworn Soldier, #1)","Kingfisher, T.",1250830753,9781250830753,1250830753,165        pp,3.90,"64,964","Jul 12, 2022","Jul 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Hardcover,view,/book/show/58724626-what-moves-the-dead
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hawaii's Story,Liliuokalani,1566476844,9781566476843,1566476844,424        pp,3.89,"1,665",1898,"Oct 01, 2004",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Paperback,view,/book/show/103490.Hawaii_s_Story
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Krapp's Last Tape & Embers,"Beckett, Samuel",0571062091,9780571062096,0571062091,48        pp,4.03,"4,587",1958,"Feb 16, 1998",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Paperback,view,/book/show/104627.Krapp_s_Last_Tape_Embers
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Molloy / Malone Dies / The Unnamable,"Beckett, Samuel",0375400702,9780375400704,0375400702,512        pp,4.28,"8,975",1958,"Sep 16, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Hardcover,view,/book/show/12279.Molloy_Malone_Dies_The_Unnamable
60,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Herzog,"Bellow, Saul",0142437298,9780142437292,0142437298,371        pp,3.76,"21,512",1964,"Feb 25, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 27, 2023",,Paperback,view,/book/show/6551.Herzog
