,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Girl's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Outsider,"King, Stephen*",1501180983,9781501180989,1501180983,561        pp,4.01,"308,497","May 22, 2018","May 22, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/36124936-the-outsider
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hare House,"Hinchcliffe, Sally",1529061652,9781529061659,B098P62FC2,320        pp,3.26,"2,907","Jan 06, 2022","Jan 06, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view,/book/show/58652856-hare-house
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mistletoe,"Littlewood, Alison",1787475905,9781787475908,B07KFLNL7F,253        pp,3.51,427,"Oct 10, 2019","Oct 10, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view,/book/show/43260175-mistletoe
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House Next Door,"Coates, Darcy*",,,B06XJ14MXH,282        pp,3.87,"7,915","Mar 15, 2017","Mar 15, 2017",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view,/book/show/34596370-the-house-next-door
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Craven Manor,"Coates, Darcy*",0994630638,9780994630636,0994630638,298        pp,3.93,"16,502","Dec 11, 2017","Dec 18, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/37824221-craven-manor
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Doppelganger: A Trip into the Mirror World,"Klein, Naomi",0374610320,9780374610326,0374610320,416        pp,4.26,"10,462","Sep 12, 2023","Sep 12, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/138505710-doppelganger
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,These Precious Days: Essays,"Patchett, Ann",0063092786,9780063092785,0063092786,320        pp,4.44,"36,767","Nov 23, 2021","Nov 23, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/56922687-these-precious-days
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This is the Story of a Happy Marriage,"Patchett, Ann",0062236679,9780062236678,0062236679,308        pp,4.00,"35,147","Nov 11, 2013","Nov 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/17349222-this-is-the-story-of-a-happy-marriage
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Truth & Beauty,"Patchett, Ann",0060572159,9780060572150,0060572159,257        pp,3.96,"43,450",Sep 1995,"Apr 05, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/3686.Truth_Beauty
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,"Bird, Kai*",,,,721        pp,4.31,"42,628","Apr 05, 2005","Dec 18, 2007",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/80571.American_Prometheus
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Żongler. Romain Gary,"Tuszyńska, Agata",8308075789,9788308075784,8308075789,384        pp,3.63,27,"May 18, 2022","May 18, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/60720745-ongler-romain-gary
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wellmania: Misadventures in the Search for Wellness,"Delaney, Brigid",1863959319,9781771643702,1863959319,336        pp,3.27,"1,117","Jul 03, 2017",Aug 2017,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/34451942-wellmania
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Life Less Throwaway: The Lost Art of Buying for Life,"Tara, Button",0008217718,9780008217716,0008217718,272        pp,3.65,"1,711","Feb 08, 2018","Jan 01, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/35450524-a-life-less-throwaway
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Raising Demons,"Jackson, Shirley",0897334132,9780897334136,0897334132,310        pp,4.15,"2,765",1957,"Jan 01, 1994",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/131187.Raising_Demons
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Life Among the Savages,"Jackson, Shirley",0140267670,9780140267679,0140267670,256        pp,3.98,"8,188",1953,"Oct 01, 1997",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/131191.Life_Among_the_Savages
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rootbound: Rewilding a Life,"Vincent, Alice",1786897709,9781786897701,1786897709,368        pp,3.51,868,"Jan 30, 2020","Jan 30, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/51803857-rootbound
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,ADHD & Us: A Couple's Guide to Loving and Living With Adult ADHD,"Robertson, Anita",1647397065,9781647397067,B08L9LS2W7,148        pp,4.08,421,unknown,"Nov 03, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view,/book/show/55952813-adhd-us
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Brudne pranie. ADHD u dorosłych i jak sobie z nim radzić,"Pink, Richard",,9788367710213,,192        pp,4.11,"4,241",2023,"Jun 28, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/175918069-brudne-pranie-adhd-u-doros-ych-i-jak-sobie-z-nim-radzi
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Necrovet. Usługi weterynaryjno-nekromantyczne        (Necrovet, #1)","Gajzler, Joanna W.",8383300514,9788383300511,8383300514,320        pp,3.60,"1,909","Jun 07, 2023","Jun 07, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/156949995-necrovet-us-ugi-weterynaryjno-nekromantyczne
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nic się nie działo. Historia życia mojej babki,"Markiewka, Tomasz S.",8381914841,9788381914840,,216        pp,4.01,277,"Jun 22, 2022","Jun 22, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/60850497-nic-si-nie-dzia-o-historia-ycia-mojej-babki
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Migot. Z krańca Grenlandii,"Wiśniewska, Ilona",8381914663,9788381914666,8381914663,256        pp,3.64,930,"May 25, 2022","May 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/60700521-migot-z-kra-ca-grenlandii
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dom ojców,"Muszyński, Andrzej",8381914256,9788381914253,8381914256,240        pp,3.69,48,"Mar 23, 2022","Mar 23, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Hardcover,view,/book/show/60103943-dom-ojc-w
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taki jest Berlin. O mieście kontrastów i ciągłych zmian,"Burzynski, Justyna",,9788328726130,,336        pp,3.32,76,"May 10, 2023","May 10, 2023",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 19, 2023","Nov 19, 2023","Nov 19, 2023",,Paperback,view,/book/show/138318328-taki-jest-berlin-o-mie-cie-kontrast-w-i-ci-g-ych-zmian
