,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Bel's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As pinturas de Alfred,"Astaroth, Heliza",,,B0C16DP23P,16        pp,2.75,12,unknown,"Mar 31, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,27,1,"Feb 26, 2024","Feb 26, 2024","Mar 01, 2024",,Kindle Edition,view,/book/show/125698741-as-pinturas-de-alfred
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Please Love Me at My Worst,"Angemeer, Michaela*",1524868698,9781524868697,1524868698,144        pp,3.90,"7,357","Oct 12, 2021","Oct 12, 2021",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,14,1,"Feb 29, 2024","Feb 29, 2024","Mar 01, 2024",,Paperback,view,/book/show/56898963-please-love-me-at-my-worst
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mary Jane,"Blau, Jessica Anya",0063052296,9780063052291,0063052296,320        pp,4.15,"83,900","May 11, 2021","May 11, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 29, 2024",,Hardcover,view,/book/show/54870208-mary-jane
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,espere por mim,"Oliveira, Tina",,,B0CCPC5F1R,49        pp,2.00,1,unknown,"Jul 23, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,21,1,"Feb 27, 2024","Feb 27, 2024","Feb 27, 2024",,Kindle Edition,view,/book/show/194915116-espere-por-mim
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mães da turminha,"Prata, Paula",,,B0CCSLD7MX,24        pp,2.50,2,unknown,"Jul 24, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,17,1,"Feb 22, 2024","Feb 22, 2024","Feb 26, 2024",,Kindle Edition,view,/book/show/195016600-m-es-da-turminha
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os Meus Dias na Livraria Morisaki,"Yagisawa, Satoshi",9722370472,9789722370479,9722370472,139        pp,3.66,"57,457","Sep 07, 2010","Feb 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 23, 2024",,Paperback,view,/book/show/84471891-os-meus-dias-na-livraria-morisaki
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Meia-noite chuvosa,"Santos, Gabriela",,,B0C5C446LD,24        pp,3.68,37,unknown,"May 14, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,31,1,"Feb 17, 2024","Feb 17, 2024","Feb 18, 2024",,Kindle Edition,view,/book/show/156461736-meia-noite-chuvosa
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Um Corpo Reconhecido,"Borges, Bito*",,B09JRXQN3D,,11        pp,4.29,34,"Oct 19, 2021","Oct 19, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,21,1,"Feb 17, 2024","Feb 17, 2024","Feb 18, 2024",,ebook,view,/book/show/59455944-um-corpo-reconhecido
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vanishing Act of Esme Lennox,"O'Farrell, Maggie*",,,,277        pp,3.92,"43,002",2006,"Feb 26, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 05, 2024",,Paperback,view,/book/show/250729.The_Vanishing_Act_of_Esme_Lennox
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bem-vindos à Livraria Hyunam-dong,"Bo-reum, Hwang",,,B0CCSJFPM1,295        pp,4.05,"10,449","Jan 17, 2022","Aug 10, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,um livro de quem ama ler pra quem ama ler,Notes are private!,0,154,1,"Feb 02, 2024","Feb 17, 2024","Feb 02, 2024",,Kindle Edition,view (with text),/book/show/195011497-bem-vindos-livraria-hyunam-dong
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,One Child,"Hayden, Torey L.",0380542625,9780380542628,0380542625,318        pp,4.26,"14,644",1980,"May 01, 1981",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Mass Market Paperback,view,/book/show/884295.One_Child
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hiroshima,"Hersey, John",,,,196        pp,4.03,"80,347",1946,"Feb 28, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/488156.Hiroshima
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unbroken: A World War II Story of Survival, Resilience and Redemption","Hillenbrand, Laura",1400064163,9781400064168,1400064163,475        pp,4.38,"934,815","Nov 16, 2010","Nov 16, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/8664353-unbroken
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca*",1400052173,9781400052172,1400052173,370        pp,4.12,"735,214","Feb 02, 2010","Feb 02, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Hardcover,view,/book/show/6493208-the-immortal-life-of-henrietta-lacks
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,O longo adeus a Pinochet,"Dorfman, Ariel",8535903356,9788535903355,8535903356,198        pp,4.06,483,2002,"Mar 20, 2003",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2024",,Paperback,view,/book/show/18633862-o-longo-adeus-a-pinochet
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,If Chins Could Kill: Confessions of a B Movie Actor,"Campbell, Bruce",0312291450,9780312291457,0312291450,344        pp,3.95,"18,318","Jun 23, 2001","Aug 24, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/34548.If_Chins_Could_Kill
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As sete mortes de Evelyn Hardcastle,"Turton, Stuart*",6555530073,9786555530070,6555530073,480        pp,3.83,"374,989","Feb 08, 2018","Sep 15, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 02, 2024",,Paperback,view,/book/show/55180863-as-sete-mortes-de-evelyn-hardcastle
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,As Clandestinas,"Sousa, Milla*",,,B0CFY89YQL,219        pp,3.50,6,unknown,"Aug 16, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 09, 2023","Dec 17, 2023","Jan 02, 2024",,Kindle Edition,view,/book/show/197543093-as-clandestinas
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Casa,"Castro, Rauani Viana",,,B0BJZ71Q1K,28        pp,3.65,17,unknown,"Oct 25, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 23, 2023","Dec 24, 2023","Jan 02, 2024",,Kindle Edition,view,/book/show/68005972-a-casa
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Até Logo, Violeta","Freitas, Maria*",,,B0BMZM9RXX,147        pp,4.44,61,unknown,"Dec 01, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 28, 2023","Dec 29, 2023","Jan 02, 2024",,Kindle Edition,view,/book/show/63900792-at-logo-violeta
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pétala,"Pilar, Olívia*",,,B07HLFXRNM,34        pp,4.05,657,"Sep 21, 2018","Sep 21, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 18, 2023","Dec 19, 2023","Jan 02, 2024",,Kindle Edition,view,/book/show/41970823-p-tala
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Laura Souza em:: Morte na Quadra de Basquete (Os Mistérios de Laura Souza Livro 1)        (Os Mistérios de Laura Souza Livro 1) (Portuguese Edition),"Catarino, Pedro",,,B0CHLCRZKX,124        pp,3.14,7,unknown,"Sep 12, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 30, 2023","Dec 30, 2023","Jan 02, 2024",,Kindle Edition,view,/book/show/198726364-laura-souza-em
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Os perigos de fumar na cama,"Enríquez, Mariana",6555606630,9786555606638,B0C8H68GZW,141        pp,3.82,"40,603",Jan 2009,"Jul 26, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,3.5 ⭐imagina escrever assim.,Notes are private!,0,38,1,"Dec 26, 2023","Dec 28, 2023","Dec 29, 2023",,Kindle Edition,view (with text),/book/show/179260028-os-perigos-de-fumar-na-cama
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hora zero,"Christie, Agatha",6560050548,9786560050549,6560050548,224        pp,3.94,"23,663",Jun 1944,"Aug 15, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"""quando lemos a notícia de um assassinato, ou uma história de ficção sobre um assassinato, normalmente tudo começa com o próprio crime. isso é errado.""quando lemos a notícia de um assassinato, ou uma história de ficção sobre um assassinato, normalmente tudo começa com o próprio crime. isso é errado. o assassinato começa muito antes, é o ponto culminante de várias circunstâncias diferentes, todas convergindo para um dado ponto, em um dado momento. o assassinato propriamente dito é o final da história. é a hora zero.""imagina escrever isso em 1944...more",Notes are private!,3,157,1,"Dec 29, 2023","Jan 20, 2024","Dec 29, 2023",,Hardcover,view (with text),/book/show/197074337-hora-zero
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Uma ideia de você,"Lee, Robinne*",,,B0C155B8WG,479        pp,3.89,"85,489","Jun 13, 2017","May 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 23, 2023",,Kindle Edition,view,/book/show/124952974-uma-ideia-de-voc
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Chucky: O Legado do Brinquedo Assassino,"McNeill, Dustin*",6555983396,9786555983395,6555983396,656        pp,4.43,68,unknown,"Nov 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 19, 2023",not set,"Dec 19, 2023",,Hardcover,view,/book/show/199343934-chucky
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Heartstopper: Volume Five        (Heartstopper, #5)","Oseman, Alice*",,,,336        pp,4.51,"108,880","Dec 07, 2023","Dec 19, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,sweet nothing - taylor swift.,Notes are private!,4,191,1,"Dec 14, 2023","Jan 02, 2024","Dec 14, 2023",,Paperback,view (with text),/book/show/53344030-heartstopper
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A depressão é uma borboleta azul,"Cantele, Sabrine",6500766970,9786500766974,B0B48FWG1X,90        pp,3.45,521,unknown,"Jun 14, 2022",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,19,1,"Dec 14, 2023","Dec 14, 2023","Dec 14, 2023",,Kindle Edition,view,/book/show/63061323-a-depress-o-uma-borboleta-azul
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretty Girls,"Slaughter, Karin*",0062430874,9780062430878,0062430874,432        pp,4.05,"410,405","Jul 02, 2015","Sep 29, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 14, 2023",,Paperback,view,/book/show/25574782-pretty-girls
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Livrai-nos do mal,"Wilding, Rose",6555877871,9786555877878,B0CCZXBCKF,353        pp,3.55,"2,884","Jun 13, 2023","Aug 28, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,o diabo tem medo de mulheres movidas pelo ódio da vingança e eu estou aqui pra falar que livros com essa temática sempre serão famosos,Notes are private!,3,102,1,"Feb 27, 2024",Apr 2024,"Dec 05, 2023",,Kindle Edition,view (with text),/book/show/195160651-livrai-nos-do-mal
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Confidante: The Untold Story of the Woman Who Helped Win WWII and Shape Modern America,"Gorham, Christopher C.*",0806542004,9780806542003,0806542004,384        pp,4.32,"1,818","Feb 21, 2023","Feb 21, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/61192830-the-confidante
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Nazi Conspiracy: The Secret Plot to Kill Roosevelt, Stalin, and Churchill","Meltzer, Brad*",1250777267,9781250777263,1250777267,400        pp,4.17,"7,248","Jan 10, 2023","Jan 10, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/60784360-the-nazi-conspiracy
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Holly,"King, Stephen*",1668016133,9781668016138,1668016133,449        pp,4.14,"91,188","Sep 05, 2023","Sep 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/65916344-holly
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Reformatory,"Due, Tananarive*",1982188340,9781982188344,1982188340,576        pp,4.50,"11,227","Oct 31, 2023","Oct 31, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/62919847-the-reformatory
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maid's Diary,"White, Loreth Anne*",1542034469,9781542034463,B09TZM8CZK,369        pp,4.25,"63,908","Mar 01, 2023","Mar 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Kindle Edition,view,/book/show/60588456-the-maid-s-diary
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"After That Night        (Will Trent, #11)","Slaughter, Karin*",,9780063157781,0063157780,432        pp,4.30,"39,376","Aug 22, 2023","Aug 22, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/63833664-after-that-night
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Let Her Stay,"Sanders, Nicola*",,,B0BSCQ3ZX7,283        pp,3.97,"130,514","Feb 09, 2023","Feb 09, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Kindle Edition,view,/book/show/80830635-don-t-let-her-stay
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bright Young Women,"Knoll, Jessica*",1501153226,9781501153228,1501153226,384        pp,4.03,"87,265","Sep 19, 2023","Sep 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/101124639-bright-young-women
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Only One Left,"Sager, Riley*",0593183223,9780593183229,0593183223,385        pp,4.15,"234,261","Jun 20, 2023","Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/62703226-the-only-one-left
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vera Wong's Unsolicited Advice for Murderers,"Sutanto, Jesse Q*",0593546172,9780593546178,0593546172,339        pp,4.05,"83,153","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/61327512-vera-wong-s-unsolicited-advice-for-murderers
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Devil to Die        (Thursday Murder Club, #4)","Osman, Richard",0241512441,9780241512449,0241512441,422        pp,4.51,"108,318","Sep 14, 2023","Sep 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 24, 2023",,Hardcover,view,/book/show/62226126-the-last-devil-to-die
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Storyteller: Tales of Life and Music,"Grohl, Dave",0063076098,9780063076099,0063076098,384        pp,4.48,"133,717","Oct 05, 2021","Oct 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 09, 2023",,Hardcover,view,/book/show/57648017-the-storyteller
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Whose Body?        (Lord Peter Wimsey, #1)","Sayers, Dorothy L.",0061043575,9780061043574,0061043575,212        pp,3.84,"56,102",1923,"Jul 11, 1995",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"3,5 ⭐você precisa saber MUITO pra escrever isso aqui 100 anos atrás. que privilégio ter conhecido a escrita e audácia de dorothy.",Notes are private!,0,43,1,"Nov 06, 2023","Nov 20, 2023","Nov 06, 2023",,Mass Market Paperback,view (with text),/book/show/192893.Whose_Body_
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kim Jiyoung, Born 1982","Cho, Nam-Joo",1631496700,9781631496707,1631496700,163        pp,4.17,"142,954","Oct 14, 2016","Apr 14, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2023",,Hardcover,view,/book/show/46041199-kim-jiyoung-born-1982
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,463","May 19, 2020","May 19, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2023",,Kindle Edition,view,/book/show/51901147-the-ballad-of-songbirds-and-snakes
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Criada,"McFadden, Freida*",9895701136,9789895701131,B0C6HDSCCY,344        pp,4.33,"1,066,005","Apr 26, 2022","Jun 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2023",,Kindle Edition,view,/book/show/165914365-a-criada
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Como Matei Minha Querida Família,"Mackie, Bella",6555982527,9786555982527,6555982527,256        pp,3.55,"125,602","Jun 10, 2021","Apr 19, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 05, 2023",,Hardcover,view,/book/show/137214411-como-matei-minha-querida-fam-lia
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A mulher em mim,"Spears, Britney",6553932808,9786553932807,B0CBQT339H,265        pp,3.91,"383,957","Oct 24, 2023","Oct 24, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,sentindo ódio de muita gente te amo britoca,Notes are private!,0,174,1,"Oct 31, 2023","Nov 14, 2023","Oct 31, 2023",,Kindle Edition,view (with text),/book/show/188457556-a-mulher-em-mim
