,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Lewis's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Believe It,"Donlea, Charlie*",149671380X,9781496713803,149671380X,342        pp,4.17,"43,083","May 29, 2018","May 29, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,a splendid read ... unexpected turns ... interesting major & minor characters,Notes are private!,0,4,1,not set,not set,"Feb 20, 2024",,Hardcover,view (with text),/book/show/36296238-don-t-believe-it
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The International Development of China by Sun Yat-sen,"Yat-Sen, Sun",,,B00J7X9S1S,178        pp,4.20,10,"Sep 08, 2010","Mar 23, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Kindle Edition,view,/book/show/29402025-the-international-development-of-china-by-sun-yat-sen
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sun Yat-Sen, Frustrated Patriot","Wilbur, Clarence Martin",0231040369,9780231040365,0231040369,413        pp,4.00,4,Dec 1976,"Jan 01, 1976",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 06, 2024",,Hardcover,view,/book/show/1826158.Sun_Yat_Sen_Frustrated_Patriot
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How One Man Made China Rich: What Deng Xiaoping did successfully? And how you can use these strategies in your life?,"Wong, Dr John",,,B00GBVDXOW,85        pp,5.00,1,"Oct 30, 2013","Oct 30, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Kindle Edition,view,/book/show/18945747-how-one-man-made-china-rich
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lies You Wrote        (Raisa Susanto #1),"Labuskes, Brianna*",1662511353,9781662511356,B0BSY1V5KL,350        pp,4.10,"9,699","Jan 01, 2024","Jan 01, 2024",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,stopped reading ... confusing ... disconnected ... definitely easy to put down,Notes are private!,0,9,1,"Mar 16, 2024","Mar 22, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/86497148-the-lies-you-wrote
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Antarctica Station,"Riddle, A.G.*",,,B0CQMQLR9C,413        pp,4.05,"5,836",unknown,"Jan 15, 2024",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jan 31, 2024","Feb 03, 2024","Jan 31, 2024",,Kindle Edition,view,/book/show/204297662-antarctica-station
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Man In The Water        (Jack and Stacey Green #1),"Hill, Jon*",,,B099QXQTWH,233        pp,3.93,"1,370","Oct 05, 2021","Oct 05, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This is a very strange book ... one unbelievable episode after another ... characters who are alternately smart and stupid ... and by the end of the sThis is a very strange book ... one unbelievable episode after another ... characters who are alternately smart and stupid ... and by the end of the story not believable ... and yet I kept reading and gave it 4**** ... go figure...more,Notes are private!,0,3,1,not set,"Jan 28, 2024","Jan 31, 2024",,Kindle Edition,view (with text),/book/show/59225620-man-in-the-water
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Summit Lake,"Donlea, Charlie*",0786041420,9780786041428,B06XVTKZRS,337        pp,4.10,"33,288","Jan 26, 2016","Mar 28, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"beautifully written mystery where two plots are developed alternately, one in the present and one in the past, until the stories meet together at the beautifully written mystery where two plots are developed alternately, one in the present and one in the past, until the stories meet together at the conclusion ... this structure is not easy to do but Donlea does it splendidly...more",Notes are private!,0,5,1,not set,"Jan 08, 2024","Jan 12, 2024",,Kindle Edition,view (with text),/book/show/34697709-summit-lake
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nixon Volume II: The Triumph of a Politician 1962-1972,"Ambrose, Stephen E.",,,B00HL709ZG,736        pp,4.09,423,"Dec 31, 1987","Mar 18, 2014",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,pedantic ... dull ... presents what are no doubt correct facts but without interpretation of the immediate and subsequent impact and the often fierce pedantic ... dull ... presents what are no doubt correct facts but without interpretation of the immediate and subsequent impact and the often fierce reaction to those facts by others both within and outside the Nixon circle...more,Notes are private!,0,5,1,"Dec 22, 2023","Dec 26, 2023","Dec 22, 2023",,Kindle Edition,view (with text),/book/show/20753807-nixon-volume-ii
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inner Circles: How America Changed the World : A Memoir,"Haig, Alexander Meigs",044651571X,9780446515719,044651571X,610        pp,3.80,30,"Sep 01, 1992","Jan 01, 1992",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Imagine you're writing a historical novel exploring how the relationship of the U.S. and China was impacted by the Nixon 1972 visit to China. You haveImagine you're writing a historical novel exploring how the relationship of the U.S. and China was impacted by the Nixon 1972 visit to China. You have an extensive outline and over 275 pages written and then you discover a book by a man who was a significant participant in many of the most crucial events you're writing about. What a find! Haig's accounts are perceptive and well written and I am finding his observations to be very useful, although I may have my characters argue with him about some things. I have not read the other sections of the book - Watergate, Reagan, etc - but for my purposes the hundred or so pages of Inner Circles I did read is a fantastic resource....more",Notes are private!,0,8,1,"Dec 16, 2023",Jan 2024,"Dec 16, 2023",,Hardcover,view (with text),/book/show/1468778.Inner_Circles
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Win        (Windsor Horne Lockwood III, #1)","Coben, Harlan*",1538748215,9781538748213,1538748215,375        pp,4.09,"67,284","Mar 16, 2021","Mar 16, 2021",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a good read, complicated plot, not always clear how it was all connected ... the major defect (IMO) was a failure to make me care about the characters",Notes are private!,0,5,1,"Dec 12, 2023","Dec 23, 2023","Dec 12, 2023",,Hardcover,view (with text),/book/show/53916157-win
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry Kissinger: Ending the Vietnam War,"Wagner, Heather Lehr",0791092224,9780791092224,0791092224,111        pp,3.00,1,"Jan 01, 2007","Jan 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Library Binding,view,/book/show/90775.Henry_Kissinger
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Undaunted Valor: Lam Son 719        (Undaunted Valor #3),"Jackson, Matt",1960249150,9781960249159,B08957V9W6,558        pp,4.60,396,unknown,"Nov 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2023",,Kindle Edition,view,/book/show/53925509-undaunted-valor
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Those Empty Eyes,"Donlea, Charlie*",1496727177,9781496727176,1496727177,368        pp,4.21,"25,512","Mar 28, 2023","Mar 28, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a complicated and suspenseful read ... many threads, but well written to allow the reader to follow ... surprises to the very end ... I will now find a complicated and suspenseful read ... many threads, but well written to allow the reader to follow ... surprises to the very end ... I will now find another book by Donlea...more",Notes are private!,0,8,1,"Dec 04, 2023","Dec 10, 2023","Dec 04, 2023",,Hardcover,view (with text),/book/show/62984900-those-empty-eyes
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Beautiful Country and the Middle Kingdom: America and China, 1776 to the Present","Pomfret, John",0805092501,9780805092509,0805092501,704        pp,4.30,487,2016,"Nov 29, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Dec 03, 2023",,Hardcover,view,/book/show/28696594-the-beautiful-country-and-the-middle-kingdom
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,CHE GUEVARA GUERRILLA WARFARE THE AUTHORIZED TRANSLATION,"Guevara, Che",,,B00K4NE92I,133        pp,5.00,1,unknown,unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 17, 2023",,Unknown Binding,view,/book/show/161689912-che-guevara-guerrilla-warfare-the-authorized-translation
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,MAO TSE TUNG ON GUERILLA WARFARE Translated Samuel B Griffith Praeger 1961 HC BC,"Tung, Mao Tse",,,B08L6HW73R,0        pp,3.50,4,unknown,"Jan 01, 1929",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 17, 2023",,Hardcover,view,/book/show/139781049-mao-tse-tung-on-guerilla-warfare-translated-samuel-b-griffith-praeger-19
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Youngblood Hawke,"Wouk, Herman",,,B088Z253WB,802        pp,4.19,"2,077",1962,"Jul 10, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a marvelous novel ... great characters ... surprising plot turns ... emotionally grabbing ... and for me, a true lesson in novel-writing ... aThis is a marvelous novel ... great characters ... surprising plot turns ... emotionally grabbing ... and for me, a true lesson in novel-writing ... and although I have published 7 novels, I still have much to learn ... I recommend Youngblood Hawke to any novelist ... I must have written 100 notes on writing linked to specific parts of Wouk's brilliant proseI just did something I never did before ... I have made my notes and comments available to anyone who's interested ... warnings ... many of the notes refer to characters and plot elements from my novel-in-progress and are thus unintelligible to anyone but me ... also, I have left the notes as typed on my kindle, with many typos and misspellings ...more",Notes are private!,0,7,1,"Oct 28, 2023","Nov 29, 2023","Oct 28, 2023",,Kindle Edition,view (with text),/book/show/53602531-youngblood-hawke
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Last Kill        (Tracy Crosswhite, #10)","Dugoni, Robert*",1662500203,9781662500206,B0B9T7K1F3,351        pp,4.49,"16,856","Oct 03, 2023","Oct 03, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"another fast-paced Dugoni thriller ... as always, excellent character development and plot lines",Notes are private!,0,13,1,"Oct 26, 2023","Oct 27, 2023","Oct 26, 2023",,Kindle Edition,view (with text),/book/show/62059957-one-last-kill
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ending the Vietnam War: A History of America's Involvement in and Extrication from the Vietnam War,"Kissinger, Henry",,,B000FC0NXW,640        pp,3.72,88,"Jan 01, 2002",unknown,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a brilliant and comprehensive compilation by Kissinger, with major excerpts from his previous books and new material ... including K's (remarkable) ada brilliant and comprehensive compilation by Kissinger, with major excerpts from his previous books and new material ... including K's (remarkable) admission that some of his views have, with hindsight, changed...more",Notes are private!,0,4,2,"Oct 13, 2023Mar 14, 2024","Oct 21, 2023not set","Oct 13, 2023",,Kindle Edition,view (with text),/book/show/6661578-ending-the-vietnam-war
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Spy Coast        (The Martini Club, #1)","Gerritsen, Tess*",1662515111,9781662515118,B0C2F4V6BM,341        pp,4.37,"58,070","Nov 01, 2023","Nov 01, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,outstanding plot ... excellent character development ... strong emotional links,Notes are private!,1,33,1,"Oct 11, 2023","Oct 14, 2023","Oct 11, 2023",,Kindle Edition,view (with text),/book/show/131068071-the-spy-coast
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Night Witch in Berlin,"Brady, Joanna*",,,B09254VQMB,397        pp,4.62,53,unknown,"Apr 08, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"engagingly plotted ... several surprises well presented ... past events brought in through short effective flashbacks ... a character you had to root engagingly plotted ... several surprises well presented ... past events brought in through short effective flashbacks ... a character you had to root for ... all set convincingly in post-WWII Berlin ... Brady exposes the horrors of a decent person living within an oppressive totalitarian regime intent on making all of its enemies and potential enemies disappear ... IMO, it portrays exactly what Donald Trump would like to do in America...more",Notes are private!,0,8,2,"Jan 19, 2024Oct 04, 2023","Jan 24, 2024Oct 11, 2023","Oct 04, 2023",,Kindle Edition,view (with text),/book/show/57688801-night-witch-in-berlin
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Chinese Triads: The History and Legacy of China’s Most Famous Organized Crime Syndicates,Charles River Editors,,,B0861Z4M4H,45        pp,3.19,16,unknown,"Mar 16, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 25, 2023",,Kindle Edition,view,/book/show/52507951-the-chinese-triads
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Lock-Up        (Quirke, #9)","Banville, John",1335449639,9781335449634,1335449639,320        pp,3.75,"3,078",2023,"May 23, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I give this book a 5***** rating even though I was left totally confused by the Epilogue. I thought the story, which was brilliantly conceived and tolI give this book a 5***** rating even though I was left totally confused by the Epilogue. I thought the story, which was brilliantly conceived and told, was over. I guess I have to re-read the Epilogue, unless another reader can enlighten me.OK. I re-read the Epilogue and figured out who was writing in his diary. The name of that person, and his wife's name, were never mentioned in the entire book until the Epilogue (I did a search). Now I'm going to change my rating. I don't like to be fooled when I read. I don't like to be tricked. I surely avoid writing like that in my own novels. If I didn't have the search function I would never have figured it out ... 3***...more",Notes are private!,3,20,1,"Sep 23, 2023","Sep 24, 2023","Sep 23, 2023",,Hardcover,view (with text),/book/show/62325806-the-lock-up
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Why The Vietnam War?: Nuclear Bombs and Nation Building in Southeast Asia, 1945-1961","Swanson, Michael*",173413934X,9781734139341,B08FHBS17K,447        pp,4.17,63,unknown,"Jan 25, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Kindle Edition,view,/book/show/56823175-why-the-vietnam-war
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Forged In Fire,"Ferrier, David",1737823810,9781737823810,B0C8Y7Y8XV,244        pp,4.65,81,unknown,"Jun 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I can't decide if this is historical fiction or memoir ... never mind ... whichever, it is beautifully conceived and written ... significant pieces ofI can't decide if this is historical fiction or memoir ... never mind ... whichever, it is beautifully conceived and written ... significant pieces of the Vietnam experience, from the pov of a helicopter rescue team, are movingly presented, along with the personal lives of those living with the constant prospect of death ... there are some abrupt transitions, but all of these are handled smoothly ... overall, a great read on the question of historical fiction or memoir, it reads to me like a memoir, but the events took place in 1967-68 and the book was not written (or at least not published) until 2023. If anyone knows which it truly is, please let me know....more",Notes are private!,0,3,1,"Sep 13, 2023","Sep 16, 2023","Sep 13, 2023",,Kindle Edition,view (with text),/book/show/179944371-forged-in-fire
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Welcome to Vietnam        (Echo Company #1),"Emerson, Zack",,,B00HBHRSVE,127        pp,4.28,222,Jun 1991,"Dec 15, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Kindle Edition,view,/book/show/20515769-welcome-to-vietnam
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Requiem For A Soldier: A Vietnam Story,"Kligman, Harris L*",,,B0B987NQNB,148        pp,4.48,21,unknown,"Sep 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Kindle Edition,view,/book/show/63120900-requiem-for-a-soldier
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Abandoned: A Novel of the Vietnam War,"Edwards, Douglas L.",,,B0BTFFMCP3,374        pp,4.52,560,unknown,"Jan 29, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Sep 13, 2023",,Kindle Edition,view,/book/show/96177581-abandoned
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The First Man in Rome        (Masters of Rome, #1)","McCullough, Colleen",0380710811,9780380710812,0380710811,"1,076        pp",4.13,"22,910","Sep 28, 1990","Aug 01, 1991",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Sep 09, 2023",,Mass Market Paperback,view,/book/show/480570.The_First_Man_in_Rome
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Career of Evil        (Cormoran Strike, #3)","Galbraith, Robert",,,B0106E2CO6,609        pp,4.22,"208,771","Oct 20, 2015",Jun 2018,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,The first Strike book was terrific ... this one is awful ... too many characters ... too confusing ... too much disgusting behavior ... I finally deciThe first Strike book was terrific ... this one is awful ... too many characters ... too confusing ... too much disgusting behavior ... I finally decided I didn't care what happened next and I stopped reading...more,Notes are private!,0,14,1,"Sep 03, 2023","Sep 09, 2023","Sep 03, 2023",,Kindle Edition,view (with text),/book/show/40611999-career-of-evil
