,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Alan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Endless Summer,"Nielsen, Madame",1940953693,9781940953694,1940953693,148        pp,3.50,282,"Aug 01, 2014","Feb 13, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 03, 2024",,Paperback,view,/book/show/34381372-the-endless-summer
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Leaving,"Robinson, Roxana",1324065389,9781324065388,1324065389,344        pp,4.04,"1,699","Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/150778780-leaving
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Neighbors and Other Stories,"Oliver, Diane",,,,272        pp,4.11,627,"Feb 13, 2024","Feb 13, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/128713517-neighbors-and-other-stories
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Barcelona,"Costello, Mary",1805301861,9781805301868,B0CGF7Q6PL,193        pp,3.70,54,unknown,"Mar 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/197698657-barcelona
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Literary Journalists,"Sims, Norman",0345310810,9780345310811,0345310810,339        pp,4.10,39,"Sep 12, 1984","Sep 12, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Feb 23, 2024",not set,"Feb 23, 2024",,Paperback,view,/book/show/1571744.Literary_Journalists
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nightwatching,"Sierra, Tracy*",0593654765,9780593654767,0593654765,368        pp,3.97,"6,266","Feb 01, 2024","Feb 06, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Hardcover,view,/book/show/150246179-nightwatching
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After a Dance: Selected Stories,"O'Connor, Bridget",103502487X,9781035024872,B0CDWZVRXW,122        pp,3.39,49,unknown,"Feb 15, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2024",,Kindle Edition,view,/book/show/195844789-after-a-dance
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lesser Bohemians,"McBride, Eimear",1101903481,9781101903483,1101903481,320        pp,3.83,"4,617","Sep 01, 2016","Sep 20, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 15, 2024",,Hardcover,view,/book/show/28363987-the-lesser-bohemians
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Limit,"Belben, Rosalind",1681377535,9781681377537,B0BP66XN31,113        pp,3.66,29,1974,"Sep 12, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 13, 2024",,Kindle Edition,view,/book/show/123650176-the-limit
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Story of the Paper Crown,"Czechowicz, Józef",1955190615,9781955190619,1955190615,88        pp,3.00,3,unknown,"Jun 20, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Perfect Paperback,view,/book/show/180161432-the-story-of-the-paper-crown
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Modern Times,"Sweeney, Cathy",1906539839,9781906539832,1906539839,152        pp,3.21,549,"Jun 23, 2020",Mar 2020,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 10, 2024",,Hardcover,view,/book/show/52067244-modern-times
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Passenger        (The Passenger #1),"McCarthy, Cormac",0593535227,,B09T9D8QY7,385        pp,3.59,"28,972","Oct 25, 2022","Oct 25, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I would read 60-70 pages of this transported like a dream, the transparent prose so good and then i would be glitched out of it by a deep conversationI would read 60-70 pages of this transported like a dream, the transparent prose so good and then i would be glitched out of it by a deep conversation on quantum physics or the rifle bores possibly used in the Kennedy assassination of 1963. Well beyond my ken. Took a while too, to get used to the schizophrenic sister's hallucinations (including the Thalidomide Kid and various circus performers crowded around her bed). But overall, a great read, again. Merged :I would read 60-70 pages of this transported like a dream, the transparent prose so good and then i would be glitched out of it by a deep conversation on quantum physics or the rifle bores possibly used in the Kennedy assassination of 1963. Well beyond my ken. Took a while too, to get used to the schizophrenic sister's hallucinations (including the Thalidomide Kid and various circus performers crowded around her bed). But overall, a great read, again. Merged :I would read 60-70 pages of this transported like a dream, the transparent prose so good and then i would be glitched out of it by a deep conversation on quantum physics or the rifle bores possibly used in the Kennedy assassination of 1963. Well beyond my ken. Took a while too, to get used to the schizophrenic sister's hallucinations (including the Thalidomide Kid and various circus performers crowded around her bed). But overall, a great read, again....more",Notes are private!,0,3,2,"Nov 05, 2022not set","Nov 16, 2022not set","Feb 09, 2024",,Kindle Edition,view (with text),/book/show/60581087-the-passenger
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Is the Place to Be,"Pawson, Lara",1909585211,9781909585218,1909585211,136        pp,4.04,132,unknown,"Sep 05, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Powerful, fearless account of the author's years as a BBC foreign correspondent in Angola and elsewhere mixed with paragraphs on her childhood, her rePowerful, fearless account of the author's years as a BBC foreign correspondent in Angola and elsewhere mixed with paragraphs on her childhood, her relationship with her body and her peers and politics. The narrative is not straightforwardly chronological - instead it drifts from one topic to another but this seems to strengthen it (to me), like someone talking in a pub, albeit extremely articulately. She is often mistaken for a man (and Jamie Lee Curtis) and this leads her to discuss sexuality, gender roles etc. Her fearlessness is not only illustrated by her war experiences but also when she gets back to London and confronts burglars attempting to rob her neighbour. All in all an astonishing read, economically written (p130)....more",Notes are private!,3,7,1,"Mar 11, 2024","Mar 13, 2024","Feb 07, 2024",,Paperback,view (with text),/book/show/32324619-this-is-the-place-to-be
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Crazy Hunter,"Boyle, Kay",0811212335,9780811212335,0811212335,144        pp,3.88,121,1938,"Sep 17, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 04, 2024",,Paperback,view,/book/show/842396.The_Crazy_Hunter
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Molly,"Butler, Blake",1648230377,9781648230370,1648230377,320        pp,3.89,866,"Dec 05, 2023","Dec 05, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 01, 2024",,Paperback,view,/book/show/101137620-molly
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Braindead Megaphone,"Saunders, George",159448256X,9781594482564,159448256X,257        pp,3.98,"5,345",2007,"Sep 04, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mixed reaction: Saunders is brilliant at writing about writing and writers, as proved by the swim in the rain book, here giving some love to Vonnegut Mixed reaction: Saunders is brilliant at writing about writing and writers, as proved by the swim in the rain book, here giving some love to Vonnegut and Twain. His travel articles are fun too, but his humorous pieces (one here on visiting Britain) do nothing for me....more",Notes are private!,0,3,1,"Jan 28, 2024","Feb 07, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/381960.The_Braindead_Megaphone
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Spent Light,"Pawson, Lara",1739421221,9781739421229,1739421221,146        pp,4.11,19,unknown,"Jan 01, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Paperback,view,/book/show/204549341-spent-light
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Singulariteten,"Karam, Balsam",,,,234        pp,3.84,399,"Mar 04, 2021","Mar 04, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The English language Fitzcarraldo one, which doesn’t appear to be on GR.Went to see her read from this last night at Voce Books, Birmingham (UK). FascThe English language Fitzcarraldo one, which doesn’t appear to be on GR.Went to see her read from this last night at Voce Books, Birmingham (UK). Fascinating discussion which included refugees, black holes and libraries. Can’t wait to read my signed copy....more",Notes are private!,0,3,0,not set,not set,"Jan 26, 2024",,Hardcover,view (with text),/book/show/57106173-singulariteten
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Times World Cup Moments,"Whitehead, Richard",000854784X,9780008547844,000854784X,224        pp,4.67,6,unknown,"Jan 27, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,"Jan 24, 2024","Jan 24, 2024",,Hardcover,view,/book/show/61424810-the-times-world-cup-moments
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,At the Bottom of the River,"Kincaid, Jamaica",0374527342,9780374527341,0374527342,82        pp,3.76,"2,029",1983,"Oct 15, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful, stunning.",Notes are private!,1,4,1,not set,"Jan 24, 2024","Jan 24, 2024",,Paperback,view (with text),/book/show/69722.At_the_Bottom_of_the_River
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pedro Páramo,"Rulfo, Juan",0802133908,9780802133908,0802133908,124        pp,4.05,"70,470","Mar 19, 1955","Mar 10, 1994",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2024",,Paperback,view,/book/show/38787.Pedro_P_ramo
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Seeing Red by Lina Meruane,"Meruane, Lina",,,B01HC1HGFG,0        pp,3.87,"2,295","Jan 01, 2012","Mar 03, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Chilean woman living in New York goes near blind when both eyes start internal haemorrhaging. Acutely observed (!) interactions, sometimes minute byA Chilean woman living in New York goes near blind when both eyes start internal haemorrhaging. Acutely observed (!) interactions, sometimes minute by minute, between her and her lover, mother, doctor and doctor's assistant in various combinations (sometimes all at once). The prose has many beautiful touches (the nurse who strangled her wrist looking for a pulse). I'm a bit squeamish when it comes to eyes so the medical procedures and surgery - and aftermath - described made me squirm (brought to mind Dali's Chien d'Andalou). Exquisite detail. Not a good advert for Santiago (she returns there to family for a while) - everyone's freezing....more",Notes are private!,2,2,1,"Dec 31, 2023","Jan 05, 2024","Dec 31, 2023",,Paperback,view (with text),/book/show/143524349-seeing-red-by-lina-meruane
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whale Fall,"O'Connor, Elizabeth",0593700910,9780593700914,0593700910,224        pp,4.12,204,"May 07, 2024","May 07, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Can’t wait to read this, by an associate member of the writers group I’m in.",Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Hardcover,view (with text),/book/show/195888522-whale-fall
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,111 Places in Birmingham That You Shouldn't Miss: Travel Guide        (111 Places/Shops),"Waddington, Ben",3740813504,9783740813505,,unknown,4.20,5,unknown,"Apr 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Christmas present. Excellent guide. Even though I've lived in Birmingham for more than forty years there was still a lot new to me. For example 'The EChristmas present. Excellent guide. Even though I've lived in Birmingham for more than forty years there was still a lot new to me. For example 'The Emergence of Women' tapestry in the ICC (International Convention Centre) which I've missed even though I must have walked through it a hundred times; and I didn't know (or perhaps had forgotten) the re-design of Victoria Square in the 90s was based around the theme of fecundity: even the benches - 'cut into the backs are distinctive silhouettes of spermatozoa, fertilising an egg at the centre of the bench'. A real eye-opener!...more",Notes are private!,6,4,1,"Dec 28, 2023","Jan 05, 2024","Dec 28, 2023",,Paperback,view (with text),/book/show/83805469-111-places-in-birmingham-that-you-shouldn-t-miss
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Lady of the Highway,"Hartley, Hal*",1737927438,9781737927433,1737927438,316        pp,3.89,27,"Jun 14, 2022","Jun 14, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 28, 2023",,Paperback,view,/book/show/61081028-our-lady-of-the-highway
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Innards: Stories,"Makhene, Magogodi oaMphela",1324051000,9781324051008,1324051000,224        pp,3.69,91,"Jun 06, 2023","Jun 06, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Took me a while to read these brilliant stories of South Africa (in particular Soweto) during apartheid and after (and before - the Boer War features)Took me a while to read these brilliant stories of South Africa (in particular Soweto) during apartheid and after (and before - the Boer War features), mainly because there are no concessions made to the 'general' reader: quite rightly. I had to read every story, every paragraph twice (and more), opening up my laptop to track down events and dialect and unusual words - haruspex anyone? Tachyons? Gatvol? Sjambok? It was worth it as the stories sliced into the communities depicted with skill and compassion. Along with horrific torture, rape and discrimination there was much comedy and fun to be had - eg an escaped bull, the pompousness of officials. Some soaring, beautiful writing. Fantastic stuff if you’re prepared for a sometimes difficult ride…...more",Notes are private!,0,3,1,"Jan 15, 2024","Jan 29, 2024","Dec 23, 2023",,Hardcover,view (with text),/book/show/62586008-innards
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Concertina,"Fitzgerald, M.J.",0394558014,9780394558011,0394558014,132        pp,3.70,10,"Feb 12, 1987","Feb 12, 1987",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 22, 2023",,Hardcover,view,/book/show/5072982-concertina
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Don't Look at Me Like That,"Athill, Diana",1681376113,9781681376110,1681376113,192        pp,3.90,557,1967,"Nov 15, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 21, 2023",,Paperback,view,/book/show/57998109-don-t-look-at-me-like-that
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,So Late in the Day,"Keegan, Claire",0571382010,9780571382019,0571382010,47        pp,4.01,"10,986","Aug 31, 2023","Aug 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excellent story, of course, but I felt it should be one of many in a collection. Read it in about half an hour. A clinical examination of casual (unacExcellent story, of course, but I felt it should be one of many in a collection. Read it in about half an hour. A clinical examination of casual (unacknowledged) misogyny, from a man who doesn’t recognise who is, what he is like. Beautifully done....more",Notes are private!,0,4,1,"Dec 18, 2023","Dec 19, 2023","Dec 18, 2023",,Hardcover,view (with text),/book/show/73936042-so-late-in-the-day
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Western Lane,"Maroo, Chetna",0374607494,9780374607494,0374607494,160        pp,3.53,"5,943","Feb 07, 2023","Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 16, 2023",,Hardcover,view,/book/show/60784812-western-lane
