,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Paul 's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Invention of Nature: Alexander von Humboldt's New World,"Wulf, Andrea",038535066X,9780385350662,038535066X,473        pp,4.31,"25,274",Sep 2015,"Jan 01, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 29, 2024",not set,"Mar 29, 2024",,Hardcover,view,/book/show/23995249-the-invention-of-nature
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Watching the English: The Hidden Rules of English Behaviour,"Fox, Kate",0340752122,9780340752128,0340752122,424        pp,3.91,"10,564",2004,"Apr 11, 2005",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 28, 2024","Apr 04, 2024","Mar 28, 2024",,Paperback,view,/book/show/288448.Watching_the_English
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daughters of Night,"Shepherd-Robinson, Laura*",1509880828,9781509880829,1509880828,580        pp,4.18,"4,263","Jan 28, 2021","Jan 28, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Mar 23, 2024","Mar 28, 2024","Mar 23, 2024",,Hardcover,view,/book/show/49205544-daughters-of-night
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Xenos        (Eisenhorn, #1)","Abnett, Dan*",0743411692,9780743411691,0743411692,288        pp,4.15,"9,569",May 2001,"Mar 01, 2004",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 17, 2024","Mar 29, 2024","Mar 17, 2024",,Paperback,view,/book/show/1009259.Xenos
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lord Jim,"Conrad, Joseph",1551111721,9781551111728,1551111721,455        pp,3.62,"31,088",1900,"Nov 07, 2000",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Mar 17, 2024","Mar 22, 2024","Mar 17, 2024",,Paperback,view,/book/show/12194.Lord_Jim
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bridge,"Beukes, Lauren*",,,B09Z668HLJ,424        pp,3.69,"1,640","Aug 08, 2023","Aug 17, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/61067546-bridge
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Widow Ching-Pirate,"Borges, Jorge Luis",,,B004MYFQAE,80        pp,3.59,315,"Feb 15, 2011",unknown,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/11062793-the-widow-ching-pirate
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Rabbit Factor,"Tuomainen, Antti*",1913193861,,B08WS4BH3P,327        pp,3.79,"4,018","Aug 19, 2020","Oct 28, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/58939130-the-rabbit-factor
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Dreams,"Winslow, Don*",0008507848,9780008507848,B0BFP6WVRV,346        pp,4.06,"10,001","Apr 18, 2023","Apr 18, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/74595741-city-of-dreams
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Spook Street        (Slough House, #4)","Herron, Mick",1473621283,9781473621282,B01KXPVEJW,321        pp,4.41,"18,704","Feb 09, 2017","Feb 09, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/32051234-spook-street
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Something Deeply Hidden: Quantum Worlds and the Emergence of Spacetime,"Carroll, Sean*",,,B07ZWMBC8H,370        pp,4.07,"5,138","Sep 10, 2019","Sep 12, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 12, 2024",,Kindle Edition,view,/book/show/48663279-something-deeply-hidden
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rose/House,"Martine, Arkady*",,9781645240341,,128        pp,3.78,"1,646","Apr 18, 2023",May 2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Mar 08, 2024","Mar 08, 2024","Mar 08, 2024",,Hardcover,view,/book/show/52263339-rose-house
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Practical Guide to Conquering the World        (The Siege, #3)","Parker, K.J.",0316498610,9780316498616,0316498610,350        pp,4.16,"2,099","Jan 11, 2022","Jan 11, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 03, 2024","Mar 06, 2024","Mar 03, 2024",,Trade Paperback,view,/book/show/48897284-a-practical-guide-to-conquering-the-world
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Network Effect        (The Murderbot Diaries, #5)","Wells, Martha*",1250229863,9781250229861,1250229863,350        pp,4.48,"83,327","May 05, 2020","May 05, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 27, 2024","Mar 03, 2024","Feb 27, 2024",,Hardcover,view,/book/show/52381770-network-effect
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Darkening Age: The Christian Destruction of the Classical World,"Nixey, Catherine",1509816089,9781509816088,B06XCHMZTK,363        pp,4.06,"5,354",Sep 2017,"Sep 21, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/35450727-the-darkening-age
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atalanta,"Saint, Jennifer*",1472292189,9781472292186,B0B14L5V4R,365        pp,3.80,"16,115","Apr 11, 2023","Apr 13, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/61152901-atalanta
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Sistersong: A dazzling folklore retelling full of magic, love and betrayal","Holland, Lucy*",1529039061,,B08LDNZLC8,363        pp,3.98,"8,953","Apr 01, 2021","Apr 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/57313304-sistersong
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Titus Awakes: The Lost Book of Gormenghast        (Gormenghast, #4)","Gilmore, Maeve",,,B0051UPLG2,290        pp,3.22,497,2011,"Jun 13, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/11956027-titus-awakes
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Real Tigers        (Slough House, #3)","Herron, Mick",1473621232,9781473621237,B00X61MZIU,369        pp,4.28,"21,532","Jan 19, 2016","Feb 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/27810591-real-tigers
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Starry Messenger: Cosmic Perspectives on Civilisation,"Tyson, Neil deGrasse *",,,B09T686HDQ,287        pp,4.12,"11,051","Sep 20, 2022","Sep 29, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Kindle Edition,view,/book/show/61758225-starry-messenger
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Underground London,"Smith, Stephen",0349115656,9780349115658,0349115656,393        pp,3.59,725,2004,"Feb 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/1225882.Underground_London
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light Perpetual,"Spufford, Francis*",,,,327        pp,3.68,"5,360","Feb 04, 2021","Feb 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Paperback,view,/book/show/60312544-light-perpetual
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Winter's Gifts        (Rivers of London #9.5),"Aaronovitch, Ben*",1473224373,9781473224377,1473224373,211        pp,4.00,"4,706","Jun 08, 2023","Jun 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/113997558-winter-s-gifts
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"What Abigail Did That Summer        (Rivers of London, #5.3)","Aaronovitch, Ben*",,,,232        pp,4.25,"9,582","Mar 18, 2021","Mar 18, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 25, 2024",,Hardcover,view,/book/show/55855546-what-abigail-did-that-summer
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Parable of the Talents        (Earthseed, #2)","Butler, Octavia E.",0446610380,9780446610384,0446610380,448        pp,4.31,"59,272",1998,"Nov 01, 2001",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Content warning: discussion of sexual violence.It took my some time to get around to this second part of the Earthseed duology. As good as Parable of Content warning: discussion of sexual violence.It took my some time to get around to this second part of the Earthseed duology. As good as Parable of the Sower was, it was bleak as hell - I'm talking The Road levels of bleak - and I hadn't been feeling emotionally strong enough for that.Fortunately, Talents isn't nearly as bad, although there is a great deal of bleakness and violence therein, which I'll come to. I also think it's more realistic look at societal breakdown than its predecessor: I don't think representations such as the Road, or Lord of the Flies, are actually accurate representations of how people behave when society breaks down. While there are some that will take advantage humans tend to group together and seek and provide mutual help. This isn't my rose-tinted view of humanity, it can be seen wherever there are disasters, and in fact when a bunch of schoolkids were stranded in a very Lord of the Flies scenario, they survived incredibly well until rescued.What does happen - both in the real world and in Parable of the Talents - is that most violence is caused either deliberately by those in power seeking to divide and rule, or as a side-effect of the usual societal safeguards being corrupted: think Putin's Russia, or the Colombian drug wars.While in Parable of the Sower, we saw the USA collapsing and fragmenting under the combined pressures of pandemic, economic and environmental collapse, and degenerating into wealthy walled communities surrounded by chaos and violence, in this sequel this disorder is taken advantage of by the Christian America party, who sweep to power with handsome, charismatic president Jarrett (by the way, ever noticed that dictators and autocrats in fiction are always handsome and charismatic, but in the real world they look like Mussolini or Trump?) and immediately start to enforce an extreme Christian Nationalist agenda.Oh. Their slogan is ""Make America Great Again"", and this was published in 1998.I read this in ebook and I don't think I've ever highlighted so many passages in a book, so many jumped out to me as relevant to the current political state of the US.Butler was a superb writer, and can be quite shocking. She writes incredibly powerfully and vividly, and never more so with the matter-of-fact way she writes about the violence done to people, especially sexual violence, both to men and boys but especially, of course, to girls and women. She doesn't go into detail, not needing to, merely stating things like ""I was raped for the first time that week. Twice.""Unlike Sower, however, here there is hope. It continues Lauren's story but each chapter of her journal is prefaced by some notes from her grown daughter - so we don't need to wait for a The Handmaid’s Tale-style coda to let us know that the wheel turned and all was well - and this hope is realised.As I suggested, this is a book about the abuse of power - specifically, like Atwood's novel, a warning about religious extremism - but also about hope and the idea of a secular humanist ""religion"" focusing on unifying our species on greater things.I'm not sure about that latter. I don't think my rose-tinted spectacles are enough to see it working....more",Notes are private!,0,1,1,"Feb 24, 2024","Mar 17, 2024","Feb 24, 2024",,Mass Market Paperback,view (with text),/book/show/60932.Parable_of_the_Talents
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Red Side Story        (Shades of Grey, #2)","Fforde, Jasper*",1641296283,9781641296281,1641296283,480        pp,4.57,"1,253","Feb 06, 2024","May 07, 2024",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 21, 2024","Feb 27, 2024","Feb 21, 2024",,Hardcover,view,/book/show/199353348-red-side-story
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Incredible Unlikeliness of Being: Evolution and the Making of Us,"Roberts, Alice",,,B00JIV9R3I,400        pp,4.14,982,Sep 2014,"Sep 04, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Feb 17, 2024","Feb 21, 2024","Feb 17, 2024",,Kindle Edition,view,/book/show/22843384-the-incredible-unlikeliness-of-being
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maidens,"Michaelides, Alex*",,,B08R18D45M,368        pp,3.63,"332,106","Jun 03, 2021","Jun 10, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/56658155-the-maidens
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Knife        (Harry Hole, #12)","Nesbø, Jo*",,,B07FNTYDBM,621        pp,4.27,"30,853","Jun 06, 2019","Jul 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/40886626-knife
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Broken Light,"Harris, Joanne*",,,,423        pp,3.90,"2,446","May 11, 2023","May 11, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/61414912-broken-light
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Hundred Billion Ghosts,"Sinclair, DM*",1775203441,9781775203445,B076FD7HMP,319        pp,3.91,675,unknown,"Oct 27, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/36531232-a-hundred-billion-ghosts
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Clytemnestra,"Casati, Costanza*",,,B09Z1T9L92,452        pp,4.26,"21,804","May 02, 2023","Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/61266464-clytemnestra
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Girl and the Stars        (Book of the Ice, #1)","Lawrence, Mark*",0008284776,,B07Q819ZCG,480        pp,3.81,"11,101","Apr 21, 2020","Apr 30, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/44782749-the-girl-and-the-stars
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thing Explainer: Complicated Stuff in Simple Words,"Munroe, Randall*",,,B00XJYVF44,74        pp,4.15,"11,386","Nov 24, 2015","Nov 24, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/27830243-thing-explainer
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nuts and Bolts: How Tiny Inventions Make Our World Work,"Agrawal, Roma",1529340098,9781529340099,B0BL6X4FBV,284        pp,3.61,496,"Nov 07, 2023","Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/122353153-nuts-and-bolts
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Possible Life,"Faulks, Sebastian",,,B00FPNT0A8,306        pp,3.49,"5,233","Sep 11, 2012","Oct 04, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 07, 2024",,Kindle Edition,view,/book/show/18867013-a-possible-life
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Shades of Grey        (Shades of Grey, #1)","Fforde, Jasper*",0670019631,9780670019632,0670019631,400        pp,4.15,"37,286","Dec 29, 2009","Dec 29, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I remembered that this turned dark toward the end, but had forgotten the details - and quite how dark.Looking forward to Red Side Story.",Notes are private!,0,4,1,"Feb 06, 2024","Feb 14, 2024","Feb 06, 2024",,Hardcover,view (with text),/book/show/2113260.Shades_of_Grey
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Those Beyond the Wall        (The Space Between Worlds, #2)","Johnson, Micaiah",0593497503,9780593497500,,373        pp,4.20,347,"Mar 12, 2024","Mar 12, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Hardcover,view,/book/show/177186086-those-beyond-the-wall
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Mars House,"Pulley, Natasha",1639732330,9781639732333,1639732330,480        pp,4.05,496,"Mar 19, 2024","Mar 19, 2024",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 27, 2024",,Hardcover,view,/book/show/150277127-the-mars-house
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ancestral Night        (White Space, #1)","Bear, Elizabeth*",1473208742,9781473208742,1473208742,512        pp,3.79,"5,584","Mar 05, 2019",Mar 2019,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 17, 2024","Feb 24, 2024","Jan 17, 2024",,Paperback,view,/book/show/26159745-ancestral-night
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bedlam Stacks,"Pulley, Natasha",1620409674,9781620409671,1620409674,352        pp,4.01,"10,962","Jul 13, 2017","Aug 01, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Another joyous alternative history from Natasha Pulley, and my first five-star read of the year. I was confused as to why this was listed as ""The WatcAnother joyous alternative history from Natasha Pulley, and my first five-star read of the year. I was confused as to why this was listed as ""The Watchmaker of Filigree Street 1.5"" until a certain Keita Mori turns up about halfway through.Pulley does absolutely what she does best, writing place an character and the nuances of communication between characters.Here, the author seems to be setting up something for the Royal Navy that doesn't emerge in the subsequent book, so I do hope she returns to the series....more",Notes are private!,0,3,1,"Jan 17, 2024","Jan 22, 2024","Jan 17, 2024",,Hardcover,view (with text),/book/show/31450615-the-bedlam-stacks
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Prelude to Foundation        (The Foundation Series: Prequels, Book 1)","Asimov, Isaac",0007384823,9780007384822,B07GKXL7DV,464        pp,4.16,"87,825",May 1988,"Sep 16, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/59015234-prelude-to-foundation
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Song of Shadows        (Charlie Parker, #13)","Connolly, John*",1444751506,,B00OLP7UV2,449        pp,4.33,"6,941","Apr 09, 2015","Apr 09, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/24565629-a-song-of-shadows
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Witch and the Tsar,"Gilmore, Olesya Salnikova*",0008555605,9780008555603,B09V4SGDV5,424        pp,3.56,"3,962","Sep 20, 2022","Dec 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 15, 2024",,Kindle Edition,view,/book/show/62586821-the-witch-and-the-tsar
