,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Sam's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Our Missing Hearts,"Ng, Celeste*",0593492544,9780593492543,0593492544,335        pp,3.81,"174,202","Oct 04, 2022","Oct 04, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2022",,Hardcover,view,/book/show/60149573-our-missing-hearts
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,True Biz,"Nović, Sara*",0593241509,9780593241509,0593241509,386        pp,4.09,"64,542","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 20, 2022",,Hardcover,view,/book/show/58395049-true-biz
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,742","Aug 30, 2022","Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"“You are not yet who you will one day be.” “You were not born that person. You were born to become that person.”While I wouldn't go so far as to call “You are not yet who you will one day be.” “You were not born that person. You were born to become that person.”While I wouldn't go so far as to call Carrie Soto Is Back an instant classic, it was fun, well-paced, and filled with smart observations, drama, heartbreak, and triumph, and a more layered set of characters with myriad themes and emotions that play out over the course of the novel. This is not - to borrow a tennis comparison - an early Serena-Venus match or a whodunit Federer-Djokovic-Nadal affair: Taylor Jenkins Reid's plot of the ex champion running it back one more time is really easily telegraphed and I knew exactly where the fault lines, twists, and even final outcome were fairly early on. But despite those slightly weaker points, it was pure JOY to read, zipping along with her breezy yet incisive writing and then staggering slightly when pops of raw truth or emotion would pop out. A fulsome four stars: a really solid, crowd-pleasing end of summer read that's more than meets the eye.“I’m telling you, hija, the greatest match of your career is ahead of you.” It is such a kind thing for him to say - exactly the sort of thing a father like him would tell a daughter like me. Full of heart and love and belief, and maybe a little bit untrue.What is so compelling is that on the one hand, the plot is really simple. Carrie Soto had a brilliant run in her teens and twenties as a dominant, fierce Grand Slam champion, retired from injury, and then is pushed to defend her record against the next generation of shiny bright tennis stars. But Carrie Soto Is Back turns out to be so much more than that, and Jenkins Reid does a great job of lulling the reader off balance to bring some introspection into what it means to win, to lose, to be great, to fail, how we wrap ourselves in the stories we tell about ourselves, what we believe and what we're desperately afraid to face. Carrie is on the comeback in tennis, but she's also starting to put together what it means to be a human being outside of tennis, and her relationship with her father is a study in pride and ambition, faith, and coping (or not coping) with grief loss (Carrie's mother passed away young and tennis is what both Carrie and Javier use to move forward / escape / channel their emotions). “Well, guess what, Carrie? People who are actually playing the game lose. We all lose. We lose all the time. That is life. So we are not the same, Soto. I have courage. You’re just good at tennis.”Then there's the intertwining of athletics and combat, joy, life. It's a well-worn cliche from any pro sports broadcast about how the game is a metaphor for life and athletes are ""warriors"", ""heroes"", and wins and losses are framed in moral terms, victories and losses that mean something to fans and players (and the bottom line). Jenkins Reid really craftily handles all of these threads well and in some interesting ways: Carrie is called ""Achilles"" by her father and her dedication to domination above all else is so pronounced in the early chapters, I thought we were destined for a heel injury in Paris (ha ha), but instead Jenkins Reid asks some interesting questions about how a sports loving audience doesn't give their athletic heroes the same range of emotion and human fragility as Homer gave his Trojan and Greek heroes. How especially female athletes have a limited box and set of identities they can assume, and to deviate from those and even more importantly to deviate from what is expected is side-eyed. And Carrie has only ever wanted to be the GOAT, so it's deeply personal and difficult to break that down and rebuild.This is the tiniest beginning of a terrible, beautiful whole new life.We get to know the titular Carrie somewhat slowly: she narrates her past successes and present set mission to reclaim her Grand Slam throne and fend off the younger challengers looking to replace her all-time record. She's remote, singularly driven, prickly and thin skinned at first, but that's by design: we get to know Carrie as Carrie gets to know Carrie. She's never been able or known she could be anything more than what was necessary to dominate her sport. And Jenkins Reid populates Carrie's world with some solid side characters - I wanted more Gwen! more Nicki Chan! - to give Carrie opportunities to find new and previously unknown ways she is and can be. And by the time we're cresting through Carrie's Grand Slam season and I see the plot ""twists"" coming from pages and pages away, it doesn't matter because Jenkins Reid has given us readers the thing we want to root for the most, the vulnerable, fully human hero. And again, even knowing how the stage was going to be set, I was feeling all the same excitement and adrenaline at the end with tears of joy and pathos for Carrie.This the first of Jenkins Reid's books I've read, and it will definitely not be the last. Carrie Soto Is Back, and Jenkins Reid is an author that's here to stay in my book. Highly recommend!...more",Notes are private!,0,18,1,"Aug 27, 2022","Aug 29, 2022","Aug 18, 2022",,Hardcover,view (with text),/book/show/60435878-carrie-soto-is-back
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Lightlark        (Lightlark, #1)","Aster, Alex*",1419760866,9781419760860,1419760866,416        pp,3.80,"90,692","Aug 23, 2022","Aug 23, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Full disclosure: I do not BookTok or TikTok, or really have much in the way of social media. I came to Alex Aster’s YA debut Lightlark via an inteFull disclosure: I do not BookTok or TikTok, or really have much in the way of social media. I came to Alex Aster’s YA debut Lightlark via an interesting profile in The Guardian. I haven’t been reading as much this year but wanted to see one of the fruits of TikTok's shaping of reading trends, so grabbed the ARC on edelweiss to evaluate the book without any prior exposure to it from BookTok.A quick search after reading revealed some very VERY strong opinions about the author, her deal, and the book itself. I can see how those who follow Aster would be disappointed if specific claims about the story or plot didn’t come to fruition; my  I suppose is more relevant for those who didn’t follow this book’s creation over social media and are browsing the new release tables at a local bookstore. So would I recommend buying Lightlark?Eh, no.I’m landing on a two star rating of “it was ok”, because I typically reserve one-star ratings for things I hate or truly do not understand. Lightlark is not worthy of hate: it is forgettable and devoid of real weight, while also not being that much fun to read. The premise (different kingdoms/factions/peoples come together for quests/trials with death and power as the high stakes) is essentially a pastiche of other YA works but is overly convoluted and nonsensical. This is not helped by worldbuilding that is piecemeal: the author does a lot of info dumping in the exposition but there are holes in the worldbuilding tied to the premise that are not always unfilled for dramatic license and for the sake of the plot. Pace is also a bit uneven: the exposition takes up the vast majoritiy of the book, the climax and ending are very small, packed with “twists”, and comes so fast and at once that it’s jarring. And there are plenty of fantasy novels that also do long expositions and worldbuilding and development for most of book, but it’s usually punctuated with compelling character development and interesting scenes to provide the platform to jump into the climax. In Lightlark that sense of propulsion is missing, the trials themselves are not thrilling or present real moments of challenge for the heroine.Characterization here is pretty tough: Isla the heroine is written as beautiful, powerless but also powerful, and sheltered… and that’s it, very bland. The love interests are similarly fairly one note and cliche: Grim is old, shadowed, dark haired, tortured, sexually charged Nightshade; Oro is removed, stoic with a secret heart of gold, radiant sunshine Sunling. And using “love” interest feels false: there’s maybe a slow build up of mutual respect and some attraction between Isla and Oro, but Isla and Grim share nothing more than a ""will they, won’t they"" sexual attraction. (view spoiler)[The author’s decision to show both rulers as in love with Isla at the end AND to try and deepen the relationship with Grim by saying they’d been in love for a year but he’d been erasing her memories was predictable while not unearned as the author didn't fully show this love on the page, and in the case of the Grim reveal, it was also an annoying shortcut that felt like something out of Vampire Diaries or some other poorly written CW show. (hide spoiler)] And maybe this really comes down to the writing. Lightlark’s writing is pretty sophomoric and can be oddly disjointed. The problems with pacing and with characterization could have been masked a bit with better writing, instead the writing fails to launch the characters and bring them to life, and bogs the reader down through the trials and ruler team up parts and adds to the slow pacing. On a more nitpicky point, there are certain author quirks present early in the story (especially use of “thing” to describe landscapes, nature and singing) that disappear later, and then other repetitive crutches (why is everyone doing everything “meanly”???) that pop up later. I love fantasy, adult or YA, and there are plenty of examples of debuts and new series that borrow from the books that came before but add to the genre or are just such a good time to read. Lightlark was an easy, empty, and mostly unenjoyable reading experience. As a non-BookTok or TikTok person, I can't comment on how the book is an indictment of publishing to algorithmic tastes. And it wasn't horrible or problematic. But to me, the best fantasies are those you feel immersed in and transported by, and this book was incapable of accomplishing that....more",Notes are private!,0,4,1,"Aug 17, 2022","Aug 17, 2022","Aug 18, 2022",,Hardcover,view (with text),/book/show/60310757-lightlark
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Master of Go,"Kawabata, Yasunari",0679761063,9780679761068,0679761063,189        pp,3.82,"5,004",1951,"May 28, 1996",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2021",,Paperback,view,/book/show/13752.The_Master_of_Go
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Memphis,"Stringfellow, Tara M.*",0593230485,9780593230480,0593230485,272        pp,4.11,"32,679","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2021",,Hardcover,view,/book/show/52268640-memphis
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Rip Through Time        (A Rip Through Time, #1)","Armstrong, Kelley*",1250820006,9781250820006,1250820006,342        pp,4.03,"10,944","May 31, 2022","May 31, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 22, 2021",,Hardcover,view,/book/show/58724944-a-rip-through-time
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Very Cold People,"Manguso, Sarah*",,,B094GQBBPQ,208        pp,3.38,"5,348","Feb 08, 2022","Feb 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Kindle Edition,view,/book/show/53283816-very-cold-people
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Scapegoat,"du Maurier, Daphne",0316252980,9780316252980,,384        pp,3.99,"11,033",1957,"Dec 17, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,ebook,view,/book/show/18869971-the-scapegoat
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moor's Account,"Lalami, Laila*",0307911667,9780307911667,0307911667,321        pp,4.04,"11,604","Sep 01, 2014","Sep 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Hardcover,view,/book/show/20262502-the-moor-s-account
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Long Walk to Freedom,"Mandela, Nelson",0316548189,9780316548182,0316548189,656        pp,4.35,"86,863",1994,"Oct 01, 1995",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Paperback,view,/book/show/318431.Long_Walk_to_Freedom
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Police,"Ogawa, Yōko",1101870605,9781101870600,1101870605,274        pp,3.73,"88,712","Jan 26, 1994","Aug 13, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 13, 2021",,Hardcover,view,/book/show/37004370-the-memory-police
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Bone People,"Hulme, Keri",0140089225,9780140089226,0140089225,450        pp,4.04,"22,580",1984,"Oct 07, 1986",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Paperback,view,/book/show/460635.The_Bone_People
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Living Sea of Waking Dreams,"Flanagan, Richard",176089995X,9781760899950,,240        pp,3.71,"4,172","Sep 29, 2020","Sep 29, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,ebook,view,/book/show/54282408-the-living-sea-of-waking-dreams
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Cherry Robbers,"Walker, Sarai*",,,B08NWSCYQY,400        pp,3.98,"5,885","May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Kindle Edition,view,/book/show/44422499-the-cherry-robbers
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Four Treasures of the Sky,"Zhang, Jenny Tinghui*",1250811783,9781250811783,1250811783,326        pp,4.09,"15,949","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/55987334-four-treasures-of-the-sky
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,When We Lost Our Heads,"O'Neill, Heather*",,,B07G14S3NK,368        pp,3.98,"9,686","Feb 08, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Kindle Edition,view,/book/show/57320613-when-we-lost-our-heads
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atomic Anna,"Barenbaum, Rachel*",1538734869,9781538734865,1538734869,433        pp,3.80,"2,245","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/58684535-atomic-anna
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kaikeyi,"Patel, Vaishnavi*",0759557330,9780759557338,0759557330,478        pp,4.19,"28,071","Apr 26, 2022","Apr 26, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57127277-kaikeyi
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Devotion,"Kent, Hannah*",1509863915,9781509863914,1509863915,432        pp,3.87,"10,533","Oct 26, 2021","Feb 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57865361-devotion
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Beautiful Little Fools,"Cantor, Jillian*",0063051257,9780063051256,0063051257,336        pp,4.02,"11,597","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57676821-beautiful-little-fools
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pandora,"Stokes-Chapman, Susan*",1787302881,9781787302884,1787302881,432        pp,3.68,"12,850","Jan 17, 2022","Jan 27, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/55676326-pandora
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hacienda,"Cañas, Isabel*",,,0593436695,352        pp,3.84,"41,683","May 03, 2022","May 03, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57840571-the-hacienda
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Good Wife of Bath,"Brooks, Karen*",006314283X,9780063142831,006314283X,560        pp,4.20,"4,989","Jul 07, 2021","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Paperback,view,/book/show/57924371-the-good-wife-of-bath
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Take My Hand,"Perkins-Valdez, Dolen*",0593337697,9780593337691,0593337697,359        pp,4.37,"77,478","Apr 12, 2022","Apr 12, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/55650158-take-my-hand
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Portrait of a Thief,"Li, Grace D.*",0593184734,9780593184738,0593184734,375        pp,3.47,"27,640","Apr 05, 2022","Apr 05, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57021127-portrait-of-a-thief
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Babel,"Kuang, R.F.*",0063021420,9780063021426,0063021420,544        pp,4.20,"218,625","Aug 23, 2022","Aug 23, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57945316-babel
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Gallant,"Schwab, V.E.*",0062835777,9780062835772,0062835777,338        pp,3.72,"111,871","Mar 01, 2022","Mar 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/58064046-gallant
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Daughter of the Moon Goddess        (The Celestial Kingdom Duology, #1)","Tan, Sue Lynn*",0063031302,9780063031302,0063031302,503        pp,4.12,"83,714","Jan 11, 2022","Jan 11, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 12, 2021",,Hardcover,view,/book/show/57789637-daughter-of-the-moon-goddess
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Light in August,"Faulkner, William",0679732268,9780679732266,0679732268,507        pp,3.94,"61,911","Mar 12, 1932","Oct 01, 1990",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 10, 2021",,Paperback,view,/book/show/10979.Light_in_August
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Secret History        (Mistborn, #3.5)","Sanderson, Brandon*",,,B01B0NS93U,160        pp,4.35,"63,000","Jan 26, 2016","Jan 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2021",,Kindle Edition,view,/book/show/28698036-secret-history
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way of Kings        (The Stormlight Archive, #1)","Sanderson, Brandon*",0765326353,9780765326355,0765326353,"1,007        pp",4.66,"493,755","Aug 31, 2010","Aug 31, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 04, 2021",,Hardcover,view,/book/show/7235533-the-way-of-kings
