,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Katherine's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unmarriageable,"Kamal, Soniah*",1524799726,,B07CKG686Z,386        pp,3.75,"12,561","Jan 15, 2019","Jan 22, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 09, 2023",,Kindle Edition,view,/book/show/39926661-unmarriageable
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen's Gambit,"Tevis, Walter",1400030609,9781400030606,1400030609,258        pp,4.19,"117,271","Feb 05, 1983","Mar 11, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jun 18, 2023","Jun 18, 2023","Jun 18, 2023",,Paperback,view,/book/show/62022.The_Queen_s_Gambit
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 6:41 to Paris,"Blondel, Jean-Philippe",1939931266,9781939931269,1939931266,146        pp,3.57,"2,104","Jan 01, 2013","Dec 01, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"May 13, 2023not set","May 17, 2023not set","May 17, 2023",,Paperback,view,/book/show/24796294-the-6
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gulag Archipelago 1918–1956,"Solzhenitsyn, Aleksandr",0060007761,9780060007768,0060007761,512        pp,4.32,"30,397",1973,"Feb 01, 2002",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 17, 2023",,Paperback,view,/book/show/70561.The_Gulag_Archipelago_1918_1956
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,City of Thieves,"Benioff, David",0670018708,9780670018703,0670018708,258        pp,4.29,"149,819","May 15, 2008","May 15, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 13, 2023",,Hardcover,view,/book/show/1971304.City_of_Thieves
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Rose of Shanghai,"Randel, Weina Dai*",1542032881,9781542032889,B08YYY8ZNX,429        pp,4.13,"39,904","Dec 01, 2021","Dec 01, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 26, 2023",,Kindle Edition,view,/book/show/59232498-the-last-rose-of-shanghai
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shortest History of Europe,"Hirst, John",1863954392,9781863954396,1863954392,160        pp,4.05,"5,221",2009,"Sep 01, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 21, 2023","Nov 09, 2023","Mar 21, 2023",,Paperback,view,/book/show/6934913-the-shortest-history-of-europe
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Before the Coffee Gets Cold        (Before the Coffee Gets Cold, #1)","Kawaguchi, Toshikazu",1529029589,9781529029581,1529029589,272        pp,3.70,"406,566","Dec 06, 2015","Sep 19, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 21, 2023",,Paperback,view,/book/show/44421460-before-the-coffee-gets-cold
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vera Wong's Unsolicited Advice for Murderers,"Sutanto, Jesse Q*",0593549228,9780593549223,0593549228,339        pp,4.05,"83,063","Mar 14, 2023","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 18, 2023",,Paperback,view,/book/show/61827543-vera-wong-s-unsolicited-advice-for-murderers
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Atlas: The Story of Pa Salt,"Riley, Lucinda",,,,784        pp,4.51,"52,071","May 11, 2023","May 11, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 18, 2023","Jul 18, 2023","Mar 10, 2023",,Paperback,view,/book/show/58014401-atlas
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Russian Doll,"Loesch, Kristen*",,,,406        pp,3.80,"8,617","Feb 17, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 24, 2023",,Hardcover,view,/book/show/61261034-the-last-russian-doll
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"All the Pretty Horses        (The Border Trilogy, #1)","McCarthy, Cormac",0679744398,9780679744399,0679744398,302        pp,4.04,"123,981",1992,"Jun 29, 1993",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Feb 18, 2023",,Paperback,view,/book/show/469571.All_the_Pretty_Horses
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bauchgefühle: Wie sie entstehen. Was sie uns sagen. Wie wir sie nützen,"Bonelli, Raphael M.",3990016032,9783990016039,3990016032,240        pp,3.97,34,"Oct 08, 2022","Oct 08, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 03, 2023",,Hardcover,view,/book/show/63098747-bauchgef-hle
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Us Against You        (Beartown, #2)","Backman, Fredrik*",1501160796,9781501160790,1501160796,448        pp,4.36,"192,558","Aug 21, 2017","Jun 05, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 11, 2023","Mar 19, 2023","Jan 02, 2023",,Hardcover,view,/book/show/36373463-us-against-you
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,And the Mountains Echoed,"Hosseini, Khaled*",159463176X,9781594632112,159463176X,404        pp,4.07,"371,135","Feb 29, 2012","May 21, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 29, 2022",,Hardcover,view,/book/show/16115612-and-the-mountains-echoed
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Memory Keeper of Kyiv,"Litteken, Erin*",1804157589,9781804157589,B09V2BDWVV,373        pp,4.46,"16,574","May 16, 2022","May 16, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 14, 2022",,Kindle Edition,view,/book/show/60581739-the-memory-keeper-of-kyiv
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Die neuen Leiden des jungen W.,"Plenzdorf, Ulrich",,,,148        pp,3.28,"3,207",1973,2004,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Oct 14, 2022Oct 14, 2022","Oct 14, 2022Oct 14, 2022","Oct 14, 2022",,Paperback,view,/book/show/1329641.Die_neuen_Leiden_des_jungen_W_
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maya's Notebook,"Allende, Isabel*",0062105620,9780062105622,0062105620,387        pp,3.87,"29,866",2011,"Apr 23, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 14, 2022","Oct 11, 2022","Aug 14, 2022",,Hardcover,view,/book/show/16248114-maya-s-notebook
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Curious Faith,"Wilbert, Ferguson",1587435691,9781587435690,1587435691,191        pp,4.37,900,Aug 2022,"Aug 02, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 11, 2022",,Paperback,view,/book/show/59778066-curious-faith
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ulysses,"Joyce, James",,,,925        pp,3.75,"127,967","Feb 02, 1922",1990,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 24, 2022",,Paperback,view,/book/show/338798.Ulysses
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Longer Human,"Dazai, Osamu",,,,177        pp,4.00,"158,471",1948,"Jan 17, 1958",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 16, 2022",,Paperback,view,/book/show/194746.No_Longer_Human
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Violeta,"Allende, Isabel*",0593496205,9780593496206,0593496205,322        pp,4.03,"80,147","Jan 25, 2022","Jan 25, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 22, 2022",,Paperback,view,/book/show/57933338-violeta
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,This Time Tomorrow,"Straub, Emma*",052553900X,9780525539001,052553900X,310        pp,3.80,"131,368","May 17, 2022","May 17, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2022",,Hardcover,view,/book/show/59089704-this-time-tomorrow
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Independent People,"Laxness, Halldór",0679767924,9780679767923,0679767924,482        pp,4.14,"12,428",1934,"Jan 14, 1997",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 14, 2022",,Paperback,view,/book/show/77287.Independent_People
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,550","Aug 30, 2022","Aug 30, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 29, 2023","Sep 03, 2023","May 11, 2022",,Hardcover,view,/book/show/60435878-carrie-soto-is-back
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven or Eight Deaths of Stella Fortuna,"Grames, Juliet*",,,,464        pp,3.95,"17,389","May 07, 2019","May 07, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 02, 2022",,Paperback,view,/book/show/38192874-the-seven-or-eight-deaths-of-stella-fortuna
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Divided Nation: A History of Germany 1918-1990,"Fulbrook, Mary",0195075706,9780195075700,0195075706,unknown,3.78,232,"Jul 02, 1992","Jul 02, 1992",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 21, 2022",,Hardcover,view,/book/show/1009075.The_Divided_Nation
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Time for God,"Philippe, Jacques",1594170665,9781594170669,1594170665,120        pp,4.59,"2,148",2005,"Feb 15, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Apr 17, 2022","Apr 17, 2022","Apr 17, 2022",,Paperback,view,/book/show/3627351-time-for-god
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Measuring the World,"Kehlmann, Daniel",0375424466,9780375424465,0375424466,259        pp,3.73,"18,942",2005,"Nov 07, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 16, 2022",,Hardcover,view,/book/show/642231.Measuring_the_World
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Lying Life of Adults,"Ferrante, Elena",1609455916,9781609455910,1609455916,336        pp,3.66,"70,648","Nov 07, 2019","Sep 01, 2020",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 16, 2022",,Hardcover,view,/book/show/48616787-the-lying-life-of-adults
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Know My Name,"Miller, Chanel",0735223718,9780735223714,,384        pp,4.71,"199,549","Sep 24, 2019","Sep 24, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2022",,ebook,view,/book/show/50196744-know-my-name
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Their Eyes Were Watching God,"Hurston, Zora Neale",0061120065,9780061120060,0061120065,238        pp,3.98,"347,175",1937,"May 30, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2022",,Paperback,view,/book/show/37415.Their_Eyes_Were_Watching_God
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Other People's Clothes,"Henkel, Calla",0385547358,9780385547352,0385547358,320        pp,3.70,"12,771","Feb 01, 2022","Feb 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 02, 2022",,Hardcover,view,/book/show/57926000-other-people-s-clothes
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Tango War: The Struggle for the Hearts, Minds and Riches of Latin America During World War II","McConahay, Mary Jo*",1250091233,9781250091239,1250091233,320        pp,4.05,220,2018,"Sep 18, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 16, 2022",,Hardcover,view,/book/show/37638121-the-tango-war
58,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hillbilly Elegy: A Memoir of a Family and Culture in Crisis,"Vance, J.D.",0062300547,9780062300546,0062300547,264        pp,3.87,"412,267","Jun 28, 2016","Jun 28, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 15, 2022",,Hardcover,view,/book/show/27161156-hillbilly-elegy
59,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Whereabouts,"Lahiri, Jhumpa",0593318315,9780593318317,0593318315,157        pp,3.77,"29,421","Aug 30, 2018","Apr 27, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Mar 13, 2022",,Hardcover,view,/book/show/53438824-whereabouts
