,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Barry's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Desperate Characters,"Fox, Paula",0007150385,9780007150380,0007150385,176        pp,3.54,"8,472",1970,2003,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Feb 2024,Feb 2024,"Mar 03, 2024",,Paperback,view,/book/show/96544.Desperate_Characters
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Dirty, Filthy Book: Sex, Scandal, and One Woman’s Fight in the Victorian Trial of the Century","Meyer, Michael",,,B0CK4WN2T2,unknown,3.71,31,unknown,"Feb 08, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"if queen victoria has a million enemies, i'm one of them. if queen victoria has one enemy, that is me. if queen victoria has no enemies, that means i if queen victoria has a million enemies, i'm one of them. if queen victoria has one enemy, that is me. if queen victoria has no enemies, that means i am no more on the earth. if the world loves queen victoria, then i am against the world. ...more",Notes are private!,0,40,1,"Feb 24, 2024","Feb 25, 2024","Feb 24, 2024",,Audible Audio,view (with text),/book/show/209110131-a-dirty-filthy-book
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The History of My Sexuality,"Lakmaker, Tobi",178378881X,9781783788811,178378881X,192        pp,3.78,"5,529","Feb 06, 2021","Jan 18, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,13,1,"Jan 07, 2024","Jan 22, 2024","Jan 07, 2024",,Paperback,view,/book/show/204999650-the-history-of-my-sexuality
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Verdigris,"Mari, Michele",1913505901,9781913505905,1913505901,240        pp,4.00,477,"Sep 03, 2007","Jan 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Reviewed on my Substack: https://barrypierce.substack.com/p/ve...Reviewed on my Substack: https://barrypierce.substack.com/p/ve......more,Notes are private!,0,19,1,not set,"Jan 07, 2024","Jan 07, 2024",,Paperback,view (with text),/book/show/125483077-verdigris
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Method: How the Twentieth Century Learned to Act,"Butler, Isaac",1635574773,9781635574777,1635574773,512        pp,4.26,741,"Feb 01, 2022","Feb 01, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,shaking my head disapprovingly every time elia kazan is mentioned,Notes are private!,0,12,1,not set,Jan 2024,"Jan 05, 2024",,Hardcover,view (with text),/book/show/57693266-the-method
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mr. B: George Balanchine's 20th Century,"Homans, Jennifer",,,B0C9V5QKXJ,unknown,4.33,347,"Nov 01, 2022","Jul 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,yes yes yes yes yes,Notes are private!,0,16,1,"Dec 26, 2023","Dec 30, 2023","Dec 26, 2023",,Audible Audio,view (with text),/book/show/201054897-mr-b
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ripley Under Water        (Ripley, #5)","Highsmith, Patricia",,,B01LW91DZR,unknown,3.79,"5,035","Oct 03, 1991","Dec 15, 2016",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"i do feel bad giving this two stars but it just isn't up there with the previous novels. there's just something missing from this one, maybe the actioi do feel bad giving this two stars but it just isn't up there with the previous novels. there's just something missing from this one, maybe the action? it relies a bit too much on the plotlines and characters of the previous books too, instead of being its own thing. how annoying that this is how the ""Ripliad"" ends, very much a whimper instead of a bang. ...more",Notes are private!,0,13,1,"Dec 17, 2023","Dec 22, 2023","Dec 18, 2023",,Audible Audio,view (with text),/book/show/203992486-ripley-under-water
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Boy Who Followed Ripley        (Ripley, #4)","Highsmith, Patricia",,,B01LVU1ELT,unknown,3.65,"5,383",1980,"Dec 15, 2016",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,10,1,"Dec 14, 2023","Dec 17, 2023","Dec 16, 2023",,Audible Audio,view,/book/show/203888016-the-boy-who-followed-ripley
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ripley's Game        (Ripley, #3)","Highsmith, Patricia",,,B004RHB204,unknown,3.85,"8,872",1974,2016,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 09, 2023","Dec 14, 2023","Dec 09, 2023",,Audible Audio,view,/book/show/203544158-ripley-s-game
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Ripley Under Ground        (Ripley, #2)","Highsmith, Patricia",,,B01LW85WTZ,unknown,3.72,"10,906",Jun 1970,unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,not set,"Dec 07, 2023","Dec 08, 2023",,Audiobook,view,/book/show/17403268-ripley-under-ground
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death at Intervals,"Saramago, José",1846550203,9781846550201,1846550203,196        pp,4.00,"60,722",Jan 2005,"Feb 07, 2008",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 02, 2023",not set,"Dec 02, 2023",,Paperback,view,/book/show/1456607.Death_at_Intervals
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Talented Mr Ripley        (Ripley, #1)","Highsmith, Patricia",,,B006OPRKEO,unknown,3.94,"90,537",1955,"Jul 20, 2007",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,21,1,not set,"Dec 02, 2023","Dec 02, 2023",,Audible Audio,view,/book/show/45450515-the-talented-mr-ripley
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pity,"McMillan, Andrew",1838858962,9781838858964,B0C1SHQNKC,192        pp,3.83,372,"Feb 08, 2024","Feb 08, 2024",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Nov 28, 2023","Dec 02, 2023","Nov 28, 2023",,Kindle Edition,view,/book/show/126033230-pity
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Tomorrow, and Tomorrow, and Tomorrow","Zevin, Gabrielle*",,,B09LHWDQPY,unknown,4.18,"845,741","Jul 05, 2022",unknown,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,very enjoyable.,Notes are private!,0,44,1,not set,"Nov 26, 2023","Nov 26, 2023",,Audible Audio,view (with text),/book/show/202721847-tomorrow-and-tomorrow-and-tomorrow
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Henry Henry,"Bratton, Allen",1787334597,9781787334595,1787334597,384        pp,3.61,74,"Apr 16, 2024","May 02, 2024",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"a fabulously fucked and faggy rejigging of the Henriad, as boorish and biting as Martin Amis at his peak.",Notes are private!,0,32,1,"Nov 20, 2023","Nov 28, 2023","Nov 20, 2023",,Hardcover,view (with text),/book/show/199404583-henry-henry
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tremor,"Cole, Teju",0571283357,9780571283354,0571283357,256        pp,3.72,"1,249","Oct 17, 2023","Oct 19, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,11,1,not set,"Nov 19, 2023","Nov 20, 2023",,Hardcover,view,/book/show/91937531-tremor
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Baumgartner,"Auster, Paul",0571384935,9780571384938,0571384935,208        pp,3.79,"4,620","Nov 07, 2023","Nov 07, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,not set,"Nov 13, 2023","Nov 13, 2023",,Hardcover,view,/book/show/123412619-baumgartner
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Blackouts,"Torres, Justin*",1847087981,9781847087980,B0BSL2XM9Q,321        pp,3.81,"5,185","Oct 10, 2023","Oct 12, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,9,1,"Oct 23, 2023","Nov 07, 2023","Oct 23, 2023",,Kindle Edition,view,/book/show/156918250-blackouts
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Strangers to Ourselves: Unsettled Minds and the Stories That Make Us,"Aviv, Rachel",,9781250868862,,unknown,4.13,"10,114","Sep 13, 2022","Sep 13, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 21, 2023","Oct 22, 2023",,Audiobook,view,/book/show/68330485-strangers-to-ourselves
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Custom of the Country,"Wharton, Edith",0143039709,9780143039709,0143039709,370        pp,4.06,"13,972",1913,"May 30, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,undine literally the julia fox of her time,Notes are private!,0,55,1,"Oct 22, 2023","Nov 06, 2023","Oct 22, 2023",,Paperback,view (with text),/book/show/26950.The_Custom_of_the_Country
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ethan Frome,"Wharton, Edith",,,0142437808,99        pp,3.44,"127,281",1911,2005,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 21, 2023","Oct 22, 2023",,Paperback,view,/book/show/5246.Ethan_Frome
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Maybe in Another Life,"Reid, Taylor Jenkins*",,,,unknown,3.80,"254,833","Jul 07, 2015","Aug 18, 2015",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,"Oct 11, 2023","Oct 13, 2023",,Audiobook,view,/book/show/34200177-maybe-in-another-life
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wifedom: Mrs. Orwell's Invisible Life,"Funder, Anna",,,,unknown,4.16,"5,679","Jul 04, 2023","Aug 22, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,Sep 2023,Sep 2023,"Oct 10, 2023",,Audiobook,view,/book/show/199078962-wifedom
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,London Labour and the London Poor,"Mayhew, Henry",,,B07GVSGHH7,28        pp,4.05,775,1861,"Aug 30, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Sep 27, 2023",not set,"Sep 27, 2023",,Audible Audio,view,/book/show/63326391-london-labour-and-the-london-poor
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The House of Mirth,"Wharton, Edith",1844082938,9781844082933,1844082938,351        pp,3.97,"97,918","Oct 14, 1905","Jan 19, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"me, anytime I have to do anything manual: oh! i'm like lily bart in the workhouse me, anytime I have to do anything manual: oh! i'm like lily bart in the workhouse ...more",Notes are private!,0,47,1,"Sep 27, 2023","Oct 18, 2023","Sep 27, 2023",,Paperback,view (with text),/book/show/17728.The_House_of_Mirth
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Premonitions Bureau,"Knight, Sam*",0571357571,9780571357574,0571357571,247        pp,3.32,"4,006","May 03, 2022","Apr 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Sep 20, 2023","Sep 21, 2023","Sep 21, 2023",,Paperback,view,/book/show/61404337-the-premonitions-bureau
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nineteen Steps,"Brown, Millie Bobby",,9780008648640,,380        pp,3.72,"10,027","Sep 12, 2023",2023,did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,tasteless.,Notes are private!,2,83,1,"Sep 19, 2023","Sep 20, 2023","Sep 20, 2023",,Hardcover,view (with text),/book/show/198972560-nineteen-steps
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Executioner's Song,"Mailer, Norman",0375700811,9780375700811,0375700811,"1,056        pp",4.06,"21,718","Oct 30, 1979","Apr 28, 1998",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,cannot believe he did all that just to talk to johnny cash Merged :cannot believe he did all that just to talk to johnny cash,Notes are private!,0,1,2,"Nov 24, 2022not set","Dec 19, 2022not set","Sep 11, 2023",,Paperback,view (with text),/book/show/12468.The_Executioner_s_Song
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tiepolo Pink,"Calasso, Roberto",0241399424,9780241399422,0241399424,unknown,4.13,198,"Oct 01, 2006","May 28, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,how did i do a whole degree in art history and never come across this book?,Notes are private!,0,40,1,"Sep 09, 2023","Sep 24, 2023","Sep 09, 2023",,Paperback,view (with text),/book/show/52744959-tiepolo-pink
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Daddy Boy,"Whitney, Emerson",1739220749,9781739220747,1739220749,180        pp,3.67,136,"May 30, 2023","Sep 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,15,1,"Sep 02, 2023","Sep 05, 2023","Sep 02, 2023",,Paperback,view,/book/show/198418323-daddy-boy
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Wren, The Wren","Enright, Anne",1787334600,9781787334601,B0BS5YG713,283        pp,3.58,"5,408","Sep 19, 2023","Aug 31, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,another bop from Anne THEE Enright.,Notes are private!,1,36,1,not set,"Aug 28, 2023","Sep 01, 2023",,Kindle Edition,view (with text),/book/show/64657673-the-wren-the-wren
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,48,"Herbert, James",,,,unknown,3.75,"3,600","Nov 04, 1996","Sep 13, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"was a bit apprehensive of Herbert trying to do an American narrator but this ended up being really great, he was just such a talented writer, ugh!",Notes are private!,0,9,1,"Aug 30, 2023","Sep 03, 2023","Aug 30, 2023",,Audible Audio,view (with text),/book/show/37862017-48
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sunburn,"Howarth, Chloe Michelle",0857308416,9780857308412,0857308416,288        pp,4.27,"2,625","Jun 22, 2023","Jun 22, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 16, 2023","Aug 17, 2023","Aug 25, 2023",,Paperback,view,/book/show/75715117-sunburn
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Different Seasons,"King, Stephen*",,,B01IU59Z2A,unknown,4.35,"205,266",1982,"Aug 11, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 22, 2023",not set,"Aug 22, 2023",,Audible Audio,view,/book/show/51793112-different-seasons
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Attack Warning Red!,"McDowall, Julie",,,B0BMB6DKX6,unknown,4.14,236,unknown,"Apr 06, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,not set,"Aug 15, 2023","Aug 16, 2023",,Audible Audio,view,/book/show/196999911-attack-warning-red
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glutton,"Blakemore, A.K.",1783789190,9781783789207,B0BSKXHVJN,336        pp,3.83,"2,033","Oct 31, 2023","Sep 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,finger licking good.,Notes are private!,1,76,1,"Aug 10, 2023","Aug 14, 2023","Aug 10, 2023",,Hardcover,view (with text),/book/show/76691850-the-glutton
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Survivor,"Herbert, James",,,B00EQUN1WY,unknown,3.68,"3,549",1976,"Sep 13, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Aug 02, 2023","Aug 07, 2023","Aug 02, 2023",,Audiobook,view,/book/show/60173856-the-survivor
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Thinner,"Bachman, Richard",,,B0051H69TI,unknown,3.77,"210,276",1984,"May 18, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,skinny legend.,Notes are private!,0,34,1,"Jul 28, 2023","Jul 31, 2023","Jul 28, 2023",,Audible Audio,view (with text),/book/show/195251851-thinner
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Boy Parts,"Clark, Eliza",,,B08BZJ9M98,9        pp,3.78,"47,719","Jul 23, 2020","Jul 23, 2020",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,feeling deeply uncomfortable with the fact i'm the exact type of boy Irina would scout. feeling deeply uncomfortable with the fact i'm the exact type of boy Irina would scout. ...more,Notes are private!,0,41,1,"Jul 26, 2023","Jul 28, 2023","Jul 28, 2023",,Audible Audio,view (with text),/book/show/54912846-boy-parts
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Fog,"Herbert, James",,,B00EQUN2BE,unknown,3.89,"26,083",1975,"Aug 27, 2013",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 16, 2023","Jul 19, 2023","Jul 26, 2023",,Audible Audio,view,/book/show/48745574-the-fog
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Killers of the Flower Moon: Oil, Money, Murder and the Birth of the FBI","Grann, David*",1471166554,9781471166556,1471166554,9        pp,4.15,"340,278","Apr 18, 2017","Apr 20, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jul 14, 2023","Jul 16, 2023","Jul 26, 2023",,Audiobook,view,/book/show/34398035-killers-of-the-flower-moon
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Green Mile,"King, Stephen*",,,,unknown,4.48,"320,272",1996,"Aug 15, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Jul 20, 2023","Jul 25, 2023","Jul 24, 2023",,Audible Audio,view,/book/show/37862124-the-green-mile
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sea Change,"Chung, Gina*",1761268112,9781761268113,B0C4DFY8SY,266        pp,3.59,"5,357","Mar 28, 2023","Aug 08, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,there's simply just too much going on here.there's simply just too much going on here....more,Notes are private!,0,13,1,"Jul 20, 2023","Jul 22, 2023","Jul 24, 2023",,Kindle Edition,view (with text),/book/show/149108567-sea-change
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Dead Babies,"Amis, Martin",0099437333,9780099437338,0099437333,273        pp,3.37,"6,061",1975,2020,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Jul 09, 2023","Aug 06, 2023","Jul 09, 2023",,Paperback,view,/book/show/68048308-dead-babies
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Path to the Spiders' Nests,"Calvino, Italo",0141189738,9780141189734,0141189738,185        pp,3.76,"20,915",1947,"Jan 01, 2009",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,13,1,"Jun 26, 2023","Jul 09, 2023","Jul 09, 2023",,Paperback,view,/book/show/6345451-the-path-to-the-spiders-nests
