,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Eleanor's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death of a River Guide,"Flanagan, Richard",1843542196,9781843542193,1843542196,382        pp,3.91,"2,576",1994,2004,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was Richard Flanagan's first novel, and it is quite extraordinary. While the title tells us what the outcome will be from the start, the long appThis was Richard Flanagan's first novel, and it is quite extraordinary. While the title tells us what the outcome will be from the start, the long approach to it builds up the portrait of of Aljaz, his family, and the tragedy he has been running from for 10 years.The book is also a love letter to the wilderness of the Franklin River area, a place of both beauty and terror. Indeed, Flanagan writes beautifully and with grief about Tasmania, especially as it was before the English colonisers came: ... my mind fills with a vision of when the English first arrived and the land was fat and full of trees and game. Had the loss begun at this time? When the English first saw plains so thickly speckled with emu and wallaby dung that it looked as if the heavens must have hailed sleek black turds upon this land, when they first saw the sea and the vast blue Derwent River rainbowed with the vapoury spouts of pods of whales and schools of dolphins swimming beneath. From that time on, each succeeding generation found something new they could quarry to survive. First the emu disappeared, then the tigers, then the many different fishes and seals and whales and their rainbows became rare, then the rivers were stilled under dams, then the trees, and then the scallops and the abalone and the crayfish became few and were in consequence no longer the food of the poor but the waste of the rich.The final 50 pages or so build up and up to a terrible climax, and then finally Aljaz is at peace. Flanagan is one of our major novelists, and I am glad I finally got to read this first work by him....more",Notes are private!,0,0,1,"Jan 28, 2024","Feb 03, 2024","Jan 28, 2024",,Paperback,view (with text),/book/show/548370.Death_of_a_River_Guide
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gentleman in the Parlour: A Record of a Journey from Rangoon to Haiphong        (Armchair traveller series),"Maugham, W. Somerset",1557782164,9781557782168,1557782164,306        pp,3.74,447,"Jan 01, 1930","Jan 01, 1989",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have been reading this in snippets, in and between other books and activities. I quite enjoyed it but it didn't really grab me. At least in part thiI have been reading this in snippets, in and between other books and activities. I quite enjoyed it but it didn't really grab me. At least in part this was I think my 21st century sensitivity to the idea of the white man travelling at leisure through various colonised areas where people looked after his every need for a pittance....more",Notes are private!,0,0,1,"Jan 09, 2024","Jan 17, 2024","Jan 09, 2024",,Paperback,view (with text),/book/show/301374.The_Gentleman_in_the_Parlour
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mystery in White,"Farjeon, J. Jefferson",071236319X,9780712363198,B00O16VACQ,245        pp,3.38,"5,217",1937,"Sep 28, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not a writer I had come across before, though I did know of his sister, Eleanor Farjeon. This started off a little clunkily, but either I became used Not a writer I had come across before, though I did know of his sister, Eleanor Farjeon. This started off a little clunkily, but either I became used to Farjeon's style or things ran more smoothly as the story progressed. I quite enjoyed it without feeling the need to hunt out all his other books....more",Notes are private!,0,0,1,"Dec 27, 2023","Dec 29, 2023","Dec 27, 2023",,Kindle Edition,view (with text),/book/show/23350057-mystery-in-white
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"My Country: Stories, Essays & Speeches","Marr, David",1743820674,9781743820674,B07CNNXJHH,481        pp,4.18,78,"Nov 05, 2018","Nov 05, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An interesting way to revisit some of our recent history, both political and social. Marr writes so well that it is a pleasure to read him on any topiAn interesting way to revisit some of our recent history, both political and social. Marr writes so well that it is a pleasure to read him on any topic....more",Notes are private!,0,0,1,"Dec 26, 2023","Feb 13, 2024","Dec 26, 2023",,Kindle Edition,view (with text),/book/show/41843340-my-country
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Q's Mystery Stories,"Quiller-Couch, Arthur",1704504902,9781704504902,1704504902,436        pp,0.00,0,unknown,"Nov 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 13, 2023",not set,"Dec 13, 2023",,Paperback,view,/book/show/48771618-q-s-mystery-stories
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Captain Corelli's Mandolin,"de Bernières, Louis",,,,534        pp,4.02,"86,745",1994,1998,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this book, and certainly learned more about the terrible events in Greece than I had ever known.As for the long-delayed happy ending, I was I enjoyed this book, and certainly learned more about the terrible events in Greece than I had ever known.As for the long-delayed happy ending, I was left asking Antonio why on earth he hadn't asked a few questions instead of leaping to wrong conclusions. But he was a man of his time and I think that his reaction rings true.Touching, heart-breaking, and well done....more",Notes are private!,0,0,1,"Dec 13, 2023","Dec 26, 2023","Dec 13, 2023",,Paperback,view (with text),/book/show/578519.Captain_Corelli_s_Mandolin
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Right Ho, Jeeves        (Jeeves, #6)","Wodehouse, P.G.",0393339785,9780393339789,0393339785,257        pp,4.30,"29,491","Oct 05, 1934","Jul 05, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Utterly daffy, as is right and proper for a Jeeves and Wooster novel. Thank heavens Jeeves was able to sort everything out in his usual masterly fashiUtterly daffy, as is right and proper for a Jeeves and Wooster novel. Thank heavens Jeeves was able to sort everything out in his usual masterly fashion after Bertie had made a complete hash of everything.Good fun....more",Notes are private!,2,2,1,"Dec 10, 2023","Dec 12, 2023","Dec 10, 2023",,Paperback,view (with text),/book/show/9850375-right-ho-jeeves
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On A Chinese Screen,"Maugham, W. Somerset",0749304243,9780749304249,0749304243,320        pp,3.72,460,"Mar 08, 1922","Aug 20, 1997",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"W Somerset Maugham was a wonderful observer of people and places, and of course he was a great writer. This is a book of brief essays about the peopleW Somerset Maugham was a wonderful observer of people and places, and of course he was a great writer. This is a book of brief essays about the people and places he came across while travelling in China after the First World War. The attitudes of the Europeans living in China and exploiting it are predictable but nonetheless appalling. One example is the following:He had been in China for thirty years, and he prided himself on not speaking a word of Chinese. He never went into the Chinese city. His compradore* was Chinese, and some of the clerks, his boys** of course, and the chair coolies; but they were the only Chinese he had anything to do with, and quite enough too.""I hate the country, I hate the people,"" he said. ""As soon as I've saved enough money I mean to clear out.""* A compradore is a person who acts as an agent for foreign organisations engaged in investment, trade, or economic or political exploitation. (from Wikipedia)**The 'boys' were servants.His descriptions are perfect. The first essay, entitled ""The Rising of the Curtain"" starts like this:You come to the row of hovels that leads to the gate of the city. They are built of dried mud and so dilapidated that you feel a breath of wind will lay them flat upon the dusty earth from which they have been made. A string of camels, heavily laden, steps warily past you. They wear the disdainful air of profiteers forced to traverse a world in which many people are not so rich as they.I loved that description of the camels.This book isn't as well known as Maugham's fiction, but it is well worth seeking out....more",Notes are private!,0,1,1,"Dec 07, 2023","Dec 10, 2023","Dec 07, 2023",,Mass Market Paperback,view (with text),/book/show/887834.On_A_Chinese_Screen
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Death at the Excelsior and Other Stories,"Wodehouse, P.G.",0809592754,9780809592753,0809592754,148        pp,3.74,711,1921,"Mar 01, 2004",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This contained a couple of good Jeeves and Wooster stories which I had read elsewhere, and the others were mildly amusing but not up to his best standThis contained a couple of good Jeeves and Wooster stories which I had read elsewhere, and the others were mildly amusing but not up to his best standards. Good for bedtime reading. 2.5 stars....more",Notes are private!,0,1,1,"Dec 06, 2023","Dec 09, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/3131143-death-at-the-excelsior-and-other-stories
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Day of the Triffids,"Wyndham, John",0812967127,9780812967128,0812967127,228        pp,4.01,"107,587",1951,"Jan 01, 2003",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,Another reread from long ago. It stands up very well and is quite plausible and gripping.,Notes are private!,0,0,1,"Dec 05, 2023","Dec 06, 2023","Dec 06, 2023",,Paperback,view (with text),/book/show/530965.The_Day_of_the_Triffids
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collected Short Stories of E M Forster,"Forster, E.M.",,,B00B9VFJQO,0        pp,3.88,8,unknown,"Jan 01, 1954",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A re-read before passing this paperback on to a friend. The truly unforgettable story for me is ""The Celestial Omnibus"", because I first read it when A re-read before passing this paperback on to a friend. The truly unforgettable story for me is ""The Celestial Omnibus"", because I first read it when I was about 12, not having the faintest idea who the author was, and thought it was terrific. I still do....more",Notes are private!,0,1,1,"Dec 02, 2023","Dec 04, 2023","Dec 04, 2023",,Paperback,view (with text),/book/show/85828776-collected-short-stories-of-e-m-forster
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Last Chronicle of Barset        (Chronicles of Barsetshire #6),"Trollope, Anthony",0140437525,9780140437522,0140437525,890        pp,4.18,"6,041",1867,"Oct 29, 2002",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"It is quite a while since I read the fifth volume of the Chronicles, and it took me a little while to get back into the leisurely rhythm of Trollope'sIt is quite a while since I read the fifth volume of the Chronicles, and it took me a little while to get back into the leisurely rhythm of Trollope's prose.In the end, I enjoyed it very much, and it rounds out various story threads very satisfactorily....more",Notes are private!,0,0,1,"Nov 21, 2023","Dec 04, 2023","Nov 21, 2023",,Paperback,view (with text),/book/show/149789.The_Last_Chronicle_of_Barset
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Countess of Lowndes Square and Other Stories,"Benson, E.F.",,,B08WPF2NPD,194        pp,3.14,21,1921,"Feb 14, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"An interesting mix of stories. For me the best one by far is ""The Oriolists"", which has the wonderful hilary of the Mapp and Lucia stories. It is wortAn interesting mix of stories. For me the best one by far is ""The Oriolists"", which has the wonderful hilary of the Mapp and Lucia stories. It is worth getting the book (which is in the public domain) for this story alone....more",Notes are private!,0,0,1,"Nov 10, 2023","Nov 19, 2023","Nov 19, 2023",,Kindle Edition,view (with text),/book/show/152593783-the-countess-of-lowndes-square-and-other-stories
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We are not alone,","Hilton, James",,,B0006ANUBK,3        pp,3.00,1,unknown,"Jan 01, 1937",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 17, 2023","Nov 17, 2023","Nov 17, 2023",,Hardcover,view,/book/show/142587041-we-are-not-alone
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Postcards,"Proulx, Annie",1841155012,9781841155012,1841155012,352        pp,3.76,"5,763",unknown,"Jan 01, 2003",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 10, 2023","Nov 13, 2023","Nov 10, 2023",,Paperback,view,/book/show/28000.Postcards
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Midwich Cuckoos,"Wyndham, John",0345299116,9780345299116,0345299116,220        pp,3.91,"25,640",1957,1958,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a reread from a very long time ago. Needless to say, it does require a suspension of disbelief, but it is an interesting premise.",Notes are private!,0,0,1,"Nov 09, 2023","Nov 10, 2023","Nov 09, 2023",,Mass Market Paperback,view (with text),/book/show/161846.The_Midwich_Cuckoos
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Another Day in the Colony,"Watego, Chelsea",0702263168,9780702263163,0702263168,256        pp,4.44,641,"Nov 02, 2021","Nov 02, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I have no right to """" this book, as I am one of the colonisers, not a First Nations Australian. It is chastening to read about and try to undersI have no right to """" this book, as I am one of the colonisers, not a First Nations Australian. It is chastening to read about and try to understand what life is like for so many indigenous people right now. I write this as someone who has been involved in reconciliation issues, but I am still so ignorant in so many ways. I believe it is the responsibility of all non-indigenous Australians to educate themselves about the true history of this country, and about the ongoing trauma and damage which we continue to inflict from day to day.For people who do care, this is not a comfortable read, but it is an important one....more",Notes are private!,0,2,1,"Nov 04, 2023","Nov 08, 2023","Nov 04, 2023",,Paperback,view (with text),/book/show/59118034-another-day-in-the-colony
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Camille's Bread,"Lohrey, Amanda",0207188432,9780207188435,0207188432,277        pp,3.67,137,1995,"Jan 01, 1995",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this, the first book I have read by Amanda Lohrey. Her characters are flawed and believable, her Sydney setting is recognisable and enjoyablI enjoyed this, the first book I have read by Amanda Lohrey. Her characters are flawed and believable, her Sydney setting is recognisable and enjoyable, and the storyline is realistic. I look forward to reading more of Lohrey's work....more",Notes are private!,0,0,1,Nov 2023,"Nov 04, 2023","Nov 01, 2023",,Paperback,view (with text),/book/show/2531687.Camille_s_Bread
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Lessons in Chemistry,"Garmus, Bonnie*",,,,390        pp,4.30,"1,230,287","Mar 31, 2022","Apr 05, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I enjoyed this well enough without going overboard about it.,Notes are private!,0,1,1,"Oct 20, 2023","Oct 25, 2023","Oct 20, 2023",,Hardcover,view (with text),/book/show/58065033-lessons-in-chemistry
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Broken House: Growing up under Hitler,"Krüger, Horst",1529113199,9781529113198,1529113199,256        pp,4.00,526,1966,"Feb 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 19, 2023",,Paperback,view,/book/show/59010638-the-broken-house
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Infinities,"Banville, John",0307272796,9780307272799,0307272796,273        pp,3.28,"2,805","Aug 25, 2009","Feb 23, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I enjoyed this book very much indeed. The only other book by Banville that I have read to date was The Untouchable, which was brilliant, and quite difI enjoyed this book very much indeed. The only other book by Banville that I have read to date was The Untouchable, which was brilliant, and quite different from this playful work.The story takes place during the course of one day, and concerns the members of the Godley family. It is narrated by Hermes, and he, Zeus and Pan all have roles to play during that day. It becomes clear quite early on that the setting is in a parallel universe: cars run on brine, yet the postman delivers the mail riding a pony. There are several references to passing trains, including ""one of the new-fangled models that run on steam"". A mention of the city of Venice refers in passing to the hydrogen-powered breakwater which has saved the city from inundation. Elsewhere there is mention of Oppenheimer ""who failed to build the bomb he boasted so much of."" Equally intriguing is a reference to Mary Queen of Scots as Gloriana, and her treasonous cousin Elizabeth Tudor, who was beheaded.It is all delicious fun....more",Notes are private!,0,1,1,"Oct 16, 2023","Oct 20, 2023","Oct 16, 2023",,Hardcover,view (with text),/book/show/6595136-the-infinities
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Strange Case of Dr Jekyll and Mr Hyde,"Stevenson, Robert Louis",,,B0083ZR7BY,96        pp,3.83,"580,454","Jan 05, 1886","May 16, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I realised a while ago that although I was perfectly familiar with the outline of the story, I had never actually read The Strange Case of Dr Jeckyll I realised a while ago that although I was perfectly familiar with the outline of the story, I had never actually read The Strange Case of Dr Jeckyll and Mr Hyde. It is an extraordinary book - a novella really - with its ideas concerning the good and evil in human nature and what could happen were it possible to split a person into two, with all the good in one, and all the evil in the other. Sadly, the evil in humans is all too obvious as we look around the world, whether now or at any time in our history. It seems too much to hope that the good will prevail, but for the sake of our fellow creatures as well as ourselves, let us hope that it will....more",Notes are private!,2,3,1,"Oct 12, 2023","Oct 14, 2023","Oct 12, 2023",,Kindle Edition,view (with text),/book/show/15848107-the-strange-case-of-dr-jekyll-and-mr-hyde
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Collected Stories of E F Benson,"Richard, Scott,",,,,unknown,3.50,2,unknown,2006,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Despite the title's suggestion, this volume does not contain all of E F Benson's short stories, but is perhaps a collection of many of his ghost storiDespite the title's suggestion, this volume does not contain all of E F Benson's short stories, but is perhaps a collection of many of his ghost stories. I read them interspersed with various other books. Enjoyable enough, but certainly not among his best work for me....more",Notes are private!,0,0,1,"Oct 05, 2023","Nov 19, 2023","Oct 05, 2023",,ebook,view (with text),/book/show/46128467-collected-stories-of-e-f-benson
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Generations of Men,"Wright, Judith A.",,,,233        pp,3.25,20,1959,1965,it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I found this book rather disappointing. The prose seemed rather pedestrian, which surprised me very much given that Judith Wright was one of our most I found this book rather disappointing. The prose seemed rather pedestrian, which surprised me very much given that Judith Wright was one of our most eminent poets. I also disliked the partly fictional style, almost turning the story of her ancestors into a novel by including various thoughts and feelings which have to be Wright's inventions, even though she had access to diaries and letters of the people of whom she writes.The book was written back in 1959 and Wright went on to be an important activist on the environment and also on the treatment of our First Nations people. It recounts the activities of the settlers including the dispossession of the people whose land they were taking over, the ringbarking of trees in order to grow the grass they wanted for their stock, without any reflection of the terrible damage being inflicted on the people and the land.Only towards the end of the book she imagines her ancestor Albert reflecting on ""this whirlwind of destruction"" and on how ""they had killed Paddy's people, driving them in hundreds over the cliffs of the tableland to die on the rocks below - for spearing cattle, for rebellion against the dominion of money and prosperity.""A little later, with Albert still musing, she writes ""To forgive oneself - that was the hardest task. Until the white men could recognise and forgive that deep and festering consciousness of guilt in themselves, they would not forgive the blacks for setting it there. The murder would go on - open or concealed - until the blacks were all gone, the whites forever crippled.""Wright gives us no indication whatsoever that she has any proof that Albert thought these things. They may be simply her hope that he did have some inkling of what was being done, and indeed continued to be done for many more years, well into the 20th century, as the frontier moved westwards.In the end, the book is about the triumph against the odds of dealing with the challenges of the country to the settlers, who without doubt lived very difficult and often heart-breaking lives of struggle to succeed.Mildly interesting, but not really recommended, especially for those who like their biographies to eschew fictional imaginings, and to look at the subject(s) with a dispassionate eye....more",Notes are private!,0,2,1,"Oct 04, 2023","Oct 10, 2023","Oct 04, 2023",,Paperback,view (with text),/book/show/35154053-the-generations-of-men
