,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Edan's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghettoside: A True Story of Murder in America,"Leovy, Jill",0385529988,9780385529983,0385529988,366        pp,4.07,"18,908","Jan 27, 2015","Jan 27, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a masterpiece. Informative, nuanced, compassionate, efficiently told, entertaining, heartbreaking. Every American should read this book.",Notes are private!,0,14,1,not set,not set,"May 04, 2016",,Hardcover,view (with text),/book/show/13153693-ghettoside
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,On the Edges of Vision,"McClory, Helen*",,9781938466465,,169        pp,3.38,208,"Jun 04, 2015",Aug 2015,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 13, 2015",,Paperback,view,/book/show/24101949-on-the-edges-of-vision
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Birth Day: A Pediatrician Explores the Science, the History, and the Wonder of Childbirth","Sloan, Mark*",0345502868,9780345502865,0345502868,384        pp,4.12,450,2009,"Mar 24, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,This book was very informative and well-balanced regarding the different types of maternity and labor care for women. A lot of fun facts about fetusesThis book was very informative and well-balanced regarding the different types of maternity and labor care for women. A lot of fun facts about fetuses and such. Someone MUST write a historical novel about the first doctor to perform c-sections! ...more,Notes are private!,0,3,1,"Jun 29, 2015","Aug 13, 2015","Jun 29, 2015",,Hardcover,view (with text),/book/show/6250015-birth-day
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Good on Paper,"Cantor, Rachel*",1612194702,9781612194707,1612194702,320        pp,2.99,711,"Jan 26, 2016","Jan 26, 2016",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 12, 2015",,Hardcover,view,/book/show/25279809-good-on-paper
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Take You,"Kennedy, Eliza*",0553417827,9780553417821,0553417827,320        pp,2.98,"6,127",2015,"May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"May 18, 2015",,Hardcover,view,/book/show/22237470-i-take-you
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Little Life,"Yanagihara, Hanya*",,,0385539258,720        pp,4.34,"618,501","Mar 10, 2015","Mar 10, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I read this book far more quickly that I thought I would. I feel wrung out now. It's beautiful and profound, and at times so brutal I could barely keeI read this book far more quickly that I thought I would. I feel wrung out now. It's beautiful and profound, and at times so brutal I could barely keep reading. I sobbed and sobbed while reading the last 150 pages or so. It's been a long time since I felt so close to fictional characters. At first, I felt the novel's withholding of information was too designed by the author, but eventually it began to feel more natural and right, and I loved how the book I thought I was reading--about 4 college friends--became something far different, far scarier, far deeper, and far more meaningful. This is petty, but I had a hard time with some of the names. I mean, a first name like Citizen--and no one mentions its oddness? What's also odd is the lack of historical/social/technological/political context for these lives--for covering so much time, we get very little texture outside of their private worlds. But that was also beautiful, in a way. ...more",Notes are private!,0,23,1,not set,not set,"May 18, 2015",,Hardcover,view (with text),/book/show/22822858-a-little-life
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brink: Stories,"Bunn, Austin",0062362615,9780062362612,0062362615,240        pp,3.77,185,"Apr 28, 2015","Apr 28, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Apr 28, 2015",,Paperback,view,/book/show/22693283-the-brink
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Unwinding: An Inner History of the New America,"Packer, George",1466836954,9781466836952,,448        pp,4.13,"12,046","May 21, 2013","May 21, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book devastated and educated me about the changes in America in the last 40 years. It's phenomenal. I just finished writing a piece on The MillioThis book devastated and educated me about the changes in America in the last 40 years. It's phenomenal. I just finished writing a piece on The Millions about the third person, and had I read this before that, I would have suggested Packer's book as his voice and writing style alters with each new person he's writing about and following--it's lovely.I thought a couple of the passages about famous people were dripping with a bit too much cynicism for my taste; the one on Oprah was just plain mean (even if I agree with a lot of what he says, he seemed to always attribute self-serving motives to her actions, which felt too easy.) It's interesting to me that Packer can bring so much compassion and empathy to the subjects he meets and shadows, but not for the celebrities. This quibble didn't keep me from loving and admiring this book, which, man, depressed the hell out of me and made me wonder why I vote at all. ...more",Notes are private!,0,4,1,"Feb 03, 2015","Feb 16, 2015","Feb 03, 2015",,ebook,view (with text),/book/show/17139513-the-unwinding
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Those Who Leave and Those Who Stay        (The Neapolitan Novels, #3)","Ferrante, Elena",,,,418        pp,4.35,"148,734","Oct 30, 2013","Sep 02, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,not set,not set,"Jan 05, 2015",,Paperback,view,/book/show/23156040-those-who-leave-and-those-who-stay
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Days of Abandonment,"Ferrante, Elena",1933372001,9781933372006,1933372001,188        pp,3.87,"42,758",2002,"Sep 01, 2005",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 05, 2015",,Paperback,view,/book/show/77810.The_Days_of_Abandonment
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hammer Head: The Making of a Carpenter,"MacLaughlin, Nina*",0393239136,9780393239133,0393239136,240        pp,3.73,"1,438","Mar 16, 2015","Mar 16, 2015",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really liked this book! It's beautifully written, with prose smooth as silk (or, um, sanded wood? Oh god, sorry, that's bad). I loved the literary rI really liked this book! It's beautifully written, with prose smooth as silk (or, um, sanded wood? Oh god, sorry, that's bad). I loved the literary references and philosophizing and it's balanced with vivid scenes and descriptions of work. Man, I loved reading about work, about the world of THINGS. MacLaughlin has an assured voice and she is wise, wise, wise. I want her to move to California and build me a bookcase. I highly recommend this one!...more",Notes are private!,0,27,1,not set,not set,"Dec 17, 2014",,Hardcover,view (with text),/book/show/22253729-hammer-head
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Story of a New Name        (The Neapolitan Novels, #2)","Ferrante, Elena",,,1609451341,471        pp,4.44,"179,036","Sep 22, 2012","Sep 03, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Dec 14, 2014","Jan 03, 2015","Dec 14, 2014",,Paperback,view,/book/show/17465515-the-story-of-a-new-name
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Moor's Account,"Lalami, Laila*",0307911667,9780307911667,0307911667,321        pp,4.04,"11,604","Sep 01, 2014","Sep 09, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2014",,Hardcover,view,/book/show/20262502-the-moor-s-account
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brief History of Seven Killings,"James, Marlon",159448600X,9781594486005,159448600X,688        pp,3.89,"34,867","Oct 02, 2014","Oct 02, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2014",,Hardcover,view,/book/show/20893314-a-brief-history-of-seven-killings
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Brave Man Seven Storeys Tall,"Chancellor, Will*",0062280007,9780062280008,0062280007,384        pp,3.44,586,"Jul 08, 2014","Jul 08, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 12, 2014",,Hardcover,view,/book/show/18698840-a-brave-man-seven-storeys-tall
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saint Mazie,"Attenberg, Jami*",1455599883,9781455599882,B00O7X624E,336        pp,3.65,"6,870","Jun 01, 2015","Jun 02, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 10, 2014",,Kindle Edition,view,/book/show/23245422-saint-mazie
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pieces of My Mother: A Memoir,"Cistaro, Melissa*",1492615382,9781492615385,1492615382,320        pp,3.65,"1,289","May 01, 2015","May 05, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 07, 2014",,Hardcover,view,/book/show/23418618-pieces-of-my-mother
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paying Guests,"Waters, Sarah",1594633118,9781594633119,1594633118,564        pp,3.45,"80,149","Aug 28, 2014","Sep 16, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2014",,Hardcover,view,/book/show/20821087-the-paying-guests
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All My Puny Sorrows,"Toews, Miriam",0345808002,9780345808004,0345808002,321        pp,4.00,"28,791","Apr 15, 2014","Apr 15, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Dec 03, 2014",,Hardcover,view,/book/show/18339630-all-my-puny-sorrows
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Brilliant Friend        (My Brilliant Friend #1),"Ferrante, Elena",,,,331        pp,4.04,"332,970","Oct 19, 2011","Sep 25, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I just loved this: passionate and intense and so astute about how people communicate (or don't). It was also an informative look into a working class I just loved this: passionate and intense and so astute about how people communicate (or don't). It was also an informative look into a working class community in Naples, Italy in the 1950s--a rich sense of place and community. The last line--man, I cried out in anguish and confusion and how abrupt it was! I can't wait to read book 2!...more",Notes are private!,0,17,1,"Nov 21, 2014","Dec 03, 2014","Nov 21, 2014",,Paperback,view (with text),/book/show/13586707-my-brilliant-friend
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Redeployment,"Klay, Phil*",1594204993,9781594204999,1594204993,288        pp,3.96,"24,239","Mar 04, 2014","Mar 04, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 19, 2014",,Hardcover,view,/book/show/18114068-redeployment
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book of Strange New Things,"Faber, Michel",055341884X,9780553418842,055341884X,500        pp,3.66,"31,444","Oct 06, 2014","Oct 28, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I liked a lot of this, and I keep coming back to certain details: the way the rain and the air feels to the humans on Oasis; the descriptions of the OI liked a lot of this, and I keep coming back to certain details: the way the rain and the air feels to the humans on Oasis; the descriptions of the Oasans' language--at one point they make a sound like ""a finger cleaving ripe fruit"" (I'm paraphrasing) which I loved so so much; the longing and disconnection between Peter and Bea, his wife. This novel really gets at how challenging distance can be between a couple and I felt Peter's frustration and disconnection, as well as Bea's longing and deep resentment. I was also caught up in Peter's missionary work and these intriguing Jesus Lovers. Certain revelations (ha, pun intended) about the planet's alien species left me breathless.I kept imagining Peter and Bea as older, in their sixties, and I had a very hard time shaking that--my own problem, I know. The novel felt about 100 pages too long overall, like it could have been swifter in various places. I wanted the novel very badly to return to Earth, but I get that's not what Faber had in mind.So, not a perfect book for me, but nevertheless haunting and weird and moving. ...more",Notes are private!,0,7,1,"Dec 03, 2014","Dec 09, 2014","Oct 31, 2014",,Hardcover,view (with text),/book/show/20697435-the-book-of-strange-new-things
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ghost Network,"Disabato, Catie*",1612194346,9781612194349,1612194346,282        pp,3.11,"1,678","May 05, 2015","May 05, 2015",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,not set,not set,"Oct 29, 2014",,Paperback,view,/book/show/22889883-the-ghost-network
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,No Stopping Train,"Plesko, Les*",1593765452,9781593765453,1593765452,336        pp,3.92,64,"Sep 22, 2014","Oct 14, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 26, 2014",,Paperback,view,/book/show/20893869-no-stopping-train
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Animals,"Kiefer, Christian*",087140883X,9780871408839,087140883X,314        pp,3.63,804,"Mar 16, 2015","Mar 23, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,0,not set,not set,"Oct 21, 2014",,Hardcover,view,/book/show/22261058-the-animals
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After Birth,"Albert, Elisa",0544273737,9780544273733,0544273737,198        pp,3.49,"3,795","Jan 01, 2015","Feb 17, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Ferocious, bleak, funny, angry, and all too familiar. I really liked this novel, and found its narrator's voice totally startling and delightful. I waFerocious, bleak, funny, angry, and all too familiar. I really liked this novel, and found its narrator's voice totally startling and delightful. I wanted more from the plot, with the narrator and her riot grrrl neighbor, their friendship, but, then again, I am a plot-lusty reader and almost always have the expectation that a ton will happen and implode. Either way, this is essential reading. A rage-ball!...more",Notes are private!,0,4,1,"Feb 16, 2015","May 18, 2015","Sep 18, 2014",,Hardcover,view (with text),/book/show/20694773-after-birth
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Secret Place        (Dublin Murder Squad, #5)","French, Tana*",0670026328,9780670026326,0670026328,452        pp,3.85,"85,389","Sep 02, 2014","Sep 02, 2014",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I discussed this book with Janet Potter over at The Millions. Janet LOVED it, and I LIKED it.http://www.themillions.com/2014/09/mu...I discussed this book with Janet Potter over at The Millions. Janet LOVED it, and I LIKED it.http://www.themillions.com/2014/09/mu......more",Notes are private!,0,2,1,"Sep 08, 2014","Oct 20, 2014","Sep 08, 2014",,Hardcover,view (with text),/book/show/20821043-the-secret-place
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Left Hand of Darkness,"Le Guin, Ursula K.",,,,304        pp,4.10,"181,980",1969,"Jul 01, 2000",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Part of me loved this, but I have a ton of reading to do for work so I set this aside. I read about half and was both inspired and challenged by what Part of me loved this, but I have a ton of reading to do for work so I set this aside. I read about half and was both inspired and challenged by what I'd read...but I also never felt like picking it up. I didn't read at all over the weekend. That depresses me. I hope to return to this strange book when I'm in a different mindset....more",Notes are private!,0,2,1,not set,not set,"Aug 31, 2014",,Paperback,view (with text),/book/show/18423.The_Left_Hand_of_Darkness
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Great Glass Sea,"Weil, Josh*",0802122159,9780802122155,0802122159,474        pp,3.46,495,"Jul 01, 2014","Jul 01, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 29, 2014",,Hardcover,view,/book/show/18492640-the-great-glass-sea
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Stay Up With Me,"Barbash, Tom",,,B00BATNLPQ,224        pp,3.83,"1,147","Sep 10, 2013","Sep 10, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I can't remember the last time I found a story collection so readable.I can't remember the last time I found a story collection so readable....more,Notes are private!,0,2,1,"Aug 29, 2014","Sep 08, 2014","Aug 29, 2014",,Kindle Edition,view (with text),/book/show/15824461-stay-up-with-me
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Custom of the Country,"Wharton, Edith",0143039709,9780143039709,0143039709,370        pp,4.06,"13,972",1913,"May 30, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Undine Spragg! You are spectacularly named! You are also difficult and horrible and pitiful! And also so complex and fun to read about! ""She had everyUndine Spragg! You are spectacularly named! You are also difficult and horrible and pitiful! And also so complex and fun to read about! ""She had everything she wanted, but she still felt, at times, that there were other things she might want if she knew about them.""God, I love Edith Wharton....more",Notes are private!,0,4,1,"Aug 14, 2014","Aug 29, 2014","Aug 14, 2014",,Paperback,view (with text),/book/show/26950.The_Custom_of_the_Country
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Triggering Town: Lectures and Essays on Poetry and Writing,"Hugo, Richard",039333872X,9780393338720,039333872X,128        pp,4.17,"2,938","Nov 30, 1978","Aug 09, 2010",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I bought this book at Elliott Bay in Seattle, lured by the new cover. I'd heard so many things about it from other writers and writing teachers, and wI bought this book at Elliott Bay in Seattle, lured by the new cover. I'd heard so many things about it from other writers and writing teachers, and was glad to finally read the thing myself. I loved the first half--Hugo says a lot of wise stuff about the triggering subject, and about the way words sound. There's a great exercise, too, which I may try someday when my fiction needs a jolt of poetry. The latter half felt somewhat unfocused, as books that are really a collection of lectures can sometimes feel, but overall I enjoyed this one and would like to return to it as a teacher and a writer....more",Notes are private!,0,0,1,not set,not set,"Aug 14, 2014",,Paperback,view (with text),/book/show/8771372-the-triggering-town
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Deep Down Dark: The Untold Stories of 33 Men Buried in a Chilean Mine, and the Miracle That Set Them Free","Tobar, Héctor",1427244502,9781427244505,1427244502,14        pp,3.92,"11,561","Oct 07, 2014","Oct 07, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2014",,Audio CD,view,/book/show/20696430-deep-down-dark
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Hundred-Year House,"Makkai, Rebecca*",052542668X,9780525426684,052542668X,338        pp,3.45,"11,840","Jul 10, 2014","Jul 10, 2014",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 15, 2014",,Hardcover,view,/book/show/18693644-the-hundred-year-house
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Burning Song,"Billingsley, L.J.*",,,B00FRKFO40,189        pp,4.60,10,"Sep 01, 2013","Sep 01, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jul 05, 2014",,Kindle Edition,view,/book/show/18679201-the-burning-song
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Motor City Burning,"Morris, Bill",1605985732,9781605985732,1605985732,288        pp,3.67,154,"Jul 08, 2014","Jul 15, 2014",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Elegant, compelling, beautiful.",Notes are private!,0,0,1,"Jun 17, 2014","Jun 30, 2014","Jun 17, 2014",,Hardcover,view (with text),/book/show/18476772-motor-city-burning
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fools: Stories,"Silber, Joan",0393088707,9780393088700,0393088707,256        pp,3.74,922,"May 13, 2013","May 13, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jun 16, 2014",,Hardcover,view,/book/show/16241145-fools
