,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Tori's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How to Be Animal: A New History of What It Means to Be Human,"Challenger, Melanie*",0143134353,9780143134350,0143134353,272        pp,3.66,665,"Jun 25, 2020","Mar 23, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 12, 2023",,Paperback,view,/book/show/54732978-how-to-be-animal
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Who Cooked the Last Supper: The Women's History of the World,"Miles, Rosalind",0609806955,9780609806951,0609806955,352        pp,3.81,"3,166","Apr 01, 1989","Apr 10, 2001",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 10, 2023",,Paperback,view,/book/show/56354.Who_Cooked_the_Last_Supper
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Drive Your Plow Over the Bones of the Dead,"Tokarczuk, Olga",0525541330,9780525541332,0525541330,274        pp,3.96,"100,305","Nov 25, 2009","Aug 13, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"she didn't do a single thing wrongLife is like an extremely demanding testing ground. From now on everything you do will count, every thought and evershe didn't do a single thing wrongLife is like an extremely demanding testing ground. From now on everything you do will count, every thought and every deed, but not for you to be punished or rewarded afterward, but because it is they that build your world. ...more",Notes are private!,0,2,1,"Apr 10, 2023","Apr 12, 2023","Apr 10, 2023",,Hardcover,view (with text),/book/show/42983724-drive-your-plow-over-the-bones-of-the-dead
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Torturer        (The Book of the New Sun, #1)","Wolfe, Gene",0671540661,9780671540661,0671540661,262        pp,3.83,"29,378",May 1980,"Jun 03, 1984",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Paperback,view,/book/show/60211.The_Shadow_of_the_Torturer
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Darker Shade of Magic        (Shades of Magic, #1)","Schwab, V.E.*",0765376458,9780765376459,0765376458,400        pp,4.06,"361,667","Feb 24, 2015","Feb 24, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/22055262-a-darker-shade-of-magic
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Outlawed,"North, Anna*",,,,261        pp,3.52,"71,604","Jan 05, 2021","Jan 05, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/50997696-outlawed
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bellman & Black,"Setterfield, Diane*",147671195X,9781476711959,147671195X,328        pp,3.17,"18,777","Nov 05, 2013","Nov 05, 2013",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/17571907-bellman-black
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Briefly, A Delicious Life","Stevens, Nell",1982190949,9781982190941,1982190949,304        pp,3.77,"5,420","Jul 19, 2022","Jul 19, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/59366260-briefly-a-delicious-life
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Book That No One Wanted to Read,"Ayoade, Richard",153622216X,9781536222166,153622216X,128        pp,3.74,"2,808","Oct 06, 2022","Mar 14, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/61851518-the-book-that-no-one-wanted-to-read
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ruthless Lady's Guide to Wizardry        (Unnatural Magic, #2)","Waggoner, C.M.",198480586X,9781984805867,198480586X,371        pp,3.75,"6,201","Jan 12, 2021","Jan 12, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Paperback,view,/book/show/52448445-the-ruthless-lady-s-guide-to-wizardry
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Absolute Book,"Knox, Elizabeth*",0593296737,9780593296738,0593296737,640        pp,3.22,"4,928",Sep 2019,"Feb 09, 2021",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/54735156-the-absolute-book
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The God of Endings,"Holland, Jacqueline*",1250856760,9781250856760,1250856760,480        pp,3.78,"6,513","Mar 07, 2023","Mar 07, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Hardcover,view,/book/show/60784372-the-god-of-endings
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dawn        (Xenogenesis, #1)","Butler, Octavia E.",0446603775,9780446603775,0446603775,248        pp,4.15,"51,517",May 1987,Apr 1997,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 09, 2023",,Paperback,view,/book/show/60929.Dawn
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Jonathan Strange & Mr. Norrell,"Clarke, Susanna",,,,"1,006        pp",3.86,"236,384","Sep 08, 2004","Aug 01, 2006",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/14201.Jonathan_Strange_Mr_Norrell
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Magicians        (The Magicians, #1)","Grossman, Lev*",0670020559,9780670020553,0670020559,402        pp,3.53,"262,834","Aug 11, 2009","Aug 11, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Hardcover,view,/book/show/6101718-the-magicians
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bunny,"Awad, Mona*",0525559736,9780525559733,0525559736,307        pp,3.52,"191,009","Jun 11, 2019","Jun 11, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Hardcover,view,/book/show/42815544-bunny
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rebecca,"du Maurier, Daphne",,,,410        pp,4.24,"628,936",Aug 1938,2006,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/594139.Rebecca
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Her Fearful Symmetry,"Niffenegger, Audrey*",1439165394,9781439165393,1439165394,406        pp,3.26,"94,290","Sep 29, 2009","Sep 29, 2009",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Hardcover,view,/book/show/6404538-her-fearful-symmetry
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Coward Does it with a Kiss,"Piercy, Rohase*",1999890124,9781999890124,1999890124,198        pp,4.67,9,"Nov 15, 1990","Mar 31, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/44805865-the-coward-does-it-with-a-kiss
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Dearest Holmes,"Piercy, Rohase*",1999890116,9781999890117,1999890116,230        pp,4.16,"1,667","Apr 14, 1988","Apr 14, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/38226023-my-dearest-holmes
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Loneliest Girl in the Universe,"James, Lauren*",1406375470,9781406375473,1406375470,290        pp,3.74,"22,158","Jul 03, 2018","Jul 03, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Paperback,view,/book/show/32601841-the-loneliest-girl-in-the-universe
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Less        (Arthur Less, #1)","Greer, Andrew Sean",,,B01MSICPW3,273        pp,3.64,"203,366","Jul 18, 2017","Jul 18, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 08, 2023",,Kindle Edition,view,/book/show/39927096-less
51,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Kingdoms,"Pulley, Natasha",1635576083,9781635576085,1635576083,448        pp,4.04,"9,117","May 25, 2021","May 25, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,happy ending: :)sad ending: :(bittersweet ending: i'm going to think about this every day for the rest of my lifeevery natasha pulley book is the samehappy ending: :)sad ending: :(bittersweet ending: i'm going to think about this every day for the rest of my lifeevery natasha pulley book is the same and brother i'm bawling every time...more,Notes are private!,0,2,1,"Apr 04, 2023","Apr 06, 2023","Apr 06, 2023",,Hardcover,view (with text),/book/show/54680112-the-kingdoms
52,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hags: The Demonisation of Middle-Aged Women,"Dutchman-Smith, Victoria",0349726965,9780349726960,0349726965,368        pp,3.79,482,"Mar 02, 2023","Mar 02, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Apr 03, 2023",,Hardcover,view,/book/show/61086853-hags
53,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Seven Deaths of Evelyn Hardcastle,"Turton, Stuart*",,,1408889560,505        pp,3.83,"374,939","Feb 08, 2018","Feb 08, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Mar 23, 2023",Apr 2023,"Apr 03, 2023",,Hardcover,view,/book/show/35967101-the-seven-deaths-of-evelyn-hardcastle
54,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Kallocain,"Boye, Karin",0241355583,9780241355589,0241355583,192        pp,3.72,"12,538",1940,"Nov 28, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jun 10, 2023","Jun 20, 2023","Apr 03, 2023",,Paperback,view,/book/show/43685221-kallocain
55,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Half Life of Valery K,"Pulley, Natasha",1635573270,9781635573275,1635573270,375        pp,4.21,"4,158","Jun 23, 2022","Jul 26, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,MY GOD SHE'S DONE IT AGAINMY GOD SHE'S DONE IT AGAIN...more,Notes are private!,0,3,1,"Feb 09, 2023","Feb 13, 2023","Feb 09, 2023",,Hardcover,view (with text),/book/show/58532153-the-half-life-of-valery-k
56,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let The Great World Spin,"McCann, Colum*",1554684838,9781554684830,1554684838,349        pp,3.95,"104,956","Jun 16, 2009","Jan 26, 2010",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This one was fine. Some excellent writing, easy to read and evocative imagery. But it didn't really make me think, learn, or feel and that's what I'm This one was fine. Some excellent writing, easy to read and evocative imagery. But it didn't really make me think, learn, or feel and that's what I'm after in any book. My biggest takeaway is that the author wrote from perspectives he couldn't represent well; and while it's clear his intention was to humanize it ended up having an othering effect on the female characters, women of colour in particular. ...more",Notes are private!,0,2,1,"Jan 17, 2023","Feb 08, 2023","Jan 17, 2023",,Paperback,view (with text),/book/show/6561429-let-the-great-world-spin
57,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fangs,"Andersen, Sarah*",,,,115        pp,4.24,"42,560","Sep 01, 2020","Sep 01, 2020",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"this was cute but was pretty empty, to me. i bought it on a whim because it seemed like My Kind Of Thing but i would've preferred the 4 minutes it toothis was cute but was pretty empty, to me. i bought it on a whim because it seemed like My Kind Of Thing but i would've preferred the 4 minutes it took me to read it cover-to-cover have been online in a webcomic instead of in a hardcover book. i'm returning the book :/ oh well can't win em all...more",Notes are private!,0,1,1,"Oct 16, 2020","Oct 16, 2020","Oct 16, 2020",,Kindle Edition,view (with text),/book/show/54911057-fangs
