,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Karolyn's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,What I Loved,"Hustvedt, Siri",,,,370        pp,4.08,"19,904",2002,2003,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 30, 2023",,Paperback,view,/book/show/125502.What_I_Loved
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Giver        (The Giver, #1)","Lowry, Lois*",0385732554,9780385732550,0385732554,208        pp,4.12,"2,478,464","Apr 26, 1993","Jan 24, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Author Philip Pullman once said: ""There are some themes, some subjects, too large for adult fiction; they can only be dealt with adequately in a childAuthor Philip Pullman once said: ""There are some themes, some subjects, too large for adult fiction; they can only be dealt with adequately in a children's book."" Pullman may have had THE GIVER, by Lois Lowry, in mind when he said that. Written in 1993, of course I had heard of this book, but it wasn't until an 11-year-old recently told me how much she loved it that I decided I was overdue to read it. Plus it's really short and I needed one more book to complete my GR challenge. Whatever the reason, if you haven't read The Giver, do it. Dystopian fiction? Science fiction? Magical realism? This story has elements of unreality that thrust the world of Jonas and his family into a vivid and shocking reality. Part The Handmaid's Tale, part The Stepford Wives, the community in which Jonas lives has a lot of rules but no freedom. Jonas is the perfect character to shatter the illusions that the Committee has created for its inhabitants. But at a cost, naturally. FIVE tragic STARS...more",Notes are private!,0,0,1,"Dec 27, 2023","Dec 30, 2023","Nov 30, 2023",,Paperback,view (with text),/book/show/3636.The_Giver
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Vulnerables,"Nunez, Sigrid",0593715519,9780593715512,0593715519,256        pp,3.66,"6,035","Nov 07, 2023","Nov 07, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This was my first book by Sigrid Nunez. What a unique voice she has! Nunez is a writers' writer: she quotes and references other great writers (ProustThis was my first book by Sigrid Nunez. What a unique voice she has! Nunez is a writers' writer: she quotes and references other great writers (Proust, Woolf, Didion, et al) and their styles and methods of writing. I found this interesting, but not sure everyone would.The Vulnerables is a pandemic book. It chronicles the unnamed narrator through lockdown in NYC. For me, just enough time has passed that I was able to appreciate (and to an extent smile at) the reminders of that hell. (Remember wiping down our delivered groceries because we thought they might have the coronavirus germs?) When the narrator has to share an apartment in the city with a troubled young man as they both take on the task of caring for a mutual friend's parrot, Nunez touches on humanity and people's idiosyncrasies in full color. This book would be a good one to reread someday.Four Stars...more",Notes are private!,0,0,1,"Feb 03, 2024","Feb 10, 2024","Nov 30, 2023",,Hardcover,view (with text),/book/show/125930473-the-vulnerables
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Unruly: A History of England's Kings and Queens,"Mitchell, David",1405953179,9781405953177,1405953179,431        pp,4.19,"9,321","Sep 28, 2023","Jan 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Nov 21, 2023",,Hardcover,view,/book/show/150038752-unruly
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Shadow of the Wind        (The Cemetery of Forgotten Books, #1)","Ruiz Zafón, Carlos",,,,487        pp,4.30,"635,465",May 2001,2005,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Mystery, romance, intrigue, humor ... this book has it all. Maybe too much of it all. Set in Barcelona in the early 20th century, THE SHADOW OF THE WIMystery, romance, intrigue, humor ... this book has it all. Maybe too much of it all. Set in Barcelona in the early 20th century, THE SHADOW OF THE WIND, by Carols Ruiz Safón, is the story of Daniel who finds the last known copy a book and wants to know more about the author. Except the author is a mystery himself, and someone is actively acquiring and burning all of the author's books. The deeper Daniel gets into his search, the more trouble and terror he finds. Fortunately, the story is lightened a bit by minor characters who add comic relief.I found this book overly long, going off on unnecessary tangents and details. I liked it but not enough to recommend it to very many people.THREE mysterious STARS...more",Notes are private!,0,1,1,Nov 2023,"Nov 14, 2023","Nov 14, 2023",,Paperback,view (with text),/book/show/1232.The_Shadow_of_the_Wind
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Maid's Diary,"White, Loreth Anne*",1542034469,9781542034463,B09TZM8CZK,369        pp,4.25,"63,878","Mar 01, 2023","Mar 01, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Not a bad premise, but also not terribly original. Fortunately the ending saved the book for me—I wanted to know how it would resolve—but the dialogueNot a bad premise, but also not terribly original. Fortunately the ending saved the book for me—I wanted to know how it would resolve—but the dialogue throughout was pedestrian and clunky. Also, I listened to the audio book which was a mistake; the narrator struggled (and failed) with the various accents.Two and a half stars, rounded down ...more",Notes are private!,0,0,1,"Dec 07, 2023","Dec 14, 2023","Nov 14, 2023",,Kindle Edition,view (with text),/book/show/60588456-the-maid-s-diary
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Beyond That, the Sea","Spence-Ash, Laura*",1250854377,9781250854377,1250854377,351        pp,4.26,"33,364","Mar 21, 2023","Mar 21, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Such a sweet and touching story. I loved it. It's especially amazing considering it's a debut novel by Laura Spence-Ash. Her writing is clean and lyriSuch a sweet and touching story. I loved it. It's especially amazing considering it's a debut novel by Laura Spence-Ash. Her writing is clean and lyrical, truly lovely. There is just enough atmosphere and description to make you feel like you're living in the novel with out any ""boring parts.""BEYOND THAT, THE SEA is the story of Beatrix, a young British girl who is sent to America by her parents at the start of WWII. Apparently that wasn't uncommon, though I didn't know anyone did that. Eleven-year-old Beatrix, soon known as Bea, lives with the Gregorys: mother, father, and two boys: William, 13, and Gerald, 9. We can see immediately there might be feelings between Bea and the boys; that is just one storyline that kept me turning the pages. After the war, Bea returns to London, a strange and different world. I recommend this to anyone who loves historical fiction. FIVE wavy STARS...more",Notes are private!,0,0,1,"Nov 16, 2023","Nov 21, 2023","Nov 14, 2023",,Hardcover,view (with text),/book/show/60784759-beyond-that-the-sea
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Heaven & Earth Grocery Store,"McBride, James*",0593422945,9780593422946,0593422945,380        pp,4.08,"129,291","Aug 08, 2023","Aug 08, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Oct 08, 2023",not set,"Oct 08, 2023",,Hardcover,view,/book/show/65678550-the-heaven-earth-grocery-store
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Running Grave,"Galbraith, Robert",1668635194,9781668635193,,unknown,4.62,"65,771","Sep 26, 2023","Sep 26, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I really enjoy the Cormoran Strike/Robin Ellacott detective series, though they are beginning to run together. Galbraith (aka JK Rowling) is—duh—an exI really enjoy the Cormoran Strike/Robin Ellacott detective series, though they are beginning to run together. Galbraith (aka JK Rowling) is—duh—an excellent storyteller. The book is gripping with just the right amount (ie. not too much) of graphic detail to give a serious story the gravitas it demands. In this one, Robin must infiltrate a religious sect, commonly believed to be a cult, in order to get a man out after his father becomes worried about him. Most enjoyable for me, though, is the relationship between Strike and Robin. I will definitely read every one of these novels.FOUR intense STARS...more",Notes are private!,0,0,1,"Oct 08, 2023","Nov 07, 2023","Oct 08, 2023",,Audiobook,view (with text),/book/show/140405046-the-running-grave
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Murmur of Bees,"Segovia, Sofía*",,,1721357491,unknown,4.24,"64,865","Mar 01, 2015",unknown,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 21, 2023","Dec 20, 2023","Aug 01, 2023",,Audible Audio,view,/book/show/45311211-the-murmur-of-bees
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Family Lexicon,"Ginzburg, Natalia",1590178386,9781590178386,1590178386,224        pp,3.91,"17,865",1963,"Apr 25, 2017",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"With an upcoming trip to Italy, I was eager to start this book club book. The story of a large Italian family living under Mussolini's rule, I thoughtWith an upcoming trip to Italy, I was eager to start this book club book. The story of a large Italian family living under Mussolini's rule, I thought this would offer an interesting insight into the country I was about to visit. I tried to like it, I really did. Unfortunately, I found it small instead of large. The scenes were more specific to the author's family and less universal about the country and the times they lived in.Two familiar Stars...more",Notes are private!,0,0,1,"Aug 26, 2023","Sep 07, 2023","Aug 01, 2023",,Paperback,view (with text),/book/show/22856213-family-lexicon
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hare with Amber Eyes,"de Waal, Edmund",1250811279,9781250811271,1250811279,368        pp,3.94,"57,500","Aug 31, 2010","May 04, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book wasn't what I expected. It's billed as a memoir about a man's collection of small, Japanese netsuke: tiny sculptures that attached to obis tThis book wasn't what I expected. It's billed as a memoir about a man's collection of small, Japanese netsuke: tiny sculptures that attached to obis to counterbalance a small packet. They were gorgeous, delicate objects made of ivory or wood. But the book is also about Edmund de Waal's illustrious Jewish family, the Ephrussis, from the late 1800s in Paris through WWII and into the 70s and beyond, ending in Japan and England. Their family, previously unknown to me, were contemporaries with the Rothschilds and friends of Manet, Proust, Renoir, etc. This is an amazing, sad story of one family's survival and the surprising way that their collection of nearly 300 netsukes survived as their only possession. It is beautifully written and certain editions have lovely color photos. Look for one of those editions if you want to read this.FOUR delicate STARS...more",Notes are private!,0,0,1,Oct 2023,"Oct 15, 2023","Aug 01, 2023",,Paperback,view (with text),/book/show/55623370-hare-with-amber-eyes
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Going Zero,"McCarten, Anthony*",006322707X,9780063227071,006322707X,304        pp,3.89,"9,925","Apr 11, 2023","Apr 11, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Anthony McCarten is more famous for being a filmmaker (The Theory of Everything, The Darkest Hour, The Two Popes ... ) but whether film or books, boy Anthony McCarten is more famous for being a filmmaker (The Theory of Everything, The Darkest Hour, The Two Popes ... ) but whether film or books, boy is he a storyteller! GOING ZERO is about ten people (5 lay people, 5 professionals) who attempt to go off the grid for 30 days for the chance to win $3,000,000. A big tech company run by the cocky Cy Baxter teams up with the CIA to test their ability to find anyone. We know from the description that librarian Kaitlin Day is assumed to be an easy person to catch. I thought that would ruin the ending, but it doesn't. There are enough twists and turns here to keep you turning the pages as fast as you can. This book brings up enough controversy (pros and cons) of surveillance, facial recognition, and national security to keep readers engaged in that debate for a long time to come....more",Notes are private!,0,0,1,"Jul 13, 2023","Jul 23, 2023","Aug 01, 2023",,Hardcover,view (with text),/book/show/60833953-going-zero
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,779","Aug 01, 2023","Aug 01, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Kurt Vonnegut once said no book should have a prologue. I think TOM LAKE, by Ann Patchett, needs a prologue. It has a good premise: during the Covid-1Kurt Vonnegut once said no book should have a prologue. I think TOM LAKE, by Ann Patchett, needs a prologue. It has a good premise: during the Covid-19 lockdown a mother of three grown daughters tells them about the summer she dated a famous movie star—before he was famous. But it doesn't start there at all. It starts with the mother as a teenager, the first time she auditioned for Emily in the play of Our Town. The mother, Lara, was ""discovered"" by a Hollywood agent in the play and flown out to California to star in a movie. While waiting for the movie to premiere, she finds herself in Tom Lake, Michigan, doing summer stock, with Peter Duke, an actor who later became an A List movie star. It's a sweet story, very character driven, but it's slow and quiet. Meryl Streep narrated the audiobook, which was both a plus and a minus. I mean, it's Meryl Streep, but you never lost yourself in the story because it's Meryl Streep. Then at the very end, there's a strong political message. That surprised me.I am a big fan of Ann Patchett, but this wasn't my favorite book of hers.THREE STARS...more",Notes are private!,0,2,1,"Aug 04, 2023","Aug 20, 2023","Jul 25, 2023",,Hardcover,view (with text),/book/show/63241104-tom-lake
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Legends of the Fall,"Harrison, Jim",0385285965,9780385285964,0385285965,276        pp,4.04,"11,788",1979,"May 01, 1980",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"LEGENDS OF THE FALL, by Jim Harrison, was chosen for my book club as a simple summer read. Written in 1979, it tells the story of the Ludlow family, aLEGENDS OF THE FALL, by Jim Harrison, was chosen for my book club as a simple summer read. Written in 1979, it tells the story of the Ludlow family, a Civil War Colonel and his three sons who have moved to Montana to avoid the government after seeing what they did to Native American Indians. It's a majestic, tragic story mixed with love and loss. It'll rip your heart out, reader.And here's where I go rogue. I saw the movie from 1994, starring Anthony Hopkins, Brad Pitt, and a stellar supporting cast, most notably Julia Ormand who plays Susannah, the woman who changes every Ludlow man's life. I read the book for my book club, then watched the movie again. I have to say this is a rare instance where I liked the movie better than the book. The book jumps around the globe (Montana, Boston, the oceans wild ...) but the movie stays more centered on Montana. I found it more cohesive and focused. Harrison is said to have written this book in under two weeks, changing only one word for his second and final draft. Hmm. Anyway, it's a powerful family tragedy, but I recommend the movie over the book....more",Notes are private!,0,0,1,"Jul 05, 2023","Jul 12, 2023","Jun 21, 2023",,Paperback,view (with text),/book/show/395397.Legends_of_the_Fall
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Covenant of Water,"Verghese, Abraham*",,,,724        pp,4.47,"150,590","May 02, 2023","May 02, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"One thing has become perfectly clear: I have a different taste in books from Oprah Winfrey. Oprah chose this for her book club and said she ranks it iOne thing has become perfectly clear: I have a different taste in books from Oprah Winfrey. Oprah chose this for her book club and said she ranks it in her Top Five Favorite Books of all time. Well, not me. THE COVENANT OF WATER, by Abraham Verghese, is a 700-page family saga/medical drama/love story. Verghese's writing never got in the way of the story, except when it came to the medical scenes. As a doctor, I understand he had to write those parts accurately, but only other doctors likely appreciated that. The novel takes place in India from 1900-1977, and I enjoyed learning about India's rich history and culture, but overall I found the book slow and overly long. It has a nice message, but I was eager to finish it.TWO soggy STARS...more",Notes are private!,0,0,1,"Jun 21, 2023","Aug 25, 2023","May 19, 2023",,Hardcover,view (with text),/book/show/62687857-the-covenant-of-water
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Summer After,"Fortune, Carley*",0593438531,9780593438534,0593438531,320        pp,4.22,"512,663","May 10, 2022","May 10, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I listened to this one for something ""light"" based on its good s. Goodreads really needs to have genre-specific ratings. This book is obviously I listened to this one for something ""light"" based on its good s. Goodreads really needs to have genre-specific ratings. This book is obviously popular within its target audience, but it doesn't deserve such a high overall rating, IMO. EVERY SUMMER AFTER is the story of a 30-something magazine editor who goes ""home"" for the funeral of her ex-boyfriend's mother. It easily could have been a ""women's fiction"" beach read, but much of the story was told in flashbacks to their teenage years. That part of the story felt like YA. But some scenes (flashback and present-day) were fairly graphic for YA, to the point of being Romance. I'm okay with Romance (""sex on the page"") but I've never known anyone as obsessed with ""sucking his bottom lip"" as this author. I might have liked it better if it had had a different editor.TWO sucky STARS...more",Notes are private!,0,1,1,"May 06, 2023","May 14, 2023","May 01, 2023",,Paperback,view (with text),/book/show/58014893-every-summer-after
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Wrong Place Wrong Time,"McAllister, Gillian*",0063252341,9780063252349,0063252341,416        pp,4.01,"305,324","May 12, 2022","Aug 02, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"WRONG PLACE WRONG TIME, by Gillian McAllister, is a time-loop mystery. You have to buy into the premise, but McAllister does a very good job of makingWRONG PLACE WRONG TIME, by Gillian McAllister, is a time-loop mystery. You have to buy into the premise, but McAllister does a very good job of making it believable. The story was engaging and exciting. I listened to it, and really couldn't wait to get back to the story any time I had to break away. After her son commits a murder (no spoiler there), Jenn keeps waking up on days in the past, days before the murder. She realizes she's being given the chance to relive her life, in hopes—she thinks—of being able to stop the murder. You'll have to read it yourself to find out if she does!This is a good story, and I recommend it. FOUR timeless STARS...more",Notes are private!,0,0,1,"Apr 26, 2023",May 2023,"Apr 28, 2023",,Hardcover,view (with text),/book/show/59947696-wrong-place-wrong-time
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,I Have Some Questions For You,"Makkai, Rebecca*",0593490150,,B09ZRWP8DS,448        pp,3.62,"101,915","Feb 21, 2023","Feb 21, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This book is powerful. The story doesn't hit you over the head right away; it seeps into your core until it makes you feel almost nauseous at the trutThis book is powerful. The story doesn't hit you over the head right away; it seeps into your core until it makes you feel almost nauseous at the truth it reveals. I read it (listened to it) twice because there's so much to it.I HAVE SOME QUESTIONS FOR YOU, by Rebecca Makkai, isn't a classic whodunit, per se. Yes, a girl dies and the story is about getting to the truth of her murder. But the book goes deeper and makes a subtle statement on the reality of our world today. I highly recommend this book. It could be read as a simple mystery, but it has so much more gravitas than that. Read it. You'll see....more",Notes are private!,0,1,1,"Jun 21, 2023","Jul 11, 2023","Mar 30, 2023",,Kindle Edition,view (with text),/book/show/61053833-i-have-some-questions-for-you
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Hello Beautiful,"Napolitano, Ann*",,,B0B7R4Q5DJ,416        pp,4.18,"297,722","Mar 14, 2023","Mar 14, 2023",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I am in the minority here, but HELLO, BEAUTIFUL, by Ann Napolitano, really fell flat for me. I loved her previous book, DEAR EDWARD, so I had been looI am in the minority here, but HELLO, BEAUTIFUL, by Ann Napolitano, really fell flat for me. I loved her previous book, DEAR EDWARD, so I had been looking forward to this one. Plus Oprah raved about it. But not me. I never got drawn into it, emotionally.Hello Beautiful follows four sisters in Chicago, from their teenage years through their 40s. They are extremely close—until they're not. And then of course something brings them back together. This story was mostly Telling, not Showing. Isn't ""show, don't tell"" one of the first rules of good writing? Even the title is an example: At one point, the sisters mentioned that their father always greeted them with ""Hello, beautiful,"" but I'm pretty sure he said that only once. Napolitano had to tell us that he always said it; she could have just included that in the father's scenes. Regardless, I felt the characters reactions to the (multiple) rifts in this family were overblown. TWO windy STARS...more",Notes are private!,1,1,1,"Mar 30, 2023","May 02, 2023","Mar 14, 2023",,Kindle Edition,view (with text),/book/show/61771675-hello-beautiful
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Guest List,"Foley, Lucy",,,B07WG8L7WC,319        pp,3.82,"995,906","Feb 20, 2020","Jun 02, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"THE GUEST LIST, by Lucy Foley, is pitched as an Agatha Christie-like mystery. That's pretty bold, but it's easy to see why. THE GUEST LIST takes placeTHE GUEST LIST, by Lucy Foley, is pitched as an Agatha Christie-like mystery. That's pretty bold, but it's easy to see why. THE GUEST LIST takes place on a remote island off the coast of Ireland, and Foley casts shade on multiple characters (two common features of AG). But this is more suspense novel than mystery novel because we don't know until almost the end who ends up dead. Plus there is no detective. The killer admits guilt in the end.It's a good story and strong cautionary tale: If you wrong people, it just may come back to haunt you.THREE and-a-half stormy STARS, rounded down because of too many coincidences...more",Notes are private!,0,0,1,not set,not set,"Mar 14, 2023",,Kindle Edition,view (with text),/book/show/52656911-the-guest-list
