,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Michele's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,All That Is,"Salter, James",1400043131,9781400043132,1400043131,290        pp,3.37,"7,905",2013,"Apr 02, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Hardcover,view,/book/show/13330444-all-that-is
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Defending Jacob,William Landay*,044024613X,9780440246138,044024613X,496        pp,4.00,"298,311","Jan 31, 2012","Feb 26, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Mass Market Paperback,view,/book/show/16030681-defending-jacob
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Grapes of Wrath,"Steinbeck, John",0143039431,9780143039433,0143039431,464        pp,4.01,"906,429","Apr 14, 1939","Mar 28, 2006",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Sep 09, 2014",,Paperback,view,/book/show/4397.The_Grapes_of_Wrath
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Mary Coin,"Silver, Marisa*",0399160701,9780399160707,0399160701,324        pp,3.91,"9,081","Mar 07, 2013","Mar 07, 2013",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Apr 09, 2014",,Hardcover,view,/book/show/15808322-mary-coin
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Unlikely Pilgrimage of Harold Fry        (Harold Fry, #1)","Joyce, Rachel",0812993292,9780812993295,0812993292,320        pp,3.94,"181,067","Mar 15, 2012","Jul 24, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Feb 24, 2014",,Hardcover,view,/book/show/13227454-the-unlikely-pilgrimage-of-harold-fry
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ghana Must Go,"Selasi, Taiye",1594204497,9781594204494,1594204497,336        pp,3.85,"11,749","Mar 05, 2013","Mar 05, 2013",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,I had to restart this book about four times as the writing style took a while to catch my attention. I felt it was a worthy read.,Notes are private!,0,0,1,"Oct 22, 2013","Nov 09, 2013","Oct 22, 2013",,Hardcover,view (with text),/book/show/15811505-ghana-must-go
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Twin Pact,"Horner, Eleanor C.*",1453633308,9781453633304,1453633308,222        pp,5.00,2,"Jul 19, 2010","Jul 19, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Starts With a Suicide . . . Ends With a ??This story follows all the rules of good storytelling and I was riveted from the first page. Told from the pStarts With a Suicide . . . Ends With a ??This story follows all the rules of good storytelling and I was riveted from the first page. Told from the perspective of a 24 year-old woman, she copes with the aftermath of her twin sister's very public and quite spectacular suicide. Margaret (Maggie) and Michelle (Shell) were identical, mirror-image twins who shared a life and a language, and even though they had been apart physically as young adults (one in NY and one in LA), in spirit they were inseparable. The surviving twin, Maggie, is a Juilliard-trained violinist. She uses lyrical reference to disclose her feelings about her sister, an accomplished artist, and the suicide. The author writes in present tense to follow Maggie from LA, where her sister lived, to Moon, Alaska, where she intends to spread her sister's ashes. Connected so closely with her sister, Maggie appears to believe that her own suicide is now in order and she plans it. The author switches to past tense throughout Maggie's journey to tell a series of anecdotal stories about the twins' life together growing up. We come to know the twins intimately and they are fascinating. With each page I fell more in love with them and wondered and worried, would Maggie follow suit and commit her own suicide? I turned pages at rapid rate to find out.Unfortunately, the version I read had an inordinate number of typos; however, I must say, the writing was so good and the story so powerful that I wasn't distracted by them. I mention it only because material this good demands a decent copy editor prior to its next printing.Very well done and I highly recommend this book to readers looking for strong storytelling and character development....more",Notes are private!,0,0,1,not set,"Sep 10, 2013","Sep 11, 2013",,Paperback,view (with text),/book/show/13337605-twin-pact
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Gift of Rain,Tan Twan Eng,,,,447        pp,4.27,"15,474",2007,2007,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"TransportingThis is a beautifully written story about love and loyalty, friendship and family. Set during World War II amid the Japanese occupation ofTransportingThis is a beautifully written story about love and loyalty, friendship and family. Set during World War II amid the Japanese occupation of Malaya, there is a rich blend of cultures and conflicts, personal and global. The narrator, Philip, is a child of dual heritage (British and Chinese) who recounts his struggle to find his place in a chaotic world. From a vantage point some 50 years after the War, he explains his past actions leading to his decisions to work with the Japanese to a friend of his former sensei, Endo-san. Philip exhibits such detailed and vivid descriptions—sights, sounds, smells, feelings—that the reader forgets he is relating from memory.Ultimately Philip learns to “accept that there are things in this world we can never explain and life will be understandable. That is the irony of life. It is also the beauty of it.” He also learns to understand why, at an early age, a fortune-teller said he was born with the “gift of rain.” The rains (monsoons) figure prominently throughout the landscape of the story.I highly recommend this book....more",Notes are private!,0,3,1,not set,"Sep 04, 2013","Sep 05, 2013",,Paperback,view (with text),/book/show/1219949.The_Gift_of_Rain
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Best Kept Secret,"Hatvany, Amy*",1439193312,9781439193310,1439193312,352        pp,3.83,"5,206","May 23, 2011","Jun 07, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"The Human Condition: One Woman’s StoryThis story covers a relatively short period of time in a woman’s life. Best Kept Secret reveals the secret oThe Human Condition: One Woman’s StoryThis story covers a relatively short period of time in a woman’s life. Best Kept Secret reveals the secret of alcoholism and illustrates the sneaky spiral, the dire consequences and hopeful path to recovery. It is well written and brave; however, I felt it lacked a certain edge that for me made it stand out as unique and groundbreaking.But that may be the point. The main character, Cadence, is every woman. She’s bright, beautiful, educated, witty, likeable and sympathetic. She marries a man who seems to be her equal at first, but is ultimately portrayed as a selfish and harshly judgmental mama’s boy. The birth of their son, naturally, changes the dynamic of their relationship. And as Cadence’s fear of not-being-good-enough (what new mother doesn’t feel this?) ultimately leads to gaining comfort from ever increasing glasses of red wine, her world falls apart. I found Cadence to be the only really likable character. The others--husband, mother-in-law, sister, son, counselor, partners in recovery--are either self-serving jerks or too underdeveloped to matter. The story focuses everything on Cadence and keeps one reading only to find out whether or not she triumphs in the end.I recommend this book to young mothers struggling with mommy-n-me groups who drink wine rather than coffee or tea while their children play, or anyone who drinks in secret and thinks she doesn’t really have a problem. Reading about the fate of Cadence may help the reader come to terms with alcohol addiction and hopefully choose the path to recovery.If, however, you’re looking for a more brutally honest depiction of the alcoholic spiral that truly helps one to understand the nature and experience of this disease, I recommend Drinking, A Love Story by Carolyn Knapp....more",Notes are private!,0,1,1,not set,"Mar 15, 2013","Mar 25, 2013",,Paperback,view (with text),/book/show/10113312-best-kept-secret
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Glass Room,"Mawer, Simon",1408700778,9781408700778,1408700778,405        pp,3.92,"11,985",2009,"Feb 01, 2009",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Excellent, riveting story.",Notes are private!,0,0,1,"Mar 21, 2013",Apr 2013,"Mar 21, 2013",,Hardcover,view (with text),/book/show/2694539-the-glass-room
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Dovekeepers,"Hoffman, Alice*",145161747X,9781451617474,B0068EO6HK,504        pp,4.06,"76,741","Oct 04, 2011","Oct 04, 2011",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Mar 21, 2013",,Hardcover,view,/book/show/10950924-the-dovekeepers
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,How To Achieve Your Dream Life: Start-up Advice From a Successful Innkeeper,"Cozzens, Michele Vanort",1932172629,9781932172621,1932172629,170        pp,0.00,0,"May 01, 2012",May 2012,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Oct 24, 2012",,Paperback,view,/book/show/16108111-how-to-achieve-your-dream-life
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Confessions of a Scary Mommy: An Honest and Irreverent Look at Motherhood - The Good, The Bad, and the Scary","Smokler, Jill*",1451673779,9781451673777,1451673779,176        pp,3.75,"3,187","Apr 03, 2012","Apr 03, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Moms: Blow Off Some of That Menopausal Steam and Read This BookThis book did what very few books have done during my active reading career. It made meMoms: Blow Off Some of That Menopausal Steam and Read This BookThis book did what very few books have done during my active reading career. It made me put down a juicy, well-written character-driven novel, and not pick it up again until I finished laughing (i.e. reading) my way through this hilarious confessional on modern motherhood.This is a book that every (honest) mother will relate to and laugh at; however, it's a book I wish every ""aspiring"" mother would read. We mothers often complain to one another that no one really prepared us for the job in store, particularly as those sweet babies grow up. But I dare say, this book lays it right out there.For example, from Chapter 16: "" There are a million things I wish I'd done before I had children. I wish I'd slept in until noon on the weekends, lazily eating breakfast in bed and relishing the fact that I had nowhere to be all day. I wish I'd taken adult classes that really interested me, not just the ones I had to take in order to graduate years before. I wish I'd seen more midday movies, had more spontaneous sex, and read more books, back when I actually had the spare time to do all of that stuff. And I wish I'd appreciated the little things, like the ability to grocery shop or shower when I felt like it.""Smokler begins each chapter with quotes gathered from mothers across a vast mom community. She helps us understand--and this is what we really need to know while living in our vacuums--that we are NOT alone.Well done. A great gift for any mom with a developed sense of humor....more",Notes are private!,0,4,1,not set,May 2012,"May 21, 2012",,Hardcover,view (with text),/book/show/13047041-confessions-of-a-scary-mommy
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Skinnydipping,"Frankel, Bethenny",1442348283,9781442348288,1442348283,unknown,3.26,"2,299","May 01, 2012","May 01, 2012",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"A Skinny Line Between Fiction and RealityReading this book felt like being immersed in a Bethenny Frankel marathon of her reality television world, inA Skinny Line Between Fiction and RealityReading this book felt like being immersed in a Bethenny Frankel marathon of her reality television world, including the Martha Stewart Apprentice, The Real Housewives of New York and Bravo's spinoffs, Bethenny Getting Married? and Bethenny Everafter. If you find the quick wit and at times foul mouth of this self-made star entertaining, you--like me--won't be able to put down this book.Bethenny as a writer, along with her writing partner Eve Adamson, use her personal experiences during her rise to fame to create an alter ego named Faith Brightstone. The story about a young New Yorker moving to L.A. to try to make it as an actress, only to return to New York to find fame in reality television is a thinly veiled fun romp into her past. She has license to pick and choose facts and fiction and mix them into a cocktail named the ""pink lemonade mojito"" rather than the Skinnygirl margarita. It's a refreshing summer beach read, and the juicy stuff is not left out.She serves up a tasty platter of what can only be called just desserts by creating highly unlikeable characters based on Martha Stewart and Jill Zarin, and she even adds a zesty little barb aimed at Kelly Bensimon (with a ""I'm up here, you're down there"" type comment). Her creativity in rewriting the past, including making up new challenges for the television contest named ""Domestic Goddess,"" and her knack for witty/truly funny dialog prove once again why this woman is a star.I had to deduct a  star, however, due to a critical fiction-writing error at the beginning of Part II, when she lapses into a classic tell rather than show technique, and what I felt was an anti-climactic and cliché conclusion of having the whole thing culminate in the life-lesson of ""there are no certainties in life.""But that conclusion was NOT what I took away from this reading experience. Reading this book for me was just plain FUN--as fun as it's been watching Bethenny on TV.Good for you Skinnygirl, and thanks for the laughs....more",Notes are private!,0,8,1,not set,"May 03, 2012","May 04, 2012",,Audio CD,view (with text),/book/show/13160313-skinnydipping
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Diary of a Young Girl,"Frank, Anne",,,,283        pp,4.19,"3,730,789",1947,Jul 1993,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"May 03, 2012",,Mass Market Paperback,view,/book/show/48855.The_Diary_of_a_Young_Girl
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Red Book,"Kogan, Deborah Copaken",1401340822,9781401340827,1401340822,347        pp,3.25,"4,599","Jan 01, 2012","Apr 03, 2012",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"I had high hopes for this book and found it to be disappointing. At first I found myself re-reading passages in order to keep the multitude of charactI had high hopes for this book and found it to be disappointing. At first I found myself re-reading passages in order to keep the multitude of characters straight; however, that may have been more MY problem than the problem of the author. It's well written, yet if you're looking for high drama, this isn't the plot. Overall I found it to be character-driven by less than compelling characters and average drama....more",Notes are private!,0,0,1,"May 02, 2012","Jun 12, 2012","May 02, 2012",,Hardcover,view (with text),/book/show/12874448-the-red-book
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,South of Broad,"Conroy, Pat",038541305X,9780385413053,038541305X,514        pp,3.85,"47,806","Aug 11, 2009","Aug 11, 2009",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Beautiful prose and sharp, witty dialogue. This book was a real love letter to the city of Charleston, South Carolina. The story, told by a boy/man naBeautiful prose and sharp, witty dialogue. This book was a real love letter to the city of Charleston, South Carolina. The story, told by a boy/man named Leo, aka ""Toad"" (who may be a Conroy alter ego), follows the lives of a colorful group of friends and their misfit, sorted, and dangerous adventures through life. This book is PACKED with action: sex, (including incest and rape), violence, religion, murder . . . it, in fact, covers nearly every modern topic known as the human condition. Frankly, it's a bit much and it's why I rate it four stars instead of five.The dialogue is brilliant and, at times, laugh out loud funny. I found there to be so much banter, however, it bordered on unrealistic. Nevertheless, I did enjoy this book and recommend it as being very well written--by a master....more",Notes are private!,0,1,1,"Mar 16, 2012","Apr 04, 2012","Mar 16, 2012",,Hardcover,view (with text),/book/show/6135237-south-of-broad
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Room,"Donoghue, Emma*",,,,321        pp,4.08,"803,827","Aug 20, 2010",Sep 2010,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Powerful StoryThis book/story disturbed me far more than it entertained me, but considering the subject matter, I'm sure my opinion is not unique. NarPowerful StoryThis book/story disturbed me far more than it entertained me, but considering the subject matter, I'm sure my opinion is not unique. Narration by a five-year-old is a tough perspective from which to write, I'm sure, but kudos to Emma Donoghue for pulling it off. This child's precocious nature and vocabulary is ultimately explained, perhaps even justified, but I still didn't find the whole story believable, and I'm not sure why I read it other than it was a book club suggestion.Months after reading this book, I will say the story has stayed with me. Each time I read or hear about an abduction case in the news, I can't help but envision this tiny room, so clearly defined in the story, and contemplate what this type of captivity does to the victims.Powerful work....more",Notes are private!,0,3,1,not set,"Feb 06, 2012","Feb 26, 2012",,Hardcover,view (with text),/book/show/7937843-room
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Hunger Games        (The Hunger Games, #1)","Collins, Suzanne",0439023483,9780439023481,0439023483,374        pp,4.34,"8,665,718","Sep 14, 2008","Oct 14, 2008",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"My teenage daughter insisted I read this and, I admit, it had me engrossed from start to finish. This is the first person account of a young girl in aMy teenage daughter insisted I read this and, I admit, it had me engrossed from start to finish. This is the first person account of a young girl in a post-Apocalyptic world who volunteers as ""tribute"" from her district to participate in what is essentially a reality TV show, The Hunger Games. Twenty-four kids, ranging in age from 12-18, representing 12 districts in what was once North America, are primped and prepared to fight to the death in a wilderness arena. They must find their own food and water, shelter, weaponry and companionship. Only one will survive and return home a hero.Reading The Hunger Games was like watching a gorier version of the television show Survivor. It included both loathsome and likeable players, alliances, back-stabbing, solid friendships and even a love story.Katniss and Peeta are the girl and boy from District 12, who their mentors and stylists present to the viewing audience as star-crossed lovers. Peeta is actually in love with Katniss; however, she is a hard-nosed, focused hunter and only believes she's playing a role through the Games. For example, she has been instructed that every kiss she gives Peeta may result in a reward, or some kind of treat or necessity from her mentor/sponsors. That the reader is aware of Peeta's true feelings and Katniss is not, is part of what makes it a simplistic and even silly love story. But I think that's testimony to the genius of the author. It magnifies how reality TV can be both inane and riveting at the same time. I believe it was the good writing and the author's technique/story-telling ability that made me turn the pages non-stop until I finished. As for the subject matter? File this one under ""guilty pleasure.""...more",Notes are private!,0,0,1,not set,"Feb 11, 2012","Feb 12, 2012",,Hardcover,view (with text),/book/show/2767052-the-hunger-games
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Saluki Marooned,"Rickman, Robert P.",1466368160,9781466368163,1466368160,226        pp,3.46,13,"Oct 04, 2011","Oct 04, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Jan 10, 2012",,Paperback,view,/book/show/13001858-saluki-marooned
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Visit from the Goon Squad,"Egan, Jennifer*",0307592839,9780307592835,0307592839,274        pp,3.69,"226,752","Jun 08, 2010","Jun 08, 2010",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 10, 2012","Feb 26, 2012","Jan 10, 2012",,Hardcover,view,/book/show/7331435-a-visit-from-the-goon-squad
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Paris Wife,"McLain, Paula*",0345521307,9780345521309,0345521307,314        pp,3.82,"296,280","Feb 27, 2011","Feb 27, 2011",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Jan 10, 2012",,Hardcover,view,/book/show/8683812-the-paris-wife
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Immortal Life of Henrietta Lacks,"Skloot, Rebecca*",,,B00338QENI,310        pp,4.12,"735,099","Feb 02, 2010","Feb 02, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Nov 09, 2011","Dec 15, 2011","Nov 09, 2011",,Kindle Edition,view,/book/show/8114303-the-immortal-life-of-henrietta-lacks
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Unbroken: A World War II Story of Survival, Resilience and Redemption","Hillenbrand, Laura",1400064163,9781400064168,1400064163,475        pp,4.38,"934,702","Nov 16, 2010","Nov 16, 2010",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,not set,"Nov 09, 2011",,Hardcover,view,/book/show/8664353-unbroken
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waiting for Karl Rove: an utterly improbable road trip memoir,"Decker, Jeni",1461028590,9781461028598,1461028590,390        pp,4.30,10,"Mar 16, 2011","Mar 22, 2011",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Aug 30, 2011",,Paperback,view,/book/show/11088529-waiting-for-karl-rove
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Thirteenth Tale,"Setterfield, Diane*",0743298020,9780743298025,0743298020,406        pp,3.98,"313,070","Sep 12, 2006","Sep 12, 2006",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jul 18, 2011","Aug 26, 2011","Jul 18, 2011",,Hardcover,view,/book/show/40440.The_Thirteenth_Tale
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"One Thousand White Women: The Journals of May Dodd        (One Thousand White Women, #1)","Fergus, Jim*",0312199430,9780312199432,0312199430,434        pp,3.90,"129,398","Mar 15, 1998","Feb 15, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"She Went West To Live With The IndiansThis is the remarkable, well-structured tale of May Dodd, a debutant from Chicago, who according to family legenShe Went West To Live With The IndiansThis is the remarkable, well-structured tale of May Dodd, a debutant from Chicago, who according to family legend, lived and died in a lunatic asylum in Lake Forest, Illinois. Because May believed she was unjustly committed (for coupling with a man beneath her social status and being sexually promiscuous), she jumps at the chance to be a part of a cultural/social experiment offered by the U.S. Government in a controversial, secret pact between President Ulysses S. Grant and Chief Little Wolf of the Cheyenne Nation. The deal was to trade 1000 white women for 1000 horses. The women were to marry and bear children and thereby assist the Cheyenne people assimilate into the inevitable changing culture due to the expansion and westward movement of the white people. Presented in journal format, May narrates an extremely well written and believable accounts of every detail of her predicament and adventure. She tells of many colorful characters--not only the Cheyenne people, but also the women who accompany her--and it's easy to get lost in the story. I live adjacent to an Indian Reservation (Lac du Flambeau Band of Lake Superior Chippewa, an Ojibwa Native American tribe) and often contemplate the history of whites and Indians living side-by-side. Although it was fiction, I therefore found this emotional story especially riveting. ...more",Notes are private!,0,2,1,not set,"Jul 16, 2011","Jul 17, 2011",,Paperback,view (with text),/book/show/33512.One_Thousand_White_Women
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Tenth Circle,"Picoult, Jodi*",074349671X,9780743496711,074349671X,387        pp,3.53,"130,888","Mar 07, 2006","Oct 24, 2006",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"May 29, 2011","Jul 08, 2011","May 29, 2011",,Paperback,view,/book/show/10909.The_Tenth_Circle
