,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ioana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
10,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Last Policeman        (The Last Policeman, #1)","Winters, Ben H.*",1594745765,9781594745768,1594745765,316        pp,3.77,"33,363","Jul 10, 2012","Jul 10, 2012",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/13330370-the-last-policeman
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"We Set the Dark on Fire        (We Set the Dark on Fire, #1)","Mejia, Tehlor Kay*",0062691333,9780062691330,,384        pp,3.76,"18,828","Feb 26, 2019","Feb 26, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,ebook,view,/book/show/37868569-we-set-the-dark-on-fire
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The 7 1/2 Deaths of Evelyn Hardcastle,"Turton, Stuart*",,,,432        pp,3.83,"374,821","Feb 08, 2018","Sep 18, 2018",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/36337550-the-7-1-2-deaths-of-evelyn-hardcastle
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Night Olivia Fell,"McDonald, Christina*",1501184008,9781501184000,1501184008,342        pp,3.88,"27,882","Feb 05, 2019","Feb 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/36962927-the-night-olivia-fell
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Way of All Flesh        (Raven, Fisher, and Simpson, #1)","Parry, Ambrose",1786893789,9781786893789,1786893789,409        pp,3.94,"8,084","Aug 30, 2018","Oct 02, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/38114460-the-way-of-all-flesh
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,My Lovely Wife,"Downing, Samantha*",,,,390        pp,3.84,"142,558","Mar 26, 2019","Mar 26, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/39796904-my-lovely-wife
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Girls with Sharp Sticks        (Girls with Sharp Sticks, #1)","Young, Suzanne*",1534426132,9781534426139,1534426132,400        pp,3.95,"11,980","Mar 19, 2019","Mar 19, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/36442895-girls-with-sharp-sticks
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Miracle Creek,"Kim, Angie*",0374156026,9780374156022,0374156026,355        pp,3.87,"67,865","Apr 16, 2019","Apr 16, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40121959-miracle-creek
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Cemetery Road,"Iles, Greg*",0062824619,9780062824615,0062824619,590        pp,4.12,"21,134","Mar 05, 2019","Mar 05, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40604810-cemetery-road
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Wife Between Us,"Hendricks, Greer*",1250130921,9781250130921,1250130921,432        pp,3.84,"391,673","Jan 02, 2018","Jan 09, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/34189556-the-wife-between-us
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,You Know You Want This,"Roupenian, Kristen*",1982101636,9781982101633,1982101636,225        pp,3.63,"11,585","Jan 15, 2019","Jan 15, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40539045-you-know-you-want-this
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"If, Then","Day, Kate Hope*",0525511229,9780525511229,0525511229,260        pp,3.32,"4,041","Mar 12, 2019","Mar 12, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40641074-if-then
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,501","Apr 03, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/40180098-the-overstory
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Eat to Beat Disease: The New Science of How Your Body Can Heal Itself,"Li, William W.",1538714620,9781538714621,1538714620,496        pp,4.00,"3,467","Mar 19, 2019","Mar 19, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/40697523-eat-to-beat-disease
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Murder in the Crooked House        (Kiyoshi Mitarai, #2)","Shimada, Sōji",,,B07HVWZ5V7,328        pp,3.53,"3,187","Jan 01, 1982","Jun 25, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Kindle Edition,view,/book/show/43321712-murder-in-the-crooked-house
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Recursion,"Crouch, Blake*",1524759783,9781524759780,1524759783,326        pp,4.16,"234,559","Jun 11, 2019","Jun 11, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/42046112-recursion
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Simple Wild        (Wild, #1)","Tucker, K.A.*",1501133438,9781501133435,1501133438,390        pp,4.31,"121,520","Aug 07, 2018","Aug 07, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,Jan 2019not set,"Dec 31, 2019",,Paperback,view,/book/show/36373564-the-simple-wild
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Woman Who Married a Bear        (Cecil Younger, #1)","Straley, John",156947401X,9781569474013,156947401X,240        pp,3.47,"1,503","Jan 01, 1992","Jul 01, 2005",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/618880.The_Woman_Who_Married_a_Bear
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Pure Heart,"Hassib, Rajia*",052556005X,9780525560050,052556005X,288        pp,3.80,"1,406","Aug 06, 2019","Aug 06, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/42034140-a-pure-heart
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Swallows,"Lutz, Lisa*",1984818236,9781984818232,1984818236,399        pp,3.66,"8,511","Aug 13, 2019","Aug 13, 2019",did not like it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/43744294-the-swallows
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Door in the Earth,"Waldman, Amy*",0316451576,9780316451574,0316451576,400        pp,3.87,"1,524","Aug 27, 2019","Aug 27, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/41716928-a-door-in-the-earth
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Northern Lights,"Roberts, Nora*",0515139742,9780515139747,0515139742,637        pp,4.03,"45,965","Oct 12, 2004","Sep 27, 2005",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Mass Market Paperback,view,/book/show/85459.Northern_Lights
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,After the Flood,"Montag, Kassandra*",0062889397,9780062889393,,448        pp,3.69,"15,980","Sep 03, 2019","Sep 03, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,ebook,view,/book/show/41088582-after-the-flood
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Ten Thousand Doors of January,"Harrow, Alix E.*",0316421995,9780316421997,0316421995,374        pp,4.03,"137,990","Sep 10, 2019","Sep 10, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/43521657-the-ten-thousand-doors-of-january
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Death of Mrs. Westaway,"Ware, Ruth*",1501156217,9781501156212,1501156217,368        pp,3.81,"175,254","May 29, 2018","May 29, 2018",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/36373481-the-death-of-mrs-westaway
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Cold Day for Murder        (Kate Shugak, #1)","Stabenow, Dana*",042513301X,9780425133019,042513301X,208        pp,3.75,"16,227","Jun 01, 1992","Jun 01, 1992",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Mass Market Paperback,view,/book/show/271295.A_Cold_Day_for_Murder
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Testaments        (The Handmaid's Tale, #2)","Atwood, Margaret*",,,,422        pp,4.19,"352,056","Sep 10, 2019","Sep 10, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/42975172-the-testaments
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Ash Falls,"Read, Warren*",1632460475,9781632460479,1632460475,308        pp,3.47,201,"Jun 20, 2017","Jun 20, 2017",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Paperback,view,/book/show/31945048-ash-falls
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Waking Lions,"Gundar-Goshen, Ayelet",1782271562,9781782271567,1782271562,409        pp,3.80,"8,142",2013,"Mar 03, 2016",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/28134405-waking-lions
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Bitten: The Secret History of Lyme Disease and Biological Weapons,"Newby, Kris*",0062932705,9780062932709,,6        pp,3.96,"1,273","May 07, 2019","May 07, 2019",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Audiobook,view,/book/show/42117387-bitten
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Turning Pro,"Pressfield, Steven*",,,B0087TUM54,148        pp,4.16,"12,990","May 30, 2012","May 30, 2012",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Kindle Edition,view,/book/show/14912777-turning-pro
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Widow of Pale Harbor,"Fox, Hester*",1488036624,9781488036620,,384        pp,3.47,"3,361","Sep 17, 2019","Sep 17, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,ebook,view,/book/show/42867746-the-widow-of-pale-harbor
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Deeplight,"Hardinge, Frances",1509836950,9781509836956,1509836950,416        pp,4.05,"6,083","Oct 29, 2019","Oct 31, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Jan 2019,"Dec 31, 2019",,Hardcover,view,/book/show/44647479-deeplight
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"A Better Man        (Chief Inspector Armand Gamache, #15)","Penny, Louise*",1250066212,9781250066213,1250066212,437        pp,4.30,"62,697","Aug 27, 2019","Aug 27, 2019",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,not set,Dec 2019,"Dec 31, 2019",,Hardcover,view,/book/show/44034500-a-better-man
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Dead Voices        (Small Spaces, #2)","Arden, Katherine*",0593106490,9780593106495,,256        pp,4.07,"10,128","Aug 27, 2019","Aug 27, 2019",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,not setnot set,Dec 2019not set,"Dec 31, 2019",,Hardcover,view,/book/show/43069601-dead-voices
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Inland,"Obreht, Téa*",059313267X,9780593132678,059313267X,384        pp,3.43,"12,996","Aug 13, 2019","Aug 13, 2019",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,3,not setnot setnot set,Dec 2019not setnot set,"Dec 31, 2019",,Paperback,view,/book/show/53050139-inland
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Kingdom of the Blind        (Chief Inspector Armand Gamache, #14)","Penny, Louise*",1250066204,9781250066206,1250066204,389        pp,4.33,"62,175","Nov 27, 2018","Nov 27, 2018",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,not set,Feb 2019,"Feb 10, 2019",,Hardcover,view,/book/show/38232379-kingdom-of-the-blind
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Terra Nullius,"Coleman, Claire G.*",0733638317,9780733638312,0733638317,294        pp,3.76,"3,619","Aug 29, 2017","Aug 29, 2017",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Terra Nullius, Coleman's (an indigenous Australian Noongar writer) debut novel, is impossible to rate, but I'm going with 5/5 because I think this worTerra Nullius, Coleman's (an indigenous Australian Noongar writer) debut novel, is impossible to rate, but I'm going with 5/5 because I think this work should become required high school reading, at least in places like Europe, or the US, or Australia (places with a legacy of colonization and extermination/genocide of local cultures and peoples). At first I picked up this book because it was billed as sci-fi, a tale of the colonization of the Earth by an alien race. Instead, I found myself immersed in a brutal, violent, extremely raw and unflinching tale of seemingly, the colonization of Australia by the British. Terra Nullius, Latin for ""nobody's land,"" was the premise upon which Britain claimed Australia, and survived as a rationale well into the 20th century when, finally, following a grueling 10 year trial, on 3 June 1992, the High Court of Australia ruled that terra nullius should not have been applied (Mabo and others v Queensland). Coleman masterfully weaves several story lines together that put on display the multi-faceted nature of the violence faced by the ""Natives"" at the hands of the ""Settlers"" - there is a re-education center, a boarding school run by sadistic nuns, there are plantations on which slaves labor in horrific conditions, there are those few who have not been captured but who live in continual terror that they will be found in addition to their struggles to survive in the arid, unforgiving landscape.The tone undergirding the novel is one of seething anger and condemnation; nothing is left to the imagination or interpretation of the reader - subtlety is entirely absent. In general, this feature would be a significant detractor for me, however, depicting colonization in its encompassing brutality may be the one scenario for which absolute, uncompromising forthrightness is not only tolerable, but best suited for the task. An example, re the nun at the school: ""Sister Bagra was dedicated to her duty, to bring faith to these people, if they could be called people; to bring religion, to bring education to these savages. An almost completely thankless task, a seemingly pointless, useless task."" The true brilliance and novelty of Terra Nullius occurs about half-way through. Now, what I am about to write is not quite a spoiler, because the book is teased this way and ed by many who give away this ""twist"" but, do not unhide the following if you like surprises and plan on reading this book(view spoiler)[About halfway through, Coleman reveals that in fact, the ""Natives"" are human beings, and the ""Settlers"" are reptilian creatures from another planet. By this point, the reader had become fully invested in feeling the overwhelming injustice but may, depending on their disposition and identity, not been fully sold on the caricature of the ""Settlers"" as fully evil beings who scorned all ""Natives"" as animals and such... but now, realizing ALL of us are the Natives, the reader, any reader, even entitled white never-experienced-discrimination readers (probably, hopefully) begin identifying as the ""native"" and understanding, in a profound way, the ""native"" point of view.  (hide spoiler)]This book is not pleasant, and I definitely did not ""enjoy it."" But I am so very grateful to Coleman for writing it, and I HIGHLY recommend this to anyone interested in learning more, in a truly immersive way, with the lived experience of colonization....more",Notes are private!,0,40,1,not set,Jan 2019,"Feb 10, 2019",,Paperback,view (with text),/book/show/35603581-terra-nullius
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Romanian Revolution of December 1989,"Siani-Davies, Peter",0801473896,9780801473890,0801473896,328        pp,3.70,46,2005,"Feb 01, 2007",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Jan 27, 2019",not set,"Jan 27, 2019",,Paperback,view,/book/show/373741.The_Romanian_Revolution_of_December_1989
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Shape of the Ruins,"Vásquez, Juan Gabriel",0735211140,9780735211148,0735211140,509        pp,3.96,"2,730","Nov 11, 2015","Jan 01, 2018",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 27, 2019",not set,"Jan 27, 2019",,Hardcover,view,/book/show/38256287-the-shape-of-the-ruins
