,checkbox,position,cover,title,author,isbn,isbn13,asin,num pages,avg rating,num ratings,date pub,date pub edition,Ana's rating,my rating,review,notes,comments,votes,# times read,date started,date read,date added,owned,format,actions,link
11,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Texas Kid, moj brat","Kordej, Igor",9533218134,9789533218137,9533218134,224        pp,4.74,19,unknown,2023,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 12, 2024","Jan 12, 2024","Jan 12, 2024",,Hardcover,view,/book/show/203052554-texas-kid-moj-brat
12,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,La Garúa        (L'adoption #2),Zidrou,2818941709,9782818941706,2818941709,68        pp,3.91,682,"May 31, 2017","May 31, 2017",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Jan 08, 2024",not set,"Jan 08, 2024",,Hardcover,view,/book/show/35292890-la-gar-a
13,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Qinaya        (L'adoption, #1)",Zidrou,2818936039,9782818936030,2818936039,66        pp,4.39,950,"May 04, 2016","May 04, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jan 07, 2024","Jan 08, 2024","Jan 07, 2024",,Hardcover,view,/book/show/30190917-qinaya
14,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Purgatoire,"Chabouté, Christophe",2749303370,9782749303376,2749303370,63        pp,3.66,87,"Jan 01, 2006",2006,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Jan 06, 2024","Jan 06, 2024","Jan 06, 2024",,Hardcover,view,/book/show/12742284-purgatoire
15,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Grup Terapisi,"Larcenet, Manu",,9786258360332,,168        pp,4.10,40,unknown,"May 25, 2023",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jan 06, 2024","Jan 06, 2024","Jan 06, 2024",,Hardcover,view,/book/show/180474259-grup-terapisi
16,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Sitna zadovoljstva,"Chambers, Clare",,9789538423802,,344        pp,3.78,"54,211","Oct 12, 2021",2023,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Jan 02, 2024","Jan 14, 2024","Jan 02, 2024",,Paperback,view,/book/show/202342229-sitna-zadovoljstva
17,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,U vrtlogu vremena,"Julius, Ivana*",,9789535064008,,372        pp,4.50,16,unknown,"Jun 01, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,2,"Dec 20, 2023Dec 20, 2023","Dec 20, 2023Dec 20, 2023","Dec 20, 2023",,Paperback,view,/book/show/198655781-u-vrtlogu-vremena
18,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,A Christmas Carol,"Dickens, Charles",1561797464,9781561797462,1561797464,184        pp,4.08,"841,495","Dec 17, 1843","Sep 23, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Dec 20, 2023","Dec 20, 2023","Dec 20, 2023",,Paperback,view,/book/show/5326.A_Christmas_Carol
19,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Three Apples Fell from the Sky,"Abgaryan, Narine",1786077310,9781786077318,,256        pp,4.26,"13,733","Mar 16, 2015","Mar 05, 2020",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,8,1,"Dec 18, 2023","Dec 20, 2023","Dec 18, 2023",,ebook,view,/book/show/51551602-three-apples-fell-from-the-sky
20,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Anatomy        (The Anatomy Duology, #1)","Schwartz, Dana*",,,1250774152,338        pp,3.84,"76,796","Jan 18, 2022","Jan 18, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Nov 30, 2023","Dec 02, 2023","Nov 30, 2023",,Hardcover,view,/book/show/57917042-anatomy
21,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Čebelja družina,"Mugerli, Anja",,9789612824662,,144        pp,4.09,117,2020,"Jan 27, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Nov 27, 2023","Dec 02, 2023","Nov 27, 2023",,Hardcover,view,/book/show/57401620-ebelja-dru-ina
22,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Salt Path,Raynor Winn*,0241349648,9780241349649,0241349648,288        pp,4.02,"68,822","Mar 22, 2018","Sep 25, 2018",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Nov 18, 2023","Nov 28, 2023","Nov 18, 2023",,Hardcover,view,/book/show/38085814-the-salt-path
23,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"The Ballad of Songbirds and Snakes        (The Hunger Games, #0)","Collins, Suzanne",,,,541        pp,3.95,"752,119","May 19, 2020","May 19, 2020",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,6,1,"Nov 18, 2023","Nov 27, 2023","Nov 18, 2023",,Kindle Edition,view,/book/show/51901147-the-ballad-of-songbirds-and-snakes
24,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Queen's Gambit,"Tevis, Walter",1400030609,9781400030606,1400030609,258        pp,4.19,"117,267","Feb 05, 1983","Mar 11, 2003",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Jan 31, 2024","Jan 31, 2024","Nov 16, 2023",,Paperback,view,/book/show/62022.The_Queen_s_Gambit
25,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Man Who Fell to Earth,"Tevis, Walter",0345431618,9780345431615,0345431618,209        pp,4.05,"13,970",Feb 1963,"Sep 28, 1999",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Nov 14, 2023","Nov 16, 2023","Nov 14, 2023",,Paperback,view,/book/show/396329.The_Man_Who_Fell_to_Earth
26,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Löpa varg,"Ekman, Kerstin",9100187984,9789100187989,9100187984,180        pp,3.98,"5,680","Aug 24, 2021","Aug 24, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,"Nov 02, 2023","Nov 05, 2023","Nov 02, 2023",,Hardcover,view,/book/show/57946876-l-pa-varg
27,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Vivre vite,"Giraud, Brigitte",2080207342,9782080207340,2080207342,208        pp,3.59,"2,858",2022,"Aug 24, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"Prisilna prodaja i izlazak iz kuće u kojoj se godinama sastavljala nakon tragične smrti voljenog supruga, okidač su za ovaj nevjerojatno potresan autoPrisilna prodaja i izlazak iz kuće u kojoj se godinama sastavljala nakon tragične smrti voljenog supruga, okidač su za ovaj nevjerojatno potresan autobiografski roman francuske autorice Briggite Giraud, za koji je osvojila i nagradu Goncourt 2022. godine.Bez puno uvijanja Brigitte na posve originalan, ali nevjerojatno ljudski način uranja u svoju bol nakon iznenadne smrti supruga na motociklu, tek nekoliko dana prije službenog useljenja u kuću u kojoj su se konačno mogli kao obitelj skrasiti i pustiti korijenje.Jer “Što ako…?” u ni jednoj istanci toliko ne boli kao kod te vrste nepovratnog gubitka.I dvadeset godina poslije te misli moćno izranjaju iz stranica i svjedoče ogromnoj boli, krivnji, nemoći i ljubavi u kojoj je njezin suprug zauvijek uronjen.Stilski jednostavno, a moćno, nimalo melodramatično, ovo štivo ipak frustrira i grebe te nas uvlači kao aktivne promatrače u životnu priču za koju se samo možemo nadati da je nikada nećemo doživjeti.Topla preporuka za ovaj predivan roman....more",Notes are private!,0,5,1,"Nov 02, 2023","Nov 02, 2023","Nov 02, 2023",,Paperback,view (with text),/book/show/62678826-vivre-vite
28,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Let Us Descend,"Ward, Jesmyn*",198210449X,9781982104498,B0BT642ZDK,320        pp,3.73,"20,557","Oct 24, 2023","Oct 24, 2023",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,0,not set,not set,"Oct 30, 2023",,Hardcover,view,/book/show/87556695-let-us-descend
29,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Brotherhood of the Grape,"Fante, John",1841956198,9781841956190,1841956198,204        pp,4.16,"5,695",1977,2005,really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Oct 24, 2023","Oct 25, 2023","Oct 24, 2023",,Paperback,view,/book/show/90263.The_Brotherhood_of_the_Grape
30,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Fairy Tale,"King, Stephen*",1668002175,9781668002179,1668002175,608        pp,4.12,"233,837","Sep 06, 2022","Sep 06, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Oct 24, 2023","Nov 18, 2023","Oct 24, 2023",,Hardcover,view,/book/show/60177373-fairy-tale
31,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Slučaj vlastite pogibelji,"Novak, Kristian*",,9789533321677,,280        pp,4.58,776,unknown,Sep 2023,it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Oct 21, 2023","Oct 21, 2023","Oct 21, 2023",,Hardcover,view,/book/show/199223991-slu-aj-vlastite-pogibelji
32,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,"Legends & Lattes        (Legends & Lattes, #1)","Baldree, Travis*",,,B0B3755RV9,296        pp,4.14,"184,620","Feb 22, 2022","Jun 07, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,"This is a book about opening a cafe, and nothing else. Unfortunately, it had no depth, no nuance, barely any character development, and has almost notThis is a book about opening a cafe, and nothing else. Unfortunately, it had no depth, no nuance, barely any character development, and has almost nothing to do with fantasy genre. The hype around the book is out of this world, but the book isn't. Go read Kings of the Wyld instead....more",Notes are private!,1,3,1,"Oct 10, 2023","Oct 12, 2023","Oct 10, 2023",,Kindle Edition,view (with text),/book/show/61242426-legends-lattes
33,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Morgon og kveld,"Fosse, Jon",8252156738,9788252156737,8252156738,115        pp,3.88,"5,027",2000,2000,liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Oct 10, 2023","Oct 10, 2023","Oct 10, 2023",,Hardcover,view,/book/show/249351.Morgon_og_kveld
34,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Tom Lake,"Patchett, Ann",006332752X,9780063327528,006332752X,309        pp,4.04,"241,595","Aug 01, 2023","Aug 01, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,2,1,"Sep 30, 2023","Nov 02, 2023","Sep 30, 2023",,Hardcover,view,/book/show/63241104-tom-lake
35,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Igra sjena,"Prašnjak, Matea Čvagić",,,,240        pp,4.74,35,unknown,"Dec 01, 2022",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 30, 2023",not set,"Sep 30, 2023",,Paperback,view,/book/show/63212483-igra-sjena
36,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Rakova djeca,"Perković, Dalibor*",,9789538048043,,440        pp,4.19,21,unknown,Sep 2019,,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 30, 2023",not set,"Sep 30, 2023",,Paperback,view,/book/show/50435320-rakova-djeca
37,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Anomaly,"Le Tellier, Hervé",1635421691,9781635421699,1635421691,391        pp,3.81,"52,546","Aug 20, 2020","Nov 23, 2021",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,7,1,"Sep 30, 2023","Oct 03, 2023","Sep 30, 2023",,Paperback,view,/book/show/56920684-the-anomaly
38,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Patient's Secret,"White, Loreth Anne*",,,B091H4M97R,383        pp,4.31,"34,920","Mar 08, 2022","Mar 08, 2022",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Sep 30, 2023","Oct 02, 2023","Sep 30, 2023",,Kindle Edition,view,/book/show/57694667-the-patient-s-secret
39,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,NeuroTribes: The Legacy of Autism and the Future of Neurodiversity,"Silberman, Steve",158333467X,9781583334676,158333467X,477        pp,4.29,"14,973",Aug 2015,"Aug 25, 2015",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 11, 2023",not set,"Sep 11, 2023",,Hardcover,view,/book/show/22514020-neurotribes
40,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,The Overstory,"Powers, Richard",039335668X,9780393356687,039335668X,502        pp,4.12,"159,507","Apr 03, 2018","Apr 02, 2019",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Sep 11, 2023",not set,"Sep 11, 2023",,Paperback,view,/book/show/40180098-the-overstory
41,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Taste: My Life Through Food,"Tucci, Stanley",1982168013,9781982168018,1982168013,291        pp,4.21,"75,244","Oct 05, 2021","Oct 05, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,Sep 2023,Sep 2023,"Sep 01, 2023",,Hardcover,view,/book/show/55360284-taste
42,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Happy Place,"Henry, Emily*",0593441273,9780593441275,0593441273,400        pp,4.02,"784,135","Apr 25, 2023","Apr 25, 2023",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Aug 27, 2023",Sep 2023,"Aug 27, 2023",,Hardcover,view,/book/show/61718053-happy-place
43,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Pretending to be Normal: Living with Asperger's Syndrome,"Willey, Liane Holliday*",1853027499,9781853027499,1853027499,176        pp,3.87,"1,733","Jan 01, 1999","May 01, 1999",,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,0,1,"Aug 27, 2023",not set,"Aug 27, 2023",,Paperback,view,/book/show/222508.Pretending_to_be_Normal
44,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Malibu Rising,"Reid, Taylor Jenkins*",,,,369        pp,4.04,"1,018,261","May 27, 2021","Jun 01, 2021",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Aug 27, 2023","Aug 27, 2023","Aug 27, 2023",,Hardcover,view,/book/show/55404546-malibu-rising
45,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Queen Charlotte,"Quinn, Julia*",0063305089,9780063305083,0063305089,352        pp,4.15,"25,354","May 09, 2023","May 09, 2023",liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,1,1,Aug 2023,"Aug 03, 2023","Aug 01, 2023",,Hardcover,view,/book/show/61423072-queen-charlotte
46,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Remarkably Bright Creatures,"Van Pelt, Shelby",0063204150,9780063204157,0063204150,360        pp,4.40,"540,901","May 03, 2022","May 03, 2022",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jul 17, 2023","Jul 19, 2023","Jul 17, 2023",,Hardcover,view,/book/show/58733693-remarkably-bright-creatures
47,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Nei og atter nei,"Lykke, Nina",,9788249515929,,268        pp,3.61,"4,526","Aug 16, 2016","Aug 16, 2016",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,5,1,"Jul 15, 2023","Jul 15, 2023","Jul 15, 2023",,Hardcover,view,/book/show/31942693-nei-og-atter-nei
48,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Every Summer After,"Fortune, Carley*",0593438531,9780593438534,0593438531,320        pp,4.22,"512,582","May 10, 2022","May 10, 2022",it was ok,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,4,1,"Jul 13, 2023","Jul 13, 2023","Jul 13, 2023",,Paperback,view,/book/show/58014893-every-summer-after
49,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Carrie Soto Is Back,"Reid, Taylor Jenkins*",0593158687,9780593158685,0593158687,384        pp,4.22,"504,525","Aug 30, 2022","Aug 30, 2022",it was amazing,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,10,1,"Jul 12, 2023","Jul 13, 2023","Jul 12, 2023",,Hardcover,view,/book/show/60435878-carrie-soto-is-back
50,"<td class=""field checkbox""><label>checkbox</label><div class=""value"">       
</div></td>",,,Autobiography of a Yogi,"Yogananda, Paramahansa",0876120834,9780876120835,0876120834,503        pp,4.24,"65,097",1946,"Jan 01, 2000",really liked it,1 of 5 stars2 of 5 stars3 of 5 stars4 of 5 stars5 of 5 starsadd to shelves,None,Notes are private!,0,3,1,"Jul 04, 2023","Aug 27, 2023","Jul 04, 2023",,Paperback,view,/book/show/639864.Autobiography_of_a_Yogi
